,BLEE FP Equity_PX_LAST
2022-08-01,181.0
2022-08-03,190.0
2022-08-04,176.0
2022-08-08,177.0
2022-08-09,185.0
2022-08-11,189.0
2022-08-15,189.0
2022-08-16,195.0
2022-08-19,177.0
2022-08-22,176.0
2022-08-26,177.0
2022-08-29,192.0
2022-08-31,191.0
2022-09-05,189.0
2022-09-08,189.0
2022-09-09,189.0
2022-09-12,194.0
2022-09-13,195.0
2022-09-21,183.0
2022-09-26,195.0
2022-09-27,195.0
2022-09-28,200.0
2022-10-05,176.0
2022-10-06,179.0
2022-10-10,177.0
2022-10-11,177.0
2022-10-12,157.0
2022-10-13,158.0
2022-10-17,160.0
2022-10-18,167.0
2022-10-20,169.0
2022-10-21,169.0
2022-10-24,174.0
2022-10-25,180.0
2022-10-27,169.0
2022-10-28,165.0
2022-11-07,183.0
2022-11-08,186.0
2022-11-10,176.0
2022-11-11,176.0
2022-11-14,176.0
2022-11-25,185.0
2022-11-28,185.0
2022-11-29,186.0
2022-11-30,186.0
2022-12-01,186.0
2022-12-02,186.0
2022-12-05,176.0
2022-12-06,183.0
2022-12-07,183.0
2022-12-08,182.0
2022-12-09,182.0
2022-12-12,182.0
2022-12-13,182.0
2022-12-14,182.0
2022-12-15,182.0
2022-12-16,182.0
2022-12-19,186.0
2022-12-20,176.0
2022-12-21,177.0
2022-12-22,180.0
2022-12-23,191.0
2022-12-27,190.0
2022-12-28,191.0
2022-12-29,193.0
2022-12-30,178.0
2023-01-02,190.0
2023-01-03,187.0
2023-01-04,182.0
2023-01-05,191.0
2023-01-06,194.0
2023-01-09,189.0
2023-01-10,194.0
2023-01-11,194.0
2023-01-12,190.0
2023-01-13,195.0
2023-01-16,196.0
2023-01-17,197.0
2023-01-18,210.0
2023-01-19,202.0
2023-01-20,210.0
2023-01-23,210.0
2023-01-24,204.0
2023-01-25,204.0
2023-01-26,187.0
2023-01-27,208.0
2023-01-30,200.0
2023-01-31,187.0
2023-02-01,187.0
2023-02-02,230.0
2023-02-03,191.0
2023-02-06,208.0
2023-02-07,208.0
2023-02-08,202.0
2023-02-09,212.0
2023-02-10,220.0
2023-02-13,230.0
2023-02-14,230.0
2023-02-15,230.0
2023-02-16,230.0
2023-02-17,200.0
2023-02-20,206.0
2023-02-21,204.0
2023-02-22,200.0
2023-02-23,200.0
2023-02-24,200.0
2023-02-27,200.0
2023-02-28,202.0
2023-03-01,202.0
2023-03-02,202.0
2023-03-03,202.0
2023-03-06,202.0
2023-03-07,202.0
2023-03-08,200.0
2023-03-09,200.0
2023-03-10,200.0
2023-03-13,200.0
2023-03-14,195.0
2023-03-15,192.0
2023-03-16,189.0
2023-03-17,189.0
2023-03-20,189.0
2023-03-21,189.0
2023-03-22,189.0
2023-03-23,189.0
2023-03-24,204.0
2023-03-27,204.0
2023-03-28,204.0
2023-03-29,202.0
2023-03-30,206.0
2023-03-31,206.0
2023-04-03,206.0
2023-04-04,220.0
2023-04-05,220.0
2023-04-06,220.0
2023-04-11,220.0
2023-04-12,210.0
2023-04-13,210.0
2023-04-14,208.0
2023-04-17,208.0
2023-04-18,208.0
2023-04-19,208.0
2023-04-20,200.0
2023-04-21,190.0
2023-04-24,188.0
2023-04-25,189.0
2023-04-26,189.0
2023-04-27,193.0
2023-04-28,189.0
2023-05-02,189.0
2023-05-03,189.0
2023-05-04,189.0
2023-05-05,189.0
2023-05-08,189.0
2023-05-09,189.0
2023-05-10,189.0
2023-05-11,189.0
2023-05-12,189.0
2023-05-15,189.0
2023-05-16,189.0
2023-05-17,189.0
2023-05-18,189.0
2023-05-19,188.0
2023-05-22,188.0
2023-05-23,188.0
2023-05-24,188.0
2023-05-25,188.0
2023-05-26,188.0
2023-05-29,191.0
2023-05-30,191.0
2023-05-31,191.0
2023-06-01,188.0
2023-06-02,187.0
2023-06-05,188.0
2023-06-06,188.0
2023-06-07,188.0
2023-06-08,188.0
2023-06-09,188.0
2023-06-12,188.0
2023-06-13,189.0
2023-06-14,189.0
2023-06-15,188.0
2023-06-16,188.0
2023-06-19,188.0
2023-06-20,188.0
2023-06-21,188.0
2023-06-22,180.0
2023-06-23,180.0
2023-06-26,202.0
2023-06-27,202.0
2023-06-28,198.0
2023-06-29,198.0
2023-06-30,198.0
2023-07-03,198.0
2023-07-04,198.0
2023-07-05,198.0
2023-07-06,198.0
2023-07-07,198.0
2023-07-10,198.0
2023-07-11,198.0
2023-07-12,198.0
2023-07-13,198.0
2023-07-14,166.0
2023-07-17,167.0
2023-07-18,167.0
2023-07-19,167.0
2023-07-20,198.0
2023-07-21,198.0
2023-07-24,198.0
2023-07-25,198.0
2023-07-26,198.0
2023-07-27,172.0
2023-07-28,196.0
2023-07-31,196.0
2023-08-01,196.0
2023-08-02,196.0
2023-08-03,196.0
2023-08-04,196.0
2023-08-07,196.0
2023-08-08,189.0
2023-08-09,189.0
2023-08-10,189.0
2023-08-11,189.0
2023-08-14,189.0
2023-08-15,189.0
2023-08-16,189.0
2023-08-17,189.0
2023-08-18,189.0
2023-08-21,184.0
2023-08-22,172.0
2023-08-23,172.0
2023-08-24,192.0
2023-08-25,192.0
2023-08-28,192.0
2023-08-29,192.0
2023-08-30,192.0
2023-08-31,192.0
2023-09-01,192.0
2023-09-04,192.0
2023-09-05,192.0
2023-09-06,192.0
2023-09-07,192.0
2023-09-08,192.0
2023-09-11,192.0
2023-09-12,192.0
2023-09-13,167.0
2023-09-14,170.0
2023-09-15,170.0
2023-09-18,170.0
2023-09-19,170.0
2023-09-20,170.0
2023-09-21,170.0
2023-09-22,170.0
2023-09-25,170.0
2023-09-26,170.0
2023-09-27,170.0
2023-09-28,170.0
2023-09-29,170.0
2023-10-02,170.0
2023-10-03,170.0
2023-10-04,170.0
2023-10-05,170.0
2023-10-06,170.0
2023-10-09,167.0
2023-10-10,167.0
2023-10-11,167.0
2023-10-12,167.0
2023-10-13,167.0
2023-10-16,195.0
2023-10-17,195.0
2023-10-18,194.0
2023-10-19,194.0
2023-10-20,166.0
2023-10-23,166.0
2023-10-24,166.0
2023-10-25,166.0
2023-10-26,166.0
2023-10-27,166.0
2023-10-30,166.0
2023-10-31,166.0
2023-11-01,166.0
2023-11-02,178.0
2023-11-03,178.0
2023-11-06,178.0
2023-11-07,178.0
2023-11-08,178.0
2023-11-09,178.0
2023-11-10,178.0
2023-11-13,167.0
2023-11-14,172.0
2023-11-15,177.0
2023-11-16,177.0
2023-11-17,177.0
2023-11-20,177.0
2023-11-21,175.0
2023-11-22,172.0
2023-11-23,172.0
2023-11-24,177.0
2023-11-27,192.0
2023-11-28,189.0
2023-11-29,166.0
2023-11-30,166.0
2023-12-01,166.0
2023-12-04,166.0
2023-12-05,166.0
2023-12-06,166.0
2023-12-07,166.0
2023-12-08,160.0
2023-12-11,161.0
2023-12-12,161.0
2023-12-13,161.0
2023-12-14,161.0
2023-12-15,161.0
2023-12-18,161.0
2023-12-19,161.0
2023-12-20,161.0
2023-12-21,161.0
2023-12-22,161.0
2023-12-27,161.0
2023-12-28,161.0
2023-12-29,165.0
2024-01-02,173.0
2024-01-03,173.0
2024-01-04,173.0
2024-01-05,173.0
2024-01-08,163.0
2024-01-09,163.0
2024-01-10,172.0
2024-01-11,172.0
2024-01-12,170.0
2024-01-15,166.0
2024-01-16,161.0
2024-01-17,161.0
2024-01-18,161.0
2024-01-19,161.0
2024-01-22,161.0
2024-01-23,161.0
2024-01-24,161.0
2024-01-25,161.0
2024-01-26,161.0
2024-01-29,161.0
2024-01-30,161.0
2024-01-31,163.0
2024-02-01,163.0
2024-02-02,163.0
2024-02-05,163.0
2024-02-06,163.0
2024-02-07,163.0
2024-02-08,163.0
2024-02-09,163.0
2024-02-12,163.0
2024-02-13,163.0
2024-02-14,163.0
2024-02-15,163.0
2024-02-16,163.0
2024-02-19,155.0
2024-02-20,155.0
2024-02-21,155.0
2024-02-22,150.0
2024-02-23,153.0
2024-02-26,153.0
2024-02-27,153.0
2024-02-28,153.0
2024-02-29,150.0
2024-03-01,152.0
2024-03-04,150.0
2024-03-05,150.0
2024-03-06,150.0
2024-03-07,150.0
2024-03-08,150.0
2024-03-11,150.0
2024-03-12,150.0
2024-03-13,150.0
2024-03-14,150.0
2024-03-15,150.0
2024-03-18,150.0
2024-03-19,150.0
2024-03-20,150.0
2024-03-21,150.0
2024-03-22,175.0
2024-03-25,175.0
2024-03-26,175.0
2024-03-27,150.0
2024-03-28,150.0
2024-04-02,150.0
2024-04-03,150.0
2024-04-04,150.0
2024-04-05,150.0
2024-04-08,150.0
2024-04-09,150.0
2024-04-10,150.0
2024-04-11,150.0
2024-04-12,150.0
2024-04-15,150.0
2024-04-16,150.0
2024-04-17,150.0
2024-04-18,150.0
2024-04-19,135.0
2024-04-22,138.0
2024-04-23,138.0
2024-04-24,138.0
2024-04-25,138.0
2024-04-26,138.0
2024-04-29,138.0
2024-04-30,138.0
2024-05-02,138.0
2024-05-03,138.0
2024-05-06,175.0
2024-05-07,175.0
2024-05-08,175.0
2024-05-09,175.0
2024-05-10,149.0
2024-05-13,149.0
2024-05-14,149.0
2024-05-15,149.0
2024-05-16,156.0
2024-05-17,156.0
2024-05-20,156.0
2024-05-21,156.0
2024-05-22,156.0
2024-05-23,155.0
2024-05-24,171.0
2024-05-27,173.0
2024-05-28,173.0
2024-05-29,173.0
2024-05-30,173.0
2024-05-31,173.0
2024-06-03,155.0
2024-06-04,155.0
2024-06-05,157.0
2024-06-06,157.0
2024-06-07,157.0
2024-06-10,157.0
2024-06-11,157.0
2024-06-12,157.0
2024-06-13,157.0
2024-06-14,157.0
2024-06-17,150.0
2024-06-18,150.0
2024-06-19,150.0
2024-06-20,150.0
2024-06-21,150.0
2024-06-24,150.0
2024-06-25,150.0
2024-06-26,150.0
2024-06-27,150.0
2024-06-28,150.0
2024-07-01,150.0
2024-07-02,150.0
2024-07-03,150.0
2024-07-04,150.0
2024-07-05,150.0
2024-07-08,150.0
2024-07-09,150.0
2024-07-10,150.0
2024-07-11,150.0
2024-07-12,150.0
2024-07-15,150.0
2024-07-16,150.0
2024-07-17,150.0
2024-07-18,150.0
2024-07-19,150.0
2024-07-22,150.0
2024-07-23,150.0
2024-07-24,150.0
2024-07-25,150.0
2024-07-26,150.0
2024-07-29,150.0
2024-07-30,150.0
2024-07-31,150.0
2024-08-01,150.0
2024-08-02,150.0
2024-08-05,150.0
2024-08-06,150.0
2024-08-07,150.0
2024-08-08,150.0
2024-08-09,150.0
2024-08-12,150.0
2024-08-13,150.0
2024-08-14,150.0
2024-08-15,150.0
2024-08-16,150.0
2024-08-19,142.0
2024-08-20,142.0
2024-08-21,155.0
2024-08-22,155.0
2024-08-23,155.0
2024-08-26,155.0
2024-08-27,155.0
2024-08-28,156.0
2024-08-29,157.0
2024-08-30,157.0
2024-09-02,138.0
2024-09-03,138.0
2024-09-04,138.0
2024-09-05,138.0
2024-09-06,147.0
2024-09-09,145.0
2024-09-10,145.0
2024-09-11,145.0
2024-09-12,145.0
2024-09-13,145.0
2024-09-16,150.0
2024-09-17,163.0
2024-09-18,163.0
2024-09-19,163.0
2024-09-20,163.0
2024-09-23,163.0
2024-09-24,163.0
2024-09-25,163.0
2024-09-26,163.0
2024-09-27,163.0
2024-09-30,163.0
2024-10-01,163.0
2024-10-02,150.0
2024-10-03,150.0
2024-10-04,142.0
2024-10-07,142.0
2024-10-08,142.0
2024-10-09,142.0
2024-10-10,142.0
2024-10-11,142.0
2024-10-14,142.0
