,PUST FP Equity_DX_SI_QTY,PUST FP Equity_DX_SHORT_INTEREST_VALUE,PUST FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PUST FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PUST FP Equity_DX_SI_MV,PUST FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PUST FP Equity_DX_SUPPLY_SI_QTY,PUST FP Equity_DX_BROKER_SI_QTY,PUST FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PUST FP Equity_DX_SUPPLY_SI_QTY_INC_x,PUST FP Equity_DX_BROKER_SI_MV_INC_x,PUST FP Equity_DX_BROKER_SI_QTY_ADD,PUST FP Equity_DX_SUPPLY_SI_MV_DEC,PUST FP Equity_DX_BROKER_SI_QTY_INC,PUST FP Equity_DX_SUPPLY_SI_QTY_DEC,PUST FP Equity_DX_BROKER_SI_MV_INC_y,PUST FP Equity_DX_SUPPLY_SI_QTY_INC_y,PUST FP Equity_DX_BROKER_SI_MV_ADD,PUST FP Equity_DX_SUPPLY_SI_QTY_ADD,PUST FP Equity_DX_BROKER_SI_QTY_DEC,PUST FP Equity_DX_SUPPLY_SI_MV,PUST FP Equity_DX_BROKER_SI_MV_DEC,PUST FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PUST FP Equity_DX_UTILIZATION_QUANTITY,PUST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PUST FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PUST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PUST FP Equity_DX_ACTIVE_UTILIZATION_MV,PUST FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PUST FP Equity_DX_BROKER_SI_CON_RATIO,PUST FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PUST FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-02-27,2600.0,210834.0,0.05,0.03,0.21,0.0,2600.0,0.0,210834.0,,,,,,,,,,,2600.0,0.21,0.21,100.0,96.73,0.0,0.0,0.0,100.0,,1.0,100.0,0.9673
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21,,2600.0,,,,,,0.0,,0.0,0.0,2688.0,213776.64,0.23,0.0,,0.0,,0.0
2025-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,2688.0,213964.8,0.23,0.0,,0.0,,0.0
2025-03-04,5400.0,413964.0,0.09,0.07,0.42,206982.0,2700.0,2700.0,206982.0,,,2700.0,,,,,,0.2,2700.0,,0.21,,100.0,96.84,0.0,0.0,0.0,100.0,,1.0,100.0,1.9369
2025-03-05,5400.0,406134.0,0.09,0.07,0.41,203067.0,2700.0,2700.0,203067.0,,,,,,,,,,,,0.21,,100.0,96.84,0.0,0.0,0.0,100.0,,1.0,100.0,1.9369
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21,,2700.0,,,,,2700.0,0.0,0.2,0.0,0.0,88.0,6642.24,0.01,0.0,,0.0,,0.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,88.0,6454.8,0.01,0.0,,0.0,,0.0
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1888.0,136728.96,0.14,0.0,,0.0,,0.0
2025-03-11,3600.0,256140.0,0.06,0.04,0.26,128070.0,1800.0,1800.0,128070.0,,,1800.0,,,,,,0.13,1800.0,,0.13,,100.0,91.65,0.0,0.0,0.0,100.0,,1.0,100.0,1.833
2025-03-12,1800.0,130068.0,0.03,0.02,0.13,0.0,1800.0,0.0,130068.0,,,,,,,,,,,1800.0,0.13,0.13,100.0,91.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.9165
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13,,1800.0,,,,,,0.0,,0.0,0.0,264.0,18817.92,0.02,0.0,,0.0,,0.0
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,264.0,19087.2,0.02,0.0,,0.0,,0.0
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,164.0,11832.6,0.01,0.0,,0.0,,0.0
2025-03-18,2600.0,186420.0,0.04,0.03,0.19,93210.0,1300.0,1300.0,93210.0,,,1300.0,,,,,,0.09,1300.0,,0.09,,100.0,88.8,0.0,0.0,0.0,100.0,,1.0,100.0,1.776
2025-03-19,2600.0,188682.0,0.04,0.03,0.19,94341.0,1300.0,1300.0,94341.0,,,,,,,,,,,,0.09,,100.0,88.8,0.0,0.0,0.0,100.0,,1.0,100.0,1.776
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.09,,1300.0,,,,,1300.0,0.0,0.1,0.0,0.0,174.0,12663.72,0.01,0.0,,0.0,,0.0
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,174.0,12670.68,0.01,0.0,,0.0,,0.0
2025-03-24,3600.0,269532.0,0.06,0.04,0.27,134766.0,1800.0,1800.0,134766.0,,,1800.0,,,,,,0.14,1800.0,,0.13,,100.0,91.19,0.0,0.0,0.0,100.0,,1.0,100.0,1.8237
2025-03-25,3600.0,270180.0,0.05,0.04,0.27,135090.0,1800.0,1800.0,135090.0,,,,,,,,,,,,0.13,,100.0,90.63,0.0,0.0,0.0,100.0,,1.0,100.0,1.8127
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13,,1800.0,,,,,1800.0,0.0,0.14,0.0,0.0,186.0,13838.4,0.01,0.0,,0.0,,0.0
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,371.0,27413.19,0.03,0.0,,0.0,,0.0
2025-03-28,3400.0,243508.0,0.05,0.04,0.25,121754.0,1700.0,1700.0,121754.0,,,1700.0,,,,,,0.12,1700.0,,0.13,,100.0,90.86,0.0,0.0,0.0,100.0,49.22,0.5001,50.78,1.8172
2025-03-31,3400.0,240210.0,0.05,0.04,0.24,120105.0,1700.0,1700.0,120105.0,,,,,,,,,,,,0.12,,100.0,94.71,0.0,0.0,0.0,100.0,49.66,0.5,50.34,1.8942
2025-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.12,,1700.0,,,,,1700.0,0.0,0.12,0.0,0.0,95.0,6842.85,0.01,0.0,,0.0,,0.0
2025-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,95.0,6857.1,0.01,0.0,,0.0,,0.0
2025-04-03,1600.0,108640.0,0.02,0.02,0.11,54320.0,800.0,800.0,54320.0,,,800.0,,,,,,0.05,800.0,,0.06,,100.0,89.39,0.0,0.0,0.0,100.0,48.47,0.5005,51.53,1.7877
2025-04-04,1600.0,103840.0,0.02,0.02,0.11,51920.0,800.0,800.0,51920.0,,,,,,,,,,,,0.05,,100.0,89.39,0.0,0.0,0.0,100.0,48.87,0.5003,51.13,1.7877
2025-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.05,,800.0,,,,,800.0,0.0,0.05,0.0,0.0,95.0,6005.9,0.01,0.0,,0.0,,0.0
2025-04-08,2200.0,144628.0,0.03,0.03,0.14,72314.0,1100.0,1100.0,72314.0,,,1100.0,,,,,,0.07,1100.0,,0.07,,100.0,92.05,0.0,0.0,0.0,100.0,49.02,0.5002,50.98,1.841
2025-04-09,2200.0,137390.0,0.03,0.03,0.14,68695.0,1100.0,1100.0,68695.0,,,,,,,,,,,,0.07,,100.0,92.05,0.0,0.0,0.0,100.0,48.72,0.5003,51.28,1.841
2025-04-10,2200.0,144364.0,0.03,0.03,0.14,72182.0,1100.0,1100.0,72182.0,,,,,,,,,,,,0.07,,100.0,92.05,0.0,0.0,0.0,100.0,48.76,0.5003,51.24,1.841
2025-04-11,2200.0,142296.0,0.02,0.03,0.14,71148.0,1100.0,1100.0,71148.0,,,,,,,,,,,,0.07,,100.0,92.05,0.0,0.0,0.0,100.0,49.64,0.5,50.36,1.841
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.07,,1100.0,,,,,1100.0,0.0,0.07,0.0,0.0,1195.0,79443.6,0.08,0.0,,0.0,,0.0
2025-04-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,107.0,7167.93,0.01,0.0,,0.0,,0.0
2025-04-16,2400.0,157344.0,0.03,0.03,0.16,78672.0,1200.0,1200.0,78672.0,,,1200.0,,,,,,0.08,1200.0,,0.08,,100.0,91.81,0.0,0.0,0.0,100.0,49.46,0.5001,50.54,1.8363
2025-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.08,,1200.0,,,,,1200.0,0.0,0.08,0.0,0.0,1692.0,108947.88,0.12,0.0,,0.0,,0.0
2025-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1692.0,108947.88,0.11,0.0,,0.0,,0.0
2025-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,492.0,31679.88,0.03,0.0,,0.0,,0.0
2025-04-22,3600.0,229428.0,0.04,0.04,0.23,114714.0,1800.0,1800.0,114714.0,,,1800.0,,,,,,0.12,1800.0,,0.12,,100.0,78.53,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.5707
2025-04-23,3600.0,238788.0,0.04,0.04,0.23,119394.0,1800.0,1800.0,119394.0,,,,,,,,,,,,0.11,,100.0,78.53,0.0,0.0,0.0,100.0,49.0,0.5002,51.0,1.5707
2025-04-24,3600.0,242172.0,0.05,0.04,0.24,121086.0,1800.0,1800.0,121086.0,,,,,,,,,,,,0.12,,100.0,78.53,0.0,0.0,0.0,100.0,49.65,0.5,50.35,1.5707
2025-04-25,3600.0,244404.0,0.05,0.04,0.24,122202.0,1800.0,1800.0,122202.0,,,,,,,,,,,,0.12,,100.0,78.53,0.0,0.0,0.0,100.0,49.77,0.5,50.23,1.5707
2025-04-28,3600.0,244152.0,0.05,0.04,0.25,122076.0,1800.0,1800.0,122076.0,,,,,,,,,,,,0.12,,100.0,78.19,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.5639
2025-04-29,3600.0,245916.0,0.05,0.04,0.25,122958.0,1800.0,1800.0,122958.0,,,,,,,,,,,,0.12,,100.0,78.19,0.0,0.0,0.0,100.0,50.0,0.5,50.0,1.5639
2025-04-30,3600.0,246132.0,0.05,0.04,0.25,123066.0,1800.0,1800.0,123066.0,,,,,,,,,,,,0.12,,100.0,78.19,0.0,0.0,0.0,100.0,49.98,0.5,50.02,1.5639
2025-05-01,3600.0,246132.0,0.05,0.04,0.25,123066.0,1800.0,1800.0,123066.0,,,,,,,,,,,,0.12,,100.0,78.19,0.0,0.0,0.0,100.0,49.98,0.5,50.02,1.5639
2025-05-02,3600.0,255456.0,0.05,0.04,0.25,127728.0,1800.0,1800.0,127728.0,,,,,,,,,,,,0.12,,100.0,78.19,0.0,0.0,0.0,100.0,49.07,0.5002,50.93,1.5639
2025-05-05,3600.0,254880.0,0.05,0.04,0.25,127440.0,1800.0,1800.0,127440.0,,,,,,,,,,,,0.13,,100.0,78.19,0.0,0.0,0.0,100.0,49.94,0.5,50.06,1.5639
2025-05-06,3600.0,252756.0,0.05,0.04,0.25,126378.0,1800.0,1800.0,126378.0,,,,,,,,,,,,0.13,,100.0,78.19,0.0,0.0,0.0,100.0,49.79,0.5,50.21,1.5639
2025-05-07,3600.0,250920.0,0.05,0.04,0.25,125460.0,1800.0,1800.0,125460.0,,,,,,,,,,,,0.13,,100.0,78.19,0.0,0.0,0.0,100.0,49.82,0.5,50.18,1.5639
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.13,,1800.0,,,,,1800.0,0.0,0.13,0.0,0.0,502.0,35933.16,0.04,0.0,,0.0,,0.0
