,MLIPP FP Equity_PX_LAST
2024-12-18,45.0
2024-12-19,45.0
2024-12-20,45.0
2024-12-23,45.0
2024-12-24,45.0
2024-12-27,45.0
2024-12-30,45.0
2024-12-31,45.0
2025-01-02,45.0
2025-01-03,45.0
2025-01-06,45.0
2025-01-07,45.0
2025-01-08,45.0
2025-01-09,45.0
2025-01-10,45.0
2025-01-13,45.0
2025-01-14,45.0
2025-01-15,45.0
2025-01-16,45.0
2025-01-17,45.0
2025-01-20,45.0
2025-01-21,45.0
2025-01-22,45.0
2025-01-23,45.0
2025-01-24,45.0
2025-01-27,45.0
2025-01-28,45.0
2025-01-29,45.0
2025-01-30,45.0
2025-01-31,45.0
2025-02-03,45.0
2025-02-04,45.0
2025-02-05,45.0
2025-02-06,45.0
2025-02-07,45.0
2025-02-10,45.0
2025-02-11,45.0
2025-02-12,45.0
2025-02-13,45.0
2025-02-14,45.0
2025-02-17,45.0
2025-02-18,45.0
2025-02-19,45.0
2025-02-20,45.0
2025-02-21,45.0
2025-02-24,45.0
2025-02-25,45.0
2025-02-26,45.0
2025-02-27,45.0
2025-02-28,45.0
2025-03-03,45.0
2025-03-04,45.0
2025-03-05,45.0
2025-03-06,45.0
2025-03-07,45.0
2025-03-10,45.0
2025-03-11,45.0
2025-03-12,45.0
2025-03-13,45.0
2025-03-14,45.0
2025-03-17,45.0
2025-03-18,45.0
2025-03-19,45.0
2025-03-20,45.0
2025-03-21,45.0
2025-03-24,45.0
2025-03-25,45.0
2025-03-26,45.0
2025-03-27,45.0
2025-03-28,45.0
2025-03-31,45.0
2025-04-01,45.0
2025-04-02,45.0
2025-04-03,45.0
2025-04-04,45.0
2025-04-07,45.0
2025-04-08,45.0
2025-04-09,45.0
2025-04-10,45.0
2025-04-11,45.0
2025-04-14,45.0
2025-04-15,45.0
2025-04-16,45.0
2025-04-17,45.0
2025-04-22,45.0
2025-04-23,45.0
2025-04-24,45.0
2025-04-25,45.0
2025-04-28,45.0
2025-04-29,45.0
2025-04-30,45.0
2025-05-02,45.0
2025-05-05,45.0
2025-05-06,45.0
2025-05-07,45.0
2025-05-08,55.5
2025-05-09,55.5
2025-05-12,55.5
2025-05-13,55.5
2025-05-14,55.5
2025-05-15,55.5
2025-05-16,55.5
2025-05-19,55.5
2025-05-20,55.5
2025-05-21,55.5
2025-05-22,55.5
2025-05-23,55.5
2025-05-26,55.5
2025-05-27,55.5
2025-05-28,55.5
2025-05-29,55.5
2025-05-30,55.5
2025-06-02,55.5
2025-06-03,55.5
2025-06-04,55.5
2025-06-05,55.5
2025-06-06,55.5
2025-06-09,55.5
2025-06-10,55.5
2025-06-11,55.5
2025-06-12,55.5
2025-06-13,55.5
2025-06-16,55.5
2025-06-17,55.5
2025-06-18,55.5
2025-06-19,55.5
2025-06-20,55.5
2025-06-23,55.5
2025-06-24,55.5
2025-06-25,55.5
2025-06-26,55.5
2025-06-27,55.5
2025-06-30,55.5
2025-07-01,55.5
2025-07-02,55.5
2025-07-03,55.5
2025-07-04,55.5
2025-07-07,55.5
2025-07-08,55.5
2025-07-09,55.5
2025-07-10,55.5
2025-07-11,55.5
2025-07-14,55.5
2025-07-15,55.5
2025-07-16,55.5
2025-07-17,55.5
2025-07-18,55.5
2025-07-21,55.5
2025-07-22,55.5
2025-07-23,55.5
2025-07-24,55.5
2025-07-25,55.5
2025-07-28,55.5
2025-07-29,55.5
2025-07-30,55.5
2025-07-31,55.5
2025-08-01,55.5
2025-08-04,55.5
2025-08-05,55.5
2025-08-06,55.5
2025-08-07,55.5
2025-08-08,55.5
2025-08-11,55.5
2025-08-12,55.5
2025-08-13,55.5
2025-08-14,55.5
2025-08-15,55.5
2025-08-18,55.5
2025-08-19,55.5
2025-08-20,55.5
2025-08-21,55.5
2025-08-22,55.5
2025-08-25,55.5
2025-08-26,55.5
2025-08-27,55.5
2025-08-28,55.5
2025-08-29,55.5
