,LOUP FP Equity_DX_SI_QTY,LOUP FP Equity_DX_SHORT_INTEREST_VALUE,LOUP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LOUP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LOUP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LOUP FP Equity_DX_SI_MV,LOUP FP Equity_DX_DSS,LOUP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LOUP FP Equity_DX_SUPPLY_SI_QTY,LOUP FP Equity_DX_BROKER_SI_QTY,LOUP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LOUP FP Equity_DX_BROKER_SI_MV_NEW_x,LOUP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LOUP FP Equity_DX_SUPPLY_SI_QTY_INC_x,LOUP FP Equity_DX_BROKER_SI_MV_INC_x,LOUP FP Equity_DX_SUPPLY_SI_MV_NEW,LOUP FP Equity_DX_BROKER_SI_QTY_ADD,LOUP FP Equity_DX_BROKER_SI_QTY_NEW,LOUP FP Equity_DX_SUPPLY_SI_MV_DEC,LOUP FP Equity_DX_BROKER_SI_QTY_INC,LOUP FP Equity_DX_SUPPLY_SI_QTY_DEC,LOUP FP Equity_DX_BROKER_SI_MV_NEW_y,LOUP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LOUP FP Equity_DX_BROKER_SI_MV_INC_y,LOUP FP Equity_DX_SUPPLY_SI_QTY_INC_y,LOUP FP Equity_DX_BROKER_SI_MV_ADD,LOUP FP Equity_DX_SUPPLY_SI_QTY_ADD,LOUP FP Equity_DX_BROKER_SI_QTY_DEC,LOUP FP Equity_DX_SUPPLY_SI_MV,LOUP FP Equity_DX_BROKER_SI_MV_DEC,LOUP FP Equity_DX_SUPPLY_SI_MV_RMV,LOUP FP Equity_DX_BROKER_SI_MV_RMV,LOUP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LOUP FP Equity_DX_UTILIZATION_QUANTITY,LOUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LOUP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LOUP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LOUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LOUP FP Equity_DX_ACTIVE_UTILIZATION_MV,LOUP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LOUP FP Equity_DX_BROKER_SI_CON_RATIO,LOUP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LOUP FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-11-04,10165.0,426426.52,0.51,3.11,0.12,0.52,0.0,306741.83,2853.0,7312.0,119684.69,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.75,0.0,0.0,,0.0,100.0,17.1,0.2155,36.6,0.3116
2008-11-05,10165.0,436118.03,0.51,3.1,0.12,0.54,0.0,313713.23,2853.0,7312.0,122404.79,,,,,,,,,,,,,,,,,,0.14,,,,100.0,8.83,0.0,0.0,,0.0,100.0,17.43,0.212,36.05,0.3146
2008-11-06,10165.0,441309.91,0.51,3.03,0.12,0.54,0.0,317447.92,2853.0,7312.0,123861.99,,,,,,,,,,,,,,,,,,0.14,,,,100.0,9.19,0.0,0.0,,0.0,100.0,17.14,0.2112,36.05,0.3273
2008-11-07,10165.0,450136.11,0.51,3.03,0.12,0.55,0.0,323796.87,2853.0,7312.0,126339.23,,,,,,,,,,,,,,,,,,0.15,,,,100.0,9.76,0.0,0.0,,0.0,100.0,17.54,0.2105,35.84,0.3476
2008-11-10,10165.0,449789.98,0.51,3.16,0.12,0.56,0.0,323547.89,2853.0,7312.0,126242.09,,,,,,,,,,,,,,,,,,0.15,,,,9.76,9.76,26387.0,1167595.5,,1.37,9.8,17.4,0.2105,35.92,0.3476
2008-11-11,10165.0,445636.48,0.51,3.16,0.12,0.56,0.0,320560.15,2853.0,7312.0,125076.33,,,,,,,,,,,,,,,,,,0.15,,,,9.76,9.76,26387.0,1156813.55,,1.36,9.85,17.14,0.2098,35.86,0.3476
2008-11-12,10165.0,448405.48,0.51,3.15,0.12,0.56,0.0,322551.98,2853.0,7312.0,125853.5,,,,,,,,,,,,,,,,,,0.15,,,,9.76,9.76,26387.0,1164001.52,,1.37,10.0,17.71,0.209,35.54,0.3476
2008-11-13,10165.0,454722.27,0.51,3.22,0.12,0.55,0.0,327095.84,2853.0,7312.0,127626.43,,,,,,,,,,,,,,,,,,0.15,,,,9.76,9.76,26387.0,1180399.07,,1.38,9.57,17.23,0.211,36.05,0.3476
2008-11-14,10165.0,458616.18,0.51,3.42,0.12,0.56,0.0,329896.85,2853.0,7312.0,128719.33,,,,,,,,,,,,,,,,,,0.15,,,,9.76,9.76,26387.0,1190507.15,,1.4,9.72,17.51,0.2104,35.89,0.3476
2008-11-17,10165.0,467096.25,0.51,3.66,0.12,0.57,0.0,335996.83,2853.0,7312.0,131099.42,,,,,,,,,,,,,,,,,,0.15,,,,9.44,9.44,27374.0,1257874.36,,1.47,9.4,17.64,0.2098,35.76,0.3363
2008-11-18,10165.0,467096.25,0.51,3.59,0.12,0.57,0.0,335996.83,2853.0,7312.0,131099.42,,,,,,,,,,,,,,,,,,0.15,,,,9.76,9.76,26387.0,1212520.3,,1.42,9.76,17.5,0.2099,35.86,0.3476
2008-11-19,10165.0,474537.95,0.51,3.88,0.12,0.58,0.0,341349.88,2853.0,7312.0,133188.07,,,,,,,,,,,,,,,,,,0.16,,,,9.58,9.58,26927.0,1257047.06,,1.48,9.63,17.84,0.209,35.59,0.3413
2008-11-20,9090.0,416305.63,0.46,3.17,0.11,0.52,0.0,321136.97,2078.0,7012.0,95168.66,,,,,,,,0.04,,775.0,,,,,,,300.0,0.11,0.02,,,6.86,6.86,28219.0,1292379.37,,1.52,6.96,16.14,0.2335,39.88,0.3
2008-11-21,9090.0,419400.83,0.46,3.08,0.11,0.51,0.0,323524.6,2078.0,7012.0,95876.23,,,,,,,,,,,,,,,,,,0.11,,,,100.0,7.05,0.0,0.0,,0.0,100.0,16.3,0.2331,39.77,0.3085
2008-11-24,9090.0,424430.55,0.46,3.09,0.11,0.51,0.0,327404.51,2078.0,7012.0,97026.04,,,,,,,,,,,,,,,,,,0.11,,,,100.0,7.3,0.0,0.0,,0.0,100.0,16.3,0.2343,39.97,0.3192
2008-11-25,9090.0,430620.97,0.46,3.13,0.11,0.52,0.0,332179.78,2078.0,7012.0,98441.18,,,,,,,,,,,,,,,,,,0.11,,,,100.0,6.85,0.0,0.0,,0.0,100.0,16.15,0.2337,39.9,0.2998
2008-11-26,9090.0,448418.42,0.46,3.26,0.11,0.53,0.0,345908.69,2078.0,7012.0,102509.73,,,,,,,,,,,,,,,,,,0.12,,,,100.0,7.06,0.0,0.0,,0.0,100.0,15.89,0.2319,39.63,0.3086
2008-11-27,9090.0,448263.66,0.46,3.1,0.11,0.54,0.0,345789.3,2078.0,7012.0,102474.35,,,,,,,,,,,,,,,,,,0.12,,,,100.0,7.06,0.0,0.0,,0.0,100.0,15.57,0.2332,39.91,0.3086
2008-11-28,9090.0,445168.45,0.46,3.31,0.11,0.54,0.0,343401.67,2078.0,7012.0,101766.78,,,,,,,,,,,,,,,,,,0.12,,,,100.0,7.06,0.0,0.0,,0.0,100.0,15.48,0.2318,39.68,0.3086
2008-12-01,9090.0,445168.45,0.46,3.45,0.11,0.54,0.0,343401.67,2078.0,7012.0,101766.78,,,,,,,,,,,,,,,,,,0.12,,,,100.0,7.06,0.0,0.0,,0.0,100.0,15.56,0.2319,39.69,0.3086
2008-12-02,9090.0,445245.83,0.46,3.42,0.11,0.54,0.0,343461.36,2078.0,7012.0,101784.47,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.71,0.0,0.0,,0.0,100.0,15.59,0.2324,39.77,0.2937
2008-12-03,9090.0,464281.37,0.46,3.44,0.11,0.54,0.0,358145.32,2078.0,7012.0,106136.05,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1474872.25,,1.73,6.6,15.5,0.2311,39.54,0.2937
2008-12-04,9090.0,462733.76,0.46,3.52,0.11,0.55,0.0,356951.5,2078.0,7012.0,105782.26,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1469956.01,,1.73,6.69,15.21,0.2329,39.91,0.2937
2008-12-05,9090.0,450352.93,0.46,3.54,0.11,0.55,0.0,347400.96,2078.0,7012.0,102951.97,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1430626.08,,1.68,6.77,15.19,0.2321,39.78,0.2937
2008-12-08,9090.0,448805.32,0.46,3.65,0.11,0.54,0.0,346207.14,2078.0,7012.0,102598.18,,,,,,,,,,,,,,,,,,0.12,,,,6.83,6.83,28355.0,1399986.23,,1.64,6.78,15.43,0.2318,39.68,0.2987
2008-12-09,9090.0,448805.32,0.46,3.69,0.11,0.54,0.0,346207.14,2078.0,7012.0,102598.18,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1425709.84,,1.67,6.71,15.48,0.2319,39.7,0.2937
2008-12-10,9090.0,444626.79,0.46,4.27,0.11,0.54,0.0,342983.83,2078.0,7012.0,101642.96,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1412435.99,,1.66,6.71,15.52,0.2325,39.8,0.2937
2008-12-11,9090.0,446716.05,0.46,4.5,0.11,0.54,0.0,344595.49,2078.0,7012.0,102120.57,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1419072.91,,1.66,6.59,15.63,0.2328,39.83,0.2937
2008-12-12,9090.0,443001.8,0.46,4.73,0.11,0.54,0.0,341730.32,2078.0,7012.0,101271.48,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1407273.94,,1.65,6.7,15.58,0.2327,39.83,0.2937
2008-12-15,9090.0,444317.27,0.46,4.98,0.11,0.54,0.0,342745.07,2078.0,7012.0,101572.2,,,,,,,,,,,,,,,,,,0.12,,,,6.71,6.71,28876.0,1411452.74,,1.66,6.63,15.66,0.2327,39.81,0.2937
2008-12-16,9090.0,441067.3,0.46,5.23,0.11,0.53,0.0,340238.05,2078.0,7012.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,6.75,6.75,28722.0,1393656.21,,1.63,6.62,15.71,0.2339,40.01,0.2951
2008-12-17,7984.0,387401.68,0.4,4.78,0.1,0.46,0.0,286572.44,2078.0,5906.0,100829.25,,,,,,,,,,,,,,,,,1106.0,0.12,0.07,,,100.0,6.69,0.0,0.0,,0.0,100.0,18.14,0.1933,30.83,0.2569
2008-12-18,6878.0,335668.23,0.35,4.32,0.08,0.41,0.0,234255.23,2078.0,4800.0,101412.99,,,,,,,,,,,,,,,,,1106.0,0.12,0.06,,,100.0,6.66,0.0,0.0,,0.0,100.0,20.67,0.2314,35.13,0.2205
2008-12-19,6878.0,335316.92,0.35,4.36,0.08,0.41,0.0,234010.07,2078.0,4800.0,101306.86,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,20.66,0.232,35.31,0.2196
2008-12-22,6878.0,333677.52,0.35,4.21,0.08,0.4,0.0,232865.96,2078.0,4800.0,100811.56,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,20.82,0.2332,35.54,0.2196
2008-12-23,6878.0,333736.07,0.35,4.28,0.08,0.4,0.0,232906.82,2078.0,4800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,20.88,0.233,35.48,0.2196
2008-12-24,6878.0,333736.07,0.35,4.4,0.08,0.4,0.0,232906.82,2078.0,4800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,20.91,0.2333,35.54,0.2196
2008-12-25,6878.0,333736.07,0.35,4.45,0.08,0.4,0.0,232906.82,2078.0,4800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,20.97,0.2339,35.64,0.2196
2008-12-26,6878.0,333736.07,0.35,4.45,0.08,0.4,0.0,232906.82,2078.0,4800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.65,0.0,0.0,,0.0,100.0,20.89,0.2331,35.5,0.2202
2008-12-29,6878.0,333736.07,0.35,4.45,0.08,0.4,0.0,232906.82,2078.0,4800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,20.79,0.2324,35.34,0.2196
2008-12-30,5878.0,285213.81,0.3,3.88,0.07,0.35,0.0,184384.57,2078.0,3800.0,100829.25,,,,,,,,,,,,,,,,,1000.0,0.12,0.06,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.25,0.2068,24.73,0.1877
2008-12-31,5878.0,285213.81,0.3,3.6,0.07,0.35,0.0,184384.57,2078.0,3800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.03,0.2062,24.5,0.1877
2009-01-01,5878.0,285213.81,0.3,3.76,0.07,0.35,0.0,184384.57,2078.0,3800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.31,0.207,24.79,0.1877
2009-01-02,5878.0,285213.81,0.3,3.76,0.07,0.34,0.0,184384.57,2078.0,3800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.87,0.0,0.0,,0.0,100.0,24.32,0.2071,24.8,0.1943
2009-01-05,5878.0,289216.82,0.3,3.71,0.07,0.35,0.0,186972.42,2078.0,3800.0,102244.39,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.16,0.2066,24.64,0.1877
2009-01-06,5878.0,287915.84,0.3,4.72,0.07,0.35,0.0,186131.37,2078.0,3800.0,101784.47,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.85,0.0,0.0,,0.0,100.0,24.09,0.2068,24.91,0.1938
2009-01-07,5878.0,287865.8,0.3,5.26,0.07,0.35,0.0,186099.02,2078.0,3800.0,101766.78,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.22,0.2072,24.93,0.1877
2009-01-08,5878.0,287615.62,0.3,5.16,0.07,0.35,0.0,185937.28,2078.0,3800.0,101678.33,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.85,0.0,0.0,,0.0,100.0,24.18,0.207,24.89,0.1938
2009-01-09,5878.0,287565.58,0.3,4.67,0.07,0.35,0.0,185904.93,2078.0,3800.0,101660.64,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.85,0.0,0.0,,0.0,100.0,24.07,0.2066,24.75,0.1938
2009-01-12,5878.0,285213.81,0.3,4.88,0.07,0.35,0.0,184384.57,2078.0,3800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.17,0.2069,24.85,0.1877
2009-01-13,5878.0,285213.81,0.3,5.98,0.07,0.35,0.0,184384.57,2078.0,3800.0,100829.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.64,0.0,0.0,,0.0,100.0,24.28,0.2069,24.76,0.1877
2009-01-14,5878.0,280760.48,0.3,6.28,0.07,0.34,0.0,181505.58,2078.0,3800.0,99254.89,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.8,0.0,0.0,,0.0,100.0,24.39,0.2072,24.87,0.1922
2009-01-15,5878.0,285163.78,0.3,5.99,0.07,0.34,0.0,184352.22,2078.0,3800.0,100811.56,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.85,0.0,0.0,,0.0,100.0,24.57,0.2072,24.66,0.1938
2009-01-16,5878.0,285864.3,0.3,4.32,0.07,0.34,0.0,184805.1,2078.0,3800.0,101059.21,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.83,0.0,0.0,,0.0,100.0,24.55,0.2071,24.64,0.1931
2009-01-19,5878.0,283212.31,0.3,4.51,0.07,0.34,0.0,183090.64,2078.0,3800.0,100121.67,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.51,0.0,0.0,,0.0,100.0,24.37,0.2066,24.46,0.1842
2009-01-20,5978.0,288081.38,0.3,4.64,0.07,0.35,0.0,187942.02,2078.0,3900.0,100139.36,,,,0.01,,,,,100.0,,,,0.01,,,,,0.12,,,,100.0,6.62,0.0,0.0,,0.0,100.0,24.02,0.2082,25.74,0.1906
2009-01-21,5978.0,291083.82,0.3,4.75,0.07,0.35,0.0,189900.78,2078.0,3900.0,101183.03,,,,,,,,,,,,,,,,,,0.12,,,,100.0,6.6,0.0,0.0,,0.0,100.0,24.15,0.2087,25.89,0.1899
2009-01-22,5078.0,248557.38,0.26,3.97,0.06,0.3,0.0,195791.56,1078.0,4000.0,52765.82,,,,,,100.0,,0.06,,1000.0,,,,,0.01,,,0.06,,,,100.0,3.51,0.0,0.0,,0.0,100.0,28.1,0.2497,30.12,0.1655
2009-01-23,5118.0,248467.6,0.26,3.72,0.06,0.3,0.0,196133.08,1078.0,4040.0,52334.52,,,,,,40.0,,,,,,,,,0.0,,,0.06,,,,100.0,3.54,0.0,0.0,,0.0,100.0,27.97,0.2461,29.98,0.1682
2009-01-26,5118.0,250515.29,0.26,3.65,0.06,0.3,0.0,197749.47,1078.0,4040.0,52765.82,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.63,0.0,0.0,,0.0,100.0,27.9,0.2459,29.9,0.1724
2009-01-27,5118.0,250515.29,0.26,2.72,0.06,0.3,0.0,197749.47,1078.0,4040.0,52765.82,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.63,0.0,0.0,,0.0,100.0,27.84,0.2457,29.84,0.1724
2009-01-28,5118.0,252955.1,0.26,2.72,0.06,0.3,0.0,199675.38,1078.0,4040.0,53279.72,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.63,0.0,0.0,,0.0,100.0,27.74,0.2454,29.73,0.1724
2009-01-29,5118.0,256179.12,0.26,2.72,0.06,0.3,0.0,202220.33,1078.0,4040.0,53958.79,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.51,0.0,0.0,,0.0,100.0,27.6,0.2449,29.58,0.1668
2009-01-30,5118.0,257747.56,0.26,2.69,0.06,0.3,0.0,203458.41,1078.0,4040.0,54289.15,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.5,0.0,0.0,,0.0,100.0,27.53,0.2446,29.51,0.1663
2009-02-02,5118.0,259403.14,0.26,2.69,0.06,0.31,0.0,204765.28,1078.0,4040.0,54637.86,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.6,0.0,0.0,,0.0,100.0,27.49,0.2443,29.46,0.1708
2009-02-03,5118.0,263062.84,0.26,2.67,0.06,0.31,0.0,207654.14,1078.0,4040.0,55408.7,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.55,0.0,0.0,,0.0,100.0,27.38,0.2439,29.35,0.1685
2009-02-04,5078.0,261179.77,0.26,2.57,0.06,0.31,0.0,205734.36,1078.0,4000.0,55445.41,,,,,,,,,,,,,,,,,40.0,0.07,0.0,,,100.0,3.52,0.0,0.0,,0.0,100.0,27.45,0.2472,29.42,0.1657
2009-02-05,5078.0,261179.77,0.26,2.64,0.06,0.31,0.0,205734.36,1078.0,4000.0,55445.41,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.52,0.0,0.0,,0.0,100.0,27.46,0.2471,29.43,0.1657
2009-02-06,5078.0,261179.77,0.26,2.59,0.06,0.3,0.0,205734.36,1078.0,4000.0,55445.41,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.45,0.0,0.0,,0.0,100.0,27.51,0.2472,29.48,0.1627
2009-02-09,5078.0,262563.05,0.26,2.59,0.06,0.31,0.0,206823.98,1078.0,4000.0,55739.06,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.35,0.0,0.0,,0.0,100.0,27.41,0.247,29.37,0.1577
2009-02-10,5078.0,263643.73,0.26,2.59,0.06,0.31,0.0,207675.25,1078.0,4000.0,55968.48,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.35,0.0,0.0,,0.0,100.0,27.32,0.2468,29.28,0.1577
2009-02-11,5078.0,263600.5,0.26,2.59,0.06,0.31,0.0,207641.2,1078.0,4000.0,55959.3,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.46,0.0,0.0,,0.0,100.0,27.36,0.2468,29.32,0.1631
2009-02-12,5078.0,263643.73,0.26,2.81,0.06,0.31,0.0,207675.25,1078.0,4000.0,55968.48,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.46,0.0,0.0,,0.0,100.0,27.4,0.2468,29.36,0.1631
2009-02-13,5078.0,261309.45,0.26,2.81,0.06,0.31,0.0,205836.51,1078.0,4000.0,55472.94,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.46,0.0,0.0,,0.0,100.0,27.39,0.2468,29.36,0.1631
2009-02-16,5078.0,261309.45,0.26,2.82,0.06,0.31,0.0,205836.51,1078.0,4000.0,55472.94,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.46,0.0,0.0,,0.0,100.0,27.45,0.247,29.42,0.1631
2009-02-17,5078.0,258240.31,0.26,2.85,0.06,0.3,0.0,203418.91,1078.0,4000.0,54821.4,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.34,0.0,0.0,,0.0,100.0,27.54,0.2473,29.51,0.1573
2009-02-18,5078.0,261309.45,0.26,2.86,0.06,0.3,0.0,205836.51,1078.0,4000.0,55472.94,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.44,0.0,0.0,,0.0,100.0,27.53,0.2473,29.5,0.1618
2009-02-19,5078.0,260574.59,0.26,2.88,0.06,0.31,0.0,205257.65,1078.0,4000.0,55316.94,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.33,0.0,0.0,,0.0,100.0,27.47,0.2472,29.44,0.1569
2009-02-20,5078.0,260574.59,0.26,3.06,0.06,0.3,0.0,205257.65,1078.0,4000.0,55316.94,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.61,0.0,0.0,,0.0,100.0,27.6,0.2475,29.58,0.17
2009-02-23,5078.0,260574.59,0.26,3.07,0.06,0.31,0.0,205257.65,1078.0,4000.0,55316.94,,,,,,,,,,,,,,,,,,0.07,,,,100.0,3.61,0.0,0.0,,0.0,100.0,27.49,0.2472,29.46,0.17
2009-02-24,5078.0,260661.04,0.26,3.07,0.06,0.3,0.0,205325.75,1078.0,4000.0,55335.29,,,,,,,,,,,,,,,,,,0.06,,,,100.0,3.74,0.0,0.0,,0.0,100.0,27.53,0.2473,29.51,0.1759
2009-02-25,25123.0,1287888.81,1.26,15.18,0.31,1.51,0.0,205053.35,21123.0,4000.0,1082835.46,,,,,,,,,,,,,,,,20045.0,,1.27,,,,73.19,73.19,7739.0,396726.96,,0.47,73.03,5.94,0.6475,79.84,0.8705
2009-02-26,25123.0,1293663.14,1.26,15.85,0.31,1.51,0.0,205972.72,21123.0,4000.0,1087690.42,,,,,,,,,,,,,,,,,,1.27,,,,73.19,73.19,7739.0,398505.71,,0.48,72.8,5.95,0.6468,79.8,0.8705
2009-02-27,25023.0,1312371.24,1.26,21.58,0.31,1.5,0.0,204541.74,21123.0,3900.0,1107829.51,,,,,,,,,,,,,,,,,100.0,1.26,0.01,,,73.19,73.19,7739.0,405884.23,,0.51,71.07,5.62,0.6484,79.91,0.867
2009-03-02,25023.0,1299377.47,1.26,21.63,0.31,1.53,0.0,202516.57,21123.0,3900.0,1096860.9,,,,,,,,,,,,,,,,,,1.29,,,,73.19,73.19,7739.0,401865.57,,0.48,73.04,5.51,0.6538,80.26,0.867
2009-03-03,24923.0,1247509.22,1.25,20.14,0.31,1.51,0.0,190207.24,21123.0,3800.0,1057301.98,,,,,,,,,,,,,,,,,100.0,1.28,0.01,,,73.19,73.19,7739.0,387372.06,,0.46,73.67,5.57,0.6599,80.64,0.8635
2009-03-04,24923.0,1257692.97,1.25,19.61,0.31,1.48,0.0,191759.95,21123.0,3800.0,1065933.02,,,,,,,,,,,,,,,,,,1.25,,,,73.19,73.19,7739.0,390534.28,,0.46,73.15,5.7,0.6555,80.35,0.8635
2009-03-05,25023.0,1262739.28,1.26,14.2,0.31,1.48,0.0,196806.27,21123.0,3900.0,1065933.02,,,,,,100.0,,,,,,,,,0.01,,,1.25,,,,73.19,73.19,7736.0,390382.89,,0.46,72.87,5.69,0.6485,79.91,0.8671
2009-03-06,25023.0,1262952.3,1.26,14.99,0.31,1.48,0.0,196839.47,21123.0,3900.0,1066112.83,,,,,,,,,,,,,,,,,,1.25,,,,73.19,73.19,7736.0,390448.75,,0.46,72.83,5.69,0.6485,79.91,0.8671
2009-03-09,25023.0,1275946.07,1.26,15.41,0.31,1.48,0.0,198864.63,21123.0,3900.0,1077081.44,,,,,,,,,,,,,,,,,,1.25,,,,73.19,73.19,7736.0,394465.84,,0.48,72.16,5.69,0.648,79.87,0.8671
2009-03-10,25023.0,1275946.07,1.26,22.23,0.31,1.51,0.0,198864.63,21123.0,3900.0,1077081.44,,,,,,,,,,,,,,,,,,1.27,,,,70.93,70.93,8656.0,441377.5,,0.52,71.17,5.58,0.6527,80.19,0.8403
2009-03-11,25023.0,1275520.04,1.26,21.87,0.31,1.48,0.0,198798.23,21123.0,3900.0,1076721.81,,,,,,,,,,,,,,,,,,1.25,,,,73.19,73.19,7736.0,394334.14,,0.48,72.3,5.68,0.6482,79.89,0.8671
2009-03-12,25023.0,1260183.13,1.26,22.23,0.31,1.5,0.0,196407.87,21123.0,3900.0,1063775.26,,,,,,,,,,,,,,,,,,1.26,,,,73.32,73.32,7687.0,387124.95,,0.46,73.43,5.62,0.6523,80.16,0.8686
2009-03-13,25023.0,1275946.07,1.26,22.18,0.31,1.48,0.0,198864.63,21123.0,3900.0,1077081.44,,,,,,,,,,,,,,,,,,1.25,,,,73.32,73.32,7687.0,391967.29,,0.47,72.51,5.67,0.649,79.95,0.8686
2009-03-16,24928.0,1272375.16,1.25,21.55,0.31,1.49,0.0,194214.84,21123.0,3805.0,1078160.32,,,,,,,,,,,,,,,,,95.0,1.26,0.01,,,73.32,73.32,7687.0,392359.91,,0.47,72.98,5.65,0.6557,80.37,0.8653
2009-03-17,24923.0,1272119.95,1.25,13.69,0.31,1.49,0.0,193959.63,21123.0,3800.0,1078160.32,,,,,,,,,,,,,,,,,5.0,1.26,0.0,,,70.89,70.89,8674.0,442738.37,,0.52,70.61,5.65,0.6563,80.4,0.8364
2009-03-18,24923.0,1272119.95,1.25,14.2,0.31,1.47,0.0,193959.63,21123.0,3800.0,1078160.32,,,,,,,,,,,,,,,,,,1.24,,,,72.91,72.91,7850.0,400679.76,,0.49,71.86,5.72,0.6541,80.26,0.8602
2009-03-19,24923.0,1261299.71,1.25,14.28,0.31,1.48,0.0,192309.87,21123.0,3800.0,1068989.84,,,,,,,,,,,,,,,,,,1.25,,,,69.54,69.54,9252.0,468223.93,,0.55,69.44,5.68,0.6545,80.29,0.8205
2009-03-20,24923.0,1255995.68,1.25,14.6,0.31,1.49,0.0,191501.17,21123.0,3800.0,1064494.51,,,,,,,,,,,,,,,,,,1.26,,,,70.8,70.8,8710.0,438940.83,,0.52,70.78,5.66,0.6565,80.42,0.8354
2009-03-23,24923.0,1257905.13,1.25,14.47,0.31,1.49,0.0,191792.3,21123.0,3800.0,1066112.83,,,,,,,,,,,,,,,,,,1.26,,,,73.47,73.47,7628.0,384997.81,,0.45,73.74,5.66,0.6567,80.43,0.8669
