,3CAC FP Equity_DX_SI_QTY,3CAC FP Equity_DX_SHORT_INTEREST_VALUE,3CAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,3CAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,3CAC FP Equity_DX_SI_MV,3CAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,3CAC FP Equity_DX_SUPPLY_SI_QTY,3CAC FP Equity_DX_BROKER_SI_QTY,3CAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,3CAC FP Equity_DX_SUPPLY_SI_MV,3CAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,3CAC FP Equity_DX_UTILIZATION_QUANTITY,3CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,3CAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,3CAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,3CAC FP Equity_DX_ACTIVE_UTILIZATION_MV,3CAC FP Equity_DX_BROKER_SI_CON_RATIO,3CAC FP Equity_DX_DEMAND_SUPPLY_RATIO,3CAC FP Equity_PX_LAST
2025-04-09,,,,,,,,,,,,,,,,,,,35.54
2025-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3981.5,0.0,0.0,0.0,0.0,39.815
2025-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,3980.5,0.0,0.0,0.0,0.0,39.805
2025-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4180.0,0.0,0.0,0.0,0.0,41.8
2025-04-15,,,,,,,,,,,,,,,,,,,43.02
2025-04-16,,,,,,,,,,,,,,,,,,,42.885
2025-04-17,,,,,,,,,,,,,,,,,,,42.145
2025-04-22,,,,,,,,,,,,,,,,,,,42.905
2025-04-23,,,,,,,,,,,,,,,,,,,45.855
2025-04-24,,,,,,,,,,,,,,,,,,,46.11
2025-04-25,,,,,,,,,,,,,,,,,,,47.02
2025-04-28,,,,,,,,,,,,,,,,,,,47.69
2025-04-29,,,,,,,,,,,,,,,,,,,47.56
2025-04-30,,,,,,,,,,,,,,,,,,,48.0
2025-05-02,,,,,,,,,,,,,,,,,,,51.54
2025-05-05,,,,,,,,,,,,,,,,,,,51.18
2025-05-06,,,,,,,,,,,,,,,,,,,50.52
2025-05-07,,,,,,,,,,,,,,,,,,,48.58
2025-05-08,,,,,,,,,,,,,,,,,,,50.55
2025-05-09,,,,,,,,,,,,,,,,,,,51.42
2025-05-12,,,,,,,,,,,,,,,,,,,53.2
2025-05-13,,,,,,,,,,,,,,,,,,,54.38
2025-05-14,,,,,,,,,,,,,,,,,,,53.26
2025-05-15,,,,,,,,,,,,,,,,,,,53.94
2025-05-16,,,,,,,,,,,,,,,,,,,54.59
2025-05-19,,,,,,,,,,,,,,,,,,,54.95
2025-05-20,,,,,,,,,,,,,,,,,,,56.46
2025-05-21,,,,,,,,,,,,,,,,,,,55.9
2025-05-22,,,,,,,,,,,,,,,,,,,54.62
2025-05-23,,,,,,,,,,,,,,,,,,,51.93
2025-05-26,,,,,,,,,,,,,,,,,,,54.11
2025-05-27,,,,,,,,,,,,,,,,,,,53.73
2025-05-28,,,,,,,,,,,,,,,,,,,53.46
2025-05-29,,,,,,,,,,,,,,,,,,,52.79
2025-05-30,,,,,,,,,,,,,,,,,,,52.72
2025-06-02,,,,,,,,,,,,,,,,,,,52.33
2025-06-03,,,,,,,,,,,,,,,,,,,52.26
2025-06-04,,,,,,,,,,,,,,,,,,,53.64
2025-06-05,,,,,,,,,,,,,,,,,,,53.49
2025-06-06,,,,,,,,,,,,,,,,,,,53.66
2025-06-09,,,,,,,,,,,,,,,,,,,53.36
2025-06-10,,,,,,,,,,,,,,,,,,,52.96
2025-06-11,,,,,,,,,,,,,,,,,,,53.18
2025-06-12,,,,,,,,,,,,,,,,,,,52.24
2025-06-13,,,,,,,,,,,,,,,,,,,51.26
2025-06-16,,,,,,,,,,,,,,,,,,,52.38
2025-06-17,,,,,,,,,,,,,,,,,,,51.23
2025-06-18,,,,,,,,,,,,,,,,,,,50.82
2025-06-19,,,,,,,,,,,,,,,,,,,48.82
2025-06-20,,,,,,,,,,,,,,,,,,,49.215
2025-06-23,,,,,,,,,,,,,,,,,,,48.485
2025-06-24,,,,,,,,,,,,,,,,,,,50.05
2025-06-25,,,,,,,,,,,,,,,,,,,48.995
2025-06-26,,,,,,,,,,,,,,,,,,,48.85
2025-06-27,,,,,,,,,,,,,,,,,,,51.28
2025-06-30,,,,,,,,,,,,,,,,,,,50.48
2025-07-01,,,,,,,,,,,,,,,,,,,50.92
2025-07-02,,,,,,,,,,,,,,,,,,,52.47
2025-07-03,,,,,,,,,,,,,,,,,,,52.54
2025-07-04,,,,,,,,,,,,,,,,,,,51.5
2025-07-07,,,,,,,,,,,,,,,,,,,51.86
2025-07-08,,,,,,,,,,,,,,,,,,,52.64
2025-07-09,,,,,,,,,,,,,,,,,,,54.99
2025-07-10,,,,,,,,,,,,,,,,,,,54.96
2025-07-11,,,,,,,,,,,,,,,,,,,53.85
2025-07-14,,,,,,,,,,,,,,,,,,,53.58
2025-07-15,,,,,,,,,,,,,,,,,,,52.85
2025-07-16,,,,,,,,,,,,,,,,,,,52.2
2025-07-17,,,,,,,,,,,,,,,,,,,53.85
2025-07-18,,,,,,,,,,,,,,,,,,,53.83
2025-07-21,,,,,,,,,,,,,,,,,,,52.93
2025-07-22,,,,,,,,,,,,,,,,,,,52.05
2025-07-23,,,,,,,,,,,,,,,,,,,54.55
2025-07-24,,,,,,,,,,,,,,,,,,,53.78
2025-07-25,,,,,,,,,,,,,,,,,,,54.19
2025-07-28,,,,,,,,,,,,,,,,,,,53.02
2025-07-29,,,,,,,,,,,,,,,,,,,54.29
2025-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,10938.0,0.01,0.0,0.0,0.0,54.69
2025-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,10568.0,0.01,0.0,0.0,0.0,52.84
2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,9627.0,0.01,0.0,0.0,0.0,48.135
2025-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,9917.0,0.01,0.0,0.0,0.0,49.585
2025-08-05,,,,,,,,,,,,,,,,,,,49.665
2025-08-06,,,,,,,,,,,,,,,,,,,49.72
2025-08-07,,,,,,,,,,,,,,,,,,,51.06
2025-08-08,,,,,,,,,,,,,,,,,,,51.98
2025-08-11,,,,,,,,,,,,,,,,,,,50.91
2025-08-12,,,,,,,,,,,,,,,,,,,52.01
2025-08-13,,,,,,,,,,,,,,,,,,,53.19
2025-08-14,,,,,,,,,,,,,,,,,,,54.14
2025-08-15,,,,,,,,,,,,,,,,,,,55.47
2025-08-18,,,,,,,,,,,,,,,,,,,54.43
2025-08-19,,,,,,,,,,,,,,,,,,,55.75
2025-08-20,,,,,,,,,,,,,,,,,,,56.48
2025-08-21,,,,,,,,,,,,,,,,,,,55.61
2025-08-22,,,,,,,,,,,,,,,,,,,56.46
2025-08-25,,,,,,,,,,,,,,,,,,,53.42
2025-08-26,,,,,,,,,,,,,,,,,,,50.84
2025-08-27,,,,,,,,,,,,,,,,,,,51.52
2025-08-28,,,,,,,,,,,,,,,,,,,51.96
2025-08-29,,,,,,,,,,,,,,,,,,,50.74
