,VAC FP Equity_DX_SI_QTY,VAC FP Equity_DX_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,VAC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,VAC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,VAC FP Equity_DX_SI_MV,VAC FP Equity_DX_DSS,VAC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY,VAC FP Equity_DX_BROKER_SI_QTY,VAC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,VAC FP Equity_DX_BROKER_SI_MV_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_x,VAC FP Equity_DX_BROKER_SI_MV_INC_x,VAC FP Equity_DX_SUPPLY_SI_MV_NEW,VAC FP Equity_DX_BROKER_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_NEW,VAC FP Equity_DX_SUPPLY_SI_MV_DEC,VAC FP Equity_DX_BROKER_SI_QTY_INC,VAC FP Equity_DX_SUPPLY_SI_QTY_DEC,VAC FP Equity_DX_BROKER_SI_MV_NEW_y,VAC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,VAC FP Equity_DX_BROKER_SI_MV_INC_y,VAC FP Equity_DX_SUPPLY_SI_QTY_INC_y,VAC FP Equity_DX_BROKER_SI_MV_ADD,VAC FP Equity_DX_SUPPLY_SI_QTY_ADD,VAC FP Equity_DX_BROKER_SI_QTY_DEC,VAC FP Equity_DX_SUPPLY_SI_MV,VAC FP Equity_DX_BROKER_SI_MV_DEC,VAC FP Equity_DX_SUPPLY_SI_MV_RMV,VAC FP Equity_DX_BROKER_SI_MV_RMV,VAC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,VAC FP Equity_DX_UTILIZATION_QUANTITY,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,VAC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,VAC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,VAC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,VAC FP Equity_DX_ACTIVE_UTILIZATION_MV,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,VAC FP Equity_DX_BROKER_SI_CON_RATIO,VAC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,VAC FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-06-25,69793.0,3942029.92,1.61,3.87,0.79,4.46,0.0,3221887.77,29671.0,57043.0,1675869.64,,,137.0,,,,,0.01,,137.0,,,,137.0,,,,1.88,,,,5.14,5.14,547913.0,30947078.37,,34.26,5.21,30.48,0.2287,32.0,0.1208
2008-06-26,68193.0,3728784.86,1.57,3.66,0.77,4.41,0.0,3031616.43,28071.0,55443.0,1534918.83,,,766.0,,,,,0.15,,2366.0,,,,766.0,,,1600.0,1.76,0.1,,,4.99,4.99,533999.0,29198999.71,,33.8,4.94,31.11,0.2369,32.6,0.1213
2008-06-27,68193.0,3764148.68,1.57,3.65,0.77,4.38,0.0,3060368.3,28071.0,55443.0,1549476.01,,,,,,,,,,,,,,,,,,1.76,,,,4.99,4.99,533999.0,29475923.19,,33.26,5.02,30.98,0.237,32.82,0.1213
2008-06-30,68193.0,3916392.91,1.57,3.66,0.77,4.48,0.0,3184147.52,28071.0,55443.0,1612145.9,,,,,,,,,,,,,,,,,,1.82,,,,4.99,4.99,533999.0,30668102.25,,33.7,5.12,30.66,0.2402,33.77,0.1213
2008-07-01,69308.0,3856154.32,1.6,3.7,0.78,4.6,0.0,3146770.59,28071.0,56558.0,1561812.6,,,,0.08,,,,,1115.0,,,,0.08,,,,,1.79,,,,4.99,4.99,533999.0,29710604.11,,34.45,4.94,30.2,0.234,32.83,0.1233
2008-07-02,69308.0,3658777.7,1.6,3.96,0.78,4.4,0.0,2985703.66,29186.0,56558.0,1540732.47,,,72.0,,,,,0.04,,513.0,,,,72.0,,1556.0,,1.77,,,,4.86,4.86,570831.0,30134237.5,,35.74,4.73,30.87,0.2306,31.49,0.1155
2008-07-03,67903.0,3585204.42,1.57,4.01,0.77,4.26,0.0,2912018.31,29186.0,55153.0,1540989.0,,,,,,,,,,,,,,,,,1405.0,1.76,0.11,,,4.9,4.9,566441.0,29907467.64,,34.47,4.87,28.91,0.2294,33.06,0.114
2008-07-04,67903.0,3699200.43,1.57,4.08,0.77,4.29,0.0,3004609.53,29186.0,55153.0,1589986.65,,,,,,,,,,,,,,,,,,1.79,,,,4.83,4.83,575250.0,31338306.8,,34.95,4.87,28.76,0.2302,33.39,0.1123
2008-07-07,67903.0,3668164.86,1.57,4.14,0.77,4.32,0.0,2979401.45,29186.0,55153.0,1576646.98,,,,,,,,0.12,,2000.0,,,,,,2000.0,,1.8,,,,4.83,4.83,575649.0,31096938.81,,35.45,4.82,28.92,0.2293,33.01,0.1123
2008-07-08,63403.0,3254542.77,1.46,3.95,0.72,3.95,0.0,2728399.47,26686.0,53153.0,1369820.49,,,,,,,,0.16,,2500.0,,,,,,,2000.0,1.58,0.13,,,4.38,4.38,582243.0,29887146.45,,35.28,4.29,31.27,0.2492,34.32,0.1041
2008-07-09,63403.0,3334791.77,1.46,3.97,0.72,3.91,0.0,2795675.08,26686.0,53153.0,1403596.88,,,,,,,,,,,,,,,,,,1.59,,,,4.64,4.64,548285.0,28838009.34,,32.22,4.7,30.96,0.2532,35.44,0.1103
2008-07-10,63403.0,3266245.75,1.46,3.99,0.72,3.93,0.0,2738210.5,26686.0,53153.0,1374746.21,,,,,,,,,,,,,,,,,,1.58,,,,4.64,4.64,547979.0,28229485.67,,32.56,4.64,31.02,0.2516,35.05,0.1103
2008-07-11,64403.0,3287759.45,1.49,4.3,0.73,3.95,0.0,2764499.13,26686.0,54153.0,1362314.62,,,,0.05,,,,,1000.0,,,,0.05,,,,,1.55,,,,4.65,4.65,547160.0,27932401.58,,31.85,4.64,31.99,0.2543,34.76,0.1122
2008-07-14,64403.0,3244737.8,1.49,4.41,0.73,3.95,0.0,2728324.55,26686.0,54153.0,1344488.19,,,343.0,,,,,0.02,,343.0,,,,343.0,,,,1.54,,,,4.67,4.67,544268.0,27421190.84,,31.49,4.65,31.85,0.2544,34.9,0.1128
2008-07-15,64403.0,3271909.37,1.49,4.63,0.73,3.93,0.0,2751171.65,26686.0,54153.0,1355746.99,,,,,,,,,,,,,,,,,,1.54,,,,4.68,4.68,543698.0,27621858.91,,31.25,4.7,31.78,0.2555,35.2,0.1129
2008-07-16,60533.0,3072638.83,1.4,4.46,0.68,3.69,0.0,2552351.59,26686.0,50283.0,1354574.2,,,,,,,,,,,,,,,,,3870.0,1.55,0.27,,,4.68,4.68,543310.0,27578269.79,,31.51,4.68,30.41,0.2685,37.67,0.1062
2008-07-17,60533.0,3409431.97,1.4,4.65,0.68,3.7,0.0,2832115.84,26686.0,50283.0,1503049.6,,,,,,,,,,,,,,,,,,1.67,,,,4.69,4.69,542367.0,30548021.6,,32.33,4.91,30.8,0.2692,37.51,0.1064
2008-07-18,60533.0,3283334.07,1.4,4.66,0.68,3.85,0.0,2727369.98,26686.0,50283.0,1447459.29,,,,,,,,,,,,,,,,,,1.68,,,,4.7,4.7,540793.0,29332828.06,,34.34,4.66,31.17,0.2632,36.01,0.1067
2008-07-21,60533.0,3289718.77,1.4,4.6,0.68,3.83,0.0,2732673.57,26686.0,50283.0,1450273.99,,,,,,,,,,,,,,,,,,1.65,,,,5.23,5.23,483481.0,26275197.36,,29.79,5.24,30.64,0.2677,37.31,0.1187
2008-07-22,60533.0,3235448.79,1.4,4.55,0.68,3.84,0.0,2687593.07,26686.0,50283.0,1426349.04,,,,,,,,,,,,,,,,,,1.64,,,,5.14,5.14,492926.0,26346568.47,,30.36,5.11,30.56,0.2671,37.26,0.1165
2008-07-23,60614.0,3343135.69,1.4,4.51,0.69,3.86,0.0,2777801.92,26686.0,50364.0,1471853.35,,,,,,81.0,,,,,,,,,0.0,,,1.67,,,,5.15,5.15,491392.0,27102486.74,,30.3,5.22,30.36,0.2691,37.84,0.117
2008-07-24,60614.0,3369241.45,1.4,4.76,0.69,3.91,0.0,2799493.12,26686.0,50364.0,1483346.71,,,,,,,,,,,,,,,,,,1.68,,,,5.15,5.15,491685.0,27330410.15,,30.92,5.15,30.48,0.268,37.53,0.1169
2008-07-25,60614.0,3297317.41,1.4,4.92,0.69,3.88,0.0,2739731.65,26686.0,50364.0,1451681.34,,,,,,,,,,,,,,,,,,1.67,,,,5.12,5.12,494657.0,26908653.76,,31.04,5.1,30.65,0.266,37.03,0.1163
2008-07-28,61993.0,3316209.28,1.43,5.12,0.7,3.9,0.0,2694135.86,28065.0,50364.0,1501289.07,,,,,,,,,,,,,,,,1379.0,,1.73,,,,5.51,5.51,481447.0,25754182.07,,29.62,5.52,30.01,0.2546,36.14,0.1217
2008-07-29,60614.0,3147608.87,1.4,4.97,0.69,3.77,0.0,2615339.24,26686.0,50364.0,1385770.45,,,,,,,,0.08,,1379.0,,,,,,,,1.59,,,,5.22,5.22,484167.0,25142184.01,,29.29,5.16,30.76,0.2643,36.63,0.1187
2008-07-30,60614.0,3324488.71,1.4,5.0,0.69,3.79,0.0,2762308.21,26686.0,50364.0,1463643.81,,,,,,,,,,,,,,,,,,1.64,,,,5.21,5.21,485071.0,26604630.37,,29.16,5.34,30.27,0.2705,38.16,0.1184
2008-07-31,60614.0,3387355.65,1.4,5.08,0.69,3.9,0.0,2814544.16,26686.0,50364.0,1491321.69,,,,,,,,,,,,,,,,,,1.68,,,,5.21,5.21,485459.0,27129413.76,,30.29,5.26,30.39,0.269,37.78,0.1184
2008-08-01,60614.0,3249900.83,1.4,5.09,0.69,3.93,0.0,2700333.34,26686.0,50364.0,1430805.65,,,,,,,,,,,,,,,,,,1.65,,,,5.0,5.0,507165.0,27192331.02,,31.9,4.91,30.34,0.2675,37.54,0.1135
2008-08-04,60614.0,3247236.97,1.41,5.1,0.69,3.8,0.0,2698119.95,26686.0,50364.0,1429632.85,,,,,,,,,,,,,,,,,,1.63,,,,5.01,5.01,505640.0,27088344.33,,30.82,5.02,30.62,0.2665,37.17,0.1139
2008-08-05,60614.0,3293588.02,1.41,5.12,0.69,3.84,0.0,2736632.91,26686.0,50364.0,1450039.43,,,,,,,,,,,,,,,,,,1.65,,,,4.92,4.92,516033.0,28039728.54,,31.68,4.95,30.5,0.2676,37.45,0.1117
2008-08-06,60614.0,3355922.18,1.41,5.07,0.69,3.89,0.0,2788426.18,26686.0,50364.0,1477482.75,,,,,,,,,,,,,,,,,,1.68,,,,5.02,5.02,504843.0,27950866.5,,31.44,5.06,30.4,0.2687,37.74,0.114
2008-08-07,60814.0,3372340.56,1.41,5.28,0.69,3.93,0.0,2803943.63,26686.0,50564.0,1479828.33,,,,0.01,,,,,200.0,,,,0.01,,,,,1.69,,,,5.03,5.03,504015.0,27949324.61,,31.84,5.04,30.38,0.2664,37.43,0.1146
2008-08-08,60814.0,3341872.43,1.41,5.37,0.69,3.97,0.0,2778610.81,26686.0,50564.0,1466458.51,,,,,,,,,,,,,,,,,,1.69,,,,5.16,5.16,490048.0,26929290.98,,31.1,5.14,30.26,0.2659,37.42,0.1177
2008-08-11,60814.0,3319956.76,1.41,5.35,0.69,3.9,0.0,2760388.95,26686.0,50564.0,1456841.62,,,,,,,,,,,,,,,,,,1.67,,,,100.0,5.03,0.0,0.0,,0.0,100.0,30.43,0.2653,37.18,0.1147
2008-08-12,60814.0,3207171.24,1.41,5.51,0.69,3.82,0.0,2666613.06,26686.0,50564.0,1407349.82,,,,,,,,,,,,,,,,,,1.62,,,,50.06,5.05,26625.0,1404132.84,,1.6,50.36,26.65,0.2593,38.54,0.1151
2008-08-13,60733.0,3130300.46,1.41,5.44,0.69,3.74,0.0,2601994.93,26686.0,50483.0,1375449.89,,,,,,,,,,,,,,,,,81.0,1.58,0.01,,,50.06,4.99,26625.0,1372305.82,,1.56,50.36,26.78,0.2594,38.43,0.1135
2008-08-14,60733.0,3217846.38,1.41,5.38,0.69,3.77,0.0,2674765.59,26686.0,50483.0,1413917.45,,,,,,,,,,,,,,,,,,1.6,,,,50.06,5.15,26625.0,1410685.46,,1.61,49.99,30.19,0.2654,37.33,0.1172
2008-08-15,60733.0,3253612.09,1.41,5.53,0.69,3.82,0.0,2704495.07,26686.0,50483.0,1429632.85,,,,,,,,,,,,,,,,,,1.63,,,,50.06,5.14,26625.0,1426364.94,,1.62,50.1,30.41,0.2651,37.12,0.117
2008-08-18,60733.0,3294715.97,1.41,5.58,0.69,3.83,0.0,2738661.78,26686.0,50483.0,1447693.84,,,,,,,,,,,,,,,,,,1.64,,,,50.06,5.15,26625.0,1444384.64,,1.62,50.28,30.44,0.2667,37.41,0.1172
2008-08-19,64733.0,3395641.85,1.51,5.96,0.73,4.02,0.0,2857966.65,26686.0,54483.0,1399843.95,,,,0.18,,,,,4000.0,,,,0.18,,,,,1.62,,,,100.0,5.15,0.0,0.0,,0.0,100.0,28.99,0.2768,40.18,0.125
2008-08-20,64733.0,3361503.36,1.51,6.11,0.73,3.96,0.0,2829233.74,30686.0,54483.0,1593485.43,,,,,,,,,,,,,,,,4000.0,,1.82,,,,100.0,5.94,0.0,0.0,,0.0,100.0,28.81,0.2786,40.59,0.1254
2008-08-21,64533.0,3312546.86,1.5,6.09,0.73,3.89,0.0,2786403.57,30686.0,54283.0,1575144.7,,,,,,,,,,,,,,,,,200.0,1.79,0.01,,,100.0,5.96,0.0,0.0,,0.0,100.0,28.99,0.2798,40.58,0.1252
2008-08-22,69033.0,3548997.53,1.61,6.51,0.78,4.17,0.0,3022043.4,30686.0,58783.0,1577572.15,,,,0.28,,,,,4500.0,,,,0.28,,,,,1.79,,,,100.0,5.96,0.0,0.0,,0.0,100.0,27.04,0.299,44.6,0.134
2008-08-25,69033.0,3564166.78,1.61,6.6,0.78,4.18,0.0,3034960.32,32050.0,58783.0,1654738.25,,,1029.0,,,,,0.18,,3136.0,,,,1029.0,,3471.0,,1.89,,,,100.0,6.22,0.0,0.0,,0.0,100.0,26.99,0.2993,44.65,0.1341
2008-08-26,69033.0,3604213.6,1.61,6.67,0.78,4.21,0.0,3069061.0,35186.0,58783.0,1837061.4,,,,,,,,,,,,,,,,3136.0,,2.09,,,,100.0,6.84,0.0,0.0,,0.0,100.0,27.0,0.2996,44.7,0.1342
2008-08-27,69033.0,3636372.41,1.61,6.72,0.78,4.24,0.0,3096444.88,35186.0,58783.0,1853452.69,,,,,,,,,,,,,,,,,,2.11,,,,100.0,6.84,0.0,0.0,,0.0,100.0,26.88,0.3017,45.05,0.1343
2008-08-28,42713.0,2233800.43,0.99,4.19,0.48,2.62,0.0,2121359.93,27086.0,40563.0,1416541.06,,,,,,,,0.48,,8100.0,,,,,,,18220.0,1.62,1.13,,,100.0,5.17,0.0,0.0,,0.0,100.0,13.88,0.559,73.05,0.0815
2008-08-29,44713.0,2369050.85,1.04,4.76,0.51,2.76,0.0,2255136.34,29086.0,42563.0,1541077.83,,,2000.0,0.14,,,,,2000.0,,,,0.14,2000.0,,,,1.76,,,,100.0,5.66,0.0,0.0,,0.0,100.0,13.15,0.5777,74.5,0.087
2008-09-01,44713.0,2338396.24,1.04,5.24,0.51,2.73,0.0,2225955.74,29086.0,42563.0,1521136.87,,,,,,,,,,,,,,,,,,1.73,,,,100.0,5.66,0.0,0.0,,0.0,100.0,13.3,0.5729,74.13,0.087
2008-09-02,44713.0,2415818.77,1.04,5.54,0.51,2.79,0.0,2299655.45,25950.0,42563.0,1402064.21,,,,,,,,0.19,,3136.0,,,,,,,,1.59,,,,100.0,5.06,0.0,0.0,,0.0,100.0,13.0,0.5814,74.78,0.0871
2008-09-03,44713.0,2466909.78,1.04,5.33,0.51,2.84,0.0,2348289.78,29086.0,42563.0,1604735.49,,,,,,,,,,,,,,,,3136.0,,1.82,,,,100.0,5.66,0.0,0.0,,0.0,100.0,12.77,0.5837,74.97,0.0871
2008-09-04,44713.0,2393417.33,1.04,5.28,0.51,2.83,0.0,2278331.17,25950.0,42563.0,1389063.13,,,,,,,,0.2,,3136.0,,,,,,,,1.6,,,,100.0,5.05,0.0,0.0,,0.0,100.0,12.83,0.5748,74.34,0.087
2008-09-05,45713.0,2358550.36,1.06,5.41,0.52,2.77,0.0,2196026.93,26950.0,42563.0,1390478.25,,,,,,,,,,,,,,,,1000.0,,1.6,,,,56.05,5.33,21132.0,1090300.05,,1.3,55.28,13.11,0.5413,71.97,0.0904
2008-09-08,45713.0,2417614.57,1.06,5.42,0.52,2.82,0.0,2251021.13,30086.0,42563.0,1591152.45,,,,,,,,,,,,,,,,3136.0,,1.82,,,,58.74,5.86,21132.0,1117603.99,,1.25,59.19,12.88,0.5547,72.98,0.089
2008-09-09,45713.0,2356943.17,1.06,5.47,0.52,2.77,0.0,2194530.49,26950.0,42563.0,1389530.73,,,,,,,,0.19,,3136.0,,,,,,,,1.59,,,,56.05,5.33,21132.0,1089557.09,,1.28,55.43,13.13,0.5439,72.16,0.0905
2008-09-10,45713.0,2341674.87,1.06,5.47,0.52,2.76,0.0,2180314.3,26802.0,42563.0,1372947.96,,,,,,,,0.01,,148.0,,,,,,,,1.57,,,,55.91,5.23,21132.0,1082498.93,,1.25,55.66,13.17,0.5469,72.37,0.0891
2008-09-11,45713.0,2270154.94,1.06,5.48,0.52,2.67,0.0,2113722.68,26950.0,42563.0,1338364.92,,,,,,,,,,,,,,,,148.0,,1.52,,,,56.05,5.34,21132.0,1049437.02,,1.23,55.26,13.63,0.5375,71.62,0.0905
2008-09-12,45713.0,2262119.0,1.06,5.26,0.52,2.63,0.0,2106240.48,26950.0,42563.0,1333627.35,,,,,,,,,,,,,,,,,,1.52,,,,56.68,5.36,20600.0,1019396.04,,1.14,57.15,13.82,0.543,72.0,0.091
2008-09-15,45713.0,2176536.17,1.06,5.18,0.52,2.57,0.0,2026555.0,26950.0,42563.0,1283172.18,,,,,,,,,,,,,,,,,,1.46,,,,57.09,5.29,20260.0,964640.75,,1.13,56.35,14.14,0.5326,71.18,0.0898
2008-09-16,44863.0,2103730.31,1.04,4.83,0.51,2.49,0.0,1995877.97,26100.0,42563.0,1223889.64,,,,,,,,0.05,,850.0,,,,,,,,1.38,,,,57.27,5.22,19473.0,913134.22,,1.05,56.88,14.29,0.5361,71.41,0.0898
2008-09-17,50713.0,2362449.32,1.18,5.4,0.58,2.77,0.0,2262292.24,32950.0,48563.0,1534965.49,,,5000.0,0.24,,1000.0,,,5000.0,,,,0.24,5000.0,0.05,1850.0,,1.74,,,,40.33,6.68,48759.0,2271422.84,,2.57,40.37,13.07,0.5711,74.13,0.1028
2008-09-18,50713.0,2288009.88,1.18,5.19,0.58,2.74,0.0,2191008.69,36086.0,48563.0,1628085.98,,,,,,,,,,,,,,,,3136.0,,1.86,,,,43.02,7.52,47802.0,2156674.78,,2.51,42.63,13.22,0.568,73.89,0.1056
2008-09-19,51125.0,2381642.21,1.19,4.93,0.58,2.76,0.0,2281485.13,35691.0,48975.0,1662654.13,,,,0.01,,206.0,,,206.0,,,,0.01,,0.01,,,1.87,,0.02,,43.2,7.5,46930.0,2186219.44,395.0,2.39,43.88,13.12,0.5648,73.66,0.1075
2008-09-22,51125.0,2409053.57,1.19,4.54,0.58,2.8,0.0,2307743.73,35691.0,48975.0,1681790.33,,,,,,,,,,,,,,,,,,1.9,,,,43.55,7.54,46265.0,2180046.23,,2.39,44.23,12.96,0.5657,73.75,0.1079
2008-09-23,54125.0,2417210.28,1.26,4.73,0.61,2.89,0.0,2321191.77,39086.0,51975.0,1745571.94,,,578.0,0.09,,,,,3000.0,,,,0.09,578.0,,2817.0,,2.01,,,,45.79,8.28,46265.0,2066184.46,,2.48,44.76,12.52,0.5721,74.26,0.1147
2008-09-24,54125.0,2402938.23,1.26,4.7,0.61,2.86,0.0,2307486.64,39086.0,51975.0,1735265.47,,,,,,,,,,,,,,,,,,1.98,,,,45.79,7.87,46265.0,2053984.98,,2.37,45.58,12.66,0.5768,74.58,0.109
2008-09-25,54125.0,2398180.88,1.26,4.62,0.61,2.85,0.0,2302918.26,39265.0,51975.0,1739761.15,,,,,,,,,,,,,,,,179.0,,1.99,,,,45.91,8.16,46265.0,2049918.49,,2.34,45.88,12.69,0.5777,74.64,0.1125
2008-09-26,54125.0,2356791.92,1.26,4.36,0.61,2.81,0.0,2263173.39,39265.0,51975.0,1709735.51,,,,,,,,,,,,,,,,,,1.95,,,,45.91,8.02,46265.0,2014540.01,,2.34,45.46,12.89,0.5726,74.25,0.1106
2008-09-29,54125.0,2240712.54,1.26,4.21,0.61,2.69,0.0,2151705.02,39117.0,51975.0,1619398.66,,,,,,,,,,,,,,,,,,1.86,,0.01,,45.81,7.95,46265.0,1915317.61,148.0,2.32,44.47,13.47,0.5595,73.24,0.1101
2008-09-30,54125.0,2270683.86,1.26,4.0,0.61,2.73,0.0,2180485.79,39117.0,51975.0,1641059.41,,,,,,,,,,,,,,,,,,1.86,,,,45.81,7.98,46265.0,1940936.51,,2.23,45.54,13.23,0.5732,74.24,0.1104
2008-10-01,55507.0,2326710.8,1.29,4.05,0.63,2.77,0.0,2178658.44,40499.0,51975.0,1697614.01,,,,,,,,,,,,,,,,1382.0,,1.92,,,,31.68,8.28,87328.0,3660565.36,,4.15,31.66,13.08,0.5434,72.21,0.1135
2008-10-02,84902.0,3491711.03,1.97,6.17,0.96,4.16,0.0,2877817.71,57709.0,69975.0,2373361.66,,,1395.0,,,18000.0,,,,,,,,1395.0,0.9,15815.0,,2.7,,,,11.84,11.84,429761.0,17674509.71,,20.38,11.7,24.74,0.3517,52.65,0.1742
2008-10-03,83507.0,3380758.47,1.94,5.93,0.95,4.07,0.0,2888868.98,59142.0,71357.0,2394347.98,,,1433.0,,,1382.0,,,,,,,,1433.0,0.07,,,2.75,,,,12.04,12.04,432153.0,17495598.13,,20.16,12.0,24.93,0.3642,53.77,0.17
2008-10-06,84902.0,3235000.49,1.97,5.96,0.96,4.03,0.0,2772051.97,59142.0,72752.0,2253473.41,,,,0.07,,,,,1395.0,,,,0.07,,,,,2.65,,,,29.34,11.91,142466.0,5428347.75,,6.62,28.56,25.32,0.3427,51.42,0.171
2008-10-07,86335.0,3284289.82,2.01,5.99,0.98,3.94,0.0,2822088.84,59142.0,74185.0,2249834.58,,,,0.06,,,,,1433.0,,,,0.06,,,,,2.56,,,,29.34,11.97,142466.0,5419582.25,,6.16,29.38,23.44,0.3392,51.79,0.1747
2008-10-08,87335.0,3124280.82,2.03,5.97,0.99,3.87,0.0,2689632.49,60142.0,75185.0,2151491.35,,,,0.0,,,,,1000.0,,,,0.0,,,1000.0,,2.51,,,,29.68,12.19,142466.0,5096511.03,,6.17,28.96,24.1,0.3354,51.11,0.177
2008-10-09,89335.0,3191116.57,2.08,5.92,1.01,3.87,1.0,2757109.0,62142.0,77185.0,2219761.19,,,1556.0,0.08,,,,0.06,2000.0,1517.0,,,0.08,1556.0,,1961.0,,2.54,,,,30.37,12.73,142466.0,5088997.75,,5.81,30.41,22.6,0.3483,53.04,0.183
2008-10-10,75050.0,2463818.04,1.75,4.9,0.85,3.18,0.0,1077317.16,60553.0,32816.0,1987895.72,,,,,,,,0.06,,1589.0,,,,,,,,2.36,,,1.82,12.52,12.52,423265.0,13895375.67,,16.95,12.22,28.58,0.2769,41.35,0.1551
2008-10-13,90474.0,3277130.49,2.1,5.81,1.03,3.87,1.0,2837035.71,63281.0,78324.0,2292151.28,1.88,,1139.0,,,,45508.0,,,,1.88,,,1139.0,,1589.0,,2.51,,,,13.15,13.15,417833.0,15134660.39,,16.01,13.55,22.3,0.3605,54.39,0.1881
2008-10-14,90474.0,3574545.39,2.1,5.72,1.03,4.09,1.0,3094509.95,63281.0,78324.0,2500174.71,,,,,,,,,,,,,,,,,,2.75,,,,30.76,13.2,142466.0,5628701.99,,5.86,31.94,21.26,0.3792,56.64,0.1887
2008-10-15,90474.0,3335182.06,2.1,5.78,1.03,4.13,1.0,2887291.38,63281.0,78324.0,2332754.78,,,,,,,,,,,,,,,,,,2.73,,,,30.76,13.14,142466.0,5251785.57,,6.3,30.26,23.67,0.352,53.1,0.1879
2008-10-16,90474.0,3134784.86,2.1,5.66,1.03,3.89,1.0,2713806.06,63281.0,78324.0,2192589.26,,,20.0,,,,,0.0,,20.0,,,,20.0,,,,2.55,,,,13.2,13.2,416253.0,14422525.82,,17.19,12.92,23.17,0.3424,52.22,0.1887
2008-10-17,90474.0,2993234.45,2.1,5.46,1.03,3.7,1.0,2591264.84,63002.0,78324.0,2084353.04,,,20.0,,,,,0.02,,494.0,,,,20.0,,195.0,,2.42,,,,13.22,13.22,413600.0,13683508.73,,16.14,13.04,22.79,0.3427,52.33,0.1898
2008-10-20,90474.0,3027429.21,2.1,5.31,1.03,3.66,1.0,2620867.49,63002.0,78324.0,2108164.72,,,,,,,,,,,,,,,,,,2.39,,,,35.85,13.12,112733.0,3772256.97,,4.25,36.0,22.05,0.3522,53.57,0.1885
2008-10-21,90474.0,3111723.27,2.1,5.32,1.03,3.73,1.0,2693841.48,63002.0,78324.0,2166863.29,,,,,,,,,,,,,,,,,,2.46,,,,35.85,13.17,112733.0,3877289.61,,4.25,36.64,22.09,0.3572,54.1,0.1892
2008-10-22,98062.0,3318400.53,2.28,5.74,1.11,4.01,1.0,2907246.71,71002.0,85912.0,2402694.98,,,10000.0,0.38,,,,0.08,10000.0,2000.0,,,0.38,10000.0,,,2412.0,2.76,0.14,,,15.06,15.06,400349.0,13547738.53,,15.56,15.09,21.04,0.3842,57.14,0.208
2008-10-23,98062.0,3206350.65,2.27,5.64,1.11,3.87,1.0,2809079.94,71002.0,85912.0,2321565.02,,,1419.0,,,,,0.07,,1419.0,,,,1419.0,,,,2.65,,,,38.64,15.04,112733.0,3686050.94,,4.18,38.83,20.82,0.3798,56.75,0.2077
2008-10-24,95768.0,2931846.45,2.22,5.58,1.09,3.66,1.0,2559885.73,68708.0,83618.0,2103430.22,,,,,,,,0.09,,2294.0,,,,,,,2294.0,2.5,0.09,,,37.87,14.68,112733.0,3451213.83,,4.18,37.36,22.01,0.39,57.12,0.2046
2008-10-27,96768.0,2891864.97,2.24,5.66,1.1,3.57,1.0,2528768.09,68708.0,84618.0,2053305.42,,,603.0,0.03,,,,0.02,1000.0,603.0,,,0.03,603.0,,,,2.38,,,,14.73,14.73,397686.0,11884654.15,,13.89,14.62,21.0,0.3856,57.02,0.2075
2008-10-28,96768.0,2909726.49,2.24,5.83,1.1,3.49,1.0,2544386.95,68708.0,84618.0,2065987.6,,,351.0,,,,,0.01,,351.0,,,,351.0,,,,2.31,,,,14.79,14.79,395865.0,11903303.54,,13.38,14.73,20.23,0.3936,57.97,0.2083
2008-10-29,95129.0,2770976.0,2.2,5.83,1.08,3.41,1.0,2417063.33,67069.0,82979.0,1953627.07,,,,,,,,0.06,,1639.0,,,,,,,1639.0,2.26,0.07,,,14.84,14.84,384838.0,11209797.87,,13.0,14.83,21.0,0.384,56.8,0.2105
2008-10-30,95452.0,2836596.3,2.21,5.75,1.08,3.43,1.0,2475528.48,57392.0,83302.0,1705547.66,,,323.0,0.35,,,,0.33,10000.0,10000.0,,,0.35,323.0,,,9677.0,1.91,0.3,,,39.92,13.05,86383.0,2567088.15,,2.86,40.0,20.28,0.3919,57.75,0.2171
2008-10-31,95452.0,2996002.78,2.21,5.77,1.08,3.56,1.0,2614644.25,57719.0,83302.0,1811657.0,,,1327.0,,,,,0.04,,1100.0,,,,1327.0,,100.0,,2.0,,,,12.19,12.19,415710.0,13048111.24,,14.23,12.29,20.3,0.399,58.47,0.2016
