,ALTUV FP Equity_DX_SI_QTY,ALTUV FP Equity_DX_SHORT_INTEREST_VALUE,ALTUV FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTUV FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTUV FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTUV FP Equity_DX_SI_MV,ALTUV FP Equity_DX_DSS,ALTUV FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTUV FP Equity_DX_SUPPLY_SI_QTY,ALTUV FP Equity_DX_BROKER_SI_QTY,ALTUV FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTUV FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTUV FP Equity_DX_BROKER_SI_MV_INC_x,ALTUV FP Equity_DX_BROKER_SI_QTY_ADD,ALTUV FP Equity_DX_SUPPLY_SI_MV_DEC,ALTUV FP Equity_DX_BROKER_SI_QTY_INC,ALTUV FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTUV FP Equity_DX_BROKER_SI_MV_INC_y,ALTUV FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTUV FP Equity_DX_BROKER_SI_MV_ADD,ALTUV FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTUV FP Equity_DX_BROKER_SI_QTY_DEC,ALTUV FP Equity_DX_SUPPLY_SI_MV,ALTUV FP Equity_DX_BROKER_SI_MV_DEC,ALTUV FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTUV FP Equity_DX_UTILIZATION_QUANTITY,ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTUV FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTUV FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTUV FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTUV FP Equity_DX_BROKER_SI_CON_RATIO,ALTUV FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTUV FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTUV FP Equity_PX_LAST
2020-08-13,37600.0,239888.0,3.9,0.46,0.46,0.24,0.0,224576.0,5100.0,35200.0,32538.0,300.0,,300.0,,,,,300.0,0.0,,,0.03,,100.0,10.14,0.0,0.0,0.0,100.0,14.43,0.6387,78.39,0.7475,6.38
2020-08-14,37600.0,242896.0,3.9,0.47,0.46,0.24,0.0,227392.0,5100.0,35200.0,32946.0,,,,,,,,,,,,0.03,,100.0,9.56,0.0,0.0,0.0,100.0,14.51,0.6378,78.32,0.7045,6.46
2020-08-17,37314.0,244033.56,3.87,0.48,0.46,0.24,0.0,228337.56,5100.0,34914.0,33354.0,,,,,,,,,,,286.0,0.03,0.0,100.0,9.19,0.0,0.0,0.0,100.0,13.86,0.6454,78.92,0.6722,6.54
2020-08-18,39214.0,257243.84,4.07,0.48,0.48,0.26,0.0,243467.84,5300.0,37114.0,34768.0,200.0,0.02,,,2500.0,,0.02,200.0,,,300.0,0.03,0.0,100.0,9.27,0.0,0.0,0.0,100.0,13.11,0.6845,81.51,0.6857,6.56
2020-08-19,39214.0,258812.4,4.07,0.49,0.48,0.26,0.0,244952.4,5300.0,37114.0,34980.0,,,,,,,,,,,,0.03,,100.0,9.15,0.0,0.0,0.0,100.0,13.1,0.6856,81.59,0.6771,6.6
2020-08-20,39214.0,255675.28,4.07,0.5,0.48,0.26,0.0,241983.28,5300.0,37114.0,34556.0,,,,,,,,,,,,0.04,,100.0,6.34,0.0,0.0,0.0,100.0,12.87,0.6882,81.78,0.4691,6.52
2020-08-21,39114.0,255023.28,4.06,0.5,0.48,0.26,0.0,241331.28,5300.0,37014.0,34556.0,,,,,,,,,,,100.0,0.03,0.0,100.0,5.12,0.0,0.0,0.0,100.0,13.03,0.6859,81.61,0.3779,6.52
2020-08-24,39114.0,255023.28,4.06,0.51,0.48,0.26,0.0,241331.28,5300.0,37014.0,34556.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,13.1,0.6848,81.53,0.3779,6.52
2020-08-25,39114.0,257370.12,4.06,0.55,0.48,0.25,0.0,243552.12,5300.0,37014.0,34874.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,13.19,0.6834,81.43,0.3779,6.58
2020-08-26,39114.0,254241.0,4.06,0.57,0.48,0.26,0.0,240591.0,5300.0,37014.0,34450.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,12.92,0.6871,81.7,0.3779,6.5
2020-08-27,39114.0,251894.16,4.06,0.58,0.48,0.25,0.0,238370.16,5300.0,37014.0,34132.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,12.93,0.687,81.69,0.3779,6.44
2020-08-28,39114.0,253458.72,4.06,0.59,0.48,0.25,0.0,239850.72,5300.0,37014.0,34344.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,13.22,0.6827,81.38,0.3779,6.48
2020-08-31,39114.0,251894.16,4.06,0.66,0.48,0.25,0.0,238370.16,5300.0,37014.0,34132.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,12.98,0.6863,81.64,0.3779,6.44
2020-09-01,39114.0,247200.48,4.06,0.72,0.48,0.25,0.0,233928.48,5300.0,37014.0,33496.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,12.93,0.6869,81.69,0.3779,6.32
2020-09-02,39000.0,248820.0,4.04,0.73,0.48,0.25,0.0,235422.0,5300.0,36900.0,33814.0,,,,,,,,,,,114.0,0.03,0.0,100.0,5.12,0.0,0.0,0.0,100.0,12.86,0.6882,81.78,0.3768,6.38
2020-09-03,39000.0,241020.0,4.04,0.75,0.48,0.25,0.0,228042.0,5300.0,36900.0,32754.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,12.45,0.6931,82.14,0.3768,6.18
2020-09-04,39000.0,236340.0,4.04,0.84,0.48,0.24,0.0,223614.0,5300.0,36900.0,32118.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,12.55,0.6919,82.05,0.3768,6.06
2020-09-07,39000.0,241020.0,4.04,0.89,0.48,0.24,0.0,228042.0,5300.0,36900.0,32754.0,,,,,,,,,,,,0.03,,100.0,5.12,0.0,0.0,0.0,100.0,13.04,0.6857,81.6,0.3768,6.18
2020-09-08,40800.0,245616.0,4.23,0.96,0.5,0.25,0.0,227556.0,6200.0,37800.0,37324.0,900.0,,900.0,,,,,900.0,0.01,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,11.95,0.6349,78.49,0.3875,6.02
2020-09-09,40800.0,240720.0,4.23,1.01,0.5,0.24,0.0,223020.0,6200.0,37800.0,36580.0,,,,,,,,,,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,12.05,0.6332,78.36,0.3875,5.9
2020-09-10,40800.0,255408.0,4.23,1.04,0.5,0.24,0.0,236628.0,6200.0,37800.0,38812.0,,,,,,,,,,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,12.95,0.6226,77.54,0.3875,6.26
2020-09-11,42367.0,256744.02,4.39,1.09,0.52,0.26,0.0,238564.02,6200.0,39367.0,37572.0,,0.01,,,1567.0,,0.01,,,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,11.46,0.5963,75.81,0.4023,6.06
2020-09-14,42367.0,268606.78,4.39,1.14,0.52,0.26,0.0,249586.78,6200.0,39367.0,39308.0,,,,,,,,,,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,12.28,0.5846,74.89,0.4023,6.34
2020-09-15,41780.0,271570.0,4.33,1.1,0.52,0.27,0.0,252070.0,6200.0,38780.0,40300.0,,,,,,,,,,,587.0,0.04,0.0,100.0,5.89,0.0,0.0,0.0,100.0,12.24,0.5832,74.79,0.3968,6.5
2020-09-16,42780.0,272936.4,4.44,1.12,0.53,0.28,0.0,253796.4,6200.0,39780.0,39556.0,,0.01,,,1000.0,,0.01,,,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,11.5,0.5967,75.83,0.4063,6.38
2020-09-17,42880.0,285580.8,4.45,1.22,0.53,0.27,0.0,265600.8,6200.0,39880.0,41292.0,,,100.0,,,,,,0.0,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,12.09,0.5865,75.07,0.4072,6.66
2020-09-18,42127.0,281408.36,4.37,1.08,0.52,0.28,0.0,261368.36,6200.0,39127.0,41416.0,,,,,,,,,,,753.0,0.04,0.0,100.0,5.89,0.0,0.0,0.0,100.0,11.33,0.5934,75.63,0.4001,6.68
2020-09-21,42277.0,276491.58,4.38,1.01,0.52,0.28,0.0,256871.58,6200.0,39277.0,40548.0,,0.0,,,150.0,,0.0,,,,,0.04,,100.0,5.89,0.0,0.0,0.0,100.0,10.96,0.5931,75.67,0.4015,6.54
2020-09-22,39877.0,251225.1,4.14,0.86,0.49,0.26,0.0,237995.1,5000.0,37777.0,31500.0,,,,0.01,,1200.0,,,,,1500.0,0.03,0.02,100.0,4.86,0.0,0.0,0.0,100.0,11.5,0.6393,78.86,0.3875,6.3
2020-09-23,33964.0,213973.2,3.52,0.65,0.42,0.21,0.0,200743.2,5000.0,31864.0,31500.0,,,,,,,,,,,5913.0,0.03,0.04,100.0,4.86,0.0,0.0,0.0,100.0,13.94,0.5847,74.8,0.3301,6.3
2020-09-24,39864.0,263102.4,4.13,0.74,0.49,0.25,0.0,229442.4,8000.0,34764.0,52800.0,,0.02,,,2900.0,,0.02,,,3000.0,,0.05,,100.0,7.77,0.0,0.0,0.0,100.0,12.37,0.4328,63.38,0.3874,6.6
2020-09-25,54858.0,362062.8,5.69,0.99,0.68,0.36,0.0,229402.8,23000.0,34758.0,151800.0,15000.0,,,,,,,15000.0,,,6.0,0.15,0.0,100.0,22.35,0.0,0.0,0.0,100.0,33.21,0.3317,45.63,0.5331,6.6
2020-09-28,57483.0,362142.9,5.96,1.01,0.71,0.38,0.0,235512.9,23000.0,37383.0,144900.0,,0.02,,,3000.0,,0.02,,,,375.0,0.15,0.0,100.0,22.35,0.0,0.0,0.0,100.0,31.45,0.3063,43.67,0.5586,6.3
2020-09-29,48611.0,307221.52,5.04,0.92,0.6,0.31,0.0,180189.52,23000.0,28511.0,145360.0,,,,,,,,,,,8872.0,0.14,0.06,100.0,22.35,0.0,0.0,0.0,100.0,37.05,0.3363,42.96,0.4724,6.32
2020-09-30,48511.0,308529.96,5.03,0.91,0.6,0.31,0.0,180693.96,23000.0,28411.0,146280.0,,,,,,,,,,,100.0,0.15,0.0,100.0,22.35,0.0,0.0,0.0,100.0,37.1,0.336,42.87,0.4714,6.36
2020-10-01,48361.0,284362.68,5.02,0.91,0.6,0.31,0.0,166174.68,23000.0,28261.0,135240.0,,,,,,,,,,,150.0,0.15,0.0,100.0,22.35,0.0,0.0,0.0,100.0,37.21,0.3375,42.98,0.47,5.88
2020-10-02,48361.0,281461.02,5.02,0.76,0.6,0.28,0.0,164479.02,23000.0,28261.0,133860.0,,,,,,,,,,,,0.14,,100.0,22.35,0.0,0.0,0.0,100.0,37.2,0.3375,42.99,0.47,5.82
2020-10-05,48361.0,288231.56,5.02,0.74,0.6,0.28,0.0,168435.56,23000.0,28261.0,137080.0,,,,,,,,,,,,0.13,,100.0,22.35,0.0,0.0,0.0,100.0,37.25,0.3378,42.99,0.47,5.96
2020-10-06,48661.0,290019.56,5.05,0.71,0.6,0.29,0.0,170223.56,23300.0,28561.0,138868.0,300.0,0.0,,,300.0,,0.0,300.0,,,,0.14,,17.1,13.43,112932.0,673074.72,0.67,17.1,36.96,0.3386,43.34,0.2805,5.96
2020-10-07,48661.0,290019.56,5.05,0.7,0.6,0.29,0.0,170223.56,23300.0,28561.0,138868.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,673074.72,0.67,17.1,36.97,0.3386,43.33,0.2805,5.96
2020-10-08,48661.0,290019.56,5.05,0.67,0.6,0.29,0.0,170223.56,23300.0,28561.0,138868.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,673074.72,0.67,17.1,36.97,0.3386,43.33,0.2805,5.96
2020-10-09,48661.0,299751.76,5.05,0.66,0.6,0.29,0.0,175935.76,23300.0,28561.0,143528.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,695661.12,0.67,17.1,37.0,0.3387,43.32,0.2805,6.16
2020-10-12,48661.0,290992.78,5.05,0.62,0.6,0.3,0.0,170794.78,23300.0,28561.0,139334.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,675333.36,0.7,17.1,36.97,0.3386,43.33,0.2805,5.98
2020-10-13,48661.0,290992.78,5.05,0.6,0.6,0.29,0.0,170794.78,23300.0,28561.0,139334.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,675333.36,0.68,17.1,36.96,0.3387,43.36,0.2805,5.98
2020-10-14,45661.0,278532.1,4.74,0.58,0.56,0.27,0.0,155922.1,23300.0,25561.0,142130.0,,,,,,,,,,,3000.0,0.14,0.02,17.1,13.43,112932.0,688885.2,0.68,17.08,39.55,0.3805,46.08,0.2632,6.1
2020-10-15,45661.0,270313.12,4.74,0.57,0.56,0.28,0.0,151321.12,23300.0,25561.0,137936.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,668557.44,0.68,17.16,38.96,0.3803,46.55,0.2632,5.92
2020-10-16,45661.0,272139.56,4.74,0.57,0.56,0.27,0.0,152343.56,23300.0,25561.0,138868.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,673074.72,0.68,17.07,39.69,0.3808,46.01,0.2632,5.96
2020-10-19,45661.0,273966.0,1.42,0.56,0.44,0.27,0.0,153366.0,23300.0,25561.0,139800.0,,,,,,,,,,,,0.14,,17.1,13.43,112932.0,677592.0,0.67,17.1,39.47,0.3803,46.13,0.2632,6.0
2020-10-20,42661.0,255966.0,1.33,0.53,0.41,0.26,0.0,153366.0,20300.0,25561.0,121800.0,,,,0.02,,3000.0,,,,,,0.12,,14.99,11.7,115081.0,690486.0,0.7,14.99,35.2,0.3818,49.46,0.2459,6.0
2020-10-21,42661.0,251699.9,1.33,0.53,0.41,0.26,0.0,150809.9,20300.0,25561.0,119770.0,,,,,,,,,,,,0.12,,14.99,11.7,115081.0,678977.9,0.69,14.99,35.17,0.3815,49.44,0.2459,5.9
2020-10-22,42661.0,249993.46,1.33,0.51,0.41,0.25,0.0,149787.46,20300.0,25561.0,118958.0,,,,,,,,,,,,0.12,,14.99,11.7,115081.0,674374.66,0.68,14.99,35.14,0.3815,49.45,0.2459,5.86
2020-10-23,41194.0,237277.44,1.28,0.49,0.4,0.24,0.0,138781.44,20300.0,24094.0,116928.0,,,,,,,,,,,1467.0,0.12,0.01,14.99,11.7,115081.0,662866.56,0.67,14.99,36.4,0.4023,51.17,0.2374,5.76
2020-10-26,42594.0,229155.72,1.32,0.5,0.41,0.25,0.0,137157.72,20300.0,25494.0,109214.0,,,1400.0,,,,,,0.01,,,0.12,,100.0,11.7,0.0,0.0,0.0,100.0,35.18,0.3774,49.51,0.2455,5.38
2020-10-27,42594.0,225748.2,1.32,0.48,0.41,0.23,0.0,135118.2,20300.0,25494.0,107590.0,,,,,,,,,,,,0.11,,100.0,11.7,0.0,0.0,0.0,100.0,35.2,0.3775,49.51,0.2455,5.3
2020-10-28,42594.0,221488.8,1.32,0.45,0.41,0.23,0.0,132568.8,20300.0,25494.0,105560.0,,,,,,,,,,,,0.11,,100.0,11.7,0.0,0.0,0.0,100.0,35.19,0.3776,49.53,0.2455,5.2
2020-10-29,41494.0,232366.4,1.29,0.42,0.4,0.22,0.0,136606.4,20300.0,24394.0,113680.0,,,,,,,,,,,1100.0,0.11,0.01,100.0,11.7,0.0,0.0,0.0,100.0,36.13,0.3717,48.19,0.2392,5.6
2020-10-30,41494.0,224897.48,1.29,0.43,0.4,0.23,0.0,132215.48,20300.0,24394.0,110026.0,,,,,,,,,,,,0.11,,100.0,11.7,0.0,0.0,0.0,100.0,36.14,0.3718,48.19,0.2392,5.42
2020-11-02,40094.0,227733.92,1.25,0.41,0.39,0.22,0.0,130605.92,20300.0,22994.0,115304.0,,,,,,,,,,,1400.0,0.11,0.01,100.0,11.7,0.0,0.0,0.0,100.0,37.42,0.3972,49.89,0.2311,5.68
2020-11-03,40094.0,231743.32,1.25,0.42,0.39,0.22,0.0,132905.32,20300.0,22994.0,117334.0,,,,,,,,,,,,0.11,,100.0,11.7,0.0,0.0,0.0,100.0,36.32,0.3978,50.71,0.2311,5.78
2020-11-04,41294.0,253545.16,1.28,0.46,0.4,0.23,0.0,148551.16,21300.0,24194.0,130782.0,1000.0,0.01,200.0,,1000.0,,0.01,1000.0,0.0,,,0.12,,100.0,12.14,0.0,0.0,0.0,100.0,34.69,0.4002,52.1,0.2353,6.14
2020-11-05,41494.0,251453.64,1.29,0.41,0.4,0.25,0.0,147827.64,21500.0,24394.0,130290.0,200.0,0.01,,,200.0,,0.01,200.0,,,,0.13,,100.0,12.22,0.0,0.0,0.0,100.0,36.17,0.3994,51.07,0.2359,6.06
2020-11-06,41494.0,242324.96,1.29,0.4,0.4,0.25,0.0,142460.96,21500.0,24394.0,125560.0,,,,,,,,,,,,0.13,,100.0,12.22,0.0,0.0,0.0,100.0,36.13,0.3988,51.03,0.2359,5.84
2020-11-09,41956.0,228240.64,1.3,0.4,0.41,0.25,0.0,135216.64,21800.0,24856.0,118592.0,300.0,0.0,,,462.0,,0.0,300.0,,,,0.13,,100.0,12.35,0.0,0.0,0.0,100.0,35.75,0.4021,51.64,0.2377,5.44
2020-11-10,40556.0,235224.8,1.26,0.34,0.39,0.22,0.0,136044.8,21800.0,23456.0,126440.0,,,,,,,,,,,1400.0,0.12,0.02,100.0,12.35,0.0,0.0,0.0,100.0,36.84,0.3917,49.75,0.2298,5.8
2020-11-11,39156.0,229454.16,1.22,0.32,0.38,0.23,0.0,129248.16,20694.0,22056.0,121266.84,,,,0.01,,1106.0,,,,,1400.0,0.12,0.0,100.0,11.87,0.0,0.0,0.0,100.0,38.3,0.3872,48.15,0.2247,5.86
2020-11-12,39156.0,231803.52,1.22,0.32,0.38,0.23,0.0,130571.52,20694.0,22056.0,122508.48,,,,,,,,,,,,0.12,,100.0,11.87,0.0,0.0,0.0,100.0,37.79,0.387,48.5,0.2247,5.92
2020-11-13,41332.0,246338.72,1.28,0.37,0.4,0.24,0.0,144422.72,20694.0,24232.0,123336.24,,0.01,,,2176.0,,0.01,,,,,0.12,,100.0,11.87,0.0,0.0,0.0,100.0,36.3,0.3581,45.63,0.2371,5.96
2020-11-16,39075.0,224290.5,1.21,0.35,0.38,0.23,0.0,126136.5,18699.0,21975.0,107332.26,,,,0.01,,1995.0,,,,,2257.0,0.11,0.01,100.0,10.98,0.0,0.0,0.0,100.0,38.34,0.3477,42.43,0.2295,5.74
2020-11-17,39075.0,225853.5,1.21,0.35,0.38,0.22,0.0,127015.5,18699.0,21975.0,108080.22,,,,,,,,,,,,0.11,,100.0,10.98,0.0,0.0,0.0,100.0,38.41,0.3485,42.51,0.2295,5.78
2020-11-18,39075.0,223509.0,1.21,0.36,0.38,0.23,0.0,125697.0,18699.0,21975.0,106958.28,,,,,,,,,,,,0.11,,100.0,10.98,0.0,0.0,0.0,100.0,38.36,0.3479,42.45,0.2295,5.72
2020-11-19,40075.0,226023.0,1.25,0.37,0.39,0.23,0.0,129579.0,19699.0,22975.0,111102.36,1000.0,0.0,,,1000.0,,0.0,1000.0,,,,0.11,,100.0,11.43,0.0,0.0,0.0,100.0,37.44,0.3524,43.92,0.2326,5.64
2020-11-20,43575.0,244020.0,1.35,0.4,0.42,0.25,0.0,148260.0,21699.0,26475.0,121514.4,2000.0,0.02,,,3500.0,,0.02,2000.0,,,,0.12,,100.0,12.31,0.0,0.0,0.0,100.0,34.37,0.3684,48.32,0.2472,5.6
2020-11-23,43575.0,254478.0,1.35,0.41,0.42,0.24,0.0,154614.0,21699.0,26475.0,126722.16,,,,,,,,,,,,0.12,,100.0,12.31,0.0,0.0,0.0,100.0,34.42,0.3692,48.41,0.2472,5.84
2020-11-24,43575.0,258835.5,1.35,0.4,0.42,0.25,0.0,157261.5,21699.0,26475.0,128892.06,,,,,,,,,,,,0.13,,100.0,12.31,0.0,0.0,0.0,100.0,34.45,0.3696,48.44,0.2472,5.94
2020-11-25,43575.0,259707.0,1.35,0.39,0.42,0.26,0.0,157791.0,21699.0,26475.0,129326.04,,,,,,,,,,,,0.13,,100.0,12.31,0.0,0.0,0.0,100.0,34.45,0.3696,48.44,0.2472,5.96
2020-11-26,41575.0,246124.0,1.29,0.37,0.4,0.25,0.0,144892.0,19699.0,24475.0,116618.08,,,,0.01,,2000.0,,,,,2000.0,0.12,0.01,100.0,11.43,0.0,0.0,0.0,100.0,36.04,0.3588,45.91,0.2413,5.92
2020-11-27,41575.0,246124.0,1.29,0.38,0.4,0.25,0.0,144892.0,19699.0,24475.0,116618.08,,,,,,,,,,,,0.12,,100.0,11.43,0.0,0.0,0.0,100.0,36.09,0.3593,45.94,0.2413,5.92
2020-11-30,41575.0,246124.0,1.29,0.37,0.4,0.25,0.0,144892.0,19699.0,24475.0,116618.08,,,,,,,,,,,,0.12,,100.0,11.43,0.0,0.0,0.0,100.0,36.09,0.3593,45.94,0.2413,5.92
2020-12-01,39575.0,233492.5,1.23,0.35,0.38,0.23,0.0,132602.5,17699.0,22475.0,104424.1,,,,0.01,,2000.0,,,,,2000.0,0.1,0.01,100.0,10.52,0.0,0.0,0.0,100.0,37.91,0.3503,43.21,0.2351,5.9
2020-12-02,40575.0,231277.5,1.26,0.36,0.39,0.24,0.0,133807.5,18699.0,23475.0,106584.3,1000.0,0.01,,,1000.0,,0.01,1000.0,,,,0.11,,100.0,10.98,0.0,0.0,0.0,100.0,36.96,0.3544,44.6,0.2383,5.7
2020-12-03,40575.0,231277.5,1.26,0.36,0.39,0.23,0.0,133807.5,18699.0,23475.0,106584.3,,,,,,,,,,,,0.11,,100.0,10.98,0.0,0.0,0.0,100.0,36.96,0.3544,44.6,0.2383,5.7
2020-12-04,40575.0,244261.5,1.26,0.36,0.39,0.23,0.0,141319.5,18699.0,23475.0,112567.98,,,,,,,,,,,,0.11,,100.0,10.98,0.0,0.0,0.0,100.0,36.96,0.3544,44.6,0.2383,6.02
2020-12-07,40375.0,243057.5,1.25,0.35,0.39,0.24,0.0,140115.5,18699.0,23275.0,112567.98,,,,,,,,,,,200.0,0.11,0.0,100.0,10.98,0.0,0.0,0.0,100.0,37.17,0.3583,44.84,0.2371,6.02
2020-12-08,42775.0,264349.5,1.33,0.38,0.41,0.26,0.0,158671.5,21099.0,25675.0,130391.82,2400.0,0.01,,,2400.0,,0.01,2400.0,,,,0.13,,100.0,12.05,0.0,0.0,0.0,100.0,35.09,0.3359,42.32,0.2443,6.18
2020-12-09,43275.0,271767.0,1.34,0.35,0.42,0.27,0.0,164379.0,21099.0,26175.0,132501.72,,0.01,,,500.0,,0.01,,,,,0.13,,100.0,12.05,0.0,0.0,0.0,100.0,34.72,0.3385,43.07,0.2471,6.28
2020-12-10,42275.0,258723.0,1.31,0.34,0.41,0.26,0.0,154071.0,21099.0,25175.0,129125.88,,,,,,,,,,,1000.0,0.13,0.0,100.0,12.05,0.0,0.0,0.0,100.0,34.82,0.3459,44.43,0.2414,6.12
2020-12-11,42275.0,256186.5,1.31,0.34,0.41,0.26,0.0,152560.5,21099.0,25175.0,127859.94,,,,,,,,,,,,0.13,,100.0,12.05,0.0,0.0,0.0,100.0,35.5,0.3462,44.0,0.2414,6.06
2020-12-14,43004.0,280386.08,1.34,0.35,0.42,0.26,0.0,168894.08,21099.0,25904.0,137565.48,,0.0,,,729.0,,0.0,,,,,0.13,,100.0,12.05,0.0,0.0,0.0,100.0,34.85,0.3493,44.94,0.2456,6.52
2020-12-15,45488.0,291123.2,1.41,0.35,0.44,0.29,0.0,195123.2,20999.0,30488.0,134393.6,,0.04,,0.0,4584.0,100.0,0.04,,,,,0.14,,100.0,12.01,0.0,0.0,0.0,100.0,33.18,0.4047,52.3,0.2601,6.4
2020-12-16,42812.0,275709.28,1.33,0.33,0.41,0.27,0.0,179109.28,20999.0,27812.0,135233.56,,,,,,,,,,,2676.0,0.13,0.02,100.0,12.01,0.0,0.0,0.0,100.0,34.98,0.4419,55.76,0.2448,6.44
2020-12-17,42446.0,283539.28,1.32,0.35,0.41,0.27,0.0,183339.28,20633.0,27446.0,137828.44,,0.0,,0.0,600.0,366.0,0.0,,,,966.0,0.13,0.01,100.0,11.85,0.0,0.0,0.0,100.0,35.36,0.4284,54.05,0.2437,6.68
2020-12-18,42573.0,282684.72,1.32,0.34,0.41,0.28,0.0,163164.72,20599.0,24573.0,136777.36,,,,0.0,,34.0,,,,,2873.0,0.14,0.01,100.0,11.83,0.0,0.0,0.0,100.0,35.23,0.4008,50.67,0.2445,6.64
2020-12-21,31829.0,205615.34,0.99,0.26,0.31,0.21,0.0,158741.58,9855.0,24573.0,63663.3,,,,0.07,,10744.0,,,,,,0.07,,100.0,5.66,0.0,0.0,0.0,100.0,18.86,0.5127,67.77,0.1828,6.46
2020-12-22,42573.0,276724.5,1.32,0.38,0.41,0.28,0.0,159724.5,20599.0,24573.0,133893.5,,,,,,,,,,10744.0,,0.13,,100.0,11.83,0.0,0.0,0.0,100.0,35.22,0.4009,50.69,0.2445,6.5
2020-12-23,42227.0,274475.5,1.31,0.39,0.41,0.27,0.0,157475.5,20253.0,24227.0,131644.5,,,,0.0,,346.0,,,,,346.0,0.13,0.0,100.0,11.68,0.0,0.0,0.0,100.0,35.52,0.3991,50.27,0.2435,6.5
2020-12-24,42227.0,277009.12,1.31,0.39,0.41,0.27,0.0,158929.12,20253.0,24227.0,132859.68,,,,,,,,,,,,0.13,,100.0,11.68,0.0,0.0,0.0,100.0,35.52,0.3991,50.27,0.2435,6.56
2020-12-25,42227.0,277009.12,1.31,0.39,0.41,0.28,0.0,158929.12,20253.0,24227.0,132859.68,,,,,,,,,,,,0.13,,100.0,11.68,0.0,0.0,0.0,100.0,35.36,0.3996,50.44,0.2435,
2020-12-28,41627.0,278900.9,1.29,0.38,0.4,0.27,0.0,158300.9,20253.0,23627.0,135695.1,,,,,,,,,,,600.0,0.13,0.0,100.0,11.68,0.0,0.0,0.0,100.0,35.63,0.4072,51.31,0.2401,6.7
2020-12-29,41027.0,276521.98,1.27,0.37,0.4,0.27,0.0,159245.98,19653.0,23627.0,132461.22,,,,0.0,,600.0,,,,,,0.13,,100.0,11.41,0.0,0.0,0.0,100.0,35.67,0.4166,52.47,0.2382,6.74
2020-12-30,41027.0,278163.06,1.27,0.37,0.4,0.27,0.0,160191.06,19653.0,23627.0,133247.34,,,,,,,,,,,,0.13,,100.0,11.41,0.0,0.0,0.0,100.0,35.66,0.4166,52.47,0.2382,6.78
2020-12-31,41027.0,275701.44,1.27,0.37,0.4,0.27,0.0,158773.44,19653.0,23627.0,132068.16,,,,,,,,,,,,0.13,,100.0,11.41,0.0,0.0,0.0,100.0,35.73,0.4165,52.43,0.2382,6.72
2021-01-01,41027.0,275701.44,1.27,0.37,0.4,0.27,0.0,158773.44,19653.0,23627.0,132068.16,,,,,,,,,,,,0.13,,100.0,11.41,0.0,0.0,0.0,100.0,35.91,0.4159,52.24,0.2382,
2021-01-04,41027.0,278983.6,1.27,0.37,0.4,0.28,0.0,160663.6,19653.0,23627.0,133640.4,,,,,,,,,,,,0.13,,100.0,11.41,0.0,0.0,0.0,100.0,36.56,0.415,51.74,0.2382,6.8
