,BOI FP Equity_DX_SI_QTY,BOI FP Equity_DX_SHORT_INTEREST_VALUE,BOI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BOI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BOI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BOI FP Equity_DX_SI_MV,BOI FP Equity_DX_DSS,BOI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BOI FP Equity_DX_SUPPLY_SI_QTY,BOI FP Equity_DX_BROKER_SI_QTY,BOI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BOI FP Equity_DX_BROKER_SI_MV_NEW_x,BOI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BOI FP Equity_DX_SUPPLY_SI_QTY_INC_x,BOI FP Equity_DX_BROKER_SI_MV_INC_x,BOI FP Equity_DX_SUPPLY_SI_MV_NEW,BOI FP Equity_DX_BROKER_SI_QTY_ADD,BOI FP Equity_DX_BROKER_SI_QTY_NEW,BOI FP Equity_DX_SUPPLY_SI_MV_DEC,BOI FP Equity_DX_BROKER_SI_QTY_INC,BOI FP Equity_DX_SUPPLY_SI_QTY_DEC,BOI FP Equity_DX_BROKER_SI_MV_NEW_y,BOI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BOI FP Equity_DX_BROKER_SI_MV_INC_y,BOI FP Equity_DX_SUPPLY_SI_QTY_INC_y,BOI FP Equity_DX_BROKER_SI_MV_ADD,BOI FP Equity_DX_SUPPLY_SI_QTY_ADD,BOI FP Equity_DX_BROKER_SI_QTY_DEC,BOI FP Equity_DX_SUPPLY_SI_MV,BOI FP Equity_DX_BROKER_SI_MV_DEC,BOI FP Equity_DX_SUPPLY_SI_MV_RMV,BOI FP Equity_DX_BROKER_SI_MV_RMV,BOI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BOI FP Equity_DX_UTILIZATION_QUANTITY,BOI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BOI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BOI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BOI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BOI FP Equity_DX_ACTIVE_UTILIZATION_MV,BOI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BOI FP Equity_DX_BROKER_SI_CON_RATIO,BOI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BOI FP Equity_DX_DEMAND_SUPPLY_RATIO
2012-05-29,236443.0,4627520.67,3.23,28.47,1.1,5.45,1.0,2247912.36,204943.0,114857.0,4011021.55,,,,0.48,,58088.0,,,20000.0,,,,0.48,,1.38,118627.0,1604.0,4.62,0.03,,,100.0,28.48,0.0,0.0,,0.0,100.0,25.35,0.3349,49.15,0.3286
2012-05-30,239443.0,4697132.94,3.27,28.88,1.11,5.5,1.0,2253139.99,207943.0,114857.0,4079200.12,,,,,,,,,,,,,,,,3000.0,,4.67,,,,100.0,28.9,0.0,0.0,,0.0,100.0,25.06,0.3267,48.51,0.3328
2012-05-31,360443.0,6595019.52,4.92,45.3,1.68,7.79,1.0,4315471.57,207943.0,235857.0,3804729.58,,,,,,121000.0,,,,,,,,,2.44,,,4.49,,,,100.0,28.9,0.0,0.0,,0.0,100.0,17.31,0.4562,64.2,0.501
2012-06-01,360443.0,6562208.48,4.92,44.78,1.68,7.46,1.0,4294001.56,207943.0,235857.0,3785800.58,,,,,,,,,,,,,,,,,,4.16,,,,100.0,28.93,0.0,0.0,,0.0,100.0,17.15,0.4542,64.03,0.5014
2012-06-04,360236.0,6492855.45,4.92,42.68,1.68,7.36,1.0,4247330.6,203236.0,235650.0,3663104.1,,,,,,,,0.1,,4707.0,,,,,,,207.0,4.03,0.0,,,100.0,28.45,0.0,0.0,,0.0,100.0,17.27,0.4578,64.31,0.5043
2012-06-05,355736.0,6346982.8,4.86,43.09,1.66,7.27,1.0,4114112.91,203236.0,230588.0,3626103.05,,,,,,,,,,,,,,,,,5062.0,4.04,0.1,,,100.0,28.48,0.0,0.0,,0.0,100.0,17.52,0.4669,65.04,0.4984
2012-06-06,352174.0,6219313.55,4.81,43.03,1.64,7.08,1.0,4089862.58,199674.0,231592.0,3526197.88,,,,,,1004.0,,0.07,,3562.0,,,,,0.02,,,3.89,,,,100.0,28.1,0.0,0.0,,0.0,100.0,17.65,0.4743,65.53,0.4957
2012-06-07,352174.0,6260989.36,4.81,42.61,1.64,7.07,1.0,4117268.87,199674.0,231592.0,3549827.04,,,,,,,,,,,,,,,,,,3.86,,,,100.0,28.07,0.0,0.0,,0.0,100.0,17.69,0.4744,65.52,0.495
2012-06-08,294225.0,5367359.95,4.02,48.08,1.37,5.93,1.0,3167659.05,141725.0,173643.0,2585399.23,,,,,,,,1.12,,57949.0,,,,,,,57949.0,2.78,1.25,,,78.88,19.91,37950.0,692297.77,,0.74,78.93,12.13,0.6581,79.91,0.4134
2012-06-11,292270.0,5621693.57,3.99,52.71,1.36,6.1,1.0,3339951.88,119770.0,173643.0,2303726.82,,,,,,,,0.43,,21955.0,,,,,,,,2.4,,,,75.94,16.83,37950.0,729952.68,,0.76,75.92,11.81,0.6753,81.04,0.4107
2012-06-12,153643.0,2935679.56,2.1,28.05,0.72,3.32,0.0,2935679.56,1143.0,153643.0,21839.47,,,,,,,,2.38,,118627.0,,,,,,,20000.0,0.02,0.41,,,0.18,0.18,643787.0,12300933.58,,13.59,0.18,21.74,0.6479,77.5,0.2382
2012-06-13,32643.0,624011.79,0.45,6.03,0.15,0.74,0.0,624011.79,1143.0,32643.0,21849.88,,,,,,,,,,,,,,,,,121000.0,0.02,2.57,,,0.18,0.18,646703.0,12362536.95,,13.52,0.18,2.95,0.9349,96.64,0.0504
2012-06-14,32504.0,619579.33,0.44,6.15,0.15,0.74,0.0,619579.33,1004.0,32504.0,19137.88,,,,,,,,0.0,,139.0,,,,,,,139.0,0.02,0.0,,,0.16,0.16,645217.0,12298889.83,,13.51,0.16,2.97,0.9423,97.03,0.0503
2012-06-15,32504.0,624313.46,0.44,6.2,0.15,0.74,0.0,624313.46,1004.0,32504.0,19284.11,,,,,,,,,,,,,,,,,,0.02,,,,0.16,0.16,643085.0,12351914.23,,13.46,0.16,2.96,0.9425,97.04,0.0505
2012-06-18,1004.0,19101.32,0.01,0.18,0.0,0.02,0.0,19101.32,1004.0,1004.0,19101.32,,,,,,,,,,,,,,,,,31500.0,0.02,0.72,,,0.16,0.16,643085.0,12234834.48,,13.58,0.16,,1.0,100.0,0.0016
2012-06-19,1204.0,22270.69,0.02,0.21,0.01,0.03,0.0,22270.69,1004.0,1204.0,18571.24,,,,,,200.0,,,,,,,,,0.0,,,0.02,,,,0.16,0.16,643085.0,11895303.19,,13.3,0.16,8.1,0.7165,83.87,0.0019
2012-06-20,16224.0,304825.34,0.22,2.69,0.08,0.33,0.0,24556.63,16024.0,1307.0,301067.63,,,822.0,,,103.0,,,,,,,,822.0,0.0,14198.0,,0.33,,,,2.57,2.57,606343.0,11392302.11,,12.35,2.57,6.46,0.8433,91.6,0.0261
2012-06-21,16224.0,307926.76,0.22,2.53,0.08,0.34,0.0,24806.48,16024.0,1307.0,304130.82,,,,,,,,,,,,,,,,,,0.33,,,,2.57,2.57,606343.0,11508212.16,,12.66,2.55,6.53,0.8427,91.56,0.0261
2012-06-22,12345.0,232955.96,0.17,1.93,0.06,0.26,0.0,22720.05,12145.0,1204.0,229181.87,,,,,,,,0.08,,3879.0,,,,,,,103.0,0.25,0.0,,,1.95,1.95,610220.0,11515138.66,,12.74,1.93,8.62,0.7981,88.91,0.0198
2012-06-25,12242.0,226220.44,0.17,1.92,0.06,0.25,0.0,22248.77,12042.0,1204.0,222524.63,,,,,,,,0.0,,103.0,,,,,,,,0.25,,,,1.93,1.93,610323.0,11278184.81,,12.63,1.94,8.6,0.8133,89.76,0.0197
2012-06-26,12324.0,227735.72,0.17,1.87,0.06,0.25,0.0,22248.77,12124.0,1204.0,224039.91,,,,,,,,,,,,,,,,82.0,,0.25,,,,1.95,1.95,610241.0,11276669.53,,12.39,1.95,8.51,0.8027,89.18,0.0198
2012-06-27,5055.0,94147.81,0.07,0.77,0.02,0.1,0.0,23951.35,4855.0,1286.0,90422.87,,,,,,82.0,,0.15,,7269.0,,,,,0.0,,,0.1,,,,0.78,0.78,617510.0,11500932.56,,12.56,0.78,20.63,0.5878,73.77,0.0081
2012-06-28,5055.0,93687.65,0.07,0.79,0.02,0.1,0.0,23834.29,4855.0,1286.0,89980.92,,,,,,,,,,,,,,,,,,0.1,,,,0.78,0.78,616556.0,11427039.65,,12.62,0.78,20.67,0.5878,73.76,0.0081
2012-06-29,5055.0,94331.87,0.07,0.77,0.02,0.1,0.0,23998.18,4855.0,1286.0,90599.65,,,,,,,,,,,,,,,,,,0.1,,,,0.78,0.78,616557.0,11505633.24,,12.42,0.79,20.33,0.5911,74.08,0.0081
2012-07-02,5055.0,94838.04,0.07,0.76,0.02,0.1,0.0,24126.95,4855.0,1286.0,91085.8,,,,,,,,,,,,,,,,,,0.1,,,,0.78,0.78,616933.0,11574425.01,,12.74,0.78,20.78,0.5871,73.68,0.0081
2012-07-03,5055.0,95390.23,0.07,0.77,0.02,0.11,0.0,24267.43,4855.0,1286.0,91616.14,,,,,,,,,,,,,,,,,,0.1,,,,0.78,0.78,617050.0,11644023.98,,12.72,0.78,20.61,0.5885,73.82,0.0081
2012-07-04,14855.0,278698.15,0.2,2.26,0.07,0.31,0.0,207987.05,4855.0,11086.0,91085.8,,,,0.1,,4900.0,,,4900.0,,,,0.1,,0.1,,,0.1,,,,0.78,0.78,617124.0,11578008.41,,12.84,0.78,32.87,0.2897,33.56,0.0239
2012-07-05,14577.0,271226.72,0.2,2.37,0.07,0.3,0.0,206271.49,4577.0,11086.0,85161.88,,,,,,,,0.01,,278.0,,,,,,,,0.09,,,,0.74,0.74,617378.0,11487234.14,,12.79,0.73,33.4,0.2911,34.29,0.0234
2012-07-06,14577.0,272553.66,0.2,2.38,0.07,0.3,0.0,207280.64,4577.0,11086.0,85578.52,,,,,,,,,,,,,,,,,,0.09,,,,0.74,0.74,617397.0,11543789.17,,12.71,0.74,33.19,0.2911,34.36,0.0234
2012-07-09,14577.0,272022.89,0.2,2.38,0.07,0.3,0.0,206876.98,4577.0,11086.0,85411.87,,,,,,,,,,,,,,,,,,0.09,,,,0.74,0.74,617397.0,11521308.57,,12.68,0.74,33.39,0.2917,34.4,0.0234
2012-07-10,14577.0,268970.92,0.2,2.32,0.07,0.3,0.0,204555.92,4577.0,11086.0,84453.59,,,,,,,,,,,,,,,,,,0.09,,,,0.74,0.74,617397.0,11392045.11,,12.68,0.73,33.36,0.2916,34.43,0.0234
2012-07-11,14299.0,265403.3,0.2,2.29,0.07,0.29,0.0,205766.91,4299.0,11086.0,79793.61,,,,,,,,0.01,,278.0,,,,,,,,0.09,,,,0.69,0.69,617675.0,11464646.86,,12.55,0.69,33.87,0.2945,35.36,0.023
2012-07-12,14299.0,264622.32,0.2,1.98,0.07,0.29,0.0,205161.41,4299.0,11086.0,79558.81,,,,,,,,,,,,,,,,,,0.09,,,,0.69,0.69,617675.0,11430910.78,,12.63,0.69,33.94,0.2942,35.22,0.023
2012-07-13,16799.0,309358.99,0.23,2.42,0.08,0.34,0.0,250190.56,4299.0,13586.0,79167.47,,,,0.05,,,,,2500.0,,,,0.05,,,,,0.09,,,,0.69,0.69,617675.0,11374683.97,,12.51,0.69,28.91,0.3248,44.88,0.027
2012-07-16,16863.0,312072.61,0.37,2.75,0.08,0.35,0.0,251427.29,4363.0,13586.0,80743.21,,,64.0,,,,,,,,,,,64.0,,,,0.09,,,,0.7,0.7,617611.0,11429726.37,,12.49,0.7,28.73,0.3242,44.83,0.0271
2012-07-17,16799.0,318075.48,0.37,2.83,0.08,0.34,0.0,257239.93,4299.0,13586.0,81398.09,,,,,,,,0.0,,64.0,,,,,,,,0.09,,,,0.69,0.69,619300.0,11725944.85,,12.61,0.69,28.91,0.3248,44.88,0.0269
2012-07-18,16799.0,316240.43,0.37,2.67,0.08,0.35,0.0,255755.85,4299.0,13586.0,80928.49,,,,,,,,,,,,,,,,,,0.09,,,,0.69,0.69,617675.0,11627704.62,,12.79,0.69,29.21,0.3224,44.32,0.027
2012-07-19,16799.0,317310.88,0.37,2.69,0.08,0.35,0.0,256621.56,4986.0,13586.0,94178.94,,,687.0,,,,,,,,,,,687.0,,,,0.1,,,,0.8,0.8,616988.0,11654086.86,,12.76,0.8,29.12,0.3228,44.44,0.027
2012-07-20,21032.0,394394.84,0.46,3.47,0.1,0.44,0.0,267649.18,8532.0,14273.0,159993.19,,,,0.01,,,,,687.0,,,,0.01,,,3546.0,,0.18,,,,1.37,1.37,613444.0,11503382.9,,12.79,1.37,32.21,0.2867,35.36,0.0338
2012-07-23,21095.0,394040.01,0.46,3.47,0.1,0.44,0.0,266609.77,8540.0,14273.0,159521.29,,,8.0,,,,,,,,,,,8.0,,,,0.18,,,,1.37,1.37,613436.0,11458560.13,,12.67,1.37,32.27,0.2871,35.44,0.0339
2012-07-24,20093.0,376786.59,0.44,3.43,0.09,0.41,0.0,266617.81,7600.0,14218.0,142516.2,,,,,,,,0.02,,940.0,,,,,,,55.0,0.16,0.0,,,1.22,1.22,614376.0,11520859.88,,12.66,1.22,29.15,0.2869,37.3,0.0323
2012-07-25,20100.0,377100.82,0.44,3.48,0.09,0.41,0.0,266878.57,7664.0,14225.0,143786.11,,,64.0,0.0,,,,,7.0,,,,0.0,64.0,,,,0.16,,,,1.23,1.23,615937.0,11555738.82,,12.65,1.23,29.08,0.287,37.31,0.0322
2012-07-26,17835.0,332983.11,0.39,3.03,0.08,0.37,0.0,266778.56,5335.0,14289.0,99605.55,,,,0.0,,,,0.05,64.0,2329.0,,,0.0,,,,,0.11,,,,0.86,0.86,616641.0,11512814.05,,12.6,0.86,27.51,0.297,42.13,0.0287
2012-07-27,17835.0,344185.37,0.39,2.98,0.08,0.37,0.0,275753.56,5335.0,14289.0,102956.49,,,,,,,,,,,,,,,,,,0.11,,,,0.86,0.86,616641.0,11900129.58,,12.72,0.85,27.36,0.2965,42.1,0.0287
2012-07-30,17835.0,346295.94,0.39,3.24,0.08,0.38,0.0,277444.5,5335.0,14289.0,103587.82,,,,,,,,,,,,,,,,,,0.11,,,,0.86,0.86,616641.0,11973102.08,,13.17,0.86,27.7,0.2931,41.24,0.0287
2012-07-31,17835.0,356524.09,0.39,3.26,0.08,0.37,0.0,285639.07,5335.0,14289.0,106647.38,,,,,,,,,,,,,,,,,,0.11,,,,0.86,0.86,616641.0,12326738.0,,13.19,0.85,27.88,0.2936,41.25,0.0287
2012-08-01,21000.0,419792.87,0.46,4.0,0.1,0.44,0.0,348907.85,5335.0,17454.0,106647.38,,,,,,3165.0,,,,,,,,,0.06,,,0.12,,,,0.86,0.86,616641.0,12326738.0,,13.61,0.86,24.24,0.2347,34.84,0.0338
2012-08-02,21000.0,420557.52,0.46,4.34,0.1,0.44,0.0,349543.38,5335.0,17454.0,106841.64,,,,,,,,,,,,,,,,,,0.12,,,,0.86,0.86,616641.0,12349191.08,,13.64,0.86,24.22,0.2346,34.82,0.0338
2012-08-03,21000.0,420557.52,0.46,4.36,0.1,0.44,0.0,349543.38,5335.0,17454.0,106841.64,,,,,,,,,,,,,,,,,,0.12,,,,0.86,0.86,616638.0,12349131.0,,13.41,0.85,24.41,0.2359,35.03,0.0338
2012-08-06,21000.0,422277.99,0.46,3.99,0.1,0.44,0.0,350973.33,5328.0,17454.0,107137.96,,,,,,,,0.0,,7.0,,,,,,,,0.12,,,,0.86,0.86,616601.0,12398906.16,,13.54,0.85,24.28,0.2343,34.84,0.0338
2012-08-07,20987.0,420297.18,0.46,4.18,0.1,0.45,0.0,349283.04,5322.0,17441.0,106581.29,,,,,,,,0.0,,6.0,,,,,,,13.0,0.12,0.0,,,0.87,0.87,609147.0,12199112.12,,13.47,0.87,24.29,0.2339,34.71,0.0342
2012-08-08,20987.0,416476.3,0.46,4.25,0.1,0.45,0.0,346107.74,5322.0,17441.0,105612.37,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,601809.0,11942592.24,,13.29,0.88,24.22,0.2338,34.75,0.0346
2012-08-09,20989.0,418426.61,0.46,4.08,0.1,0.44,0.0,347735.26,5324.0,17443.0,106136.7,,,2.0,0.0,,,,,2.0,,,,0.0,2.0,,,,0.12,,,,0.88,0.88,601437.0,11989958.76,,13.17,0.88,24.1,0.2342,34.9,0.0346
2012-08-10,20989.0,420146.17,0.46,4.23,0.1,0.44,0.0,349164.31,5324.0,17443.0,106572.88,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,601437.0,12039232.56,,13.2,0.88,24.19,0.2343,34.86,0.0346
2012-08-13,20989.0,419381.92,0.46,4.28,0.1,0.44,0.0,348529.17,5324.0,17443.0,106379.02,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,602070.0,12029981.09,,13.22,0.88,24.25,0.2342,34.81,0.0346
2012-08-14,20989.0,422056.79,0.46,4.35,0.1,0.44,0.0,350752.14,5324.0,17443.0,107057.52,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,602070.0,12106709.9,,13.26,0.88,24.21,0.2341,34.81,0.0346
2012-08-15,20989.0,418426.61,0.46,4.45,0.1,0.45,0.0,347735.26,5324.0,17443.0,106136.7,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,601127.0,11983778.75,,13.29,0.88,24.28,0.2337,34.69,0.0346
2012-08-16,20989.0,423776.36,0.46,4.45,0.1,0.44,0.0,352181.19,5324.0,17443.0,107493.7,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,602070.0,12156035.56,,13.17,0.87,24.23,0.2346,34.93,0.0346
2012-08-17,20989.0,424158.48,0.46,4.44,0.1,0.45,0.0,352498.76,5324.0,17443.0,107590.63,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,602062.0,12166835.15,,13.38,0.88,24.33,0.2335,34.62,0.0346
2012-08-20,20988.0,426048.8,0.46,4.4,0.1,0.45,0.0,354066.29,5323.0,17442.0,108054.97,,,,,,,,0.0,,1.0,,,,,,,1.0,0.12,0.0,,,0.88,0.88,601120.0,12202518.45,,13.33,0.88,24.38,0.2338,34.67,0.0346
2012-08-21,20988.0,424520.38,0.46,4.46,0.1,0.45,0.0,352796.09,5323.0,17442.0,107667.33,,,,,,,,,,,,,,,,,,0.12,,,,0.88,0.88,601120.0,12158742.6,,13.31,0.88,24.5,0.2341,34.67,0.0346
2012-08-22,21047.0,440083.04,0.46,4.52,0.1,0.45,0.0,365937.82,5382.0,17501.0,112535.13,,,59.0,0.0,,,,,59.0,,,,0.0,59.0,,,,0.12,,,,0.89,0.89,601061.0,12567907.54,,13.41,0.88,24.32,0.2327,34.55,0.0347
2012-08-23,20988.0,441333.07,0.46,5.32,0.1,0.45,0.0,366768.22,5323.0,17442.0,111931.39,,,,,,,,0.0,,59.0,,,,,,,59.0,0.12,0.0,,,0.89,0.89,590254.0,12411788.06,,13.51,0.89,24.81,0.2323,34.09,0.0352
2012-08-24,20990.0,441375.12,0.46,5.47,0.1,0.46,0.0,366810.27,5325.0,17444.0,111973.44,,,2.0,0.0,,,,,2.0,,,,0.0,2.0,,,,0.12,,,,0.89,0.89,590474.0,12416414.19,,13.7,0.89,24.79,0.2314,33.87,0.0352
2012-08-27,20990.0,425516.19,0.46,5.49,0.1,0.46,0.0,353630.51,5325.0,17444.0,107950.15,,,,,,,,,,,,,,,,,,0.12,,,,0.89,0.89,590474.0,11970283.29,,13.57,0.9,24.81,0.2316,33.9,0.0352
2012-08-28,20990.0,429146.55,0.46,5.4,0.1,0.45,0.0,356647.56,5325.0,17444.0,108871.15,,,,,,,,,,,,,,,,,,0.12,,,,0.89,0.89,590474.0,12072409.64,,13.15,0.89,24.42,0.2337,34.61,0.0352
2012-08-29,20990.0,429910.83,0.46,5.78,0.1,0.45,0.0,357282.73,5325.0,17444.0,109065.04,,,,,,,,,,,,,,,,,,0.12,,,,0.89,0.89,590474.0,12093909.93,,13.3,0.89,24.47,0.2329,34.39,0.0352
2012-08-30,20990.0,432776.91,0.46,5.91,0.1,0.45,0.0,359664.62,5325.0,17444.0,109792.14,,,,,,,,,,,,,,,,,,0.12,,,,0.89,0.89,590474.0,12174535.99,,13.32,0.89,24.5,0.2328,34.37,0.0352
2012-08-31,17954.0,385379.36,0.39,5.12,0.08,0.39,0.0,309265.11,5325.0,14408.0,114300.16,,,,,,129.0,,,,,,,,,0.0,,3165.0,0.12,0.06,,,0.89,0.89,590474.0,12674417.61,,13.42,0.88,28.33,0.2833,39.48,0.0301
2012-09-03,17954.0,390609.28,0.39,4.71,0.08,0.4,0.0,313462.1,5325.0,14408.0,115851.31,,,,,,,,,,,,,,,,,,0.13,,,,0.89,0.89,590474.0,12846419.88,,13.98,0.89,28.8,0.2807,38.55,0.0301
2012-09-04,17955.0,391938.59,0.39,4.23,0.08,0.41,0.0,314533.17,5326.0,14409.0,116260.92,,,1.0,0.0,,,,,1.0,,,,0.0,1.0,,,,0.13,,,,0.89,0.89,590473.0,12889398.62,,14.14,0.89,28.85,0.2782,38.11,0.0301
2012-09-05,17955.0,389977.26,0.39,4.14,0.08,0.41,0.0,312959.19,5326.0,14409.0,115679.14,,,,,,,,,,,,,,,,,,0.13,,,,0.89,0.89,590163.0,12818164.77,,14.12,0.89,28.93,0.2782,38.08,0.0302
2012-09-06,17824.0,389403.5,0.39,3.93,0.08,0.4,0.0,311933.52,5324.0,14278.0,116314.2,,,,,,,,0.0,,2.0,,,,,,,131.0,0.13,0.0,,,0.89,0.89,590205.0,12894293.71,,14.09,0.89,29.09,0.2829,38.49,0.0299
2012-09-07,17824.0,393135.28,0.39,3.99,0.08,0.4,0.0,314922.89,5324.0,14278.0,117428.87,,,,,,,,,,,,,,,,,,0.13,,,,0.89,0.89,590028.0,13013960.02,,14.07,0.89,29.27,0.2834,38.49,0.0299
2012-09-10,14432.0,316480.35,0.32,3.25,0.07,0.32,0.0,313103.27,1932.0,14278.0,42366.97,,,,,,,,0.08,,3392.0,,,,,,,,0.05,,,,0.32,0.32,593420.0,13013149.27,,14.4,0.32,36.69,0.3728,47.8,0.0242
2012-09-11,13979.0,305019.48,0.31,3.11,0.07,0.31,0.0,301659.22,1479.0,13825.0,32271.54,,,,,,,,0.01,,453.0,,,,,,,453.0,0.04,0.01,,,0.25,0.25,593798.0,12956574.51,,14.25,0.25,37.88,0.3971,49.63,0.0235
2012-09-12,13825.0,300778.28,0.3,3.06,0.06,0.31,0.0,300778.28,1325.0,13825.0,28826.85,,,,,,,,0.0,,154.0,,,,,,,,0.03,,,,0.22,0.22,593952.0,12922087.65,,14.2,0.22,38.22,0.4067,50.32,0.0232
2012-09-13,17068.0,372420.95,0.37,3.79,0.08,0.38,0.0,301637.4,4568.0,13824.0,99673.01,,,488.0,,,,,0.0,,1.0,,,,488.0,,2756.0,1.0,0.11,0.0,,,0.77,0.77,590784.0,12890809.53,,14.06,0.77,30.51,0.3004,40.29,0.0287
2012-09-14,13824.0,302644.12,0.3,3.05,0.06,0.31,0.0,302644.12,1324.0,13824.0,28985.88,,,,,,,,0.08,,3244.0,,,,,,,,0.03,,,,0.22,0.22,594639.0,13018228.87,,14.11,0.22,38.27,0.4075,50.39,0.0232
2012-09-17,13824.0,301511.56,0.3,3.39,0.06,0.31,0.0,301511.56,1324.0,13824.0,28877.41,,,,,,,,,,,,,,,,,,0.03,,,,0.22,0.22,594639.0,12969512.01,,14.32,0.22,38.26,0.406,50.21,0.0232
2012-09-18,16994.0,372662.63,0.37,4.08,0.08,0.38,0.0,303147.48,4494.0,13824.0,98549.24,,,488.0,,,,,,,,,,,488.0,,2682.0,,0.11,,,,0.75,0.75,592074.0,12983632.74,,14.27,0.75,30.58,0.3002,40.29,0.0285
2012-09-19,16063.0,351223.12,0.35,3.85,0.07,0.36,0.0,302266.6,3563.0,13824.0,77906.24,,,,,,,,0.02,,931.0,,,,,,,,0.09,,,,0.6,0.6,593005.0,12966261.93,,14.28,0.6,32.6,0.3163,42.72,0.0269
2012-09-20,13824.0,301637.4,0.3,3.49,0.06,0.31,0.0,301637.4,1324.0,13824.0,28889.46,,,,,,,,0.05,,2239.0,,,,,,,,0.03,,,,0.22,0.22,595244.0,12988125.99,,14.36,0.22,38.21,0.4057,50.22,0.0232
2012-09-21,13824.0,296855.5,0.3,3.36,0.06,0.31,0.0,296855.5,1324.0,13824.0,28431.47,,,,,,,,,,,,,,,,,,0.03,,,,0.22,0.22,597905.0,12839365.39,,14.28,0.22,38.21,0.4066,50.32,0.0231
2012-09-24,16767.0,361884.81,0.37,3.97,0.08,0.37,0.0,291458.96,4267.0,13504.0,92095.33,,,,,,,,0.01,,320.0,,,,,,3263.0,320.0,0.1,0.01,,,0.72,0.72,590291.0,12740343.81,,13.99,0.72,30.83,0.3123,41.26,0.0282
2012-09-25,12798.0,278085.25,0.28,3.0,0.06,0.28,0.0,186954.64,5198.0,8604.0,112946.33,,,488.0,,,,,,,,,,,488.0,,443.0,4900.0,0.12,0.12,,,0.87,0.87,589360.0,12806088.78,,14.01,0.87,35.34,0.4346,54.93,0.0215
2012-09-26,9535.0,205448.22,0.21,2.2,0.04,0.2,0.0,185388.2,1935.0,8604.0,41692.95,,,,,,,,0.08,,3263.0,,,,,,,,0.05,,,,0.32,0.32,593574.0,12789588.16,,14.22,0.32,12.38,0.5987,75.59,0.016
2012-09-27,9535.0,205882.21,0.21,1.99,0.04,0.2,0.0,185779.81,1935.0,8604.0,41781.02,,,,,,,,,,,,,,,,,,0.05,,,,0.32,0.32,593874.0,12823082.29,,14.02,0.33,12.17,0.6021,75.86,0.016
2012-09-28,9535.0,205708.61,0.21,1.98,0.04,0.2,0.0,185623.17,1935.0,8604.0,41745.8,,,,,,,,,,,,,,,,,,0.05,,,,0.32,0.32,594007.0,12815139.59,,14.1,0.32,12.26,0.6012,75.79,0.016
2012-10-01,9535.0,206229.39,0.21,2.02,0.04,0.2,0.0,186093.1,1935.0,8604.0,41851.48,,,,,,,,,,,,,,,,,,0.05,,,,0.32,0.32,597022.0,12912793.43,,14.14,0.32,12.23,0.6013,75.8,0.0159
2012-10-02,8563.0,186687.35,0.19,1.82,0.04,0.18,0.0,166390.03,963.0,7632.0,20994.97,,,,,,,,0.02,,1004.0,,,,,,32.0,972.0,0.02,0.02,,,0.16,0.16,597774.0,13032447.13,,14.22,0.16,12.29,0.7539,85.94,0.0143
2012-10-03,8563.0,187388.89,0.19,1.84,0.04,0.18,0.0,167015.3,963.0,7632.0,21073.86,,,,,,,,,,,,,,,,,,0.02,,,,0.16,0.16,597774.0,13081420.83,,14.36,0.16,12.38,0.7525,85.85,0.0143
2012-10-04,8563.0,187388.89,0.19,1.97,0.04,0.18,0.0,167015.3,963.0,7632.0,21073.86,,,,,,,,,,,,,,,,,,0.02,,,,0.16,0.16,598174.0,13090174.26,,14.31,0.16,12.42,0.7519,85.8,0.0143
2012-10-05,8563.0,187856.58,0.19,1.98,0.04,0.18,0.0,167432.14,963.0,7632.0,21126.46,,,,,,,,,,,,,,,,,,0.02,,,,0.16,0.16,599062.0,13142326.34,,14.39,0.16,12.36,0.7526,85.86,0.0143
2012-10-08,8563.0,189337.61,0.19,1.92,0.04,0.18,0.0,168752.15,963.0,7632.0,21293.02,,,,,,,,,,,,,,,,,,0.02,,,,0.16,0.16,599062.0,13245938.04,,14.53,0.16,12.44,0.7514,85.77,0.0143
