,ALTD FP Equity_DX_SI_QTY,ALTD FP Equity_DX_SHORT_INTEREST_VALUE,ALTD FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTD FP Equity_DX_SI_MV,ALTD FP Equity_DX_DSS,ALTD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTD FP Equity_DX_SUPPLY_SI_QTY,ALTD FP Equity_DX_BROKER_SI_QTY,ALTD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTD FP Equity_DX_BROKER_SI_MV_NEW_x,ALTD FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALTD FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALTD FP Equity_DX_BROKER_SI_MV_INC_x,ALTD FP Equity_DX_SUPPLY_SI_MV_NEW,ALTD FP Equity_DX_BROKER_SI_QTY_ADD,ALTD FP Equity_DX_BROKER_SI_QTY_NEW,ALTD FP Equity_DX_SUPPLY_SI_MV_DEC,ALTD FP Equity_DX_BROKER_SI_QTY_INC,ALTD FP Equity_DX_SUPPLY_SI_QTY_DEC,ALTD FP Equity_DX_BROKER_SI_MV_NEW_y,ALTD FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALTD FP Equity_DX_BROKER_SI_MV_INC_y,ALTD FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALTD FP Equity_DX_BROKER_SI_MV_ADD,ALTD FP Equity_DX_SUPPLY_SI_QTY_ADD,ALTD FP Equity_DX_BROKER_SI_QTY_DEC,ALTD FP Equity_DX_SUPPLY_SI_MV,ALTD FP Equity_DX_BROKER_SI_MV_DEC,ALTD FP Equity_DX_SUPPLY_SI_MV_RMV,ALTD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTD FP Equity_DX_UTILIZATION_QUANTITY,ALTD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTD FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALTD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTD FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALTD FP Equity_DX_BROKER_SI_CON_RATIO,ALTD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALTD FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTD FP Equity_PX_LAST
2018-06-08,100900.0,29361.9,0.16,0.19,0.15,0.03,0.0,29361.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.291
2018-06-11,100900.0,28403.35,0.16,0.18,0.15,0.03,0.0,28403.35,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2815
2018-06-12,100900.0,28201.55,0.16,0.18,0.15,0.03,0.0,28201.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2795
2018-06-13,100900.0,27848.4,0.16,0.17,0.15,0.03,0.0,27848.4,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.276
2018-06-14,100900.0,27848.4,0.16,0.18,0.15,0.03,0.0,27848.4,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.276
2018-06-15,100900.0,28958.3,0.16,0.19,0.15,0.03,0.0,28958.3,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.287
2018-06-18,100900.0,29361.9,0.16,0.16,0.15,0.03,0.0,29361.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.291
2018-06-19,100900.0,28453.8,0.16,0.16,0.15,0.03,0.0,28453.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.282
2018-06-20,100900.0,27545.7,0.16,0.16,0.15,0.03,0.0,27545.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.273
2018-06-21,100900.0,26688.05,0.16,0.18,0.15,0.03,0.0,26688.05,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2645
2018-06-22,100900.0,26435.8,0.16,0.18,0.15,0.03,0.0,26435.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.262
2018-06-25,100900.0,26637.6,0.16,0.18,0.15,0.03,0.0,26637.6,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.264
2018-06-26,100900.0,26082.65,0.16,0.18,0.15,0.03,0.0,26082.65,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2585
2018-06-27,100900.0,25174.55,0.16,0.17,0.15,0.03,0.0,25174.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2495
2018-06-28,100900.0,23711.5,0.16,0.17,0.15,0.02,0.0,23711.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.235
2018-06-29,100900.0,24115.1,0.16,0.17,0.15,0.02,0.0,24115.1,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.239
2018-07-02,100900.0,23963.75,0.16,0.17,0.15,0.02,0.0,23963.75,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2375
2018-07-03,100900.0,23560.15,0.16,0.17,0.15,0.02,0.0,23560.15,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2335
2018-07-04,100900.0,24720.5,0.15,0.17,0.14,0.02,0.0,24720.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.245
2018-07-05,100900.0,25225.0,0.15,0.17,0.14,0.03,0.0,25225.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.25
2018-07-06,100900.0,25527.7,0.15,0.17,0.14,0.03,0.0,25527.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.253
2018-07-09,100900.0,24720.5,0.15,0.16,0.14,0.02,0.0,24720.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.245
2018-07-10,100900.0,24266.45,0.15,0.16,0.14,0.02,0.0,24266.45,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2405
2018-07-11,100900.0,24216.0,0.15,0.17,0.14,0.02,0.0,24216.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.24
2018-07-12,100900.0,24064.65,0.15,0.16,0.14,0.02,0.0,24064.65,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2385
2018-07-13,100900.0,24468.25,0.15,0.16,0.14,0.02,0.0,24468.25,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2425
2018-07-16,100900.0,25023.2,0.15,0.16,0.14,0.03,0.0,25023.2,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.248
2018-07-17,100900.0,26839.4,0.15,0.17,0.14,0.03,0.0,26839.4,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.266
2018-07-18,100900.0,26183.55,0.15,0.14,0.14,0.03,0.0,26183.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2595
2018-07-19,100900.0,25628.6,0.15,0.14,0.14,0.03,0.0,25628.6,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.254
2018-07-20,100900.0,25174.55,0.15,0.14,0.14,0.03,0.0,25174.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2495
2018-07-23,100900.0,24720.5,0.15,0.15,0.14,0.02,0.0,24720.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.245
2018-07-24,100900.0,25023.2,0.15,0.15,0.14,0.02,0.0,25023.2,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.248
2018-07-25,100900.0,24518.7,0.15,0.16,0.14,0.02,0.0,24518.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.243
2018-07-26,100900.0,23812.4,0.15,0.17,0.14,0.02,0.0,23812.4,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.236
2018-07-27,100900.0,23307.9,0.15,0.17,0.14,0.02,0.0,23307.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.231
2018-07-30,100900.0,24216.0,0.15,0.2,0.14,0.02,0.0,24216.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.24
2018-07-31,100900.0,24216.0,0.15,0.2,0.14,0.02,0.0,24216.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.24
2018-08-01,100900.0,24115.1,0.15,0.2,0.14,0.02,0.0,24115.1,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.239
2018-08-02,100900.0,24165.55,0.15,0.21,0.14,0.02,0.0,24165.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2395
2018-08-03,100900.0,24367.35,0.15,0.22,0.14,0.02,0.0,24367.35,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2415
2018-08-06,100900.0,24972.75,0.15,0.22,0.14,0.03,0.0,24972.75,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2475
2018-08-07,100900.0,25023.2,0.15,0.21,0.14,0.03,0.0,25023.2,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.248
2018-08-08,100900.0,24316.9,0.15,0.21,0.14,0.02,0.0,24316.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.241
2018-08-09,100900.0,23408.8,0.15,0.22,0.14,0.02,0.0,23408.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.232
2018-08-10,100900.0,23509.7,0.15,0.21,0.14,0.02,0.0,23509.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.233
2018-08-13,100900.0,23963.75,0.14,0.22,0.14,0.02,0.0,23963.75,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2375
2018-08-14,100900.0,23711.5,0.14,0.22,0.14,0.02,0.0,23711.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.235
2018-08-15,100900.0,24064.65,0.14,0.22,0.14,0.02,0.0,24064.65,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2385
2018-08-16,100900.0,24115.1,0.14,0.22,0.14,0.02,0.0,24115.1,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.239
2018-08-17,100900.0,24266.45,0.14,0.21,0.14,0.02,0.0,24266.45,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2405
2018-08-20,100900.0,24417.8,0.14,0.21,0.14,0.02,0.0,24417.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.242
2018-08-21,100900.0,27343.9,0.14,0.21,0.14,0.03,0.0,27343.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.271
2018-08-22,100900.0,26334.9,0.14,0.16,0.14,0.03,0.0,26334.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.261
2018-08-23,100900.0,26032.2,0.14,0.15,0.14,0.03,0.0,26032.2,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.258
2018-08-24,100900.0,26234.0,0.14,0.14,0.14,0.03,0.0,26234.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.26
2018-08-27,100900.0,26183.55,0.14,0.14,0.14,0.03,0.0,26183.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2595
2018-08-28,100900.0,25073.65,0.14,0.14,0.14,0.03,0.0,25073.65,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2485
2018-08-29,100900.0,25325.9,0.14,0.16,0.14,0.03,0.0,25325.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.251
2018-08-30,100900.0,25931.3,0.14,0.17,0.14,0.03,0.0,25931.3,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.257
2018-08-31,100900.0,25578.15,0.14,0.17,0.14,0.03,0.0,25578.15,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2535
2018-09-03,100900.0,25527.7,0.14,0.17,0.14,0.03,0.0,25527.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.253
2018-09-04,100900.0,25225.0,0.14,0.18,0.14,0.03,0.0,25225.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.25
2018-09-05,100900.0,25880.85,0.14,0.18,0.14,0.03,0.0,25880.85,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2565
2018-09-06,100900.0,25225.0,0.14,0.16,0.14,0.03,0.0,25225.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.25
2018-09-07,100900.0,25325.9,0.14,0.16,0.14,0.03,0.0,25325.9,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.251
2018-09-10,100900.0,26133.1,0.14,0.17,0.14,0.03,0.0,26133.1,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.259
2018-09-11,100900.0,25679.05,0.14,0.17,0.14,0.03,0.0,25679.05,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2545
2018-09-12,100900.0,25426.8,0.14,0.17,0.14,0.03,0.0,25426.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.252
2018-09-13,100900.0,25729.5,0.14,0.17,0.14,0.03,0.0,25729.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.255
2018-09-14,100900.0,25426.8,0.14,0.16,0.14,0.03,0.0,25426.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.252
2018-09-17,100900.0,25174.55,0.14,0.17,0.14,0.03,0.0,25174.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2495
2018-09-18,100900.0,25225.0,0.14,0.17,0.14,0.03,0.0,25225.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.25
2018-09-19,100900.0,25023.2,0.14,0.18,0.14,0.03,0.0,25023.2,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.248
2018-09-20,100900.0,24871.85,0.14,0.18,0.14,0.02,0.0,24871.85,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2465
2018-09-21,100900.0,24518.7,0.14,0.18,0.14,0.02,0.0,24518.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.243
2018-09-24,100900.0,24417.8,0.14,0.18,0.14,0.02,0.0,24417.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.242
2018-09-25,100900.0,24115.1,0.14,0.18,0.14,0.02,0.0,24115.1,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.239
2018-09-26,100900.0,24216.0,0.14,0.18,0.14,0.02,0.0,24216.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.24
2018-09-27,100900.0,24367.35,0.14,0.18,0.14,0.02,0.0,24367.35,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2415
2018-09-28,100900.0,25023.2,0.14,0.2,0.14,0.03,0.0,25023.2,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.248
2018-10-01,100900.0,24670.05,0.14,0.2,0.14,0.02,0.0,24670.05,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2445
2018-10-02,100900.0,24417.8,0.14,0.2,0.14,0.02,0.0,24417.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.242
2018-10-03,100900.0,25225.0,0.14,0.29,0.14,0.03,0.0,25225.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.25
2018-10-04,100900.0,23560.15,0.14,0.35,0.14,0.02,0.0,23560.15,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2335
2018-10-05,100900.0,23408.8,0.14,0.34,0.14,0.02,0.0,23408.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.232
2018-10-08,100900.0,24064.65,0.14,0.34,0.14,0.02,0.0,24064.65,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2385
2018-10-09,100900.0,23711.5,0.14,0.35,0.14,0.02,0.0,23711.5,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.235
2018-10-10,100900.0,23156.55,0.14,0.38,0.14,0.02,0.0,23156.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2295
2018-10-11,100900.0,22147.55,0.14,0.37,0.14,0.02,0.0,22147.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2195
2018-10-12,100900.0,22198.0,0.14,0.37,0.13,0.02,0.0,22198.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.22
2018-10-15,100900.0,22198.0,0.14,0.36,0.13,0.02,0.0,22198.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.22
2018-10-16,100900.0,22198.0,0.14,0.36,0.13,0.02,0.0,22198.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.22
2018-10-17,100900.0,22652.05,0.14,0.36,0.13,0.02,0.0,22652.05,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2245
2018-10-18,100900.0,22904.3,0.14,0.41,0.13,0.02,0.0,22904.3,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.227
2018-10-19,100900.0,22147.55,0.14,0.43,0.13,0.02,0.0,22147.55,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2195
2018-10-22,100900.0,22198.0,0.14,0.42,0.13,0.02,0.0,22198.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.22
2018-10-23,100900.0,20432.25,0.14,0.46,0.13,0.02,0.0,20432.25,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.2025
2018-10-24,100900.0,20482.7,0.14,0.4,0.13,0.02,0.0,20482.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.203
2018-10-25,100900.0,20381.8,0.14,0.4,0.13,0.02,0.0,20381.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.202
2018-10-26,100900.0,19372.8,0.14,0.41,0.13,0.02,0.0,19372.8,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.192
2018-10-29,100900.0,17455.7,0.14,0.39,0.13,0.02,0.0,17455.7,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.173
2018-10-30,100900.0,18283.08,0.14,0.35,0.13,0.02,0.0,18283.08,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.1812
2018-10-31,100900.0,17536.42,0.14,0.34,0.13,0.02,0.0,17536.42,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.1738
2018-11-01,100900.0,17153.0,0.14,0.31,0.13,0.02,0.0,17153.0,0.0,100900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,0.17
