,ALPAU FP Equity_DX_SI_QTY,ALPAU FP Equity_DX_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPAU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPAU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPAU FP Equity_DX_SI_MV,ALPAU FP Equity_DX_DSS,ALPAU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPAU FP Equity_DX_SUPPLY_SI_QTY,ALPAU FP Equity_DX_BROKER_SI_QTY,ALPAU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPAU FP Equity_DX_BROKER_SI_QTY_ADD,ALPAU FP Equity_DX_SUPPLY_SI_MV_DEC,ALPAU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPAU FP Equity_DX_BROKER_SI_MV_ADD,ALPAU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPAU FP Equity_DX_BROKER_SI_QTY_DEC,ALPAU FP Equity_DX_SUPPLY_SI_MV,ALPAU FP Equity_DX_BROKER_SI_MV_DEC,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_UTILIZATION_QUANTITY,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPAU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPAU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPAU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPAU FP Equity_DX_BROKER_SI_CON_RATIO,ALPAU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPAU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALPAU FP Equity_PX_LAST
2020-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2020-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02
2020-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2020-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2020-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2020-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06
2020-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02
2020-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.98
2020-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2020-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2020-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2020-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2020-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08
2020-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2020-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12
2020-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2020-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2020-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2020-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2020-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2020-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94
2020-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.94
2020-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2020-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2020-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2020-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2020-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.18
2020-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2020-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2020-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2020-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2020-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2020-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2020-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2020-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2020-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24
2020-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2020-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2020-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2020-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2020-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.22
2020-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2020-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2020-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32
2020-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2021-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2021-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2021-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2021-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2021-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2021-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78
2021-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.06
2021-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.54
2021-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2021-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24
2021-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2021-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2021-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2021-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2021-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14
2021-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.14
2021-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2021-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.28
2021-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2021-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36
2021-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2021-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2021-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2021-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2021-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
2021-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2021-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5
2021-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45
2021-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.95
