,ALROC FP Equity_DX_SI_QTY,ALROC FP Equity_DX_SHORT_INTEREST_VALUE,ALROC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALROC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALROC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALROC FP Equity_DX_SI_MV,ALROC FP Equity_DX_DSS,ALROC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALROC FP Equity_DX_SUPPLY_SI_QTY,ALROC FP Equity_DX_BROKER_SI_QTY,ALROC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALROC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALROC FP Equity_DX_BROKER_SI_MV_INC_x,ALROC FP Equity_DX_BROKER_SI_QTY_ADD,ALROC FP Equity_DX_SUPPLY_SI_MV_DEC,ALROC FP Equity_DX_BROKER_SI_QTY_INC,ALROC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALROC FP Equity_DX_BROKER_SI_MV_INC_y,ALROC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALROC FP Equity_DX_BROKER_SI_MV_ADD,ALROC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALROC FP Equity_DX_BROKER_SI_QTY_DEC,ALROC FP Equity_DX_SUPPLY_SI_MV,ALROC FP Equity_DX_BROKER_SI_MV_DEC,ALROC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALROC FP Equity_DX_UTILIZATION_QUANTITY,ALROC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALROC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALROC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALROC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALROC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALROC FP Equity_DX_BROKER_SI_CON_RATIO,ALROC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALROC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALROC FP Equity_PX_LAST
2016-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31
2016-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31
2016-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29
2016-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2016-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2016-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2016-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2016-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2016-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2016-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2016-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49
2016-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2016-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2016-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2016-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74
2016-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74
2016-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73
2016-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2016-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2017-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8
2017-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2017-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2017-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01
2017-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01
2017-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01
2017-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01
2017-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2017-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2017-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2017-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2017-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2017-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2017-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2017-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19
2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2017-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2017-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17
2017-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17
2017-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2017-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.17
2017-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2017-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2017-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2017-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2017-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2017-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98
2017-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.88
2017-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2017-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2017-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81
2017-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81
2017-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2017-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2017-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2017-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2017-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2017-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2017-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2017-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9
2017-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2017-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2017-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2017-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89
2017-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2017-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2017-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.97
2017-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.67
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.66
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.51
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.72
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.82
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.93
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.02
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96
2017-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2017-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2017-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78
2017-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82
2017-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92
2017-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2017-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.79
2017-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.59
2017-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69
2017-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69
2017-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.44
2017-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2017-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2017-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2017-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2017-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2017-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2017-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2017-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2017-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2017-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2017-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2017-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2017-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2017-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15
2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28
2017-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24
2017-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.24
2017-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2017-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2017-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.32
2017-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.29
2017-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.52
2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.57
2017-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2017-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2017-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.45
2017-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99
2017-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.82
2017-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.61
2017-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27
2017-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2017-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27
2017-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27
2017-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.27
2017-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94
2017-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.84
2017-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.78
2017-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7
2017-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6
2017-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5
2017-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.47
2017-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2017-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39
2017-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
2017-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3
2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27
2017-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2017-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.18
2017-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2017-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16
2017-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13
2017-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86
2017-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2017-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2017-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2017-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2017-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.95
2017-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2017-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2017-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2017-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43
2017-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37
2017-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12
2017-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.38
2017-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.36
2017-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37
2017-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15
2017-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44
2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.98
2017-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.39
2017-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2017-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.19
2017-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91
2017-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8
2017-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99
2017-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01
2017-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.01
2017-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
2017-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2017-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2
2017-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2017-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07
2017-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.18
2017-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92
2017-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2017-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2017-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85
2017-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.86
2017-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2
2017-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2017-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2017-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2017-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5
2017-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.35
2017-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.27
2017-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.97
2017-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7
2017-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32
2017-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2017-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9
2017-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1
2017-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.25
2017-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75
2017-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.73
2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.03
2017-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.05
2017-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2017-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91
2017-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91
2017-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2017-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.21
2017-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2017-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65
2017-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2017-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2017-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.73
2017-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2017-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2017-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2017-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75
2017-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47
2017-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.11
2017-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.49
2017-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2
2017-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.19
2017-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2017-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.18
2017-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.12
2017-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2017-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15
2017-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.19
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9
