,ASY FP Equity_DX_SI_QTY,ASY FP Equity_DX_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ASY FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ASY FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ASY FP Equity_DX_SI_MV,ASY FP Equity_DX_DSS,ASY FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY,ASY FP Equity_DX_BROKER_SI_QTY,ASY FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ASY FP Equity_DX_BROKER_SI_MV_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_x,ASY FP Equity_DX_BROKER_SI_MV_INC_x,ASY FP Equity_DX_SUPPLY_SI_MV_NEW,ASY FP Equity_DX_BROKER_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_NEW,ASY FP Equity_DX_SUPPLY_SI_MV_DEC,ASY FP Equity_DX_BROKER_SI_QTY_INC,ASY FP Equity_DX_SUPPLY_SI_QTY_DEC,ASY FP Equity_DX_BROKER_SI_MV_NEW_y,ASY FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ASY FP Equity_DX_BROKER_SI_MV_INC_y,ASY FP Equity_DX_SUPPLY_SI_QTY_INC_y,ASY FP Equity_DX_BROKER_SI_MV_ADD,ASY FP Equity_DX_SUPPLY_SI_QTY_ADD,ASY FP Equity_DX_BROKER_SI_QTY_DEC,ASY FP Equity_DX_SUPPLY_SI_MV,ASY FP Equity_DX_BROKER_SI_MV_DEC,ASY FP Equity_DX_SUPPLY_SI_MV_RMV,ASY FP Equity_DX_BROKER_SI_MV_RMV,ASY FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ASY FP Equity_DX_UTILIZATION_QUANTITY,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ASY FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ASY FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ASY FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ASY FP Equity_DX_ACTIVE_UTILIZATION_MV,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ASY FP Equity_DX_BROKER_SI_CON_RATIO,ASY FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ASY FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-11-01,4600.0,47130.62,0.04,0.31,0.02,0.06,0.0,47130.62,4100.0,4600.0,42007.72,,,,,,,,,,,,,,,,,,0.05,,,,0.53,0.53,763261.0,7820209.15,,9.97,0.55,10.87,0.7546,86.13,0.006
2011-11-02,4600.0,47357.94,0.04,0.3,0.02,0.06,0.0,47357.94,4100.0,4600.0,42210.33,,,,,,,,,,,,,,,,,,0.05,,,,0.53,0.53,763227.0,7857577.16,,9.48,0.53,10.75,0.7571,86.3,0.006
2011-11-03,4600.0,46979.07,0.04,0.31,0.02,0.06,0.0,46979.07,4100.0,4600.0,41872.65,,,,,,,,,,,,,,,,,,0.05,,,,0.53,0.53,763227.0,7794716.54,,9.48,0.53,10.71,0.7575,86.32,0.006
2011-11-04,4600.0,49403.8,0.04,0.32,0.02,0.06,0.0,49403.8,4100.0,4600.0,44033.82,,,,,,,,,,,,,,,,,,0.05,,,,0.8,0.8,506176.0,5436308.03,,6.42,0.78,10.79,0.756,86.22,0.009
2011-11-07,4600.0,48608.18,0.04,0.31,0.02,0.06,0.0,48608.18,4100.0,4600.0,43324.69,,,,,,,,,,,,,,,,,,0.05,,,,0.54,0.54,751304.0,7939026.9,,9.75,0.55,10.78,0.7564,86.25,0.0061
2011-11-08,6600.0,69089.87,0.06,0.44,0.03,0.09,0.0,69089.87,6100.0,6600.0,63855.79,,,2000.0,0.04,,,,,2000.0,,,,0.04,2000.0,,,,0.08,,,,2.43,0.81,245188.0,2566667.89,,3.12,2.43,39.14,0.4507,54.13,0.0088
2011-11-09,6600.0,67078.6,0.06,0.48,0.03,0.09,0.0,67078.6,6100.0,6600.0,61996.89,,,,,,,,,,,,,,,,,,0.08,,,,2.43,0.81,245188.0,2491949.79,,3.17,2.41,39.18,0.4492,53.94,0.0088
2011-11-10,6600.0,66915.53,0.06,0.47,0.03,0.09,0.0,66915.53,6100.0,6600.0,61846.17,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.22,0.0,0.0,,0.0,100.0,38.73,0.4515,54.49,0.0132
2011-11-11,15200.0,156236.71,0.14,1.1,0.08,0.2,0.0,67839.62,11100.0,6600.0,114093.91,,,,,,,,,,,,,,,,5000.0,,0.14,,,,100.0,2.22,0.0,0.0,,0.0,100.0,25.24,0.5778,71.63,0.0304
2011-11-14,11600.0,118564.5,0.11,0.84,0.06,0.18,0.0,118564.5,7600.0,11600.0,77680.19,,,,0.08,,,,0.04,5000.0,3500.0,,,0.08,,,,,0.1,,,,100.0,1.53,0.0,0.0,,0.0,100.0,28.4,0.5446,68.02,0.0234
2011-11-15,11500.0,117921.26,0.11,0.82,0.06,0.17,0.0,117921.26,7500.0,11500.0,76905.17,,,,,,,,0.0,,100.0,,,,,,,100.0,0.09,0.0,,,100.0,1.51,0.0,0.0,,0.0,100.0,28.62,0.5426,67.78,0.0232
2011-11-16,11500.0,117921.26,0.11,0.79,0.06,0.17,0.0,117921.26,7500.0,11500.0,76905.17,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.51,0.0,0.0,,0.0,100.0,28.72,0.5417,67.67,0.0232
2011-11-17,11500.0,118394.84,0.11,0.78,0.06,0.17,0.0,118394.84,7500.0,11500.0,77214.03,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.49,0.0,0.0,,0.0,100.0,28.77,0.5415,67.63,0.0228
2011-11-18,11500.0,119626.14,0.11,0.79,0.06,0.17,0.0,119626.14,7500.0,11500.0,78017.05,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.51,0.0,0.0,,0.0,100.0,28.84,0.541,67.57,0.0232
2011-11-21,11500.0,113374.9,0.11,0.78,0.06,0.18,0.0,113374.9,8500.0,11500.0,83798.84,,,1000.0,,,,,,,,,,,1000.0,,,,0.11,,,,100.0,1.71,0.0,0.0,,0.0,100.0,28.76,0.5415,67.64,0.0232
2011-11-22,11500.0,109870.41,0.11,0.78,0.06,0.17,0.0,109870.41,8500.0,11500.0,81208.56,,,,,,,,,,,,,,,,,,0.1,,,,100.0,1.72,0.0,0.0,,0.0,100.0,28.81,0.5412,67.6,0.0232
2011-11-23,11721.0,109761.5,0.11,0.78,0.06,0.16,0.0,109761.5,8721.0,11721.0,81667.95,,,,,,221.0,,,,,,,,,0.0,221.0,,0.1,,,,100.0,1.76,0.0,0.0,,0.0,100.0,28.28,0.5231,66.44,0.0237
2011-11-24,11721.0,110340.72,0.11,0.69,0.06,0.16,0.0,110340.72,8721.0,11721.0,82098.92,,,,,,,,,,,,,,,,,,0.1,,,,100.0,1.76,0.0,0.0,,0.0,100.0,28.51,0.5195,66.07,0.0237
2011-11-25,11605.0,109535.45,0.11,0.68,0.06,0.16,0.0,109535.45,8605.0,11605.0,81219.52,,,,,,384.0,,0.01,,500.0,,,,,0.0,384.0,500.0,0.1,0.01,,,100.0,1.75,0.0,0.0,,0.0,100.0,28.71,0.5305,66.79,0.0236
2011-11-28,11700.0,114672.09,0.11,0.69,0.06,0.16,0.0,114672.09,8700.0,11700.0,85268.99,,,95.0,0.0,,,,,95.0,,,,0.0,95.0,,,,0.1,,,,100.0,1.77,0.0,0.0,,0.0,100.0,28.52,0.5237,66.31,0.0238
2011-11-29,12703.0,125025.65,0.12,0.76,0.06,0.18,0.0,125025.65,9703.0,12703.0,95499.01,,,274.0,0.01,,,,,1003.0,,,,0.01,274.0,,729.0,,0.12,,,,100.0,1.96,0.0,0.0,,0.0,100.0,26.58,0.4671,61.9,0.0257
2011-11-30,12703.0,125967.27,0.12,0.77,0.06,0.18,0.0,125967.27,9703.0,12703.0,96218.25,,,,,,,,,,,,,,,,,,0.12,,,,100.0,1.95,0.0,0.0,,0.0,100.0,26.52,0.4666,61.87,0.0256
2011-12-01,12703.0,125653.39,0.12,0.73,0.06,0.18,0.0,125653.39,9703.0,12703.0,95978.5,,,,,,,,,,,,,,,,,,0.12,,,,100.0,1.96,0.0,0.0,,0.0,100.0,26.37,0.4675,62.0,0.0257
2011-12-02,12703.0,126176.51,0.12,0.72,0.06,0.18,0.0,126176.51,9703.0,12703.0,96378.08,,,,,,,,,,,,,,,,,,0.12,,,,100.0,1.96,0.0,0.0,,0.0,100.0,26.32,0.4673,62.0,0.0257
2011-12-05,12608.0,125232.9,0.12,0.7,0.06,0.18,0.0,125232.9,9608.0,12608.0,95434.46,,,,,,,,0.0,,95.0,,,,,,,95.0,0.12,0.0,,,100.0,1.94,0.0,0.0,,0.0,100.0,26.58,0.4716,62.35,0.0255
2011-12-06,12608.0,126478.99,0.12,0.7,0.06,0.18,0.0,126478.99,9608.0,12608.0,96384.06,,,,,,,,,,,,,,,,,,0.12,,,,100.0,1.94,0.0,0.0,,0.0,100.0,26.57,0.4713,62.32,0.0255
2011-12-07,12608.0,126998.2,0.12,0.7,0.06,0.18,0.0,126998.2,8608.0,12608.0,86706.89,,,,,,,,0.01,,1000.0,,,,,,,,0.1,,,,100.0,1.65,0.0,0.0,,0.0,100.0,26.58,0.472,62.39,0.0242
2011-12-08,10608.0,104843.06,0.1,0.59,0.05,0.15,0.0,104843.06,6608.0,10608.0,65309.48,,,,,,,,0.02,,2000.0,,,,,,,2000.0,0.08,0.03,,,100.0,1.34,0.0,0.0,,0.0,100.0,32.35,0.4161,54.15,0.0215
2011-12-09,10608.0,104406.21,0.1,0.6,0.05,0.15,0.0,104406.21,6608.0,10608.0,65037.35,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.34,0.0,0.0,,0.0,100.0,32.45,0.4162,54.11,0.0215
2011-12-12,10608.0,101785.13,0.1,0.58,0.05,0.15,0.0,101785.13,6608.0,10608.0,63404.62,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.26,0.0,0.0,,0.0,100.0,32.33,0.4151,54.04,0.0203
2011-12-13,10608.0,101785.13,0.1,0.56,0.05,0.14,0.0,101785.13,6608.0,10608.0,63404.62,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.34,0.0,0.0,,0.0,100.0,32.57,0.4132,53.69,0.0216
2011-12-14,10608.0,101785.13,0.1,0.56,0.05,0.14,0.0,101785.13,6608.0,10608.0,63404.62,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.26,0.0,0.0,,0.0,100.0,32.79,0.4122,53.46,0.0203
2011-12-15,10387.0,100520.1,0.1,0.53,0.05,0.14,0.0,100520.1,6608.0,10387.0,63948.86,,,,,,,,,,,,,,,,,221.0,0.08,0.0,,,100.0,1.34,0.0,0.0,,0.0,100.0,33.54,0.4231,54.42,0.0211
2011-12-16,10387.0,96328.2,0.1,0.53,0.05,0.14,0.0,96328.2,6387.0,10387.0,59232.52,,,,,,,,0.0,,221.0,,,,,,,,0.07,,,,100.0,1.23,0.0,0.0,,0.0,100.0,33.48,0.4233,54.46,0.0199
2011-12-19,10387.0,96328.2,0.1,0.51,0.05,0.13,0.0,96328.2,6387.0,10387.0,59232.52,,,,,,,,,,,,,,,,,,0.07,,,,1.28,1.28,493262.0,4574471.92,,5.56,1.28,33.44,0.423,54.45,0.0208
2011-12-20,10387.0,95814.9,0.1,0.47,0.05,0.13,0.0,95814.9,6387.0,10387.0,58916.9,,,,,,,,,,,,,,,,,,0.07,,,,1.21,1.21,522184.0,4816887.45,,5.86,1.21,33.48,0.4234,54.48,0.0197
2011-12-21,12858.0,120197.16,0.12,0.57,0.06,0.16,0.0,120197.16,8858.0,12858.0,82804.98,,,,0.03,,,,,2471.0,,,,0.03,,,2471.0,,0.1,,,,1.65,1.65,527904.0,4934870.16,,5.95,1.64,27.78,0.3531,44.81,0.024
2011-12-22,12858.0,124327.28,0.12,0.57,0.06,0.17,0.0,124327.28,8858.0,12858.0,85650.26,,,,,,,,,,,,,,,,,,0.1,,,,1.7,1.7,511200.0,4942923.15,,5.88,1.68,27.73,0.353,44.8,0.0247
2011-12-23,12584.0,125720.02,0.12,0.55,0.06,0.17,0.0,125720.02,8584.0,12584.0,85758.15,,,,,,,,0.0,,274.0,,,,,,,274.0,0.1,0.0,,,1.75,1.75,481820.0,4813606.0,,5.74,1.73,27.99,0.3562,45.63,0.0257
2011-12-26,12584.0,125720.02,0.12,0.53,0.06,0.17,0.0,125720.02,8584.0,12584.0,85758.15,,,,,,,,,,,,,,,,,,0.1,,,,1.65,1.65,511471.0,5109833.29,,6.2,1.65,28.24,0.3578,46.03,0.0242
2011-12-27,6471.0,64221.93,0.06,0.27,0.03,0.08,0.0,64221.93,2471.0,6471.0,24523.63,,,,,,,,0.07,,6113.0,,,,,,,6113.0,0.03,0.09,,,0.48,0.48,517584.0,5136801.76,,6.26,0.48,39.29,0.5229,60.71,0.0124
2011-12-28,6471.0,63422.49,0.06,0.27,0.03,0.08,0.0,63422.49,2471.0,6471.0,24218.35,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,520030.0,5096831.49,,6.25,0.47,39.59,0.5217,60.41,0.0124
2011-12-29,6471.0,62996.12,0.06,0.28,0.03,0.08,0.0,62996.12,2471.0,6471.0,24055.54,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,523284.0,5094245.24,,6.21,0.47,39.32,0.5228,60.68,0.0123
2011-12-30,6471.0,63156.01,0.06,0.28,0.03,0.08,0.0,63156.01,2471.0,6471.0,24116.6,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,523284.0,5107174.8,,6.19,0.47,39.29,0.5229,60.71,0.0123
2012-01-02,6471.0,64221.93,0.06,0.29,0.03,0.08,0.0,64221.93,2471.0,6471.0,24523.63,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,522263.0,5183238.85,,6.24,0.47,39.26,0.5231,60.74,0.0123
2012-01-03,6471.0,62889.53,0.06,0.29,0.03,0.08,0.0,62889.53,2471.0,6471.0,24014.84,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,522046.0,5073593.82,,6.27,0.47,39.22,0.5232,60.78,0.0123
2012-01-04,6471.0,62729.64,0.06,0.29,0.03,0.08,0.0,62729.64,2471.0,6471.0,23953.78,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,522046.0,5060694.85,,6.18,0.47,39.56,0.5218,60.44,0.0123
2012-01-05,6471.0,61557.12,0.06,0.28,0.03,0.08,0.0,61557.12,2471.0,6471.0,23506.05,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,522046.0,4966102.43,,6.09,0.48,39.29,0.5229,60.71,0.0123
2012-01-06,6471.0,63422.49,0.06,0.27,0.03,0.08,0.0,63422.49,2471.0,6471.0,24218.35,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,522813.0,5124107.77,,6.12,0.46,39.48,0.5221,60.52,0.0123
2012-01-09,6471.0,63102.71,0.06,0.2,0.03,0.08,0.0,63102.71,2471.0,6471.0,24096.24,,,,,,,,,,,,,,,,,,0.03,,,,0.46,0.46,530243.0,5170726.44,,6.29,0.47,40.01,0.52,59.99,0.0121
2012-01-10,6471.0,63635.67,0.06,0.18,0.03,0.08,0.0,63635.67,2471.0,6471.0,24299.76,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,523361.0,5146720.68,,6.21,0.47,39.28,0.523,60.72,0.0123
2012-01-11,6471.0,67366.41,0.06,0.18,0.03,0.08,0.0,67366.41,2471.0,6471.0,25724.37,,,,,,,,,,,,,,,,,,0.03,,,,0.47,0.47,521307.0,5427071.54,,6.39,0.46,39.48,0.5221,60.52,0.0124
2012-01-12,4500.0,48107.43,0.04,0.12,0.02,0.06,0.0,48107.43,500.0,4500.0,5345.27,,,,,,,,0.02,,1971.0,,,,,,,1971.0,0.01,0.02,,,0.1,0.1,523278.0,5594123.95,,6.67,0.09,11.49,0.7966,88.51,0.0086
2012-01-13,4500.0,47440.3,0.04,0.12,0.02,0.06,0.0,47440.3,500.0,4500.0,5271.14,,,,,,,,,,,,,,,,,,0.01,,,,0.1,0.1,493838.0,5206182.53,,6.4,0.1,11.71,0.7932,88.29,0.0091
2012-01-16,10000.0,105011.07,0.09,0.27,0.05,0.13,0.0,105011.07,6000.0,10000.0,63006.64,,,,,,5500.0,,,,,,,,,0.07,5500.0,,0.08,,,,100.0,1.21,0.0,0.0,,0.0,100.0,39.85,0.5206,60.15,0.0202
2012-01-17,10000.0,105011.07,0.09,0.27,0.05,0.13,0.0,105011.07,6000.0,10000.0,63006.64,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.21,0.0,0.0,,0.0,100.0,39.91,0.5204,60.09,0.0202
2012-01-18,41399.0,431325.66,0.39,1.11,0.21,0.53,0.0,431325.66,7399.0,41399.0,77088.3,,,,0.02,,30000.0,,,1399.0,,,,0.02,,0.38,1399.0,,0.09,,,,1.48,1.48,493782.0,5144589.13,,6.26,1.49,18.01,0.5651,72.34,0.0826
2012-01-19,41399.0,432007.59,0.39,1.1,0.21,0.52,0.0,432007.59,7399.0,41399.0,77210.18,,,,,,,,,,,,,,,,,,0.09,,,,1.49,1.49,489960.0,5112839.46,,6.18,1.49,18.02,0.5651,72.34,0.0832
2012-01-20,41399.0,435758.25,0.39,1.1,0.21,0.53,0.0,435758.25,7399.0,41399.0,77880.51,,,,,,,,,,,,,,,,,,0.09,,,,1.47,1.47,496705.0,5228225.39,,6.32,1.47,18.05,0.5647,72.31,0.0821
2012-01-23,40899.0,437569.21,0.39,1.07,0.2,0.52,0.0,437569.21,6899.0,40899.0,73810.85,,,,,,,,0.01,,500.0,,,,,,,500.0,0.09,0.01,,,1.4,1.4,485567.0,5194972.23,,6.23,1.38,16.99,0.5749,73.25,0.083
2012-01-24,40899.0,437569.21,0.39,1.05,0.2,0.53,0.0,437569.21,6899.0,40899.0,73810.85,,,,,,,,,,,,,,,,,,0.09,,,,1.4,1.4,487406.0,5214647.28,,6.32,1.4,17.02,0.5746,73.22,0.0827
2012-01-25,45794.0,490316.88,0.43,1.17,0.23,0.6,0.0,437906.06,11794.0,40899.0,126278.49,,,,,,,,,,,,,,,,4895.0,,0.15,,,,2.39,2.39,480672.0,5146560.62,,6.22,2.4,15.17,0.4701,65.43,0.093
2012-01-26,46794.0,501409.3,0.44,1.19,0.23,0.61,0.0,501409.3,11794.0,46794.0,126375.63,,,,0.01,,4895.0,,,1000.0,,,,0.01,,0.07,,,0.15,,,,2.39,2.39,482339.0,5168381.83,,6.26,2.39,16.9,0.454,63.75,0.0947
2012-01-27,46794.0,509117.36,0.44,1.19,0.23,0.61,0.0,509117.36,11794.0,46794.0,128318.38,,,,,,,,,,,,,,,,,,0.15,,,,2.4,2.4,480275.0,5225378.02,,6.28,2.38,16.87,0.4539,63.75,0.0951
2012-01-30,46794.0,508346.55,0.44,1.19,0.23,0.62,0.0,508346.55,19879.0,46794.0,215955.49,,,,,,,,,,,,,,,,8085.0,,0.26,,,,4.05,4.05,470523.0,5111525.94,,6.21,4.07,16.84,0.4536,63.72,0.0954
2012-01-31,53480.0,606527.16,0.51,1.4,0.27,0.71,0.0,606527.16,18480.0,53480.0,209585.3,,,,0.11,,,,0.02,8085.0,1399.0,,,0.11,,,,1399.0,0.24,0.02,,,3.77,3.77,471922.0,5352159.9,,6.36,3.7,25.27,0.3901,55.36,0.1091
2012-02-01,49480.0,563200.0,0.47,1.32,0.25,0.69,0.0,563200.0,18480.0,49480.0,210346.32,,,,,,,,,,,,,,,,,4000.0,0.25,0.05,,,3.77,3.77,471991.0,5372379.42,,6.49,3.71,27.11,0.4493,59.91,0.1009
2012-02-02,54139.0,633620.51,0.51,1.37,0.27,0.76,0.0,633620.51,18480.0,54139.0,216282.29,,,,,,5659.0,,,,,,,,,0.08,,1000.0,0.26,0.01,,,3.77,3.77,471991.0,5523987.81,,6.62,3.72,35.59,0.4329,54.43,0.1104
2012-02-03,51089.0,608864.77,0.49,1.27,0.25,0.74,0.0,608864.77,15430.0,51089.0,183890.53,,,,,,,,0.04,,3050.0,,,,,,,3050.0,0.22,0.04,,,3.15,3.15,475132.0,5662493.65,,6.81,3.12,31.59,0.4452,57.81,0.1041
2012-02-06,56846.0,683561.64,0.54,1.39,0.28,0.84,0.0,683561.64,15430.0,56846.0,185542.63,,,,0.09,,,,,5757.0,,,,0.09,,,,,0.22,,,,3.19,3.19,468032.0,5627990.03,,6.8,3.18,38.9,0.4269,51.64,0.1176
2012-02-07,56846.0,697607.43,0.54,1.37,0.28,0.85,0.0,697607.43,15430.0,56846.0,189355.15,,,,,,,,,,,,,,,,,,0.22,,,,3.19,3.19,468032.0,5743633.66,,6.87,3.16,38.68,0.4272,51.82,0.1176
2012-02-08,56846.0,706034.9,0.54,1.37,0.28,0.87,0.0,706034.9,15430.0,56846.0,191642.66,,,,,,,,,,,,,,,,,,0.23,,,,2.07,2.07,729026.0,9054600.11,,10.89,2.07,38.88,0.4269,51.65,0.0764
2012-02-09,63684.0,789390.23,0.6,1.51,0.32,0.97,0.0,727351.13,25934.0,58679.0,321462.95,,,10504.0,0.04,,5100.0,,,2086.0,,,,0.04,10504.0,0.08,,5353.0,0.39,0.08,,,100.0,3.49,0.0,0.0,,0.0,100.0,26.23,0.3343,49.6,0.0856
2012-02-10,73389.0,900621.18,0.7,1.72,0.36,1.13,0.0,839200.41,25934.0,68384.0,318259.0,,,,0.15,,,,,9705.0,,,,0.15,,,,,0.39,,,,100.0,3.47,0.0,0.0,,0.0,100.0,30.69,0.3436,48.46,0.0983
2012-02-13,79915.0,994529.53,0.76,1.87,0.4,1.23,0.0,932243.1,29934.0,74910.0,372523.89,,,4000.0,0.03,,4000.0,,,2526.0,,,,0.03,4000.0,0.08,,,0.45,,,,100.0,4.01,0.0,0.0,,0.0,100.0,27.58,0.3045,45.89,0.1071
2012-02-14,82667.0,1021288.29,0.78,1.93,0.41,1.29,0.0,959455.3,35125.0,77662.0,433942.82,,,5191.0,0.05,,,,,2752.0,,,,0.05,5191.0,,,,0.53,,,,100.0,4.75,0.0,0.0,,0.0,100.0,26.83,0.3145,47.52,0.1118
2012-02-15,89751.0,1123589.83,0.85,2.1,0.45,1.38,0.0,1060932.4,47425.0,84746.0,593712.02,,,,0.16,,500.0,,,10944.0,,,,0.16,,0.01,12300.0,4360.0,0.71,0.07,,,6.42,6.42,691814.0,8660796.82,,10.44,6.39,19.71,0.3413,53.25,0.1214
2012-02-16,89751.0,1111023.37,0.85,2.12,0.45,1.4,0.0,1049066.71,47425.0,84746.0,587071.82,,,,,,,,,,,,,,,,,,0.72,,,,6.41,6.41,692392.0,8571087.68,,10.45,6.43,19.56,0.3423,53.39,0.1213
2012-02-17,100751.0,1262128.27,0.96,2.59,0.5,1.55,0.0,1199429.62,47425.0,95746.0,594102.62,,,,0.16,,,,,11000.0,,,,0.16,,,,,0.71,,,,6.33,6.33,701980.0,8793846.26,,10.55,6.33,17.45,0.3867,58.41,0.1344
2012-02-20,111789.0,1390275.71,1.06,3.7,0.55,1.73,0.0,1141481.41,72425.0,91784.0,900721.16,,,,,,,,,,,,,,,,25000.0,3962.0,1.1,0.05,,,56.73,9.72,55238.0,686973.22,,0.84,56.66,17.9,0.372,56.88,0.15
2012-02-21,117767.0,1470441.43,1.12,4.32,0.58,1.82,0.0,1220658.54,62495.0,97762.0,780313.98,,,,0.1,,,,0.15,5978.0,9930.0,,,0.1,,,,,0.94,,,,53.08,8.38,55238.0,689702.92,,0.83,53.1,23.08,0.3515,53.27,0.1579
2012-02-22,119267.0,1490152.76,1.13,4.41,0.59,1.85,0.0,1240205.11,72495.0,99262.0,905771.29,,,,0.02,,,,,1500.0,,,,0.02,,,10000.0,,1.1,,,,9.74,9.74,671899.0,8394879.98,,10.2,9.74,22.76,0.3441,52.51,0.1602
2012-02-23,119267.0,1466577.5,1.13,4.64,0.59,1.84,0.0,1220584.2,72495.0,99262.0,891441.36,,,,,,,,,,,,,,,,,,1.09,,,,9.76,9.76,670465.0,8244433.8,,10.07,9.8,22.58,0.3447,52.64,0.1605
2012-02-24,119164.0,1467273.86,1.13,4.75,0.59,1.81,0.0,1220951.03,72392.0,99159.0,891367.27,,,,,,,,0.0,,103.0,,,,,,,103.0,1.08,0.02,,,9.76,9.76,669443.0,8242893.97,,9.94,9.76,22.59,0.3442,52.58,0.1606
2012-02-27,119164.0,1468255.32,1.13,4.8,0.59,1.82,0.0,1221767.72,72392.0,99159.0,891963.5,,,,,,,,,,,,,,,,,,1.08,,,,9.76,9.76,669503.0,8249146.89,,10.04,9.76,22.83,0.3431,52.37,0.1606
2012-02-28,118145.0,1431373.38,1.12,4.8,0.59,1.8,0.0,1189004.89,77441.0,98140.0,938228.33,,,5068.0,,,,,0.0,,19.0,,,,5068.0,,,1019.0,1.16,0.01,,,10.44,10.44,664454.0,8050122.86,,9.86,10.49,22.9,0.3484,52.98,0.1592
2012-02-29,114185.0,1384336.86,1.08,4.6,0.57,1.72,0.0,1196105.36,72892.0,98659.0,883715.74,,,,0.01,,,,0.07,589.0,4549.0,,,0.01,,,,70.0,1.08,0.02,,,9.86,9.86,666134.0,8075963.12,,9.84,9.87,23.59,0.346,52.47,0.1545
2012-03-01,114185.0,1390919.98,1.08,4.67,0.57,1.72,0.0,1201793.36,72892.0,98659.0,887918.2,,,,,,,,,,,,,,,,,,1.08,,,,9.79,9.79,671902.0,8184629.48,,9.93,9.79,23.51,0.3465,52.56,0.1533
2012-03-02,113982.0,1391263.5,1.08,4.72,0.57,1.73,0.0,1201753.26,72689.0,98456.0,887241.43,,,,,,,,0.0,,203.0,,,,,,,203.0,1.08,0.0,,,9.65,9.65,680303.0,8303773.71,,10.12,9.65,23.66,0.3456,52.4,0.1514
2012-03-05,113897.0,1381783.33,1.08,4.87,0.57,1.72,0.0,1193423.95,72604.0,98371.0,880822.12,,,,,,,,0.0,,85.0,,,,,,,85.0,1.08,0.0,,,9.66,9.66,678932.0,8236713.15,,10.04,9.68,23.51,0.3461,52.5,0.1516
2012-03-06,113832.0,1349118.43,1.08,5.11,0.56,1.72,0.0,1165106.8,72539.0,98306.0,859720.48,,,,,,,,0.0,,65.0,,,,,,,65.0,1.07,0.01,,,9.65,9.65,678906.0,8046283.99,,10.03,9.67,23.71,0.3453,52.34,0.1515
2012-03-07,113710.0,1345799.44,1.08,5.2,0.56,1.67,0.0,1162043.55,72417.0,98184.0,857081.68,,,,,,,,0.01,,122.0,,,,,,,122.0,1.05,0.02,,,9.64,9.64,678749.0,8033242.68,,9.76,9.67,23.51,0.3451,52.4,0.1514
2012-03-08,113710.0,1386070.41,1.08,5.18,0.56,1.67,0.0,1196815.91,82417.0,98184.0,1004623.73,,,10000.0,,,,,,,,,,,10000.0,,,,1.18,,,,10.98,10.98,668431.0,8147853.55,,9.64,10.87,23.38,0.3461,52.55,0.1514
2012-03-09,108705.0,1359979.02,1.03,5.03,0.54,1.65,0.0,1228353.62,77412.0,98184.0,968480.72,,,,,,,,0.07,,5005.0,,,,,,,,1.15,,,,10.36,10.36,669521.0,8376197.2,,10.04,10.3,24.96,0.3772,54.83,0.1455
2012-03-12,105164.0,1307883.2,1.0,4.8,0.52,1.63,0.0,1177037.67,81371.0,94643.0,1011979.04,,,7500.0,,,,,0.05,,3541.0,,,,7500.0,,,3541.0,1.23,0.03,,,10.9,10.9,665299.0,8274061.29,,10.07,10.91,25.6,0.4004,57.04,0.1408
