,RS2K FP Equity_DX_SI_QTY,RS2K FP Equity_DX_SHORT_INTEREST_VALUE,RS2K FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RS2K FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RS2K FP Equity_DX_SI_MV,RS2K FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RS2K FP Equity_DX_SUPPLY_SI_QTY,RS2K FP Equity_DX_BROKER_SI_QTY,RS2K FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RS2K FP Equity_DX_SUPPLY_SI_QTY_INC_x,RS2K FP Equity_DX_BROKER_SI_MV_INC_x,RS2K FP Equity_DX_BROKER_SI_QTY_ADD,RS2K FP Equity_DX_SUPPLY_SI_MV_DEC,RS2K FP Equity_DX_BROKER_SI_QTY_INC,RS2K FP Equity_DX_SUPPLY_SI_QTY_DEC,RS2K FP Equity_DX_BROKER_SI_MV_INC_y,RS2K FP Equity_DX_SUPPLY_SI_QTY_INC_y,RS2K FP Equity_DX_BROKER_SI_MV_ADD,RS2K FP Equity_DX_SUPPLY_SI_QTY_ADD,RS2K FP Equity_DX_BROKER_SI_QTY_DEC,RS2K FP Equity_DX_SUPPLY_SI_MV,RS2K FP Equity_DX_BROKER_SI_MV_DEC,RS2K FP Equity_DX_BROKER_SI_MV_RMV,RS2K FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RS2K FP Equity_DX_UTILIZATION_QUANTITY,RS2K FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RS2K FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RS2K FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RS2K FP Equity_DX_ACTIVE_UTILIZATION_MV,RS2K FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RS2K FP Equity_DX_BROKER_SI_CON_RATIO,RS2K FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RS2K FP Equity_DX_DEMAND_SUPPLY_RATIO,RS2K FP Equity_PX_LAST
2017-03-15,21800.0,3875386.09,3.4,3.58,3.86,3875386.09,0.0,21800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,177.77
2017-03-16,21800.0,3867319.87,3.37,3.58,3.89,3867319.87,0.0,21800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,177.4
2017-03-17,21800.0,3871461.92,3.35,3.39,3.87,3871461.92,0.0,21800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.97,0.5,50.03,0.0,177.59
2017-03-20,21800.0,3864486.09,3.32,3.39,3.88,3864486.09,0.0,21800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,177.27
2017-03-21,21800.0,3760500.0,3.32,3.39,3.87,3760500.0,0.0,21800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,172.5
2017-03-22,21800.0,3710142.05,3.3,3.39,3.76,3710142.05,0.0,21800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,170.19
2017-03-23,44600.0,7733639.73,6.74,6.93,7.63,7733639.73,0.0,44600.0,0.0,,1.91,11400.0,,11400.0,,1.91,,1.98,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,25.92,0.3739,49.76,0.0,173.4
2017-03-24,22800.0,3940067.94,3.46,3.54,3.94,3940067.94,0.0,22800.0,0.0,,,,,,,,,,,21800.0,0.0,3.67,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,0.0,172.81
2017-03-27,22800.0,3878280.14,3.46,3.91,3.91,3878280.14,0.0,22800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.6,0.5,50.4,0.0,170.1
2017-03-28,22800.0,3924564.11,3.43,3.69,3.89,3924564.11,0.0,22800.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.7,0.5,50.3,0.0,172.13
2017-03-29,11400.0,1996595.99,1.73,1.84,1.97,1996595.99,0.0,11400.0,0.0,,,,,,,,,,,11400.0,0.0,1.97,,0.0,0.0,0.0,0.0,0.0,0.0,49.92,1.0,100.0,0.0,175.14
2017-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.64
2017-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.07
2017-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.74
2017-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.77
2017-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.42
2017-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.44
2017-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.58
2017-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.15
2017-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.72
2017-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.4
2017-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.62
2017-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.26
2017-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.82
2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.99
2017-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.12
2017-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.96
2017-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.92
2017-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.25
2017-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.31
2017-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.07
2017-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.84
2017-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.26
2017-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.61
2017-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.19
2017-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.69
2017-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.69
2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.27
2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.92
2017-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.3
2017-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,4035.58,0.0,0.0,,0.0,,0.0,175.46
2017-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3970.26,0.0,0.0,,0.0,,0.0,172.62
2017-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3866.3,0.0,0.0,,0.0,,0.0,168.1
2017-05-18,1200.0,202440.0,0.47,0.19,0.2,202440.0,0.0,1200.0,0.0,,,1200.0,,,,,,0.2,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.97,0.5,50.03,52.1739,168.7
2017-05-19,1200.0,201743.99,0.46,0.19,0.2,201743.99,0.0,1200.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,52.1739,168.12
2017-05-22,1200.0,202032.0,1.25,0.21,0.2,202032.0,0.0,1200.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,52.1739,168.36
2017-05-23,4600.0,779056.0,4.86,0.97,0.77,779056.0,0.0,4600.0,0.0,,0.57,,,3400.0,,0.57,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,200.0,169.36
2017-05-24,4600.0,785357.98,4.92,0.97,0.78,785357.98,0.0,4600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.97,0.5,50.03,200.0,170.73
2017-05-25,4600.0,782092.02,1.27,0.97,0.78,782092.02,0.0,4600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.77,0.5,50.23,200.0,170.02
2017-05-26,3400.0,578611.98,0.94,0.72,0.58,578611.98,0.0,3400.0,0.0,,,,,,,,,,,1200.0,0.0,0.21,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,147.8261,170.18
2017-05-29,3400.0,577829.99,0.95,0.72,0.58,577829.99,0.0,3400.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,147.8261,169.95
2017-05-30,3400.0,574022.01,0.95,0.72,0.58,574022.01,0.0,3400.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,147.8261,168.83
2017-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,3400.0,0.0,0.58,,0.0,0.0,23.0,3833.18,0.0,0.0,,0.0,,0.0,166.66
2017-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3898.04,0.0,0.0,,0.0,,0.0,169.48
2017-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3954.16,0.0,0.0,,0.0,,0.0,171.92
2017-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3934.15,0.0,0.0,,0.0,,0.0,171.05
2017-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3902.41,0.0,0.0,,0.0,,0.0,169.67
2017-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3934.15,0.0,0.0,,0.0,,0.0,171.05
2017-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3974.63,0.0,0.0,,0.0,,0.0,172.81
2017-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,4061.11,0.0,0.0,,0.0,,0.0,176.57
2017-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,4018.79,0.0,0.0,,0.0,,0.0,174.73
2017-06-13,1600.0,280672.0,0.43,0.34,0.28,280672.0,0.0,1600.0,0.0,,,1600.0,,,,,,0.28,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,69.5652,175.42
2017-06-14,1600.0,277280.0,0.44,0.34,0.28,277280.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,69.5652,173.3
2017-06-15,1600.0,278256.01,0.44,0.34,0.28,278256.01,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,69.5652,173.91
2017-06-16,1600.0,275600.0,0.45,0.34,0.28,275600.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.75,0.5,50.25,69.5652,172.25
2017-06-19,1600.0,278720.0,0.46,0.34,0.28,278720.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,69.5652,174.2
2017-06-20,1600.0,279024.0,0.45,0.34,0.28,279024.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,69.5652,174.39
2017-06-21,2000.0,347359.99,0.58,0.42,0.35,347359.99,0.0,2000.0,0.0,,0.07,,,400.0,,0.07,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,86.9565,173.68
2017-06-22,2000.0,346000.0,0.58,0.42,0.35,346000.0,0.0,2000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,86.9565,173.0
2017-06-23,2000.0,347239.99,0.58,0.42,0.35,347239.99,0.0,2000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.91,0.5,50.09,86.9565,173.62
2017-06-26,2000.0,347540.01,0.58,0.42,0.35,347540.01,0.0,2000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,86.9565,173.77
2017-06-27,2000.0,345899.99,0.58,0.42,0.35,345899.99,0.0,2000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,86.9565,172.95
2017-06-28,2000.0,345880.0,0.58,0.42,0.35,345880.0,0.0,2000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.97,0.5,50.03,86.9565,172.94
2017-06-29,2000.0,340920.01,0.58,0.42,0.35,340920.01,0.0,2000.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,86.9565,170.46
2017-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2000.0,0.0,0.35,,0.0,0.0,23.0,3929.09,0.0,0.0,,0.0,,0.0,170.83
2017-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3983.14,0.0,0.0,,0.0,,0.0,173.18
2017-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3961.52,0.0,0.0,,0.0,,0.0,172.24
2017-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3951.4,0.0,0.0,,0.0,,0.0,171.8
2017-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3925.41,0.0,0.0,,0.0,,0.0,170.67
2017-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3921.73,0.0,0.0,,0.0,,0.0,170.51
2017-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3923.57,0.0,0.0,,0.0,,0.0,170.59
2017-07-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3898.73,0.0,0.0,,0.0,,0.0,169.51
2017-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3961.29,0.0,0.0,,0.0,,0.0,172.23
2017-07-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3948.18,0.0,0.0,,0.0,,0.0,171.66
2017-07-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3945.65,0.0,0.0,,0.0,,0.0,171.55
2017-07-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3965.43,0.0,0.0,,0.0,,0.0,172.41
2017-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3900.11,0.0,0.0,,0.0,,0.0,169.57
2017-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3963.59,0.0,0.0,,0.0,,0.0,172.33
2017-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3923.11,0.0,0.0,,0.0,,0.0,170.57
2017-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3913.22,0.0,0.0,,0.0,,0.0,170.14
2017-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3901.49,0.0,0.0,,0.0,,0.0,169.63
2017-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3950.71,0.0,0.0,,0.0,,0.0,171.77
2017-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3948.41,0.0,0.0,,0.0,,0.0,171.67
2017-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3930.47,0.0,0.0,,0.0,,0.0,170.89
2017-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3850.66,0.0,0.0,,0.0,,0.0,167.42
2017-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3826.05,0.0,0.0,,0.0,,0.0,166.35
2017-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3832.72,0.0,0.0,,0.0,,0.0,166.64
2017-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3776.83,0.0,0.0,,0.0,,0.0,164.21
2017-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3758.2,0.0,0.0,,0.0,,0.0,163.4
2017-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3809.49,0.0,0.0,,0.0,,0.0,165.63
2017-08-07,1600.0,264015.99,3.04,0.34,0.27,264015.99,0.0,1600.0,0.0,,,1600.0,,,,,,0.27,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.99,0.5,50.01,69.5652,165.01
2017-08-08,1600.0,268448.0,3.02,0.34,0.26,268448.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,69.5652,167.78
2017-08-09,1600.0,262672.0,3.02,0.34,0.27,262672.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.94,0.5,50.06,69.5652,164.17
2017-08-10,1600.0,259696.0,3.4,0.34,0.26,259696.0,0.0,1600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.98,0.5,50.02,69.5652,162.31
2017-08-11,18600.0,2980277.92,39.4,3.92,3.0,2980277.92,0.0,18600.0,0.0,,1.38,8500.0,,8500.0,,1.38,,1.36,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.38,0.4607,50.29,808.6957,160.23
2017-08-14,18600.0,3030311.97,49.62,3.92,3.0,3030311.97,0.0,18600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,46.12,0.4607,49.61,808.6957,162.92
2017-08-15,18600.0,3036077.92,55.04,3.92,3.03,3036077.92,0.0,18600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.75,0.4607,49.96,808.6957,163.23
2017-08-16,18600.0,3042402.14,55.12,3.92,3.06,3042402.14,0.0,18600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.76,0.4607,49.95,808.6957,163.57
2017-08-17,18600.0,3016176.07,61.43,3.92,3.04,3016176.07,0.0,18600.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.4607,50.0,808.6957,162.16
2017-08-18,8500.0,1360595.06,27.94,1.79,1.36,1360595.06,0.0,8500.0,0.0,,,,,,,,,,,10100.0,0.0,1.67,,0.0,0.0,0.0,0.0,0.0,0.0,49.52,1.0,100.0,369.5652,160.07
2017-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8500.0,0.0,1.35,,0.0,0.0,23.0,3640.9,0.0,0.0,,0.0,,0.0,158.3
2017-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3692.19,0.0,0.0,,0.0,,0.0,160.53
2017-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3689.2,0.0,0.0,,0.0,,0.0,160.4
2017-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3693.34,0.0,0.0,,0.0,,0.0,160.58
2017-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3671.26,0.0,0.0,,0.0,,0.0,159.62
2017-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3656.77,0.0,0.0,,0.0,,0.0,158.99
2017-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3626.64,0.0,0.0,,0.0,,0.0,157.68
2017-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3701.16,0.0,0.0,,0.0,,0.0,160.92
2017-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3755.44,0.0,0.0,,0.0,,0.0,163.28
2017-09-01,4400.0,720543.98,12.39,0.86,0.72,720543.98,0.0,4400.0,0.0,,,4400.0,,,,,,0.72,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5,50.0,191.3043,163.76
2017-09-04,4400.0,722788.02,2.87,0.86,0.72,722788.02,0.0,4400.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.94,0.5,50.06,191.3043,164.27
2017-09-05,4400.0,717156.02,2.87,0.86,0.72,717156.02,0.0,4400.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.8,0.5,50.2,191.3043,162.99
2017-09-06,4400.0,711084.0,2.63,0.86,0.71,711084.0,0.0,4400.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.79,0.5,50.21,191.3043,161.61
2017-09-07,4400.0,704527.98,2.6,0.86,0.71,704527.98,0.0,4400.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,49.83,0.5,50.17,191.3043,160.12
2017-09-08,2200.0,354331.99,1.3,0.43,0.35,354331.99,0.0,2200.0,0.0,,,,,,,,,,,2200.0,0.0,0.35,,0.0,0.0,0.0,0.0,0.0,0.0,49.92,1.0,100.0,95.6522,161.06
2017-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2200.0,0.0,0.36,,0.0,0.0,23.0,3751.07,0.0,0.0,,0.0,,0.0,163.09
2017-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3774.53,0.0,0.0,,0.0,,0.0,164.11
2017-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3815.01,0.0,0.0,,0.0,,0.0,165.87
2017-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3816.16,0.0,0.0,,0.0,,0.0,165.92
2017-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3787.41,0.0,0.0,,0.0,,0.0,164.67
2017-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3824.21,0.0,0.0,,0.0,,0.0,166.27
2017-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3814.55,0.0,0.0,,0.0,,0.0,165.85
2017-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3821.45,0.0,0.0,,0.0,,0.0,166.15
2017-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3852.5,0.0,0.0,,0.0,,0.0,167.5
2017-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3842.15,0.0,0.0,,0.0,,0.0,167.05
2017-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3881.71,0.0,0.0,,0.0,,0.0,168.77
2017-09-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3933.69,0.0,0.0,,0.0,,0.0,171.03
2017-09-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,3962.21,0.0,0.0,,0.0,,0.0,172.27
2017-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,4003.61,0.0,0.0,,0.0,,0.0,174.07
2017-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,0.0,0.0,23.0,4014.19,0.0,0.0,,0.0,,0.0,174.53
