,CU2 FP Equity_DX_SI_QTY,CU2 FP Equity_DX_SHORT_INTEREST_VALUE,CU2 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CU2 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CU2 FP Equity_DX_SI_MV,CU2 FP Equity_DX_DSS,CU2 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CU2 FP Equity_DX_SUPPLY_SI_QTY,CU2 FP Equity_DX_BROKER_SI_QTY,CU2 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CU2 FP Equity_DX_BROKER_SI_MV_NEW_x,CU2 FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CU2 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CU2 FP Equity_DX_BROKER_SI_MV_INC_x,CU2 FP Equity_DX_SUPPLY_SI_MV_NEW,CU2 FP Equity_DX_BROKER_SI_QTY_ADD,CU2 FP Equity_DX_BROKER_SI_QTY_NEW,CU2 FP Equity_DX_SUPPLY_SI_MV_DEC,CU2 FP Equity_DX_BROKER_SI_QTY_INC,CU2 FP Equity_DX_SUPPLY_SI_QTY_DEC,CU2 FP Equity_DX_BROKER_SI_MV_NEW_y,CU2 FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CU2 FP Equity_DX_BROKER_SI_MV_INC_y,CU2 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CU2 FP Equity_DX_BROKER_SI_MV_ADD,CU2 FP Equity_DX_SUPPLY_SI_QTY_ADD,CU2 FP Equity_DX_BROKER_SI_QTY_DEC,CU2 FP Equity_DX_SUPPLY_SI_MV,CU2 FP Equity_DX_BROKER_SI_MV_DEC,CU2 FP Equity_DX_SUPPLY_SI_MV_RMV,CU2 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CU2 FP Equity_DX_UTILIZATION_QUANTITY,CU2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CU2 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CU2 FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CU2 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CU2 FP Equity_DX_ACTIVE_UTILIZATION_MV,CU2 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CU2 FP Equity_DX_BROKER_SI_CON_RATIO,CU2 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CU2 FP Equity_DX_DEMAND_SUPPLY_RATIO,CU2 FP Equity_PX_LAST
2012-12-24,13.0,1554.93,0.0,0.0,0.0,,1554.93,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,119.61
2012-12-25,13.0,1554.93,0.0,0.0,0.0,,1554.93,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,
2012-12-26,13.0,1554.93,0.0,0.0,0.0,,1554.93,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,
2012-12-27,13.0,1537.64,0.0,0.0,0.0,,1537.64,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,118.28
2012-12-28,13.0,1538.94,0.0,0.0,0.0,,1538.94,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,118.38
2012-12-31,13.0,1524.25,0.0,0.0,0.0,,1524.25,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,117.25
2013-01-01,13.0,1524.25,0.0,0.0,0.0,,1524.25,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,
2013-01-02,13.0,1586.39,0.0,0.0,0.0,,1586.39,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,122.03
2013-01-03,13.0,1610.57,0.0,0.0,0.0,,1610.57,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,123.89
2013-01-04,13.0,1619.41,0.0,0.0,0.0,,1619.41,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,124.57
2013-01-07,13.0,1609.27,0.0,0.0,0.0,,1609.27,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,123.79
2013-01-08,13.0,1605.76,0.0,0.0,0.0,,1605.76,0.0,13.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0004,123.52
2013-01-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,13.0,0.0,0.0,,0.0,0.0,8000.0,996160.0,,1.0,0.0,,0.0,,0.0,124.52
2013-01-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6700.0,824703.0,,0.83,0.0,,0.0,,0.0,123.09
2013-01-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6700.0,818673.0,,0.82,0.0,,0.0,,0.0,122.19
2013-01-14,15.0,1832.85,0.0,0.0,0.0,,1832.85,0.0,15.0,0.0,,,,,,15.0,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,122.19
2013-01-15,15.0,1835.55,0.0,0.0,0.0,,1835.55,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,122.37
2013-01-16,15.0,1844.55,0.0,0.0,0.0,,1844.55,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,122.97
2013-01-17,15.0,1847.1,0.0,0.0,0.0,,1847.1,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,123.14
2013-01-18,15.0,1853.1,0.0,0.0,0.0,,1853.1,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,123.54
2013-01-21,15.0,1863.9,0.0,0.0,0.0,,1863.9,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.26
2013-01-22,80.0,9922.4,0.01,0.0,0.01,,9922.4,0.0,80.0,0.0,,,,0.01,,,,,65.0,,,,0.01,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.03
2013-01-23,80.0,9974.4,0.01,0.0,0.01,,9974.4,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.68
2013-01-24,80.0,9984.8,0.01,0.0,0.01,,9984.8,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.81
2013-01-25,80.0,9905.6,0.01,0.0,0.01,,9905.6,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,123.82
2013-01-28,80.0,9921.6,0.02,0.0,0.01,,9921.6,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.02
2013-01-29,80.0,9941.6,0.02,0.0,0.01,,9941.6,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.27
2013-01-30,65.0,8020.35,0.01,0.0,0.01,,8020.35,0.0,65.0,0.0,,,,,,,,,,,,,,,,,15.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,123.39
2013-01-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,65.0,0.0,0.01,,0.0,0.0,9200.0,1127276.0,,1.13,0.0,,0.0,,0.0,122.53
2013-02-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9200.0,1128380.0,,1.13,0.0,,0.0,,0.0,122.65
2013-02-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9200.0,1133440.0,,1.13,0.0,,0.0,,0.0,123.2
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.51
2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.18
2013-02-07,2900.0,361514.0,0.61,0.09,0.36,,361514.0,0.0,2900.0,0.0,,,,,,2900.0,,,,,,,,,0.36,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,124.66
2013-02-08,2900.0,365661.0,0.6,0.09,0.36,,365661.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,126.09
2013-02-11,2900.0,364849.0,0.62,0.09,0.36,,364849.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,125.81
2013-02-12,2900.0,364008.0,0.62,0.09,0.36,,364008.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,125.52
2013-02-13,2900.0,364791.0,0.62,0.09,0.36,,364791.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,125.79
2013-02-14,2900.0,367952.0,0.64,0.09,0.36,,367952.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,126.88
2013-02-15,2900.0,367749.0,0.7,0.09,0.36,,367749.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,126.81
2013-02-18,2900.0,368271.0,0.72,0.09,0.37,,368271.0,0.0,2900.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,126.99
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.97
2013-02-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5000.0,635400.0,,0.63,0.0,,0.0,,0.0,127.08
2013-02-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5000.0,632350.0,,0.63,0.0,,0.0,,0.0,126.47
2013-02-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5000.0,637350.0,,0.63,0.0,,0.0,,0.0,127.47
2013-02-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5000.0,639200.0,,0.63,0.0,,0.0,,0.0,127.84
2013-02-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,5000.0,633900.0,,0.63,0.0,,0.0,,0.0,126.78
2013-02-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9900.0,1268784.0,,1.27,0.0,,0.0,,0.0,128.16
2013-02-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9900.0,1280466.0,,1.28,0.0,,0.0,,0.0,129.34
2013-03-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,9900.0,1287198.0,,1.29,0.0,,0.0,,0.0,130.02
2013-03-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,7900.0,1027000.0,,1.03,0.0,,0.0,,0.0,130.0
2013-03-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,790860.0,,0.79,0.0,,0.0,,0.0,131.81
2013-03-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,791940.0,,0.79,0.0,,0.0,,0.0,131.99
2013-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.41
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.76
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.92
2013-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.62
2013-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.69
2013-03-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,803400.0,,0.8,0.0,,0.0,,0.0,133.9
2013-03-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,799200.0,,0.8,0.0,,0.0,,0.0,133.2
2013-03-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,801540.0,,0.8,0.0,,0.0,,0.0,133.59
2013-03-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,801180.0,,0.8,0.0,,0.0,,0.0,133.53
2013-03-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,803400.0,,0.8,0.0,,0.0,,0.0,133.9
2013-03-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,804060.0,,0.8,0.0,,0.0,,0.0,134.01
2013-03-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,6000.0,800220.0,,0.8,0.0,,0.0,,0.0,133.37
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.39
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.18
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.09
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.08
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.58
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.31
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.99
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.31
2013-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.04
2013-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.08
2013-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.05
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.59
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.81
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.92
2013-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.37
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.84
2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.48
2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.92
2013-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.32
2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.62
2013-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.33
2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.56
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.44
2013-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.91
2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.6
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.52
2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.81
2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.41
2013-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.08
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.9
2013-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.6
2013-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.43
2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.74
2013-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.73
2013-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.74
2013-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.5
2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.89
2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.4
2013-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.52
2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.66
2013-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.85
2013-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.69
2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.6
2013-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.75
2013-05-30,7100.0,1006567.0,1.13,0.21,1.01,,1006567.0,0.0,7100.0,0.0,,,,,,7100.0,,,,,,,,,1.01,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,141.77
2013-05-31,10100.0,1439856.0,1.62,0.3,1.44,,1439856.0,0.0,10100.0,0.0,,,,0.42,,,,,3000.0,,,,0.42,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,142.56
2013-06-03,10100.0,1398749.0,1.59,0.29,1.44,,1398749.0,0.0,10100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,138.49
2013-06-04,10100.0,1414303.0,1.51,0.29,1.4,,1414303.0,0.0,10100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,140.03
2013-06-05,10100.0,1393093.0,1.45,0.29,1.41,,1393093.0,0.0,10100.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,137.93
2013-06-06,12100.0,1648867.0,1.7,0.34,1.67,,1648867.0,0.0,12100.0,0.0,,,,0.27,,,,,2000.0,,,,0.27,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,136.27
2013-06-07,23100.0,3203508.0,3.16,0.63,3.15,,3203508.0,0.0,23100.0,0.0,,,,1.48,,,,,11000.0,,,,1.48,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,138.68
2013-06-10,22200.0,3080916.0,3.07,0.61,3.08,,3080916.0,0.0,22200.0,0.0,,,,,,,,,,,,,,,,,900.0,0.0,0.06,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,138.78
2013-06-11,19200.0,2647104.0,2.66,0.52,2.67,,2647104.0,0.0,19200.0,0.0,,,,,,,,,,,,,,,,,3000.0,0.0,0.4,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,137.87
2013-06-12,19200.0,2614272.0,2.64,0.52,2.65,,2614272.0,0.0,19200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,136.16
2013-06-13,19200.0,2601408.0,2.55,0.52,2.62,,2601408.0,0.0,19200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,135.49
2013-06-14,15200.0,2074648.0,2.05,0.41,2.06,,2074648.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,,,4000.0,0.0,0.56,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,136.49
2013-06-17,15200.0,2094712.0,1.91,0.39,2.08,,2094712.0,0.0,15200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,137.81
2013-06-18,16200.0,2225556.0,2.01,0.41,2.23,,2225556.0,0.0,16200.0,0.0,,,,0.16,,,,,1000.0,,,,0.16,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,137.38
2013-06-19,16200.0,2228148.0,2.02,0.41,2.21,,2228148.0,0.0,16200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,137.54
2013-06-20,12000.0,1628280.0,1.46,0.3,1.65,,1628280.0,0.0,12000.0,0.0,,,,,,,,,,,,,,,,,4200.0,0.0,0.59,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,135.69
2013-06-21,1000.0,134230.0,0.11,0.03,0.14,,134230.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,11000.0,0.0,1.53,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,134.23
2013-06-24,1000.0,133190.0,0.11,0.02,0.13,,133190.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,133.19
2013-06-25,1000.0,135300.0,0.1,0.02,0.13,,135300.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,135.3
2013-06-26,1000.0,137330.0,0.11,0.02,0.14,,137330.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,137.33
2013-06-27,1000.0,138690.0,0.11,0.02,0.14,,138690.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,138.69
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.52
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.08
2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.15
2013-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.35
2013-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.85
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.85
2013-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.51
2013-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.51
2013-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.77
2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.08
2013-07-12,7000.0,1004360.0,0.86,0.18,1.0,,1004360.0,0.0,7000.0,0.0,,,,,,7000.0,,,,,,,,,1.0,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,143.48
2013-07-15,7000.0,1010100.0,0.88,0.18,1.01,,1010100.0,0.0,7000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,144.3
2013-07-16,7000.0,996800.0,0.91,0.18,1.01,,996800.0,0.0,7000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,142.4
2013-07-17,7000.0,1004640.0,0.94,0.18,1.0,,1004640.0,0.0,7000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,143.52
2013-07-18,7000.0,1013040.0,0.92,0.18,1.01,,1013040.0,0.0,7000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,144.72
