,MDM FP Equity_DX_SI_QTY,MDM FP Equity_DX_SHORT_INTEREST_VALUE,MDM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MDM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MDM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MDM FP Equity_DX_SI_MV,MDM FP Equity_DX_DSS,MDM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MDM FP Equity_DX_SUPPLY_SI_QTY,MDM FP Equity_DX_BROKER_SI_QTY,MDM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MDM FP Equity_DX_BROKER_SI_MV_NEW_x,MDM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MDM FP Equity_DX_SUPPLY_SI_QTY_INC_x,MDM FP Equity_DX_BROKER_SI_MV_INC_x,MDM FP Equity_DX_SUPPLY_SI_MV_NEW,MDM FP Equity_DX_BROKER_SI_QTY_ADD,MDM FP Equity_DX_BROKER_SI_QTY_NEW,MDM FP Equity_DX_SUPPLY_SI_MV_DEC,MDM FP Equity_DX_BROKER_SI_QTY_INC,MDM FP Equity_DX_SUPPLY_SI_QTY_DEC,MDM FP Equity_DX_BROKER_SI_MV_NEW_y,MDM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MDM FP Equity_DX_BROKER_SI_MV_INC_y,MDM FP Equity_DX_SUPPLY_SI_QTY_INC_y,MDM FP Equity_DX_BROKER_SI_MV_ADD,MDM FP Equity_DX_SUPPLY_SI_QTY_ADD,MDM FP Equity_DX_BROKER_SI_QTY_DEC,MDM FP Equity_DX_SUPPLY_SI_MV,MDM FP Equity_DX_BROKER_SI_MV_DEC,MDM FP Equity_DX_SUPPLY_SI_MV_RMV,MDM FP Equity_DX_BROKER_SI_MV_RMV,MDM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MDM FP Equity_DX_UTILIZATION_QUANTITY,MDM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MDM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MDM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MDM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MDM FP Equity_DX_ACTIVE_UTILIZATION_MV,MDM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MDM FP Equity_DX_BROKER_SI_CON_RATIO,MDM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MDM FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-04-24,347018.0,11520997.6,0.78,3.17,0.77,11.7,0.0,3571490.0,329218.0,107575.0,10930037.6,,,8145.0,0.48,,,,0.04,14411.0,1176.0,,,0.48,8145.0,,,,10.94,,,,4.36,4.36,7228350.0,239981220.0,,233.46,4.48,12.41,0.3585,56.77,0.0459
2018-04-25,355146.0,11755332.6,0.8,3.31,0.78,11.94,0.0,3834701.2,337346.0,115852.0,11166152.6,,,8131.0,0.27,,,,0.0,8280.0,3.0,,,0.27,8131.0,,,3.0,11.2,0.0,,,4.43,4.43,7270849.0,240665101.9,,234.34,4.56,14.16,0.3477,55.43,0.0467
2018-04-26,362028.0,11975886.24,0.81,3.52,0.8,12.16,0.0,4060040.72,344228.0,122734.0,11387062.24,,,6882.0,0.23,,,,,6882.0,,,,0.23,6882.0,,,,11.41,,,,4.51,4.51,7287928.0,241084658.24,,234.26,4.65,15.78,0.3404,54.39,0.0474
2018-04-27,378358.0,12644724.36,0.85,3.78,0.84,12.75,0.0,4654603.92,360558.0,139276.0,12049848.36,,,,,,27361.0,,0.38,,11031.0,,,,,0.91,27361.0,10819.0,12.0,0.38,,,4.7,4.7,7310452.0,244315305.84,,235.31,4.85,12.06,0.3122,52.41,0.0493
2018-04-30,390225.0,13142778.0,0.87,4.03,0.86,13.22,0.0,5090496.24,372425.0,151143.0,12543274.0,,,11867.0,0.43,,,,,11867.0,,,,0.43,11867.0,,,,12.45,,,,4.77,4.77,7431364.0,250288339.52,,241.45,4.91,14.86,0.2995,50.57,0.05
2018-05-01,390225.0,13142778.0,0.87,4.21,0.86,13.31,0.0,5090496.24,372425.0,151143.0,12543274.0,,,,,,,,,,,,,,,,,,12.58,,,,4.77,4.77,7431364.0,250288339.52,,243.12,4.92,14.8,0.2996,50.59,0.05
2018-05-02,393929.0,13102078.54,0.88,4.25,0.87,13.33,0.0,5157628.2,373029.0,155070.0,12406944.54,,,,0.13,,,,0.02,3927.0,223.0,,,0.13,,,827.0,,12.48,,,,4.78,4.78,7438870.0,247416816.2,,242.65,4.89,15.1,0.2941,49.88,0.0504
2018-05-03,400598.0,13219734.0,0.9,4.39,0.89,13.44,0.0,5235087.0,382288.0,158639.0,12615504.0,,,5832.0,0.18,,,,0.18,5689.0,5362.0,,,0.18,5832.0,,8789.0,2120.0,12.64,0.09,,,4.87,4.87,7465259.0,246353547.0,,240.84,4.99,16.35,0.2887,49.12,0.051
2018-05-04,452683.0,15889173.3,1.02,5.07,1.0,15.72,1.0,5975178.3,401123.0,170233.0,14079417.3,,,23684.0,0.56,,,,0.96,14692.0,29182.0,,,0.56,23684.0,,24333.0,3098.0,13.68,0.11,,,5.05,5.05,7540554.0,264673445.4,,244.52,5.3,14.89,0.2557,44.66,0.057
2018-05-07,425933.0,15009878.92,0.96,4.19,0.94,15.14,0.0,4869251.76,406791.0,138174.0,14335314.84,,,10289.0,0.17,,,,0.0,2640.0,4621.0,,,0.17,10289.0,,,34699.0,14.31,1.12,,,5.12,5.12,7530971.0,265391418.04,,256.31,5.29,15.24,0.2739,46.56,0.0537
2018-05-08,413699.0,14702862.46,0.93,4.07,0.91,14.85,0.0,4298207.6,395181.0,120940.0,14044732.74,,,10000.0,0.91,,,,1.3,24483.0,37610.0,,,0.91,10000.0,,16000.0,41717.0,14.01,1.46,,,4.93,4.93,7614213.0,270609130.02,,260.73,5.1,16.82,0.2819,47.88,0.0517
2018-05-09,440760.0,15699871.2,0.99,4.34,0.97,15.97,0.0,4865407.04,416234.0,136592.0,14826255.08,,,5907.0,0.98,,,,0.14,27361.0,4038.0,,,0.98,5907.0,,19184.0,11709.0,14.81,0.31,,,5.13,5.13,7695188.0,274102596.56,,265.22,5.29,16.8,0.2595,44.62,0.0543
2018-05-10,451206.0,15990740.64,1.01,4.54,1.0,16.33,0.0,5459957.28,406978.0,154062.0,14423300.32,,,,0.66,,,,0.45,18662.0,12505.0,,,0.66,,,3249.0,1192.0,14.43,0.0,,,5.01,5.01,7719574.0,273581702.56,,266.09,5.14,14.87,0.2497,43.4,0.0555
2018-05-11,425729.0,15113379.5,0.95,4.33,0.94,15.27,0.0,5193827.5,397687.0,146305.0,14117888.5,,,13000.0,0.01,,,,0.8,300.0,22291.0,,,0.01,13000.0,,,8057.0,14.09,0.45,,,4.9,4.9,7725254.0,274246517.0,,265.4,5.04,15.72,0.2733,46.51,0.0524
2018-05-14,423935.0,15168394.3,0.95,4.37,0.94,15.31,0.0,5220588.24,397290.0,145908.0,14215036.2,,,,0.05,,,,0.05,1000.0,1397.0,,,0.05,,,1000.0,1397.0,14.18,0.05,,,4.83,4.83,7833967.0,280299339.26,,270.22,4.98,16.02,0.2763,46.73,0.0515
2018-05-15,416668.0,14750047.2,0.93,4.31,0.92,14.99,0.0,5182843.2,383651.0,146408.0,13581245.4,,,,0.0,,100.0,,0.47,400.0,13639.0,,,0.0,,0.0,,,13.66,,,,4.63,4.63,7907112.0,279911764.8,,274.11,4.75,16.3,0.2794,47.23,0.0503
2018-05-16,408638.0,14572031.08,0.92,4.24,0.9,14.68,0.0,5283171.64,383238.0,148154.0,13666267.08,,,,0.06,,,,0.3,1746.0,8031.0,,,0.06,,,7618.0,,13.59,,,,4.62,4.62,7903074.0,281823618.84,,272.02,4.76,16.68,0.2878,48.32,0.0493
2018-05-17,398586.0,14333152.56,0.89,4.19,0.88,14.41,0.0,5460022.56,368382.0,151836.0,13247016.72,,,5115.0,0.02,,,,0.84,496.0,23716.0,,,0.02,5115.0,,3745.0,11618.0,13.16,0.42,,,4.43,4.43,7941582.0,285579288.72,,275.15,4.56,20.91,0.3092,49.62,0.048
2018-05-18,393879.0,13840908.06,0.88,4.27,0.87,14.08,0.0,5352946.48,363179.0,152332.0,12762110.06,,,,,,,,0.18,,5203.0,,,,,,,,12.86,,,,4.37,4.37,7946258.0,279231506.12,,276.12,4.45,21.06,0.3133,49.93,0.0474
2018-05-21,523425.0,18435028.5,1.17,5.61,1.16,18.63,1.0,7836027.36,422525.0,222488.0,14881330.5,,,,,,70200.0,,0.4,,10854.0,,,,,2.52,70200.0,44.0,14.86,0.04,,,5.07,5.07,7918460.0,278888161.2,,270.16,5.21,15.94,0.2155,37.8,0.0628
2018-05-22,521144.0,18511034.88,1.17,5.66,1.15,18.66,1.0,8044853.76,416244.0,226488.0,14784986.88,,,,0.14,,,,0.22,4000.0,6281.0,,,0.14,,,,,14.73,,,,4.84,4.84,8177892.0,290478723.84,,280.25,4.99,16.05,0.2198,38.07,0.0606
2018-05-23,552312.0,19330920.0,1.24,6.03,1.22,19.7,1.0,8062460.0,447412.0,230356.0,15659420.0,,,3868.0,0.14,,,,,3868.0,,,,0.14,3868.0,,27300.0,,15.78,,,,5.18,5.18,8185160.0,286480600.0,,281.9,5.3,15.2,0.1976,35.53,0.064
2018-05-24,543944.0,19549347.36,1.22,6.0,1.2,19.53,1.0,7978248.72,439044.0,221988.0,15779241.36,,,,,,,,0.32,,8368.0,,,,,,,8368.0,15.6,0.35,,,5.08,5.08,8195419.0,294543358.86,,280.21,5.27,15.5,0.2058,36.8,0.063
2018-05-25,548244.0,19561345.92,1.22,5.88,1.21,19.76,1.0,8073955.84,443344.0,226288.0,15818513.92,,,4300.0,0.13,,,,,4300.0,,,,0.13,4300.0,,,,15.88,,,,5.13,5.13,8192955.0,292324634.4,,284.98,5.28,16.0,0.2026,36.12,0.0635
2018-05-28,512655.0,18312036.6,1.14,5.55,1.13,18.48,1.0,8015532.28,418155.0,224399.0,14936496.6,,,8511.0,0.3,,,,1.23,8511.0,33700.0,,,0.3,8511.0,,,10400.0,14.94,0.37,,,4.84,4.84,8218395.0,293561069.4,,286.06,4.96,17.12,0.2195,38.66,0.0594
2018-05-29,517779.0,17997998.04,1.16,5.62,1.14,18.37,1.0,8082499.48,409283.0,232523.0,14226677.08,,,,0.3,,,,0.31,8124.0,8872.0,,,0.3,,,,,14.4,,,,4.7,4.7,8305637.0,288703942.12,,287.41,4.77,16.79,0.2146,37.85,0.0594
2018-05-30,502904.0,17350188.0,1.12,5.42,1.11,17.61,1.0,7991856.0,394408.0,231648.0,13607076.0,,,,,,,,0.55,,14875.0,,,,,,,875.0,13.62,0.09,,,4.52,4.52,8333290.0,287498505.0,,281.1,4.62,17.39,0.228,39.18,0.0576
2018-05-31,563995.0,19480387.3,1.26,6.07,1.25,19.79,1.0,7765041.02,442051.0,224813.0,15268441.54,,,59800.0,,,,,0.42,,12157.0,,,,59800.0,,,6835.0,15.37,0.27,,,5.07,5.07,8282488.0,286077135.52,,277.7,5.24,22.69,0.2183,34.91,0.0646
2018-06-01,516742.0,17982621.6,1.15,5.52,1.14,18.14,1.0,7966172.4,385737.0,228913.0,13423647.6,,,6386.0,0.14,,,,2.28,4100.0,62700.0,,,0.14,6386.0,,,,13.39,,,,4.38,4.38,8415137.0,292846767.6,,283.27,4.51,17.02,0.2213,38.36,0.0587
2018-06-04,510052.0,17851820.0,1.14,5.33,1.13,18.01,1.0,7777805.0,384161.0,222223.0,13445635.0,,,,0.19,,,,0.05,4810.0,1576.0,,,0.19,,,,11500.0,13.41,0.39,,,4.35,4.35,8439956.0,295398460.0,,286.05,4.48,15.0,0.2215,38.86,0.0578
2018-06-05,501292.0,17585323.36,1.12,5.22,1.11,17.75,1.0,7604046.04,379701.0,216763.0,13319911.08,,,,,,,,0.14,,4460.0,,,,,,,5460.0,13.3,0.19,,,4.29,4.29,8477661.0,297396347.88,,288.72,4.41,15.06,0.2253,39.53,0.0566
2018-06-06,502636.0,17813419.84,1.12,5.2,1.11,17.88,1.0,7729712.08,385642.0,218107.0,13667152.48,,,6941.0,,,1400.0,,0.04,,1000.0,,,,6941.0,0.05,,56.0,13.6,0.01,,,4.33,4.33,8521066.0,301986579.04,,291.17,4.46,14.94,0.2252,39.64,0.0564
2018-06-07,508645.0,17863612.4,1.14,5.32,1.12,18.1,1.0,7870953.92,384694.0,224116.0,13510453.28,,,,0.25,,,,0.16,6009.0,4948.0,,,0.25,,,4000.0,,13.55,,,,4.31,4.31,8531226.0,299616657.12,,293.62,4.41,14.78,0.2203,38.81,0.057
2018-06-08,500134.0,17424668.56,1.12,5.42,1.11,17.69,1.0,7511678.2,377131.0,215605.0,13139244.04,,,948.0,,,,,0.3,,8511.0,,,,948.0,,,8511.0,13.18,0.29,,,4.23,4.23,8541294.0,297578682.96,,291.73,4.32,15.01,0.2266,39.39,0.0561
2018-06-11,498497.0,16669739.68,1.11,5.45,1.1,17.17,1.0,7155089.92,374546.0,213968.0,12524818.24,,,,0.01,,,,0.09,948.0,2585.0,,,0.01,,,,2585.0,12.7,0.09,,,4.2,4.2,8539978.0,285576864.32,,287.42,4.23,14.89,0.2253,38.96,0.0559
2018-06-12,482679.0,16266282.3,1.08,5.16,1.07,16.53,1.0,7060048.9,370035.0,209497.0,12470179.5,,,,,,,,0.19,,4511.0,,,,,,,4471.0,12.45,0.22,,,4.15,4.15,8536097.0,287666468.9,,278.77,4.27,15.58,0.2371,40.78,0.0542
2018-06-13,1183386.0,41158165.08,2.64,12.58,2.62,40.47,1.0,7197616.66,1070742.0,206947.0,37240406.76,,,,,,,,0.08,,2550.0,,,,,,703257.0,2550.0,36.34,0.09,,,10.09,10.09,9542898.0,331901992.44,,315.78,10.32,17.19,0.3842,58.53,0.1115
2018-06-14,1543543.0,53468329.52,3.45,15.98,3.41,54.2,1.0,6319790.88,1445471.0,182442.0,50071115.44,,,100000.0,,,,,0.2,,6076.0,,,,100000.0,,280805.0,24505.0,50.66,0.88,,,13.27,13.27,9450436.0,327363103.04,,322.01,13.59,12.78,0.4334,63.76,0.1417
2018-06-15,2006586.0,68023268.57,4.48,20.62,4.44,69.63,1.0,6184784.09,2000014.0,182442.0,67800477.76,,,180000.0,,,,,0.24,,6957.0,,,,180000.0,,381500.0,,69.28,,,,18.32,18.32,8919185.0,302360385.59,,301.0,18.71,28.97,0.3379,49.05,0.1838
2018-06-18,2408086.0,79081544.24,5.38,27.99,5.32,83.42,2.0,27715055.28,2120014.0,843942.0,69621259.76,,,,3.28,,570000.0,,,91500.0,,,,3.28,,20.73,120000.0,,72.13,,,,19.47,19.47,8769520.0,287991036.8,,291.48,19.84,36.78,0.3504,45.44,0.2211
2018-06-19,2412286.0,81101055.32,5.39,27.93,5.33,81.66,2.0,28376692.04,2120114.0,844042.0,71278232.68,,,,0.14,,,,0.13,4100.0,4000.0,,,0.14,,,4100.0,4000.0,70.02,0.14,,,19.48,19.48,8763219.0,294619422.78,,282.36,19.87,37.06,0.3444,44.45,0.2217
2018-06-20,2159704.0,72479666.24,4.82,25.19,4.77,74.33,1.0,28312625.52,2124732.0,843642.0,71306005.92,,,,,,10000.0,,0.14,,5382.0,,,,,0.34,10000.0,10400.0,71.4,0.36,,,19.5,19.5,8772564.0,294407247.84,,287.5,19.89,32.56,0.3656,49.92,0.1982
2018-06-21,2160012.0,70718792.88,4.82,24.78,4.77,73.88,1.0,27620839.08,2125040.0,843642.0,69573809.6,,,308.0,,,,,,,,,,,308.0,,,,70.85,,,,19.5,19.5,8770428.0,287143812.72,,285.79,19.87,32.64,0.3672,50.07,0.1982
2018-06-22,2065402.0,67662569.52,4.61,23.52,4.57,69.85,1.0,27801511.92,2025738.0,848642.0,66363176.88,,,12853.0,,,5000.0,,3.76,,112155.0,,,,12853.0,0.16,,,66.91,,,,18.63,18.63,8849997.0,289925901.72,,283.57,19.09,33.93,0.3488,47.17,0.1899
2018-06-25,2225602.0,71308288.08,4.97,24.75,4.92,74.26,1.0,26336719.8,2014930.0,821995.0,64558357.2,,,,,,,,0.47,,14500.0,,,,,,,26647.0,65.48,0.94,,,18.53,18.53,8858433.0,283824193.32,,281.26,18.88,39.49,0.3552,43.6,0.2047
2018-06-26,2227413.0,72390922.5,4.97,24.76,4.92,74.09,1.0,27088945.0,2005230.0,833506.0,65169975.0,,,,0.36,,,,0.33,11511.0,9700.0,,,0.36,,,,,64.82,,,,18.49,18.49,8839580.0,287286350.0,,279.1,18.85,39.54,0.3537,43.32,0.2054
2018-06-27,1663906.0,54110223.12,3.72,18.57,3.68,56.45,1.0,27105615.12,1446123.0,833506.0,47027919.96,,,4235.0,,,,,18.13,,563507.0,,,,4235.0,,165.0,,47.33,,,,13.49,13.49,9273841.0,301585309.32,,295.33,13.81,24.91,0.355,52.57,0.1552
2018-06-28,1663906.0,54542838.68,3.72,18.31,3.68,56.34,1.0,27322326.68,1450523.0,833506.0,47548143.94,,,3718.0,,,,,,,,,,,3718.0,,682.0,,47.36,,,,13.57,13.57,9235426.0,302737264.28,,293.98,13.87,24.78,0.3543,52.53,0.1557
2018-06-29,959791.0,30271808.14,2.14,10.4,2.12,31.62,1.0,10073592.14,927608.0,319391.0,29256756.32,,,,0.3,,,,17.13,8800.0,522915.0,,,0.3,,,,522915.0,29.86,18.34,,,8.7,8.7,9739128.0,307172097.12,,310.37,8.78,19.95,0.2701,44.0,0.09
2018-07-02,828995.0,26245981.7,1.85,9.09,1.83,26.54,1.0,6148973.54,760523.0,194219.0,24078158.18,,,,,,,,5.38,,167085.0,,,,,,,125172.0,24.06,4.54,,,7.1,7.1,9948506.0,314969699.96,,309.95,7.2,23.86,0.2253,36.76,0.0774
2018-07-03,842624.0,25885409.28,1.88,9.16,1.86,26.62,1.0,6077890.56,764152.0,197848.0,23474749.44,,,10000.0,,,10000.0,,0.21,,6371.0,,,,10000.0,0.31,,6371.0,23.9,0.21,,,7.11,7.11,9978337.0,306534512.64,,310.25,7.15,23.08,0.2191,36.53,0.0784
2018-07-04,851773.0,25468012.7,1.9,9.0,1.88,26.24,1.0,6189210.3,773301.0,206997.0,23121699.9,,,,,,9149.0,,,,,,,,,0.28,9149.0,,23.53,,,,7.2,7.2,9970165.0,298107933.5,,303.28,7.2,22.79,0.214,36.06,0.0793
2018-07-05,851473.0,26225368.4,1.9,8.42,1.88,26.14,1.0,6366267.6,773301.0,206697.0,23817670.8,,,,,,,,,,,,,,,,,300.0,23.3,0.0,,,7.27,7.27,9857168.0,303600774.4,,294.67,7.33,23.56,0.2116,35.14,0.0801
2018-07-06,723783.0,22220138.1,1.62,7.01,1.6,22.56,1.0,5936858.1,688172.0,193383.0,21126880.4,,,,,,,,2.54,,85129.0,,,,,,,13314.0,21.13,0.42,,,6.49,6.49,9923211.0,304642577.7,,302.6,6.53,27.22,0.2714,41.94,0.0682
2018-07-09,709946.0,21724347.6,1.59,6.76,1.57,22.12,1.0,5494107.6,688172.0,179546.0,21058063.2,,,,,,,,0.08,,2444.0,,,,,,,13837.0,21.11,0.43,,,6.55,6.55,9826278.0,300684106.8,,299.4,6.59,27.7,0.2812,42.82,0.0675
2018-07-10,701339.0,21867750.02,1.57,6.59,1.55,21.99,1.0,5641678.02,675728.0,180939.0,21069199.04,,,,0.08,,,,0.31,1393.0,10000.0,,,0.08,,,,,20.84,,,,6.72,6.72,9372456.0,292233178.08,,282.36,6.87,28.35,0.2864,42.96,0.0698
2018-07-11,692885.0,21299284.9,1.55,6.57,1.53,21.83,1.0,5302188.9,667274.0,172485.0,20512002.76,,,2000.0,,,,,0.32,,10454.0,,,,2000.0,,,8454.0,20.73,0.26,,,6.64,6.64,9379804.0,288335174.96,,286.89,6.74,28.17,0.2962,44.21,0.069
2018-07-12,384485.0,11903655.6,0.86,3.69,0.85,12.23,0.0,5340135.6,354874.0,172485.0,10986899.04,,,,,,,,9.79,,312400.0,,,,,,,,10.97,,,,3.51,3.51,9750717.0,301882198.32,,295.16,3.58,18.96,0.3251,50.64,0.038
2018-07-13,384485.0,12065139.3,0.86,3.75,0.85,12.33,0.0,5412579.3,354874.0,172485.0,11135946.12,,,,,,,,,,,,,,,,,,11.09,,,,3.51,3.51,9751150.0,305991087.0,,298.38,3.58,18.81,0.3267,50.89,0.038
2018-07-16,384485.0,12126656.9,0.86,3.86,0.85,12.37,0.0,5440176.9,354874.0,172485.0,11192725.96,,,,,,,,,,,,,,,,,,11.17,,,,3.51,3.51,9761701.0,307884049.54,,300.09,3.59,18.7,0.3271,50.99,0.038
2018-07-17,384485.0,12303520.0,0.86,3.93,0.85,12.47,0.0,5519520.0,354874.0,172485.0,11355968.0,,,,,,,,,,,,,,,,,,11.31,,,,3.56,3.56,9618028.0,307776896.0,,298.72,3.65,18.48,0.3293,51.33,0.0386
2018-07-18,384485.0,12434244.9,0.86,3.98,0.85,12.55,0.0,5578164.9,354874.0,172485.0,11476625.16,,,,,,,,,,,,,,,,,,11.45,,,,3.56,3.56,9611142.0,310824332.28,,302.69,3.64,18.33,0.3306,51.55,0.0386
2018-07-19,384485.0,11895965.9,0.86,3.93,0.85,12.2,0.0,5336685.9,354874.0,172485.0,10979801.56,,,,,,,,,,,,,,,,,,11.13,,,,3.53,3.53,9703861.0,300237459.34,,306.45,3.5,18.78,0.325,50.74,0.0382
2018-07-20,385585.0,12091945.6,0.86,3.89,0.85,12.35,0.0,5443625.6,359274.0,173585.0,11266832.64,,,4400.0,0.03,,,,,1100.0,,,,0.03,4400.0,,,,11.21,,,,3.58,3.58,9684403.0,303702878.08,,297.64,3.63,18.79,0.326,50.78,0.0384
2018-07-23,368192.0,11782144.0,0.82,3.65,0.81,11.99,0.0,4998144.0,355574.0,156192.0,11378368.0,,,,,,,,0.1,,3700.0,,,,,,,17393.0,11.31,0.52,,,3.53,3.53,9711720.0,310775040.0,,302.12,3.61,19.36,0.345,53.37,0.0366
2018-07-24,351292.0,10524708.32,0.78,3.54,0.78,10.88,0.0,4173188.32,321281.0,139292.0,9625578.76,,,,,,,,1.11,,34293.0,,,,,,,16900.0,9.81,0.56,,,3.19,3.19,9748403.0,292062153.88,,305.06,3.12,16.15,0.3539,55.07,0.0349
2018-07-25,351392.0,10309841.28,0.78,3.36,0.78,10.67,0.0,4089761.28,321281.0,139392.0,9426384.54,,,,0.0,,,,,100.0,,,,0.0,,,,,9.48,,,,3.19,3.19,9751207.0,286100413.38,,291.71,3.15,16.47,0.3536,54.97,0.0349
2018-07-26,355084.0,9913945.28,0.79,3.43,0.78,10.38,0.0,3891824.64,320973.0,139392.0,8961566.16,,,,,,,,0.01,,308.0,,,,,,,,9.09,,,,3.19,3.19,9747209.0,272142075.28,,280.01,3.14,16.95,0.3417,53.78,0.0353
2018-07-27,354326.0,10077031.44,0.79,3.24,0.78,10.5,0.0,4047751.44,319815.0,142326.0,9095538.6,,,6934.0,,,6934.0,,0.23,,8092.0,,,,6934.0,0.21,,4000.0,9.05,0.12,,,3.16,3.16,9810874.0,279021256.56,,274.6,3.19,16.75,0.3456,54.19,0.035
2018-07-30,429332.0,12047055.92,0.96,3.84,0.95,12.52,0.0,6098335.92,381821.0,217332.0,10713897.26,,,66120.0,2.13,,,,0.35,75006.0,13000.0,,,2.13,66120.0,,8886.0,,10.76,,,,3.76,3.76,9760984.0,273893211.04,,270.63,3.82,17.21,0.2666,44.83,0.0423
2018-07-31,574456.0,15027768.96,1.28,5.18,1.27,15.73,1.0,9481848.96,388258.0,362456.0,10156829.28,,,17607.0,3.82,,,,0.89,148224.0,31170.0,,,3.82,17607.0,,20000.0,3100.0,10.43,0.17,,,3.82,3.82,9775858.0,255736445.28,,267.16,3.76,33.26,0.2758,37.99,0.0565
2018-08-01,584537.0,15151199.04,1.31,4.48,1.29,15.74,1.0,9656159.04,482669.0,372537.0,12510780.48,,,5000.0,0.85,,,,,31881.0,,,,0.85,5000.0,,89411.0,21800.0,12.58,0.75,,,4.75,4.75,9682262.0,250964231.04,,249.39,4.8,32.93,0.3088,43.37,0.0575
2018-08-02,571423.0,14879854.92,1.28,4.21,1.26,15.31,1.0,9359374.92,432680.0,359423.0,11266987.2,,,,0.26,,26875.0,,2.85,10000.0,108466.0,,,0.26,,0.72,58477.0,49989.0,11.27,1.43,,,4.3,4.3,9624124.0,250612188.96,,246.4,4.37,34.01,0.272,37.78,0.0568
2018-08-03,626804.0,16798347.2,1.4,4.44,1.39,16.97,1.0,9883116.4,532467.0,368773.0,14270115.6,,,95491.0,0.25,,,,,9350.0,,,,0.25,95491.0,,4296.0,,14.09,,,,5.19,5.19,9728035.0,260711338.0,,251.68,5.3,31.58,0.2363,34.18,0.0611
2018-08-06,618881.0,16239437.44,1.38,4.35,1.37,16.82,1.0,9468704.0,532931.0,360850.0,13984109.44,,,9350.0,0.26,,,,0.23,8500.0,8886.0,,,0.26,9350.0,,,16423.0,14.14,0.32,,,5.23,5.23,9653325.0,253303248.0,,252.4,5.31,31.21,0.2257,32.58,0.0608
2018-08-07,613989.0,16086511.8,1.37,4.27,1.36,16.49,1.0,10532111.8,532386.0,401989.0,13948513.2,,,44904.0,,,64346.0,,1.7,,63638.0,,,,44904.0,1.7,18189.0,23207.0,13.94,0.75,,,5.22,5.22,9666179.0,253253889.8,,247.98,5.32,29.89,0.2144,31.77,0.0602
2018-08-08,618250.0,15814835.0,1.38,4.24,1.37,16.41,1.0,9511488.14,536647.0,371833.0,13727430.26,,,34417.0,,,,,0.8,,30156.0,,,,34417.0,,,30156.0,13.91,0.81,,,5.27,5.27,9640519.0,246604476.02,,246.38,5.34,25.86,0.1915,31.18,0.0607
2018-08-09,562882.0,14634932.0,1.26,3.82,1.24,15.0,1.0,8228090.0,446862.0,316465.0,11618412.0,,,,,,34417.0,,2.64,,99785.0,,,,,0.92,10000.0,89785.0,11.55,2.37,,,4.4,4.4,9697652.0,252138952.0,,244.18,4.52,18.0,0.1803,34.66,0.0555
2018-08-10,872448.0,22247424.0,1.95,5.84,1.93,23.12,1.0,7810599.0,646818.0,306298.0,16493859.0,,,16243.0,,,,,,,,,,,16243.0,,183713.0,10167.0,16.81,0.25,,,6.3,6.3,9613573.0,245146111.5,,245.05,6.42,21.26,0.1687,29.62,0.085
2018-08-13,749622.0,18755542.44,1.77,5.0,1.66,19.5,1.0,9362358.9,681270.0,374195.0,17045375.4,,,21000.0,1.8,,4577.0,,0.69,70156.0,23079.0,,,1.8,21000.0,0.12,36531.0,6836.0,17.26,0.24,,,6.57,6.57,9683820.0,242289176.4,,241.73,6.66,16.26,0.1396,25.43,0.0723
2018-08-14,838224.0,20318549.76,1.98,5.57,1.85,21.28,1.0,8019173.76,647069.0,330824.0,15684952.56,,,1192.0,0.02,,,,1.15,1192.0,44563.0,,,0.02,1192.0,,9170.0,44563.0,16.02,1.24,,,6.24,6.24,9730067.0,235856824.08,,238.49,6.29,22.6,0.1485,23.81,0.0808
2018-08-15,699355.0,16588700.6,1.65,4.65,1.55,17.33,1.0,7030774.04,612652.0,296407.0,14532105.44,,,,,,,,0.89,,34417.0,,,,,,,34417.0,14.72,0.9,,,5.89,5.89,9788198.0,232176056.56,,233.06,5.94,23.5,0.1696,27.47,0.0672
2018-08-16,523200.0,12713760.0,1.23,3.58,1.16,13.16,1.0,6988680.0,441597.0,287600.0,10730807.1,,,,,,,,4.19,,171055.0,,,,,,,8807.0,10.63,0.23,,,4.22,4.22,10015010.0,243364743.0,,234.65,4.33,20.09,0.2042,37.12,0.05
2018-08-17,519979.0,12479496.0,1.23,3.61,1.15,13.04,1.0,6825096.0,441597.0,284379.0,10598328.0,,,,,,,,,,,,,,,,,3221.0,10.63,0.08,,,4.23,4.23,10008535.0,240204840.0,,236.33,4.31,20.36,0.2048,37.0,0.0498
