,LAT FP Equity_DX_SI_QTY,LAT FP Equity_DX_SHORT_INTEREST_VALUE,LAT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LAT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LAT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LAT FP Equity_DX_SI_MV,LAT FP Equity_DX_DSS,LAT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LAT FP Equity_DX_SUPPLY_SI_QTY,LAT FP Equity_DX_BROKER_SI_QTY,LAT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LAT FP Equity_DX_BROKER_SI_MV_NEW_x,LAT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LAT FP Equity_DX_SUPPLY_SI_QTY_INC_x,LAT FP Equity_DX_BROKER_SI_MV_INC_x,LAT FP Equity_DX_SUPPLY_SI_MV_NEW,LAT FP Equity_DX_BROKER_SI_QTY_ADD,LAT FP Equity_DX_BROKER_SI_QTY_NEW,LAT FP Equity_DX_SUPPLY_SI_MV_DEC,LAT FP Equity_DX_BROKER_SI_QTY_INC,LAT FP Equity_DX_SUPPLY_SI_QTY_DEC,LAT FP Equity_DX_BROKER_SI_MV_NEW_y,LAT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LAT FP Equity_DX_BROKER_SI_MV_INC_y,LAT FP Equity_DX_SUPPLY_SI_QTY_INC_y,LAT FP Equity_DX_BROKER_SI_MV_ADD,LAT FP Equity_DX_SUPPLY_SI_QTY_ADD,LAT FP Equity_DX_BROKER_SI_QTY_DEC,LAT FP Equity_DX_SUPPLY_SI_MV,LAT FP Equity_DX_BROKER_SI_MV_DEC,LAT FP Equity_DX_SUPPLY_SI_MV_RMV,LAT FP Equity_DX_BROKER_SI_MV_RMV,LAT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LAT FP Equity_DX_UTILIZATION_QUANTITY,LAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LAT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LAT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LAT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LAT FP Equity_DX_ACTIVE_UTILIZATION_MV,LAT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LAT FP Equity_DX_BROKER_SI_CON_RATIO,LAT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LAT FP Equity_DX_DEMAND_SUPPLY_RATIO
2011-09-12,27487.0,234464.11,0.37,1.24,0.32,0.26,0.0,121543.97,15238.0,14249.0,129980.14,,,,,,150.0,,,,,,,,,0.0,,,0.14,,,,13.6,7.83,96799.0,825695.47,,0.9,13.61,11.64,0.6742,81.03,0.1413
2011-09-13,27487.0,244634.3,0.37,1.24,0.32,0.24,0.0,126816.1,15238.0,14249.0,135618.2,,,,,,,,,,,,,,,,,,0.13,,,,13.54,7.82,97266.0,865667.4,,0.83,13.53,12.62,0.6623,80.15,0.141
2011-09-14,27487.0,247383.0,0.37,1.23,0.32,0.25,0.0,128241.0,15238.0,14249.0,137142.0,,,,,,,,,,,,,,,,,,0.14,,,,13.44,7.78,98135.0,883215.0,,0.87,13.43,12.77,0.6607,80.03,0.1404
2011-09-15,23411.0,213274.21,0.32,1.06,0.27,0.21,0.0,111242.21,13200.0,12211.0,120252.0,,,,,,,,0.02,,2038.0,,,,,,,2038.0,0.12,0.02,,,11.64,6.74,100173.0,912576.03,,0.9,11.61,14.9,0.6171,76.79,0.1195
2011-09-16,23411.0,214912.98,0.32,1.09,0.27,0.22,0.0,112096.98,13200.0,12211.0,121176.0,,,,,,,,,,,,,,,,,,0.12,,,,11.64,6.82,100173.0,919588.14,,0.91,11.65,14.62,0.62,77.03,0.1209
2011-09-19,33411.0,308383.53,0.45,1.68,0.39,0.32,0.0,158857.53,18200.0,17211.0,167986.0,,,5000.0,0.05,,,,,5000.0,,,,0.05,5000.0,,,,0.17,,,,16.05,9.5,95173.0,878446.79,,0.87,16.07,10.5,0.7103,83.46,0.1743
2011-09-20,33411.0,299696.67,0.45,1.78,0.39,0.32,0.0,154382.67,18200.0,17211.0,163254.0,,,,,,,,,,,,,,,,,,0.17,,,,16.05,9.56,95173.0,853701.81,,0.88,16.04,10.55,0.71,83.43,0.1756
2011-09-21,33411.0,298694.34,0.45,1.9,0.39,0.31,0.0,153866.34,18200.0,17211.0,162708.0,,,,,,,,,,,,,,,,,,0.16,,,,16.05,9.56,95173.0,850846.62,,0.85,16.08,10.43,0.7109,83.5,0.1756
2011-09-22,33411.0,288336.93,0.45,2.01,0.39,0.31,0.0,148530.93,18200.0,17211.0,157066.0,,,,,,,,,,,,,,,,,,0.16,,,,16.05,9.61,95173.0,821342.99,,0.85,16.09,10.03,0.7168,83.9,0.1765
2011-09-23,33411.0,285664.05,0.45,1.96,0.39,0.29,0.0,147154.05,18200.0,17211.0,155610.0,,,,,,,,,,,,,,,,,,0.16,,,,16.05,9.61,95173.0,813729.15,,0.82,16.05,10.46,0.711,83.5,0.1765
2011-09-26,33411.0,287668.71,0.45,1.99,0.39,0.29,0.0,148186.71,18200.0,17211.0,156702.0,,,,,,,,,,,,,,,,,,0.16,,,,16.05,9.61,95173.0,819439.53,,0.81,16.05,10.66,0.7079,83.29,0.1765
2011-09-27,33411.0,300699.0,0.45,2.03,0.39,0.29,0.0,154899.0,18200.0,17211.0,163800.0,,,,,,,,,,,,,,,,,,0.16,,,,15.93,9.56,96055.0,864495.0,,0.83,15.91,10.64,0.7082,83.31,0.1756
2011-09-28,33289.0,294274.76,0.45,2.01,0.39,0.31,0.0,151606.0,18139.0,17150.0,160348.76,,,,,,,,0.0,,61.0,,,,,,,61.0,0.16,0.0,,,15.88,9.53,96116.0,849665.44,,0.87,15.89,10.38,0.7113,83.53,0.1749
2011-09-29,41289.0,379445.91,0.56,2.49,0.48,0.37,0.0,231128.5,26139.0,25150.0,240217.41,,,5000.0,0.04,,3000.0,,,5000.0,,,,0.04,5000.0,0.03,3000.0,,0.23,,,,21.38,13.72,96116.0,883306.04,,0.85,21.46,11.56,0.6072,76.59,0.2167
2011-09-30,41289.0,371188.11,0.56,2.57,0.48,0.39,0.0,226098.5,26139.0,25150.0,234989.61,,,,,,,,,,,,,,,,,,0.24,,,,21.38,13.69,96116.0,864082.84,,0.88,21.44,11.52,0.6099,76.79,0.2162
2011-10-03,32429.0,282780.88,0.44,2.11,0.38,0.3,0.0,180678.4,21709.0,20720.0,189302.48,,,,,,,,0.04,,4430.0,,,,,,,4430.0,0.2,0.05,,,17.76,11.36,100546.0,876761.12,,0.9,17.8,13.85,0.5458,71.85,0.1697
2011-10-04,37429.0,309537.83,0.5,2.46,0.43,0.33,0.0,212704.4,26709.0,25720.0,220883.43,,,5000.0,0.04,,,,,5000.0,,,,0.04,5000.0,,,,0.23,,,,20.99,13.98,100546.0,831515.42,,0.88,20.85,11.41,0.6094,76.76,0.196
2011-10-05,38429.0,318960.7,0.52,2.61,0.45,0.32,0.0,221776.0,27709.0,26720.0,229984.7,,,1000.0,,,1000.0,,,,,,,,1000.0,0.01,,,0.23,,,,21.56,14.49,100796.0,836606.8,,0.83,21.52,11.03,0.563,73.64,0.2009
2011-10-06,38429.0,331257.98,0.52,2.61,0.45,0.32,0.0,230326.4,27709.0,26720.0,238851.58,,,,,,,,,,,,,,,,,,0.23,,,,21.55,14.48,100868.0,869482.16,,0.84,21.47,11.11,0.5687,74.06,0.2009
2011-10-07,37262.0,322316.3,0.5,2.51,0.43,0.33,0.0,225963.95,27112.0,26123.0,234518.8,,,,,,,,0.0,,597.0,,,,,,,597.0,0.23,0.0,,,20.92,14.1,102462.0,886296.3,,0.88,20.94,11.33,0.564,73.71,0.1937
2011-10-10,37002.0,323027.46,0.5,2.51,0.43,0.32,0.0,225783.99,26852.0,25863.0,234417.96,,,,,,,,0.0,,260.0,,,,,,,260.0,0.23,0.0,,,100.0,13.93,0.0,0.0,,0.0,100.0,11.54,0.5581,73.26,0.192
2011-10-11,36002.0,318257.68,0.48,2.43,0.42,0.32,0.0,219788.92,25852.0,24863.0,228531.68,,,,,,,,0.01,,1000.0,,,,,,,1000.0,0.23,0.01,,,100.0,13.45,0.0,0.0,,0.0,100.0,11.86,0.6018,76.19,0.1873
2011-10-12,36002.0,325458.08,0.48,2.42,0.42,0.32,0.0,224761.52,25852.0,24863.0,233702.08,,,,,,,,,,,,,,,,,,0.23,,,,100.0,13.48,0.0,0.0,,0.0,100.0,11.92,0.6001,76.06,0.1878
2011-10-13,36002.0,321137.84,0.48,2.68,0.42,0.33,0.0,221777.96,25852.0,24863.0,230599.84,,,,,,,,,,,,,,,,,,0.23,,,,100.0,13.48,0.0,0.0,,0.0,100.0,11.88,0.6039,76.34,0.1878
2011-10-14,36002.0,324018.0,0.48,2.89,0.42,0.33,0.0,223767.0,25852.0,24863.0,232668.0,,,,,,,,,,,,,,,,,,0.23,,,,100.0,13.49,0.0,0.0,,0.0,100.0,11.93,0.6013,76.15,0.1878
2011-10-17,36002.0,319697.76,0.48,2.91,0.42,0.33,0.0,220783.44,25852.0,24863.0,229565.76,,,,,,,,,,,,,,,,,,0.23,,,,100.0,13.45,0.0,0.0,,0.0,100.0,11.85,0.6043,76.37,0.1873
2011-10-18,35902.0,315937.6,0.48,2.95,0.42,0.32,0.0,217914.4,25752.0,24763.0,226617.6,,,,,,,,0.0,,100.0,,,,,,,100.0,0.23,0.0,,,100.0,13.38,0.0,0.0,,0.0,100.0,11.92,0.6023,76.22,0.1865
2011-10-19,35902.0,313065.44,0.48,2.99,0.42,0.32,0.0,215933.36,25752.0,24763.0,224557.44,,,,,,,,,,,,,,,,,,0.23,,,,100.0,13.38,0.0,0.0,,0.0,100.0,11.94,0.6023,76.22,0.1865
2011-10-20,35902.0,313783.48,0.48,3.06,0.42,0.32,0.0,216428.62,25752.0,24763.0,225072.48,,,,,,,,,,,,,,,,,,0.22,,,,100.0,13.54,0.0,0.0,,0.0,100.0,11.92,0.6013,76.15,0.1887
2011-10-21,35812.0,304402.0,0.48,3.02,0.42,0.32,0.0,209720.5,25662.0,24673.0,218127.0,,,,,,,,0.0,,90.0,,,,,,,90.0,0.22,0.0,,,100.0,13.46,0.0,0.0,,0.0,100.0,12.08,0.6012,76.13,0.1878
2011-10-24,35812.0,304402.0,0.48,3.09,0.42,0.31,0.0,209720.5,25662.0,24673.0,218127.0,,,,,,,,,,,,,,,,,,0.22,,,,100.0,13.46,0.0,0.0,,0.0,100.0,11.87,0.6031,76.28,0.1878
2011-10-25,35232.0,301938.24,0.47,3.23,0.41,0.31,0.0,206477.01,25082.0,24093.0,214952.74,,,,,,,,0.0,,580.0,,,,,,,580.0,0.21,0.01,,,100.0,13.16,0.0,0.0,,0.0,100.0,12.22,0.5927,75.51,0.1848
2011-10-26,35147.0,298398.03,0.47,3.31,0.41,0.31,0.0,203827.92,24997.0,24008.0,212224.53,,,,,,,,0.0,,85.0,,,,,,,85.0,0.21,0.0,,,100.0,13.09,0.0,0.0,,0.0,100.0,12.28,0.593,75.53,0.1841
2011-10-27,35147.0,305075.96,0.47,3.39,0.41,0.3,0.0,208389.44,24997.0,24008.0,216973.96,,,,,,,,,,,,,,,,,,0.21,,,,100.0,13.09,0.0,0.0,,0.0,100.0,12.4,0.5881,75.15,0.184
2011-10-28,35147.0,304724.49,0.47,3.38,0.41,0.31,0.0,208149.36,24997.0,24008.0,216723.99,,,,,,,,,,,,,,,,,,0.22,,,,100.0,13.09,0.0,0.0,,0.0,100.0,12.27,0.5925,75.49,0.184
2011-10-31,34833.0,306182.07,0.47,3.32,0.4,0.31,0.0,208270.26,24683.0,23694.0,216963.57,,,,,,,,0.0,,314.0,,,,,,,314.0,0.22,0.0,,,100.0,12.92,0.0,0.0,,0.0,100.0,12.29,0.5884,75.19,0.1824
2011-11-01,34833.0,286675.59,0.47,3.46,0.4,0.31,0.0,195001.62,24683.0,23694.0,203141.09,,,,,,,,,,,,,,,,,,0.22,,,,100.0,12.92,0.0,0.0,,0.0,100.0,12.39,0.5948,75.66,0.1824
2011-11-02,34833.0,298867.14,0.47,3.56,0.4,0.29,0.0,203294.52,24683.0,23694.0,211780.14,,,,,,,,,,,,,,,,,,0.2,,,,100.0,12.92,0.0,0.0,,0.0,100.0,12.39,0.5848,74.92,0.1824
2011-11-03,34616.0,301159.2,0.47,3.49,0.4,0.3,0.0,204249.9,24683.0,23477.0,214742.1,,,,,,,,,,,,,,,,,217.0,0.21,0.0,,,100.0,12.92,0.0,0.0,,0.0,100.0,12.58,0.5852,74.92,0.1813
2011-11-04,34696.0,287282.88,0.47,3.84,0.4,0.31,0.0,190456.56,23991.0,23002.0,198645.48,,,,,,555.0,,0.01,,1247.0,,,,,0.0,555.0,1030.0,0.21,0.01,,,100.0,12.51,0.0,0.0,,0.0,100.0,12.82,0.5508,72.54,0.1809
2011-11-07,34566.0,286897.8,0.47,3.82,0.4,0.29,0.0,189837.6,23861.0,22872.0,198046.3,,,,,,,,0.01,,130.0,,,,,,,130.0,0.2,0.01,,,100.0,12.44,0.0,0.0,,0.0,100.0,12.83,0.5448,72.07,0.1802
2011-11-08,34566.0,284478.18,0.47,3.79,0.4,0.29,0.0,188236.56,23861.0,22872.0,196376.03,,,,,,,,,,,,,,,,,,0.2,,,,100.0,12.33,0.0,0.0,,0.0,100.0,12.9,0.5447,72.06,0.1787
2011-11-09,33826.0,276358.42,0.46,3.78,0.39,0.29,0.0,180818.44,23121.0,22132.0,188898.57,,,,,,,,0.0,,740.0,,,,,,,740.0,0.19,0.01,,,100.0,11.87,0.0,0.0,,0.0,100.0,13.14,0.5355,71.35,0.1736
2011-11-10,33826.0,273314.08,0.46,3.75,0.39,0.28,0.0,178826.56,23121.0,22132.0,186817.68,,,,,,,,,,,,,,,,,,0.19,,,,100.0,11.87,0.0,0.0,,0.0,100.0,13.26,0.5347,71.27,0.1736
2011-11-11,34726.0,281975.12,0.47,3.91,0.4,0.29,0.0,179711.84,24021.0,22132.0,195050.52,,,900.0,,,,,,,,,,,900.0,,,,0.19,,,,19.1,12.33,101746.0,826177.52,,0.82,19.04,13.24,0.5338,71.19,0.1783
2011-11-14,34946.0,274675.56,0.47,3.96,0.41,0.29,0.0,175686.72,23341.0,22352.0,183460.26,,,,,,900.0,,0.0,,680.0,,,,,0.01,,680.0,0.19,0.0,,,18.66,11.98,101746.0,799723.56,,0.83,18.64,13.02,0.4879,67.87,0.1794
2011-11-15,34346.0,261716.52,0.46,3.92,0.4,0.28,0.0,165750.24,22741.0,21752.0,173286.42,,,,,,,,0.01,,600.0,,,,,,,600.0,0.18,0.01,,,18.27,11.67,101746.0,775304.52,,0.8,18.25,13.77,0.4728,66.55,0.1763
2011-11-16,34266.0,252883.08,0.46,3.91,0.4,0.27,0.0,159939.36,22661.0,21672.0,167238.18,,,,,,,,0.0,,80.0,,,,,,,80.0,0.17,0.0,,,18.22,11.63,101746.0,750885.48,,0.78,18.18,13.45,0.4748,66.76,0.1759
2011-11-17,33796.0,251780.2,0.46,3.89,0.39,0.26,0.0,157954.9,22191.0,21202.0,165322.95,,,,,,,,0.01,,470.0,,,,,,,470.0,0.16,0.01,,,17.91,11.39,101746.0,758007.7,,0.75,17.95,13.69,0.4641,65.83,0.1735
2011-11-18,32908.0,240557.48,0.44,3.73,0.38,0.25,0.0,148495.34,21303.0,20314.0,155724.93,,,,,,,,0.01,,888.0,,,,,,,888.0,0.16,0.01,,,17.31,10.94,101746.0,743763.26,,0.76,17.27,14.36,0.4512,64.65,0.1689
2011-11-21,32151.0,224735.49,0.43,3.63,0.37,0.24,0.0,141365.76,20546.0,20224.0,143616.54,,,,,,,,0.01,,757.0,,,,,,,90.0,0.15,0.0,,,16.71,10.55,102413.0,715866.87,,0.75,16.63,14.41,0.4511,64.65,0.165
2011-11-22,30844.0,214674.24,0.42,3.52,0.36,0.22,0.0,131662.32,19906.0,18917.0,138545.76,,,,,,,,0.01,,640.0,,,,,,,1307.0,0.14,0.01,,,16.27,10.22,102413.0,712794.48,,0.72,16.25,15.9,0.461,65.06,0.1583
2011-11-23,27829.0,196194.45,0.37,3.21,0.32,0.2,0.0,112109.1,16465.0,15902.0,116078.25,,,,,,,,0.02,,3441.0,,,,,,,3015.0,0.12,0.02,,,13.85,8.45,102413.0,722011.65,,0.71,13.9,11.51,0.6151,77.28,0.1429
2011-11-24,27300.0,202020.0,0.37,3.15,0.32,0.2,0.0,113760.2,16362.0,15373.0,121078.8,,,,,,,,0.0,,103.0,,,,,,,529.0,0.12,0.0,,,13.78,8.4,102413.0,757856.2,,0.72,13.78,12.37,0.6,76.15,0.1401
2011-11-25,26968.0,198484.48,0.36,3.04,0.31,0.2,0.0,110701.76,16030.0,15041.0,117980.8,,,,,,,,0.0,,332.0,,,,,,,332.0,0.12,0.0,,,13.53,8.23,102413.0,753759.68,,0.76,13.55,11.99,0.6011,76.27,0.1384
2011-11-28,31078.0,243340.74,0.42,3.55,0.36,0.24,0.0,145606.68,17585.0,18596.0,137690.55,,,1555.0,0.02,,1000.0,,,2555.0,,,,0.02,1555.0,0.01,,,0.13,,,,14.58,9.0,103013.0,806591.79,,0.76,14.57,10.37,0.5242,70.98,0.159
2011-11-29,31078.0,242719.18,0.42,3.42,0.36,0.25,0.0,145234.76,17585.0,18596.0,137338.85,,,,,,,,,,,,,,,,,,0.14,,,,14.58,9.0,103013.0,804531.53,,0.81,14.59,9.77,0.5303,71.48,0.159
2011-11-30,30639.0,237452.25,0.41,3.36,0.36,0.25,0.0,140716.75,17146.0,18157.0,132881.5,,,,,,,,0.0,,439.0,,,,,,,439.0,0.13,0.0,,,14.27,8.75,103013.0,798350.75,,0.8,14.24,9.98,0.5219,70.83,0.1564
2011-12-01,30639.0,233162.79,0.41,3.31,0.36,0.24,0.0,138174.77,17146.0,18157.0,130481.06,,,,,,,,,,,,,,,,,,0.13,,,,14.27,8.75,103013.0,783928.93,,0.8,14.27,9.84,0.5228,70.91,0.1564
2011-12-02,30639.0,231018.06,0.41,3.42,0.36,0.24,0.0,136903.78,17146.0,18157.0,129280.84,,,,,,,,,,,,,,,,,,0.13,,,,14.27,8.75,103013.0,776718.02,,0.78,14.28,9.88,0.522,70.85,0.1564
2011-12-05,30989.0,244813.1,0.42,3.59,0.36,0.24,0.0,146205.3,17496.0,18507.0,138218.4,,,,0.0,,,,,350.0,,,,0.0,,,350.0,,0.13,,,,14.52,8.93,103013.0,813802.7,,0.78,14.53,10.24,0.5017,69.23,0.1582
2011-12-06,30989.0,245432.88,0.42,3.49,0.36,0.25,0.0,146575.44,17496.0,18507.0,138568.32,,,,,,,,,,,,,,,,,,0.13,,,,14.52,8.93,103013.0,815862.96,,0.77,14.8,9.83,0.5064,69.62,0.1582
2011-12-07,30989.0,247912.0,0.42,3.53,0.36,0.25,0.0,148056.0,17496.0,18507.0,139968.0,,,,,,,,,,,,,,,,,,0.13,,,,14.52,8.96,103013.0,824104.0,,0.78,14.74,9.92,0.5051,69.52,0.1587
2011-12-08,30989.0,239235.08,0.42,3.54,0.36,0.25,0.0,142874.04,17496.0,18507.0,135069.12,,,,,,,,,,,,,,,,,,0.14,,,,14.52,8.96,103013.0,795260.36,,0.78,14.82,9.48,0.5096,69.9,0.1587
2011-12-09,30988.0,239537.24,0.42,3.63,0.36,0.24,0.0,143051.38,17495.0,18506.0,135236.35,,,,,,,,0.0,,1.0,,,,,,,1.0,0.13,0.0,,,14.52,8.96,103013.0,796290.49,,0.78,14.6,9.86,0.5053,69.54,0.1587
2011-12-12,30988.0,242016.28,0.42,3.73,0.36,0.25,0.0,144531.86,17495.0,18506.0,136635.95,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.96,0.0,0.0,,0.0,100.0,9.83,0.5064,69.63,0.1587
2011-12-13,30988.0,238297.72,0.42,3.77,0.36,0.25,0.0,142311.14,17495.0,18506.0,134536.55,,,,,,,,,,,,,,,,,,0.14,,,,100.0,8.88,0.0,0.0,,0.0,100.0,9.62,0.509,69.84,0.1574
2011-12-14,30988.0,234889.04,0.42,3.92,0.36,0.25,0.0,140275.48,17495.0,18506.0,132612.1,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.88,0.0,0.0,,0.0,100.0,9.81,0.5075,69.72,0.1574
2011-12-15,30988.0,231170.48,0.42,3.98,0.36,0.24,0.0,138054.76,17495.0,18506.0,130512.7,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.88,0.0,0.0,,0.0,100.0,9.71,0.509,69.84,0.1574
2011-12-16,30988.0,226832.16,0.42,4.05,0.36,0.24,0.0,135463.92,17495.0,18506.0,128063.4,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.88,0.0,0.0,,0.0,100.0,9.69,0.5088,69.82,0.1574
2011-12-19,30988.0,220944.44,0.42,4.22,0.36,0.23,0.0,131947.78,17495.0,18506.0,124739.35,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.83,0.0,0.0,,0.0,100.0,9.84,0.5071,69.68,0.1565
2011-12-20,30988.0,225592.64,0.42,4.02,0.36,0.23,0.0,134723.68,17495.0,18506.0,127363.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,8.82,0.0,0.0,,0.0,100.0,10.15,0.5043,69.44,0.1562
2011-12-21,30988.0,225592.64,0.42,4.01,0.36,0.23,0.0,134723.68,17495.0,18506.0,127363.6,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.81,0.0,0.0,,0.0,100.0,9.95,0.5066,69.63,0.156
2011-12-22,30988.0,258749.8,0.42,3.79,0.36,0.23,0.0,154525.1,17495.0,18506.0,146083.25,,,,,,,,,,,,,,,,,,0.13,,,,100.0,8.77,0.0,0.0,,0.0,100.0,9.95,0.5067,69.64,0.1554
2011-12-23,30988.0,264637.52,0.42,2.87,0.36,0.26,0.0,158041.24,17495.0,18506.0,149407.3,,,,,,,,,,,,,,,,,,0.15,,,,100.0,8.77,0.0,0.0,,0.0,100.0,8.88,0.5142,70.27,0.1554
2011-12-26,30988.0,264637.52,0.42,2.63,0.36,0.26,0.0,158041.24,17495.0,18506.0,149407.3,,,,,,,,,,,,,,,,,,0.15,,,,100.0,8.77,0.0,0.0,,0.0,100.0,8.83,0.5095,69.92,0.1554
2011-12-27,30988.0,268046.2,0.42,2.63,0.36,0.27,0.0,160076.9,17495.0,18506.0,151331.75,,,,,,,,,,,,,,,,,,0.15,,,,100.0,8.77,0.0,0.0,,0.0,100.0,10.11,0.5009,69.17,0.1554
2011-12-28,30224.0,264460.0,0.41,2.44,0.35,0.26,0.0,155242.5,16495.0,17742.0,144331.25,,,,0.0,,120.0,,0.01,116.0,1000.0,,,0.0,,0.0,,1000.0,0.14,0.01,,,100.0,8.27,0.0,0.0,,0.0,100.0,10.45,0.5652,73.84,0.1516
2011-12-29,30224.0,276247.36,0.41,2.44,0.35,0.27,0.0,162161.88,16495.0,17742.0,150764.3,,,,,,,,,,,,,,,,,,0.14,,,,100.0,8.27,0.0,0.0,,0.0,100.0,10.4,0.5653,73.85,0.1516
2011-12-30,30224.0,285919.04,0.41,2.2,0.35,0.28,0.0,167839.32,16495.0,17742.0,156042.7,,,,,,,,,,,,,,,,,,0.15,,,,100.0,8.27,0.0,0.0,,0.0,100.0,10.12,0.5683,74.09,0.1515
2012-01-02,30224.0,288941.44,0.41,2.16,0.35,0.28,0.0,169613.52,16495.0,17742.0,157692.2,,,,,,,,,,,,,,,,,,0.16,,,,100.0,8.25,0.0,0.0,,0.0,100.0,10.01,0.5636,73.75,0.1512
2012-01-03,22040.0,214890.0,0.3,1.53,0.26,0.2,0.0,186147.0,17961.0,19092.0,175119.75,,,11450.0,0.01,,,,0.09,1350.0,9984.0,,,0.01,11450.0,,,,0.17,,,,100.0,8.98,0.0,0.0,,0.0,100.0,9.77,0.557,73.21,0.1102
2012-01-04,22040.0,211584.0,0.3,1.37,0.26,0.21,0.0,183283.2,17961.0,19092.0,172425.6,,,,,,,,,,,,,,,,,,0.18,,,,100.0,8.98,0.0,0.0,,0.0,100.0,10.06,0.5464,72.37,0.1102
2012-01-05,22858.0,213265.14,0.31,1.28,0.27,0.21,0.0,185760.3,17961.0,19910.0,167576.13,,,,0.01,,,,,818.0,,,,0.01,,,,,0.17,,,,100.0,8.98,0.0,0.0,,0.0,100.0,9.54,0.563,73.66,0.1143
2012-01-06,23040.0,218649.6,0.31,1.23,0.27,0.22,0.0,181183.08,18961.0,19092.0,179939.89,,,,,,,,,,,,,,,,1000.0,818.0,0.18,0.01,,,100.0,9.46,0.0,0.0,,0.0,100.0,9.61,0.5075,69.35,0.115
2012-01-09,23040.0,225792.0,0.31,1.24,0.27,0.22,0.0,187101.6,18961.0,19092.0,185817.8,,,,,,,,,,,,,,,,,,0.18,,,,100.0,9.43,0.0,0.0,,0.0,100.0,9.77,0.5084,69.41,0.1145
2012-01-10,31950.0,319180.5,0.43,1.62,0.37,0.31,0.0,279739.98,27871.0,28002.0,278431.29,,,9260.0,,,10000.0,,0.0,,350.0,,,,9260.0,0.1,,1090.0,0.27,0.01,,,100.0,13.79,0.0,0.0,,0.0,100.0,32.61,0.3383,46.9,0.1581
2012-01-11,59291.0,591724.18,0.8,2.91,0.69,0.6,0.0,392643.14,39212.0,39343.0,391335.76,,,16000.0,0.17,,,,0.04,15341.0,4659.0,,,0.17,16000.0,,,4000.0,0.39,0.04,,,27.38,19.38,103988.0,1037800.24,,1.04,27.45,14.2,0.5361,71.42,0.2931
2012-01-12,59291.0,583423.44,0.8,2.91,0.69,0.6,0.0,387135.12,39212.0,39343.0,385846.08,,,,,,,,,,,,,,,,,,0.39,,,,27.37,19.38,104052.0,1023871.68,,1.04,27.25,14.31,0.5356,71.37,0.293
2012-01-13,59291.0,577494.34,0.8,2.91,0.69,0.59,0.0,383200.82,39212.0,39343.0,381924.88,,,,,,,,,,,,,,,,,,0.39,,,,27.11,19.25,105410.0,1026693.4,,1.04,27.21,14.15,0.5368,71.48,0.2911
2012-01-16,59058.0,569909.7,0.8,2.9,0.69,0.59,0.0,377411.5,38979.0,39110.0,376147.35,,,,,,,,0.01,,233.0,,,,,,,233.0,0.38,0.0,,,26.96,19.12,105578.0,1018827.7,,1.03,26.96,14.3,0.5359,71.39,0.2897
2012-01-17,56955.0,558159.0,0.77,2.78,0.66,0.56,0.0,367078.6,36876.0,37457.0,361384.8,,,,,,,,0.02,,2103.0,,,,,,,1653.0,0.35,0.02,,,25.82,18.06,105943.0,1038241.4,,1.02,25.76,11.19,0.5616,73.66,0.2789
2012-01-18,55165.0,532893.9,0.75,2.68,0.64,0.55,0.0,357487.62,35536.0,37007.0,343277.76,,,,,,,,0.01,,1340.0,,,,,,,450.0,0.35,0.0,,,25.12,17.34,105943.0,1023409.38,,1.04,25.03,11.75,0.6129,77.15,0.2693
2012-01-19,56938.0,553437.36,0.77,2.65,0.66,0.56,0.0,378768.96,37309.0,38968.0,362643.48,,,,,,2000.0,,0.01,,227.0,,,,,0.02,2000.0,39.0,0.36,0.0,,,26.04,18.21,105943.0,1029765.96,,1.02,25.92,11.2,0.5581,73.45,0.2779
2012-01-20,56298.0,573113.64,0.76,2.59,0.65,0.56,0.0,390179.04,36669.0,38328.0,373290.42,,,,,,,,0.0,,640.0,,,,,,,640.0,0.36,0.0,,,25.71,17.9,105943.0,1078499.74,,1.03,25.71,11.33,0.5527,73.04,0.2748
2012-01-23,54888.0,559857.6,0.74,2.36,0.64,0.57,0.0,387885.6,35259.0,38028.0,359641.8,,,,,,,,0.01,,1410.0,,,,,,,300.0,0.36,0.0,,,24.81,17.13,106866.0,1090033.2,,1.09,24.72,11.46,0.5502,72.85,0.2667
