,LNA FP Equity_DX_SI_QTY,LNA FP Equity_DX_SHORT_INTEREST_VALUE,LNA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LNA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LNA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LNA FP Equity_DX_SI_MV,LNA FP Equity_DX_DSS,LNA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LNA FP Equity_DX_SUPPLY_SI_QTY,LNA FP Equity_DX_BROKER_SI_QTY,LNA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LNA FP Equity_DX_BROKER_SI_MV_NEW_x,LNA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LNA FP Equity_DX_SUPPLY_SI_QTY_INC_x,LNA FP Equity_DX_BROKER_SI_MV_INC_x,LNA FP Equity_DX_SUPPLY_SI_MV_NEW,LNA FP Equity_DX_BROKER_SI_QTY_ADD,LNA FP Equity_DX_BROKER_SI_QTY_NEW,LNA FP Equity_DX_SUPPLY_SI_MV_DEC,LNA FP Equity_DX_BROKER_SI_QTY_INC,LNA FP Equity_DX_SUPPLY_SI_QTY_DEC,LNA FP Equity_DX_BROKER_SI_MV_NEW_y,LNA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LNA FP Equity_DX_BROKER_SI_MV_INC_y,LNA FP Equity_DX_SUPPLY_SI_QTY_INC_y,LNA FP Equity_DX_BROKER_SI_MV_ADD,LNA FP Equity_DX_SUPPLY_SI_QTY_ADD,LNA FP Equity_DX_BROKER_SI_QTY_DEC,LNA FP Equity_DX_SUPPLY_SI_MV,LNA FP Equity_DX_BROKER_SI_MV_DEC,LNA FP Equity_DX_SUPPLY_SI_MV_RMV,LNA FP Equity_DX_BROKER_SI_MV_RMV,LNA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LNA FP Equity_DX_UTILIZATION_QUANTITY,LNA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LNA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LNA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LNA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LNA FP Equity_DX_ACTIVE_UTILIZATION_MV,LNA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LNA FP Equity_DX_BROKER_SI_CON_RATIO,LNA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LNA FP Equity_DX_DEMAND_SUPPLY_RATIO,LNA FP Equity_PX_LAST
2013-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1547.0,20421.94,,0.02,0.0,,0.0,,0.0,13.33
2013-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1547.0,20513.86,,0.02,0.0,,0.0,,0.0,13.39
2013-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1547.0,20498.54,,0.02,0.0,,0.0,,0.0,13.38
2013-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1547.0,20375.98,,0.02,0.0,,0.0,,0.0,13.3
2013-10-22,100.0,1317.13,0.0,0.01,0.0,0.0,0.0,1317.13,100.0,100.0,1317.13,,,,,,100.0,,,,,,,,,0.0,100.0,,0.0,,,,100.0,3.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0392,13.3
2013-10-23,100.0,1317.13,0.0,0.01,0.0,0.0,0.0,1317.13,100.0,100.0,1317.13,,,,,,,,,,,,,,,,,,0.0,,,,100.0,3.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0392,13.3
2013-10-24,100.0,1331.98,0.0,0.01,0.0,0.0,0.0,1331.98,100.0,100.0,1331.98,,,,,,,,,,,,,,,,,,0.0,,,,100.0,3.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0392,13.45
2013-10-25,100.0,1330.99,0.0,0.01,0.0,0.0,0.0,1330.99,100.0,100.0,1330.99,,,,,,,,,,,,,,,,,,0.0,,,,100.0,3.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0392,13.44
2013-10-28,100.0,1327.03,0.0,0.01,0.0,0.0,0.0,1327.03,100.0,100.0,1327.03,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.4
2013-10-29,100.0,1336.93,0.0,0.01,0.0,0.0,0.0,1336.93,100.0,100.0,1336.93,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.5
2013-10-30,100.0,1345.85,0.0,0.01,0.0,0.0,0.0,1345.85,100.0,100.0,1345.85,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.59
2013-10-31,100.0,1346.84,0.0,0.01,0.0,0.0,0.0,1346.84,100.0,100.0,1346.84,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.6
2013-11-01,100.0,1340.9,0.0,0.02,0.0,0.0,0.0,1340.9,100.0,100.0,1340.9,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.54
2013-11-04,100.0,1336.93,0.0,0.02,0.0,0.0,0.0,1336.93,100.0,100.0,1336.93,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.5
2013-11-05,100.0,1311.19,0.0,0.02,0.0,0.0,0.0,1311.19,100.0,100.0,1311.19,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.24
2013-11-06,100.0,1314.16,0.0,0.02,0.0,0.0,0.0,1314.16,100.0,100.0,1314.16,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.27
2013-11-07,100.0,1333.96,0.0,0.02,0.0,0.0,0.0,1333.96,100.0,100.0,1333.96,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.47
2013-11-08,100.0,1376.55,0.0,0.03,0.0,0.0,0.0,1376.55,100.0,100.0,1376.55,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.9
2013-11-11,100.0,1385.46,0.0,0.02,0.0,0.0,0.0,1385.46,100.0,100.0,1385.46,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.99
2013-11-12,100.0,1384.47,0.0,0.02,0.0,0.0,0.0,1384.47,100.0,100.0,1384.47,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.98
2013-11-13,100.0,1366.64,0.0,0.02,0.0,0.0,0.0,1366.64,100.0,100.0,1366.64,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.8
2013-11-14,100.0,1369.62,0.0,0.02,0.0,0.0,0.0,1369.62,100.0,100.0,1369.62,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.83
2013-11-15,100.0,1367.63,0.0,0.02,0.0,0.0,0.0,1367.63,100.0,100.0,1367.63,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,13.81
2013-11-18,100.0,1435.97,0.0,0.02,0.0,0.0,0.0,1435.97,100.0,100.0,1435.97,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.5
2013-11-19,100.0,1440.92,0.0,0.02,0.0,0.0,0.0,1440.92,100.0,100.0,1440.92,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.55
2013-11-20,100.0,1438.94,0.0,0.02,0.0,0.0,0.0,1438.94,100.0,100.0,1438.94,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.53
2013-11-21,100.0,1421.11,0.0,0.02,0.0,0.0,0.0,1421.11,100.0,100.0,1421.11,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.35
2013-11-22,100.0,1426.06,0.0,0.02,0.0,0.0,0.0,1426.06,100.0,100.0,1426.06,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.4
2013-11-25,100.0,1485.48,0.0,0.02,0.0,0.0,0.0,1485.48,100.0,100.0,1485.48,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,15.0
2013-11-26,100.0,1485.48,0.0,0.02,0.0,0.0,0.0,1485.48,100.0,100.0,1485.48,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,15.0
2013-11-27,100.0,1500.34,0.0,0.01,0.0,0.0,0.0,1500.34,100.0,100.0,1500.34,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,15.15
2013-11-28,100.0,1475.58,0.0,0.01,0.0,0.0,0.0,1475.58,100.0,100.0,1475.58,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.9
2013-11-29,100.0,1484.49,0.0,0.01,0.0,0.0,0.0,1484.49,100.0,100.0,1484.49,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.99
2013-12-02,100.0,1484.49,0.0,0.01,0.0,0.0,0.0,1484.49,100.0,100.0,1484.49,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.99
2013-12-03,100.0,1485.48,0.0,0.01,0.0,0.0,0.0,1485.48,100.0,100.0,1485.48,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,15.0
2013-12-04,100.0,1445.87,0.0,0.01,0.0,0.0,0.0,1445.87,100.0,100.0,1445.87,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.6
2013-12-05,100.0,1471.62,0.0,0.01,0.0,0.0,0.0,1471.62,100.0,100.0,1471.62,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.86
2013-12-06,100.0,1476.57,0.0,0.01,0.0,0.0,0.0,1476.57,100.0,100.0,1476.57,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.91
2013-12-09,100.0,1484.49,0.0,0.01,0.0,0.0,0.0,1484.49,100.0,100.0,1484.49,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.99
2013-12-10,100.0,1482.51,0.0,0.01,0.0,0.0,0.0,1482.51,100.0,100.0,1482.51,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.97
2013-12-11,100.0,1485.48,0.0,0.01,0.0,0.0,0.0,1485.48,100.0,100.0,1485.48,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,15.0
2013-12-12,100.0,1475.58,0.0,0.01,0.0,0.0,0.0,1475.58,100.0,100.0,1475.58,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.9
2013-12-13,100.0,1479.54,0.0,0.01,0.0,0.0,0.0,1479.54,100.0,100.0,1479.54,,,,,,,,,,,,,,,,,,0.0,,,,100.0,2.56,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0256,14.94
2013-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,100.0,,,,,,,100.0,0.0,0.0,,,0.0,0.0,3910.0,57114.35,,0.06,0.0,,0.0,100.0,0.0,14.75
2013-12-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,56494.81,,0.06,0.0,,0.0,,0.0,14.59
2013-12-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,54829.78,,0.06,0.0,,0.0,,0.0,14.16
2013-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,54984.67,,0.06,0.0,,0.0,,0.0,14.2
2013-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,55100.83,,0.06,0.0,,0.0,,0.0,14.23
2013-12-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,55759.1,,0.06,0.0,,0.0,,0.0,14.4
2013-12-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,56533.53,,0.06,0.0,,0.0,,0.0,14.6
2013-12-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,56533.53,,0.06,0.0,,0.0,,0.0,
2013-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,56533.53,,0.06,0.0,,0.0,,0.0,
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,57346.68,,0.06,0.0,,0.0,,0.0,14.81
2013-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,56920.75,,0.06,0.0,,0.0,,0.0,14.7
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,57114.35,,0.06,0.0,,0.0,,0.0,14.75
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,57114.35,,0.06,0.0,,0.0,,0.0,
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,58469.61,,0.06,0.0,,0.0,,0.0,15.1
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,57888.78,,0.06,0.0,,0.0,,0.0,14.95
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,57888.78,,0.06,0.0,,0.0,,0.0,14.95
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,3910.0,57888.78,,0.06,0.0,,0.0,,0.0,14.95
2014-01-08,1000.0,14805.32,0.03,0.04,0.01,0.02,0.0,0.0,1000.0,0.0,14805.32,,,,,,,,,,,,,,,,1000.0,,0.02,,,,100.0,25.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2558,14.95
2014-01-09,1000.0,14557.74,0.03,0.04,0.01,0.01,0.0,0.0,1000.0,0.0,14557.74,,,,,,,,,,,,,,,,,,0.01,,,,100.0,25.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2558,14.7
2014-01-10,1000.0,14557.74,0.03,0.04,0.01,0.01,0.0,0.0,1000.0,0.0,14557.74,,,,,,,,,,,,,,,,,,0.01,,,,100.0,25.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2558,14.7
2014-01-13,1000.0,15231.15,0.03,0.05,0.01,0.02,0.0,0.0,1000.0,0.0,15231.15,,,,,,,,,,,,,,,,,,0.02,,,,100.0,25.58,0.0,0.0,,0.0,100.0,,1.0,100.0,0.2558,15.38
2014-01-14,1300.0,19980.74,0.04,0.06,0.02,0.02,0.0,4610.94,1300.0,300.0,19980.74,,,,,,300.0,,,,,,,,,0.0,300.0,,0.02,,,,100.0,33.25,0.0,0.0,,0.0,100.0,23.75,0.6379,76.25,0.3325,15.52
2014-01-15,300.0,4634.71,0.01,0.01,0.0,0.0,0.0,4634.71,300.0,300.0,4634.71,,,,,,,,0.02,,1000.0,,,,,,,,0.0,,,,100.0,7.67,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0767,15.6
2014-01-16,266.0,4206.91,0.01,0.01,0.0,0.0,0.0,4206.91,266.0,266.0,4206.91,,,,,,,,0.0,,34.0,,,,,,,34.0,0.0,0.0,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,15.97
2014-01-17,266.0,4067.29,0.01,0.01,0.0,0.0,0.0,4067.29,266.0,266.0,4067.29,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,15.44
2014-01-20,266.0,4083.1,0.01,0.01,0.0,0.0,0.0,4083.1,266.0,266.0,4083.1,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,15.5
2014-01-21,266.0,3925.04,0.01,0.01,0.0,0.0,0.0,3925.04,266.0,266.0,3925.04,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.9
2014-01-22,266.0,3946.12,0.01,0.01,0.0,0.0,0.0,3946.12,266.0,266.0,3946.12,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.98
2014-01-23,266.0,3946.12,0.01,0.01,0.0,0.0,0.0,3946.12,266.0,266.0,3946.12,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.98
2014-01-24,266.0,3880.26,0.01,0.01,0.0,0.0,0.0,3880.26,266.0,266.0,3880.26,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.73
2014-01-27,266.0,3861.82,0.01,0.01,0.0,0.0,0.0,3861.82,266.0,266.0,3861.82,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.66
2014-01-28,266.0,3877.63,0.01,0.01,0.0,0.0,0.0,3877.63,266.0,266.0,3877.63,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.72
2014-01-29,266.0,3898.7,0.01,0.01,0.0,0.0,0.0,3898.7,266.0,266.0,3898.7,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.8
2014-01-30,266.0,3898.7,0.01,0.01,0.0,0.0,0.0,3898.7,266.0,266.0,3898.7,,,,,,,,,,,,,,,,,,0.0,,,,100.0,6.8,0.0,0.0,,0.0,100.0,,1.0,100.0,0.068,14.8
2014-01-31,266.0,3867.09,0.01,0.01,0.0,0.0,0.0,3867.09,266.0,266.0,3867.09,,,,,,,,,,,,,,,,,,0.0,,,,100.0,8.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0827,14.68
2014-02-03,266.0,3877.63,0.01,0.03,0.0,0.0,0.0,3877.63,266.0,266.0,3877.63,,,,,,,,,,,,,,,,,,0.0,,,,100.0,8.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0827,14.72
2014-02-04,266.0,3901.33,0.01,0.03,0.0,0.0,0.0,3901.33,266.0,266.0,3901.33,,,,,,,,,,,,,,,,,,0.0,,,,100.0,8.27,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0827,14.81
2014-02-05,266.0,3885.53,0.01,0.03,0.0,0.0,0.0,3885.53,266.0,266.0,3885.53,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,14.75
2014-02-06,266.0,3940.85,0.01,0.03,0.0,0.0,0.0,3940.85,266.0,266.0,3940.85,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,14.96
2014-02-07,266.0,3951.39,0.01,0.04,0.0,0.0,0.0,3951.39,266.0,266.0,3951.39,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.0
2014-02-10,266.0,3998.8,0.01,0.04,0.0,0.0,0.0,3998.8,266.0,266.0,3998.8,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.18
2014-02-11,266.0,4011.97,0.01,0.03,0.0,0.0,0.0,4011.97,266.0,266.0,4011.97,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.23
2014-02-12,266.0,4088.37,0.01,0.03,0.0,0.0,0.0,4088.37,266.0,266.0,4088.37,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.52
2014-02-13,266.0,4125.25,0.01,0.03,0.0,0.0,0.0,4125.25,266.0,266.0,4125.25,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.66
2014-02-14,266.0,4162.13,0.01,0.03,0.0,0.0,0.0,4162.13,266.0,266.0,4162.13,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.8
2014-02-17,266.0,4188.47,0.01,0.03,0.0,0.0,0.0,4188.47,266.0,266.0,4188.47,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,15.9
2014-02-18,266.0,4256.96,0.01,0.03,0.0,0.0,0.0,4256.96,266.0,266.0,4256.96,,,,,,,,,,,,,,,,,,0.0,,,,100.0,10.16,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1016,16.16
2014-02-19,298.0,4819.24,0.01,0.03,0.0,0.0,0.0,2409.62,149.0,149.0,2409.62,,,,,,,,0.0,,117.0,,,,,,,117.0,0.0,0.0,,,100.0,5.69,0.0,0.0,,0.0,100.0,,1.0,100.0,0.1138,16.33
2014-02-20,149.0,2419.95,0.0,0.01,0.0,0.0,0.0,2419.95,149.0,149.0,2419.95,,,,,,,,,,,,,,,,,,0.0,,,,100.0,5.69,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0569,16.4
2014-02-21,149.0,2394.87,0.0,0.01,0.0,0.0,0.0,2394.87,149.0,149.0,2394.87,,,,,,,,,,,,,,,,,,0.0,,,,100.0,5.69,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0569,16.23
2014-02-24,149.0,2362.4,0.0,0.01,0.0,0.0,0.0,2362.4,149.0,149.0,2362.4,,,,,,,,,,,,,,,,700.0,,0.0,,,,100.0,5.69,0.0,0.0,,0.0,100.0,18.51,1.0,100.0,0.0569,16.01
2014-02-25,849.0,13570.25,0.02,0.07,0.01,0.01,0.0,2381.59,849.0,149.0,13570.25,,,,,,,,,,,,,,,,700.0,,0.01,,,,100.0,32.43,0.0,0.0,,0.0,100.0,18.16,0.7028,81.84,0.3243,16.14
2014-02-26,849.0,13645.92,0.02,0.07,0.01,0.01,0.0,2394.87,849.0,149.0,13645.92,,,,,,,,,,,,,,,,,,0.01,,,,100.0,32.43,0.0,0.0,,0.0,100.0,18.27,0.7013,81.73,0.3243,16.23
2014-02-27,849.0,13721.59,0.02,0.07,0.01,0.01,0.0,2408.15,849.0,149.0,13721.59,,,,,,,,,,,,,,,,,,0.01,,,,100.0,32.43,0.0,0.0,,0.0,100.0,18.18,0.7026,81.82,0.3243,16.32
2014-02-28,849.0,13805.66,0.02,0.07,0.01,0.01,0.0,2422.9,849.0,149.0,13805.66,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.97,0.0,0.0,,0.0,100.0,18.04,0.7043,81.96,0.0197,16.42
2014-03-03,849.0,13645.92,0.02,0.07,0.01,0.01,0.0,2394.87,849.0,149.0,13645.92,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.92,0.0,0.0,,0.0,100.0,18.51,0.6984,81.49,0.0192,16.23
2014-03-04,849.0,13452.54,0.02,0.07,0.01,0.01,0.0,2360.93,849.0,149.0,13452.54,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.92,0.0,0.0,,0.0,100.0,18.53,0.698,81.47,0.0192,16.0
2014-03-05,849.0,13259.16,0.02,0.08,0.01,0.01,0.0,2326.99,849.0,149.0,13259.16,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.76,0.0,0.0,,0.0,100.0,18.5,0.6985,81.5,0.0176,15.77
2014-03-06,849.0,13267.56,0.02,0.08,0.01,0.01,0.0,2328.47,849.0,149.0,13267.56,,,,,,,,,,,,,,,,,,0.01,,,,100.0,1.76,0.0,0.0,,0.0,100.0,18.18,0.7025,81.82,0.0176,15.78
2014-03-07,149.0,2310.76,0.0,0.01,0.0,0.0,0.0,2310.76,149.0,149.0,2310.76,,,,,,,,0.01,,700.0,,,,,,,,0.0,,,,100.0,0.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0031,15.66
2014-03-10,149.0,2390.44,0.0,0.01,0.0,0.0,0.0,2390.44,149.0,149.0,2390.44,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.31,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0031,16.2
2014-03-11,149.0,2381.59,0.0,0.01,0.0,0.0,0.0,2381.59,149.0,149.0,2381.59,,,,,,,,,,,,,,,,,,0.0,,,,100.0,0.24,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0024,16.14
