,MLMFI FP Equity_DX_SI_QTY,MLMFI FP Equity_DX_SHORT_INTEREST_VALUE,MLMFI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLMFI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLMFI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLMFI FP Equity_DX_SI_MV,MLMFI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLMFI FP Equity_DX_SUPPLY_SI_QTY,MLMFI FP Equity_DX_BROKER_SI_QTY,MLMFI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLMFI FP Equity_DX_SUPPLY_SI_MV,MLMFI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLMFI FP Equity_DX_UTILIZATION_QUANTITY,MLMFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLMFI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLMFI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLMFI FP Equity_DX_ACTIVE_UTILIZATION_MV,MLMFI FP Equity_DX_BROKER_SI_CON_RATIO,MLMFI FP Equity_DX_DEMAND_SUPPLY_RATIO,MLMFI FP Equity_PX_LAST
2022-11-16,,,,,,,,,,,,,,,,,,,,21.0
2022-11-17,,,,,,,,,,,,,,,,,,,,21.2
2022-11-18,,,,,,,,,,,,,,,,,,,,21.8
2022-11-21,,,,,,,,,,,,,,,,,,,,21.4
2022-11-22,,,,,,,,,,,,,,,,,,,,21.2
2022-11-23,,,,,,,,,,,,,,,,,,,,21.6
2022-11-24,,,,,,,,,,,,,,,,,,,,22.0
2022-11-25,,,,,,,,,,,,,,,,,,,,21.4
2022-11-28,,,,,,,,,,,,,,,,,,,,21.4
2022-11-29,,,,,,,,,,,,,,,,,,,,21.4
2022-11-30,,,,,,,,,,,,,,,,,,,,21.0
2022-12-01,,,,,,,,,,,,,,,,,,,,21.4
2022-12-02,,,,,,,,,,,,,,,,,,,,21.0
2022-12-05,,,,,,,,,,,,,,,,,,,,23.0
2022-12-06,,,,,,,,,,,,,,,,,,,,23.0
2022-12-07,,,,,,,,,,,,,,,,,,,,23.0
2022-12-08,,,,,,,,,,,,,,,,,,,,23.2
2022-12-09,,,,,,,,,,,,,,,,,,,,23.2
2022-12-12,,,,,,,,,,,,,,,,,,,,24.8
2022-12-13,,,,,,,,,,,,,,,,,,,,23.0
2022-12-14,,,,,,,,,,,,,,,,,,,,23.0
2022-12-15,,,,,,,,,,,,,,,,,,,,23.0
2022-12-16,,,,,,,,,,,,,,,,,,,,23.0
2022-12-19,,,,,,,,,,,,,,,,,,,,23.0
2022-12-20,,,,,,,,,,,,,,,,,,,,23.0
2022-12-21,,,,,,,,,,,,,,,,,,,,23.0
2022-12-22,,,,,,,,,,,,,,,,,,,,23.0
2022-12-23,,,,,,,,,,,,,,,,,,,,22.0
2022-12-27,,,,,,,,,,,,,,,,,,,,21.8
2022-12-28,,,,,,,,,,,,,,,,,,,,21.8
2022-12-29,,,,,,,,,,,,,,,,,,,,21.8
2022-12-30,,,,,,,,,,,,,,,,,,,,21.6
2023-01-02,,,,,,,,,,,,,,,,,,,,21.8
2023-01-03,,,,,,,,,,,,,,,,,,,,21.8
2023-01-04,,,,,,,,,,,,,,,,,,,,21.8
2023-01-05,,,,,,,,,,,,,,,,,,,,21.8
2023-01-06,,,,,,,,,,,,,,,,,,,,21.0
2023-01-09,,,,,,,,,,,,,,,,,,,,21.0
2023-01-10,,,,,,,,,,,,,,,,,,,,19.9
2023-01-11,,,,,,,,,,,,,,,,,,,,19.9
2023-01-12,,,,,,,,,,,,,,,,,,,,20.4
2023-01-13,,,,,,,,,,,,,,,,,,,,20.4
2023-01-16,,,,,,,,,,,,,,,,,,,,20.4
2023-01-17,,,,,,,,,,,,,,,,,,,,21.0
2023-01-18,,,,,,,,,,,,,,,,,,,,21.0
2023-01-19,,,,,,,,,,,,,,,,,,,,20.8
2023-01-20,,,,,,,,,,,,,,,,,,,,20.2
2023-01-23,,,,,,,,,,,,,,,,,,,,20.2
2023-01-24,,,,,,,,,,,,,,,,,,,,20.2
2023-01-25,,,,,,,,,,,,,,,,,,,,20.2
2023-01-26,,,,,,,,,,,,,,,,,,,,20.2
2023-01-27,,,,,,,,,,,,,,,,,,,,16.4
2023-01-30,,,,,,,,,,,,,,,,,,,,19.6
2023-01-31,,,,,,,,,,,,,,,,,,,,20.0
