,C1U FP Equity_DX_SI_QTY,C1U FP Equity_DX_SHORT_INTEREST_VALUE,C1U FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,C1U FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,C1U FP Equity_DX_SI_MV,C1U FP Equity_DX_DSS,C1U FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,C1U FP Equity_DX_SUPPLY_SI_QTY,C1U FP Equity_DX_BROKER_SI_QTY,C1U FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,C1U FP Equity_DX_BROKER_SI_MV_INC_x,C1U FP Equity_DX_BROKER_SI_QTY_ADD,C1U FP Equity_DX_SUPPLY_SI_MV_DEC,C1U FP Equity_DX_BROKER_SI_QTY_INC,C1U FP Equity_DX_SUPPLY_SI_QTY_DEC,C1U FP Equity_DX_BROKER_SI_MV_INC_y,C1U FP Equity_DX_BROKER_SI_MV_ADD,C1U FP Equity_DX_SUPPLY_SI_QTY_ADD,C1U FP Equity_DX_BROKER_SI_QTY_DEC,C1U FP Equity_DX_SUPPLY_SI_MV,C1U FP Equity_DX_BROKER_SI_MV_DEC,C1U FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,C1U FP Equity_DX_UTILIZATION_QUANTITY,C1U FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,C1U FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,C1U FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,C1U FP Equity_DX_ACTIVE_UTILIZATION_MV,C1U FP Equity_DX_BROKER_SI_MARKET_SHARE_2,C1U FP Equity_DX_BROKER_SI_CON_RATIO,C1U FP Equity_DX_BROKER_SI_MARKET_SHARE_1,C1U FP Equity_DX_DEMAND_SUPPLY_RATIO,C1U FP Equity_PX_LAST
2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.6
2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.18
2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.42
2013-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.04
2013-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.91
2013-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.02
2013-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530.58
2013-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.35
2013-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.21
2013-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.9
2013-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529.53
2013-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.6
2013-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.98
2013-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.43
2013-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.26
2013-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.76
2013-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.93
2013-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517.0
2013-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.11
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.5
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.31
2013-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.61
2013-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.89
2013-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.59
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.25
2013-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532.56
2013-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.23
2013-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.21
2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.7
2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.25
2013-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.0
2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.11
2013-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.55
2013-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.2
2013-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.54
2013-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.54
2013-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.46
2013-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.91
2013-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.0
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.99
2013-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.67
2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.96
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.68
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.91
2013-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.62
2013-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.86
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.71
2013-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.05
2013-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.68
2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.74
2013-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.11
2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.58
2013-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.27
2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.94
2013-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.55
2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542.69
2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.95
2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,537.03
2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.49
2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.62
2013-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541.05
2013-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.51
2013-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.58
2013-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.33
2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.33
2013-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.29
2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.2
2013-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549.64
2013-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.59
2013-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.13
2013-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.37
2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.8
2013-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.13
2013-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.53
2013-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.18
2013-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.76
2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.08
2013-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.43
2013-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563.29
2013-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560.36
2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.91
2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.72
2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.19
2013-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.14
2013-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.63
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554.56
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.09
2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.14
2013-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,548.5
2013-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.34
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.9
2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.54
2013-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.18
2013-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.71
2013-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.59
2013-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.2
2013-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.42
2013-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.64
2013-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558.4
2013-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.77
2013-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.16
2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.9
2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.54
2013-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.02
2013-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.67
2013-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.41
2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.07
2013-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.14
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.04
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.95
2013-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.45
2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.29
2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.11
2013-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.79
2013-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.57
2013-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.34
2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.6
2013-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.99
2013-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.84
2013-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.63
2013-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.79
2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.63
2013-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578.32
2013-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.53
2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.76
2013-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.22
2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.64
2013-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.55
2013-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.48
2013-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.82
2013-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.26
2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.3
2013-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.28
2013-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.93
2013-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564.35
2013-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565.01
2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.4
2013-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.39
2013-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.1
2013-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551.0
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.43
2013-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.88
2013-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557.28
2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.63
2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569.74
2013-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.04
2013-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.41
2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.01
2014-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.3
2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.51
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.89
2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.28
2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.04
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.55
2014-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.8
2014-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.83
2014-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.12
2014-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.17
2014-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.54
2014-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.54
2014-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.22
2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.44
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.38
2014-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.71
2014-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.84
2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,573.24
2014-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.68
2014-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.57
2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574.52
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.9
2014-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.83
2014-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562.31
2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.81
2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.33
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,571.21
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572.63
2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.7
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.08
2014-02-13,1300.0,762073.0,6.16,3.36,0.77,,762073.0,0.0,1300.0,0.0,,1300.0,,,,,0.77,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,586.21
2014-02-14,1300.0,765973.0,6.18,3.36,0.76,,765973.0,0.0,1300.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,589.21
2014-02-17,1300.0,772694.0,6.95,3.36,0.77,,772694.0,0.0,1300.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,594.38
2014-02-18,1300.0,776217.0,6.98,3.36,0.77,,776217.0,0.0,1300.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,597.09
2014-02-19,1300.0,778193.0,5.94,4.3,0.78,,778193.0,0.0,1300.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,598.61
2014-02-20,1300.0,780299.0,4.75,4.3,0.78,,780299.0,0.0,1300.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,600.23
2014-02-21,600.0,360588.0,2.2,1.98,0.36,,360588.0,0.0,600.0,0.0,,,,,,,,,700.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,600.98
2014-02-24,600.0,361554.0,2.2,1.98,0.36,,361554.0,0.0,600.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,602.59
2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.01
2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.2
2014-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.89
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.48
2014-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.77
2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.97
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.17
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.43
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.52
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.03
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.28
2014-03-12,200.0,115130.0,0.93,0.73,0.12,,115130.0,0.0,200.0,0.0,,200.0,,,,,0.12,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,575.65
2014-03-13,200.0,114376.0,0.92,0.73,0.12,,114376.0,0.0,200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,571.88
2014-03-14,200.0,113448.0,0.92,0.73,0.11,,113448.0,0.0,200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,567.24
2014-03-17,200.0,114278.0,0.93,0.73,0.11,,114278.0,0.0,200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,571.39
2014-03-18,200.0,114482.0,0.92,0.73,0.11,,114482.0,0.0,200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,572.41
2014-03-19,200.0,114416.0,0.87,0.73,0.11,,114416.0,0.0,200.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,572.08
2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.51
2014-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570.58
2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567.57
2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.07
2014-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.63
2014-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.44
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.99
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.42
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.09
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.26
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.04
2014-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.06
2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.2
2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,582.46
2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586.21
2014-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.05
2014-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575.81
2014-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581.2
2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577.44
2014-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,583.83
2014-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.27
2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.06
2014-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.44
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.26
2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592.88
2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,593.81
2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.07
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603.25
2014-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.38
2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.82
2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.45
2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605.69
2014-05-08,700.0,427987.0,2.66,3.05,0.42,,427987.0,0.0,700.0,0.0,,700.0,,,,,0.42,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,611.41
2014-05-09,1700.0,1037357.0,7.13,7.4,1.04,,1037357.0,0.0,1700.0,0.0,0.61,,,1000.0,,0.61,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,610.21
2014-05-12,1700.0,1044786.0,7.13,7.4,1.04,,1044786.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,614.58
2014-05-13,1700.0,1049920.0,7.13,7.4,1.05,,1049920.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,617.6
2014-05-14,1700.0,1048594.0,7.13,7.4,1.05,,1048594.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,616.82
2014-05-15,1700.0,1043324.0,7.11,7.4,1.05,,1043324.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,613.72
2014-05-16,1700.0,1048526.0,7.3,7.4,1.04,,1048526.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,616.78
2014-05-19,1700.0,1046214.0,7.27,7.4,1.05,,1046214.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,615.42
2014-05-20,1700.0,1042627.0,7.26,8.97,1.05,,1042627.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,613.31
2014-05-21,1700.0,1050668.0,7.44,8.97,1.04,,1050668.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,618.04
2014-05-22,1700.0,1050209.0,7.07,8.97,1.05,,1050209.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,617.77
2014-05-23,1700.0,1049461.0,7.07,8.97,1.05,,1049461.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,617.33
2014-05-26,1700.0,1055989.0,6.72,8.97,1.05,,1055989.0,0.0,1700.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,621.17
2014-05-27,1000.0,619450.0,3.75,5.27,0.62,,619450.0,0.0,1000.0,0.0,,,,,,,,,700.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,619.45
2014-05-28,1000.0,617410.0,3.92,5.27,0.62,,617410.0,0.0,1000.0,0.0,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,617.41
2014-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.91
2014-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.46
2014-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.5
2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.24
2014-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615.46
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.9
2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619.92
2014-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.42
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.13
2014-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.5
2014-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.09
2014-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623.9
2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.05
2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.58
2014-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.92
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626.15
2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628.4
