,MMB FP Equity_DX_SI_QTY,MMB FP Equity_DX_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MMB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MMB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MMB FP Equity_DX_SI_MV,MMB FP Equity_DX_DSS,MMB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY,MMB FP Equity_DX_BROKER_SI_QTY,MMB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MMB FP Equity_DX_BROKER_SI_MV_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_x,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_x,MMB FP Equity_DX_BROKER_SI_MV_INC_x,MMB FP Equity_DX_SUPPLY_SI_MV_NEW,MMB FP Equity_DX_BROKER_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_NEW,MMB FP Equity_DX_SUPPLY_SI_MV_DEC,MMB FP Equity_DX_BROKER_SI_QTY_INC,MMB FP Equity_DX_SUPPLY_SI_QTY_DEC,MMB FP Equity_DX_BROKER_SI_MV_NEW_y,MMB FP Equity_DX_SUPPLY_SI_QTY_NEW_y,MMB FP Equity_DX_BROKER_SI_MV_INC_y,MMB FP Equity_DX_SUPPLY_SI_QTY_INC_y,MMB FP Equity_DX_BROKER_SI_MV_ADD,MMB FP Equity_DX_SUPPLY_SI_QTY_ADD,MMB FP Equity_DX_BROKER_SI_QTY_DEC,MMB FP Equity_DX_SUPPLY_SI_MV,MMB FP Equity_DX_BROKER_SI_MV_DEC,MMB FP Equity_DX_SUPPLY_SI_MV_RMV,MMB FP Equity_DX_BROKER_SI_MV_RMV,MMB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MMB FP Equity_DX_UTILIZATION_QUANTITY,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MMB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MMB FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,MMB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MMB FP Equity_DX_ACTIVE_UTILIZATION_MV,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,MMB FP Equity_DX_BROKER_SI_CON_RATIO,MMB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,MMB FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-12-20,8468576.0,153130787.89,6.98,14.64,6.31,468.0,2.0,120068504.71,4494346.0,6640136.0,81267824.02,,7523.0,63491.0,14.9,0.39,,,3.04,290715.0,57751.0,,7523.0,14.9,63491.0,,18107.0,101470.0,236.64,6.98,,,17.39,17.39,21345198.0,385968902.85,,1118.98,17.46,14.63,0.1102,20.13,0.3277
2007-12-21,8580559.0,155273612.76,7.07,14.97,6.4,475.4,2.0,120912045.54,4438364.0,6681708.0,80316540.34,,69754.0,18333.0,5.57,3.66,,,7.58,104000.0,144700.0,,69754.0,5.57,18333.0,,631.0,62428.0,234.9,2.44,,,16.29,16.29,22806706.0,412709665.63,,1200.44,16.37,14.31,0.1122,20.95,0.3149
2007-12-24,8760129.0,159275543.14,7.22,15.08,6.53,483.71,2.0,125105060.4,4420222.0,6880758.0,80367910.09,,,1338.0,9.32,,20000.0,,1.02,179050.0,19480.0,,,9.32,1338.0,1.05,,,233.67,,,,17.0,17.0,21583208.0,392423122.63,,1137.29,17.04,14.13,0.1125,20.97,0.3369
2007-12-25,8697509.0,158136994.32,7.17,15.2,6.48,480.96,2.0,125105060.4,4357602.0,6880758.0,79229361.27,,,,,,,,,,,,,,,,,,231.51,,3.31,,17.54,17.54,20480072.0,372366045.21,62620.0,1081.72,17.63,14.23,0.1128,21.11,0.3502
2007-12-26,8720009.0,158546086.44,7.19,15.24,6.5,482.62,2.0,124375603.7,4665222.0,6840638.0,84822468.7,,62620.0,127100.0,1.96,3.29,,,,30337.0,,,62620.0,1.96,127100.0,,117900.0,70457.0,247.33,3.84,,,17.87,17.87,21437470.0,389773332.99,,1131.51,17.94,14.22,0.1111,20.38,0.3341
2007-12-27,7820009.0,138071686.05,6.45,13.67,5.83,424.78,2.0,108243804.48,3282625.0,6130638.0,57958701.64,,,1581.0,,,,,72.95,,1384178.0,,,,1581.0,,,710000.0,172.67,47.36,,,12.55,12.55,22864408.0,403698686.67,,1187.33,12.7,15.86,0.1245,22.73,0.2991
2007-12-28,7708697.0,134172934.59,6.36,13.54,5.75,412.77,2.0,104768761.01,2714625.0,6019326.0,47249126.87,,,,0.19,,,,29.22,4900.0,568000.0,,,0.19,,,,116212.0,140.17,6.62,,,10.56,10.56,22993248.0,400206618.56,,1169.35,10.7,15.84,0.1244,22.57,0.2999
2007-12-31,7907655.0,139347496.33,6.52,13.95,5.9,421.05,2.0,109577656.95,2714625.0,6218284.0,47836709.77,,,,9.47,,,,,206346.0,,,,9.47,,,,7388.0,140.5,0.86,,,10.48,10.48,23184776.0,408558604.11,,1184.92,10.6,15.83,0.1291,24.11,0.3053
2008-01-01,7907655.0,139347496.33,6.52,14.35,5.9,421.35,2.0,109577656.95,2714625.0,6218284.0,47836709.77,,139589.0,,,7.16,,,,,,,139589.0,,,,,,140.94,,7.21,,10.16,10.16,24014988.0,423188473.98,139589.0,1229.86,10.28,15.84,0.1291,24.1,0.2958
2008-01-02,7550160.0,130739087.43,6.22,13.71,5.63,402.1,2.0,101625754.69,2733876.0,5868870.0,47339983.97,,,28907.0,0.32,,,,0.46,5700.0,8934.0,,,0.32,28907.0,,,355114.0,140.68,19.0,0.04,,10.29,10.29,23834562.0,412720907.26,722.0,1206.87,10.44,16.75,0.1322,23.86,0.2842
2008-01-03,7605298.0,130648671.44,6.27,13.85,5.67,401.01,2.0,101087187.86,2773414.0,5884470.0,47643478.86,,,,2.39,,,,0.02,45000.0,462.0,,,2.39,,,40000.0,29400.0,141.21,1.65,,,10.46,10.46,23728702.0,407626813.74,,1189.29,10.61,16.6,0.1319,24.0,0.287
2008-01-04,8042591.0,137967345.1,6.63,14.73,6.0,420.51,2.0,108351885.23,3248748.0,6316204.0,55730937.51,,,92532.0,21.22,,,,0.23,431734.0,4422.0,,,21.22,92532.0,,387224.0,,164.21,,,,11.81,11.81,24268394.0,416314330.78,,1212.39,11.93,15.69,0.1287,24.36,0.2923
2008-01-07,7875524.0,138645997.94,6.49,14.21,5.87,412.07,2.0,108389063.55,3241049.0,6156836.0,57057596.8,,,,,,,,0.41,,8161.0,,,,,,462.0,159368.0,165.37,9.01,,,12.37,12.37,22956552.0,404142513.09,,1168.11,12.4,16.04,0.1321,24.84,0.3006
2008-01-08,7429223.0,135638726.11,6.12,12.9,5.54,395.01,2.0,104316468.69,3237948.0,5713636.0,59116699.27,,,,0.3,,,,0.0,4400.0,3268.0,,,0.3,,,167.0,447600.0,169.22,22.39,,,12.19,12.19,23320052.0,425764867.48,,1225.21,12.14,17.14,0.1334,25.56,0.2797
2008-01-09,7532764.0,131706002.93,6.21,12.37,5.62,404.36,2.0,99707330.39,3352486.0,5702639.0,58616270.33,,,115000.0,7.5,,,,0.02,150000.0,462.0,,,7.5,115000.0,,,160997.0,177.55,11.1,,,12.94,12.94,22564804.0,394532490.58,,1164.08,13.23,17.64,0.125,22.57,0.2906
2008-01-10,7181230.0,123783197.0,5.92,11.52,5.35,378.36,2.0,92426406.22,3341512.0,5362079.0,57597798.45,,,18000.0,0.35,,,,2.13,12700.0,35205.0,,,0.35,18000.0,,6231.0,353260.0,170.46,18.39,,,12.85,12.85,22670460.0,390771778.12,,1141.51,12.99,18.06,0.1233,21.88,0.2761
2008-01-11,7103044.0,123411666.31,5.86,11.48,5.3,371.64,2.0,91804871.23,3020012.0,5283893.0,52471125.51,,,6483.0,,,,,16.48,,327983.0,,,,6483.0,,,78186.0,153.77,4.49,,,13.02,13.02,20181060.0,350635339.23,,1017.39,13.13,18.36,0.1226,21.28,0.3062
2008-01-14,6946044.0,121638462.28,5.73,11.41,5.18,361.41,2.0,89781662.89,3027512.0,5126893.0,53017502.37,,,7500.0,,,,,,,,,,,7500.0,,,157000.0,154.97,8.66,,,12.03,12.03,22138580.0,387688708.61,,1125.16,12.11,18.83,0.1274,21.93,0.276
2008-01-15,6783644.0,114436165.78,5.59,11.26,5.06,355.53,2.0,83748136.54,2812412.0,4964493.0,47443770.03,,,4058.0,0.16,,,,11.08,2800.0,219158.0,,,0.16,4058.0,,,165200.0,144.07,8.33,,,11.21,11.21,22266972.0,375630988.19,,1108.58,11.5,19.34,0.1299,21.63,0.2705
2008-01-16,6783644.0,114039950.95,5.59,11.35,5.06,349.11,2.0,83458173.54,2812412.0,4964493.0,47279504.43,,,,,,,,,,,,,,,,,,141.2,,,,10.75,10.75,23346736.0,392482363.21,,1146.35,10.97,18.99,0.1298,21.9,0.2593
2008-01-17,6740725.0,113063686.67,5.56,11.35,5.03,344.33,2.0,83379576.38,2823219.0,4970993.0,47354483.15,,,50400.0,0.0,,,,2.49,6500.0,50093.0,,,0.0,50400.0,,10500.0,,140.94,,,,10.32,10.32,24532732.0,411492995.79,,1199.94,10.51,18.9,0.1308,22.2,0.2464
2008-01-18,7228267.0,119726441.72,5.96,12.13,5.39,367.05,2.0,89594672.07,2849874.0,5409116.0,47204298.54,,,,27.47,,,,1.15,568299.0,23438.0,,,27.47,,,50093.0,130176.0,141.6,6.63,,,11.22,11.22,22539058.0,373328934.04,,1094.98,11.45,17.89,0.1511,28.57,0.2847
2008-01-21,7258653.0,113172076.55,5.98,12.04,5.41,367.42,2.0,85033228.41,2835498.0,5453878.0,44209193.73,,,624.0,3.2,,,,1.32,68200.0,15000.0,,,3.2,624.0,,,23438.0,137.82,1.02,,,11.14,11.14,22610902.0,352534104.05,,1050.38,11.6,17.95,0.155,29.39,0.2853
2008-01-22,6101584.0,97479727.19,5.03,9.68,4.55,300.3,1.0,68852347.24,2824026.0,4309700.0,45117019.46,,,5068.0,0.0,,,,1.28,850.0,21540.0,,,0.0,5068.0,,5000.0,1145028.0,131.86,56.83,,,11.05,11.05,22729576.0,363130765.33,,1044.99,11.2,13.06,0.1802,35.95,0.2387
2008-01-23,5730724.0,87754800.74,4.72,8.47,4.27,280.41,1.0,61827758.27,2670277.0,4037589.0,40890056.14,,,1553.0,0.67,,,,8.5,15000.0,189179.0,,,0.67,1553.0,,33877.0,287111.0,125.84,18.23,,,10.52,10.51,22723200.0,347961250.32,,1031.41,10.87,14.37,0.1859,36.09,0.2256
2008-01-24,7252952.0,117070257.45,5.98,10.51,5.41,343.8,2.0,89741281.56,3014082.0,5559817.0,48650446.84,,,,15.25,,1171528.0,,0.71,350700.0,6195.0,,,15.25,,52.22,350000.0,,140.17,,,,11.82,11.82,22475606.0,362779869.59,,1033.8,11.94,18.27,0.1807,33.62,0.2845
2008-01-25,7261952.0,118463031.44,5.99,10.35,5.41,355.62,2.0,90843197.99,2998082.0,5568817.0,48907219.74,,,,1.34,,,,0.65,25000.0,16000.0,,,1.34,,,,16000.0,144.65,0.0,,,11.75,11.75,22520802.0,367378147.82,,1064.65,11.96,18.65,0.1779,33.04,0.2846
2008-01-28,7882709.0,128291427.25,6.5,11.07,5.88,383.59,2.0,100733922.41,2975305.0,6189472.0,48423216.56,,,2099.0,29.36,,,,1.16,647531.0,24876.0,,,29.36,2099.0,,,26876.0,143.61,2.1,,,11.64,11.64,22578024.0,367458309.51,,1068.85,11.84,17.4,0.2071,38.5,0.3085
2008-01-29,7807726.0,134045633.38,6.44,11.05,5.82,381.36,2.0,105011322.61,2869103.0,6116571.0,49257713.3,,,3181.0,,,,,5.1,,109383.0,,,,3181.0,,,72901.0,141.8,3.32,,,10.96,10.96,23307944.0,400158524.55,,1141.91,11.05,17.49,0.2061,38.29,0.2983
2008-01-30,8307073.0,138936819.89,6.85,11.16,6.19,415.3,2.0,106056833.17,3091124.0,6341169.0,51699429.93,,,79071.0,,,316598.0,,2.39,,53648.0,,,,79071.0,17.67,196598.0,92000.0,155.07,4.89,,,11.97,11.97,22740626.0,380339772.96,,1116.29,12.2,17.09,0.1857,35.85,0.3216
2008-01-31,6179749.0,104100181.52,5.09,8.21,4.61,311.0,1.0,60708115.93,3060137.0,3603845.0,51549151.46,,,2959.0,,,,,1.81,,33946.0,,,,2959.0,,,2737324.0,151.47,134.0,,,11.93,11.93,22580888.0,380383497.74,,1102.46,12.08,13.47,0.1225,23.12,0.241
2008-02-01,8025756.0,137347655.82,6.62,10.58,5.98,398.45,2.0,103631169.64,3078818.0,6055571.0,52688922.39,,,1369.0,1.65,,2737324.0,,,31000.0,,,,1.65,1369.0,133.24,17312.0,316598.0,154.24,17.68,,,11.69,11.69,23268368.0,398199970.15,,1147.53,11.85,17.7,0.1989,37.21,0.3046
2008-02-04,8046830.0,137293602.01,6.63,10.56,6.0,403.15,2.0,103677968.65,3062199.0,6076605.0,52246702.22,,,857.0,12.95,,,,0.81,248000.0,17476.0,,,12.95,857.0,,,226966.0,154.47,10.23,,,11.57,11.57,23415848.0,399517091.34,,1161.38,11.74,17.56,0.2193,40.18,0.3039
2008-02-05,8617039.0,142048633.38,7.1,11.28,6.42,432.74,2.0,109659152.92,3031085.0,6652209.0,49966291.43,,,786.0,29.19,,,,1.62,575604.0,31900.0,,,29.19,786.0,,,,152.65,,,,11.65,11.65,22977664.0,378778112.69,,1121.91,11.98,16.47,0.2428,43.83,0.3313
2008-02-06,8652420.0,145099246.72,7.13,11.19,6.45,426.47,2.0,112149464.7,3276085.0,6687590.0,54939250.03,,,153117.0,1.83,,,,4.56,35381.0,87890.0,,,1.83,153117.0,,179773.0,,161.2,,,,12.73,12.73,22457940.0,376614886.58,,1087.0,12.91,16.12,0.2427,43.94,0.3362
2008-02-07,8797867.0,141372038.36,7.25,11.32,6.56,436.09,2.0,109168036.02,3335375.0,6793747.0,53595804.81,,,20000.0,5.75,,,,,106157.0,,,,5.75,20000.0,,39290.0,,163.42,,,,12.79,12.79,22752608.0,365609365.44,,1094.3,12.99,15.82,0.243,44.07,0.3372
2008-02-08,10222172.0,168965212.46,8.43,12.8,7.62,494.89,2.0,132849613.44,3516201.0,8037226.0,58120294.69,,7555.0,126193.0,7.81,0.36,1028000.0,,0.61,215479.0,10422.0,,7555.0,7.81,126193.0,48.08,57500.0,,168.5,,,,13.55,13.54,22440368.0,370923278.03,,1067.01,13.64,13.74,0.2017,39.43,0.3938
2008-02-11,10502632.0,171941143.7,8.66,12.87,7.83,514.5,2.0,136418721.77,3523561.0,8332826.0,57685074.39,,,50049.0,15.64,,,,2.0,295600.0,42689.0,,,15.64,50049.0,,,,171.41,,,,13.35,13.34,22879968.0,374573522.69,,1095.47,13.53,13.27,0.2098,40.72,0.3977
2008-02-12,10498634.0,175951652.25,8.66,12.68,7.83,511.8,2.0,139670628.22,3553546.0,8333828.0,59555585.05,,,28931.0,0.0,,,,0.39,1002.0,11831.0,,,0.0,28931.0,,12885.0,,173.37,,,,13.61,13.61,22551452.0,377950621.02,,1086.69,13.76,13.33,0.2106,40.81,0.4021
2008-02-13,10264970.0,177819458.53,8.46,12.07,7.65,507.39,2.0,141054047.71,3511094.0,8142616.0,60822470.39,,,12218.0,3.5,,,,2.5,74788.0,54244.0,,,3.5,12218.0,,,266000.0,176.38,11.47,0.02,,13.3,13.3,22886382.0,396459420.23,426.0,1140.08,13.4,13.53,0.2064,40.2,0.3889
2008-02-14,10030107.0,169443351.12,8.27,11.41,7.48,501.91,2.0,138007028.8,3511094.0,8169251.0,59314574.96,,,822.0,5.78,,,,0.03,93838.0,1843.0,,,5.78,822.0,,1021.0,67203.0,177.06,2.2,,,13.36,13.36,22775098.0,384750524.32,,1131.22,13.53,13.72,0.2098,40.63,0.3816
2008-02-15,9953425.0,169242238.06,8.21,11.39,7.42,494.74,2.0,137601463.13,3511086.0,8092577.0,59700460.16,,,34881.0,1.76,,142768.0,,2.78,30558.0,53397.0,,,1.76,34881.0,7.2,18508.0,250000.0,175.79,13.41,,,13.35,13.35,22794692.0,387587658.52,,1123.13,13.53,14.24,0.213,41.21,0.3784
2008-02-18,10130241.0,172457542.79,8.35,11.8,7.55,504.31,2.0,142061389.75,3435723.0,8344756.0,58489856.88,,,,12.37,,,,3.71,252179.0,75363.0,,,12.37,,,,,172.5,,,,13.13,13.13,22724752.0,386866895.9,,1126.15,13.28,13.8,0.209,40.48,0.3872
2008-02-19,10183085.0,178745052.29,8.4,12.34,7.59,507.72,2.0,147174021.16,3448836.0,8384487.0,60537879.35,,,,2.3,,,,,45975.0,,,,2.3,,,14638.0,6244.0,175.03,0.48,0.08,,13.15,13.15,22783922.0,399929228.64,1525.0,1149.99,13.21,13.96,0.2064,40.08,0.3882
2008-02-20,10114003.0,176211986.15,8.34,12.49,7.54,513.93,2.0,144597014.55,3464836.0,8299405.0,60366368.61,,,26769.0,1.43,,,,0.57,12461.0,14685.0,,,1.43,26769.0,,3916.0,97543.0,178.29,3.33,,,13.24,13.24,22698646.0,395468885.53,,1152.0,13.4,14.24,0.1995,39.0,0.3866
2008-02-21,10073246.0,179793401.79,8.3,12.48,7.51,509.64,2.0,147790279.58,3480735.0,8280214.0,62126268.57,,,5213.0,0.78,,,,1.79,20750.0,35043.0,,,0.78,5213.0,,54621.0,39941.0,179.62,1.6,0.45,,13.31,13.31,22676296.0,404740279.14,8892.0,1165.25,13.36,14.33,0.2011,39.19,0.3851
2008-02-22,10090356.0,179336101.66,8.32,12.34,7.52,518.37,2.0,147697601.82,3467845.0,8310214.0,61634079.46,,,,2.59,,,,0.7,30000.0,13881.0,,,2.59,,,991.0,,181.12,,,,13.18,13.18,22834432.0,405836822.66,,1181.41,13.29,14.55,0.1992,38.84,0.3836
2008-02-25,9109181.0,165402885.21,7.51,11.02,6.79,470.07,2.0,133169937.08,3223025.0,7334026.0,58523113.56,,,5659.0,3.59,,,,13.2,74680.0,261905.0,,,3.59,5659.0,,11426.0,1050868.0,169.71,52.05,,,12.47,12.47,22618848.0,410709010.98,,1185.95,12.52,16.06,0.1762,34.92,0.3525
2008-02-26,9138835.0,169081192.27,7.53,10.92,6.81,474.89,2.0,136245749.74,3239148.0,7364080.0,59928755.23,,,,2.34,,,,0.2,41828.0,3766.0,,,2.34,,,29662.0,11774.0,172.98,0.21,0.51,,12.49,12.49,22685320.0,419710056.33,9773.0,1210.75,12.5,15.92,0.1739,34.55,0.3525
2008-02-27,9218190.0,169915946.59,7.6,10.92,6.87,481.22,2.0,136403472.62,3226116.0,7400089.0,59465963.92,,,14868.0,4.07,,,,2.15,61209.0,39598.0,,,4.07,14868.0,,11698.0,25200.0,172.44,0.85,,,12.41,12.41,22771278.0,419735680.91,,1218.48,12.4,15.54,0.1709,34.32,0.3546
2008-02-28,8899200.0,159052343.59,7.34,10.38,6.63,469.01,2.0,125091204.51,3279610.0,6999027.0,58615342.57,,1369.0,80000.0,,0.07,,,1.69,,30074.0,,1369.0,,80000.0,,2199.0,401062.0,174.85,17.64,,,12.68,12.68,22590846.0,403758427.73,,1187.37,12.84,15.85,0.1802,35.38,0.344
2008-02-29,9063050.0,162541265.46,7.47,10.64,6.76,471.78,2.0,127950673.5,3316949.0,7134332.0,59487820.1,,,,8.51,,,,0.09,156305.0,1770.0,,,8.51,,,39109.0,21000.0,174.32,1.21,,,12.64,12.64,22929576.0,411230468.72,,1195.05,12.73,15.4,0.1878,36.78,0.3453
2008-03-03,8408458.0,149588140.29,6.93,9.82,6.27,438.27,2.0,117525434.1,3267587.0,6606190.0,58131022.67,,,7258.0,0.72,,2000.0,,3.04,10000.0,57220.0,,,0.72,7258.0,0.1,600.0,540142.0,171.6,26.97,,,12.91,12.91,22052256.0,392314020.52,,1145.07,13.03,15.82,0.1685,33.28,0.3321
2008-03-04,8363544.0,147007549.91,6.9,9.95,6.24,433.79,2.0,114512311.45,3314036.0,6514827.0,58251419.81,,,46462.0,0.07,,,,0.02,5500.0,414.0,,,0.07,46462.0,,401.0,96863.0,172.65,5.25,,,12.95,12.95,22282346.0,391660890.6,,1145.65,13.1,15.86,0.169,33.39,0.3267
2008-03-05,8393323.0,150068652.15,6.92,10.57,6.26,432.78,2.0,117021634.79,3384135.0,6545007.0,60506735.91,,,9927.0,1.49,,,,1.36,30180.0,25689.0,,,1.49,9927.0,,85861.0,,175.54,,,,13.56,13.56,21567100.0,385609564.63,,1115.56,13.6,15.7,0.1709,33.79,0.3364
2008-03-06,8392417.0,145669676.03,6.92,10.67,6.26,434.8,2.0,113587905.91,3384135.0,6544101.0,58739436.93,,,200.0,1.59,,600.0,,0.01,26545.0,200.0,,,1.59,200.0,0.03,,28051.0,174.53,1.43,,,13.58,13.58,21536052.0,373807654.91,,1102.36,13.67,15.89,0.1726,34.03,0.3368
2008-03-07,8403680.0,143641968.94,6.93,10.84,6.27,430.42,2.0,110339898.14,3486423.0,6455364.0,59592543.3,,,101125.0,1.86,,,,0.44,48286.0,8610.0,,,1.86,101125.0,,9773.0,137023.0,177.24,8.41,,,13.96,13.96,21496836.0,367439960.7,,1077.43,14.13,15.72,0.1767,34.8,0.3364
2008-03-10,8707386.0,150777692.07,7.18,11.32,6.49,441.06,2.0,117040518.83,3486423.0,6759070.0,60371139.34,,,,15.49,,,,,324955.0,,,,15.49,,,,21249.0,176.4,1.52,,,13.96,13.96,21494252.0,372195939.08,,1076.89,14.07,16.01,0.1715,33.83,0.3486
2008-03-11,8832774.0,146211883.53,7.28,11.43,6.59,450.29,2.0,113965718.45,3383323.0,6884758.0,56005285.36,,,,7.13,,,,5.37,137934.0,103100.0,,,7.13,,,,12246.0,170.32,0.3,,,13.48,13.48,21707924.0,359338578.74,,1068.68,13.75,15.89,0.1717,33.99,0.352
2008-03-12,8886584.0,146949959.16,7.33,11.71,6.63,439.91,2.0,113868134.41,3531682.0,6886009.0,58400452.38,,,264800.0,0.18,,,,8.19,1251.0,170000.0,,,0.18,264800.0,,53559.0,,171.59,,,,14.03,14.03,21633528.0,357735442.12,,1037.68,14.19,15.48,0.172,34.22,0.3531
2008-03-13,8679057.0,141878221.56,7.16,11.28,6.47,427.21,2.0,108820714.96,3548595.0,6656844.0,58009568.05,,,7523.0,1.11,,,,1.53,36083.0,31291.0,,,1.11,7523.0,,40681.0,265248.0,172.19,14.66,,,14.03,14.03,21742676.0,355431725.24,,1037.8,14.23,16.22,0.1682,33.32,0.3432
2008-03-14,8590095.0,137147974.17,7.08,10.88,6.4,419.92,2.0,105967447.67,3526215.0,6637141.0,56298940.08,,,,0.0,,,,1.12,8904.0,22380.0,,,0.0,,,,28607.0,168.75,1.57,,,13.92,13.92,21806968.0,348166287.33,,1025.33,14.13,16.33,0.1717,33.82,0.3391
2008-03-17,8624950.0,134711531.99,7.11,10.71,6.43,415.28,2.0,104508578.49,3495581.0,6691196.0,54596846.56,,,394.0,4.56,,,,1.46,114035.0,31028.0,,,4.56,394.0,,,59980.0,163.85,3.12,,,16.59,16.59,17580728.0,274590206.6,,804.43,16.92,16.12,0.1711,33.77,0.4092
2008-03-18,8646750.0,138676383.6,7.13,10.5,6.45,414.94,2.0,107354950.91,3616466.0,6693796.0,58000801.03,,,86408.0,,,2600.0,,,,,,,,86408.0,0.12,34477.0,,170.41,,,,15.43,15.43,19828616.0,318010901.05,,916.59,15.68,15.87,0.1735,34.29,0.3688
2008-03-19,8592864.0,135420819.0,7.08,10.49,6.41,416.01,2.0,102656846.27,3616466.0,6513890.0,56994360.39,,,,4.46,,,,,130371.0,,,,4.46,,,,22222.0,171.41,1.02,,13.74,15.99,15.99,19007124.0,299546262.92,,879.48,16.31,16.22,0.1821,35.4,0.3798
2008-03-20,8693799.0,137131000.79,7.17,10.71,6.48,418.02,2.0,106326224.13,3611576.0,6740845.0,56966929.11,11.92,,,0.1,,,256055.0,0.31,2200.0,4890.0,11.92,,0.1,,,,31300.0,170.49,2.37,,,15.83,15.83,19198018.0,302818528.65,,886.32,16.13,15.87,0.1755,34.6,0.3811
2008-03-21,8693799.0,137131000.79,7.17,10.65,6.48,417.17,2.0,106326224.13,3611576.0,6740845.0,56966929.11,,,3300.0,,,,,,,,,,,3300.0,,,,169.87,,0.15,,15.84,15.84,19192242.0,302727421.34,3300.0,884.35,16.11,15.87,0.1755,34.59,0.3812
2008-03-24,8068799.0,127272609.14,6.65,9.89,6.02,387.0,2.0,96467832.48,3611576.0,6115845.0,56966929.11,,,,,,,,,,,,,,,,,625000.0,169.3,28.56,,,15.98,15.98,18988952.0,299520841.44,,871.21,16.27,9.55,0.1841,37.42,0.357
2008-03-25,8211286.0,134964984.0,6.77,10.06,6.12,391.44,2.0,102960034.67,3605807.0,6264101.0,59266926.53,,,,17.13,,,,,377110.0,,,,17.13,,,,228854.0,170.46,11.28,0.27,,15.76,15.76,19278800.0,316876422.72,5769.0,906.13,15.83,13.53,0.1687,34.11,0.3588
2008-03-26,8052986.0,130620006.84,6.64,9.89,6.0,392.04,2.0,97515084.68,3699607.0,6012001.0,60007889.2,,,6800.0,,,,,0.37,,7978.0,,,,6800.0,,94978.0,252100.0,177.6,9.03,,,16.26,16.26,19048668.0,308970752.52,,899.93,16.48,13.06,0.1574,32.36,0.354
2008-03-27,7752753.0,127108660.01,6.39,9.73,5.78,377.81,2.0,95257753.08,3575012.0,5810067.0,58613370.61,,,,3.43,,,,1.24,75000.0,26296.0,,,3.43,,,,276934.0,172.21,13.77,4.63,,16.5,16.5,18089688.0,296585742.08,98299.0,856.67,16.74,11.86,0.1578,32.54,0.3579
2008-03-28,7564795.0,123715146.53,6.24,9.62,5.64,369.84,2.0,90717779.23,3630753.0,5547109.0,59377569.31,,,3220.0,,,,,1.0,,22479.0,,,,3220.0,,75000.0,262958.0,175.51,12.36,,,16.92,16.92,17827352.0,291549667.23,,847.3,17.16,12.27,0.1633,33.07,0.3525
2008-03-31,7633567.0,124210403.65,6.29,10.17,5.69,372.42,2.0,89779926.92,3755235.0,5517582.0,61103708.81,,98299.0,2303.0,,4.68,,,0.04,,864.0,,98299.0,,2303.0,,66831.0,29527.0,181.31,1.48,1.97,,17.21,17.21,18060560.0,293874337.88,42087.0,857.85,17.45,12.19,0.1614,32.73,0.3498
2008-04-01,7715591.0,130449170.1,6.36,10.3,5.75,378.62,2.0,94251072.45,3665235.0,5574606.0,61968922.92,,,,12.41,,27200.0,,6.02,263326.0,132000.0,,,12.41,,1.36,42000.0,233502.0,179.02,10.0,,,17.08,17.08,17793076.0,300831394.21,,859.58,17.24,11.94,0.1433,29.56,0.3595
2008-04-02,8192986.0,139365056.99,6.75,10.78,6.11,406.93,2.0,102982005.69,3641671.0,6054101.0,61945874.98,,,388.0,23.93,,,,1.06,479495.0,21852.0,,,23.93,388.0,,,,179.42,,0.1,,16.89,16.89,17913200.0,304708703.14,2100.0,881.07,16.92,11.43,0.154,32.11,0.3801
2008-04-03,8075827.0,135762860.64,6.66,10.4,6.02,404.03,2.0,89198278.3,4066823.0,5305942.0,68367428.4,,242335.0,127.0,6.86,12.0,,,0.01,133402.0,127.0,,242335.0,6.86,127.0,,182817.0,881561.0,202.84,42.65,,,18.55,18.55,17860524.0,300253562.97,,879.24,18.75,11.6,0.128,26.01,0.3683
2008-04-04,7981827.0,132674338.89,6.58,10.52,5.95,396.11,2.0,88046042.34,3589988.0,5296942.0,59672965.16,,,,,,5500.0,,12.06,,240068.0,,,,,0.27,5568.0,14500.0,177.16,0.52,12.0,,16.63,16.63,17993960.0,299096528.52,242335.0,875.16,16.84,11.69,0.1313,26.46,0.3698
