,RF FP Equity_DX_SI_QTY,RF FP Equity_DX_SHORT_INTEREST_VALUE,RF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,RF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,RF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,RF FP Equity_DX_SI_MV,RF FP Equity_DX_DSS,RF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,RF FP Equity_DX_SUPPLY_SI_QTY,RF FP Equity_DX_BROKER_SI_QTY,RF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,RF FP Equity_DX_BROKER_SI_MV_NEW_x,RF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,RF FP Equity_DX_SUPPLY_SI_QTY_INC_x,RF FP Equity_DX_BROKER_SI_MV_INC_x,RF FP Equity_DX_SUPPLY_SI_MV_NEW,RF FP Equity_DX_BROKER_SI_QTY_ADD,RF FP Equity_DX_BROKER_SI_QTY_NEW,RF FP Equity_DX_SUPPLY_SI_MV_DEC,RF FP Equity_DX_BROKER_SI_QTY_INC,RF FP Equity_DX_SUPPLY_SI_QTY_DEC,RF FP Equity_DX_BROKER_SI_MV_NEW_y,RF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,RF FP Equity_DX_BROKER_SI_MV_INC_y,RF FP Equity_DX_SUPPLY_SI_QTY_INC_y,RF FP Equity_DX_BROKER_SI_MV_ADD,RF FP Equity_DX_SUPPLY_SI_QTY_ADD,RF FP Equity_DX_BROKER_SI_QTY_DEC,RF FP Equity_DX_SUPPLY_SI_MV,RF FP Equity_DX_BROKER_SI_MV_DEC,RF FP Equity_DX_SUPPLY_SI_MV_RMV,RF FP Equity_DX_BROKER_SI_MV_RMV,RF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,RF FP Equity_DX_UTILIZATION_QUANTITY,RF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,RF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,RF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,RF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,RF FP Equity_DX_ACTIVE_UTILIZATION_MV,RF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,RF FP Equity_DX_BROKER_SI_CON_RATIO,RF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,RF FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-01-20,483805.0,20648390.29,1.31,8.33,0.88,26.15,0.0,12961190.97,331721.0,303689.0,14157573.14,,,,,,2000.0,,0.86,,18687.0,,,,,0.11,,7255.0,17.73,0.29,,,11.58,11.58,2533025.0,108107375.5,,135.12,11.6,16.9,0.1234,20.22,0.1689
2010-01-21,425964.0,18075841.2,1.15,7.29,0.77,22.67,0.0,10236288.9,332190.0,241222.0,14096528.55,,,4625.0,,,,,0.23,,4157.0,,,,4625.0,,1.0,,17.41,,,3.32,11.6,11.6,2531782.0,107436518.99,,132.52,11.61,12.57,0.1276,23.47,0.1487
2010-01-22,430977.0,18053695.23,1.17,7.17,0.78,22.73,0.0,10139261.74,346160.0,242044.0,14500697.58,,14191.0,,0.47,0.74,,,0.01,9000.0,221.0,,14191.0,0.47,,,,8178.0,17.97,0.52,,,11.56,11.56,2648708.0,110954800.32,,137.08,11.59,12.95,0.123,21.11,0.1439
2010-01-25,506685.0,20858312.45,1.37,8.11,0.92,26.51,0.0,12514575.81,312805.0,304001.0,12877003.32,,,11804.0,3.29,,,,2.66,63417.0,51112.0,,,3.29,11804.0,,5953.0,1460.0,16.08,0.11,,,11.03,11.03,2522864.0,103856805.67,,129.07,11.08,18.68,0.1401,24.31,0.1787
2010-01-26,514845.0,21546000.34,1.4,8.17,0.93,26.73,0.0,12891818.89,320728.0,308052.0,13422303.02,,,5193.0,0.17,,,,0.11,4051.0,2099.0,,,0.17,5193.0,,4829.0,,16.32,,,,11.29,11.29,2519306.0,105431669.59,,128.08,11.3,18.65,0.1393,24.28,0.1813
2010-01-27,519238.0,21814314.9,1.41,8.41,0.94,27.06,0.0,13074271.2,328120.0,311202.0,13785033.08,,,7554.0,0.37,,,,0.01,6477.0,162.0,,,0.37,7554.0,,,3327.0,16.93,0.31,,,11.46,11.46,2535008.0,106501185.96,,130.44,11.49,17.63,0.1371,24.05,0.1814
2010-01-28,523927.0,22390594.88,1.42,8.38,0.95,27.38,0.0,13299558.73,334972.0,311202.0,14315395.75,,,6842.0,,,,,0.0,,177.0,,,,6842.0,,187.0,,17.38,,,,11.7,11.7,2527200.0,108002663.32,,131.05,11.71,17.59,0.1368,23.96,0.1831
2010-01-29,532146.0,22767813.75,1.44,8.24,0.96,28.22,0.0,13666395.76,334972.0,319421.0,14331743.75,,,,0.52,,,,,8219.0,,,,0.52,,,,,17.69,,,,11.75,11.75,2516708.0,107677101.79,,132.14,11.81,19.02,0.1374,23.23,0.1866
2010-02-01,547598.0,23255213.47,1.48,8.13,0.99,28.89,0.0,13984987.33,350536.0,329309.0,14886448.65,,,3694.0,0.53,,,,,10000.0,,,,0.53,3694.0,,11870.0,112.0,18.39,0.01,,,12.28,12.28,2504763.0,106371459.08,,131.09,12.3,18.47,0.1331,22.73,0.1918
2010-02-02,535485.0,23607575.12,1.45,7.84,0.97,28.18,0.0,13636743.38,362891.0,309319.0,15998536.92,,,17679.0,0.39,,,,0.25,6699.0,5324.0,,,0.39,17679.0,,,26689.0,18.98,1.42,,,12.71,12.71,2491398.0,109836625.56,,130.76,12.67,20.51,0.143,23.41,0.1876
2010-02-03,548476.0,24318601.41,1.49,7.96,0.99,29.46,0.0,14061466.56,372011.0,317139.0,16494408.56,,,9120.0,0.42,,,,,7820.0,,,,0.42,9120.0,,,,20.1,,,,12.99,12.99,2490954.0,110445156.13,,134.91,12.97,21.14,0.1424,22.4,0.1916
2010-02-04,545587.0,23396139.33,1.48,7.82,0.99,29.85,0.0,13683894.33,375206.0,319102.0,16089774.6,,,4916.0,0.5,,,,0.08,3949.0,1721.0,,,0.5,4916.0,,,1986.0,20.49,0.1,,,13.09,13.09,2490113.0,106782292.65,,135.1,13.17,22.17,0.1455,22.73,0.1904
2010-02-05,553716.0,22596228.5,1.5,7.79,1.0,29.79,1.0,13451692.56,372806.0,329631.0,15213592.46,,,,0.66,,,,0.53,10529.0,8672.0,,,0.66,,,6272.0,,19.62,,,,13.03,13.03,2488996.0,101571784.73,,129.88,13.12,22.28,0.153,25.2,0.1935
2010-02-08,573486.0,23281726.02,1.55,7.78,1.04,29.67,1.0,13895003.19,373567.0,342268.0,15165644.05,,,2278.0,0.58,,,,0.32,13037.0,6372.0,,,0.58,2278.0,,4855.0,400.0,18.74,0.28,,,12.9,12.9,2521286.0,102356273.5,,126.27,12.92,22.57,0.1494,24.52,0.1981
2010-02-09,574460.0,23695080.49,1.56,7.49,1.04,29.2,1.0,14094584.25,375124.0,341707.0,15472954.38,,,3623.0,0.0,,,,0.11,1547.0,2066.0,,,0.0,3623.0,,,2108.0,18.68,0.11,,,13.02,13.02,2507072.0,103410634.05,,125.09,12.99,22.89,0.1483,23.72,0.1993
2010-02-10,572627.0,23782495.1,1.55,7.28,1.04,29.45,1.0,14248431.9,368436.0,343069.0,15301980.81,,,89.0,0.15,,,,0.43,2580.0,9094.0,,,0.15,89.0,,2317.0,1218.0,18.71,0.05,,,12.8,12.8,2510290.0,104258024.21,,127.28,12.81,22.49,0.148,23.84,0.1989
2010-02-11,562248.0,22962698.55,1.52,6.98,1.02,29.09,1.0,14011237.09,357236.0,343069.0,14589829.72,,,,,,,,0.57,,11200.0,,,,,,,,18.23,,,,12.3,12.3,2546483.0,104000586.03,,129.28,12.36,22.48,0.1483,24.08,0.1936
2010-02-12,567750.0,23279766.73,1.54,6.94,1.03,29.21,1.0,13787116.38,367215.0,336242.0,15057119.4,,,1207.0,,,,,0.27,,5228.0,,,,1207.0,,14000.0,6827.0,18.46,0.24,,,12.68,12.68,2529437.0,103715901.92,,126.89,12.7,22.27,0.1461,23.0,0.196
2010-02-15,557427.0,22554968.24,1.51,6.44,1.01,28.61,1.0,13187543.29,367215.0,325919.0,14858488.49,,,,,,,,,,,,,,,,,10323.0,18.5,0.65,,,12.68,12.68,2529449.0,102348185.23,,127.11,12.71,21.84,0.145,22.76,0.1924
2010-02-16,557265.0,22435093.29,1.51,6.53,1.01,28.24,1.0,13064099.37,368473.0,324499.0,14834461.4,,,1750.0,,,,,0.05,,564.0,,,,1750.0,,72.0,1420.0,18.23,0.14,,,12.72,12.72,2527552.0,101757449.18,,124.97,12.73,21.66,0.1455,23.13,0.1924
2010-02-17,536617.0,21695481.29,1.45,6.25,0.97,27.28,0.0,12548897.93,361939.0,310385.0,14633231.53,,,6649.0,,,2100.0,,0.67,,13806.0,,,,6649.0,0.1,623.0,16214.0,17.97,0.82,,,12.45,12.45,2546045.0,102936864.98,,126.49,12.44,21.95,0.1475,23.4,0.1845
2010-02-18,558316.0,22218548.92,1.51,6.45,1.01,28.44,1.0,13468002.52,373238.0,338429.0,14853249.35,,,2049.0,1.47,,,,0.41,28044.0,8350.0,,,1.47,2049.0,,17600.0,,18.54,,,,12.78,12.78,2546305.0,101331866.21,,126.21,12.81,21.06,0.1369,22.34,0.1912
2010-02-19,540795.0,21567477.06,1.47,6.14,0.98,27.33,0.0,13002900.09,368104.0,326042.0,14680377.18,,,,,,,,0.26,,5134.0,,,,,,,12387.0,17.99,0.62,,,12.42,12.42,2595198.0,103499243.39,,127.1,12.4,21.29,0.1417,23.04,0.1825
2010-02-22,528944.0,20942110.13,1.43,5.79,0.96,26.66,0.0,12692975.01,358828.0,320592.0,14206826.23,,,916.0,,,,,0.49,,10192.0,,,,916.0,,,5450.0,17.56,0.27,,,11.55,11.55,2748870.0,108834088.84,,134.23,11.57,21.43,0.1445,23.55,0.1702
2010-02-23,517634.0,19789072.35,1.4,5.64,0.94,26.06,0.0,11982153.83,351253.0,313424.0,13428350.98,,,7.0,,,,,0.39,,7582.0,,,,7.0,,,7168.0,17.11,0.37,,,11.64,11.64,2666825.0,101952330.95,,128.98,11.71,21.58,0.1474,24.1,0.1715
2010-02-24,509304.0,19760605.59,1.38,5.38,0.92,25.19,0.0,12160611.44,342923.0,313424.0,13305150.07,,,,,,,,0.51,,8330.0,,,,,,,,16.14,,,,11.16,11.16,2731210.0,105968858.67,,129.12,11.11,22.26,0.1517,24.94,0.1657
2010-02-25,504168.0,19007710.1,1.37,5.28,0.91,25.04,0.0,11816443.19,320685.0,313424.0,12090191.19,,,,,,,,1.35,,30182.0,,,,,,7944.0,,15.27,,,,10.76,10.76,2659387.0,100261930.8,,126.13,10.8,22.18,0.1522,25.12,0.1692
2010-02-26,487521.0,18493115.95,1.32,5.07,0.88,23.85,0.0,11889100.93,304038.0,313424.0,11533062.14,,,1345.0,,,,,0.94,,17992.0,,,,1345.0,,,,14.08,,,,9.91,9.91,2763790.0,104838743.22,,129.33,9.82,23.21,0.1616,26.45,0.1589
2010-03-01,472630.0,18068575.99,1.28,4.82,0.86,23.0,0.0,11412873.07,304038.0,298533.0,11623328.41,,,11.0,0.48,,,,0.0,10000.0,11.0,,,0.48,11.0,,,24891.0,14.2,1.44,,,9.57,9.57,2873053.0,109836397.32,,134.62,9.54,17.72,0.1524,27.45,0.1488
