,MLONL FP Equity_DX_SI_QTY,MLONL FP Equity_DX_SHORT_INTEREST_VALUE,MLONL FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLONL FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLONL FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLONL FP Equity_DX_SI_MV,MLONL FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLONL FP Equity_DX_SUPPLY_SI_QTY,MLONL FP Equity_DX_BROKER_SI_QTY,MLONL FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLONL FP Equity_DX_SUPPLY_SI_MV,MLONL FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLONL FP Equity_DX_UTILIZATION_QUANTITY,MLONL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLONL FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLONL FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLONL FP Equity_DX_ACTIVE_UTILIZATION_MV,MLONL FP Equity_DX_BROKER_SI_CON_RATIO,MLONL FP Equity_DX_DEMAND_SUPPLY_RATIO,MLONL FP Equity_PX_LAST
2023-08-31,,,,,,,,,,,,,,,,,,,,2.88
2023-09-01,,,,,,,,,,,,,,,,,,,,2.9
2023-09-04,,,,,,,,,,,,,,,,,,,,2.88
2023-09-05,,,,,,,,,,,,,,,,,,,,2.88
2023-09-06,,,,,,,,,,,,,,,,,,,,2.88
2023-09-07,,,,,,,,,,,,,,,,,,,,2.7
2023-09-08,,,,,,,,,,,,,,,,,,,,2.9
2023-09-11,,,,,,,,,,,,,,,,,,,,2.9
2023-09-12,,,,,,,,,,,,,,,,,,,,2.9
2023-09-13,,,,,,,,,,,,,,,,,,,,2.8
2023-09-14,,,,,,,,,,,,,,,,,,,,2.8
2023-09-15,,,,,,,,,,,,,,,,,,,,2.8
2023-09-18,,,,,,,,,,,,,,,,,,,,2.8
2023-09-19,,,,,,,,,,,,,,,,,,,,2.8
2023-09-20,,,,,,,,,,,,,,,,,,,,2.8
2023-09-21,,,,,,,,,,,,,,,,,,,,2.5
2023-09-22,,,,,,,,,,,,,,,,,,,,2.5
2023-09-25,,,,,,,,,,,,,,,,,,,,2.5
2023-09-26,,,,,,,,,,,,,,,,,,,,2.5
2023-09-27,,,,,,,,,,,,,,,,,,,,2.5
2023-09-28,,,,,,,,,,,,,,,,,,,,2.5
2023-09-29,,,,,,,,,,,,,,,,,,,,2.5
2023-10-02,,,,,,,,,,,,,,,,,,,,2.5
2023-10-03,,,,,,,,,,,,,,,,,,,,2.5
2023-10-04,,,,,,,,,,,,,,,,,,,,2.5
2023-10-05,,,,,,,,,,,,,,,,,,,,2.5
2023-10-06,,,,,,,,,,,,,,,,,,,,2.4
2023-10-09,,,,,,,,,,,,,,,,,,,,2.5
2023-10-10,,,,,,,,,,,,,,,,,,,,2.78
2023-10-11,,,,,,,,,,,,,,,,,,,,2.78
2023-10-12,,,,,,,,,,,,,,,,,,,,2.78
2023-10-13,,,,,,,,,,,,,,,,,,,,2.5
2023-10-16,,,,,,,,,,,,,,,,,,,,2.5
2023-10-17,,,,,,,,,,,,,,,,,,,,2.6
2023-10-18,,,,,,,,,,,,,,,,,,,,2.6
2023-10-19,,,,,,,,,,,,,,,,,,,,2.6
2023-10-20,,,,,,,,,,,,,,,,,,,,2.8
2023-10-23,,,,,,,,,,,,,,,,,,,,2.9
2023-10-24,,,,,,,,,,,,,,,,,,,,2.9
2023-10-25,,,,,,,,,,,,,,,,,,,,2.9
2023-10-26,,,,,,,,,,,,,,,,,,,,2.9
2023-10-27,,,,,,,,,,,,,,,,,,,,2.9
2023-10-30,,,,,,,,,,,,,,,,,,,,2.9
2023-10-31,,,,,,,,,,,,,,,,,,,,2.9
2023-11-01,,,,,,,,,,,,,,,,,,,,2.9
2023-11-02,,,,,,,,,,,,,,,,,,,,2.9
2023-11-03,,,,,,,,,,,,,,,,,,,,2.9
2023-11-06,,,,,,,,,,,,,,,,,,,,2.6
2023-11-07,,,,,,,,,,,,,,,,,,,,2.6
2023-11-08,,,,,,,,,,,,,,,,,,,,2.6
2023-11-09,,,,,,,,,,,,,,,,,,,,2.6
2023-11-10,,,,,,,,,,,,,,,,,,,,2.6
2023-11-13,,,,,,,,,,,,,,,,,,,,2.6
2023-11-14,,,,,,,,,,,,,,,,,,,,2.6
2023-11-15,,,,,,,,,,,,,,,,,,,,2.6
2023-11-16,,,,,,,,,,,,,,,,,,,,2.6
2023-11-17,,,,,,,,,,,,,,,,,,,,2.6
2023-11-20,,,,,,,,,,,,,,,,,,,,2.6
2023-11-21,,,,,,,,,,,,,,,,,,,,2.66
2023-11-22,,,,,,,,,,,,,,,,,,,,2.66
2023-11-23,,,,,,,,,,,,,,,,,,,,2.66
2023-11-24,,,,,,,,,,,,,,,,,,,,2.6
2023-11-27,,,,,,,,,,,,,,,,,,,,2.6
2023-11-28,,,,,,,,,,,,,,,,,,,,2.6
2023-11-29,,,,,,,,,,,,,,,,,,,,2.6
2023-11-30,,,,,,,,,,,,,,,,,,,,2.92
2023-12-01,,,,,,,,,,,,,,,,,,,,2.92
2023-12-04,,,,,,,,,,,,,,,,,,,,2.94
2023-12-05,,,,,,,,,,,,,,,,,,,,3.0
2023-12-06,,,,,,,,,,,,,,,,,,,,3.16
2023-12-07,,,,,,,,,,,,,,,,,,,,3.16
2023-12-08,,,,,,,,,,,,,,,,,,,,3.48
2023-12-11,,,,,,,,,,,,,,,,,,,,3.4
2023-12-12,,,,,,,,,,,,,,,,,,,,3.4
2023-12-13,,,,,,,,,,,,,,,,,,,,3.16
2023-12-14,,,,,,,,,,,,,,,,,,,,3.16
2023-12-15,,,,,,,,,,,,,,,,,,,,3.16
2023-12-18,,,,,,,,,,,,,,,,,,,,3.16
2023-12-19,,,,,,,,,,,,,,,,,,,,3.3
2023-12-20,,,,,,,,,,,,,,,,,,,,3.3
2023-12-21,,,,,,,,,,,,,,,,,,,,3.3
2023-12-22,,,,,,,,,,,,,,,,,,,,2.74
2023-12-27,,,,,,,,,,,,,,,,,,,,2.74
2023-12-28,,,,,,,,,,,,,,,,,,,,2.74
2023-12-29,,,,,,,,,,,,,,,,,,,,2.8
2024-01-02,,,,,,,,,,,,,,,,,,,,2.78
2024-01-03,,,,,,,,,,,,,,,,,,,,2.78
2024-01-04,,,,,,,,,,,,,,,,,,,,2.84
2024-01-05,,,,,,,,,,,,,,,,,,,,2.84
2024-01-08,,,,,,,,,,,,,,,,,,,,2.84
2024-01-09,,,,,,,,,,,,,,,,,,,,2.84
2024-01-10,,,,,,,,,,,,,,,,,,,,2.84
2024-01-11,,,,,,,,,,,,,,,,,,,,2.84
2024-01-12,,,,,,,,,,,,,,,,,,,,2.84
2024-01-15,,,,,,,,,,,,,,,,,,,,2.86
2024-01-16,,,,,,,,,,,,,,,,,,,,2.84
2024-01-17,,,,,,,,,,,,,,,,,,,,2.84
2024-01-18,,,,,,,,,,,,,,,,,,,,2.84
2024-01-19,,,,,,,,,,,,,,,,,,,,2.84
2024-01-22,,,,,,,,,,,,,,,,,,,,2.84
2024-01-23,,,,,,,,,,,,,,,,,,,,2.84
2024-01-24,,,,,,,,,,,,,,,,,,,,2.84
2024-01-25,,,,,,,,,,,,,,,,,,,,2.8
2024-01-26,,,,,,,,,,,,,,,,,,,,2.8
2024-01-29,,,,,,,,,,,,,,,,,,,,2.8
2024-01-30,,,,,,,,,,,,,,,,,,,,2.8
2024-01-31,,,,,,,,,,,,,,,,,,,,2.8
2024-02-01,,,,,,,,,,,,,,,,,,,,2.8
2024-02-02,,,,,,,,,,,,,,,,,,,,2.8
2024-02-05,,,,,,,,,,,,,,,,,,,,2.8
2024-02-06,,,,,,,,,,,,,,,,,,,,3.2
2024-02-07,,,,,,,,,,,,,,,,,,,,3.2
2024-02-08,,,,,,,,,,,,,,,,,,,,3.18
2024-02-09,,,,,,,,,,,,,,,,,,,,3.18
2024-02-12,,,,,,,,,,,,,,,,,,,,3.18
2024-02-13,,,,,,,,,,,,,,,,,,,,3.2
2024-02-14,,,,,,,,,,,,,,,,,,,,3.1
2024-02-15,,,,,,,,,,,,,,,,,,,,3.1
2024-02-16,,,,,,,,,,,,,,,,,,,,3.1
2024-02-19,,,,,,,,,,,,,,,,,,,,3.18
2024-02-20,,,,,,,,,,,,,,,,,,,,3.18
2024-02-21,,,,,,,,,,,,,,,,,,,,3.18
2024-02-22,,,,,,,,,,,,,,,,,,,,3.18
2024-02-23,,,,,,,,,,,,,,,,,,,,3.18
2024-02-26,,,,,,,,,,,,,,,,,,,,3.18
2024-02-27,,,,,,,,,,,,,,,,,,,,3.18
2024-02-28,,,,,,,,,,,,,,,,,,,,3.18
2024-02-29,,,,,,,,,,,,,,,,,,,,3.18
2024-03-01,,,,,,,,,,,,,,,,,,,,3.18
2024-03-04,,,,,,,,,,,,,,,,,,,,3.18
2024-03-05,,,,,,,,,,,,,,,,,,,,3.0
2024-03-06,,,,,,,,,,,,,,,,,,,,3.0
2024-03-07,,,,,,,,,,,,,,,,,,,,2.82
2024-03-08,,,,,,,,,,,,,,,,,,,,2.82
2024-03-11,,,,,,,,,,,,,,,,,,,,2.82
2024-03-12,,,,,,,,,,,,,,,,,,,,3.0
2024-03-13,,,,,,,,,,,,,,,,,,,,3.0
2024-03-14,,,,,,,,,,,,,,,,,,,,2.8
2024-03-15,,,,,,,,,,,,,,,,,,,,2.8
2024-03-18,,,,,,,,,,,,,,,,,,,,3.0
2024-03-19,,,,,,,,,,,,,,,,,,,,2.88
2024-03-20,,,,,,,,,,,,,,,,,,,,2.88
2024-03-21,,,,,,,,,,,,,,,,,,,,2.88
2024-03-22,,,,,,,,,,,,,,,,,,,,2.88
2024-03-25,,,,,,,,,,,,,,,,,,,,2.88
2024-03-26,,,,,,,,,,,,,,,,,,,,2.86
2024-03-27,,,,,,,,,,,,,,,,,,,,2.8
2024-03-28,,,,,,,,,,,,,,,,,,,,2.82
2024-04-02,,,,,,,,,,,,,,,,,,,,2.82
2024-04-03,,,,,,,,,,,,,,,,,,,,2.82
2024-04-04,,,,,,,,,,,,,,,,,,,,2.8
2024-04-05,,,,,,,,,,,,,,,,,,,,2.8
2024-04-08,,,,,,,,,,,,,,,,,,,,2.8
2024-04-09,,,,,,,,,,,,,,,,,,,,2.8
2024-04-10,,,,,,,,,,,,,,,,,,,,2.8
2024-04-11,,,,,,,,,,,,,,,,,,,,2.8
2024-04-12,,,,,,,,,,,,,,,,,,,,3.0
2024-04-15,,,,,,,,,,,,,,,,,,,,3.0
2024-04-16,,,,,,,,,,,,,,,,,,,,3.0
2024-04-17,,,,,,,,,,,,,,,,,,,,3.0
2024-04-18,,,,,,,,,,,,,,,,,,,,3.0
2024-04-19,,,,,,,,,,,,,,,,,,,,2.74
2024-04-22,,,,,,,,,,,,,,,,,,,,2.74
2024-04-23,,,,,,,,,,,,,,,,,,,,2.74
2024-04-24,,,,,,,,,,,,,,,,,,,,2.74
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,4384.0,0.0,0.0,0.0,0.0,2.74
2024-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,4384.0,0.0,0.0,0.0,0.0,2.74
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,4932.0,0.0,0.0,0.0,0.0,2.74
2024-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,4932.0,0.0,0.0,0.0,0.0,2.74
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,274.0,0.0,0.0,0.0,0.0,
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1370.0,0.0,0.0,0.0,0.0,2.74
2024-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1370.0,0.0,0.0,0.0,0.0,2.74
2024-05-06,,,,,,,,,,,,,,,,,,,,2.74
2024-05-07,,,,,,,,,,,,,,,,,,,,2.76
2024-05-08,,,,,,,,,,,,,,,,,,,,2.76
2024-05-09,,,,,,,,,,,,,,,,,,,,2.76
2024-05-10,,,,,,,,,,,,,,,,,,,,2.76
2024-05-13,,,,,,,,,,,,,,,,,,,,3.08
2024-05-14,,,,,,,,,,,,,,,,,,,,2.76
2024-05-15,,,,,,,,,,,,,,,,,,,,2.76
2024-05-16,,,,,,,,,,,,,,,,,,,,3.06
2024-05-17,,,,,,,,,,,,,,,,,,,,3.06
2024-05-20,,,,,,,,,,,,,,,,,,,,3.06
2024-05-21,,,,,,,,,,,,,,,,,,,,3.06
2024-05-22,,,,,,,,,,,,,,,,,,,,2.78
2024-05-23,,,,,,,,,,,,,,,,,,,,2.78
2024-05-24,,,,,,,,,,,,,,,,,,,,2.78
2024-05-27,,,,,,,,,,,,,,,,,,,,3.06
2024-05-28,,,,,,,,,,,,,,,,,,,,3.06
2024-05-29,,,,,,,,,,,,,,,,,,,,3.06
2024-05-30,,,,,,,,,,,,,,,,,,,,3.06
2024-05-31,,,,,,,,,,,,,,,,,,,,3.06
2024-06-03,,,,,,,,,,,,,,,,,,,,3.06
2024-06-04,,,,,,,,,,,,,,,,,,,,3.06
2024-06-05,,,,,,,,,,,,,,,,,,,,3.06
2024-06-06,,,,,,,,,,,,,,,,,,,,3.06
2024-06-07,,,,,,,,,,,,,,,,,,,,3.06
2024-06-10,,,,,,,,,,,,,,,,,,,,3.06
2024-06-11,,,,,,,,,,,,,,,,,,,,3.06
2024-06-12,,,,,,,,,,,,,,,,,,,,3.06
2024-06-13,,,,,,,,,,,,,,,,,,,,3.06
2024-06-14,,,,,,,,,,,,,,,,,,,,3.06
2024-06-17,,,,,,,,,,,,,,,,,,,,3.06
2024-06-18,,,,,,,,,,,,,,,,,,,,3.06
2024-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,720.0,0.0,0.0,0.0,0.0,2.4
2024-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,2160.0,0.0,0.0,0.0,0.0,2.4
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,2160.0,0.0,0.0,0.0,0.0,2.4
2024-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2920.0,0.0,0.0,0.0,0.0,2.92
2024-06-25,,,,,,,,,,,,,,,,,,,,2.92
2024-06-26,,,,,,,,,,,,,,,,,,,,2.92
2024-06-27,,,,,,,,,,,,,,,,,,,,2.92
2024-06-28,,,,,,,,,,,,,,,,,,,,2.92
2024-07-01,,,,,,,,,,,,,,,,,,,,2.9
2024-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,4060.0,0.0,0.0,0.0,0.0,2.9
2024-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,2030.0,0.0,0.0,0.0,0.0,2.9
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,290.0,0.0,0.0,0.0,0.0,2.9
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,290.0,0.0,0.0,0.0,0.0,2.9
2024-07-08,,,,,,,,,,,,,,,,,,,,2.9
2024-07-09,,,,,,,,,,,,,,,,,,,,2.9
2024-07-10,,,,,,,,,,,,,,,,,,,,2.9
2024-07-11,,,,,,,,,,,,,,,,,,,,2.56
2024-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,256.0,0.0,0.0,0.0,0.0,2.56
2024-07-15,,,,,,,,,,,,,,,,,,,,2.4
2024-07-16,,,,,,,,,,,,,,,,,,,,2.82
2024-07-17,,,,,,,,,,,,,,,,,,,,2.84
2024-07-18,,,,,,,,,,,,,,,,,,,,2.84
2024-07-19,,,,,,,,,,,,,,,,,,,,2.84
2024-07-22,,,,,,,,,,,,,,,,,,,,2.66
2024-07-23,,,,,,,,,,,,,,,,,,,,2.5
2024-07-24,,,,,,,,,,,,,,,,,,,,2.4
2024-07-25,,,,,,,,,,,,,,,,,,,,2.4
2024-07-26,,,,,,,,,,,,,,,,,,,,2.4
2024-07-29,,,,,,,,,,,,,,,,,,,,2.4
2024-07-30,,,,,,,,,,,,,,,,,,,,2.4
2024-07-31,,,,,,,,,,,,,,,,,,,,2.4
2024-08-01,,,,,,,,,,,,,,,,,,,,2.4
2024-08-02,,,,,,,,,,,,,,,,,,,,2.4
2024-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,1872.0,0.0,0.0,0.0,0.0,2.34
2024-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,21600.0,0.02,0.0,0.0,0.0,2.4
2024-08-07,,,,,,,,,,,,,,,,,,,,2.4
2024-08-08,,,,,,,,,,,,,,,,,,,,2.4
2024-08-09,,,,,,,,,,,,,,,,,,,,2.4
2024-08-12,,,,,,,,,,,,,,,,,,,,2.4
2024-08-13,,,,,,,,,,,,,,,,,,,,2.4
2024-08-14,,,,,,,,,,,,,,,,,,,,2.4
2024-08-15,,,,,,,,,,,,,,,,,,,,2.4
2024-08-16,,,,,,,,,,,,,,,,,,,,2.4
2024-08-19,,,,,,,,,,,,,,,,,,,,2.4
2024-08-20,,,,,,,,,,,,,,,,,,,,2.4
2024-08-21,,,,,,,,,,,,,,,,,,,,2.4
2024-08-22,,,,,,,,,,,,,,,,,,,,2.4
2024-08-23,,,,,,,,,,,,,,,,,,,,2.4
2024-08-26,,,,,,,,,,,,,,,,,,,,2.5
2024-08-27,,,,,,,,,,,,,,,,,,,,2.48
2024-08-28,,,,,,,,,,,,,,,,,,,,2.4
2024-08-29,,,,,,,,,,,,,,,,,,,,2.4
2024-08-30,,,,,,,,,,,,,,,,,,,,2.4
2024-09-02,,,,,,,,,,,,,,,,,,,,2.4
2024-09-03,,,,,,,,,,,,,,,,,,,,2.4
2024-09-04,,,,,,,,,,,,,,,,,,,,2.3
2024-09-05,,,,,,,,,,,,,,,,,,,,2.3
2024-09-06,,,,,,,,,,,,,,,,,,,,2.3
2024-09-09,,,,,,,,,,,,,,,,,,,,2.3
2024-09-10,,,,,,,,,,,,,,,,,,,,2.3
2024-09-11,,,,,,,,,,,,,,,,,,,,2.3
2024-09-12,,,,,,,,,,,,,,,,,,,,2.3
2024-09-13,,,,,,,,,,,,,,,,,,,,2.3
2024-09-16,,,,,,,,,,,,,,,,,,,,2.3
2024-09-17,,,,,,,,,,,,,,,,,,,,2.3
2024-09-18,,,,,,,,,,,,,,,,,,,,2.3
2024-09-19,,,,,,,,,,,,,,,,,,,,2.3
2024-09-20,,,,,,,,,,,,,,,,,,,,2.3
2024-09-23,,,,,,,,,,,,,,,,,,,,2.3
2024-09-24,,,,,,,,,,,,,,,,,,,,2.38
2024-09-25,,,,,,,,,,,,,,,,,,,,2.38
2024-09-26,,,,,,,,,,,,,,,,,,,,2.3
2024-09-27,,,,,,,,,,,,,,,,,,,,2.3
2024-09-30,,,,,,,,,,,,,,,,,,,,2.3
2024-10-01,,,,,,,,,,,,,,,,,,,,2.3
2024-10-02,,,,,,,,,,,,,,,,,,,,2.3
2024-10-03,,,,,,,,,,,,,,,,,,,,2.3
2024-10-04,,,,,,,,,,,,,,,,,,,,2.0
2024-10-07,,,,,,,,,,,,,,,,,,,,2.0
2024-10-08,,,,,,,,,,,,,,,,,,,,2.02
2024-10-09,,,,,,,,,,,,,,,,,,,,2.0
2024-10-10,,,,,,,,,,,,,,,,,,,,2.3
2024-10-11,,,,,,,,,,,,,,,,,,,,2.3
2024-10-14,,,,,,,,,,,,,,,,,,,,2.48
2024-10-15,,,,,,,,,,,,,,,,,,,,2.48
2024-10-16,,,,,,,,,,,,,,,,,,,,2.48
2024-10-17,,,,,,,,,,,,,,,,,,,,2.48
2024-10-18,,,,,,,,,,,,,,,,,,,,2.48
2024-10-21,,,,,,,,,,,,,,,,,,,,2.42
2024-10-22,,,,,,,,,,,,,,,,,,,,2.42
2024-10-23,,,,,,,,,,,,,,,,,,,,2.42
2024-10-24,,,,,,,,,,,,,,,,,,,,2.42
2024-10-25,,,,,,,,,,,,,,,,,,,,2.42
2024-10-28,,,,,,,,,,,,,,,,,,,,2.42
2024-10-29,,,,,,,,,,,,,,,,,,,,2.42
2024-10-30,,,,,,,,,,,,,,,,,,,,2.42
2024-10-31,,,,,,,,,,,,,,,,,,,,2.42
2024-11-01,,,,,,,,,,,,,,,,,,,,2.28
2024-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,212.0,0.0,0.0,0.0,0.0,2.12
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,212.0,0.0,0.0,0.0,0.0,2.12
2024-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,212.0,0.0,0.0,0.0,0.0,2.12
2024-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,248.0,0.0,0.0,0.0,0.0,2.48
2024-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,272.0,0.0,0.0,0.0,0.0,2.72
2024-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,272.0,0.0,0.0,0.0,0.0,2.72
2024-11-12,,,,,,,,,,,,,,,,,,,,2.72
2024-11-13,,,,,,,,,,,,,,,,,,,,2.4
2024-11-14,,,,,,,,,,,,,,,,,,,,2.42
2024-11-15,,,,,,,,,,,,,,,,,,,,2.48
2024-11-18,,,,,,,,,,,,,,,,,,,,2.54
2024-11-19,,,,,,,,,,,,,,,,,,,,2.54
2024-11-20,,,,,,,,,,,,,,,,,,,,2.54
2024-11-21,,,,,,,,,,,,,,,,,,,,2.58
2024-11-22,,,,,,,,,,,,,,,,,,,,2.4
2024-11-25,,,,,,,,,,,,,,,,,,,,2.4
2024-11-26,,,,,,,,,,,,,,,,,,,,2.6
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,780.0,0.0,0.0,0.0,0.0,2.6
2024-11-28,,,,,,,,,,,,,,,,,,,,2.34
2024-11-29,,,,,,,,,,,,,,,,,,,,2.4
2024-12-02,,,,,,,,,,,,,,,,,,,,2.56
2024-12-03,,,,,,,,,,,,,,,,,,,,2.56
2024-12-04,,,,,,,,,,,,,,,,,,,,2.46
2024-12-05,,,,,,,,,,,,,,,,,,,,2.26
2024-12-06,,,,,,,,,,,,,,,,,,,,2.26
2024-12-09,,,,,,,,,,,,,,,,,,,,2.26
2024-12-10,,,,,,,,,,,,,,,,,,,,2.26
2024-12-11,,,,,,,,,,,,,,,,,,,,2.26
2024-12-12,,,,,,,,,,,,,,,,,,,,2.2
2024-12-13,,,,,,,,,,,,,,,,,,,,2.12
2024-12-16,,,,,,,,,,,,,,,,,,,,2.12
2024-12-17,,,,,,,,,,,,,,,,,,,,2.12
2024-12-18,,,,,,,,,,,,,,,,,,,,1.84
2024-12-19,,,,,,,,,,,,,,,,,,,,1.8
2024-12-20,,,,,,,,,,,,,,,,,,,,1.6
2024-12-23,,,,,,,,,,,,,,,,,,,,1.7
2024-12-24,,,,,,,,,,,,,,,,,,,,1.8
2024-12-27,,,,,,,,,,,,,,,,,,,,1.7
2024-12-30,,,,,,,,,,,,,,,,,,,,1.57
2024-12-31,,,,,,,,,,,,,,,,,,,,1.5
2025-01-02,,,,,,,,,,,,,,,,,,,,1.68
2025-01-03,,,,,,,,,,,,,,,,,,,,1.4
2025-01-06,,,,,,,,,,,,,,,,,,,,1.4
2025-01-07,,,,,,,,,,,,,,,,,,,,1.4
2025-01-08,,,,,,,,,,,,,,,,,,,,1.4
2025-01-09,,,,,,,,,,,,,,,,,,,,1.4
2025-01-10,,,,,,,,,,,,,,,,,,,,1.4
2025-01-13,,,,,,,,,,,,,,,,,,,,1.4
2025-01-14,,,,,,,,,,,,,,,,,,,,1.4
2025-01-15,,,,,,,,,,,,,,,,,,,,1.4
2025-01-16,,,,,,,,,,,,,,,,,,,,1.4
2025-01-17,,,,,,,,,,,,,,,,,,,,1.4
2025-01-20,,,,,,,,,,,,,,,,,,,,1.4
2025-01-21,,,,,,,,,,,,,,,,,,,,1.4
2025-01-22,,,,,,,,,,,,,,,,,,,,1.4
2025-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140.0,0.0,0.0,0.0,0.0,1.4
2025-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140.0,0.0,0.0,0.0,0.0,1.4
2025-01-27,,,,,,,,,,,,,,,,,,,,1.4
2025-01-28,,,,,,,,,,,,,,,,,,,,1.4
2025-01-29,,,,,,,,,,,,,,,,,,,,1.4
2025-01-30,,,,,,,,,,,,,,,,,,,,1.4
2025-01-31,,,,,,,,,,,,,,,,,,,,1.4
2025-02-03,,,,,,,,,,,,,,,,,,,,1.4
2025-02-04,,,,,,,,,,,,,,,,,,,,1.42
2025-02-05,,,,,,,,,,,,,,,,,,,,1.3
2025-02-06,,,,,,,,,,,,,,,,,,,,1.3
2025-02-07,,,,,,,,,,,,,,,,,,,,1.18
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,116.0,0.0,0.0,0.0,0.0,1.16
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,111.0,0.0,0.0,0.0,0.0,1.11
2025-02-12,,,,,,,,,,,,,,,,,,,,1.02
2025-02-13,,,,,,,,,,,,,,,,,,,,1.03
2025-02-14,,,,,,,,,,,,,,,,,,,,1.03
2025-02-17,,,,,,,,,,,,,,,,,,,,1.03
2025-02-18,,,,,,,,,,,,,,,,,,,,1.05
2025-02-19,,,,,,,,,,,,,,,,,,,,1.05
2025-02-20,,,,,,,,,,,,,,,,,,,,1.05
2025-02-21,,,,,,,,,,,,,,,,,,,,0.91
2025-02-24,,,,,,,,,,,,,,,,,,,,0.91
2025-02-25,,,,,,,,,,,,,,,,,,,,1.05
2025-02-26,,,,,,,,,,,,,,,,,,,,1.05
2025-02-27,,,,,,,,,,,,,,,,,,,,1.08
2025-02-28,,,,,,,,,,,,,,,,,,,,0.98
2025-03-03,,,,,,,,,,,,,,,,,,,,1.08
2025-03-04,,,,,,,,,,,,,,,,,,,,1.1
2025-03-05,,,,,,,,,,,,,,,,,,,,0.91
2025-03-06,,,,,,,,,,,,,,,,,,,,0.91
2025-03-07,,,,,,,,,,,,,,,,,,,,0.91
2025-03-10,,,,,,,,,,,,,,,,,,,,0.91
