,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_x,ERF FP Equity_y,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity,ERF FP Equity
2008-02-22,573585.0,40107335.7,9.2,28.1,4.11,40.36,1.0,28780632.81,183790.0,411599.0,12851324.96,,,,,,,,1.37,,20000.0,,,,,,,106500.0,15.23,5.35,,,13.58,13.58,1170027.0,81812923.4,,79.6,16.06,11.27,0.4113,61.53,0.4237
2008-02-25,508239.0,37071823.18,8.15,24.76,3.64,36.22,1.0,24526869.76,193790.0,336253.0,14135374.53,,,3029.0,0.56,,,,,4950.0,,,,0.56,3029.0,,6971.0,80296.0,16.16,5.67,,,14.58,14.58,1135164.0,82800806.48,,80.3,16.75,14.86,0.3069,50.64,0.3824
2008-02-26,509639.0,37135005.79,8.17,23.96,3.65,36.89,1.0,24457461.26,193790.0,335653.0,14120569.21,,,,,,1400.0,,,,,,,,,0.11,,2000.0,16.26,0.14,,,14.51,14.51,1141338.0,83163951.81,,82.85,16.4,15.14,0.2965,49.54,0.3817
2008-02-27,505843.0,37631324.58,8.11,23.7,3.63,36.47,1.0,25580653.24,191790.0,343857.0,14267888.93,,,,0.01,,10000.0,,0.41,204.0,2000.0,,,0.01,,0.76,,2000.0,15.87,0.13,,,14.34,14.34,1145492.0,85216917.62,,85.34,15.68,15.4,0.3009,49.81,0.3783
2008-02-28,504943.0,36407060.1,8.1,23.7,3.62,36.58,1.0,24727654.63,191790.0,342957.0,13828313.41,,,,,,,,,,,,,,,,,900.0,15.9,0.06,,,14.2,14.2,1158858.0,83555199.01,,87.84,15.33,15.66,0.2984,49.44,0.3739
2008-02-29,504943.0,37130379.18,8.1,23.74,3.62,36.39,1.0,25218932.54,191790.0,342957.0,14103048.11,,,,,,,,,,,,,,,,,,15.87,,,,14.2,14.2,1158518.0,85190234.59,,86.19,15.55,15.28,0.3001,49.72,0.3739
2008-03-03,501723.0,34842891.12,8.04,24.11,3.6,36.18,1.0,23593535.28,191790.0,339737.0,13319138.42,,,,0.22,,,,,1664.0,,,,0.22,,,,4884.0,15.81,0.39,,,14.11,14.11,1167428.0,81073753.23,,87.35,15.33,16.06,0.3071,50.21,0.3691
2008-03-04,501723.0,35829914.71,8.04,24.36,3.6,35.76,1.0,24261889.0,191790.0,339737.0,13696440.75,,,,,,,,,,,,,,,,,,15.67,,,,13.75,13.75,1202967.0,85908369.78,,86.56,15.33,15.42,0.3114,50.87,0.3597
2008-03-05,499480.0,33341994.99,8.01,25.39,3.58,35.65,1.0,22528876.55,187986.0,337494.0,12548707.2,,,,0.2,,,,1.93,1056.0,3804.0,,,0.2,,,,3299.0,13.7,0.24,,,13.54,13.54,1200763.0,80155029.09,,88.73,13.38,16.18,0.3075,50.24,0.3597
2008-03-06,493966.0,31789874.74,7.92,24.83,3.54,34.7,1.0,21365038.52,187986.0,331980.0,12098102.69,,,,,,,,,,,,,,,,,5514.0,13.4,0.4,,,13.46,13.46,1208491.0,77774133.27,,85.64,13.53,15.69,0.3183,51.6,0.3537
2008-03-07,504884.0,32786633.33,8.1,23.88,3.62,35.14,1.0,22267433.7,187986.0,342898.0,12207612.15,,,,0.59,,,,,10918.0,,,,0.59,,,,,13.34,,,,13.55,13.55,1199519.0,77895496.04,,81.85,14.01,15.02,0.3199,52.08,0.3639
2008-03-10,504991.0,32166645.67,8.1,23.3,3.62,35.06,1.0,21848548.39,187986.0,343005.0,11974231.33,,,,0.01,,,,,107.0,,,,0.01,,,,,13.36,,,,13.56,13.56,1198670.0,76352238.3,,82.13,13.99,15.04,0.3219,52.26,0.3642
2008-03-11,505293.0,32330646.4,8.1,22.96,3.62,34.99,1.0,21966140.88,187986.0,343307.0,12028088.44,,,,0.03,,,,,456.0,,,,0.03,,,,154.0,13.3,0.04,,,13.64,13.64,1189939.0,76137007.72,,80.61,14.16,14.92,0.3236,52.48,0.3667
2008-03-12,505293.0,32301693.58,8.1,22.86,3.62,34.92,1.0,21946469.71,187986.0,343307.0,12017317.02,,,,,,,,,,,,,,,,,,13.24,,,,13.41,13.41,1214242.0,77622434.93,,80.14,14.17,15.02,0.3247,52.6,0.3604
2008-03-13,505305.0,31631704.49,8.1,22.44,3.62,34.91,1.0,21491505.44,187986.0,343319.0,11767779.07,,,,0.0,,,,,12.0,,,,0.0,,,,,13.21,,,,13.62,13.62,1191739.0,74601945.12,,78.69,14.38,15.01,0.325,52.63,0.3662
2008-03-14,504152.0,31299540.62,8.08,21.95,3.61,34.66,1.0,21242876.39,187986.0,342166.0,11670836.26,,,,,,,,,,,,,,,,,1153.0,13.14,0.16,,,13.62,13.62,1191739.0,73987375.32,,77.06,14.57,14.64,0.3277,52.99,0.3654
2008-03-17,476026.0,29344264.17,7.63,20.4,3.41,32.75,1.0,21023153.89,160986.0,341040.0,9923860.7,,,10000.0,,,,,2.41,,37000.0,,,,10000.0,,,1126.0,11.36,0.11,,,11.69,11.69,1216353.0,74981164.39,,77.87,12.74,15.48,0.3609,56.85,0.3456
2008-03-18,504923.0,30788062.44,8.1,20.73,3.62,34.76,1.0,20754745.43,190546.0,340377.0,11618686.7,,,,,,,,,,,,,,,,29560.0,663.0,13.32,0.07,,,13.98,13.98,1172564.0,71497978.2,,74.96,15.08,14.07,0.3241,53.16,0.3704
2008-03-19,486380.0,27924858.65,7.8,19.41,3.49,33.15,1.0,18477669.64,190546.0,321834.0,10939944.31,,,,,,,,,,,,,,,,,2383.0,13.1,0.35,,1.07,13.99,13.99,1171843.0,67279802.07,,73.37,15.15,14.75,0.3498,55.34,0.357
2008-03-20,503576.0,29445951.09,8.07,19.01,3.61,34.05,1.0,19824337.93,190546.0,339030.0,11141929.31,1.06,,,0.0,,,16160.0,,1036.0,,1.06,,0.0,,,,,13.15,,,,14.14,13.95,1157229.0,67667459.4,,71.82,15.48,13.55,0.3269,53.51,0.3687
2008-03-21,503576.0,29445951.09,8.07,18.64,3.61,34.07,1.0,19824337.93,190546.0,339030.0,11141929.31,,,,,,,,,,,,,,,,,,13.15,,,,14.12,13.94,1158729.0,67755169.95,,71.87,15.47,13.68,0.3258,53.37,0.3683
2008-03-24,511016.0,29880995.41,8.19,18.92,3.66,34.44,1.0,19824337.93,197986.0,339030.0,11576973.63,,,7440.0,,,,,,,,,,,7440.0,,,,13.49,,,,14.67,14.47,1151774.0,67348485.38,,70.76,16.01,13.5,0.3208,52.75,0.3736
2008-03-25,499554.0,28671684.95,8.01,18.49,3.58,33.61,1.0,18800623.15,197986.0,327568.0,11363320.52,,,,,,,,0.07,,900.0,,,,,,900.0,11462.0,13.41,0.69,,,14.68,14.49,1150239.0,66017468.03,,70.17,16.05,12.68,0.322,52.97,0.3656
2008-03-26,502928.0,29057449.59,8.1,19.56,3.6,33.66,1.0,19120690.2,197986.0,330942.0,11438949.94,,,3300.0,0.14,,,,0.2,3374.0,3300.0,,,0.14,3300.0,,,,13.33,,,,14.75,14.55,1144697.0,66136654.49,,68.45,16.3,12.81,0.3246,53.25,0.3696
2008-03-27,502916.0,30113365.59,8.1,19.19,3.6,33.77,1.0,19815269.49,197986.0,330930.0,11854911.75,,,,,,,,,,,,,,,,,12.0,13.41,0.0,,,14.96,14.76,1125428.0,67387843.7,,68.2,16.44,12.85,0.3231,53.07,0.3749
2008-03-28,502047.0,30185988.26,8.09,19.35,3.6,33.84,1.0,19845188.74,197986.0,330061.0,11904070.88,,,,,,,,,,,,,,,,,869.0,13.49,0.0,,,14.55,14.55,1163079.0,69931080.23,,71.1,15.95,13.06,0.3188,52.55,0.3689
2008-03-31,502047.0,30296261.09,8.09,19.66,3.6,33.92,1.0,19917685.46,197986.0,330061.0,11947557.79,,,250.0,,,,,0.01,,250.0,,,,250.0,,,,13.62,,,,14.54,14.54,1163473.0,70210322.49,,71.34,16.03,13.07,0.3157,52.21,0.3688
2008-04-01,501803.0,30401340.31,8.09,19.27,3.6,34.17,1.0,19981703.69,197986.0,329817.0,11994826.18,,,,0.07,,,,,1067.0,,,,0.07,,,,1311.0,13.68,0.0,,,14.68,14.68,1150814.0,69721161.58,,71.24,16.1,12.95,0.3144,52.09,0.372
2008-04-02,502811.0,30476814.5,8.1,18.96,3.6,34.2,1.0,20052250.56,197986.0,330825.0,12000498.39,,,,0.06,,,,,1008.0,,,,0.06,,,,,13.64,,,,14.56,14.56,1161980.0,70430935.1,,72.43,15.84,12.95,0.3156,52.24,0.3697
2008-04-03,515814.0,30713257.89,8.31,19.52,3.7,35.05,1.0,19758127.81,210726.0,331828.0,12547317.41,,12740.0,,0.06,0.81,,,,1003.0,,,12740.0,0.06,,,,,14.47,,,,15.13,15.13,1181903.0,70374382.3,,73.77,16.39,12.59,0.2994,50.87,0.3704
2008-04-04,502626.0,29865601.09,8.1,19.14,3.6,34.07,1.0,19646342.1,197986.0,330640.0,11764156.45,,,,0.06,,,,,1008.0,,,,0.06,,,,2196.0,13.58,0.2,0.81,,14.53,14.34,1164542.0,69196075.87,12740.0,72.87,15.71,12.57,0.3169,52.46,0.3641
2008-04-07,514744.0,31111624.74,8.3,20.21,3.69,34.87,1.0,20037268.26,209226.0,331518.0,12645821.61,,10240.0,1000.0,0.04,0.64,,,,1003.0,,,10240.0,0.04,1000.0,,,125.0,14.3,0.0,,,14.98,14.8,1187806.0,71792142.38,,74.31,16.14,12.64,0.3137,52.14,0.364
2008-04-08,529619.0,31813430.73,8.54,20.8,3.8,35.84,1.0,19906287.82,224226.0,331393.0,13468924.49,,,,,,,,,,,,,,,,15000.0,125.0,15.26,0.01,,,16.0,16.0,1176888.0,70693923.11,,73.07,17.28,12.2,0.2963,50.29,0.378
2008-04-09,524379.0,31473632.98,8.45,20.91,3.76,35.48,1.0,19890464.06,218986.0,331393.0,13143709.02,,,5000.0,,,,,,,,,,,5000.0,,,,14.91,,0.63,,16.11,15.97,1140330.0,68443488.2,10240.0,71.35,17.29,12.01,0.2902,49.77,0.3824
2008-04-10,524379.0,32144669.87,8.45,21.86,3.76,35.49,1.0,20314540.78,218986.0,331393.0,13423940.84,,,,,,,,,,,,,,,,,,14.95,,,,16.24,16.09,1129514.0,69239719.06,,70.9,17.41,11.99,0.29,49.76,0.3854
2008-04-11,524379.0,32299909.74,8.45,21.98,3.76,35.65,1.0,20412648.08,218986.0,331393.0,13488770.59,,,,,,,,0.18,,2900.0,,,,,,2900.0,,15.04,,,,16.16,16.02,1135848.0,69964258.45,,72.1,17.26,12.17,0.288,49.48,0.3836
2008-04-14,524379.0,32279878.79,8.45,22.44,3.76,35.74,1.0,20399989.08,214557.0,331393.0,13207763.76,,,1627.0,,,,,,,,,,,1627.0,,3144.0,,14.79,,0.59,,15.34,15.21,1183972.0,72883301.3,9200.0,75.74,16.34,12.19,0.2869,49.35,0.3717
2008-04-15,524379.0,32890822.82,8.45,22.59,3.76,35.77,1.0,20786088.78,214557.0,331393.0,13457740.05,,,,,,,,,,,,,,,,,,14.79,,,,15.42,15.29,1176649.0,73803401.32,,75.46,16.39,12.18,0.2866,49.32,0.3737
2008-04-16,565479.0,35771166.95,9.11,24.93,4.05,38.34,1.0,20906382.52,256557.0,330493.0,16229326.43,,,42000.0,0.1,,,,,500.0,,,,0.1,42000.0,,,1400.0,17.36,0.09,,,18.28,18.13,1146686.0,72537258.41,,75.28,18.74,12.01,0.2559,45.26,0.3995
2008-04-17,570479.0,35559003.18,9.19,25.35,4.09,38.83,1.0,20600235.31,259286.0,330493.0,16161772.3,,,2729.0,,,,,,,,,,,2729.0,,,,17.63,,,,18.34,18.34,1154256.0,71946895.11,,75.9,18.85,11.92,0.2496,44.57,0.4036
2008-04-18,572979.0,35359161.85,9.23,25.81,4.11,38.93,1.0,20549362.86,259286.0,332993.0,16000823.13,,,,0.17,,,,,2500.0,,,,0.17,,,,,17.61,,,,18.81,18.65,1118853.0,69045644.44,,73.98,19.23,11.97,0.2482,44.41,0.4121
2008-04-21,567979.0,34942124.14,9.15,26.36,4.07,38.36,1.0,20178161.74,259286.0,327993.0,15951300.31,,,,,,,,,,,,,,,,,5000.0,17.43,0.35,,,18.7,18.54,1126972.0,69331428.68,,73.01,19.27,12.0,0.2554,45.22,0.4062
2008-04-22,572359.0,35419287.88,9.22,28.4,4.1,38.62,1.0,19497660.19,259286.0,315073.0,16045393.67,,,,,,,,,,,,,,,,,,17.45,,,0.83,18.61,18.45,1134189.0,70187009.72,,73.67,19.15,11.94,0.2515,44.83,0.4072
2008-04-23,567979.0,34692615.03,9.15,29.29,4.07,38.37,1.0,20034076.76,259286.0,327993.0,15837397.83,0.83,,,,,,12920.0,,,,0.83,,,,,,,17.5,,,,18.58,18.42,1136189.0,69399339.73,,73.82,19.16,12.02,0.2547,45.13,0.4035
2008-04-24,564579.0,33487486.58,9.1,29.93,4.05,38.1,1.0,19549507.09,254286.0,329593.0,15082741.32,,,,,,1600.0,,0.33,,5000.0,,,,,0.1,,,17.1,,,,18.05,18.05,1154406.0,68472535.16,,73.97,18.78,12.15,0.2593,45.6,0.4008
2008-04-25,564579.0,34555031.63,9.1,30.72,4.05,38.07,1.0,20172724.35,254286.0,329593.0,15563562.89,,,,,,,,,,,,,,,,,,17.04,,,,18.26,18.04,1138408.0,69676209.09,,73.03,18.92,12.26,0.2595,45.61,0.4005
2008-04-28,570279.0,35617335.8,9.19,31.81,4.09,38.52,1.0,20585054.96,259986.0,329593.0,16237681.32,,,,,,,,,,,,,,,,5700.0,,17.56,,,,18.32,18.32,1159450.0,72414590.04,,74.49,19.08,12.18,0.2531,45.0,0.4018
2008-04-29,570279.0,35671796.56,9.19,32.4,4.09,38.72,1.0,20616530.58,259986.0,329593.0,16262509.58,,,,,,,,,,,,,,,,,,17.66,,,,18.32,18.32,1159450.0,72525315.71,,74.91,19.08,12.07,0.251,44.71,0.4018
2008-04-30,570279.0,35399492.77,9.19,31.95,4.09,38.73,1.0,20459152.48,259986.0,329593.0,16138368.28,,,,,,,,,,,,,,,,,,17.65,,,,18.2,18.2,1168250.0,72517938.46,,75.72,18.9,12.09,0.2508,44.69,0.3993
2008-05-01,570279.0,35399492.77,9.19,33.04,4.09,38.72,1.0,20459152.48,259986.0,329593.0,16138368.28,,,,,,,,,,,,,,,,,,17.64,,,,18.14,18.14,1173267.0,72829363.67,,75.96,18.85,12.13,0.251,44.72,0.3979
2008-05-02,570279.0,35954992.5,9.19,33.04,4.09,38.8,1.0,20780203.8,259986.0,329593.0,16391616.53,,,,,,,,,,,,,,,,,,17.71,,,,18.19,18.19,1169350.0,73725265.14,,75.86,18.93,12.15,0.2507,44.68,0.399
2008-05-05,571445.0,36017592.13,9.21,34.43,4.1,38.9,1.0,20847400.46,259986.0,330759.0,16386650.87,,,,0.11,,,,,1166.0,,,,0.11,,,,,17.7,,,,18.18,18.18,1170350.0,73765959.9,,76.34,18.82,12.07,0.2501,44.58,0.3995
2008-05-06,572988.0,36169565.3,9.23,38.19,4.11,38.99,1.0,20976388.49,259986.0,332302.0,16411479.13,,,,0.1,,,,,1543.0,,,,0.1,,,,,17.7,,,,17.81,17.81,1200062.0,75753280.83,,78.2,18.46,12.02,0.2513,44.77,0.3924
2008-05-07,572988.0,36109373.89,9.23,39.9,4.11,39.0,1.0,20941480.74,259986.0,332302.0,16384168.05,,,,,,,,,,,,,,,,,,17.7,,,,17.8,17.8,1200554.0,75658221.93,,78.63,18.37,12.0,0.2513,44.77,0.3923
2008-05-08,573466.0,36046396.49,9.24,41.18,4.11,39.04,1.0,20917578.07,259986.0,332780.0,16341960.01,,,,0.05,,,,,728.0,,,,0.05,,,,250.0,17.71,0.02,,,18.19,18.19,1169669.0,73521974.34,,76.51,18.8,11.99,0.252,44.86,0.4011
2008-05-09,576766.0,36187728.53,9.29,44.57,4.13,39.18,1.0,21193154.49,259986.0,337780.0,16312166.1,,,1700.0,,,5000.0,,0.11,,1700.0,,,,1700.0,0.33,,,17.65,,,,18.17,18.17,1170746.0,73455506.1,,76.23,18.8,11.86,0.2492,44.65,0.4031
2008-05-12,579287.0,36517397.45,9.34,46.29,4.15,39.34,1.0,21452072.75,259986.0,340301.0,16389133.7,,,556.0,0.18,,,,0.03,2521.0,556.0,,,0.18,556.0,,,,17.64,,,,18.18,18.18,1170190.0,73767050.39,,76.04,18.83,11.79,0.2474,44.42,0.405
2008-05-13,579287.0,36727617.28,9.34,46.05,4.15,39.4,1.0,21575565.98,259986.0,340301.0,16483481.08,,,,,,,,,,,,,,,,,,17.71,,,,18.18,18.18,1170190.0,74191705.43,,76.5,18.8,11.78,0.2469,44.35,0.405
2008-05-14,579680.0,36536635.74,9.34,44.84,4.15,39.48,1.0,21473593.32,264986.0,340694.0,16701795.74,,,5000.0,0.07,,,,,393.0,,,,0.07,5000.0,,,,18.03,,,,18.53,18.53,1165190.0,73440730.39,,76.66,19.04,11.73,0.2467,44.32,0.4053
2008-05-15,578254.0,35894532.84,9.32,40.21,4.14,39.34,1.0,21059718.34,264986.0,339268.0,16448738.23,,,,,,,,,,,,,,,,,1426.0,18.0,0.1,,,18.59,18.59,1160331.0,72026374.53,,76.02,19.14,11.79,0.2458,44.21,0.4057
2008-05-16,576828.0,35178032.9,9.3,40.48,4.13,38.99,1.0,20603398.23,264986.0,337842.0,16160252.67,,,,,,,,0.05,,372.0,,,,,,372.0,1426.0,17.83,0.1,,,18.61,18.61,1158772.0,70668066.64,,74.57,19.29,11.83,0.2493,44.67,0.4051
2008-05-19,580023.0,34785733.23,9.35,40.19,4.16,39.05,1.0,20453020.15,264986.0,341037.0,15892011.71,,,726.0,0.26,,,,0.06,4361.0,726.0,,,0.26,726.0,,,1166.0,17.76,0.13,,,18.97,18.97,1131537.0,67861695.53,,71.88,19.81,11.78,0.2477,44.47,0.4153
2008-05-20,580023.0,34724802.81,9.35,39.38,4.16,38.8,1.0,20417194.79,264986.0,341037.0,15864175.38,,,526.0,,,,,0.04,,526.0,,,,526.0,,,,17.66,,,,18.97,18.74,1131944.0,67767195.77,,72.09,19.67,11.87,0.2499,44.78,0.4102
2008-05-21,583337.0,34744940.4,9.4,39.78,4.18,38.91,1.0,20510365.31,264986.0,344351.0,15783196.98,,,324.0,0.24,,,,0.03,3314.0,324.0,,,0.24,324.0,,,,17.61,,,,19.48,19.24,1095178.0,65231408.83,,68.48,20.46,11.75,0.251,44.96,0.4235
2008-05-22,599837.0,35229353.21,9.67,39.72,4.3,40.0,1.0,21152224.34,268986.0,360151.0,15797963.12,,,876.0,0.99,,,,0.06,15800.0,876.0,,,0.99,876.0,,4000.0,,17.88,,,,19.56,19.32,1105944.0,64953798.8,,69.22,20.52,12.17,0.2582,45.87,0.4309
2008-05-23,599953.0,34147569.07,9.67,37.73,4.3,39.94,1.0,20505343.36,268986.0,360267.0,15309895.97,,,,0.05,,,,,116.0,,,,0.05,,,,,17.78,,,,19.88,19.64,1083753.0,61684049.29,,67.3,20.89,12.17,0.26,46.1,0.438
2008-05-26,645077.0,37929490.97,10.4,38.63,4.62,42.25,1.0,21190411.65,313986.0,360391.0,18461872.23,,,344.0,0.0,,,,0.02,124.0,344.0,,,0.0,344.0,,45000.0,,20.35,,,,22.97,22.68,1053196.0,61926232.32,,64.08,24.1,11.36,0.2312,42.88,0.466
2008-05-27,645061.0,38747861.09,10.4,39.54,4.62,42.5,1.0,21647193.74,313986.0,360375.0,18860675.05,,,,,,,,,,,,,,,,,16.0,20.51,0.0,,,23.25,22.96,1036495.0,62260723.06,,64.02,24.27,11.36,0.2301,42.71,0.4717
2008-05-28,641731.0,38731685.84,10.34,38.68,4.6,42.71,1.0,21549457.28,313986.0,357045.0,18950630.58,,,,,,,,,,,,,,,,,3330.0,20.84,0.17,,,51.02,22.97,301433.0,18192994.04,,19.02,52.27,11.34,0.2261,42.06,0.4694
2008-05-29,632557.0,36915457.32,10.19,38.26,4.53,42.19,1.0,20885029.53,303986.0,357871.0,17740349.42,,,2507.0,0.07,,,,0.81,826.0,12507.0,,,0.07,2507.0,,,,20.2,,,,21.95,21.95,1080695.0,63068387.74,,67.13,23.13,11.49,0.2311,42.79,0.4568
2008-05-30,632557.0,37453090.39,10.19,31.97,4.53,41.82,1.0,21189197.04,303986.0,357871.0,17998718.12,,,,,,,,,,,,,,,,,,19.98,,,,22.1,21.82,1071781.0,63459120.16,,65.93,23.26,11.63,0.234,43.2,0.4541
2008-06-02,648049.0,36885052.65,10.44,31.26,4.64,42.77,1.0,20154506.52,323986.0,354103.0,18440335.02,,,,0.22,,,,0.06,3460.0,1500.0,,,0.22,,,21500.0,7228.0,21.19,0.49,,,23.31,23.02,1066059.0,60676958.59,,66.2,24.25,11.18,0.2298,43.05,0.4605
2008-06-03,641797.0,37221791.06,10.34,29.98,4.6,42.06,1.0,21291045.2,303986.0,367111.0,17630034.7,,,20000.0,0.77,,,,2.51,14608.0,40000.0,,,0.77,20000.0,,,1600.0,19.8,0.1,,,22.63,22.35,1039258.0,60273021.12,,63.26,23.83,11.49,0.2395,43.94,0.4718
2008-06-04,625097.0,34760859.62,10.07,28.86,4.48,41.08,1.0,19652742.15,300986.0,353411.0,16737453.7,,,13500.0,,,,,1.01,,16500.0,,,,13500.0,,,13700.0,19.61,0.84,,,22.67,22.38,1026864.0,57102618.24,,62.59,23.86,11.17,0.2322,42.91,0.4648
2008-06-05,548506.0,30905067.56,8.84,24.16,3.93,34.47,1.0,19941128.81,221889.0,353917.0,12502132.22,,,,0.0,,,,7.67,506.0,104902.0,,,0.0,,,25805.0,,13.15,,,,16.59,16.59,1115598.0,62857346.25,,66.38,16.54,14.92,0.2274,41.6,0.4101
2008-06-06,651603.0,35239191.84,10.5,27.67,4.67,41.94,1.0,19140103.8,323786.0,353917.0,17510596.13,,,2500.0,,,,,0.41,,6700.0,,,,2500.0,,106097.0,,20.56,,,,60.56,24.67,210831.0,11401902.78,,13.12,61.05,14.03,0.2258,41.59,0.4965
2008-06-09,541786.0,28120538.3,8.73,22.18,3.88,33.77,1.0,18186797.48,217489.0,350397.0,11288419.7,,,,0.0,,,,7.74,17.0,106297.0,,,0.0,,,,3537.0,12.67,0.06,,,100.0,16.67,0.0,0.0,,0.0,100.0,14.14,0.2295,42.06,0.4154
2008-06-10,540286.0,29152007.37,8.71,21.52,3.87,33.3,1.0,18906238.41,215989.0,350397.0,11654036.79,,,,,,,,0.08,,1500.0,,,,,,,,12.41,,,,100.0,16.65,0.0,0.0,,0.0,100.0,13.96,0.2332,42.64,0.4166
2008-06-11,578058.0,30560735.39,9.32,22.16,4.14,35.56,1.0,18703989.72,250371.0,353787.0,13236598.89,,,60000.0,0.31,,,,1.36,3390.0,25618.0,,,0.31,60000.0,,,,14.37,,,,19.12,19.12,1059056.0,55990108.57,,59.01,19.58,18.61,0.2251,40.19,0.4415
2008-06-12,556058.0,28855993.44,8.96,21.62,3.99,34.21,1.0,18359371.41,228371.0,353787.0,11851051.65,,,,,,,,1.26,,22000.0,,,,,,,,13.06,,,,17.44,17.44,1081056.0,56100163.73,,59.94,17.9,19.3,0.239,41.77,0.4247
2008-06-13,565615.0,28665948.03,9.12,21.76,4.05,34.51,1.0,18490667.93,226871.0,364844.0,11498054.85,,,,0.54,,,,0.15,11057.0,2000.0,,,0.54,,,500.0,,12.86,,,,17.29,17.29,1084949.0,54986327.53,,59.01,17.89,19.2,0.2428,42.27,0.4312
2008-06-16,561703.0,28360400.33,9.05,20.77,4.03,34.19,1.0,18267999.07,225989.0,361814.0,11410190.99,,,,,,,,0.05,,882.0,,,,,,,3030.0,12.72,0.19,,,16.82,16.82,1117299.0,56412458.05,,59.83,17.53,19.42,0.2465,42.66,0.4182
2008-06-17,523022.0,26562233.69,8.35,18.67,3.73,31.84,1.0,15998933.56,235096.0,315026.0,11939602.72,,,8408.0,1.17,,1000.0,,,22580.0,,,,1.17,8408.0,0.05,699.0,70368.0,13.16,3.96,,,17.65,17.65,1097007.0,55712678.04,,58.07,18.48,20.74,0.2952,48.31,0.3926
2008-06-18,644365.0,32386320.99,10.28,22.2,4.6,38.42,1.0,20424444.02,305746.0,406369.0,15367048.33,,,70650.0,5.07,,,,,93343.0,,,,5.07,70650.0,,,2000.0,17.27,0.11,,,22.67,22.67,1043069.0,52425515.73,,54.57,24.04,17.18,0.2224,40.02,0.4777
2008-06-19,662365.0,33088600.51,10.57,22.17,4.73,39.43,1.0,20200349.2,325746.0,404369.0,16272718.61,,,,,,,,,,,,,,,,20000.0,2000.0,18.39,0.11,,,24.57,24.57,1000164.0,49963429.59,,52.0,26.12,16.86,0.2118,38.71,0.4996
2008-06-20,631473.0,31503170.05,10.08,20.81,4.51,37.16,1.0,18632165.49,325746.0,373477.0,16250942.85,,,,,,,,,,,,,,,,,30892.0,18.24,2.1,,,24.81,24.81,987208.0,49250215.76,,51.01,26.33,17.81,0.2035,37.36,0.481
2008-06-23,627473.0,31519338.2,10.02,19.86,4.48,36.92,1.0,18559636.07,325746.0,369477.0,16362932.5,,,,,,,,,,,,,,,,,4000.0,18.29,0.29,,,24.74,24.74,990952.0,49777681.64,,51.32,26.28,17.93,0.2005,36.82,0.4766
2008-06-24,626269.0,31596416.4,10.0,19.73,4.47,36.86,1.0,18640790.37,324542.0,369477.0,16373737.44,,,,,,,,0.07,,1204.0,,,,,,,,18.23,,,,24.23,24.23,1015143.0,51215820.9,,52.64,25.73,17.97,0.2011,36.88,0.4675
2008-06-25,634093.0,32578534.0,10.12,20.12,4.52,37.25,1.0,19496831.46,322366.0,379477.0,16562573.14,,,,0.53,,,,0.11,10000.0,2176.0,,,0.53,,,,,18.11,,,,23.78,23.78,1033249.0,53086436.34,,53.75,25.2,17.71,0.2069,37.92,0.4678
2008-06-26,636802.0,32194720.48,10.16,21.04,4.54,37.52,1.0,18826218.24,330075.0,372377.0,16687561.22,,,4709.0,,,,,0.1,,2000.0,,,,4709.0,,5000.0,,18.58,,,0.38,24.66,24.66,1008441.0,50983627.74,,52.89,25.99,17.6,0.2044,37.67,0.4758
2008-06-27,652121.0,34233415.08,10.41,21.42,4.65,38.39,1.0,20725011.68,330075.0,394796.0,17327450.71,0.38,,,0.81,,,7100.0,,15319.0,,0.38,,0.81,,,,,18.63,,,,24.56,24.56,1013647.0,53211901.62,,53.05,25.99,17.23,0.2114,38.92,0.4853
2008-06-30,651910.0,33307169.57,10.41,20.73,4.65,38.59,1.0,20176866.24,329745.0,394915.0,16847222.21,,,2000.0,0.0,,,,0.14,119.0,2330.0,,,0.0,2000.0,,,,18.74,,,,24.54,24.54,1013977.0,51805776.69,,54.43,25.61,17.15,0.2101,38.77,0.4852
2008-07-01,670910.0,33995999.48,10.71,20.88,4.79,39.42,1.0,20973683.69,329745.0,413915.0,16708665.62,,,,0.84,,3000.0,,,16000.0,,,,0.84,,0.16,,,18.59,,,,24.54,24.54,1013997.0,51380723.92,,53.68,25.72,16.76,0.2178,40.08,0.4993
2008-07-02,676110.0,33258695.61,10.79,20.5,4.82,39.44,1.0,20469216.73,332745.0,416115.0,16368142.27,,,,0.07,,200.0,,,2000.0,,,,0.07,,0.01,3000.0,,18.56,,,,22.85,22.85,1123741.0,55278223.76,,58.61,24.05,16.63,0.2208,40.57,0.4642
