,EC FP Equity_DX_SI_QTY,EC FP Equity_DX_SHORT_INTEREST_VALUE,EC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EC FP Equity_DX_SI_MV,EC FP Equity_DX_DSS,EC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY,EC FP Equity_DX_BROKER_SI_QTY,EC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EC FP Equity_DX_BROKER_SI_MV_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EC FP Equity_DX_SUPPLY_SI_QTY_INC_x,EC FP Equity_DX_BROKER_SI_MV_INC_x,EC FP Equity_DX_SUPPLY_SI_MV_NEW,EC FP Equity_DX_BROKER_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_NEW,EC FP Equity_DX_SUPPLY_SI_MV_DEC,EC FP Equity_DX_BROKER_SI_QTY_INC,EC FP Equity_DX_SUPPLY_SI_QTY_DEC,EC FP Equity_DX_BROKER_SI_MV_NEW_y,EC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EC FP Equity_DX_BROKER_SI_MV_INC_y,EC FP Equity_DX_SUPPLY_SI_QTY_INC_y,EC FP Equity_DX_BROKER_SI_MV_ADD,EC FP Equity_DX_SUPPLY_SI_QTY_ADD,EC FP Equity_DX_BROKER_SI_QTY_DEC,EC FP Equity_DX_SUPPLY_SI_MV,EC FP Equity_DX_BROKER_SI_MV_DEC,EC FP Equity_DX_SUPPLY_SI_MV_RMV,EC FP Equity_DX_BROKER_SI_MV_RMV,EC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EC FP Equity_DX_UTILIZATION_QUANTITY,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EC FP Equity_DX_ACTIVE_UTILIZATION_MV,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EC FP Equity_DX_BROKER_SI_CON_RATIO,EC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EC FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-08-27,390.0,60831.21,0.05,0.28,0.01,0.09,0.0,54592.11,390.0,350.0,60831.21,,,,,,,,,,,,,,,,,,0.09,,,,100.0,2.41,0.0,0.0,,0.0,100.0,28.75,0.5903,71.25,0.0241
2009-08-28,1390.0,215904.54,0.18,1.04,0.03,0.33,0.0,132027.95,890.0,850.0,138241.03,,,500.0,,,500.0,,,,,,,,500.0,0.12,,,0.21,,,,24.64,5.51,2722.0,422800.11,,0.64,24.66,29.3,0.4469,58.92,0.086
2009-08-31,1390.0,210535.06,0.18,1.05,0.03,0.33,0.0,128744.46,890.0,850.0,134803.03,,,,,,,,,,,,,,,,,,0.21,,,,24.64,5.99,2722.0,412285.21,,0.64,24.57,29.47,0.4461,58.77,0.0936
2009-09-01,1390.0,208505.36,0.18,1.09,0.03,0.32,0.0,127503.28,890.0,850.0,133503.43,,,,,,,,,,,,,,,,,,0.2,,,,24.64,5.99,2722.0,408310.51,,0.62,24.68,29.61,0.4455,58.66,0.0935
2009-09-02,890.0,132912.71,0.12,0.77,0.02,0.2,0.0,126939.11,390.0,850.0,58242.65,,,,,,,,0.11,,500.0,,,,,,,,0.09,,,,100.0,2.62,0.0,0.0,,0.0,100.0,29.46,0.4461,58.78,0.0599
2009-09-03,390.0,58584.34,0.05,0.34,0.01,0.09,0.0,52575.69,390.0,350.0,58584.34,,,,,,,,,,,,,,,,,500.0,0.09,0.11,,,100.0,2.62,0.0,0.0,,0.0,100.0,28.61,0.5915,71.39,0.0262
2009-09-04,390.0,58501.51,0.05,0.34,0.01,0.09,0.0,52501.35,140.0,350.0,21000.54,,,,,,,,0.06,,250.0,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,28.63,0.5913,71.37,0.0262
2009-09-07,390.0,57986.38,0.05,0.34,0.01,0.09,0.0,52039.06,140.0,350.0,20815.62,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,28.73,0.5905,71.27,0.0261
2009-09-08,140.0,20907.62,0.02,0.12,0.0,0.03,0.0,14934.01,140.0,100.0,20907.62,,,,,,,,,,,,,,,,,250.0,0.03,0.06,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-09,140.0,20908.55,0.02,0.12,0.0,0.03,0.0,14934.68,140.0,100.0,20908.55,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-10,140.0,20955.01,0.02,0.12,0.0,0.03,0.0,14967.86,140.0,100.0,20955.01,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-11,140.0,21047.0,0.02,0.12,0.0,0.03,0.0,15033.57,140.0,100.0,21047.0,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-14,140.0,20944.79,0.02,0.12,0.0,0.03,0.0,14960.56,140.0,100.0,20944.79,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-15,140.0,20633.5,0.02,0.12,0.0,0.03,0.0,14738.21,140.0,100.0,20633.5,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-16,140.0,21093.46,0.02,0.12,0.0,0.03,0.0,15066.76,140.0,100.0,21093.46,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-17,140.0,21372.23,0.02,0.11,0.0,0.03,0.0,15265.88,140.0,100.0,21372.23,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-18,140.0,21279.31,0.02,0.11,0.0,0.03,0.0,15199.51,140.0,100.0,21279.31,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.94,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0094
2009-09-21,140.0,21104.61,0.02,0.11,0.0,0.03,0.0,15074.72,140.0,100.0,21104.61,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.93,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0093
2009-09-22,140.0,21088.82,0.02,0.11,0.0,0.03,0.0,15063.44,140.0,100.0,21088.82,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.92,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0092
2009-09-23,140.0,21007.04,0.02,0.11,0.0,0.03,0.0,15005.03,140.0,100.0,21007.04,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.81,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0081
2009-09-24,140.0,20907.62,0.02,0.11,0.0,0.03,0.0,14934.01,140.0,100.0,20907.62,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.91,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0091
2009-09-25,140.0,21186.39,0.02,0.12,0.0,0.03,0.0,15133.13,140.0,100.0,21186.39,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.91,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0091
2009-09-28,140.0,21273.73,0.02,0.13,0.0,0.03,0.0,15195.52,140.0,100.0,21273.73,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.91,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0091
2009-09-29,140.0,21279.31,0.02,0.14,0.0,0.03,0.0,15199.51,140.0,100.0,21279.31,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.91,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0091
2009-09-30,140.0,21096.25,0.02,0.16,0.0,0.03,0.0,15068.75,140.0,100.0,21096.25,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.91,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0091
2009-10-01,140.0,21186.39,0.02,0.16,0.0,0.03,0.0,15133.13,140.0,100.0,21186.39,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.91,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0091
2009-10-02,140.0,21306.26,0.02,0.16,0.0,0.03,0.0,15218.75,140.0,100.0,21306.26,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.9,0.0,0.0,,0.0,100.0,,1.0,100.0,0.009
2009-10-05,140.0,21343.43,0.02,0.16,0.0,0.03,0.0,15245.3,140.0,100.0,21343.43,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.89,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0089
2009-10-06,140.0,21476.3,0.02,0.17,0.0,0.03,0.0,15340.22,140.0,100.0,21476.3,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.87,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0087
2009-10-07,140.0,21553.43,0.02,0.18,0.0,0.03,0.0,15395.31,140.0,100.0,21553.43,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.86,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0086
2009-10-08,140.0,21929.77,0.02,0.18,0.0,0.03,0.0,15664.12,140.0,100.0,21929.77,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-09,140.0,22115.61,0.02,0.17,0.0,0.03,0.0,15796.87,140.0,100.0,22115.61,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-12,140.0,22755.85,0.02,0.17,0.0,0.03,0.0,16254.18,140.0,100.0,22755.85,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-13,140.0,23415.6,0.02,0.16,0.0,0.03,0.0,16725.43,140.0,100.0,23415.6,,,,,,,,,,,,,,,,,,0.03,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-14,140.0,24670.99,0.02,0.14,0.0,0.03,0.0,17622.13,140.0,100.0,24670.99,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-15,140.0,26018.37,0.02,0.12,0.0,0.04,0.0,18584.55,140.0,100.0,26018.37,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-16,140.0,27690.98,0.02,0.11,0.0,0.04,0.0,19779.27,140.0,100.0,27690.98,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-19,140.0,28361.88,0.02,0.08,0.0,0.04,0.0,20258.49,140.0,100.0,28361.88,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-20,140.0,28164.88,0.02,0.07,0.0,0.04,0.0,20117.77,140.0,100.0,28164.88,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-21,140.0,27412.21,0.02,0.07,0.0,0.04,0.0,19580.15,140.0,100.0,27412.21,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-22,140.0,26966.18,0.02,0.07,0.0,0.04,0.0,19261.56,140.0,100.0,26966.18,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-23,140.0,26947.6,0.02,0.07,0.0,0.04,0.0,19248.28,140.0,100.0,26947.6,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-26,140.0,26138.24,0.02,0.07,0.0,0.04,0.0,18670.17,140.0,100.0,26138.24,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.84,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0084
2009-10-27,140.0,26854.67,0.02,0.07,0.0,0.04,0.0,19181.91,140.0,100.0,26854.67,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0079
2009-10-28,140.0,25812.08,0.02,0.07,0.0,0.04,0.0,18437.2,140.0,100.0,25812.08,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0079
2009-10-29,140.0,26474.62,0.02,0.07,0.0,0.04,0.0,18910.44,140.0,100.0,26474.62,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.79,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0079
2009-10-30,178.0,33115.94,0.02,0.09,0.0,0.05,0.0,25674.16,178.0,138.0,33115.94,,,,,,38.0,,,,,,,,,0.01,38.0,,0.05,,,,100.0,1.0,0.0,0.0,,0.0,100.0,28.65,0.5911,71.35,0.01
2009-11-02,178.0,33033.24,0.02,0.09,0.0,0.05,0.0,25610.04,178.0,138.0,33033.24,,,,,,,,,,,,,,,,,,0.05,,,,100.0,1.0,0.0,0.0,,0.0,100.0,28.49,0.5925,71.51,0.01
2009-11-03,178.0,32318.46,0.02,0.09,0.0,0.05,0.0,25055.89,178.0,138.0,32318.46,,,,,,,,,,,,,,,,,,0.05,,,,100.0,1.0,0.0,0.0,,0.0,100.0,28.66,0.5911,71.34,0.01
2009-11-04,3178.0,580070.23,0.42,1.52,0.07,0.86,0.0,25188.7,3178.0,138.0,580070.23,,,,,,,,,,,,,,,,3000.0,,0.86,,,,100.0,18.21,0.0,0.0,,0.0,100.0,28.23,0.5948,71.77,0.1821
2009-11-05,3178.0,597472.34,0.42,1.5,0.07,0.86,0.0,25944.36,3178.0,138.0,597472.34,,,,,,,,,,,,,,,,,,0.86,,,,100.0,18.21,0.0,0.0,,0.0,100.0,28.45,0.5929,71.55,0.1821
2009-11-06,3178.0,600952.76,0.42,1.5,0.07,0.9,0.0,26095.49,3178.0,138.0,600952.76,,,,,,,,,,,,,,,,,,0.9,,,,100.0,18.21,0.0,0.0,,0.0,100.0,28.57,0.5919,71.43,0.1821
2009-11-09,3559.0,692133.07,0.47,1.68,0.08,1.0,0.0,610259.51,559.0,3138.0,108710.98,,,,,,3000.0,,0.74,,2619.0,,,,,0.84,,,0.16,,,,16.13,3.2,2906.0,565141.53,,0.83,16.11,3.23,0.913,95.49,0.2039
2009-11-10,3559.0,686251.12,0.47,1.66,0.08,1.01,0.0,605073.34,559.0,3138.0,107787.12,,,,,,,,0.11,,381.0,,,,,,,,0.16,,,,16.13,3.17,2906.0,560338.79,,0.83,16.08,3.3,0.9111,95.39,0.2016
2009-11-11,789.0,154382.64,0.1,0.37,0.02,0.23,0.0,101552.08,408.0,519.0,79832.85,,,,,,,,0.04,,151.0,,,,,,230.0,2619.0,0.12,0.74,,,11.77,2.27,3057.0,598159.37,,0.89,11.82,19.06,0.579,73.26,0.044
2009-11-12,789.0,153178.17,0.1,0.37,0.02,0.23,0.0,100759.78,408.0,519.0,79210.0,,,,,,,,,,,,,,,,,,0.12,,,,11.77,2.13,3057.0,593492.59,,0.9,11.82,19.13,0.5778,73.16,0.0411
2009-11-13,1030.0,198257.31,0.14,0.49,0.02,0.3,0.0,99898.59,649.0,519.0,124921.36,,,241.0,,,,,,,,,,,241.0,,,,0.19,,,,18.73,3.36,2816.0,542031.64,,0.82,18.74,19.02,0.5808,73.41,0.0533
2009-11-16,879.0,167663.84,0.12,0.42,0.02,0.25,0.0,70193.74,649.0,368.0,123792.76,,,,,,,,,,,,,,,,,151.0,0.19,0.05,,,18.73,3.34,2816.0,537134.67,,0.82,18.63,27.04,0.472,62.24,0.0452
2009-11-17,879.0,164641.71,0.12,0.41,0.02,0.25,0.0,68928.5,649.0,368.0,121561.4,,,,,,,,,,,,,,,,,,0.19,,,,18.73,3.32,2816.0,527452.86,,0.81,18.75,26.87,0.4724,62.33,0.0449
2009-11-18,879.0,164046.62,0.12,0.4,0.02,0.25,0.0,68679.36,649.0,368.0,121122.02,,,,,,,,,,,,,,,,,,0.18,,,,18.73,3.27,2816.0,525546.41,,0.8,18.61,26.74,0.4756,62.68,0.0442
2009-11-19,408.0,74470.94,0.05,0.19,0.01,0.12,0.0,67169.87,178.0,368.0,32489.77,,,,,,,,0.13,,471.0,,,,,,,,0.05,,,,100.0,0.9,0.0,0.0,,0.0,100.0,27.04,0.4709,62.14,0.0205
2009-11-20,408.0,74064.74,0.05,0.19,0.01,0.11,0.0,66803.49,178.0,368.0,32312.56,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.9,0.0,0.0,,0.0,100.0,26.77,0.4744,62.56,0.0205
2009-11-23,523.0,94149.36,0.07,0.24,0.01,0.14,0.0,66246.59,293.0,368.0,52745.25,,,,,,,,,,,,,,,,115.0,,0.08,,,,8.46,1.47,3172.0,571016.8,,0.87,8.4,26.63,0.4768,62.83,0.0263
2009-11-24,408.0,73116.93,0.05,0.19,0.01,0.11,0.0,45339.66,293.0,253.0,52507.99,,,,,,,,,,,,,,,,,115.0,0.08,0.03,,,8.46,1.47,3172.0,568448.25,,0.86,8.43,38.62,0.3841,45.96,0.0205
2009-11-25,408.0,73387.73,0.05,0.2,0.01,0.11,0.0,45507.59,293.0,253.0,52702.46,,,,,,,,,,,,,,,,,,0.08,,,,8.46,1.47,3172.0,570553.62,,0.86,8.4,39.43,0.3824,45.04,0.0205
2009-11-26,408.0,71762.91,0.05,0.22,0.01,0.11,0.0,44500.04,293.0,253.0,51535.62,,,,,,,,,,,,,,,,,,0.08,,,,8.46,1.45,3172.0,557921.43,,0.86,8.4,39.4,0.3821,45.01,0.0201
2009-11-27,408.0,73062.76,0.05,0.23,0.01,0.11,0.0,45306.08,293.0,253.0,52469.09,,,,,,,,,,,,,,,,,,0.08,,,,8.46,1.45,3172.0,568027.18,,0.84,8.54,38.62,0.3841,45.94,0.0201
2009-11-30,408.0,71849.57,0.05,0.31,0.01,0.11,0.0,44553.77,293.0,253.0,51597.85,,,,,,,,,,,,,,,,,,0.08,,,,8.46,1.45,3172.0,558595.15,,0.86,8.39,39.42,0.3815,44.89,0.0201
2009-12-01,361.0,65892.18,0.05,0.33,0.01,0.1,0.0,46179.29,246.0,253.0,44901.6,,,,,,,,0.01,,47.0,,,,,,,,0.07,,,,7.1,1.21,3219.0,587553.83,,0.85,7.22,39.05,0.3831,45.45,0.0178
2009-12-02,361.0,66397.75,0.05,0.33,0.01,0.1,0.0,46533.61,246.0,253.0,45246.12,,,,,,,,,,,,,,,,,,0.07,,,,7.1,1.21,3219.0,592061.97,,0.89,7.14,39.57,0.3805,44.6,0.0178
2009-12-03,361.0,68048.65,0.05,0.36,0.01,0.1,0.0,47690.61,246.0,253.0,46371.1,,,,,,,,,,,,,,,,,,0.07,,,,7.1,1.2,3219.0,606782.87,,0.89,7.19,39.83,0.3799,44.27,0.0176
2009-12-04,314.0,58547.22,0.04,0.31,0.01,0.09,0.0,38409.96,246.0,206.0,45868.21,,,,,,,,,,,,,,,,,47.0,0.07,0.01,,,100.0,1.2,0.0,0.0,,0.0,100.0,32.34,0.3745,48.15,0.0153
2009-12-07,246.0,45241.22,0.03,0.25,0.01,0.07,0.0,37884.92,178.0,206.0,32735.51,,,,,,,,0.02,,68.0,,,,,,,,0.05,,,,100.0,0.87,0.0,0.0,,0.0,100.0,33.32,0.374,47.6,0.012
2009-12-08,246.0,45298.36,0.03,0.25,0.01,0.07,0.0,37932.78,178.0,206.0,32776.87,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.87,0.0,0.0,,0.0,100.0,33.53,0.3734,47.39,0.012
2009-12-09,178.0,32147.15,0.02,0.19,0.0,0.05,0.0,24923.07,178.0,138.0,32147.15,,,,,,,,,,,,,,,,,68.0,0.05,0.02,,,100.0,0.87,0.0,0.0,,0.0,100.0,28.53,0.5922,71.47,0.0087
2009-12-10,178.0,31675.76,0.02,0.19,0.0,0.05,0.0,24557.61,178.0,138.0,31675.76,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.87,0.0,0.0,,0.0,100.0,28.53,0.5922,71.47,0.0087
2009-12-11,178.0,31679.3,0.02,0.19,0.0,0.05,0.0,24560.36,178.0,138.0,31679.3,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.65,0.5912,71.35,0.0089
2009-12-14,178.0,31320.14,0.02,0.19,0.0,0.05,0.0,24281.91,178.0,138.0,31320.14,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.47,0.5927,71.53,0.0089
2009-12-15,178.0,31072.04,0.02,0.18,0.0,0.05,0.0,24089.56,178.0,138.0,31072.04,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.68,0.5909,71.32,0.0089
2009-12-16,178.0,30834.57,0.02,0.18,0.0,0.05,0.0,23905.45,178.0,138.0,30834.57,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.55,0.592,71.45,0.0089
2009-12-17,178.0,30599.46,0.02,0.18,0.0,0.05,0.0,23723.18,178.0,138.0,30599.46,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.85,0.5895,71.15,0.0089
2009-12-18,178.0,30499.04,0.02,0.18,0.0,0.05,0.0,23645.32,178.0,138.0,30499.04,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.51,0.5923,71.49,0.0089
2009-12-21,178.0,30422.24,0.02,0.18,0.0,0.05,0.0,23585.78,178.0,138.0,30422.24,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.49,0.5925,71.51,0.0089
2009-12-22,178.0,30126.88,0.02,0.18,0.0,0.05,0.0,23356.8,178.0,138.0,30126.88,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.6,0.5916,71.4,0.0089
2009-12-23,178.0,29299.87,0.02,0.18,0.0,0.05,0.0,22715.63,178.0,138.0,29299.87,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.38,0.5935,71.62,0.0089
2009-12-24,178.0,29347.13,0.02,0.17,0.0,0.04,0.0,22752.27,178.0,138.0,29347.13,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.45,0.5929,71.55,0.0089
2009-12-25,178.0,29347.13,0.02,0.16,0.0,0.04,0.0,22752.27,178.0,138.0,29347.13,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.39,0.5934,71.61,0.0089
2009-12-28,178.0,29488.9,0.02,0.16,0.0,0.04,0.0,22862.18,178.0,138.0,29488.9,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.48,0.5926,71.52,0.0089
2009-12-29,178.0,30923.18,0.02,0.16,0.0,0.04,0.0,23974.15,178.0,138.0,30923.18,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.56,0.5919,71.44,0.0089
2009-12-30,178.0,30894.82,0.02,0.16,0.0,0.05,0.0,23952.16,178.0,138.0,30894.82,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.62,0.5914,71.38,0.0089
2009-12-31,178.0,30835.75,0.02,0.16,0.0,0.05,0.0,23906.37,178.0,138.0,30835.75,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.49,0.5925,71.51,0.0089
2010-01-01,178.0,30835.75,0.02,0.16,0.0,0.05,0.0,23906.37,178.0,138.0,30835.75,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.51,0.5923,71.49,0.0089
2010-01-04,178.0,31190.18,0.02,0.16,0.0,0.05,0.0,24181.15,178.0,138.0,31190.18,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.42,0.5932,71.58,0.0089
2010-01-05,178.0,31556.43,0.02,0.16,0.0,0.05,0.0,24465.1,178.0,138.0,31556.43,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.62,0.5914,71.38,0.0089
2010-01-06,178.0,31896.69,0.02,0.16,0.0,0.05,0.0,24728.89,178.0,138.0,31896.69,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.52,0.5923,71.48,0.0089
2010-01-07,178.0,32253.48,0.02,0.16,0.0,0.05,0.0,25005.51,178.0,138.0,32253.48,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.61,0.5915,71.39,0.0089
2010-01-08,178.0,32991.89,0.02,0.16,0.0,0.05,0.0,25577.98,178.0,138.0,32991.89,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.39,0.5934,71.61,0.0089
2010-01-11,178.0,32997.8,0.02,0.16,0.0,0.05,0.0,25582.56,178.0,138.0,32997.8,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.24,0.5947,71.76,0.0089
2010-01-12,178.0,31899.05,0.02,0.16,0.0,0.05,0.0,24730.72,178.0,138.0,31899.05,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.59,0.5917,71.41,0.0089
2010-01-13,178.0,32135.34,0.02,0.15,0.0,0.05,0.0,24913.92,178.0,138.0,32135.34,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.56,0.592,71.44,0.0089
2010-01-14,178.0,32924.55,0.02,0.15,0.0,0.05,0.0,25525.77,178.0,138.0,32924.55,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.52,0.5923,71.48,0.0089
2010-01-15,178.0,32631.55,0.02,0.16,0.0,0.05,0.0,25298.62,178.0,138.0,32631.55,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.64,0.5913,71.36,0.0089
2010-01-18,178.0,33293.16,0.02,0.16,0.0,0.05,0.0,25811.55,178.0,138.0,33293.16,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.82,0.5897,71.18,0.0089
2010-01-19,178.0,32607.92,0.02,0.16,0.0,0.05,0.0,25280.3,178.0,138.0,32607.92,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.64,0.5913,71.36,0.0089
2010-01-20,178.0,32368.08,0.02,0.16,0.0,0.05,0.0,25094.36,178.0,138.0,32368.08,,,,,,,,,,,,,,,,,,0.05,,,,100.0,0.89,0.0,0.0,,0.0,100.0,28.77,0.5901,71.23,0.0089
