,ATE FP Equity_DX_SI_QTY,ATE FP Equity_DX_SHORT_INTEREST_VALUE,ATE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ATE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ATE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ATE FP Equity_DX_SI_MV,ATE FP Equity_DX_DSS,ATE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ATE FP Equity_DX_SUPPLY_SI_QTY,ATE FP Equity_DX_BROKER_SI_QTY,ATE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ATE FP Equity_DX_BROKER_SI_MV_NEW_x,ATE FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ATE FP Equity_DX_SUPPLY_SI_QTY_INC_x,ATE FP Equity_DX_BROKER_SI_MV_INC_x,ATE FP Equity_DX_SUPPLY_SI_MV_NEW,ATE FP Equity_DX_BROKER_SI_QTY_ADD,ATE FP Equity_DX_BROKER_SI_QTY_NEW,ATE FP Equity_DX_SUPPLY_SI_MV_DEC,ATE FP Equity_DX_BROKER_SI_QTY_INC,ATE FP Equity_DX_SUPPLY_SI_QTY_DEC,ATE FP Equity_DX_BROKER_SI_MV_NEW_y,ATE FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ATE FP Equity_DX_BROKER_SI_MV_INC_y,ATE FP Equity_DX_SUPPLY_SI_QTY_INC_y,ATE FP Equity_DX_BROKER_SI_MV_ADD,ATE FP Equity_DX_SUPPLY_SI_QTY_ADD,ATE FP Equity_DX_BROKER_SI_QTY_DEC,ATE FP Equity_DX_SUPPLY_SI_MV,ATE FP Equity_DX_BROKER_SI_MV_DEC,ATE FP Equity_DX_SUPPLY_SI_MV_RMV,ATE FP Equity_DX_BROKER_SI_MV_RMV,ATE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ATE FP Equity_DX_UTILIZATION_QUANTITY,ATE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ATE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ATE FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ATE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ATE FP Equity_DX_ACTIVE_UTILIZATION_MV,ATE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ATE FP Equity_DX_BROKER_SI_CON_RATIO,ATE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ATE FP Equity_DX_DEMAND_SUPPLY_RATIO
2009-02-05,499046.0,5215387.78,2.69,4.01,1.57,7.65,1.0,4745701.27,121434.0,454103.0,1269072.19,,,8963.0,,,,,0.12,,9650.0,,,,8963.0,,,,1.56,,,,11.15,11.15,968059.0,10116909.21,,12.86,10.83,18.76,0.428,61.33,0.4581
2009-02-06,498968.0,5371533.0,2.69,3.79,1.57,7.75,1.0,4888548.46,121356.0,454103.0,1306431.99,,,,,,,,0.0,,78.0,,,,,,,,1.62,,,,11.05,11.05,977247.0,10520343.01,,13.42,10.79,19.09,0.4208,60.57,0.4542
2009-02-09,510484.0,5469733.45,2.77,3.85,1.61,7.96,1.0,4919153.51,127876.0,459099.0,1370165.64,,,6520.0,,,4996.0,,,,,,,,6520.0,0.07,,,1.76,,,,11.65,11.65,969727.0,10390429.89,,13.39,11.62,18.51,0.4005,59.01,0.4651
2009-02-10,521795.0,5430840.34,2.83,3.85,1.64,8.1,1.0,4840696.55,136192.0,465094.0,1417485.81,,,9008.0,,,5995.0,,0.1,,7385.0,,,,9008.0,0.08,6693.0,,1.89,,,,12.31,12.31,970411.0,10100033.93,,13.2,12.51,17.66,0.3857,57.95,0.4715
2009-02-11,531655.0,5496298.13,2.88,3.96,1.68,8.23,1.0,4808184.41,146052.0,465094.0,1509898.97,,,,,,,,,,,,,,,,9860.0,,1.96,,,,13.2,13.2,960000.0,9924568.01,,12.81,13.29,17.24,0.3735,56.97,0.4807
2009-02-12,531655.0,5248531.12,2.88,3.82,1.68,8.13,1.0,4591436.8,146052.0,465094.0,1441834.4,,,,,,,,,,,,,,,,,,1.94,,,,13.2,13.2,960000.0,9477179.52,,12.37,13.53,16.67,0.3795,57.7,0.4807
2009-02-13,531655.0,5184524.65,2.88,3.75,1.68,8.06,1.0,4535443.67,146052.0,465094.0,1424251.05,,,,,,,,,,,,,,,,,,1.85,,,,13.2,13.2,960000.0,9361604.16,,12.09,13.25,16.59,0.3837,58.11,0.4807
2009-02-16,521795.0,5141060.43,2.83,3.61,1.64,7.91,1.0,4582405.65,136192.0,465094.0,1341851.3,,,,,,,,0.13,,9860.0,,,,,,,,1.72,,,,12.31,12.31,969860.0,9555685.4,,12.27,12.29,17.09,0.398,59.25,0.4718
2009-02-17,539449.0,5237484.24,2.92,3.74,1.7,8.11,1.0,4591246.71,146052.0,472888.0,1418011.8,,,,0.25,,,,,19794.0,,,,0.25,,,9860.0,12000.0,1.86,0.16,,,13.07,13.07,971102.0,9428382.33,,12.2,13.26,16.42,0.3927,59.34,0.4829
2009-02-18,523727.0,5131620.63,2.84,3.62,1.65,7.91,1.0,4538795.66,124994.0,463224.0,1224725.46,,,,0.17,,,,0.27,12000.0,21058.0,,,0.17,,,,9664.0,1.57,0.13,,,11.18,11.18,993137.0,9731028.41,,12.48,11.15,17.0,0.4079,60.47,0.4684
2009-02-19,449943.0,4499529.06,2.44,3.12,1.42,6.72,1.0,3797713.61,103504.0,379763.0,1035062.79,,,,0.01,,,,0.39,1000.0,31167.0,,,0.01,,,9677.0,84461.0,1.31,1.33,,,9.23,9.23,1018027.0,10180494.13,,13.01,9.12,11.59,0.3924,60.02,0.4012
2009-02-20,443300.0,4131819.12,2.4,3.1,1.4,6.59,1.0,3539616.57,95916.0,379763.0,893994.05,,,,,,,,0.1,,7588.0,,,,,,,21372.0,1.22,0.28,,,8.24,8.24,1067527.0,9949985.27,,13.08,8.52,11.79,0.4068,61.29,0.381
2009-02-23,420983.0,3797922.48,2.28,2.99,1.33,6.23,1.0,3224719.76,95916.0,357446.0,865311.74,,,,,,,,,,,,,,,,,22317.0,1.15,0.29,,,8.24,8.24,1067527.0,9630756.58,,12.69,8.32,10.93,0.4437,64.8,0.3618
2009-02-24,440522.0,3866414.13,2.39,3.13,1.39,6.37,1.0,3102280.34,119441.0,353460.0,1048320.79,,,,,,,,,,,,,,,,23525.0,3986.0,1.39,0.06,,,10.28,10.28,1042729.0,9151920.09,,11.88,10.48,10.52,0.4343,64.11,0.3791
2009-02-25,434988.0,3887104.56,2.36,3.24,1.37,6.27,1.0,3145254.76,115396.0,351971.0,1031192.4,,,,,,,,0.06,,4045.0,,,,,,,1489.0,1.31,0.02,,,10.03,10.03,1035547.0,9253771.29,,11.84,9.96,10.86,0.446,64.98,0.3779
2009-02-26,435590.0,3713169.32,2.36,3.34,1.37,6.24,1.0,3000362.54,115998.0,351971.0,988820.26,,,602.0,,,,,,,,,,,602.0,,,,1.32,,,,10.05,10.05,1037732.0,8846104.42,,11.58,10.23,10.42,0.4504,65.4,0.3775
2009-02-27,393792.0,3314042.92,2.13,3.07,1.24,5.49,1.0,2664332.56,109581.0,316590.0,922202.93,,,,,,,,0.07,,6417.0,,,,,,,35381.0,1.2,0.63,,,9.61,9.61,1030687.0,8673972.44,,11.23,9.67,11.72,0.419,62.48,0.3454
2009-03-02,398177.0,3207135.07,2.16,3.22,1.26,5.48,1.0,2549988.8,113966.0,316590.0,917944.42,,,,,,,,,,,,,,,,4385.0,,1.23,,,,10.2,10.2,1003181.0,8080167.77,,10.63,10.34,11.25,0.4193,62.64,0.3564
2009-03-03,376131.0,2921470.14,2.04,3.07,1.19,5.18,1.0,2396992.58,99904.0,308606.0,775970.48,,,,,,,,0.15,,14062.0,,,,,,,7984.0,1.03,0.09,,,8.56,8.56,1066719.0,8285378.53,,10.81,8.7,11.48,0.4631,66.27,0.3224
2009-03-04,376131.0,3123051.58,2.04,3.08,1.19,5.19,1.0,2562385.07,99904.0,308606.0,829512.44,,,,,,,,,,,,,,,,,,1.01,,,,8.56,8.56,1066719.0,8857069.64,,11.13,8.31,12.23,0.4611,66.03,0.3224
2009-03-05,384115.0,3146082.99,2.08,3.14,1.21,5.29,1.0,2593021.4,99904.0,316590.0,818260.87,,,,0.07,,,,,7984.0,,,,0.07,,,,,1.07,,,,8.56,8.56,1066686.0,8736661.37,,11.3,8.61,11.85,0.447,64.87,0.3293
2009-03-06,385239.0,3144816.33,2.09,3.25,1.21,5.31,1.0,2584414.88,101028.0,316590.0,824720.51,,,1124.0,,,,,,,,,,,1124.0,,,,1.06,,,,8.66,8.66,1065562.0,8698487.91,,11.21,8.67,11.78,0.4455,64.74,0.3302
2009-03-09,381114.0,3152585.21,2.06,3.28,1.2,5.28,1.0,2691593.43,95779.0,325385.0,792286.45,,,,0.1,,,,0.14,8795.0,12920.0,,,0.1,,,7671.0,,1.0,,,,8.14,8.14,1081258.0,8944195.13,,11.46,8.04,11.99,0.4512,65.01,0.3238
2009-03-10,373423.0,3303597.37,2.02,3.24,1.18,5.2,1.0,2810574.23,95779.0,317694.0,847337.34,,27234.0,,,0.29,,,,,,,27234.0,,,,,7691.0,1.03,0.08,0.28,,8.18,8.18,1075558.0,9515242.98,27234.0,11.94,7.93,12.1,0.4645,65.99,0.3188
2009-03-11,369710.0,2873033.0,2.0,3.19,1.17,5.16,1.0,2484480.76,100050.0,319710.0,777493.04,,,,,,10000.0,,0.07,,5729.0,,,,,0.1,10000.0,7984.0,1.11,0.08,,,100.0,8.56,0.0,0.0,,0.0,100.0,13.58,0.4762,66.76,0.3164
2009-03-12,363219.0,2829644.1,1.97,3.01,1.14,5.03,1.0,2440120.96,93559.0,313219.0,728867.91,,,10000.0,0.1,,,,0.2,10000.0,16491.0,,,0.1,10000.0,,,16491.0,0.93,0.16,,,100.0,8.01,0.0,0.0,,0.0,100.0,15.97,0.4988,68.26,0.3108
2009-03-13,368219.0,2967266.98,1.99,3.02,1.16,5.09,1.0,2564345.49,98559.0,318219.0,794230.79,,,,0.06,,,,,5000.0,,,,0.06,,,5000.0,,1.0,,,,100.0,8.48,0.0,0.0,,0.0,100.0,17.42,0.4917,67.42,0.3168
2009-03-16,378219.0,3216768.33,2.05,3.02,1.19,5.25,1.0,2791516.25,98559.0,328219.0,838248.4,,,,0.13,,,,,10000.0,,,,0.13,,,,,1.02,,,,100.0,8.52,0.0,0.0,,0.0,100.0,20.02,0.473,65.3,0.3268
2009-03-17,388219.0,3289757.31,2.1,3.13,1.22,5.39,1.0,2866058.66,98559.0,338219.0,835186.3,,,,0.1,,,,,10000.0,,,,0.1,,,,,1.06,,,,100.0,8.52,0.0,0.0,,0.0,100.0,21.46,0.4583,63.68,0.3358
2009-03-18,397264.0,3480572.1,2.15,3.24,1.25,5.52,1.0,3042504.2,164395.0,347264.0,1440323.44,,36910.0,1903.0,0.11,0.39,,,,10045.0,,,36910.0,0.11,1903.0,,27023.0,1000.0,1.77,0.01,,,100.0,11.79,0.0,0.0,,0.0,100.0,23.5,0.4455,61.95,0.285
2009-03-19,397264.0,3517599.46,2.15,3.16,1.25,5.57,1.0,3074871.27,164395.0,347264.0,1455646.03,,,,,,,,,,,,,,,,,,1.84,,,,100.0,11.7,0.0,0.0,,0.0,100.0,23.91,0.4414,61.45,0.2828
2009-03-20,397264.0,3625595.94,2.15,3.4,1.25,5.62,1.0,3169275.21,164395.0,347264.0,1500336.91,,,,,,,,,,,,,,,,,,1.9,,,,100.0,11.72,0.0,0.0,,0.0,100.0,24.38,0.4365,60.86,0.2833
2009-03-23,394764.0,3710096.75,2.14,3.5,1.24,5.66,1.0,3240183.49,156406.0,344764.0,1469945.06,,,,,,,,0.09,,7989.0,,,,,,,2500.0,1.85,0.03,,,100.0,11.09,0.0,0.0,,0.0,100.0,24.92,0.4352,60.51,0.28
2009-03-24,356099.0,3355010.46,1.93,3.15,1.12,5.22,1.0,2940461.53,126849.0,312099.0,1195116.31,,,,,,,,0.36,,30632.0,,,,,,1075.0,32665.0,1.54,0.39,,,100.0,8.89,0.0,0.0,,0.0,100.0,21.0,0.4731,64.96,0.2495
2009-03-25,340037.0,3195757.89,1.84,3.02,1.07,5.03,1.0,2782234.22,110787.0,296037.0,1041205.6,,,,,,,,0.2,,16062.0,,,,,,,16062.0,1.34,0.2,,,100.0,7.7,0.0,0.0,,0.0,100.0,17.74,0.4957,67.57,0.2364
2009-03-26,340037.0,3223489.67,1.84,3.18,1.07,5.04,1.0,2806377.58,110787.0,296037.0,1050240.86,,,,,,,,,,,,,,,,,,1.34,,,,100.0,7.67,0.0,0.0,,0.0,100.0,17.91,0.4945,67.44,0.2355
2009-03-27,340037.0,3058419.54,1.84,3.23,1.07,5.0,1.0,2662667.13,110787.0,296037.0,996459.58,,,,,,,,0.0,,100.0,,,,,,100.0,,1.35,,,,100.0,7.76,0.0,0.0,,0.0,100.0,17.11,0.4996,68.0,0.2383
2009-03-30,333569.0,2798154.96,1.81,3.12,1.05,4.86,1.0,2429059.46,110787.0,289569.0,929340.54,,,1299.0,0.11,,,,0.02,8532.0,1300.0,,,0.11,1299.0,,1.0,15000.0,1.27,0.21,,,100.0,7.59,0.0,0.0,,0.0,100.0,12.96,0.5152,69.92,0.2286
2009-03-31,350569.0,2976158.08,1.9,3.19,1.11,5.0,1.0,2585640.75,112787.0,304569.0,957506.06,,,,0.17,,,,,15000.0,,,,0.17,,,2000.0,,1.22,,,,100.0,6.92,0.0,0.0,,0.0,100.0,16.18,0.4967,68.01,0.2151
2009-04-01,352569.0,2989029.41,1.91,3.13,1.11,5.01,1.0,2599048.0,112787.0,306569.0,956192.01,,,,0.02,,,,,2000.0,,,,0.02,,,,,1.23,,,,100.0,7.79,0.0,0.0,,0.0,100.0,16.11,0.4949,67.91,0.2436
2009-04-02,339729.0,3000235.94,1.84,2.95,1.07,4.89,1.0,2417372.62,99947.0,273729.0,882658.18,,,,,,,,0.37,,33480.0,,,,,,20640.0,32840.0,1.09,0.34,,,8.02,8.02,1145595.0,10117050.04,,12.67,7.9,9.74,0.5521,73.04,0.2728
2009-04-03,398729.0,3745812.37,2.16,3.43,1.26,5.66,1.0,3125783.19,99947.0,332729.0,938940.26,,,,0.71,,,,,59000.0,,,,0.71,,,,,1.12,,,,7.72,7.72,1194363.0,11220301.77,,13.76,7.54,8.88,0.5936,76.08,0.3081
2009-04-06,395087.0,3759162.96,2.14,3.23,1.25,5.68,1.0,3131187.96,99947.0,329087.0,950972.98,,,,,,,,,,,,,,,,,3642.0,1.21,0.04,,,8.08,8.08,1136442.0,10812987.18,,13.83,8.05,9.0,0.5948,76.09,0.3195
2009-04-07,393087.0,3578315.39,2.13,3.16,1.24,5.66,1.0,2995716.16,97947.0,329087.0,891622.61,,,,,,,,0.02,,2000.0,,,,,,,,1.2,,,,7.9,7.9,1141912.0,10394954.01,,13.77,8.04,8.61,0.5945,76.1,0.317
2009-04-08,396729.0,3568328.52,2.15,3.23,1.25,5.67,1.0,2992688.66,97947.0,332729.0,880971.83,,,,,,3642.0,,,,,,,,,0.04,,,1.15,,,,7.84,7.84,1151172.0,10354070.1,,13.42,7.88,8.47,0.5886,75.75,0.3176
2009-04-09,380729.0,3674300.56,2.06,2.99,1.2,5.49,1.0,3191765.67,83947.0,330729.0,810147.14,,,,,,,,0.16,,14000.0,,,,,,,2000.0,0.98,0.02,,,7.16,7.16,1088456.0,10504360.04,,13.02,7.0,9.1,0.5909,75.85,0.3247
2009-04-10,380729.0,3674300.56,2.06,2.93,1.2,5.51,1.0,3191765.67,83947.0,330729.0,810147.14,,,,,,,,,,,,,,,,,,1.02,,,,7.19,7.19,1082823.0,10449997.66,,13.35,7.09,9.09,0.5903,75.81,0.3263
2009-04-13,398713.0,3847858.71,2.16,3.06,1.26,5.77,1.0,3365323.82,83947.0,348713.0,810147.14,,,,0.23,,,,,17984.0,,,,0.23,,,,,1.04,,,,7.21,7.21,1080602.0,10428563.46,,13.34,7.22,8.67,0.5432,72.34,0.3424
2009-04-14,409513.0,3963218.89,2.22,3.15,1.29,5.91,1.0,3374803.6,94747.0,348713.0,916950.38,,,,,,,,,,,,,,,,10800.0,,1.18,,,,8.18,8.18,1064058.0,10297828.8,,13.28,8.15,8.58,0.5288,71.34,0.3534
2009-04-15,409513.0,3944134.37,2.22,3.1,1.29,5.91,1.0,3358552.54,94747.0,348713.0,912534.89,,,,,,,,,,,,,,,,,,1.18,,,,8.09,8.09,1076050.0,10363738.85,,13.45,8.07,8.54,0.5287,71.33,0.3498
2009-04-16,403242.0,3947943.55,2.18,3.06,1.27,5.84,1.0,3352680.73,94747.0,342442.0,927621.15,,,,,,,,0.01,,1075.0,,,,,,1075.0,6271.0,1.18,0.07,,,8.07,8.07,1079901.0,10572778.09,,13.49,8.03,8.45,0.5403,72.25,0.3433
2009-04-17,403242.0,4221997.54,2.18,3.08,1.27,5.88,1.0,3585413.43,93068.0,342442.0,974434.38,,,,,,,,0.02,,1679.0,,,,,,,,1.18,,,,7.93,7.93,1080350.0,11311408.64,,14.06,7.75,8.36,0.5338,71.76,0.3436
2009-04-20,369312.0,3651607.97,2.0,2.95,1.16,5.48,1.0,3050442.12,69546.0,308512.0,687642.77,,,,,,,,0.3,,23522.0,,,,,,,33930.0,0.93,0.45,,,5.93,5.93,1102937.0,10905395.83,,14.74,5.95,8.8,0.6181,77.64,0.315
2009-04-21,369312.0,3664516.25,2.0,2.93,1.16,5.45,1.0,3061225.3,61875.0,308512.0,613957.69,,,,,,,,0.1,,7671.0,,,,,,,,0.79,,,,5.31,5.31,1103984.0,10954334.84,,14.06,5.3,8.97,0.6223,77.93,0.3168
2009-04-22,344182.0,3560858.39,1.86,2.75,1.08,5.12,1.0,2931830.17,61875.0,283382.0,640150.02,,,,,,525.0,,,,,,,,,0.01,,25655.0,0.79,0.34,,,5.35,5.35,1095498.0,11333867.67,,14.22,5.28,7.99,0.7013,83.22,0.2974
2009-04-23,354182.0,3788111.47,1.92,2.85,1.12,5.29,1.0,3030878.49,85077.0,283382.0,909930.94,,,,,,,,,,,,,,,,23202.0,,1.14,,,,7.35,7.35,1072296.0,11468614.37,,14.41,7.36,8.07,0.6587,80.58,0.306
2009-04-24,367384.0,3954993.67,1.99,2.95,1.16,5.49,1.0,3192811.45,85077.0,296584.0,915878.2,,,,0.17,,,,,13202.0,,,,0.17,,,,,1.17,,,,7.32,7.32,1077678.0,11601511.4,,14.74,7.37,8.03,0.6137,77.58,0.316
2009-04-27,367384.0,3915044.24,1.99,3.17,1.16,5.52,1.0,3160560.83,85077.0,296584.0,906626.9,,,,,,,,,,,,,,,,,,1.18,,,,7.41,7.41,1063445.0,11332649.81,,14.81,7.36,8.05,0.609,77.25,0.3199
2009-04-28,397532.0,4069582.22,2.15,3.51,1.25,5.92,1.0,3041028.21,114750.0,297059.0,1174709.36,,,25000.0,0.01,,,,,1000.0,,,,0.01,25000.0,,4673.0,525.0,1.56,0.01,,,9.95,9.95,1038289.0,10629087.62,,14.12,9.94,7.88,0.5957,76.4,0.3448
2009-04-29,397532.0,4183826.95,2.15,3.61,1.25,5.89,1.0,3126398.5,114750.0,297059.0,1207686.78,,,,,,,,,,,,,,,,,,1.54,,,,10.01,10.01,1031983.0,10861108.75,,13.7,10.1,7.89,0.5966,76.46,0.3467
2009-04-30,397532.0,4239405.46,2.15,3.65,1.25,5.92,1.0,3167929.99,114750.0,297059.0,1223729.85,,,,,,,,,,,,,,,,,,1.57,,,,10.05,10.05,1026609.0,10948079.14,,14.01,10.06,7.89,0.5977,76.54,0.3483
2009-05-01,397532.0,4239405.46,2.15,3.66,1.25,5.96,1.0,3167929.99,114750.0,297059.0,1223729.85,,,,,,,,,,,,,,,,,,1.58,,,,10.1,10.1,1021023.0,10888508.29,,14.0,10.12,7.82,0.5976,76.54,0.35
2009-05-04,397532.0,4261019.32,2.15,3.66,1.25,5.92,1.0,3184081.13,114750.0,297059.0,1229968.83,,,,,,,,,,,,,,,,,,1.58,,,,10.01,10.01,1031286.0,11054027.29,,14.14,10.03,7.88,0.5946,76.33,0.3469
2009-05-05,397532.0,4112809.96,2.15,3.96,1.25,5.92,1.0,3073330.48,114750.0,297059.0,1187187.3,,,,,,,,,,,,,,,,,,1.58,,,,10.51,10.51,977199.0,10109962.91,,13.31,10.59,7.92,0.5953,76.37,0.3641
2009-05-06,397532.0,4199265.42,2.15,3.98,1.25,5.89,1.0,3137935.03,114750.0,297059.0,1212143.19,,,,,,,,,,,,,,,,,,1.54,,,,10.38,10.38,990926.0,10467487.61,,13.32,10.36,7.66,0.5977,76.55,0.3595
2009-05-07,396881.0,4201636.6,2.15,3.89,1.25,5.89,1.0,3137965.04,114750.0,296408.0,1214817.04,,,,,,,,,,,,,,,,,651.0,1.56,0.01,,,10.33,10.33,995655.0,10540641.89,,13.52,10.35,7.83,0.5991,76.63,0.3574
2009-05-08,399881.0,4314150.97,2.17,3.96,1.26,5.94,1.0,3230189.27,114750.0,299408.0,1237990.36,,,,0.04,,,,,3000.0,,,,0.04,,,,,1.56,,,,10.22,10.22,1008125.0,10876244.3,,13.75,10.22,7.78,0.5892,75.99,0.3561
2009-05-11,417367.0,4188349.79,2.26,4.15,1.32,6.22,1.0,3281170.21,110077.0,326967.0,1104641.67,0.4,,,,,,27559.0,0.06,,4673.0,0.4,,,,,,,1.52,,,,9.68,9.68,1027102.0,10307145.63,,13.85,9.88,7.55,0.5393,72.36,0.367
2009-05-12,419881.0,4174442.82,2.27,4.1,1.32,6.16,1.0,3229230.24,114750.0,324808.0,1140840.65,,,,,,,,,,,,,,,,4673.0,2159.0,1.48,0.06,,,10.16,10.16,1015202.0,10093104.23,,13.06,10.19,7.04,0.5437,72.79,0.3716
2009-05-13,417111.0,3822926.73,2.26,4.03,1.31,6.07,1.0,2951558.88,113675.0,322038.0,1041859.83,,,,,,,,0.01,,1075.0,,,,,,,2770.0,1.45,0.04,,,10.87,10.87,932060.0,8542563.22,,11.55,11.12,7.08,0.5539,73.55,0.3989
2009-05-14,411425.0,3695716.41,2.23,3.44,1.3,5.88,1.0,2866584.22,108135.0,319122.0,971346.65,,,,,,,,0.08,,5540.0,,,,,,,2916.0,1.27,0.06,,,10.44,10.44,927539.0,8331825.01,,10.87,10.48,6.65,0.574,75.0,0.3973
2009-05-15,415933.0,3947816.05,2.25,3.48,1.31,5.91,1.0,3085886.07,105151.0,325122.0,998037.68,,,,,,6000.0,,0.04,,2984.0,,,,,0.07,,,1.22,,,,10.21,10.21,924932.0,8778965.35,,10.92,10.08,6.45,0.5614,74.19,0.4038
2009-05-18,424633.0,4076566.55,2.3,3.5,1.34,6.08,1.0,3204761.76,105151.0,333822.0,1009471.82,,,,,,8700.0,,,,,,,,,0.11,,,1.29,,,,10.32,10.32,913923.0,8773853.96,,11.23,10.27,6.64,0.5345,72.32,0.4167
2009-05-19,451248.0,4391659.75,2.44,3.8,1.42,6.44,1.0,3506433.47,105298.0,360290.0,1024786.79,,,147.0,0.44,,,,,35000.0,,,,0.44,147.0,,,8532.0,1.3,0.1,,,10.36,10.36,911392.0,8869897.62,,11.29,10.34,8.75,0.4786,67.98,0.4438
2009-05-20,451101.0,4528628.19,2.44,3.76,1.42,6.48,1.0,3616971.48,105151.0,360290.0,1055616.77,,,,,,,,0.0,,147.0,,,,,,,,1.32,,,,10.27,10.27,918936.0,9225249.94,,11.63,10.2,8.98,0.4746,67.65,0.4405
2009-05-21,451101.0,4484831.01,2.44,3.91,1.42,6.52,1.0,3570677.14,105151.0,359152.0,1045407.71,,,,,,,,,,,,,,,,,1138.0,1.36,0.01,,,10.21,10.21,924522.0,9191566.71,,11.77,10.33,8.86,0.4714,67.4,0.4381
2009-05-22,482627.0,4653938.74,2.61,4.28,1.52,6.86,1.0,3472920.79,135677.0,360152.0,1308323.91,,,26000.0,0.0,,,,0.01,1000.0,1138.0,,,0.0,26000.0,,5664.0,,1.72,,,,13.25,13.25,888410.0,8566876.1,,10.99,13.54,8.76,0.4665,67.05,0.4713
2009-05-25,473927.0,4544277.77,2.57,4.18,1.49,6.73,1.0,3369918.8,135677.0,351452.0,1300947.14,,,,,,,,,,,,,,,,,8700.0,1.69,0.11,,,13.18,13.18,893585.0,8568193.94,,11.08,13.23,8.86,0.4825,68.21,0.4605
2009-05-26,482789.0,4423007.09,2.62,4.37,1.52,6.76,1.0,3311394.33,134539.0,361452.0,1232561.12,,,,0.09,,,,0.01,10000.0,1138.0,,,0.09,,,,,1.64,,,,13.09,13.09,892884.0,8180037.78,,10.62,13.4,10.42,0.4795,67.83,0.4699
2009-05-27,504929.0,4863112.58,2.74,4.73,1.59,7.02,1.0,3481245.42,156679.0,361452.0,1509019.32,,,,,,,,,,,,,,,,22140.0,,1.85,,,,100.0,15.16,0.0,0.0,,0.0,100.0,10.43,0.4399,64.58,0.4885
2009-05-28,503710.0,4761386.92,2.73,4.68,1.59,7.03,1.0,3405151.17,156679.0,360233.0,1481029.44,,,,,,,,,,,,,,,,,1219.0,1.9,0.01,,,100.0,15.28,0.0,0.0,,0.0,100.0,10.23,0.4393,64.54,0.4911
2009-05-29,504010.0,4781838.98,2.73,4.59,1.59,7.03,1.0,3417742.11,156979.0,360233.0,1489352.0,,,300.0,,,,,,,,,,,300.0,,,,1.9,,,,100.0,15.46,0.0,0.0,,0.0,100.0,10.27,0.4395,64.55,0.4962
2009-06-01,522260.0,5131444.23,2.83,4.75,1.65,7.27,1.0,3456429.46,177970.0,351783.0,1748636.94,,,,,,901.0,,0.08,,6009.0,,,,,0.01,27000.0,9351.0,2.15,0.12,,,100.0,17.57,0.0,0.0,,0.0,100.0,10.25,0.4117,62.19,0.5156
2009-06-02,549260.0,5652703.09,2.98,5.13,1.73,7.67,1.0,3620370.77,204970.0,351783.0,2109446.44,,,27094.0,,,,,0.0,,94.0,,,,27094.0,,,,2.55,,,,20.23,20.23,808104.0,8316593.19,,10.38,19.71,11.31,0.3747,58.55,0.5422
2009-06-03,518618.0,5196364.65,2.81,4.82,1.63,7.35,1.0,3758777.04,197510.0,375141.0,1978978.71,,,,0.35,,,,0.09,27000.0,7460.0,,,0.35,,,,3642.0,2.53,0.05,,,100.0,18.1,0.0,0.0,,0.0,100.0,10.31,0.4032,61.36,0.4753
2009-06-04,511158.0,5046183.47,2.77,4.47,1.61,7.2,1.0,3629443.85,197510.0,367648.0,1949830.97,,,,,,,,,,,,,,,,,7493.0,2.47,0.1,,,100.0,18.1,0.0,0.0,,0.0,100.0,10.4,0.4193,62.79,0.4683
2009-06-05,517649.0,5140418.0,2.8,4.48,1.63,7.3,1.0,3650860.71,204001.0,367648.0,2025794.34,,,,,,,,,,,,,,,,6491.0,,2.55,,,,100.0,18.82,0.0,0.0,,0.0,100.0,10.3,0.409,61.83,0.4775
2009-06-08,492275.0,4836827.85,2.67,4.25,1.55,7.03,1.0,3582833.99,181627.0,364648.0,1784568.65,,,4627.0,,,,,0.28,,27001.0,,,,4627.0,,,3000.0,2.32,0.04,,,17.08,17.08,881550.0,8661633.41,,10.93,17.54,10.64,0.4404,64.57,0.463
2009-06-09,514382.0,4946166.49,2.79,4.41,1.62,7.26,1.0,3506362.43,203734.0,364648.0,1959054.33,,,,,,,,0.0,,33.0,,,,,,22140.0,,2.56,,,,19.37,19.37,848273.0,8156777.43,,10.6,19.44,10.02,0.413,62.1,0.489
2009-06-10,514382.0,5078011.0,2.79,4.35,1.62,7.26,1.0,3599827.66,203734.0,364648.0,2011274.68,,,,,,,,,,,,,,,,,,2.54,,,,19.47,19.47,842650.0,8318693.05,,10.53,19.42,10.26,0.4115,61.94,0.4916
