,ALSEN FP Equity_DX_SI_QTY,ALSEN FP Equity_DX_SHORT_INTEREST_VALUE,ALSEN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSEN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSEN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSEN FP Equity_DX_SI_MV,ALSEN FP Equity_DX_DSS,ALSEN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSEN FP Equity_DX_SUPPLY_SI_QTY,ALSEN FP Equity_DX_BROKER_SI_QTY,ALSEN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSEN FP Equity_DX_BROKER_SI_MV_NEW_x,ALSEN FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSEN FP Equity_DX_BROKER_SI_MV_INC_x,ALSEN FP Equity_DX_BROKER_SI_QTY_ADD,ALSEN FP Equity_DX_BROKER_SI_QTY_NEW,ALSEN FP Equity_DX_SUPPLY_SI_MV_DEC,ALSEN FP Equity_DX_BROKER_SI_QTY_INC,ALSEN FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSEN FP Equity_DX_BROKER_SI_MV_NEW_y,ALSEN FP Equity_DX_BROKER_SI_MV_INC_y,ALSEN FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSEN FP Equity_DX_BROKER_SI_MV_ADD,ALSEN FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSEN FP Equity_DX_BROKER_SI_QTY_DEC,ALSEN FP Equity_DX_SUPPLY_SI_MV,ALSEN FP Equity_DX_BROKER_SI_MV_DEC,ALSEN FP Equity_DX_SUPPLY_SI_MV_RMV,ALSEN FP Equity_DX_BROKER_SI_MV_RMV,ALSEN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSEN FP Equity_DX_UTILIZATION_QUANTITY,ALSEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSEN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSEN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALSEN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSEN FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSEN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSEN FP Equity_DX_BROKER_SI_CON_RATIO,ALSEN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSEN FP Equity_DX_DEMAND_SUPPLY_RATIO,ALSEN FP Equity_PX_LAST
2018-10-03,4300.0,11696.0,0.1,0.11,0.03,0.01,0.0,9248.0,900.0,3400.0,2448.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,8.49,0.747,85.82,4.7778,2.72
2018-10-04,4300.0,11825.0,0.1,0.1,0.03,0.01,0.0,9350.0,900.0,3400.0,2475.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,8.74,0.7409,85.43,4.7778,2.75
2018-10-05,4300.0,11287.5,0.1,0.1,0.03,0.01,0.0,8925.0,900.0,3400.0,2362.5,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,9.18,0.7299,84.72,4.7778,2.625
2018-10-08,4300.0,10750.0,0.1,0.1,0.03,0.01,0.0,8500.0,900.0,3400.0,2250.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,9.2,0.7294,84.69,4.7778,2.5
2018-10-09,4300.0,10836.0,0.1,0.09,0.03,0.01,0.0,8568.0,900.0,3400.0,2268.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,8.77,0.7406,85.41,4.7778,2.52
2018-10-10,4300.0,10664.0,0.1,0.09,0.03,0.01,0.0,8432.0,900.0,3400.0,2232.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,8.95,0.7364,85.14,4.7778,2.48
2018-10-11,4000.0,9840.0,0.09,0.09,0.03,0.01,0.0,7626.0,900.0,3100.0,2214.0,,,,,,,,,,,,,,300.0,0.0,0.0,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.46,0.8792,93.54,4.4444,2.46
2018-10-12,4000.0,9820.0,0.09,0.09,0.03,0.01,0.0,7610.5,900.0,3100.0,2209.5,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.48,0.8788,93.52,4.4444,2.455
2018-10-15,4000.0,11080.0,0.09,0.09,0.03,0.01,0.0,8587.0,900.0,3100.0,2493.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,5.78,0.8911,94.22,4.4444,2.77
2018-10-16,4000.0,11640.0,0.09,0.08,0.03,0.01,0.0,9021.0,900.0,3100.0,2619.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.18,0.8841,93.82,4.4444,2.91
2018-10-17,4000.0,11920.0,0.09,0.07,0.03,0.01,0.0,9238.0,900.0,3100.0,2682.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.37,0.8808,93.63,4.4444,2.98
2018-10-18,4000.0,11100.0,0.09,0.07,0.03,0.01,0.0,8602.5,900.0,3100.0,2497.5,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.95,0.8707,93.05,4.4444,2.775
2018-10-19,4000.0,6880.0,0.09,0.07,0.03,0.01,0.0,5332.0,900.0,3100.0,1548.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,10.05,0.8192,89.95,4.4444,1.72
2018-10-22,4000.0,6280.0,0.09,0.04,0.03,0.01,0.0,4867.0,900.0,3100.0,1413.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,7.05,0.869,92.95,4.4444,1.57
2018-10-23,4000.0,6000.0,0.09,0.04,0.03,0.01,0.0,4650.0,900.0,3100.0,1350.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.76,0.8739,93.24,4.4444,1.5
2018-10-24,1100.0,1533.4,0.03,0.01,0.01,0.0,0.0,278.8,900.0,200.0,1254.6,,,,,,,,,,,,,,2900.0,0.0,0.0,,,100.0,100.0,0.0,0.0,,0.0,100.0,,1.0,100.0,1.2222,1.394
2018-10-25,4000.0,5496.0,0.09,0.04,0.03,0.01,0.0,4259.4,900.0,3100.0,1236.6,,,,2900.0,,,,,,,,0.0,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.56,0.8774,93.44,4.4444,1.374
2018-10-26,4000.0,5728.0,0.09,0.04,0.03,0.01,0.0,4439.2,900.0,3100.0,1288.8,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.22,0.8833,93.78,4.4444,1.432
2018-10-29,4000.0,5640.0,0.09,0.04,0.03,0.01,0.0,4371.0,900.0,3100.0,1269.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.55,0.8776,93.45,4.4444,1.41
2018-10-30,4000.0,5400.0,0.09,0.04,0.03,0.01,0.0,4185.0,900.0,3100.0,1215.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.76,0.8739,93.24,4.4444,1.35
2018-10-31,4000.0,5632.0,0.09,0.04,0.03,0.01,0.0,4364.8,900.0,3100.0,1267.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.24,0.883,93.76,4.4444,1.408
2018-11-01,4000.0,5456.0,0.09,0.04,0.03,0.01,0.0,4228.4,900.0,3100.0,1227.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.6,0.8766,93.4,4.4444,1.364
2018-11-02,4000.0,6120.0,0.09,0.04,0.03,0.01,0.0,4743.0,900.0,3100.0,1377.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,5.77,0.8912,94.23,4.4444,1.53
2018-11-05,4000.0,6016.0,0.09,0.03,0.03,0.01,0.0,4662.4,900.0,3100.0,1353.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.57,0.8772,93.43,4.4444,1.504
2018-11-06,4000.0,6272.0,0.09,0.03,0.03,0.01,0.0,4860.8,900.0,3100.0,1411.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.18,0.884,93.82,4.4444,1.568
2018-11-07,4000.0,6560.0,0.09,0.03,0.03,0.01,0.0,5084.0,900.0,3100.0,1476.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.18,0.884,93.82,4.4444,1.64
2018-11-08,4000.0,6280.0,0.09,0.03,0.03,0.01,0.0,4867.0,900.0,3100.0,1413.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.79,0.8734,93.21,4.4444,1.57
2018-11-09,4000.0,5960.0,0.09,0.03,0.03,0.01,0.0,4619.0,900.0,3100.0,1341.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.82,0.8729,93.18,4.4444,1.49
2018-11-12,4000.0,5480.0,0.09,0.03,0.03,0.01,0.0,4247.0,900.0,3100.0,1233.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,7.06,0.8687,92.94,4.4444,1.37
2018-11-13,4000.0,4400.0,0.09,0.03,0.03,0.0,0.0,3410.0,900.0,3100.0,990.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,7.89,0.8546,92.11,4.4444,1.1
2018-11-14,4000.0,4056.0,0.09,0.03,0.03,0.0,0.0,3143.4,900.0,3100.0,912.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.91,0.8713,93.09,4.4444,1.014
2018-11-15,4000.0,4376.0,0.09,0.03,0.03,0.0,0.0,3391.4,900.0,3100.0,984.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,5.97,0.8877,94.03,4.4444,1.094
2018-11-16,4000.0,4440.0,0.09,0.03,0.03,0.0,0.0,3441.0,900.0,3100.0,999.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.33,0.8814,93.67,4.4444,1.11
2018-11-19,4000.0,4760.0,0.09,0.03,0.03,0.0,0.0,3689.0,900.0,3100.0,1071.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.01,0.8871,93.99,4.4444,1.19
2018-11-20,4000.0,4320.0,0.09,0.03,0.03,0.0,0.0,3348.0,900.0,3100.0,972.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,7.09,0.8682,92.91,4.4444,1.08
2018-11-21,4000.0,4232.0,0.09,0.03,0.03,0.0,0.0,3279.8,900.0,3100.0,952.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.61,0.8766,93.39,4.4444,1.058
2018-11-22,4000.0,4200.0,0.09,0.03,0.03,0.0,0.0,3255.0,900.0,3100.0,945.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.51,0.8783,93.49,4.4444,1.05
2018-11-23,4000.0,4400.0,0.09,0.03,0.03,0.0,0.0,3410.0,900.0,3100.0,990.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.22,0.8834,93.78,4.4444,1.1
2018-11-26,4000.0,4600.0,0.09,0.03,0.03,0.0,0.0,3565.0,900.0,3100.0,1035.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.2,0.8837,93.8,4.4444,1.15
2018-11-27,4000.0,4480.0,0.09,0.03,0.03,0.0,0.0,3472.0,900.0,3100.0,1008.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.66,0.8757,93.34,4.4444,1.12
2018-11-28,4000.0,4424.0,0.09,0.03,0.03,0.0,0.0,3428.6,900.0,3100.0,995.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.49,0.8786,93.51,4.4444,1.106
2018-11-29,4000.0,4528.0,0.09,0.03,0.03,0.0,0.0,3509.2,900.0,3100.0,1018.8,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.28,0.8823,93.72,4.4444,1.132
2018-11-30,4000.0,4544.0,0.09,0.03,0.03,0.0,0.0,3521.6,900.0,3100.0,1022.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.47,0.879,93.53,4.4444,1.136
2018-12-03,4000.0,4480.0,0.09,0.04,0.03,0.0,0.0,3472.0,900.0,3100.0,1008.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.52,0.878,93.48,4.4444,1.12
2018-12-04,4000.0,4376.0,0.09,0.04,0.03,0.0,0.0,3391.4,900.0,3100.0,984.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.45,0.8794,93.55,4.4444,1.094
2018-12-05,4000.0,4432.0,0.09,0.04,0.03,0.0,0.0,3434.8,900.0,3100.0,997.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.35,0.8811,93.65,4.4444,1.108
2018-12-06,4000.0,4320.0,0.09,0.04,0.03,0.0,0.0,3348.0,900.0,3100.0,972.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.61,0.8765,93.39,4.4444,1.08
2018-12-07,4000.0,4360.0,0.09,0.05,0.03,0.0,0.0,3379.0,900.0,3100.0,981.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.38,0.8805,93.62,4.4444,1.09
2018-12-10,4000.0,4216.0,0.09,0.04,0.03,0.0,0.0,3267.4,900.0,3100.0,948.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.69,0.8752,93.31,4.4444,1.054
2018-12-11,4000.0,4264.0,0.09,0.04,0.03,0.0,0.0,3304.6,900.0,3100.0,959.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.49,0.8787,93.51,4.4444,1.066
2018-12-12,4000.0,4400.0,0.09,0.04,0.03,0.0,0.0,3410.0,900.0,3100.0,990.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.28,0.8822,93.72,4.4444,1.1
2018-12-13,4000.0,4296.0,0.09,0.04,0.03,0.0,0.0,3329.4,900.0,3100.0,966.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.55,0.8776,93.45,4.4444,1.074
2018-12-14,4000.0,4520.0,0.09,0.04,0.03,0.0,0.0,3503.0,900.0,3100.0,1017.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.2,0.8838,93.8,4.4444,1.13
2018-12-17,4000.0,4320.0,0.09,0.04,0.03,0.0,0.0,3348.0,900.0,3100.0,972.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.71,0.8748,93.29,4.4444,1.08
2018-12-18,4000.0,4224.0,0.09,0.04,0.03,0.0,0.0,3273.6,900.0,3100.0,950.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.59,0.8768,93.41,4.4444,1.056
2018-12-19,4000.0,4200.0,0.09,0.04,0.03,0.0,0.0,3255.0,900.0,3100.0,945.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.53,0.8779,93.47,4.4444,1.05
2018-12-20,4000.0,3920.0,0.09,0.04,0.03,0.0,0.0,3038.0,900.0,3100.0,882.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.92,0.8711,93.08,4.4444,0.98
2018-12-21,4000.0,3920.0,0.09,0.04,0.03,0.0,0.0,3038.0,900.0,3100.0,882.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.54,0.8778,93.46,4.4444,0.98
2018-12-24,4000.0,3800.0,0.09,0.04,0.03,0.0,0.0,2945.0,900.0,3100.0,855.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.64,0.876,93.36,4.4444,0.95
2018-12-25,4000.0,3800.0,0.09,0.04,0.03,0.0,0.0,2945.0,900.0,3100.0,855.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.45,0.8794,93.55,4.4444,
2018-12-26,4000.0,3800.0,0.09,0.04,0.03,0.0,0.0,2945.0,900.0,3100.0,855.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.52,0.8782,93.48,4.4444,
2018-12-27,4000.0,3800.0,0.09,0.04,0.03,0.0,0.0,2945.0,900.0,3100.0,855.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.47,0.8789,93.53,4.4444,0.95
2018-12-28,4000.0,4040.0,0.09,0.05,0.03,0.0,0.0,3131.0,900.0,3100.0,909.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.1,0.8854,93.9,4.4444,1.01
2018-12-31,4000.0,4024.0,0.09,0.06,0.03,0.0,0.0,3118.6,900.0,3100.0,905.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.48,0.8787,93.52,4.4444,1.006
2019-01-01,4000.0,4024.0,0.09,0.07,0.03,0.0,0.0,3118.6,900.0,3100.0,905.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.49,0.8787,93.51,4.4444,
2019-01-02,4000.0,4144.0,0.09,0.07,0.03,0.0,0.0,3211.6,900.0,3100.0,932.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.42,0.8798,93.58,4.4444,1.036
2019-01-03,4000.0,4144.0,0.09,0.07,0.03,0.0,0.0,3211.6,900.0,3100.0,932.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.5,0.8784,93.5,4.4444,1.036
2019-01-04,4000.0,4112.0,0.09,0.07,0.03,0.0,0.0,3186.8,900.0,3100.0,925.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.49,0.8786,93.51,4.4444,1.028
2019-01-07,4000.0,3960.0,0.09,0.07,0.03,0.0,0.0,3069.0,900.0,3100.0,891.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.63,0.8762,93.37,4.4444,0.99
2019-01-08,4000.0,3976.0,0.09,0.07,0.03,0.0,0.0,3081.4,900.0,3100.0,894.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.47,0.879,93.53,4.4444,0.994
2019-01-09,4000.0,3960.0,0.09,0.07,0.03,0.0,0.0,3069.0,900.0,3100.0,891.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.49,0.8786,93.51,4.4444,0.99
2019-01-10,4000.0,3992.0,0.09,0.08,0.03,0.0,0.0,3093.8,900.0,3100.0,898.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.41,0.88,93.59,4.4444,0.998
2019-01-11,4000.0,4280.0,0.09,0.08,0.03,0.0,0.0,3317.0,900.0,3100.0,963.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.07,0.886,93.93,4.4444,1.07
2019-01-14,4000.0,4320.0,0.09,0.08,0.03,0.0,0.0,3348.0,900.0,3100.0,972.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.41,0.88,93.59,4.4444,1.08
2019-01-15,4000.0,4280.0,0.09,0.07,0.03,0.0,0.0,3317.0,900.0,3100.0,963.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.54,0.8777,93.46,4.4444,1.07
2019-01-16,4000.0,4328.0,0.09,0.07,0.03,0.0,0.0,3354.2,900.0,3100.0,973.8,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.49,0.8787,93.51,4.4444,1.082
2019-01-17,4000.0,4176.0,0.09,0.07,0.03,0.0,0.0,3236.4,900.0,3100.0,939.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.71,0.8748,93.29,4.4444,1.044
2019-01-18,4000.0,4192.0,0.09,0.08,0.03,0.0,0.0,3248.8,900.0,3100.0,943.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.45,0.8794,93.55,4.4444,1.048
2019-01-21,4000.0,4256.0,0.09,0.08,0.03,0.0,0.0,3298.4,900.0,3100.0,957.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,6.36,0.8809,93.64,4.4444,1.064
2019-01-22,4800.0,5049.6,0.11,0.1,0.04,0.01,0.0,4102.8,900.0,3900.0,946.8,,,,1000.0,,,,,,,,0.0,,200.0,0.0,0.0,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.98,0.606,73.02,5.3333,1.052
2019-01-23,4800.0,4992.0,0.11,0.1,0.04,0.01,0.0,4056.0,900.0,3900.0,936.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.85,0.6072,73.15,5.3333,1.04
2019-01-24,4800.0,4656.0,0.11,0.11,0.04,0.0,0.0,3783.0,900.0,3900.0,873.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,28.21,0.5949,71.79,5.3333,0.97
2019-01-25,4800.0,4660.8,0.11,0.1,0.04,0.0,0.0,3786.9,900.0,3900.0,873.9,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.53,0.6102,73.47,5.3333,0.971
2019-01-28,4800.0,4536.0,0.11,0.1,0.04,0.0,0.0,3685.5,900.0,3900.0,850.5,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,27.19,0.604,72.81,5.3333,0.945
2019-01-29,4800.0,4704.0,0.11,0.1,0.04,0.0,0.0,3822.0,900.0,3900.0,882.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,25.97,0.6155,74.03,5.3333,0.98
2019-01-30,4800.0,4876.8,0.11,0.1,0.04,0.0,0.0,3962.4,900.0,3900.0,914.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,25.86,0.6166,74.14,5.3333,1.016
2019-01-31,4800.0,4800.0,0.11,0.12,0.04,0.0,0.0,3900.0,900.0,3900.0,900.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.88,0.6069,73.12,5.3333,1.0
2019-02-01,4800.0,4752.0,0.11,0.12,0.04,0.0,0.0,3861.0,900.0,3900.0,891.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.89,0.6068,73.11,5.3333,0.99
2019-02-04,4800.0,4828.8,0.11,0.12,0.04,0.0,0.0,3923.4,900.0,3900.0,905.4,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.45,0.6109,73.55,5.3333,1.006
2019-02-05,4800.0,5088.0,0.11,0.13,0.04,0.01,0.0,4134.0,900.0,3900.0,954.0,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,25.67,0.6184,74.33,5.3333,1.06
2019-02-06,4800.0,5126.4,0.11,0.12,0.04,0.01,0.0,4165.2,900.0,3900.0,961.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.52,0.6103,73.48,5.3333,1.068
2019-02-07,4800.0,5107.2,0.11,0.13,0.04,0.01,0.0,4149.6,900.0,3900.0,957.6,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.78,0.6079,73.22,5.3333,1.064
2019-02-08,4800.0,5030.4,0.11,0.14,0.04,0.01,0.0,4087.2,900.0,3900.0,943.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,26.96,0.6062,73.04,5.3333,1.048
2019-02-11,4800.0,4934.4,0.11,0.14,0.04,0.01,0.0,4009.2,900.0,3900.0,925.2,,,,,,,,,,,,,,,0.0,,,,100.0,100.0,0.0,0.0,,0.0,100.0,27.12,0.6047,72.88,5.3333,1.028
2019-02-12,3900.0,4009.2,0.09,0.11,0.03,0.0,0.0,4009.2,0.0,3900.0,0.0,,,,,,0.0,,900.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,26.54,0.6101,73.46,4.3333,1.028
2019-02-13,3000.0,3006.0,0.07,0.09,0.02,0.0,0.0,3006.0,0.0,3000.0,0.0,,,,,,,,,,,,,,900.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,35.28,0.5434,64.72,3.3333,1.002
2019-02-14,1000.0,1018.0,0.02,0.03,0.01,0.0,0.0,1018.0,0.0,1000.0,0.0,,,,,,,,,,,,,,2000.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.018
2019-02-15,1000.0,1018.0,0.02,0.03,0.01,0.0,0.0,1018.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.018
2019-02-18,1000.0,1010.0,0.02,0.03,0.01,0.0,0.0,1010.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.01
2019-02-19,1000.0,1016.0,0.02,0.03,0.01,0.0,0.0,1016.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.016
2019-02-20,1000.0,1000.0,0.02,0.03,0.01,0.0,0.0,1000.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.0
2019-02-21,1000.0,1016.0,0.02,0.03,0.01,0.0,0.0,1016.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.016
2019-02-22,1000.0,1000.0,0.02,0.03,0.01,0.0,0.0,1000.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,1.1111,1.0
