,GTT FP Equity_DX_SI_QTY,GTT FP Equity_DX_SHORT_INTEREST_VALUE,GTT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,GTT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GTT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GTT FP Equity_DX_SI_MV,GTT FP Equity_DX_DSS,GTT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GTT FP Equity_DX_SUPPLY_SI_QTY,GTT FP Equity_DX_BROKER_SI_QTY,GTT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GTT FP Equity_DX_BROKER_SI_MV_NEW_x,GTT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,GTT FP Equity_DX_SUPPLY_SI_QTY_INC_x,GTT FP Equity_DX_BROKER_SI_MV_INC_x,GTT FP Equity_DX_SUPPLY_SI_MV_NEW,GTT FP Equity_DX_BROKER_SI_QTY_ADD,GTT FP Equity_DX_BROKER_SI_QTY_NEW,GTT FP Equity_DX_SUPPLY_SI_MV_DEC,GTT FP Equity_DX_BROKER_SI_QTY_INC,GTT FP Equity_DX_SUPPLY_SI_QTY_DEC,GTT FP Equity_DX_BROKER_SI_MV_NEW_y,GTT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,GTT FP Equity_DX_BROKER_SI_MV_INC_y,GTT FP Equity_DX_SUPPLY_SI_QTY_INC_y,GTT FP Equity_DX_BROKER_SI_MV_ADD,GTT FP Equity_DX_SUPPLY_SI_QTY_ADD,GTT FP Equity_DX_BROKER_SI_QTY_DEC,GTT FP Equity_DX_SUPPLY_SI_MV,GTT FP Equity_DX_BROKER_SI_MV_DEC,GTT FP Equity_DX_SUPPLY_SI_MV_RMV,GTT FP Equity_DX_BROKER_SI_MV_RMV,GTT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GTT FP Equity_DX_UTILIZATION_QUANTITY,GTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GTT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GTT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,GTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GTT FP Equity_DX_ACTIVE_UTILIZATION_MV,GTT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GTT FP Equity_DX_BROKER_SI_CON_RATIO,GTT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GTT FP Equity_DX_DEMAND_SUPPLY_RATIO,GTT FP Equity_PX_LAST
2016-09-27,2044249.0,48976597.72,11.24,31.02,5.51,56.03,2.0,35453707.45,1044869.0,1479813.0,25033216.93,,,167418.0,0.06,,678413.0,,,11370.0,,,,0.06,167418.0,18.5,384737.0,32100.0,28.8,0.89,,,57.52,57.52,771780.0,18490486.52,,21.17,57.63,24.09,0.3979,55.19,1.1253,26.925
2016-09-28,2641827.0,64047743.88,14.52,40.32,7.12,71.05,2.0,49906714.84,1070847.0,2058541.0,25961326.91,,,6699.0,10.26,,195000.0,,,385500.0,,,,10.26,6699.0,4.98,19279.0,1772.0,28.65,0.06,,,58.44,58.44,761617.0,18464437.89,,20.26,58.58,22.17,0.2984,44.13,1.4417,25.9
2016-09-29,2506949.0,61998047.12,13.78,37.51,6.76,66.5,2.0,47423214.1,1076908.0,1917602.0,26632449.61,,,,0.52,,,,,14000.0,,,,0.52,,,6061.0,154939.0,27.94,4.59,,,58.91,58.91,751099.0,18575037.3,,19.6,58.77,23.51,0.2788,39.81,1.3714,26.42
2016-09-30,2072868.0,49895097.24,11.39,30.42,5.59,54.99,2.0,35859071.26,1070681.0,1489748.0,25771893.15,,,,4.38,,,,0.16,157146.0,6227.0,,,4.38,,,,585000.0,28.16,15.58,,,58.66,58.66,754497.0,18161166.65,,19.76,58.77,24.23,0.4092,56.33,1.1357,25.715
2016-10-03,2068044.0,51317938.26,11.37,29.61,5.58,54.83,2.0,36847977.2,1070681.0,1484924.0,26568652.05,0.04,,,,,,1333.0,0.03,,1067.0,0.04,,,,,1067.0,6157.0,27.67,0.34,,,58.8,58.8,750236.0,18616898.25,,19.54,58.61,24.88,0.4037,55.46,1.1357,26.51
2016-10-04,1281028.0,31800345.59,7.04,18.19,3.45,34.37,1.0,24404928.51,765409.0,983115.0,19000576.66,,,,,,,,7.83,,305272.0,,,,,,,501809.0,20.28,13.4,,0.04,42.03,42.03,1055868.0,26210955.03,,27.99,42.01,29.75,0.3286,39.82,0.7034,26.52
2016-10-05,1279015.0,31846152.61,7.03,18.28,3.45,34.36,1.0,24834603.43,743807.0,997415.0,18520026.14,,,19825.0,,,14300.0,,1.1,,41621.0,,,,19825.0,0.38,194.0,,19.69,,,,40.87,40.87,1076211.0,26796542.46,,28.53,40.83,29.81,0.3172,39.98,0.7027,26.6
2016-10-06,1265015.0,31610058.38,6.95,18.12,3.41,34.23,1.0,24573467.96,743807.0,983415.0,18586169.09,,,43.0,,,,,0.0,,43.0,,,,43.0,,,14000.0,19.85,0.34,,,40.88,40.88,1075801.0,26881999.36,,28.68,40.9,30.12,0.3154,39.27,0.6952,26.695
2016-10-07,1248722.0,30571741.95,6.86,18.17,3.37,33.3,1.0,23677491.24,734579.0,967122.0,17984274.83,,,,,,,,0.24,,9228.0,,,,,,,16293.0,19.48,0.45,,,40.4,40.4,1083735.0,26532460.2,,28.78,40.36,30.48,0.323,39.57,0.6867,26.155
2016-10-10,1248722.0,31530213.69,6.86,17.99,3.37,33.83,1.0,24419817.48,734579.0,967122.0,18548109.86,,,,,,,,,,,,,,,,,,19.36,,,,40.35,40.35,1086138.0,27424969.88,,28.69,40.29,30.7,0.3243,39.92,0.6858,26.975
2016-10-11,1254373.0,32852929.76,6.89,17.76,3.38,35.05,1.0,25766349.99,725025.0,983797.0,18988925.46,,,,0.77,,,,0.58,16675.0,24024.0,,,0.77,,,14470.0,,19.76,,,,39.82,39.82,1095521.0,28692481.79,,29.91,39.78,32.14,0.3272,40.34,0.689,27.98
2016-10-12,947797.0,25125127.62,5.21,13.19,2.56,26.97,1.0,21697517.06,583749.0,818497.0,15474588.04,,,,,,,,3.86,,142476.0,,,,,,1200.0,165300.0,16.41,4.72,,,32.09,32.09,1235597.0,32754410.81,,34.71,32.11,42.75,0.4694,53.49,0.521,28.32
2016-10-13,919197.0,24810084.97,5.05,12.37,2.48,26.54,1.0,21706115.12,569449.0,804197.0,15370021.96,,,,,,,,0.4,,14300.0,,,,,,,14300.0,16.15,0.38,,,31.22,31.22,1254507.0,33860451.31,,35.62,31.19,43.99,0.4977,55.15,0.504,28.835
2016-10-14,919197.0,25042397.19,5.05,11.57,2.48,26.95,1.0,21909362.95,569449.0,804197.0,15513941.01,,,,,,,,,,,,,,,,,,16.51,,,,31.12,31.12,1260363.0,34337047.28,,36.48,31.16,44.07,0.4976,55.08,0.5023,29.105
2016-10-17,902197.0,24815713.77,4.96,11.52,2.43,26.66,1.0,21927597.38,559449.0,797197.0,15388131.7,,,,0.1,,,,0.29,3000.0,10000.0,,,0.1,,,,10000.0,16.3,0.27,,,30.56,30.56,1271230.0,34966287.65,,37.02,30.57,44.86,0.4921,53.92,0.4928,29.385
2016-10-18,902197.0,25136624.82,4.96,11.45,2.43,26.99,1.0,22211159.98,559354.0,797197.0,15584480.6,,,155.0,,,,,0.07,,2477.0,,,,155.0,,2227.0,,16.5,,,,30.59,30.59,1268998.0,35356276.54,,37.4,30.61,44.84,0.4921,53.94,0.4934,29.765
2016-10-19,905258.0,25162593.33,4.98,11.39,2.44,27.12,1.0,22158924.76,562415.0,797197.0,15632913.41,,,,,,,,,,,,,,,,3061.0,,16.74,,,,30.76,30.76,1265804.0,35184346.65,,37.66,30.77,44.76,0.4887,53.68,0.4952,29.695
2016-10-20,909633.0,25956856.99,5.0,11.32,2.45,27.8,1.0,22748436.48,566790.0,797197.0,16173651.32,,,,,,,,,,,,,,,,4375.0,,16.95,,,,30.97,30.97,1263065.0,36042225.35,,37.78,30.97,44.4,0.4844,53.58,0.4971,30.485
2016-10-21,909633.0,25607757.06,5.0,11.27,2.45,27.71,1.0,22442487.36,566790.0,797197.0,15956128.05,,,,,,,,,,,,,,,,,,17.25,,,,30.94,30.94,1265082.0,35614266.98,,38.48,30.95,44.59,0.4839,53.37,0.4966,30.075
2016-10-24,907197.0,25776950.65,4.99,11.28,2.45,27.69,1.0,22722462.83,561854.0,799697.0,15964429.81,,,,,,2500.0,,0.22,,7436.0,,,,,0.07,2500.0,,16.93,,,,31.19,31.19,1239788.0,35227138.21,,37.36,31.18,44.74,0.4893,53.77,0.5035,30.355
2016-10-25,907197.0,26320427.79,4.99,11.47,2.45,28.16,1.0,23201539.62,561854.0,799697.0,16301021.32,,,,,,,,,,,,,,,,,,17.11,,,,31.15,31.15,1241957.0,36032790.6,,37.87,31.12,44.7,0.4893,53.8,0.5029,30.995
2016-10-26,922197.0,26509602.71,5.07,11.63,2.49,28.6,1.0,23419392.81,576854.0,814697.0,16582324.99,,,,,,15000.0,,,,,,,,,0.46,15000.0,,17.82,,,,31.93,31.93,1229550.0,35344814.62,,37.96,31.95,44.06,0.4736,52.82,0.5105,30.71
2016-10-27,923197.0,26758709.6,5.07,11.6,2.49,28.78,1.0,23642840.2,576854.0,815697.0,16720016.06,,,,0.03,,,,,1000.0,,,,0.03,,,,,17.77,,,,31.87,31.87,1233183.0,35743601.62,,38.0,31.86,43.97,0.4727,52.81,0.51,30.965
2016-10-28,875197.0,25478033.65,4.81,11.02,2.36,27.33,1.0,23076359.77,551854.0,792697.0,16065131.37,,,,0.06,,,,0.77,2000.0,25000.0,,,0.06,,,,25000.0,17.03,0.78,,,30.48,30.48,1258793.0,36644972.98,,38.94,30.43,46.4,0.4655,49.97,0.4834,31.1
2016-10-31,855197.0,24655657.18,4.7,10.8,2.31,26.6,1.0,22565454.4,541854.0,782697.0,15621858.43,,,,,,,,0.3,,10000.0,,,,,,,10000.0,16.8,0.32,,,29.9,29.9,1270590.0,36631596.52,,39.36,29.91,47.59,0.4642,48.7,0.4718,30.8
2016-11-01,855197.0,24551591.09,4.7,10.75,2.31,26.41,1.0,22470210.6,545424.0,782697.0,15658412.06,,,15000.0,,,,,,,,,,,15000.0,,,,16.71,,0.36,,30.25,30.25,1257339.0,36096563.7,11430.0,38.59,30.22,47.54,0.464,48.74,0.4744,30.67
2016-11-02,868864.0,24521036.14,4.78,10.94,2.34,26.52,1.0,22474944.78,544716.0,796364.0,15372947.57,,,1513.0,0.46,,,,0.19,15000.0,6320.0,,,0.46,1513.0,,4099.0,1333.0,16.63,0.04,,,30.19,30.19,1259786.0,35553617.17,,38.44,30.2,46.86,0.4502,47.87,0.4815,30.15
2016-11-03,869864.0,24561471.65,4.78,10.95,2.35,26.44,1.0,22514362.33,544716.0,797364.0,15380595.81,,,,0.03,,,,,1000.0,,,,0.03,,,,,16.44,,,,30.1,30.1,1264810.0,35713163.15,,38.16,30.11,46.73,0.449,47.87,0.4807,30.165
2016-11-04,869864.0,24382339.42,4.78,10.95,2.35,26.27,1.0,22350160.12,546377.0,797364.0,15314979.66,,,1661.0,,,,,,,,,,,1661.0,,,,16.42,,,,30.05,30.05,1272126.0,35657767.09,,38.25,30.04,46.75,0.4492,47.88,0.4783,29.945
2016-11-07,854864.0,24089919.99,4.7,10.67,2.31,25.97,1.0,22046882.5,534547.0,782364.0,15063442.21,,,2400.0,,,,,0.45,,15000.0,,,,2400.0,,770.0,15000.0,16.07,0.45,,,29.32,29.32,1288801.0,36318189.76,,38.74,29.31,47.54,0.4645,48.78,0.4688,30.105
2016-11-08,855864.0,24274320.69,4.7,10.74,2.31,26.13,1.0,22218049.78,534547.0,783364.0,15161013.09,,,,0.03,,,,0.05,1000.0,1508.0,,,0.03,,,1508.0,,16.13,,,,29.15,29.15,1299443.0,36855266.85,,39.19,29.16,47.46,0.4634,48.74,0.4667,30.3
2016-11-09,815504.0,23938770.83,4.48,10.13,2.2,25.73,1.0,22758717.04,526487.0,775304.0,15454800.51,,,,1.53,,,,1.37,37408.0,46060.0,,,1.53,,,38000.0,45468.0,16.17,1.34,,,27.81,27.81,1366660.0,40117719.28,,41.97,27.82,43.38,0.4829,54.27,0.4308,31.36
2016-11-10,828504.0,24041192.22,4.55,9.72,2.23,26.01,1.0,22874684.97,539487.0,788304.0,15654614.43,,,,0.27,,,,,13000.0,,,,0.27,,,13000.0,,16.91,,,,28.39,28.39,1360511.0,39478755.05,,42.6,28.41,43.99,0.4821,53.7,0.4361,31.0
2016-11-11,1068672.0,30510123.64,5.87,12.52,2.88,33.15,1.0,22453435.63,779655.0,786472.0,22258813.23,,,14435.0,,,,,,,,,,,14435.0,,225733.0,1832.0,24.15,0.06,,,40.86,40.86,1128473.0,32217416.34,,34.84,40.94,33.81,0.3402,41.56,0.5601,30.5
2016-11-14,1068672.0,30510123.64,5.87,12.67,2.88,32.97,1.0,22453435.63,779552.0,786472.0,22255872.62,,,10300.0,,,,,0.33,,10403.0,,,,10300.0,,,,23.92,,,,40.6,40.6,1140503.0,32560867.64,,34.88,40.68,33.97,0.3401,41.44,0.5566,30.5
2016-11-15,767272.0,22160247.07,4.22,9.15,2.07,23.87,1.0,21712578.15,506043.0,751772.0,14615466.1,,,3191.0,,,,,8.53,,276700.0,,,,3191.0,,,34700.0,15.48,0.94,,,26.21,26.21,1424610.0,41145395.09,,43.58,26.21,39.91,0.4939,57.82,0.3974,30.855
2016-11-16,773078.0,22277280.33,4.25,9.0,2.08,24.06,1.0,20219879.93,506940.0,701681.0,14608156.6,,,,,,,,1.68,,55000.0,,,,,,55897.0,50091.0,15.65,1.54,,,25.96,25.96,1445540.0,41655175.56,,44.63,25.96,32.92,0.4449,57.52,0.3959,30.785
2016-11-17,724078.0,21122833.76,3.98,8.45,1.95,22.79,1.0,19040037.48,506849.0,652681.0,14785820.27,,,91.0,0.04,,,,0.01,1000.0,182.0,,,0.04,91.0,,,50000.0,15.7,1.44,,,25.3,25.3,1496465.0,43654939.69,,46.3,25.32,28.35,0.4635,61.38,0.3614,31.165
2016-11-18,740627.0,22361260.67,4.07,8.69,2.0,23.93,1.0,20205618.32,508398.0,669230.0,15349724.22,,,,,,16549.0,,,,,,,,,0.52,1549.0,,16.01,,,,23.99,23.99,1610894.0,48636656.03,,50.78,23.97,27.86,0.4435,59.97,0.3495,32.255
2016-11-21,729507.0,22503521.1,4.01,8.39,1.97,24.13,1.0,20301096.87,507278.0,658110.0,15648295.6,,,,,,,,0.04,,1120.0,,,,,,,11120.0,16.45,0.35,,,23.79,23.79,1624905.0,50124377.09,,52.84,23.75,28.22,0.4563,60.86,0.3421,32.955
2016-11-22,745634.0,22254191.56,4.1,8.64,2.01,24.23,1.0,19970077.26,521982.0,669104.0,15579074.21,,,15133.0,0.02,,10423.0,,0.01,1000.0,429.0,,,0.02,15133.0,0.34,,429.0,17.02,0.01,,,24.44,24.44,1613670.0,48161593.07,,52.77,24.38,27.11,0.4378,59.7,0.3491,31.885
2016-11-23,760695.0,22379719.57,4.18,8.83,2.05,24.3,1.0,20038144.75,525043.0,681104.0,15446815.22,,,,0.32,,,,,12000.0,,,,0.32,,,3061.0,,16.8,,,,24.0,24.0,1663007.0,48925824.81,,53.09,24.04,27.57,0.4256,58.44,0.3477,31.43
2016-11-24,770695.0,22771310.89,4.24,9.17,2.08,24.57,1.0,20419678.4,525043.0,691104.0,15513163.29,,,,0.31,,,,,10000.0,,,,0.31,,,,,16.51,,,,23.7,23.7,1690057.0,49935205.72,,53.13,23.71,28.55,0.4227,57.76,0.3479,31.565
2016-11-25,777895.0,22692785.54,4.28,10.05,2.1,24.54,1.0,20160914.85,532243.0,691104.0,15526615.1,,,,,,,,,,,,,,,,7200.0,,16.67,,,,23.94,23.94,1691367.0,49340629.01,,53.15,23.88,28.25,0.4162,57.2,0.3498,31.165
2016-11-28,777895.0,22605407.58,4.28,10.31,2.1,24.39,1.0,20083285.79,532243.0,691104.0,15466830.28,,,,,,,,,,,,,,,,,,16.54,,,,23.93,23.93,1691519.0,49155061.31,,52.61,23.92,28.26,0.4156,57.13,0.3498,31.045
2016-11-29,777895.0,22641815.06,4.28,10.38,2.1,24.36,1.0,20115631.23,532243.0,691104.0,15491740.63,,,,,,,,,,,,,,,,,,16.49,,,,23.93,23.93,1691921.0,49245929.57,,52.42,23.93,28.29,0.4156,57.12,0.3497,31.095
2016-11-30,765570.0,22974608.64,4.21,10.38,2.06,24.59,1.0,20370027.4,519918.0,678779.0,15602639.31,,,,,,,,0.35,,12325.0,,,,,,,12325.0,16.33,0.13,,,23.33,23.33,1708426.0,51269536.09,,53.56,23.37,28.41,0.4265,58.04,0.3436,32.06
2016-12-01,775570.0,23267446.99,4.26,10.53,2.09,25.02,1.0,20663678.16,529918.0,688779.0,15897777.08,,,9766.0,0.31,,,,0.02,10000.0,795.0,,,0.31,9766.0,,1029.0,,16.93,,,,23.75,23.75,1701253.0,51038351.14,,54.4,23.74,27.73,0.415,57.33,0.3476,32.05
2016-12-02,772895.0,23389767.24,4.25,10.53,2.08,25.15,1.0,20763250.97,529918.0,686104.0,16036665.62,,,,,,,,,,,,,,,,,2675.0,17.02,0.08,,,23.72,23.72,1704089.0,51570064.58,,54.63,23.76,27.93,0.4179,57.5,0.346,32.33
2016-12-05,772895.0,23418706.01,4.25,10.52,2.08,25.16,1.0,20788940.12,529918.0,686104.0,16056506.84,,,13426.0,,,,,0.44,,13757.0,,,,13426.0,,331.0,,17.06,,,,23.83,23.83,1693740.0,51320294.64,,54.56,23.82,27.84,0.4175,57.49,0.3476,32.37
2016-12-06,776377.0,24011118.84,4.27,10.47,2.09,25.74,1.0,21219233.29,530816.0,686104.0,16416619.84,,,3903.0,,,,,0.09,,3005.0,,,,3903.0,,,,17.3,,,,23.64,23.64,1714730.0,53031691.83,,55.77,23.68,27.87,0.4157,57.28,0.3457,33.04
2016-12-07,786377.0,25608546.48,4.32,10.65,2.12,27.14,1.0,22668785.64,530873.0,696104.0,17288000.41,,,57.0,0.34,,,,,10000.0,,,,0.34,57.0,,,,17.76,,,,23.64,23.64,1714561.0,55835070.29,,57.24,23.68,27.79,0.4063,56.51,0.3502,34.79
2016-12-08,801377.0,26828401.72,4.4,10.45,2.16,28.79,1.0,23806253.21,545873.0,711104.0,18274669.89,,,21828.0,1.74,,,,0.42,30000.0,15000.0,,,1.74,21828.0,,8172.0,15000.0,19.22,0.26,,,24.29,24.29,1701240.0,56953905.77,,59.86,24.3,25.26,0.4261,59.39,0.3566,35.765
2016-12-09,806377.0,26848603.1,4.43,10.31,2.17,29.05,1.0,23743046.07,548873.0,713104.0,18274917.72,,,3000.0,0.07,,,,,2000.0,,,,0.07,3000.0,,,,19.62,,,,24.28,24.28,1711313.0,56978762.44,,61.24,24.27,24.69,0.4202,59.04,0.3568,35.57
2016-12-12,835497.0,27736046.49,4.59,10.6,2.25,29.87,1.0,24639656.84,578153.0,742224.0,19192981.53,,,,0.88,,,,1.13,29120.0,31038.0,,,0.88,,,60318.0,,20.48,,,,25.48,25.48,1690462.0,56118373.4,,59.87,25.49,23.9,0.4303,60.27,0.3683,35.465
2016-12-13,835652.0,28014966.66,4.59,10.64,2.25,30.1,1.0,24888019.1,574156.0,742379.0,19248396.7,,,,1.01,,,,0.14,27577.0,3997.0,,,1.01,,,,27422.0,20.42,0.86,,,24.95,24.95,1727029.0,57898096.17,,61.36,24.97,23.95,0.3927,56.9,0.3631,35.815
2016-12-14,835652.0,27764658.43,4.59,10.56,2.25,30.14,1.0,24665649.53,574156.0,742379.0,19076416.05,,,,,,,,,,,,,,,,,,20.62,,,,24.59,24.59,1760426.0,58490408.19,,63.19,24.6,23.87,0.3929,56.94,0.3579,35.495
2016-12-15,890443.0,29385057.22,4.89,11.46,2.4,31.83,1.0,26307002.32,567013.0,797170.0,18711708.05,,,,2.18,,,,0.26,65000.0,7143.0,,,2.18,,,,10209.0,20.22,0.36,,,24.3,24.3,1766630.0,58299659.43,,63.16,24.25,22.29,0.4297,60.84,0.3816,35.255
2016-12-16,886330.0,29942084.31,4.87,11.49,2.39,32.04,1.0,26791126.96,567013.0,793057.0,19154887.06,,,,,,,,,,,,,,,,,4113.0,20.07,0.15,,,24.43,24.43,1754292.0,59263659.1,,62.08,24.43,22.68,0.4325,60.94,0.3818,36.09
2016-12-19,886330.0,30074828.38,4.87,11.62,2.39,32.4,1.0,26909901.7,567013.0,793057.0,19239807.59,,,,,,,,,,,,,,,,,,20.5,,,,23.86,23.86,1809201.0,61389560.98,,65.38,23.87,22.58,0.4328,60.98,0.373,36.25
2016-12-20,873330.0,30451195.93,4.8,11.48,2.36,32.56,1.0,27652243.81,554013.0,793057.0,19317278.02,,,,,,,,0.47,,13000.0,,,,,,,,20.24,,,,22.99,22.99,1855656.0,64702855.09,,67.83,22.98,22.69,0.4342,61.08,0.3624,37.25
2016-12-21,876512.0,32322032.95,4.82,11.62,2.36,34.22,1.0,29244567.65,529098.0,793057.0,19510882.89,,,9296.0,,,,,1.35,,37944.0,,,,9296.0,,3733.0,,19.91,,,,22.27,22.27,1846475.0,68090141.13,,69.6,22.24,22.84,0.4323,60.86,0.369,39.395
2016-12-22,908140.0,33331076.85,4.99,12.26,2.45,35.95,1.0,29474260.12,560726.0,803057.0,20580088.31,,,1448.0,0.41,,,,,10000.0,,,,0.41,1448.0,,30180.0,,22.07,,,,23.52,23.52,1822950.0,66906959.88,,71.75,23.52,22.0,0.4147,59.62,0.381,39.21
2016-12-23,902462.0,33359209.86,4.96,12.17,2.43,35.85,1.0,29674164.96,547869.0,802771.0,20251796.69,,,,,,5392.0,,0.5,,12857.0,,,,,0.22,,5678.0,21.5,0.23,,,22.98,22.98,1836373.0,67880921.61,,72.12,22.96,22.21,0.4196,59.97,0.3785,39.49
2016-12-26,902462.0,33359209.86,4.96,12.09,2.43,35.9,1.0,29674164.96,557869.0,802771.0,20621443.39,,,,,,,,,,,,,,,,10000.0,,22.03,,,,23.34,23.34,1832148.0,67724745.88,,72.3,23.36,22.2,0.4191,59.93,0.3776,
2016-12-27,905014.0,33775456.75,4.97,12.13,2.44,36.29,1.0,30108991.7,550421.0,806771.0,20541915.02,,,,0.16,,30000.0,,0.19,4000.0,5161.0,,,0.16,,1.19,24000.0,30000.0,21.76,1.12,1.04,,23.19,23.19,1823128.0,68039810.34,26287.0,72.18,23.17,21.04,0.4124,59.81,0.3813,39.87
2016-12-28,903466.0,34351952.78,4.97,12.09,2.44,36.79,1.0,30485264.01,555073.0,801771.0,21105212.02,,,7130.0,,,,,0.1,,2478.0,,,,7130.0,,,5000.0,22.21,0.2,,,23.15,23.15,1842698.0,70063815.0,,73.91,23.11,21.13,0.4153,59.97,0.3768,40.62
2016-12-29,871680.0,33445269.32,4.79,11.89,2.35,35.84,1.0,29543359.6,548990.0,769985.0,21064058.37,,,,,,,,0.24,,6083.0,,,,,,,31786.0,22.25,1.14,,,22.88,22.88,1850654.0,71007274.97,,75.1,22.86,21.88,0.4004,58.35,0.3633,40.99
2016-12-30,961529.0,36987167.12,5.28,13.21,2.59,39.77,1.0,33075262.27,602425.0,859834.0,23173501.94,,,100000.0,4.04,,,,1.87,94711.0,46565.0,,,4.04,100000.0,,,4862.0,24.67,0.19,,,25.08,25.08,1799985.0,69240081.17,,73.7,25.08,19.78,0.4436,62.83,0.4002,41.095
2017-01-02,961529.0,36262634.46,5.28,13.21,2.59,39.32,1.0,32427358.97,602425.0,859834.0,22719561.83,,,,,,,,,,,,,,,,,,24.79,,,,25.04,25.04,1803070.0,68000100.17,,73.66,25.18,19.69,0.4432,62.8,0.3997,40.29
2017-01-03,958693.0,36380025.43,5.27,13.58,2.59,39.16,1.0,32520951.99,599589.0,856998.0,22752917.84,,,,,,,,0.12,,2836.0,,,,,,,2836.0,24.28,0.12,,,24.91,24.91,1807588.0,68593488.64,,73.63,24.8,19.77,0.4472,63.11,0.3983,40.54
2017-01-04,936905.0,34948100.82,5.15,12.75,2.53,37.77,1.0,31221405.04,577801.0,836998.0,21552929.7,,,,,,,,0.89,,21788.0,,,,,,,20000.0,23.31,0.81,,,25.6,25.6,1679196.0,62636778.66,,67.58,25.65,17.97,0.4563,64.3,0.4151,39.85
2017-01-05,904370.0,33556718.97,4.97,12.4,2.44,36.11,1.0,29052570.71,572366.0,782981.0,21237684.81,,,21482.0,,,,,1.1,,26917.0,,,,21482.0,,,54017.0,22.71,2.44,,,25.24,25.24,1695200.0,62900527.43,,67.16,25.27,17.61,0.4729,65.39,0.3988,39.64
2017-01-06,911292.0,33817825.39,5.01,12.46,2.46,36.29,1.0,29313109.01,539366.0,789903.0,20015741.62,,,,0.31,,,,1.3,6922.0,33000.0,,,0.31,,,,,21.41,,,,23.7,23.7,1736354.0,64435676.37,,69.05,23.67,18.37,0.4674,64.78,0.4004,39.645
2017-01-09,908990.0,33523937.7,5.0,12.24,2.45,35.82,1.0,29047059.76,533946.0,787601.0,19692155.51,,,,,,,,0.22,,5420.0,,,,,,,2302.0,21.11,0.09,,,23.39,23.39,1748921.0,64500950.11,,69.29,23.35,18.44,0.4678,64.76,0.3982,39.4
2017-01-10,902990.0,33298428.92,4.96,11.97,2.44,35.65,1.0,28822119.12,533946.0,781601.0,19689656.51,,,,,,,,,,,,,,,,,6000.0,21.05,0.21,,,23.33,23.33,1754568.0,64701002.04,,69.15,23.34,17.92,0.4726,65.27,0.3946,39.395
2017-01-11,903472.0,33041351.76,4.97,12.05,2.44,35.62,1.0,28506884.54,536546.0,779483.0,19622307.19,,,,0.03,,,,,1000.0,,,,0.03,,,2600.0,3118.0,21.09,0.08,,,21.26,21.26,1986619.0,72653692.85,,78.12,21.26,17.72,0.4695,65.09,0.3581,39.07
2017-01-12,887956.0,32590272.07,4.88,11.75,2.39,35.05,1.0,28200607.34,521030.0,768355.0,19123142.88,,,47.0,,,1872.0,,0.64,,15563.0,,,,47.0,0.08,,13000.0,20.32,0.46,,,20.6,20.6,2008486.0,73716608.91,,78.15,20.63,16.63,0.4793,66.11,0.351,39.21
2017-01-13,848723.0,31547544.1,4.66,11.35,2.29,33.88,1.0,27101903.04,484397.0,729122.0,18005327.67,,,3600.0,0.05,,,,1.52,1000.0,40233.0,,,0.05,3600.0,,,40233.0,19.03,1.24,,,19.1,19.1,2051664.0,76261584.19,,80.69,19.08,16.47,0.4715,65.46,0.3347,39.71
2017-01-16,843295.0,31022141.42,4.63,11.37,2.27,33.51,1.0,26622400.95,479262.0,723694.0,17630524.95,,,1579.0,,,,,0.26,,6714.0,,,,1579.0,,,5428.0,19.01,0.36,,,18.91,18.91,2055242.0,75605817.62,,81.43,18.93,16.47,0.4678,65.12,0.3327,39.3
2017-01-17,835047.0,30769530.78,4.59,11.29,2.25,33.1,1.0,26362513.39,465921.0,715446.0,17168100.18,,,,0.21,,,,0.54,5093.0,13341.0,,,0.21,,,,13341.0,18.35,0.57,,,18.36,18.36,2071760.0,76339515.12,,81.23,18.43,16.7,0.4565,64.17,0.3291,39.365
2017-01-18,834987.0,30235838.2,4.59,11.35,2.25,32.85,1.0,25904948.64,466261.0,715386.0,16883846.28,,,,,,,,0.01,,60.0,,,,,,400.0,60.0,18.34,0.0,,,18.33,18.33,2077675.0,75234997.84,,81.77,18.32,16.57,0.4565,64.18,0.3282,38.685
2017-01-19,835387.0,30461453.26,4.59,11.15,2.25,32.78,1.0,26100336.47,466261.0,715786.0,17001686.23,,,,0.01,,,,,400.0,,,,0.01,,,,,18.05,,,,18.32,18.32,2079392.0,75822705.19,,80.6,18.3,16.7,0.4566,64.19,0.3282,38.955
