,74SW FP Equity_DX_SI_QTY,74SW FP Equity_DX_SHORT_INTEREST_VALUE,74SW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,74SW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,74SW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,74SW FP Equity_DX_SI_MV,74SW FP Equity_DX_DSS,74SW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,74SW FP Equity_DX_SUPPLY_SI_QTY,74SW FP Equity_DX_BROKER_SI_QTY,74SW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,74SW FP Equity_DX_BROKER_SI_MV_NEW_x,74SW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,74SW FP Equity_DX_SUPPLY_SI_QTY_INC_x,74SW FP Equity_DX_BROKER_SI_MV_INC_x,74SW FP Equity_DX_SUPPLY_SI_MV_NEW,74SW FP Equity_DX_BROKER_SI_QTY_ADD,74SW FP Equity_DX_BROKER_SI_QTY_NEW,74SW FP Equity_DX_SUPPLY_SI_MV_DEC,74SW FP Equity_DX_BROKER_SI_QTY_INC,74SW FP Equity_DX_SUPPLY_SI_QTY_DEC,74SW FP Equity_DX_BROKER_SI_MV_NEW_y,74SW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,74SW FP Equity_DX_BROKER_SI_MV_INC_y,74SW FP Equity_DX_SUPPLY_SI_QTY_INC_y,74SW FP Equity_DX_BROKER_SI_MV_ADD,74SW FP Equity_DX_SUPPLY_SI_QTY_ADD,74SW FP Equity_DX_BROKER_SI_QTY_DEC,74SW FP Equity_DX_SUPPLY_SI_MV,74SW FP Equity_DX_BROKER_SI_MV_DEC,74SW FP Equity_DX_SUPPLY_SI_MV_RMV,74SW FP Equity_DX_BROKER_SI_MV_RMV,74SW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,74SW FP Equity_DX_UTILIZATION_QUANTITY,74SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,74SW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,74SW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,74SW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,74SW FP Equity_DX_ACTIVE_UTILIZATION_MV,74SW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,74SW FP Equity_DX_BROKER_SI_CON_RATIO,74SW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,74SW FP Equity_DX_DEMAND_SUPPLY_RATIO,74SW FP Equity_PX_LAST
2015-02-05,36377.0,600980.03,0.42,2.68,0.18,0.64,0.0,515021.9,32982.0,31174.0,544891.65,,,,,,,,,,,,,,,,,2.0,0.57,0.0,,,100.0,13.56,0.0,0.0,,0.0,100.0,32.33,0.2609,33.63,0.1496,17.4
2015-02-06,31174.0,506142.21,0.36,2.32,0.15,0.56,0.0,506142.21,27779.0,31174.0,451020.86,,,,,,,,0.09,,5203.0,,,,,,,,0.49,,,,100.0,11.38,0.0,0.0,,0.0,100.0,37.96,0.3286,39.24,0.1277,17.1
2015-02-09,31174.0,515021.9,0.36,2.28,0.15,0.55,0.0,515021.9,27779.0,31174.0,458933.51,,,,,,,,,,,,,,,,,,0.48,,,,100.0,11.32,0.0,0.0,,0.0,100.0,37.59,0.3264,39.13,0.1271,17.4
2015-02-10,31174.0,507030.18,0.36,2.25,0.15,0.55,0.0,507030.18,27779.0,31174.0,451812.13,,,,,,,,,,,,,,,,,,0.48,,,,100.0,11.29,0.0,0.0,,0.0,100.0,37.86,0.3283,39.3,0.1267,17.13
2015-02-11,31174.0,509102.1,0.36,2.24,0.15,0.55,0.0,509102.1,27779.0,31174.0,453658.41,,,,,,,,,,,,,,,,,,0.48,,,,100.0,11.27,0.0,0.0,,0.0,100.0,37.63,0.3267,39.19,0.1265,17.2
2015-02-12,31174.0,513837.94,0.36,2.24,0.15,0.54,0.0,513837.94,27779.0,31174.0,457878.49,,,,,,,,,,,,,,,,,,0.47,,,,100.0,11.25,0.0,0.0,,0.0,100.0,37.61,0.3262,39.09,0.1263,17.36
2015-02-13,31262.0,515882.08,0.36,2.27,0.15,0.55,0.0,515882.08,28762.0,31262.0,474627.36,,,991.0,0.0,,,,0.0,105.0,8.0,,,0.0,991.0,,,17.0,0.5,0.0,,,100.0,11.65,0.0,0.0,,0.0,100.0,37.7,0.3277,39.3,0.1266,17.38
2015-02-16,31262.0,526864.61,0.36,2.25,0.15,0.56,0.0,526864.61,28762.0,31262.0,484731.62,,,,,,,,,,,,,,,,,,0.5,,,,100.0,11.65,0.0,0.0,,0.0,100.0,37.57,0.3266,39.14,0.1266,17.75
2015-02-17,31262.0,527458.26,0.36,2.25,0.15,0.56,0.0,527458.26,28762.0,31262.0,485277.8,,,,,,,,,,,,,,,,,,0.51,,,,100.0,11.42,0.0,0.0,,0.0,100.0,37.49,0.3274,39.42,0.1241,17.77
2015-02-18,31262.0,534285.24,0.36,2.25,0.15,0.57,0.0,534285.24,28762.0,31262.0,491558.83,,,,,,,,,,,,,,,,,,0.51,,,,100.0,11.42,0.0,0.0,,0.0,100.0,37.59,0.3272,39.26,0.1241,18.0
2015-02-19,31262.0,540221.74,0.36,2.27,0.15,0.58,0.0,540221.74,28762.0,31262.0,497020.59,,,,,,,,,,,,,,,,,,0.52,,,,100.0,11.42,0.0,0.0,,0.0,100.0,37.55,0.3276,39.36,0.1242,18.2
2015-02-20,31762.0,529259.76,0.37,2.3,0.15,0.59,0.0,529259.76,28762.0,31762.0,479269.86,,,,0.01,,,,,500.0,,,,0.01,,,,,0.52,,,,100.0,11.42,0.0,0.0,,0.0,100.0,37.24,0.3329,40.75,0.1261,17.55
2015-02-23,31633.0,513594.55,0.37,2.27,0.15,0.57,0.0,513594.55,28633.0,31633.0,464886.44,,,,,,,,0.01,,129.0,,,,,,,129.0,0.51,0.01,,,100.0,11.37,0.0,0.0,,0.0,100.0,37.27,0.3321,40.56,0.1256,17.1
2015-02-24,31633.0,516598.03,0.37,2.42,0.15,0.55,0.0,516598.03,28633.0,31633.0,467605.07,,,,,,,,,,,,,,,,,,0.49,,,,100.0,11.39,0.0,0.0,,0.0,100.0,37.06,0.3291,40.15,0.1259,17.2
2015-02-25,31501.0,539865.36,0.36,2.49,0.15,0.56,0.0,539865.36,28501.0,31501.0,488451.24,,,,,,,,0.0,,132.0,,,,,,,132.0,0.49,0.0,,,100.0,11.34,0.0,0.0,,0.0,100.0,36.94,0.326,39.56,0.1253,18.05
2015-02-26,31501.0,555119.17,0.36,2.13,0.15,0.59,0.0,555119.17,28501.0,31501.0,502252.36,,,,,,,,,,,,,,,,,,0.52,,,,100.0,11.34,0.0,0.0,,0.0,100.0,37.23,0.3283,39.73,0.1253,18.56
2015-02-27,31001.0,569855.8,0.36,2.07,0.15,0.59,0.0,569855.8,28501.0,31001.0,523901.17,,,,,,,,,,,,,,,,,500.0,0.53,0.01,,,100.0,11.27,0.0,0.0,,0.0,100.0,37.61,0.3252,38.7,0.1225,19.36
2015-03-02,30321.0,552174.11,0.35,1.98,0.15,0.6,0.0,552174.11,27821.0,30321.0,506646.74,,,,,,,,0.0,,680.0,,,,,,,680.0,0.54,0.0,,,100.0,11.0,0.0,0.0,,0.0,100.0,37.65,0.3258,38.9,0.1199,19.18
2015-03-03,18421.0,334939.14,0.21,1.15,0.09,0.37,0.0,334939.14,15821.0,18421.0,287664.73,,,,0.0,,,,0.23,100.0,12000.0,,,0.0,,,,12000.0,0.3,0.23,,,100.0,6.25,0.0,0.0,,0.0,100.0,28.83,0.4685,61.75,0.0728,19.15
2015-03-04,17908.0,327651.92,0.21,1.15,0.09,0.36,0.0,327651.92,15308.0,17908.0,280081.28,,,,,,,,0.01,,513.0,,,,,,,513.0,0.3,0.01,,,100.0,6.05,0.0,0.0,,0.0,100.0,29.78,0.4602,60.6,0.0708,19.27
2015-03-05,17410.0,323995.33,0.2,1.12,0.08,0.35,0.0,323995.33,14810.0,17410.0,275610.05,,,,,,,,0.01,,498.0,,,,,,,498.0,0.29,0.01,,,100.0,5.85,0.0,0.0,,0.0,100.0,30.96,0.4504,59.17,0.0688,19.6
2015-03-06,21997.0,408940.44,0.25,1.5,0.11,0.45,0.0,321805.65,19497.0,17310.0,362463.59,,,4687.0,,,,,,,,,,,4687.0,,,100.0,0.39,0.0,,,100.0,7.71,0.0,0.0,,0.0,100.0,24.38,0.3275,47.2,0.087,19.58
2015-03-09,21908.0,407493.87,0.25,1.52,0.11,0.44,0.0,320314.59,19408.0,17221.0,360993.29,,,,,,,,0.0,,89.0,,,,,,,89.0,0.38,0.0,,,100.0,7.67,0.0,0.0,,0.0,100.0,24.47,0.3252,46.8,0.0865,19.59
2015-03-10,17221.0,315572.82,0.2,1.35,0.08,0.35,0.0,315572.82,14721.0,17221.0,269760.61,,,,,,,,0.09,,4687.0,,,,,,,,0.29,,,,100.0,5.8,0.0,0.0,,0.0,100.0,30.49,0.4519,59.52,0.0678,19.3
2015-03-11,16930.0,308632.82,0.2,1.3,0.08,0.34,0.0,308632.82,14430.0,16930.0,263057.98,,,,,,,,0.01,,291.0,,,,,,,291.0,0.28,0.01,,,100.0,5.68,0.0,0.0,,0.0,100.0,31.18,0.446,58.65,0.0667,19.2
2015-03-12,16609.0,305461.88,0.19,1.28,0.08,0.33,0.0,305461.88,14109.0,16609.0,259483.51,,,,,,,,0.01,,321.0,,,,,,,321.0,0.27,0.01,,,100.0,5.54,0.0,0.0,,0.0,100.0,32.29,0.4373,57.26,0.0652,19.37
2015-03-13,16200.0,307168.72,0.19,1.26,0.08,0.33,0.0,307168.72,13700.0,16200.0,259766.14,,,,,,,,0.0,,409.0,,,,,,,409.0,0.27,0.01,,,100.0,5.38,0.0,0.0,,0.0,100.0,33.55,0.4307,55.94,0.0636,19.97
2015-03-16,16200.0,303784.79,0.19,1.27,0.08,0.33,0.0,303784.79,13700.0,16200.0,256904.42,,,,,,,,,,,,,,,,,,0.27,,,,100.0,5.38,0.0,0.0,,0.0,100.0,32.8,0.4325,56.53,0.0636,19.75
2015-03-17,16200.0,301016.12,0.19,1.38,0.08,0.33,0.0,301016.12,13700.0,16200.0,254563.02,,,,,,,,,,,,,,,,,,0.27,,,,100.0,5.37,0.0,0.0,,0.0,100.0,32.88,0.4321,56.46,0.0635,19.57
2015-03-18,11200.0,210981.13,0.13,0.97,0.05,0.22,0.0,210981.13,8700.0,11200.0,163887.12,,,,,,,,0.1,,5000.0,,,,,,,5000.0,0.17,0.1,,,100.0,3.41,0.0,0.0,,0.0,100.0,9.15,0.6547,80.1,0.0439,19.84
2015-03-19,11200.0,209173.32,0.13,0.96,0.05,0.23,0.0,209173.32,8700.0,11200.0,162482.85,,,,,,,,,,,,,,,,,,0.17,,,,100.0,3.4,0.0,0.0,,0.0,100.0,9.01,0.6615,80.55,0.0437,19.67
2015-03-20,11196.0,206228.43,0.13,0.96,0.05,0.23,0.0,206228.43,8696.0,11196.0,160178.85,,,,,,,,0.0,,4.0,,,,,,,4.0,0.17,0.0,,,100.0,3.39,0.0,0.0,,0.0,100.0,9.12,0.658,80.32,0.0436,19.4
2015-03-23,11191.0,200823.54,0.13,0.98,0.05,0.22,0.0,200823.54,8691.0,11191.0,155960.81,,,,,,,,0.0,,5.0,,,,,,,5.0,0.17,0.0,,,100.0,3.38,0.0,0.0,,0.0,100.0,9.09,0.6585,80.35,0.0435,18.9
2015-03-24,11137.0,200488.96,0.13,0.98,0.05,0.22,0.0,200488.96,8637.0,11137.0,155483.81,,,,,,,,0.0,,54.0,,,,,,,54.0,0.16,0.0,,,100.0,3.36,0.0,0.0,,0.0,100.0,8.99,0.6574,80.28,0.0433,18.96
2015-03-25,10940.0,196111.57,0.13,0.97,0.05,0.22,0.0,196111.57,8440.0,10940.0,151296.32,,,,,,,,0.0,,197.0,,,,,,,197.0,0.16,0.0,,,100.0,3.28,0.0,0.0,,0.0,100.0,9.21,0.6513,79.87,0.0425,18.88
2015-03-26,10490.0,185156.43,0.12,0.93,0.05,0.21,0.0,185156.43,7990.0,10490.0,141029.54,,,,,,,,0.01,,450.0,,,,,,,450.0,0.15,0.01,,,100.0,3.1,0.0,0.0,,0.0,100.0,9.51,0.642,79.23,0.0407,18.59
2015-03-27,10248.0,181955.27,0.12,0.9,0.05,0.2,0.0,181955.27,7748.0,10248.0,137567.27,,,,,,,,0.0,,242.0,,,,,,,242.0,0.14,0.01,,,100.0,3.0,0.0,0.0,,0.0,100.0,9.78,0.6307,78.45,0.0397,18.7
2015-03-30,9950.0,174774.76,0.12,0.88,0.05,0.2,0.0,174774.76,7450.0,9950.0,130861.51,,,,,,,,0.01,,298.0,,,,,,,298.0,0.14,0.01,,,100.0,2.88,0.0,0.0,,0.0,100.0,10.06,0.623,77.9,0.0385,18.5
2015-03-31,9569.0,163539.62,0.11,0.85,0.05,0.19,0.0,163539.62,7069.0,9569.0,120813.2,,,,,,,,0.01,,381.0,,,,,,,381.0,0.13,0.01,,,100.0,2.73,0.0,0.0,,0.0,100.0,10.31,0.6154,77.36,0.0369,18.0
2015-04-01,8969.0,151582.11,0.1,0.78,0.04,0.17,0.0,151582.11,7069.0,8969.0,119470.83,,,,,,,,,,,,,,,,,,0.13,,,0.01,100.0,3.38,0.0,0.0,,0.0,100.0,11.23,0.6893,82.08,0.0429,17.8
2015-04-02,8609.0,146478.75,0.1,0.74,0.04,0.16,0.0,146478.75,6709.0,8609.0,114151.0,,,,,,,,0.01,,360.0,,,,,,,360.0,0.12,0.01,,,100.0,3.22,0.0,0.0,,0.0,100.0,11.69,0.6773,81.26,0.0413,17.92
2015-04-03,8609.0,146478.75,0.1,0.74,0.04,0.16,0.0,146478.75,6709.0,8609.0,114151.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,3.22,0.0,0.0,,0.0,100.0,11.75,0.6759,81.16,0.0413,
2015-04-06,8609.0,146478.75,0.1,0.74,0.04,0.16,0.0,146478.75,6709.0,8609.0,114151.0,,,,,,,,,,,,,,,,,,0.12,,,,100.0,3.22,0.0,0.0,,0.0,100.0,11.71,0.6773,81.26,0.0413,
2015-04-07,8046.0,135371.63,0.09,0.69,0.04,0.15,0.0,135371.63,6146.0,8046.0,103404.68,,,,,,,,0.01,,563.0,,,,,,,563.0,0.11,0.01,,,100.0,2.97,0.0,0.0,,0.0,100.0,12.44,0.6609,80.11,0.0389,17.72
2015-04-08,8035.0,134271.07,0.09,0.67,0.04,0.15,0.0,134271.07,6135.0,8035.0,102520.6,,,,,,,,0.0,,11.0,,,,,,,11.0,0.11,0.0,,,100.0,2.94,0.0,0.0,,0.0,100.0,12.32,0.6635,80.29,0.0385,17.6
2015-04-09,7991.0,134673.89,0.09,0.64,0.04,0.15,0.0,134673.89,6091.0,7991.0,102652.82,,,,,,,,0.0,,44.0,,,,,,,44.0,0.11,0.0,,,100.0,2.92,0.0,0.0,,0.0,100.0,12.21,0.6646,80.38,0.0383,17.75
2015-04-10,7991.0,138467.52,0.09,0.64,0.04,0.15,0.0,138467.52,6091.0,7991.0,105544.45,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.92,0.0,0.0,,0.0,100.0,12.49,0.6567,79.82,0.0383,18.25
2015-04-13,7991.0,139681.48,0.09,0.8,0.04,0.15,0.0,139681.48,6091.0,7991.0,106469.77,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.92,0.0,0.0,,0.0,100.0,12.52,0.6578,79.89,0.0383,18.41
2015-04-14,7991.0,140819.57,0.09,0.83,0.04,0.15,0.0,140819.57,6091.0,7991.0,107337.26,,,,,,,,,,,,,,,,,,0.11,,,,100.0,2.92,0.0,0.0,,0.0,100.0,12.65,0.6552,79.7,0.0383,18.56
2015-04-15,14702.0,259641.0,0.17,1.64,0.07,0.28,0.0,141123.06,12802.0,7991.0,226086.53,,,6711.0,,,,,,,,,,,6711.0,,,,0.24,,,,6.14,6.14,195715.0,3456375.92,,3.64,6.14,44.29,0.4006,44.54,0.0705,18.6
2015-04-16,14702.0,262014.07,0.17,1.81,0.07,0.28,0.0,142412.9,12802.0,7991.0,228152.91,,,,,,,,,,,,,,,,,,0.24,,,,6.19,6.19,193948.0,3456475.57,,3.61,6.15,43.92,0.4,44.83,0.0711,18.77
2015-04-17,14185.0,250510.65,0.16,1.75,0.07,0.27,0.0,131992.71,12785.0,7474.0,225786.3,,,,,,,,0.0,,17.0,,,,,,,517.0,0.24,0.01,,,6.18,6.18,193937.0,3424975.99,,3.62,6.19,45.08,0.4268,46.71,0.0686,18.6
2015-04-20,14185.0,253204.32,0.16,1.87,0.07,0.27,0.0,133411.99,12785.0,7474.0,228214.11,,,,,,,,,,,,,,,,,,0.24,,,,6.18,6.18,193937.0,3461803.69,,3.62,6.17,45.8,0.4274,46.08,0.0686,18.8
2015-04-21,14185.0,256302.03,0.16,2.0,0.07,0.27,0.0,135044.16,12785.0,7474.0,231006.09,,,,,,,,,,,,,,,,,,0.24,,,,6.18,6.18,193937.0,3504155.54,,3.66,6.16,45.76,0.4274,46.12,0.0686,19.03
2015-04-22,14185.0,256436.71,0.16,1.98,0.07,0.28,0.0,135115.12,12785.0,7474.0,231127.48,,,,,,,,,,,,,,,,,,0.24,,,,6.18,6.18,193937.0,3505996.93,,3.69,6.19,45.75,0.4274,46.12,0.0686,19.04
2015-04-23,7474.0,135895.72,0.09,1.04,0.04,0.15,0.0,135895.72,6074.0,7474.0,110440.28,,,,,,,,0.13,,6711.0,,,,,,,,0.11,,,,100.0,2.93,0.0,0.0,,0.0,100.0,13.52,0.7377,84.8,0.0361,19.15
2015-04-24,7774.0,140243.28,0.09,1.15,0.04,0.15,0.0,140243.28,6074.0,7774.0,109575.21,,,,0.01,,,,,300.0,,,,0.01,,,,,0.12,,,,100.0,2.99,0.0,0.0,,0.0,100.0,12.99,0.7463,85.39,0.0382,19.0
2015-04-27,7761.0,144061.64,0.09,1.2,0.04,0.15,0.0,144061.64,6061.0,7761.0,112505.81,,,,,,,,0.0,,13.0,,,,,,,13.0,0.11,0.0,,,100.0,2.98,0.0,0.0,,0.0,100.0,12.93,0.7473,85.46,0.0382,19.55
2015-04-28,7761.0,142956.31,0.13,1.21,0.04,0.16,0.0,142956.31,6061.0,7761.0,111642.6,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.98,0.0,0.0,,0.0,100.0,13.04,0.7457,85.35,0.0382,19.4
2015-04-29,7761.0,145682.8,0.13,1.24,0.04,0.16,0.0,145682.8,6061.0,7761.0,113771.86,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.92,0.0,0.0,,0.0,100.0,13.09,0.745,85.3,0.0374,19.77
2015-04-30,7761.0,148040.84,0.13,1.17,0.04,0.16,0.0,148040.84,6061.0,7761.0,115613.39,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.92,0.0,0.0,,0.0,100.0,13.01,0.746,85.37,0.0374,20.09
2015-05-01,7761.0,148040.84,0.13,1.11,0.04,0.16,0.0,148040.84,6061.0,7761.0,115613.39,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.93,0.0,0.0,,0.0,100.0,12.94,0.7471,85.44,0.0375,
2015-05-04,7961.0,153443.17,0.13,1.14,0.04,0.17,0.0,153443.17,6061.0,7961.0,116821.89,,,,0.0,,,,,200.0,,,,0.0,,,,,0.12,,,,100.0,3.75,0.0,0.0,,0.0,100.0,12.56,0.7531,85.85,0.0492,20.3
2015-05-05,7961.0,153745.53,0.13,1.14,0.04,0.17,0.0,153745.53,6061.0,7961.0,117052.08,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.91,0.0,0.0,,0.0,100.0,12.65,0.7519,85.77,0.0382,20.34
2015-05-06,7961.0,149663.79,0.13,0.96,0.04,0.17,0.0,149663.79,6061.0,7961.0,113944.51,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.91,0.0,0.0,,0.0,100.0,12.77,0.7502,85.65,0.0383,19.8
2015-05-07,7961.0,150495.25,0.13,0.96,0.04,0.17,0.0,150495.25,6061.0,7961.0,114577.53,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.91,0.0,0.0,,0.0,100.0,12.55,0.7533,85.87,0.0382,19.91
2015-05-08,7961.0,156466.69,0.13,0.96,0.04,0.17,0.0,156466.69,6061.0,7961.0,119123.8,,,,,,,,,,,,,,,,,,0.12,,,,100.0,2.9,0.0,0.0,,0.0,100.0,12.59,0.7528,85.83,0.0381,20.7
2015-05-11,7961.0,153140.82,0.13,0.94,0.04,0.17,0.0,153140.82,6061.0,7961.0,116591.7,,,,,,,,,,,,,,,,,,0.13,,,,100.0,2.89,0.0,0.0,,0.0,100.0,12.57,0.753,85.84,0.0379,20.26
2015-05-12,11261.0,210633.33,0.19,1.29,0.05,0.23,0.0,210633.33,6061.0,11261.0,113369.03,,,,0.06,,,,,3300.0,,,,0.06,,,,,0.12,,,,100.0,2.87,0.0,0.0,,0.0,100.0,9.07,0.8149,89.81,0.0533,19.7
2015-05-13,8911.0,163293.04,0.15,0.98,0.04,0.18,0.0,163293.04,4311.0,8911.0,78998.57,,,,,,,,0.04,,1750.0,,,,,,,2350.0,0.08,0.05,,,100.0,2.01,0.0,0.0,,0.0,100.0,11.41,0.7732,87.17,0.0415,19.3
2015-05-14,8911.0,165915.88,0.15,0.97,0.04,0.18,0.0,165915.88,4311.0,8911.0,80267.46,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.98,0.0,0.0,,0.0,100.0,11.48,0.7719,87.09,0.0408,19.61
2015-05-15,8911.0,164900.59,0.15,0.96,0.04,0.18,0.0,164900.59,4311.0,8911.0,79776.28,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.95,0.0,0.0,,0.0,100.0,11.51,0.7713,87.06,0.0402,19.49
2015-05-18,8911.0,167523.43,0.15,0.98,0.04,0.18,0.0,167523.43,4311.0,8911.0,81045.17,,,,,,,,,,,,,,,,,,0.08,,,,100.0,1.94,0.0,0.0,,0.0,100.0,11.37,0.7733,87.19,0.0401,19.8
2015-05-19,7911.0,152554.57,0.13,0.87,0.04,0.16,0.0,152554.57,4311.0,7911.0,83132.7,,,,,,,,,,,,,,,,,1000.0,0.09,0.02,,,100.0,1.94,0.0,0.0,,0.0,100.0,1.63,0.968,98.37,0.0357,20.31
2015-05-20,7911.0,153831.49,0.13,0.78,0.04,0.17,0.0,153831.49,4311.0,7911.0,83828.54,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.94,0.0,0.0,,0.0,100.0,1.61,0.9682,98.39,0.0356,20.48
2015-05-21,7911.0,154732.85,0.13,0.78,0.04,0.17,0.0,154732.85,4311.0,7911.0,84319.72,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.93,0.0,0.0,,0.0,100.0,1.61,0.9683,98.39,0.0354,20.6
2015-05-22,7911.0,153981.72,0.13,0.81,0.04,0.17,0.0,153981.72,4311.0,7911.0,83910.4,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.92,0.0,0.0,,0.0,100.0,1.63,0.968,98.37,0.0352,20.5
2015-05-25,7911.0,152103.89,0.13,0.82,0.04,0.17,0.0,152103.89,4311.0,7911.0,82887.1,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.91,0.0,0.0,,0.0,100.0,1.63,0.968,98.37,0.035,20.25
2015-05-26,7911.0,153531.04,0.13,0.85,0.04,0.17,0.0,153531.04,4311.0,7911.0,83664.81,,,,,,,,,,,,,,,,,,0.09,,,,100.0,1.89,0.0,0.0,,0.0,100.0,1.62,0.9681,98.38,0.0347,20.44
2015-05-27,12911.0,253386.97,0.22,1.39,0.06,0.27,0.0,253386.97,9311.0,12911.0,182734.57,,,4686.0,0.11,,,,,5000.0,,,,0.11,4686.0,,314.0,,0.19,,,,100.0,4.08,0.0,0.0,,0.0,100.0,0.98,0.9806,99.02,0.0566,20.67
2015-05-28,9249.0,181078.69,0.15,0.98,0.04,0.2,0.0,181078.69,8849.0,9249.0,173247.42,,,,,,,,0.01,,462.0,,,,,,,3662.0,0.18,0.07,,,100.0,3.87,0.0,0.0,,0.0,100.0,1.36,0.9732,98.64,0.0405,20.62
2015-05-29,9249.0,180815.24,0.16,0.98,0.04,0.2,0.0,180815.24,8849.0,9249.0,172995.36,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.81,0.0,0.0,,0.0,100.0,1.36,0.9733,98.64,0.0399,20.59
2015-06-01,9249.0,179673.62,0.16,0.99,0.04,0.2,0.0,179673.62,8849.0,9249.0,171903.11,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.88,0.0,0.0,,0.0,100.0,1.36,0.9732,98.64,0.0406,20.46
2015-06-02,9246.0,179176.4,0.16,0.99,0.04,0.2,0.0,179176.4,8846.0,9246.0,171424.88,,,,,,,,0.01,,3.0,,,,,,,3.0,0.18,0.0,,,100.0,3.79,0.0,0.0,,0.0,100.0,1.34,0.9735,98.66,0.0396,20.41
2015-06-03,9246.0,182161.21,0.16,0.98,0.04,0.19,0.0,182161.21,8846.0,9246.0,174280.56,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.79,0.0,0.0,,0.0,100.0,1.36,0.9732,98.64,0.0396,20.75
2015-06-04,9246.0,180844.38,0.16,0.96,0.04,0.2,0.0,180844.38,8846.0,9246.0,173020.7,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.8,0.0,0.0,,0.0,100.0,1.38,0.9729,98.62,0.0397,20.6
2015-06-05,9251.0,180063.82,0.16,0.98,0.04,0.2,0.0,180063.82,8846.0,9251.0,172180.8,,,,0.0,,,,,5.0,,,,0.0,,,,,0.18,,,,100.0,3.68,0.0,0.0,,0.0,100.0,1.38,0.9729,98.62,0.0385,20.5
2015-06-08,9251.0,177780.08,0.16,0.95,0.04,0.19,0.0,177780.08,8846.0,9251.0,169997.04,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.68,0.0,0.0,,0.0,100.0,1.36,0.9731,98.64,0.0385,20.24
2015-06-09,9251.0,177780.08,0.16,0.95,0.04,0.19,0.0,177780.08,8846.0,9251.0,169997.04,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.68,0.0,0.0,,0.0,100.0,1.36,0.9732,98.64,0.0385,20.24
2015-06-10,9002.0,173080.42,0.15,0.94,0.04,0.19,0.0,173080.42,8597.0,9002.0,165293.54,,,,,,,,0.01,,249.0,,,,,,,249.0,0.17,0.01,,,100.0,3.57,0.0,0.0,,0.0,100.0,1.4,0.9724,98.6,0.0374,20.25
2015-06-11,9002.0,175217.22,0.15,0.99,0.04,0.19,0.0,175217.22,8597.0,9002.0,167334.2,,,,,,,,,,,,,,,,,,0.17,,,,100.0,3.56,0.0,0.0,,0.0,100.0,1.41,0.9723,98.59,0.0373,20.5
2015-06-12,9002.0,174362.5,0.15,1.01,0.04,0.19,0.0,174362.5,8597.0,9002.0,166517.93,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.56,0.0,0.0,,0.0,100.0,1.42,0.9721,98.59,0.0373,20.4
2015-06-15,9002.0,171370.99,0.15,0.97,0.04,0.19,0.0,171370.99,8597.0,9002.0,163661.01,,,,,,,,,,,,,,,,,,0.18,,,,100.0,3.56,0.0,0.0,,0.0,100.0,1.39,0.9725,98.61,0.0373,20.05
2015-06-16,9002.0,170943.63,0.15,0.96,0.04,0.19,0.0,170943.63,8597.0,9002.0,163252.87,,,,,,,,,,,,,,,,,,0.17,,,,100.0,3.57,0.0,0.0,,0.0,100.0,1.39,0.9726,98.61,0.0374,20.0
2015-06-17,9202.0,174654.16,0.15,1.14,0.04,0.19,0.0,174654.16,8597.0,9202.0,163171.25,,,,0.0,,,,,200.0,,,,0.0,,,,,0.17,,,,100.0,3.57,0.0,0.0,,0.0,100.0,1.36,0.9731,98.64,0.0382,19.99
