,MILL FP Equity_PX_LAST
2025-03-31,15.519
2025-04-01,15.323
2025-04-02,15.445
2025-04-03,15.003
2025-04-04,14.242
2025-04-07,13.743
2025-04-08,14.246
2025-04-09,13.834
2025-04-10,14.311
2025-04-11,13.944
2025-04-14,14.292
2025-04-15,14.695
2025-04-16,14.361
2025-04-17,14.362
2025-04-22,14.381
2025-04-23,14.743
2025-04-24,14.941
2025-04-25,14.781
2025-04-28,14.804
2025-04-29,14.857
2025-04-30,14.881
2025-05-02,15.07
2025-05-05,15.535
2025-05-06,15.134
2025-05-07,15.269
2025-05-08,15.518
2025-05-09,15.456
2025-05-12,15.843
2025-05-13,16.07
2025-05-14,15.795
2025-05-15,15.707
2025-05-16,16.037
2025-05-19,15.974
2025-05-20,16.031
2025-05-21,15.882
2025-05-22,15.748
2025-05-23,15.736
2025-05-26,15.672
2025-05-27,15.804
2025-05-28,15.789
2025-05-29,15.724
2025-05-30,15.837
2025-06-02,15.596
2025-06-03,15.55
2025-06-04,15.611
2025-06-05,15.818
2025-06-06,15.787
2025-06-09,15.818
2025-06-10,16.013
2025-06-11,15.801
2025-06-12,15.769
2025-06-13,15.616
2025-06-16,15.499
2025-06-17,15.498
2025-06-18,15.458
2025-06-19,15.313
2025-06-20,15.342
2025-06-23,15.517
2025-06-24,15.357
2025-06-25,15.304
2025-06-26,15.444
2025-06-27,15.529
2025-06-30,15.368
2025-07-01,15.493
2025-07-02,15.626
2025-07-03,15.496
2025-07-04,15.586
2025-07-07,15.668
2025-07-08,15.661
2025-07-09,15.63
2025-07-10,15.708
2025-07-11,15.565
2025-07-14,15.569
2025-07-15,15.67
2025-07-16,15.543
2025-07-17,15.796
2025-07-18,15.806
2025-07-21,15.797
2025-07-22,15.949
2025-07-23,15.91
2025-07-24,15.861
2025-07-25,15.821
2025-07-28,15.867
2025-07-29,15.855
2025-07-30,15.855
2025-07-31,15.771
2025-08-01,15.358
2025-08-04,15.509
2025-08-05,15.317
2025-08-06,15.456
2025-08-07,15.512
2025-08-08,15.438
2025-08-11,15.491
2025-08-12,15.492
2025-08-13,15.62
2025-08-14,15.607
2025-08-15,15.602
2025-08-18,15.732
2025-08-19,15.742
2025-08-20,15.716
2025-08-21,15.683
2025-08-22,15.848
2025-08-25,15.852
2025-08-26,15.778
2025-08-27,15.778
2025-08-28,15.72
2025-08-29,15.665
