,PINR FP Equity_DX_SI_QTY,PINR FP Equity_DX_SHORT_INTEREST_VALUE,PINR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PINR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PINR FP Equity_DX_SI_MV,PINR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PINR FP Equity_DX_SUPPLY_SI_QTY,PINR FP Equity_DX_BROKER_SI_QTY,PINR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PINR FP Equity_DX_SUPPLY_SI_QTY_INC_x,PINR FP Equity_DX_BROKER_SI_MV_INC_x,PINR FP Equity_DX_BROKER_SI_QTY_ADD,PINR FP Equity_DX_SUPPLY_SI_MV_DEC,PINR FP Equity_DX_BROKER_SI_QTY_INC,PINR FP Equity_DX_SUPPLY_SI_QTY_DEC,PINR FP Equity_DX_BROKER_SI_MV_INC_y,PINR FP Equity_DX_SUPPLY_SI_QTY_INC_y,PINR FP Equity_DX_BROKER_SI_MV_ADD,PINR FP Equity_DX_SUPPLY_SI_QTY_ADD,PINR FP Equity_DX_BROKER_SI_QTY_DEC,PINR FP Equity_DX_SUPPLY_SI_MV,PINR FP Equity_DX_BROKER_SI_MV_DEC,PINR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PINR FP Equity_DX_UTILIZATION_QUANTITY,PINR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PINR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PINR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PINR FP Equity_DX_ACTIVE_UTILIZATION_MV,PINR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PINR FP Equity_DX_BROKER_SI_CON_RATIO,PINR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PINR FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-10-22,184.0,5243.08,0.01,0.01,0.01,5243.08,184.0,184.0,5243.08,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-23,184.0,5231.86,0.01,0.01,0.01,5231.86,184.0,184.0,5231.86,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-24,184.0,5204.26,0.01,0.01,0.01,5204.26,184.0,184.0,5204.26,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-25,184.0,5144.64,0.01,0.01,0.01,5144.64,184.0,184.0,5144.64,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-28,184.0,5168.38,0.01,0.01,0.01,5168.38,184.0,184.0,5168.38,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-29,184.0,5187.51,0.01,0.01,0.01,5187.51,184.0,184.0,5187.51,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-30,184.0,5143.72,0.01,0.01,0.01,5143.72,184.0,184.0,5143.72,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-10-31,184.0,5113.73,0.01,0.01,0.01,5113.73,184.0,184.0,5113.73,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-01,184.0,5129.74,0.01,0.01,0.01,5129.74,184.0,184.0,5129.74,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-04,184.0,5062.39,0.01,0.01,0.01,5062.39,184.0,184.0,5062.39,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-05,184.0,5079.69,0.01,0.01,0.01,5079.69,184.0,184.0,5079.69,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-06,184.0,5198.74,0.01,0.01,0.01,5198.74,184.0,184.0,5198.74,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-07,184.0,5146.48,0.01,0.01,0.01,5146.48,184.0,184.0,5146.48,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-08,184.0,5119.98,0.01,0.01,0.01,5119.98,184.0,184.0,5119.98,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-11,184.0,5183.65,0.01,0.01,0.01,5183.65,184.0,184.0,5183.65,,,,,,,,,,,,0.01,,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-12,184.0,5122.74,0.01,0.01,0.01,3006.83,184.0,108.0,5122.74,,,,,,,,,,,76.0,0.01,0.0,100.0,90.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.902
2024-11-13,108.0,2980.37,0.0,0.0,0.0,2980.37,108.0,108.0,2980.37,,,,0.0,,76.0,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-14,108.0,2991.49,0.0,0.0,0.0,2991.49,108.0,108.0,2991.49,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-15,108.0,2976.16,0.0,0.0,0.0,2976.16,108.0,108.0,2976.16,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-18,108.0,2979.94,0.0,0.0,0.0,2979.94,108.0,108.0,2979.94,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-19,108.0,2992.03,0.01,0.0,0.0,2992.03,108.0,108.0,2992.03,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-20,108.0,3011.26,0.01,0.0,0.0,3011.26,108.0,108.0,3011.26,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-21,108.0,2991.17,0.01,0.0,0.0,2991.17,108.0,108.0,2991.17,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-22,108.0,3074.11,0.01,0.0,0.0,3074.11,108.0,108.0,3074.11,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-25,108.0,3103.49,0.0,0.0,0.0,3103.49,108.0,108.0,3103.49,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-26,108.0,3096.25,0.0,0.0,0.0,3096.25,108.0,108.0,3096.25,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-27,108.0,3077.24,0.0,0.0,0.0,3077.24,108.0,108.0,3077.24,,,,,,,,,,,,0.0,,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-28,108.0,3063.53,0.0,0.0,0.0,0.0,108.0,0.0,3063.53,,,,,,,,,,,108.0,0.0,0.0,100.0,52.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.5294
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,108.0,,,,,,0.0,,0.0,0.0,204.0,5842.76,0.01,0.0,,0.0,,0.0
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8741.82,0.01,0.0,,0.0,,0.0
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8771.92,0.01,0.0,,0.0,,0.0
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8781.04,0.01,0.0,,0.0,,0.0
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8858.26,0.01,0.0,,0.0,,0.0
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8841.23,0.01,0.0,,0.0,,0.0
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8827.86,0.01,0.0,,0.0,,0.0
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8869.5,0.01,0.0,,0.0,,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8939.12,0.01,0.0,,0.0,,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8854.91,0.01,0.0,,0.0,,0.0
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8919.06,0.01,0.0,,0.0,,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8891.39,0.01,0.0,,0.0,,0.0
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8791.68,0.01,0.0,,0.0,,0.0
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8758.24,0.01,0.0,,0.0,,0.0
2024-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8734.83,0.01,0.0,,0.0,,0.0
2024-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8608.67,0.01,0.0,,0.0,,0.0
2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8578.88,0.01,0.0,,0.0,,0.0
2024-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8594.38,0.01,0.0,,0.0,,0.0
2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8594.38,0.01,0.0,,0.0,,0.0
2024-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8594.38,0.01,0.0,,0.0,,0.0
2024-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8524.16,0.01,0.0,,0.0,,0.0
2024-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8461.84,0.01,0.0,,0.0,,0.0
2024-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8505.62,0.01,0.0,,0.0,,0.0
2025-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8505.62,0.01,0.0,,0.0,,0.0
2025-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8777.7,0.01,0.0,,0.0,,0.0
2025-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8715.68,0.01,0.0,,0.0,,0.0
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8501.06,0.01,0.0,,0.0,,0.0
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8498.02,0.01,0.0,,0.0,,0.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8484.94,0.01,0.0,,0.0,,0.0
2025-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8464.58,0.01,0.0,,0.0,,0.0
2025-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8347.54,0.01,0.0,,0.0,,0.0
2025-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8210.74,0.01,0.0,,0.0,,0.0
2025-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8225.02,0.01,0.0,,0.0,,0.0
2025-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8314.4,0.01,0.0,,0.0,,0.0
2025-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8257.55,0.01,0.0,,0.0,,0.0
2025-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8278.22,0.01,0.0,,0.0,,0.0
2025-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8276.1,0.01,0.0,,0.0,,0.0
2025-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8101.6,0.01,0.0,,0.0,,0.0
2025-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8059.34,0.01,0.0,,0.0,,0.0
2025-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8126.83,0.01,0.0,,0.0,,0.0
2025-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7995.5,0.01,0.0,,0.0,,0.0
2025-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7863.87,0.01,0.0,,0.0,,0.0
2025-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7941.39,0.01,0.0,,0.0,,0.0
2025-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8005.54,0.01,0.0,,0.0,,0.0
2025-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8107.68,0.01,0.0,,0.0,,0.0
2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8171.52,0.01,0.0,,0.0,,0.0
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8202.83,0.01,0.0,,0.0,,0.0
2025-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8246.61,0.01,0.0,,0.0,,0.0
2025-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8183.07,0.01,0.0,,0.0,,0.0
2025-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8147.2,0.01,0.0,,0.0,,0.0
2025-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8116.5,0.01,0.0,,0.0,,0.0
2025-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8117.71,0.01,0.0,,0.0,,0.0
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,8011.62,0.01,0.0,,0.0,,0.0
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7938.66,0.01,0.0,,0.0,,0.0
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7963.28,0.01,0.0,,0.0,,0.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7807.94,0.01,0.0,,0.0,,0.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7822.53,0.01,0.0,,0.0,,0.0
2025-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7817.97,0.01,0.0,,0.0,,0.0
2025-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,504.0,13057.63,0.01,0.0,,0.0,,0.0
2025-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,504.0,13066.7,0.01,0.0,,0.0,,0.0
2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,504.0,12970.44,0.01,0.0,,0.0,,0.0
2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7755.34,0.01,0.0,,0.0,,0.0
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7676.91,0.01,0.0,,0.0,,0.0
2025-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7707.31,0.01,0.0,,0.0,,0.0
2025-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7689.98,0.01,0.0,,0.0,,0.0
2025-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7527.95,0.01,0.0,,0.0,,0.0
2025-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7513.97,0.01,0.0,,0.0,,0.0
2025-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,504.0,12274.92,0.01,0.0,,0.0,,0.0
2025-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7406.66,0.01,0.0,,0.0,,0.0
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7454.69,0.01,0.0,,0.0,,0.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7392.06,0.01,0.0,,0.0,,0.0
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,404.0,9738.02,0.01,0.0,,0.0,,0.0
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,504.0,12126.24,0.01,0.0,,0.0,,0.0
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,504.0,12139.34,0.01,0.0,,0.0,,0.0
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,704.0,16949.5,0.02,0.0,,0.0,,0.0
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,704.0,17048.77,0.02,0.0,,0.0,,0.0
2025-03-17,6600.0,161033.4,0.32,0.19,0.16,80516.7,3300.0,3300.0,80516.7,,,3300.0,,,,,,0.08,3300.0,,0.08,,100.0,91.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.8313
2025-03-18,6600.0,163224.6,0.32,0.19,0.16,81612.3,3300.0,3300.0,81612.3,,,,,,,,,,,,0.08,,100.0,91.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.8313
2025-03-19,6600.0,165699.6,0.31,0.19,0.17,82849.8,3300.0,3300.0,82849.8,,,,,,,,,,,,0.08,,100.0,91.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.8313
2025-03-20,6600.0,167263.8,0.31,0.19,0.17,83631.9,3300.0,3300.0,83631.9,,,,,,,,,,,,0.08,,100.0,91.56,0.0,0.0,0.0,100.0,,1.0,100.0,1.8313
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.08,,3300.0,,,,,3300.0,0.0,0.08,0.0,0.0,404.0,10443.4,0.01,0.0,,0.0,,0.0
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,904.0,23784.24,0.02,0.0,,0.0,,0.0
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,304.0,7970.88,0.01,0.0,,0.0,,0.0
2025-03-26,6400.0,166188.8,0.26,0.18,0.17,83094.4,3200.0,3200.0,83094.4,,,3200.0,,,,,,0.08,3200.0,,0.08,,100.0,91.32,0.0,0.0,0.0,100.0,49.76,0.5,50.24,1.8265
2025-03-27,6400.0,167520.0,0.26,0.18,0.17,83760.0,3200.0,3200.0,83760.0,,,,,,,,,,,,0.08,,100.0,91.32,0.0,0.0,0.0,100.0,49.8,0.5,50.2,1.8265
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.08,,3200.0,,,,,3200.0,0.0,0.08,0.0,0.0,3504.0,90438.24,0.1,0.0,,0.0,,0.0
2025-03-31,1833.0,47269.4,0.08,0.05,0.05,47269.4,1833.0,1833.0,47269.4,,,1833.0,,,,,,0.05,1833.0,,0.05,,100.0,52.31,0.0,0.0,0.0,100.0,,1.0,100.0,0.5231
2025-04-01,2618.0,67363.76,0.11,0.07,0.07,60596.51,2096.0,2355.0,53932.18,263.0,,522.0,,,,,263.0,0.01,,,0.05,,100.0,87.33,0.0,0.0,0.0,100.0,29.95,0.5804,70.05,1.0908
2025-04-02,2877.0,74304.28,0.12,0.08,0.07,60822.59,2355.0,2355.0,60822.59,,,,,,,,,,259.0,,0.06,,100.0,98.13,0.0,0.0,0.0,100.0,36.31,0.5375,63.69,1.1988
2025-04-03,2877.0,72520.54,0.12,0.08,0.07,59362.49,2355.0,2355.0,59362.49,,,,,,,,,,,,0.06,,100.0,98.13,0.0,0.0,0.0,100.0,35.91,0.5397,64.09,1.1988
2025-04-04,1044.0,25332.66,0.04,0.03,0.03,12666.33,522.0,522.0,12666.33,,,,0.05,,1833.0,,,,,1833.0,0.01,0.05,100.0,27.42,0.0,0.0,0.0,100.0,,1.0,100.0,0.5483
2025-04-07,1044.0,25036.16,0.04,0.03,0.02,12518.08,522.0,522.0,12518.08,,,,,,,,,,,,0.01,,100.0,64.93,0.0,0.0,0.0,100.0,,1.0,100.0,1.2985
2025-04-08,1044.0,25798.28,0.04,0.03,0.03,12899.14,522.0,522.0,12899.14,,,,,,,,,,,,0.01,,100.0,92.06,0.0,0.0,0.0,100.0,,1.0,100.0,1.8413
2025-04-09,1044.0,24829.45,0.04,0.03,0.02,12414.73,522.0,522.0,12414.73,,,,,,,,,,,,0.01,,100.0,92.06,0.0,0.0,0.0,100.0,,1.0,100.0,1.8413
2025-04-10,785.0,19150.86,0.03,0.02,0.02,12734.71,522.0,522.0,12734.71,,,,,,,,,,,,0.01,,100.0,92.06,0.0,0.0,0.0,100.0,,1.0,100.0,1.3845
2025-04-11,1044.0,25012.15,0.04,0.03,0.03,12506.08,522.0,522.0,12506.08,,,,,,,,,,,,0.01,,100.0,92.06,0.0,0.0,0.0,100.0,,1.0,100.0,1.8413
2025-04-14,1044.0,25452.72,0.04,0.03,0.03,12726.36,522.0,522.0,12726.36,,,,,,,,,,,,0.01,,100.0,92.06,0.0,0.0,0.0,100.0,,1.0,100.0,1.8413
2025-04-15,785.0,19429.54,0.03,0.02,0.02,6509.51,522.0,263.0,12920.02,,,,,,,,,,,259.0,0.01,0.01,100.0,92.06,0.0,0.0,0.0,100.0,,1.0,100.0,1.3845
2025-04-16,526.0,13005.88,0.02,0.01,0.01,6502.94,263.0,263.0,6502.94,,,,0.01,,259.0,,,,,,0.01,,100.0,46.38,0.0,0.0,0.0,100.0,,1.0,100.0,0.9277
2025-04-17,526.0,13234.16,0.02,0.01,0.01,6617.08,263.0,263.0,6617.08,,,,,,,,,,,,0.01,,100.0,46.38,0.0,0.0,0.0,100.0,,1.0,100.0,0.9277
2025-04-18,526.0,13234.16,0.02,0.01,0.01,6617.08,263.0,263.0,6617.08,,,,,,,,,,,,0.01,,100.0,46.38,0.0,0.0,0.0,100.0,,1.0,100.0,0.9277
2025-04-21,263.0,6617.08,0.01,0.01,0.01,0.0,263.0,0.0,6617.08,,,,,,,,,,,263.0,0.01,0.01,100.0,43.54,0.0,0.0,0.0,100.0,,1.0,100.0,0.4354
2025-04-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,,263.0,,,,,,0.0,,0.0,0.0,304.0,7748.96,0.01,0.0,,0.0,,0.0
2025-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,404.0,10369.87,0.01,0.0,,0.0,,0.0
2025-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,404.0,10410.27,0.01,0.0,,0.0,,0.0
