,ELIS FP Equity_DX_SI_QTY,ELIS FP Equity_DX_SHORT_INTEREST_VALUE,ELIS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ELIS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ELIS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ELIS FP Equity_DX_SI_MV,ELIS FP Equity_DX_DSS,ELIS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ELIS FP Equity_DX_SUPPLY_SI_QTY,ELIS FP Equity_DX_BROKER_SI_QTY,ELIS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ELIS FP Equity_DX_BROKER_SI_MV_NEW_x,ELIS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ELIS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ELIS FP Equity_DX_BROKER_SI_MV_INC_x,ELIS FP Equity_DX_SUPPLY_SI_MV_NEW,ELIS FP Equity_DX_BROKER_SI_QTY_ADD,ELIS FP Equity_DX_BROKER_SI_QTY_NEW,ELIS FP Equity_DX_SUPPLY_SI_MV_DEC,ELIS FP Equity_DX_BROKER_SI_QTY_INC,ELIS FP Equity_DX_SUPPLY_SI_QTY_DEC,ELIS FP Equity_DX_BROKER_SI_MV_NEW_y,ELIS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ELIS FP Equity_DX_BROKER_SI_MV_INC_y,ELIS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ELIS FP Equity_DX_BROKER_SI_MV_ADD,ELIS FP Equity_DX_SUPPLY_SI_QTY_ADD,ELIS FP Equity_DX_BROKER_SI_QTY_DEC,ELIS FP Equity_DX_SUPPLY_SI_MV,ELIS FP Equity_DX_BROKER_SI_MV_DEC,ELIS FP Equity_DX_SUPPLY_SI_MV_RMV,ELIS FP Equity_DX_BROKER_SI_MV_RMV,ELIS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ELIS FP Equity_DX_UTILIZATION_QUANTITY,ELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ELIS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ELIS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ELIS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ELIS FP Equity_DX_ACTIVE_UTILIZATION_MV,ELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ELIS FP Equity_DX_BROKER_SI_CON_RATIO,ELIS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ELIS FP Equity_DX_DEMAND_SUPPLY_RATIO,ELIS FP Equity_PX_LAST
2017-11-23,620040.0,13662581.4,0.35,1.75,0.28,14.21,0.0,13589557.41,169610.0,616726.0,3737356.35,,,,,,,,,,,,,,,,25908.0,,3.71,,,,0.86,0.86,19536132.0,430478668.62,,427.77,0.86,8.24,0.6792,81.61,0.0315,22.035
2017-11-24,786070.0,17226724.05,0.44,2.28,0.36,18.05,0.0,17154097.74,180242.0,782756.0,3950003.43,,,10632.0,3.85,,,,,166030.0,,,,3.85,10632.0,,,,3.96,,,,0.91,0.91,19688026.0,431463089.79,,432.19,0.91,16.38,0.6032,75.66,0.0396,21.915
2017-11-27,772396.0,17139467.24,0.43,2.27,0.35,17.73,0.0,17065929.58,180242.0,769082.0,3999569.98,,,,,,,,,,,,,,,,,13674.0,3.95,0.37,,,0.92,0.92,19469914.0,432037391.66,,427.87,0.92,16.88,0.5943,74.94,0.0393,22.19
2017-11-28,772396.0,17309394.36,0.43,2.21,0.35,17.97,0.0,17235127.62,181691.0,769082.0,4071695.31,,,1449.0,,,,,,,,,,,1449.0,,,,4.04,,,,0.92,0.92,19470276.0,436328885.16,,433.69,0.92,16.84,0.5949,75.0,0.0393,22.41
2017-11-29,841830.0,18823318.8,0.47,2.45,0.38,19.57,0.0,18749217.76,251250.0,838516.0,5617950.0,,,38419.0,1.49,,,,0.03,71008.0,1449.0,,,1.49,38419.0,,32589.0,1574.0,5.63,0.0,,,1.27,1.27,19479536.0,435562424.96,,436.72,1.27,23.1,0.5386,69.41,0.0427,22.36
2017-11-30,838596.0,18382024.32,0.47,2.44,0.38,19.32,0.0,18309381.44,251250.0,835282.0,5507400.0,,,,,,,,,,,,,,,,,3234.0,5.61,0.14,,,1.27,1.27,19507894.0,427613036.48,,434.35,1.28,22.99,0.54,69.55,0.0424,21.92
2017-12-01,811284.0,17730611.82,0.45,2.32,0.37,18.43,0.0,17658184.35,284796.0,807970.0,6224216.58,,,33546.0,0.72,,,,,33546.0,,,,0.72,33546.0,,,60858.0,6.25,1.61,,,1.44,1.44,19483900.0,425820634.5,,428.0,1.44,28.01,0.5707,70.15,0.041,21.855
2017-12-04,732545.0,16174593.6,0.41,2.08,0.33,16.63,0.0,16101420.48,284796.0,729231.0,6288295.68,,,,,,,,,,,,,,,,,78739.0,6.22,1.84,,,1.45,1.45,19315146.0,426478423.68,,422.67,1.45,31.3,0.5425,66.66,0.0374,22.08
2017-12-05,740471.0,16493991.53,0.41,2.1,0.34,16.92,0.0,16172986.5,295893.0,726060.0,6591016.58,,,11097.0,,,,,,,,,,,11097.0,,,3171.0,6.54,0.0,,,1.51,1.51,19349548.0,431011181.7,,427.91,1.5,30.79,0.5275,65.74,0.0377,22.275
2017-12-06,723086.0,16059740.06,0.4,2.06,0.33,16.68,0.0,15739671.75,288638.0,708675.0,6410649.98,,,3945.0,,,,,0.25,,11200.0,,,,3945.0,,,17385.0,6.43,0.34,,,1.46,1.46,19454000.0,432073340.0,,433.66,1.46,30.68,0.5471,67.28,0.0366,22.21
2017-12-07,578054.0,12598686.93,0.32,1.67,0.26,13.3,0.0,12284599.19,219665.0,563643.0,4787598.68,,,,,,,,1.55,,68973.0,,,,,,,145032.0,4.88,3.39,,,1.11,1.11,19642996.0,428119097.82,,435.48,1.11,27.15,0.5681,70.27,0.0291,21.795
2017-12-08,626694.0,13658795.73,0.35,1.81,0.29,14.11,0.0,13344707.99,373942.0,612283.0,8150065.89,,,154277.0,3.35,,,,,154277.0,,,,3.35,154277.0,,,105637.0,8.15,2.53,,,1.85,1.85,19864366.0,432943856.97,,433.51,1.85,48.29,0.477,49.32,0.031,21.795
2017-12-11,628538.0,13673844.19,0.35,1.84,0.29,13.96,0.0,13360332.89,406466.0,614127.0,8842667.83,,,91929.0,2.0,,12646.0,,1.3,91929.0,59405.0,,,2.0,91929.0,0.28,,102731.0,8.86,2.42,,,2.02,2.02,19681386.0,428168552.43,,428.59,2.03,31.49,0.5112,64.13,0.0313,21.755
2017-12-12,628538.0,13617275.77,0.35,1.86,0.29,13.92,0.0,13305061.46,388953.0,614127.0,8426666.74,,,,,,,,0.38,,17513.0,,,,,,,,8.46,,,,1.93,1.93,19746768.0,427813728.72,,430.24,1.93,31.6,0.5105,64.01,0.0312,21.665
2017-12-13,478597.0,10373589.98,0.27,1.44,0.22,10.63,0.0,10061231.55,388953.0,464186.0,8430556.28,,,,0.09,,,,,4338.0,,,,0.09,,,,154279.0,8.43,3.35,,,1.93,1.93,19787628.0,428896836.9,,427.29,1.93,41.15,0.4443,52.25,0.0237,21.675
2017-12-14,654021.0,14149744.34,0.36,1.96,0.3,14.49,0.0,13709299.01,394900.0,633663.0,8543661.5,,,5947.0,3.73,,,,,169477.0,,,,3.73,5947.0,,,,8.56,,,,1.94,1.94,19908964.0,430730436.14,,430.97,1.95,32.63,0.4879,61.64,0.0322,21.635
2017-12-15,658647.0,14526459.59,0.37,1.99,0.3,14.72,0.0,14077463.9,405686.0,638289.0,8947404.73,,,10786.0,0.38,,,,,10786.0,,,,0.38,10786.0,,,6160.0,8.78,0.13,,,1.99,1.99,20018010.0,441497210.55,,434.68,1.98,32.01,0.5037,63.26,0.0322,22.055
2017-12-18,700421.0,15868037.76,0.39,1.91,0.32,16.01,0.0,15406827.27,440793.0,680063.0,9986165.41,,,35107.0,1.18,,,,,41774.0,,,,1.18,35107.0,,,,9.72,,,,2.15,2.15,20097976.0,455319646.28,,444.6,2.14,30.05,0.5088,64.59,0.0341,22.655
2017-12-19,832479.0,18780726.24,0.46,2.21,0.38,19.08,0.0,18321449.76,549017.0,812121.0,12385823.52,,,108224.0,2.94,,,,,132058.0,,,,2.94,108224.0,,,,12.44,,,,2.63,2.63,20354080.0,459188044.8,,460.42,2.63,25.86,0.5147,66.7,0.0398,22.56
2017-12-20,923362.0,20992635.07,0.51,2.43,0.42,21.2,0.0,20529795.94,626710.0,903004.0,14248251.85,,,77693.0,2.03,,5000.0,,,85883.0,,,,2.03,77693.0,0.11,,,14.14,,,,2.98,2.98,20428842.0,464449722.87,,460.48,2.98,23.17,0.5296,68.75,0.0439,22.735
2017-12-21,1043956.0,23509889.12,0.58,2.71,0.48,23.9,0.0,23051426.96,747304.0,1023598.0,16829286.08,,,118748.0,2.65,,,,,120594.0,,,,2.65,118748.0,,1846.0,,16.99,,,,3.53,3.53,20435676.0,460211423.52,,464.2,3.53,20.74,0.5623,71.87,0.0493,22.52
2017-12-22,1123994.0,25374164.55,0.63,2.93,0.51,25.62,0.0,24914582.7,889986.0,1103636.0,20091433.95,,,102682.0,2.4,,,,,107202.0,,,,2.4,102682.0,,40000.0,27164.0,20.04,0.62,,,4.18,4.18,20380748.0,460095386.1,,459.9,4.18,19.17,0.621,76.39,0.0528,22.575
2017-12-25,1123994.0,25374164.55,0.63,2.94,0.51,25.62,0.0,24914582.7,849986.0,1103636.0,19188433.95,,,,,,,,0.9,,40000.0,,,,,,,,19.19,,,,4.0,4.0,20396872.0,460459385.4,,460.74,4.0,19.16,0.6209,76.38,0.0529,
2017-12-26,1323994.0,29889164.55,0.74,3.46,0.6,30.22,0.0,29429582.7,889986.0,1303636.0,20091433.95,,,,0.96,,160000.0,,,40000.0,,,,0.96,,3.61,40000.0,,20.09,,,,4.18,4.18,20395298.0,460423852.35,,460.17,4.18,22.06,0.5919,73.65,0.0622,
2017-12-27,1314349.0,29908011.5,0.73,3.44,0.6,30.2,0.0,29444765.21,895591.0,1293991.0,20379173.2,,,5605.0,,,,,,,,,,,5605.0,,,9645.0,20.22,0.22,,,4.21,4.21,20364728.0,463399385.64,,459.87,4.21,22.09,0.6034,74.43,0.0618,22.755
2017-12-28,1208332.0,27604344.54,0.67,3.18,0.55,27.88,0.0,26680081.53,838005.0,1167874.0,19144224.23,,,,,,,,1.62,,77686.0,,,,,,20100.0,126117.0,19.06,2.79,,,3.94,3.94,20429720.0,466716953.4,,464.38,3.94,22.92,0.605,74.3,0.0568,22.845
2017-12-29,1238963.0,28514733.45,0.69,3.29,0.56,28.78,0.0,28354848.24,873426.0,1232016.0,20101899.39,,,68932.0,1.81,,,,0.76,72332.0,33511.0,,,1.81,68932.0,,,8190.0,19.94,0.19,,,4.09,4.09,20489222.0,471559444.33,,467.17,4.09,23.64,0.628,75.64,0.058,23.015
2018-01-01,1238963.0,28514733.45,0.69,3.29,0.56,28.8,0.0,28354848.24,873426.0,1232016.0,20101899.39,,,,,,,,,,,,,,,,,,20.08,,,,4.09,4.09,20499742.0,471801562.13,,469.4,4.1,23.64,0.628,75.64,0.058,
2018-01-02,1544793.0,35622926.58,0.86,4.11,0.7,35.97,1.0,31773128.76,1142656.0,1377846.0,26349647.36,,160000.0,,3.48,3.69,,,,145830.0,,,160000.0,3.48,,,109230.0,,26.27,,,,5.27,5.27,20549174.0,473863952.44,,472.39,5.27,21.25,0.5049,66.76,0.0712,23.06
2018-01-03,1458296.0,33540808.0,0.81,3.87,0.66,33.97,1.0,29424222.0,1238620.0,1279314.0,28488260.0,,,33082.0,1.21,,7539.0,,,53929.0,,,,1.21,33082.0,0.17,62882.0,160000.0,28.58,3.69,,,5.6,5.6,20884024.0,480332552.0,,481.8,5.6,21.01,0.506,67.0,0.0659,23.0
2018-01-04,1405492.0,32888512.8,0.78,3.75,0.64,33.18,1.0,32699394.0,1168191.0,1397410.0,27335669.4,,,79571.0,2.66,,20900.0,,3.69,97196.0,160000.0,,,2.66,79571.0,0.5,10000.0,,26.84,,,,5.28,5.28,20971704.0,490737873.6,,482.97,5.27,23.63,0.6111,74.51,0.0635,23.4
2018-01-05,1541584.0,36381382.4,0.86,4.06,0.7,36.75,1.0,36190647.2,1291908.0,1533502.0,30489028.8,,,123717.0,3.41,,,,,136092.0,,,,3.41,123717.0,,,,29.97,,,,5.83,5.83,20865402.0,492423487.2,,488.68,5.78,22.61,0.6241,75.69,0.0696,23.6
2018-01-08,1550076.0,36581793.6,0.86,4.07,0.71,37.04,1.0,36411000.4,1298145.0,1542839.0,30636222.0,,,,0.2,,1135.0,,,8202.0,,,,0.2,,0.03,6237.0,,30.69,,,,5.83,5.83,20968908.0,494866228.8,,495.78,5.83,22.75,0.6205,75.41,0.0696,23.6
2018-01-09,1604489.0,37898030.18,0.89,4.22,0.73,38.36,1.0,37727092.24,1355136.0,1597252.0,32008312.32,,,56991.0,1.39,,,,,56991.0,,,,1.39,56991.0,,,2578.0,32.02,0.06,,,6.06,6.06,20997042.0,495950132.04,,496.17,6.06,21.92,0.6326,76.45,0.0718,23.62
2018-01-10,1610248.0,37389958.56,0.9,4.23,0.73,38.01,1.0,37221915.42,1373186.0,1603011.0,31885378.92,,,,0.14,,,,,5759.0,,,,0.14,,,18050.0,,32.41,,,,6.11,6.11,21101642.0,489980127.24,,496.89,6.12,22.08,0.6255,75.93,0.0716,23.22
2018-01-11,1439502.0,33194916.12,0.8,3.72,0.66,33.51,1.0,33028030.9,1266586.0,1432265.0,29207473.16,,,,0.24,,,,2.51,18052.0,106600.0,,,0.24,,,,188798.0,29.37,4.73,,,5.61,5.61,21294202.0,491044298.12,,493.34,5.62,12.16,0.7478,85.6,0.0638,23.06
2018-01-12,1290036.0,29696628.72,0.72,3.45,0.59,29.77,0.0,29530032.98,1215485.0,1282799.0,27980464.7,,,,,,,,1.34,,51101.0,,,,,,,149466.0,27.91,3.72,,,5.39,5.39,21327892.0,490968073.84,,489.97,5.39,5.91,0.8523,92.12,0.0572,23.02
2018-01-15,1121157.0,25741764.72,0.62,3.0,0.51,25.81,0.0,25575603.2,945885.0,1113920.0,21717519.6,,,,,,,,6.14,,269600.0,,,,,,,168879.0,21.77,3.95,,,4.2,4.2,21597920.0,495888243.2,,495.33,4.21,6.81,0.8409,91.44,0.0497,22.96
2018-01-16,1049907.0,24147861.0,0.58,2.83,0.48,24.1,0.0,23981410.0,1010894.0,1042670.0,23250562.0,,,,,,,,1.7,,72383.0,,,,,,137392.0,71250.0,23.21,1.71,,,4.43,4.43,21784154.0,501035542.0,,500.41,4.43,0.96,0.963,98.12,0.0461,23.0
2018-01-17,1306164.0,30250758.24,0.73,3.64,0.6,30.29,0.0,29504149.32,1045894.0,1273927.0,24222905.04,,,,4.74,,25000.0,,,206257.0,,,,4.74,,0.57,35000.0,,24.06,,,,4.58,4.58,21803782.0,504975591.12,,502.68,4.57,15.03,0.6471,78.96,0.0572,23.16
2018-01-18,1306164.0,30250758.24,0.73,3.65,0.6,30.3,0.0,29504149.32,1045894.0,1273927.0,24222905.04,,,,,,,,,,,,,,,,,,24.22,,,,4.57,4.57,21827238.0,505518832.08,,505.54,4.57,15.03,0.647,78.96,0.0571,23.16
2018-01-19,1306164.0,30799347.12,0.73,3.66,0.6,30.24,0.0,30039198.66,1152372.0,1273927.0,27172931.76,,,,,,,,,,,,,,,,106478.0,,26.71,,,,5.03,5.03,21759730.0,513094433.4,,505.71,5.02,15.09,0.645,78.82,0.057,23.58
2018-01-22,1329601.0,31405175.62,0.74,3.72,0.61,31.29,0.0,30393247.58,1175809.0,1286759.0,27772608.58,,,17720.0,0.76,,,,,12832.0,,,,0.76,17720.0,,5717.0,,27.71,,,,5.12,5.12,21798648.0,514884065.76,,513.58,5.12,14.8,0.6506,79.23,0.0579,23.62
2018-01-23,1351236.0,32078342.64,0.75,3.81,0.62,31.89,0.0,30778910.0,1060052.0,1296500.0,25165634.48,,,21635.0,0.31,,,,3.24,9741.0,137392.0,,,0.31,21635.0,,,,25.03,,,,4.61,4.61,21936858.0,520781008.92,,517.81,4.61,14.65,0.6531,79.41,0.0588,23.74
2018-01-24,1320987.0,31096033.98,0.74,3.73,0.6,31.07,0.0,29807548.54,1073151.0,1266251.0,25261974.54,,,13099.0,,,,,,,,,,,13099.0,,,30249.0,25.44,0.89,,,4.75,4.75,21512144.0,506395869.76,,508.32,4.77,15.31,0.6731,80.56,0.0585,23.54
2018-01-25,1283039.0,29997451.82,0.71,3.65,0.58,30.04,0.0,29302224.14,1048151.0,1253303.0,24505770.38,,,,,,,,0.59,,25000.0,,,,,,,12948.0,24.67,0.45,,,4.62,4.62,21617384.0,505414437.92,,508.18,4.63,15.88,0.6957,81.87,0.0566,23.38
2018-01-26,1108844.0,25924772.72,0.62,3.15,0.51,25.89,0.0,25229545.04,1048151.0,1079108.0,24505770.38,,,,,,,,,,,,,,,,,174195.0,24.5,4.11,,,4.69,4.69,21285244.0,497649004.72,,498.53,4.68,2.18,0.907,95.19,0.0497,23.38
2018-01-29,1108844.0,25703003.92,0.62,3.18,0.51,25.88,0.0,25013723.44,945136.0,1079108.0,21908252.48,,,,,,,,2.4,,103015.0,,,,,,,,22.1,,,,4.19,4.19,21619272.0,501134724.96,,505.59,4.19,2.15,0.9079,95.24,0.0491,23.18
2018-01-30,1005829.0,22872551.46,0.56,2.91,0.46,23.34,0.0,22196354.82,964293.0,976093.0,21928022.82,,,19157.0,,,,,,,,,,,19157.0,,,103015.0,22.35,2.52,,,4.24,4.24,21765520.0,494947924.8,,502.4,4.26,2.39,0.8988,94.75,0.0443,22.74
2018-01-31,1243515.0,27979087.5,0.69,3.53,0.57,28.05,0.0,27310027.5,1075187.0,1213779.0,24191707.5,,,9456.0,4.05,,30000.0,,,207686.0,,,,4.05,9456.0,0.68,101438.0,,24.45,,,,4.72,4.72,21685716.0,487928610.0,,492.32,4.73,2.46,0.8698,93.19,0.0546,22.5
2018-02-01,1386783.0,30509226.0,0.77,4.36,0.63,30.55,0.0,29855034.0,1218455.0,1357047.0,26806010.0,,,59861.0,0.88,,73407.0,,,69861.0,,,,0.88,59861.0,1.65,83407.0,,27.39,,,,5.37,5.37,21478272.0,472521984.0,,480.91,5.39,5.52,0.7722,87.63,0.0611,22.0
2018-02-02,1333726.0,28435038.32,0.74,4.07,0.61,28.5,0.0,27801066.8,1179058.0,1303990.0,25137516.56,,,,,,,,0.88,,39397.0,,,,,,,53057.0,25.94,1.96,,,5.22,5.22,21400670.0,456262284.4,,468.65,5.24,5.8,0.7624,87.04,0.0591,21.32
2018-02-05,1328834.0,27799207.28,0.74,3.94,0.61,27.92,0.0,27177130.16,1210006.0,1299098.0,25313325.52,,,,0.7,,,,0.1,35141.0,4193.0,,,0.7,,,35141.0,40033.0,25.81,1.23,,,5.38,5.38,21282778.0,445235715.76,,453.31,5.39,8.47,0.7197,84.32,0.0591,20.92
2018-02-06,1466897.0,30276754.08,0.82,4.38,0.67,30.4,1.0,27144180.0,1332122.0,1315125.0,27494998.08,,,122116.0,0.29,,,,,16027.0,,,,0.29,122116.0,,,,27.88,,,,5.92,5.92,21180600.0,437167584.0,,442.66,5.92,8.75,0.7202,84.33,0.0652,20.64
2018-02-07,1500904.0,31068712.8,0.84,4.26,0.68,31.14,1.0,27223087.5,1366129.0,1315125.0,28278870.3,,,11274.0,,,,,,,,,,,11274.0,,22733.0,,28.24,,,,6.11,6.11,20994052.0,434576876.4,,434.47,6.1,8.42,0.7288,84.88,0.0671,20.7
2018-02-08,1713850.0,34893986.0,0.95,4.78,0.78,34.88,1.0,34288561.04,1586022.0,1684114.0,32291407.92,,,219893.0,7.04,,,,,369989.0,,,,7.04,219893.0,,,1000.0,32.85,0.02,,,7.23,7.23,20350540.0,414336994.4,,420.58,7.25,9.8,0.7284,84.73,0.0781,20.36
2018-02-09,1761012.0,35713323.36,0.98,4.79,0.8,35.8,1.0,35130557.28,1632184.0,1732276.0,33100691.52,,,,0.94,,1000.0,,0.14,47162.0,1539.0,,,0.94,,0.02,47701.0,,33.24,,,,7.5,7.5,20133108.0,408299430.24,,409.73,7.5,11.91,0.7004,82.79,0.0809,20.28
2018-02-12,1911242.0,38530638.72,1.06,5.12,0.87,38.58,1.0,36931507.2,1782414.0,1831920.0,35933466.24,,,59644.0,1.77,,,,,99644.0,,,,1.77,59644.0,,90586.0,,36.1,,,,8.24,8.24,19860552.0,400388728.32,,401.77,8.24,13.13,0.6473,79.29,0.0883,20.16
2018-02-13,2058403.0,42732446.28,1.15,5.48,0.94,42.53,1.0,42135886.92,1815161.0,2029667.0,37682742.36,,,72747.0,2.62,,115000.0,,0.81,82747.0,40000.0,,,2.62,72747.0,2.32,,,36.52,,,,8.37,8.37,19869076.0,412482017.76,,401.73,8.33,12.3,0.6221,77.68,0.0949,20.76
2018-02-14,1904192.0,40102283.52,1.06,4.95,0.87,39.92,1.0,39497103.36,1706798.0,1875456.0,35945165.88,,,,,,,,2.15,,108363.0,,,,,,,154211.0,35.35,2.71,,,7.96,7.96,19744564.0,415820517.84,,409.76,7.94,12.49,0.6067,76.6,0.0888,21.06
2018-02-15,2017917.0,42820198.74,1.12,5.2,0.92,42.73,1.0,42210420.82,1689896.0,1989181.0,35859593.12,,,39129.0,2.38,,18000.0,,1.21,95725.0,62050.0,,,2.38,39129.0,0.38,6019.0,,35.53,,,,7.4,7.4,21143612.0,448667446.64,,444.63,7.4,13.18,0.5884,75.3,0.0884,21.22
2018-02-16,1963937.0,42303202.98,1.09,5.07,0.9,42.22,1.0,41684229.54,1634074.0,1935201.0,35197953.96,,,49438.0,1.53,,,,2.39,46335.0,118387.0,,,1.53,49438.0,,13127.0,100315.0,34.72,2.1,,,7.09,7.09,21418578.0,461356170.12,,456.17,7.07,8.57,0.6338,78.87,0.0852,21.54
2018-02-19,1995690.0,43266559.2,1.11,5.12,0.91,42.98,1.0,42643562.72,1561811.0,1966954.0,33860062.48,,,,0.96,,,,1.52,41753.0,72263.0,,,0.96,,,,10000.0,33.67,0.21,,,6.88,6.88,21126068.0,458013154.24,,455.57,6.88,10.35,0.6149,77.46,0.088,21.68
2018-02-20,1889774.0,41045891.28,1.05,4.75,0.86,41.09,1.0,40421745.36,1581184.0,1861038.0,34343316.48,,,,0.45,,,,,19267.0,,,,0.45,,,19373.0,125183.0,34.32,2.41,,,6.89,6.89,21361374.0,463969043.28,,463.87,6.89,11.91,0.5852,75.25,0.0824,21.72
2018-02-21,1778554.0,38736906.12,0.99,4.39,0.81,38.69,1.0,38111036.04,1496126.0,1749818.0,32585624.28,,,,0.02,,,,1.92,606.0,88508.0,,,0.02,,,3450.0,111826.0,32.53,2.43,,,6.52,6.52,21461586.0,467433343.08,,467.06,6.51,11.72,0.5805,74.92,0.0775,21.78
2018-02-22,2124628.0,46189412.72,1.18,5.26,0.97,46.18,1.0,45564692.08,1585516.0,2095892.0,34469117.84,,,100439.0,0.66,,316000.0,,0.65,30074.0,29786.0,,,0.66,100439.0,6.86,18737.0,,34.51,,,,6.89,6.89,21412240.0,465502097.6,,466.04,6.89,15.06,0.4284,62.49,0.0924,21.74
2018-02-23,2087766.0,45012234.96,1.16,5.09,0.95,45.08,1.0,44377594.8,1644017.0,2058330.0,35445006.52,,,35654.0,0.21,,,,0.14,20354.0,6216.0,,,0.21,35654.0,,29063.0,57916.0,35.76,1.31,,,7.14,7.14,21376044.0,460867508.64,,464.38,7.15,15.06,0.4469,64.06,0.0907,21.56
2018-02-26,2016567.0,43315859.16,1.12,4.87,0.92,43.31,1.0,42805236.6,1569420.0,1992795.0,33711141.6,,,,0.08,,,,1.66,3450.0,75170.0,,,0.08,,,573.0,68985.0,33.82,1.57,,,6.9,6.9,21189476.0,455149944.48,,456.26,6.9,14.86,0.4719,66.18,0.0886,21.48
2018-02-27,1700295.0,36318301.2,0.95,4.09,0.78,36.38,1.0,35810531.28,1469994.0,1676523.0,31399071.84,,,,,,,,2.14,,99426.0,,,,,,,316272.0,31.61,6.81,,,6.37,6.37,21604494.0,461471991.84,,464.14,6.38,11.8,0.6344,78.66,0.0737,21.36
2018-02-28,1643483.0,34644621.64,0.91,3.95,0.75,34.71,1.0,34143507.88,1382897.0,1619711.0,29151468.76,,,,0.1,,,,1.89,5385.0,87097.0,,,0.1,,,,62197.0,29.56,1.73,,,5.99,5.99,21697712.0,457387768.96,,463.07,6.0,12.3,0.6267,78.07,0.0712,21.08
2018-03-01,1601597.0,33185089.84,0.89,3.83,0.73,33.18,1.0,32692534.0,1341011.0,1577825.0,27785747.92,,,,,,,,0.96,,41886.0,,,,,,,41886.0,28.23,1.47,,,5.8,5.8,21787216.0,451431115.52,,457.0,5.82,12.57,0.6187,77.51,0.0692,20.72
2018-03-02,1508954.0,31476780.44,0.84,3.51,0.69,31.48,1.0,30980896.52,1256524.0,1485182.0,26211090.64,,,,0.02,,,,2.3,1000.0,89487.0,,,0.02,,,5000.0,93643.0,25.99,1.71,,,5.51,5.51,21535328.0,449226942.08,,444.98,5.52,12.47,0.6141,77.21,0.0662,20.86
2018-03-05,1443784.0,30146209.92,0.8,3.31,0.66,30.13,1.0,29649850.56,1166200.0,1420012.0,24350256.0,,,22486.0,0.6,,,,2.23,27686.0,112810.0,,,0.6,22486.0,,,92856.0,24.32,1.96,,,5.09,5.09,21732132.0,453766916.16,,453.04,5.09,14.7,0.5736,74.12,0.0631,20.88
2018-03-06,1463973.0,30919109.76,0.82,3.32,0.67,30.84,1.0,30417045.12,1204043.0,1440201.0,25429388.16,,,37843.0,0.44,,,,,20189.0,,,,0.44,37843.0,,,,25.11,,,,5.23,5.23,21820928.0,460857999.36,,455.43,5.23,15.6,0.5645,73.32,0.0636,21.12
2018-03-07,1374841.0,28459208.7,0.77,2.99,0.63,28.57,0.0,27967128.3,1117222.0,1351069.0,23126495.4,,,6217.0,0.14,,,,1.77,3906.0,93038.0,,,0.14,6217.0,,,93038.0,23.59,2.38,,,4.87,4.87,21833790.0,451959453.0,,459.56,4.88,17.34,0.534,70.78,0.0599,20.7
2018-03-08,1328321.0,27761908.9,0.74,2.82,0.61,27.72,0.0,27172549.8,1101365.0,1300122.0,23018528.5,,,4427.0,0.06,,,,0.43,2521.0,20284.0,,,0.06,4427.0,,,53468.0,22.84,1.2,,,4.8,4.8,21830576.0,456259038.4,,453.69,4.79,13.52,0.5691,73.99,0.0579,20.9
2018-03-09,1168439.0,24841013.14,0.65,2.44,0.53,24.72,0.0,24241502.4,942438.0,1140240.0,20036231.88,,,,0.1,,,,3.23,4700.0,158927.0,,,0.1,,,,164582.0,19.7,3.17,,,4.11,4.11,21993914.0,467590611.64,,460.92,4.1,15.27,0.5188,70.07,0.0509,21.26
2018-03-12,924294.0,19650490.44,0.51,1.91,0.42,19.64,0.0,19050979.7,711675.0,896095.0,15130210.5,,,,,,,,4.61,,230763.0,,,,,,,244145.0,15.13,5.09,,,3.1,3.1,22213044.0,472249315.44,,472.01,3.11,17.69,0.4447,63.74,0.0403,21.26
2018-03-13,870888.0,18149305.92,0.48,1.8,0.4,18.25,0.0,17561638.76,658663.0,842689.0,13726536.92,,,24681.0,0.52,,,,1.65,24681.0,77693.0,,,0.52,24681.0,,,78087.0,14.0,1.91,,,2.87,2.87,22263828.0,463978175.52,,471.05,2.89,22.02,0.3948,58.15,0.038,20.84
2018-03-14,844037.0,17522208.12,0.47,1.75,0.38,17.6,0.0,16936796.88,494888.0,815838.0,10273874.88,,,,,,,,3.52,,163775.0,,,,,,,26851.0,10.32,0.64,,,2.16,2.16,22393816.0,464895620.16,,466.97,2.16,19.13,0.4106,60.45,0.0369,20.76
