,MLWEA FP Equity_PX_LAST
2025-06-12,0.65
2025-06-13,0.65
2025-06-16,0.65
2025-06-17,0.65
2025-06-18,0.715
2025-06-19,0.715
2025-06-20,0.715
2025-06-23,0.715
2025-06-24,0.715
2025-06-25,0.715
2025-06-26,0.715
2025-06-27,0.715
2025-06-30,0.715
2025-07-01,0.715
2025-07-02,0.715
2025-07-03,0.715
2025-07-04,0.715
2025-07-07,0.715
2025-07-08,0.715
2025-07-09,0.715
2025-07-10,0.715
2025-07-11,0.585
2025-07-14,0.585
2025-07-15,0.585
2025-07-16,0.585
2025-07-17,0.585
2025-07-18,0.715
2025-07-21,0.715
2025-07-22,0.715
2025-07-23,0.715
2025-07-24,0.715
2025-07-25,0.715
2025-07-28,0.715
2025-07-29,0.715
2025-07-30,0.715
2025-07-31,0.715
2025-08-01,0.715
2025-08-04,0.715
2025-08-05,0.715
2025-08-06,0.715
2025-08-07,0.715
2025-08-08,0.715
2025-08-11,0.75
2025-08-12,0.75
2025-08-13,0.75
2025-08-14,0.75
2025-08-15,0.75
2025-08-18,0.75
2025-08-19,0.75
2025-08-20,0.75
2025-08-21,0.76
2025-08-22,0.76
2025-08-25,0.75
2025-08-26,0.75
2025-08-27,0.75
2025-08-28,0.75
2025-08-29,0.75
