,ALIKO FP Equity_DX_SI_QTY,ALIKO FP Equity_DX_SHORT_INTEREST_VALUE,ALIKO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALIKO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALIKO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALIKO FP Equity_DX_SI_MV,ALIKO FP Equity_DX_DSS,ALIKO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALIKO FP Equity_DX_SUPPLY_SI_QTY,ALIKO FP Equity_DX_BROKER_SI_QTY,ALIKO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALIKO FP Equity_DX_BROKER_SI_QTY_ADD,ALIKO FP Equity_DX_SUPPLY_SI_MV_DEC,ALIKO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALIKO FP Equity_DX_BROKER_SI_MV_ADD,ALIKO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALIKO FP Equity_DX_BROKER_SI_QTY_DEC,ALIKO FP Equity_DX_SUPPLY_SI_MV,ALIKO FP Equity_DX_BROKER_SI_MV_DEC,ALIKO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALIKO FP Equity_DX_UTILIZATION_QUANTITY,ALIKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALIKO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALIKO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALIKO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALIKO FP Equity_DX_BROKER_SI_CON_RATIO,ALIKO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALIKO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALIKO FP Equity_PX_LAST
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.925
2022-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.815
2022-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2022-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.765
2022-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2022-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82
2022-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84
2022-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.935
2022-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.925
2022-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78
2022-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2022-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2022-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2022-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2022-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.695
2022-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.665
2022-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.635
2022-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2022-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2022-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.74
2022-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825
2022-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2022-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51
2022-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45
2022-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52
2022-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545
2022-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.575
2022-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57
2022-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
2022-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
2022-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56
2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545
2022-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
2022-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56
2022-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.545
2022-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535
2022-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53
2022-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.515
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45
2022-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.515
2022-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2022-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52
2022-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2022-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2022-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2022-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43
2022-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2022-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36
2022-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.46
2022-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43
2022-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.425
2022-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39
2022-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2022-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
2022-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
2022-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.34
2022-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2022-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39
2022-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45
2023-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.395
2023-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39
2023-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535
2023-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.535
2023-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2023-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.895
2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.795
2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.79
2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.735
2023-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.605
2023-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.745
2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.745
2023-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.745
2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.745
2023-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2023-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8
2023-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
2023-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.815
2023-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83
2023-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2023-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2023-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
2023-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84
2023-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.84
2023-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825
2023-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825
2023-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.825
2023-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83
2023-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2023-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2023-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2023-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2023-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2023-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86
2023-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85
2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.845
2023-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.855
2023-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.835
2023-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725
2023-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
2023-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
2023-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
2023-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
2023-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75
2023-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2023-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2023-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2023-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2023-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71
2023-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71
2023-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71
2023-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71
2023-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2023-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63
2023-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63
2023-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.64
2023-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66
2023-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.67
2023-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
2023-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63
2023-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62
2023-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
2023-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57
2023-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53
2023-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52
2023-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53
2023-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53
2023-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51
2023-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51
2023-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48
2023-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48
2023-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49
2023-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42
2023-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
2023-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35
2023-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
2023-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
2023-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
2023-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
2023-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23
2023-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19
2023-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2023-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15
2023-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22
2023-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15
2023-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23
2023-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27
2023-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23
2023-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23
2023-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17
2023-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17
2023-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31
2023-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24
2023-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24
2023-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2
2023-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15
2023-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19
2023-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23
2023-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29
2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24
2023-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25
2023-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36
2023-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39
2023-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2023-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45
2023-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.47
2023-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45
2023-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2023-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27
2023-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27
2023-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31
2023-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42
2023-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4
2023-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2023-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.39
2023-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.41
2023-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52
2023-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54
2023-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58
2023-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57
2023-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2023-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61
2023-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2023-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2023-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
2023-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71
2023-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69
2023-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68
2023-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72
2023-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73
2023-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56
2024-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65
2024-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
2024-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.55
2024-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
2024-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
2024-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.59
2024-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57
2024-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.57
2024-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48
2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.44
2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43
2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42
2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43
