,CDA FP Equity_DX_SI_QTY,CDA FP Equity_DX_SHORT_INTEREST_VALUE,CDA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,CDA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CDA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CDA FP Equity_DX_SI_MV,CDA FP Equity_DX_DSS,CDA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CDA FP Equity_DX_SUPPLY_SI_QTY,CDA FP Equity_DX_BROKER_SI_QTY,CDA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CDA FP Equity_DX_BROKER_SI_MV_NEW_x,CDA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CDA FP Equity_DX_SUPPLY_SI_QTY_INC_x,CDA FP Equity_DX_BROKER_SI_MV_INC_x,CDA FP Equity_DX_SUPPLY_SI_MV_NEW,CDA FP Equity_DX_BROKER_SI_QTY_ADD,CDA FP Equity_DX_BROKER_SI_QTY_NEW,CDA FP Equity_DX_SUPPLY_SI_MV_DEC,CDA FP Equity_DX_BROKER_SI_QTY_INC,CDA FP Equity_DX_SUPPLY_SI_QTY_DEC,CDA FP Equity_DX_BROKER_SI_MV_NEW_y,CDA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CDA FP Equity_DX_BROKER_SI_MV_INC_y,CDA FP Equity_DX_SUPPLY_SI_QTY_INC_y,CDA FP Equity_DX_BROKER_SI_MV_ADD,CDA FP Equity_DX_SUPPLY_SI_QTY_ADD,CDA FP Equity_DX_BROKER_SI_QTY_DEC,CDA FP Equity_DX_SUPPLY_SI_MV,CDA FP Equity_DX_BROKER_SI_MV_DEC,CDA FP Equity_DX_SUPPLY_SI_MV_RMV,CDA FP Equity_DX_BROKER_SI_MV_RMV,CDA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CDA FP Equity_DX_UTILIZATION_QUANTITY,CDA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CDA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CDA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CDA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CDA FP Equity_DX_ACTIVE_UTILIZATION_MV,CDA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CDA FP Equity_DX_BROKER_SI_CON_RATIO,CDA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CDA FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-09-05,13300.0,297703.64,0.1,10.37,0.08,0.4,0.0,6715.12,13000.0,300.0,290988.52,,,,,,,,,,,,,,,,,,0.39,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.47,0.7319,85.1,0.165
2008-09-08,13300.0,299668.68,0.1,10.4,0.08,0.41,0.0,6759.44,13000.0,300.0,292909.23,,,,,,,,,,,,,,,,,,0.4,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.5,0.7304,85.01,0.165
2008-09-09,13300.0,296229.86,0.1,10.38,0.08,0.4,0.0,6681.88,13000.0,300.0,289547.98,,,,,,,,,,,,,,,,,,0.39,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.63,0.7267,84.78,0.165
2008-09-10,13300.0,297703.64,0.1,10.54,0.08,0.4,0.0,6715.12,13000.0,300.0,290988.52,,,,,,,,,,,,,,,,,,0.4,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.52,0.7299,84.98,0.165
2008-09-11,13300.0,297703.64,0.1,11.97,0.08,0.4,0.0,6715.12,13000.0,300.0,290988.52,,,,,,,,,,,,,,,,,,0.39,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.58,0.7282,84.87,0.165
2008-09-12,13300.0,296229.86,0.1,13.07,0.08,0.4,0.0,6681.88,13000.0,300.0,289547.98,,,,,,,,,,,,,,,,,,0.39,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.39,0.7328,85.16,0.165
2008-09-15,13300.0,292299.78,0.1,14.04,0.08,0.39,0.0,6593.23,13000.0,300.0,285706.55,,,,,,,,,,,,,,,,,,0.39,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.6,0.7268,84.78,0.165
2008-09-16,13300.0,291808.52,0.1,14.41,0.08,0.39,0.0,6582.15,13000.0,300.0,285226.37,,,,,,,,,,,,,,,,,,0.38,,,,100.0,16.13,0.0,0.0,,0.0,100.0,7.56,0.7275,84.83,0.165
2008-09-17,13300.0,292201.52,0.1,15.67,0.08,0.39,0.0,6591.01,13000.0,300.0,285610.51,,,,,,,,,,,,,,,,,,0.38,,,,100.0,16.14,0.0,0.0,,0.0,100.0,7.47,0.7301,84.99,0.1651
2008-09-18,13300.0,292201.52,0.1,15.35,0.08,0.4,0.0,6591.01,13000.0,300.0,285610.51,,,,,,,,,,,,,,,,,,0.39,,,,100.0,16.14,0.0,0.0,,0.0,100.0,7.43,0.7311,85.05,0.1651
2008-09-19,13300.0,277561.97,0.1,15.5,0.08,0.38,0.0,6260.8,13000.0,300.0,271301.18,,,,,,,,,,,,,,,,,,0.37,,,,100.0,16.18,0.0,0.0,,0.0,100.0,7.84,0.719,84.29,0.1655
2008-09-22,13000.0,281096.83,0.09,10.41,0.08,0.37,0.0,0.0,13000.0,0.0,281096.83,,,,,,,,,,,,,,,,,300.0,0.37,0.01,,,100.0,16.26,0.0,0.0,,0.0,100.0,7.35,0.7723,87.48,0.1626
2008-09-23,13000.0,277447.47,0.09,10.22,0.08,0.38,0.0,0.0,13000.0,0.0,277447.47,,,,,,,,,,,,,,,,,,0.38,,,,100.0,16.34,0.0,0.0,,0.0,100.0,7.74,0.7613,86.81,0.1634
2008-09-24,13000.0,263714.35,0.09,9.98,0.08,0.36,0.0,0.0,13000.0,0.0,263714.35,,,,,,,,,,,,,,,,,,0.36,,,,100.0,16.45,0.0,0.0,,0.0,100.0,8.07,0.7532,86.31,0.1645
2008-09-25,13000.0,267363.71,0.09,9.41,0.08,0.36,0.0,0.0,13000.0,0.0,267363.71,,,,,,,,,,,,,,,,,,0.36,,,,100.0,16.45,0.0,0.0,,0.0,100.0,7.6,0.766,87.09,0.1645
2008-09-26,12000.0,248215.64,0.09,8.66,0.07,0.34,0.0,0.0,12000.0,0.0,248215.64,,,,,,,,0.03,,1000.0,,,,,,,,0.34,,,,100.0,16.36,0.0,0.0,,0.0,100.0,4.15,0.8891,94.19,0.1636
2008-09-29,12000.0,246619.97,0.09,8.68,0.07,0.33,0.0,0.0,12000.0,0.0,246619.97,,,,,,,,,,,,,,,,,,0.33,,,,100.0,16.36,0.0,0.0,,0.0,100.0,4.24,0.8869,94.06,0.1636
2008-09-30,12000.0,243783.22,0.09,9.6,0.07,0.33,0.0,0.0,12000.0,0.0,243783.22,,,,,,,,,,,,,,,,,,0.33,,,,100.0,16.36,0.0,0.0,,0.0,100.0,4.32,0.8849,93.95,0.1636
2008-10-01,12000.0,242896.74,0.09,9.04,0.07,0.33,0.0,0.0,12000.0,0.0,242896.74,,,,,,,,,,,,,,,,,,0.33,,,,100.0,16.48,0.0,0.0,,0.0,100.0,4.21,0.8877,94.11,0.1648
2008-10-02,12000.0,239173.5,0.09,8.9,0.07,0.32,0.0,0.0,12000.0,0.0,239173.5,,,,,,,,,,,,,,,,,,0.32,,,,100.0,16.53,0.0,0.0,,0.0,100.0,4.29,0.8856,94.0,0.1653
2008-10-03,12000.0,239173.5,0.09,8.78,0.07,0.32,0.0,0.0,12000.0,0.0,239173.5,,,,,,,,,,,,,,,,,,0.32,,,,16.54,16.54,60560.0,1207028.94,,1.64,16.55,4.17,0.8887,94.17,0.1654
2008-10-06,12000.0,228712.99,0.09,9.07,0.07,0.31,0.0,0.0,12000.0,0.0,228712.99,,,,,,,,,,,,,,,,,,0.31,,,,100.0,16.54,0.0,0.0,,0.0,100.0,4.43,0.8821,93.8,0.1654
2008-10-07,12000.0,227117.31,0.09,8.68,0.07,0.31,0.0,0.0,12000.0,0.0,227117.31,,,,,,,,,,,,,,,,,,0.31,,,,100.0,16.54,0.0,0.0,,0.0,100.0,4.16,0.889,94.18,0.1654
2008-10-08,12000.0,232613.52,0.09,8.25,0.07,0.31,0.0,0.0,12000.0,0.0,232613.52,,,,,,,,,,,,,,,,,,0.31,,,,100.0,16.54,0.0,0.0,,0.0,100.0,4.07,0.8913,94.31,0.1654
2008-10-09,12000.0,232702.17,0.09,6.97,0.07,0.32,0.0,0.0,12000.0,0.0,232702.17,,,,,,,,,,,,,,,,,,0.32,,,,100.0,16.54,0.0,0.0,,0.0,100.0,4.16,0.8889,94.18,0.1654
2008-10-10,12000.0,221621.11,0.09,6.97,0.07,0.3,0.0,0.0,12000.0,0.0,221621.11,,,,,,,,,,,,,,,,,,0.3,,,,100.0,16.54,0.0,0.0,,0.0,100.0,4.39,0.883,93.85,0.1654
2008-10-13,12000.0,224989.75,0.09,7.76,0.07,0.3,0.0,0.0,12000.0,0.0,224989.75,,,,,,,,,,,,,,,,,,0.3,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.06,0.8913,94.31,0.1748
2008-10-14,12000.0,232170.27,0.09,7.46,0.07,0.31,0.0,0.0,12000.0,0.0,232170.27,,,,,,,,,,,,,,,,,,0.31,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.03,0.8921,94.35,0.1748
2008-10-15,12000.0,234918.38,0.09,7.39,0.07,0.32,0.0,0.0,12000.0,0.0,234918.38,,,,,,,,,,,,,,,,,,0.32,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.13,0.8896,94.21,0.1748
2008-10-16,12000.0,234918.38,0.09,7.33,0.07,0.32,0.0,0.0,12000.0,0.0,234918.38,,,,,,,,,,,,,,,,,,0.32,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.18,0.8881,94.13,0.1748
2008-10-17,12000.0,237134.59,0.09,7.29,0.07,0.32,0.0,0.0,12000.0,0.0,237134.59,,,,,,,,,,,,,,,,,,0.32,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.14,0.8897,94.22,0.1748
2008-10-20,12000.0,237577.83,0.09,7.32,0.07,0.32,0.0,0.0,12000.0,0.0,237577.83,,,,,,,,,,,,,,,,,,0.32,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.15,0.8888,94.17,0.1748
2008-10-21,12000.0,239350.8,0.09,7.27,0.07,0.33,0.0,0.0,12000.0,0.0,239350.8,,,,,,,,,,,,,,,,,,0.33,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.04,0.8909,94.29,0.1748
2008-10-22,12000.0,239439.45,0.09,7.22,0.07,0.33,0.0,0.0,12000.0,0.0,239439.45,,,,,,,,,,,,,,,,,,0.33,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.21,0.8873,94.09,0.1748
2008-10-23,12000.0,238375.67,0.09,7.19,0.07,0.32,0.0,0.0,12000.0,0.0,238375.67,,,,,,,,,,,,,,,,,,0.32,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.17,0.8885,94.15,0.1748
2008-10-24,12000.0,225167.05,0.09,7.2,0.07,0.31,0.0,0.0,12000.0,0.0,225167.05,,,,,,,,,,,,,,,,,,0.31,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.47,0.8813,93.75,0.1748
2008-10-27,12000.0,225167.05,0.09,7.1,0.07,0.3,0.0,0.0,12000.0,0.0,225167.05,,,,,,,,,,,,,,,,,,0.3,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.22,0.8871,94.08,0.1748
2008-10-28,12000.0,221621.11,0.09,7.04,0.07,0.29,0.0,0.0,12000.0,0.0,221621.11,,,,,,,,,,,,,,,,,,0.29,,,,100.0,17.48,0.0,0.0,,0.0,100.0,4.23,0.8873,94.09,0.1748
2008-10-29,12000.0,221621.11,0.09,6.45,0.07,0.3,0.0,0.0,12000.0,0.0,221621.11,,,,,,,,,,,,,,,,,,0.3,,,,100.0,19.27,0.0,0.0,,0.0,100.0,4.14,0.8901,94.24,0.1927
2008-10-30,12000.0,221621.11,0.09,5.2,0.07,0.3,0.0,0.0,12000.0,0.0,221621.11,,,,,,,,,,,,,,,,,,0.3,,,,100.0,19.34,0.0,0.0,,0.0,100.0,4.2,0.8881,94.13,0.1934
2008-10-31,12000.0,222950.84,0.09,5.23,0.07,0.3,0.0,0.0,12000.0,0.0,222950.84,,,,,,,,,,,,,,,,,,0.3,,,,100.0,20.9,0.0,0.0,,0.0,100.0,4.2,0.8879,94.12,0.209
2008-11-03,12000.0,221621.11,0.09,5.84,0.07,0.3,0.0,0.0,12000.0,0.0,221621.11,,,,,,,,,,,,,,,,,,0.3,,,,100.0,20.9,0.0,0.0,,0.0,100.0,4.18,0.8885,94.15,0.209
2008-11-04,12000.0,221621.11,0.09,5.95,0.07,0.3,0.0,0.0,12000.0,0.0,221621.11,,,,,,,,,,,,,,,,,,0.3,,,,100.0,20.9,0.0,0.0,,0.0,100.0,4.18,0.8885,94.15,0.209
2008-11-05,12000.0,223925.97,0.09,5.94,0.07,0.3,0.0,0.0,12000.0,0.0,223925.97,,,,,,,,,,,,,,,,,,0.3,,,,100.0,20.9,0.0,0.0,,0.0,100.0,4.11,0.8903,94.25,0.209
2008-11-06,16312.0,301136.46,0.12,8.39,0.1,0.41,0.0,0.0,16312.0,0.0,301136.46,,,312.0,,,,,,,,,,,312.0,,4000.0,,0.41,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9158,95.64,0.284
2008-11-07,16312.0,289206.68,0.12,8.47,0.1,0.4,0.0,0.0,16312.0,0.0,289206.68,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.13,0.9153,95.61,0.284
2008-11-10,16312.0,294629.31,0.12,8.16,0.1,0.4,0.0,0.0,16312.0,0.0,294629.31,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.0,0.9186,95.79,0.284
2008-11-11,16312.0,294629.31,0.12,8.18,0.1,0.4,0.0,0.0,16312.0,0.0,294629.31,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9162,95.66,0.284
2008-11-12,16312.0,294629.31,0.12,8.54,0.1,0.41,0.0,0.0,16312.0,0.0,294629.31,,,,,,,,,,,,,,,,,,0.41,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.06,0.9172,95.71,0.284
2008-11-13,16312.0,293665.29,0.12,8.59,0.1,0.39,0.0,0.0,16312.0,0.0,293665.29,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.05,0.9173,95.72,0.284
2008-11-14,16312.0,293665.29,0.12,8.61,0.1,0.4,0.0,0.0,16312.0,0.0,293665.29,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9167,95.68,0.284
2008-11-17,16312.0,294026.79,0.12,8.71,0.1,0.4,0.0,0.0,16312.0,0.0,294026.79,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.05,0.9173,95.72,0.284
2008-11-18,16312.0,285591.6,0.12,9.0,0.1,0.39,0.0,0.0,16312.0,0.0,285591.6,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.13,0.9155,95.62,0.284
2008-11-19,16312.0,291616.74,0.12,9.3,0.1,0.4,0.0,0.0,16312.0,0.0,291616.74,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.01,0.9184,95.78,0.284
2008-11-20,16312.0,288604.17,0.12,11.09,0.1,0.39,0.0,0.0,16312.0,0.0,288604.17,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.07,0.9166,95.68,0.284
2008-11-21,16312.0,288604.17,0.12,11.04,0.1,0.39,0.0,0.0,16312.0,0.0,288604.17,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.05,0.9173,95.72,0.284
2008-11-24,16312.0,290291.21,0.12,11.48,0.1,0.39,0.0,0.0,16312.0,0.0,290291.21,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.02,0.9185,95.79,0.284
2008-11-25,16312.0,288001.66,0.12,12.16,0.1,0.39,0.0,0.0,16312.0,0.0,288001.66,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9169,95.7,0.284
2008-11-26,16312.0,286917.13,0.12,12.23,0.1,0.39,0.0,0.0,16312.0,0.0,286917.13,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9162,95.66,0.284
2008-11-27,16312.0,284145.57,0.12,12.54,0.1,0.39,0.0,0.0,16312.0,0.0,284145.57,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.14,0.9156,95.63,0.284
2008-11-28,16312.0,280771.49,0.12,12.8,0.1,0.38,0.0,0.0,16312.0,0.0,280771.49,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.13,0.9155,95.62,0.284
2008-12-01,16312.0,280771.49,0.12,12.73,0.1,0.38,0.0,0.0,16312.0,0.0,280771.49,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9167,95.69,0.284
2008-12-02,16312.0,278843.44,0.12,12.82,0.1,0.38,0.0,0.0,16312.0,0.0,278843.44,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.06,0.9172,95.71,0.284
2008-12-03,16312.0,278843.44,0.12,12.78,0.1,0.38,0.0,0.0,16312.0,0.0,278843.44,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.07,0.917,95.7,0.284
2008-12-04,16312.0,277156.4,0.12,12.7,0.1,0.37,0.0,0.0,16312.0,0.0,277156.4,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9169,95.7,0.284
2008-12-05,16312.0,277156.4,0.12,12.78,0.1,0.37,0.0,0.0,16312.0,0.0,277156.4,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9167,95.69,0.284
2008-12-08,16312.0,277156.4,0.12,13.04,0.1,0.37,0.0,0.0,16312.0,0.0,277156.4,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.03,0.9181,95.76,0.284
2008-12-09,16312.0,275469.37,0.12,12.91,0.1,0.37,0.0,0.0,16312.0,0.0,275469.37,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9166,95.68,0.284
2008-12-10,16312.0,273541.32,0.12,14.64,0.1,0.37,0.0,0.0,16312.0,0.0,273541.32,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.07,0.917,95.7,0.284
2008-12-11,16312.0,273420.82,0.12,23.82,0.1,0.36,0.0,0.0,16312.0,0.0,273420.82,,,,,,,,,,,,,,,,,,0.36,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.03,0.918,95.76,0.284
2008-12-12,16312.0,272697.8,0.12,23.89,0.1,0.37,0.0,0.0,16312.0,0.0,272697.8,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.07,0.9171,95.71,0.284
2008-12-15,16312.0,275830.87,0.12,28.68,0.1,0.37,0.0,0.0,16312.0,0.0,275830.87,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,2.99,0.919,95.81,0.284
2008-12-16,16312.0,273541.32,0.12,27.08,0.1,0.36,0.0,0.0,16312.0,0.0,273541.32,,,,,,,,,,,,,,,,,,0.36,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9168,95.69,0.284
2008-12-17,16312.0,278361.43,0.12,26.37,0.1,0.37,0.0,0.0,16312.0,0.0,278361.43,,,,,,,,,,,,,,,,,,0.37,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.0,0.9192,95.82,0.284
2008-12-18,16312.0,288242.66,0.12,18.9,0.1,0.4,0.0,0.0,16312.0,0.0,288242.66,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,2.98,0.9193,95.83,0.284
2008-12-19,16312.0,288965.68,0.12,18.57,0.1,0.4,0.0,0.0,16312.0,0.0,288965.68,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9159,95.64,0.284
2008-12-22,16312.0,285591.6,0.12,16.18,0.1,0.39,0.0,0.0,16312.0,0.0,285591.6,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.09,0.9165,95.67,0.284
2008-12-23,16312.0,283784.06,0.12,15.83,0.1,0.38,0.0,0.0,16312.0,0.0,283784.06,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9168,95.69,0.284
2008-12-24,16312.0,285109.59,0.12,15.04,0.1,0.38,0.0,0.0,16312.0,0.0,285109.59,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.04,0.9176,95.73,0.284
2008-12-25,16312.0,285109.59,0.12,15.1,0.1,0.38,0.0,0.0,16312.0,0.0,285109.59,,,,,,,,,,,,,,,,,,0.38,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.03,0.918,95.76,0.284
2008-12-26,16312.0,285109.59,0.12,15.1,0.1,0.39,0.0,0.0,16312.0,0.0,285109.59,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.06,0.9173,95.72,0.284
2008-12-29,16312.0,287399.14,0.12,15.1,0.1,0.39,0.0,0.0,16312.0,0.0,287399.14,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.03,0.9181,95.76,0.284
2008-12-30,16312.0,289206.68,0.12,15.25,0.1,0.39,0.0,0.0,16312.0,0.0,289206.68,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.01,0.9181,95.76,0.284
2008-12-31,16312.0,291616.74,0.12,14.72,0.1,0.4,0.0,0.0,16312.0,0.0,291616.74,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.02,0.9179,95.75,0.284
2009-01-01,16312.0,291616.74,0.12,14.32,0.1,0.39,0.0,0.0,16312.0,0.0,291616.74,,,,,,,,,,,,,,,,,,0.39,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9168,95.69,0.284
2009-01-02,16312.0,294990.82,0.12,14.32,0.1,0.4,0.0,0.0,16312.0,0.0,294990.82,,,,,,,,,,,,,,,,,,0.4,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.917,95.7,0.284
2009-01-05,16312.0,308487.13,0.12,14.39,0.1,0.41,0.0,0.0,16312.0,0.0,308487.13,,,,,,,,,,,,,,,,,,0.41,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.02,0.9185,95.78,0.284
2009-01-06,16312.0,318127.35,0.12,9.77,0.1,0.42,0.0,0.0,16312.0,0.0,318127.35,,,,,,,,,,,,,,,,,,0.42,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.03,0.9179,95.75,0.284
2009-01-07,16312.0,325116.51,0.12,9.51,0.1,0.44,0.0,0.0,16312.0,0.0,325116.51,,,,,,,,,,,,,,,,,,0.44,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.0,0.919,95.81,0.284
2009-01-08,16312.0,330177.63,0.12,9.01,0.1,0.44,0.0,0.0,16312.0,0.0,330177.63,,,,,,,,,,,,,,,,,,0.44,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.02,0.9182,95.77,0.284
2009-01-09,16312.0,335118.24,0.12,8.09,0.1,0.46,0.0,0.0,16312.0,0.0,335118.24,,,,,,,,,,,,,,,,,,0.46,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.06,0.9171,95.71,0.284
2009-01-12,16312.0,330659.64,0.12,7.7,0.1,0.45,0.0,0.0,16312.0,0.0,330659.64,,,,,,,,,,,,,,,,,,0.45,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.11,0.9158,95.64,0.284
2009-01-13,16312.0,330539.14,0.12,7.21,0.1,0.45,0.0,0.0,16312.0,0.0,330539.14,,,,,,,,,,,,,,,,,,0.45,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9163,95.66,0.284
2009-01-14,16312.0,327767.57,0.12,6.97,0.1,0.44,0.0,0.0,16312.0,0.0,327767.57,,,,,,,,,,,,,,,,,,0.44,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.08,0.9166,95.68,0.284
2009-01-15,16312.0,332587.69,0.12,6.97,0.1,0.45,0.0,0.0,16312.0,0.0,332587.69,,,,,,,,,,,,,,,,,,0.45,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.05,0.9174,95.73,0.284
2009-01-16,16312.0,336202.77,0.12,6.87,0.1,0.44,0.0,0.0,16312.0,0.0,336202.77,,,,,,,,,,,,,,,,,,0.44,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.07,0.9172,95.71,0.284
2009-01-19,16312.0,334154.22,0.12,6.59,0.1,0.46,0.0,0.0,16312.0,0.0,334154.22,,,,,,,,,,,,,,,,,,0.46,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9163,95.66,0.284
2009-01-20,16312.0,322947.46,0.12,6.59,0.1,0.44,0.0,0.0,16312.0,0.0,322947.46,,,,,,,,,,,,,,,,,,0.44,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.16,0.9145,95.57,0.284
2009-01-21,16312.0,321501.43,0.12,6.21,0.1,0.43,0.0,0.0,16312.0,0.0,321501.43,,,,,,,,,,,,,,,,,,0.43,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.07,0.9169,95.7,0.284
2009-01-22,16312.0,319332.38,0.12,6.21,0.1,0.43,0.0,0.0,16312.0,0.0,319332.38,,,,,,,,,,,,,,,,,,0.43,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9164,95.67,0.284
2009-01-23,16312.0,312343.22,0.12,6.21,0.1,0.42,0.0,0.0,16312.0,0.0,312343.22,,,,,,,,,,,,,,,,,,0.42,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.15,0.9149,95.59,0.284
2009-01-26,16312.0,310294.67,0.12,5.9,0.1,0.42,0.0,0.0,16312.0,0.0,310294.67,,,,,,,,,,,,,,,,,,0.42,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.06,0.9175,95.73,0.284
2009-01-27,16312.0,309089.64,0.12,5.94,0.1,0.42,0.0,0.0,16312.0,0.0,309089.64,,,,,,,,,,,,,,,,,,0.42,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.09,0.9167,95.69,0.284
2009-01-28,16312.0,308125.62,0.12,5.94,0.1,0.42,0.0,0.0,16312.0,0.0,308125.62,,,,,,,,,,,,,,,,,,0.42,,,,100.0,28.4,0.0,0.0,,0.0,100.0,3.1,0.9165,95.67,0.284
