,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_x,SPIE FP Equity_y,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity,SPIE FP Equity
2017-05-15,114322.0,2794709.2,0.09,0.46,0.07,2.95,0.0,2403574.09,92365.0,98322.0,2257949.61,,,,,,,,,,,,,,,,,5986.0,2.31,0.17,,,0.39,0.39,23833168.0,582624287.44,,589.83,0.39,25.95,0.2409,32.74,0.0048
2017-05-16,96591.0,2370646.87,0.08,0.36,0.06,2.47,0.0,1977956.55,74191.0,80591.0,1820880.43,,,,,,6400.0,,0.44,,18174.0,,,,,0.17,,24131.0,1.87,0.65,,,0.3,0.3,24326004.0,597036630.14,,611.95,0.3,31.97,0.3106,40.47,0.004
2017-05-17,129782.0,3088123.76,0.1,0.46,0.08,3.25,0.0,1917638.67,74191.0,80591.0,1765352.59,,,,,,,,,,,,,,,,,,1.85,,,,0.3,0.3,24587692.0,585056756.01,,618.57,0.3,22.49,0.4083,57.91,0.0053
2017-05-18,71400.0,1683326.31,0.06,0.25,0.05,1.78,0.0,1211806.34,45000.0,51400.0,1060919.94,,,,0.1,,,,0.84,4000.0,33191.0,,,0.1,,,4000.0,33191.0,1.1,0.81,,,0.18,0.18,24640384.0,580921662.65,,605.85,0.18,27.92,0.3301,45.85,0.0029
2017-05-19,571400.0,13882324.7,0.45,1.93,0.37,14.94,0.0,13396419.04,45000.0,551400.0,1093287.73,,,,13.14,,,,,500000.0,,,,13.14,,,,,1.12,,,,0.18,0.18,24649430.0,598864877.5,,601.57,0.19,2.75,0.8984,94.72,0.0231
2017-05-22,571400.0,13774020.91,0.45,1.87,0.37,14.84,0.0,13291906.07,45000.0,551400.0,1084758.38,,,,,,,,,,,,,,,,,,1.12,,,,0.18,0.18,24665768.0,594586636.65,,614.17,0.18,2.75,0.8982,94.71,0.0231
2017-05-23,571400.0,13876770.66,0.45,1.9,0.37,14.94,0.0,13391059.4,45000.0,551400.0,1092850.33,,,,,,,,,,,,,,,,,,1.12,,,,0.18,0.18,24716540.0,600255087.76,,615.43,0.18,2.75,0.8984,94.73,0.0231
2017-05-24,557000.0,13524351.52,0.44,1.85,0.36,14.57,0.0,13135860.27,41000.0,541000.0,995508.82,,,,,,,,0.1,,4000.0,,,,,,,10400.0,1.02,0.27,,,0.17,0.17,24718832.0,600190616.04,,618.41,0.17,2.82,0.9452,97.18,0.0225
2017-05-25,532789.0,12946848.9,0.42,1.78,0.35,13.94,0.0,12558046.61,16789.0,516789.0,407975.1,,,,,,789.0,,0.62,,25000.0,,,,,0.02,789.0,25000.0,0.42,0.64,,,0.07,0.07,24871096.0,604371189.94,,621.78,0.07,2.95,0.9399,96.9,0.0214
2017-05-26,553789.0,13395249.01,0.44,1.86,0.36,14.4,0.0,12500279.6,37789.0,516789.0,914054.03,,,,,,,,,,,,,,,,21000.0,,0.94,,,,21.35,0.15,139234.0,3367842.45,,3.47,21.33,3.73,0.8725,93.29,0.0222
2017-05-29,591178.0,14546224.04,0.46,1.99,0.38,15.28,0.0,12700812.33,75178.0,516178.0,1849791.49,,,,,,,,0.02,,611.0,,,,,,38000.0,611.0,1.87,0.02,,,15.01,0.3,425741.0,10475565.68,,10.59,15.02,3.74,0.8742,93.38,0.0237
2017-05-30,591178.0,14543288.38,0.46,1.99,0.38,15.27,0.0,12698249.1,75178.0,516178.0,1849418.17,,,,,,,,,,,,,,,,,,1.87,,,,15.01,0.3,425741.0,10473451.54,,10.54,15.05,3.73,0.8744,93.39,0.0236
2017-05-31,595928.0,14686774.14,0.47,2.02,0.39,15.41,0.0,12721318.19,79928.0,516178.0,1969842.81,,,,,,,,,,,,,,,,4750.0,,1.99,,,,5.16,0.32,1470032.0,36229255.83,,36.41,5.17,4.54,0.8605,92.61,0.0239
2017-06-01,662857.0,16441585.27,0.52,2.2,0.43,17.24,0.0,15119451.2,105684.0,609554.0,2621398.73,,,,2.48,,,,0.95,93376.0,38000.0,,,2.48,,,63756.0,,2.63,,,,5.17,0.42,1937193.0,48050369.67,,48.13,5.18,9.8,0.6908,82.32,0.0266
2017-06-02,692706.0,16992772.69,0.54,2.28,0.45,17.8,0.0,15853773.71,162221.0,646275.0,3979443.77,,,63409.0,0.81,,3312.0,,0.17,33409.0,6872.0,,,0.81,63409.0,0.08,,,4.03,,,,8.53,0.65,1739290.0,42666527.51,,43.35,8.5,14.16,0.643,78.77,0.0277
2017-06-05,709393.0,17479620.85,0.56,2.33,0.46,18.23,0.0,16335549.41,182220.0,662962.0,4489946.35,,,,,,16687.0,,,,,,,,,0.41,19999.0,,4.51,,,,0.73,0.73,24822024.0,611620876.37,,615.28,0.73,13.55,0.6175,77.22,0.0284
2017-06-06,747057.0,18411380.96,0.59,2.49,0.48,19.16,0.0,14580750.43,231057.0,591626.0,5694449.62,,,,,,,,1.49,,60163.0,,,,,,109000.0,71336.0,5.74,1.78,,,0.91,0.91,25032936.0,616942109.08,,622.15,0.91,5.37,0.6669,81.19,0.0296
2017-06-07,743906.0,18211819.21,0.58,2.59,0.48,18.99,0.0,14522945.71,227906.0,593225.0,5579445.35,,,,0.04,,,,0.12,1599.0,4750.0,,,0.04,,,1599.0,,5.66,,,,0.9,0.9,25030552.0,612781571.54,,622.35,0.9,5.42,0.6712,81.47,0.0295
2017-06-08,748091.0,18477727.6,0.59,2.64,0.49,19.2,0.0,14871551.04,232091.0,602091.0,5732610.44,,,8866.0,0.22,,,,0.12,8866.0,4681.0,,,0.22,8866.0,,,,5.74,,,,0.92,0.92,25033936.0,618334200.25,,619.98,0.92,5.32,0.6656,81.11,0.0296
2017-06-09,691384.0,17269336.8,0.54,2.44,0.45,17.98,0.0,13622559.94,175384.0,545384.0,4380728.17,,,6266.0,0.16,,,,1.56,6266.0,62973.0,,,0.16,6266.0,,,62973.0,4.38,1.42,,,0.69,0.69,25125892.0,627592613.27,,626.93,0.69,5.78,0.7074,83.68,0.0273
2017-06-12,676617.0,16440176.3,0.53,2.37,0.44,17.27,0.0,13402974.99,160617.0,551617.0,3902609.3,,,6234.0,0.16,,,,0.53,6234.0,21001.0,,,0.16,6234.0,,,1.0,4.01,0.0,,,0.64,0.64,25090172.0,609631225.88,,629.95,0.63,6.13,0.7359,85.32,0.0268
2017-06-13,682929.0,16878410.51,0.54,2.5,0.44,17.58,0.0,13789068.4,160616.0,557929.0,3969582.17,,,,0.15,,,,0.0,6313.0,1.0,,,0.15,,,,1.0,3.96,0.0,,,0.64,0.64,25101056.0,620365993.2,,617.37,0.64,6.75,0.7278,84.81,0.027
2017-06-14,674020.0,16624756.5,0.53,2.49,0.44,17.38,0.0,13541621.63,151707.0,549020.0,3741865.13,,,,,,,,0.22,,8909.0,,,,,,,8909.0,3.78,0.22,,,0.6,0.6,25110624.0,619355522.94,,625.83,0.6,6.02,0.7452,85.9,0.0267
2017-06-15,680231.0,16369227.31,0.53,2.55,0.44,17.21,0.0,13361200.01,151707.0,555231.0,3650710.37,,,,0.17,,,,,6211.0,,,,0.17,,,,,3.75,,,,0.6,0.6,25134904.0,604851817.81,,626.0,0.59,6.59,0.7256,84.67,0.0269
2017-06-16,666110.0,16313884.04,0.52,2.45,0.43,17.03,0.0,13252474.51,137586.0,541110.0,3369656.74,,,,,,,,0.34,,14121.0,,,,,,,14121.0,3.37,0.36,,,0.55,0.55,25020454.0,612782851.57,,609.92,0.55,5.98,0.7649,87.11,0.0265
2017-06-19,581310.0,14502596.85,0.46,2.12,0.38,15.22,0.0,13187830.45,52786.0,528610.0,1316911.94,,,,,,,,2.08,,84800.0,,,,,,,12500.0,1.3,0.31,,,0.21,0.21,25080406.0,625709203.26,,621.47,0.21,6.11,0.7967,88.98,0.0231
2017-06-20,538211.0,13357868.72,0.42,1.97,0.35,14.09,0.0,12960764.43,16000.0,522211.0,397104.29,,,,,,,,0.91,,36786.0,,,,,,,6399.0,0.4,0.16,,,0.06,0.06,25087832.0,622655364.53,,630.26,0.06,2.92,0.9203,95.88,0.0214
2017-06-21,545018.0,13651308.25,0.43,2.02,0.35,14.39,0.0,13236447.42,16563.0,528455.0,414860.83,,,,0.16,,,,,6244.0,,,,0.16,,,563.0,,0.42,,,,0.07,0.07,25082560.0,628254036.04,,627.31,0.07,2.89,0.8978,94.68,0.0217
2017-06-22,551305.0,13732126.92,0.43,2.02,0.36,14.48,0.0,13319569.04,16563.0,534742.0,412557.87,,,,0.17,,,,,6287.0,,,,0.17,,,,,0.42,,,,0.07,0.07,25072692.0,624520707.6,,631.8,0.07,3.53,0.8767,93.52,0.022
2017-06-23,545094.0,13831862.13,0.43,1.97,0.35,14.57,0.0,13411572.91,16563.0,528531.0,420289.22,,,,,,,,,,,,,,,,,6211.0,0.42,0.17,,,0.07,0.07,25120936.0,637448446.1,,630.55,0.07,2.89,0.8979,94.69,0.0217
2017-06-26,45094.0,1155688.97,0.04,0.2,0.03,1.18,0.0,731205.08,16563.0,28531.0,424483.89,,,,,,,,,,,,,,,,16000.0,500000.0,0.43,13.41,0.4,,0.07,0.07,25137004.0,644222253.84,16000.0,641.39,0.07,44.03,0.4867,54.08,0.0018
2017-06-27,44531.0,1143029.21,0.04,0.21,0.03,1.17,0.0,732338.52,16000.0,28531.0,410690.7,,,,,,,,0.01,,563.0,,,,,,,,0.41,,,,0.06,0.06,25178450.0,646284697.42,,645.73,0.06,45.09,0.5048,54.91,0.0018
2017-06-28,38287.0,1000819.06,0.03,0.19,0.02,1.01,0.0,582580.36,16000.0,22287.0,418238.7,,,,,,,,,,,,,,,,,6244.0,0.41,0.17,,,0.06,0.06,25278034.0,660765750.12,,650.4,0.06,28.83,0.5896,71.17,0.0015
2017-06-29,34645.0,888757.58,0.03,0.18,0.02,0.91,0.0,478305.24,16000.0,18645.0,410452.34,,,,,,,,,,,,,,,,,3642.0,0.42,0.1,,,0.06,0.06,25375948.0,650976074.48,,661.99,0.06,15.03,0.7446,84.97,0.0014
2017-06-30,56560.0,1477350.33,0.04,0.3,0.04,1.51,0.0,1050548.63,16340.0,40220.0,426801.71,,,,0.58,,,,,21575.0,,,,0.58,,,340.0,,0.43,,,,0.06,0.06,25584232.0,668261557.21,,659.07,0.07,38.73,0.5156,60.46,0.0022
2017-07-03,64176.0,1663533.29,0.05,0.34,0.04,1.72,0.0,1193214.98,18144.0,46032.0,470318.31,,,1804.0,0.17,,,,,5812.0,,,,0.17,1804.0,,,,0.48,,,,0.07,0.07,25727992.0,666906184.16,,672.37,0.07,32.04,0.5093,63.62,0.0025
2017-07-04,72308.0,1826211.42,0.06,0.38,0.05,1.92,0.0,1367966.41,18144.0,54164.0,458245.01,,,,0.22,,,,,8132.0,,,,0.22,,,,,0.46,,,,0.07,0.07,25767882.0,650793832.39,,668.19,0.07,26.97,0.5546,69.32,0.0028
2017-07-05,69663.0,1759755.21,0.05,0.36,0.05,1.82,0.0,1301420.11,18144.0,51519.0,458335.11,,,,,,,,,,,,,,,,,2645.0,0.46,0.1,,,0.07,0.07,25829270.0,652472510.94,,656.27,0.07,28.86,0.5373,67.27,0.0027
2017-07-06,69663.0,1756641.83,0.05,0.36,0.05,1.82,0.0,1299117.61,18144.0,51519.0,457524.21,,,,,,,,,,,,,,,,,,0.46,,,,0.07,0.07,25932208.0,653913859.96,,657.69,0.07,28.83,0.5379,67.33,0.0027
2017-07-07,48088.0,1206391.88,0.04,0.25,0.03,1.23,0.0,751210.25,18144.0,29944.0,455181.63,,,,,,,,,,,,,,,,,21575.0,0.46,0.58,,,0.07,0.07,26006976.0,652441456.19,,659.51,0.07,44.77,0.4417,48.67,0.0018
2017-07-10,42276.0,1079269.35,0.03,0.22,0.03,1.09,0.0,616068.88,18144.0,24132.0,463200.47,,,,,,,,,,,,,,,,,5812.0,0.46,0.16,,,0.07,0.07,26009904.0,664010126.61,,657.62,0.07,31.67,0.4712,60.39,0.0016
2017-07-11,39689.0,1002976.96,0.03,0.2,0.03,1.02,0.0,544461.65,18144.0,21545.0,458515.31,,,,,,4000.0,,,,,,,,,0.1,,6587.0,0.47,0.17,,,0.07,0.07,26028732.0,657769621.71,,665.74,0.07,16.81,0.4935,67.25,0.0015
2017-07-12,39689.0,1005144.92,0.03,0.21,0.03,1.01,0.0,545638.52,18144.0,21545.0,459506.4,,,,,,,,,,,,,,,,,,0.46,,,,0.07,0.07,26103564.0,661086567.09,,663.33,0.07,16.84,0.4946,67.34,0.0015
2017-07-13,48550.0,1245225.22,0.04,0.26,0.03,1.25,0.0,552592.74,27005.0,21545.0,692632.49,,,,,,,,,,,,,,,,8861.0,,0.69,,,,0.1,0.1,26152652.0,670771204.21,,666.3,0.1,26.95,0.3373,49.27,0.0019
2017-07-14,47005.0,1203964.67,0.04,0.26,0.03,1.21,0.0,512270.9,27005.0,20000.0,691693.78,,,,,,,,,,,,,,,,,1545.0,0.7,0.04,,,0.1,0.1,26173372.0,670392836.81,,672.59,0.1,28.61,0.3695,51.6,0.0018
2017-07-17,47005.0,1213534.77,0.04,0.26,0.03,1.22,0.0,516342.84,27005.0,20000.0,697191.93,,,,,,,,,,,,,,,,,,0.7,,,,0.1,0.1,26230036.0,677184569.59,,673.97,0.1,28.44,0.3702,51.76,0.0018
2017-07-18,49167.0,1252993.18,0.04,0.26,0.03,1.27,0.0,564786.03,27005.0,22162.0,688207.15,,,1890.0,,,2162.0,,0.05,,1890.0,,,,1890.0,0.06,,,0.7,,,,0.1,0.1,26614328.0,678251092.82,,690.0,0.1,26.85,0.3243,47.86,0.0018
2017-07-19,382779.0,9808128.67,0.3,1.98,0.25,10.09,0.0,9116166.69,30072.0,355774.0,770549.18,,,,0.1,,330000.0,,,3612.0,,,,0.1,,8.73,3067.0,,0.77,,,,0.11,0.11,26699228.0,684127038.56,,687.2,0.11,7.61,0.6879,82.41,0.0143
2017-07-20,381846.0,9702686.79,0.3,1.96,0.25,9.99,0.0,9016491.16,30072.0,354841.0,764127.94,,,,0.08,,,,,3067.0,,,,0.08,,,,4000.0,0.77,0.1,,,0.11,0.11,26764732.0,680090433.1,,689.23,0.11,7.64,0.6935,82.7,0.0143
2017-07-21,381846.0,9511173.91,0.3,1.95,0.25,9.8,0.0,8838522.5,30072.0,354841.0,749045.48,,,779.0,,,,,0.02,,779.0,,,,779.0,,,,0.76,,,,0.11,0.11,26792722.0,667363907.4,,685.53,0.11,7.63,0.6919,82.59,0.0142
2017-07-24,381846.0,9442911.9,0.3,1.97,0.25,9.73,0.0,8775088.13,30072.0,354841.0,743669.56,,,,,,,,,,,,,,,,,,0.75,,,,0.11,0.11,26820978.0,663272974.83,,675.95,0.11,7.64,0.6933,82.68,0.0142
2017-07-25,381846.0,9329141.88,0.3,1.99,0.25,9.61,0.0,8669364.18,30072.0,354841.0,734709.69,,,,,,,,,,,,,,,,,,0.75,,,,0.11,0.11,26850448.0,656001735.98,,672.26,0.11,7.63,0.6928,82.65,0.0142
2017-07-26,390430.0,9589272.11,0.31,2.06,0.25,9.86,0.0,8970315.45,25201.0,365229.0,618956.65,,,,0.27,,4000.0,,0.12,10000.0,4871.0,,,0.27,,0.1,,3612.0,0.62,0.1,,,0.09,0.09,26856684.0,659621572.95,,665.21,0.09,7.7,0.7045,83.41,0.0145
2017-07-27,222363.0,5489017.78,0.18,1.17,0.14,5.73,0.0,4866932.55,25201.0,197162.0,622085.23,5.11,,,,,,197162.0,,,,5.11,,,,,25201.0,168067.0,0.62,4.15,,,0.09,0.09,26848960.0,662765022.78,,668.29,0.09,7.82,0.7252,84.66,0.0083
2017-07-28,57363.0,1364444.01,0.05,0.32,0.04,1.39,0.0,765009.64,25201.0,32162.0,599434.37,,,,,,,,,,,,,,,,,165000.0,0.61,4.31,,,0.09,0.09,26860240.0,638901270.6,,669.38,0.09,28.83,0.3559,50.15,0.0021
2017-07-31,57363.0,1351910.5,0.05,0.28,0.04,1.37,0.0,757982.42,25201.0,32162.0,593928.08,,,,,,,,,,,,,,,,,,0.6,,,,0.09,0.09,27170980.0,640355857.15,,657.14,0.09,28.29,0.3579,50.61,0.0021
2017-08-01,57363.0,1350201.38,0.05,0.27,0.04,1.36,0.0,757024.16,25201.0,32162.0,593177.22,,,,,,,,,,,,,,,,,,0.6,,,,0.09,0.09,26747444.0,629577180.32,,643.25,0.09,28.17,0.359,50.81,0.0021
2017-08-02,58266.0,1334710.29,0.05,0.27,0.04,1.37,0.0,736741.02,26104.0,32162.0,597969.27,,,903.0,,,,,,,,,,,903.0,,,,0.62,,,,0.1,0.1,26804604.0,614018137.14,,642.67,0.1,27.74,0.3369,48.75,0.0022
2017-08-03,48266.0,1067050.11,0.04,0.22,0.03,1.11,0.0,489950.78,26104.0,22162.0,577099.32,,,,,,,,,,,,,,,,,10000.0,0.6,0.23,,,0.1,0.1,26793504.0,592342670.14,,628.06,0.1,27.76,0.3341,48.37,0.0018
2017-08-04,48266.0,1064413.64,0.04,0.21,0.03,1.08,0.0,488740.21,26104.0,22162.0,575673.43,,,,,,,,,,,,,,,,,,0.58,,,,0.1,0.1,26812544.0,591299000.6,,612.58,0.09,27.4,0.3404,49.36,0.0018
2017-08-07,48266.0,1076397.58,0.04,0.21,0.03,1.07,0.0,494242.8,26104.0,22162.0,582154.78,,,,,,,,,,,,,,,,,,0.58,,,,0.1,0.1,26586482.0,592914783.05,,605.07,0.1,27.37,0.3409,49.43,0.0018
2017-08-08,54676.0,1219892.34,0.04,0.23,0.04,1.23,0.0,637478.31,32077.0,28572.0,715679.39,,,,,,6410.0,,,,,,,,,0.14,5973.0,,0.72,,,,0.12,0.12,26703408.0,595787599.24,,613.95,0.12,22.84,0.2647,41.25,0.002
2017-08-09,54676.0,1210389.5,0.04,0.23,0.04,1.23,0.0,632512.42,32077.0,28572.0,710104.33,,,,,,,,,,,,,,,,,,0.72,,,,0.12,0.12,26566576.0,588117358.89,,610.13,0.12,22.92,0.2639,41.07,0.0021
2017-08-10,54676.0,1210932.52,0.04,0.23,0.04,1.22,0.0,632796.18,32077.0,28572.0,710422.9,,,,,,,,,,,,,,,,,,0.72,,,,0.12,0.12,26567652.0,588405037.59,,606.37,0.12,22.84,0.2649,41.27,0.0021
2017-08-11,80340.0,1782914.56,0.06,0.33,0.05,1.81,0.0,1203611.58,42077.0,54236.0,933777.64,,,,0.35,,10000.0,,,15664.0,,,,0.35,,0.23,10000.0,,0.94,,,,0.16,0.16,26561824.0,589463066.36,,606.05,0.15,24.68,0.2262,33.93,0.003
2017-08-14,98923.0,2210047.57,0.08,0.41,0.06,2.23,0.0,1626855.78,42077.0,72819.0,940046.01,,,,0.42,,,,,18583.0,,,,0.42,,,,,0.94,,,,0.16,0.16,26810472.0,598975146.71,,613.08,0.15,19.25,0.3032,48.56,0.0037
2017-08-15,100619.0,2276418.27,0.08,0.42,0.07,2.28,0.0,1647467.2,43773.0,72819.0,990326.45,,,,,,,,0.02,,903.0,,,,,,2599.0,,0.99,,,,0.16,0.16,27061780.0,612249478.8,,610.42,0.16,19.56,0.3086,48.92,0.0037
2017-08-16,332195.0,7636047.51,0.26,1.37,0.22,7.58,0.0,4324178.12,160051.0,188117.0,3679035.02,,,980.0,2.63,,,,,115298.0,,,,2.63,980.0,,115298.0,,3.65,,,,0.59,0.59,27034792.0,621439082.82,,615.42,0.59,8.17,0.6235,78.2,0.0122
2017-08-17,326580.0,7459947.41,0.26,1.34,0.21,7.59,0.0,4173052.28,153893.0,182687.0,3515321.47,,,252.0,,,980.0,,0.15,,6410.0,,,,252.0,0.02,,6410.0,3.57,0.07,,,0.56,0.56,27097000.0,618966853.5,,624.86,0.57,8.19,0.6103,77.33,0.012
2017-08-18,346501.0,7982100.92,0.27,1.42,0.22,8.01,0.0,4532023.41,159767.0,196734.0,3680440.51,,,5874.0,0.32,,,,,14047.0,,,,0.32,5874.0,,,,3.67,,,,0.59,0.59,27123284.0,624820102.06,,622.68,0.59,7.8,0.5357,72.03,0.0127
2017-08-21,443198.0,10092998.11,0.35,1.8,0.29,10.24,0.0,5767677.99,205904.0,253267.0,4689075.05,,,40164.0,1.3,,,,,56533.0,,,,1.3,40164.0,,5973.0,,4.75,,,,0.75,0.75,27086964.0,616854490.37,,625.0,0.75,7.92,0.5946,76.28,0.0162
2017-08-22,463564.0,10506152.17,0.37,1.9,0.3,10.67,0.0,5970795.38,216087.0,263450.0,4897366.72,,,10183.0,0.21,,,,,10183.0,,,,0.21,10183.0,,,,4.97,,,,0.79,0.79,27070456.0,613521175.43,,620.11,0.79,7.86,0.6043,76.94,0.017
2017-08-23,486445.0,11353243.47,0.38,2.0,0.32,11.1,0.0,6456909.97,225763.0,276655.0,5269130.74,,,8963.0,0.24,,,,0.2,13205.0,8861.0,,,0.24,8963.0,,9574.0,,5.15,,,,0.83,0.83,27032860.0,630925677.54,,616.91,0.83,9.17,0.5853,75.56,0.0178
2017-08-24,499100.0,11554421.03,0.39,2.0,0.32,11.75,0.0,6548307.8,235715.0,282858.0,5456923.17,,,9952.0,0.33,,,,,6203.0,,,,0.33,9952.0,,,,5.54,,,,0.86,0.86,27051788.0,626262769.23,,632.35,0.87,8.96,0.5972,76.41,0.0183
2017-08-25,502600.0,11712817.81,0.4,2.01,0.33,11.64,0.0,6673416.4,235715.0,286358.0,5493209.01,,,,0.08,,,,,3500.0,,,,0.08,,,,,5.45,,,,0.86,0.86,27230044.0,634581266.15,,631.02,0.86,10.08,0.5813,75.21,0.0183
2017-08-28,546871.0,12739097.93,0.43,2.11,0.35,12.78,0.0,7319115.17,252145.0,314199.0,5873596.97,,,16430.0,0.7,,,,,27841.0,,,,0.7,16430.0,,,,5.89,,,,0.91,0.91,27316052.0,636314343.95,,636.45,0.92,12.74,0.5667,73.89,0.0198
2017-08-29,553742.0,12731418.83,0.44,2.23,0.36,13.0,0.0,7381915.48,252145.0,321070.0,5797218.92,,,,0.31,,,,,13092.0,,,,0.31,,,,6221.0,5.91,0.1,,,0.91,0.91,27311368.0,627932258.81,,636.71,0.92,16.35,0.531,70.72,0.0201
2017-08-30,567496.0,13244910.02,0.45,2.27,0.37,13.24,0.0,7814528.65,252145.0,334824.0,5884865.86,,,1247.0,0.3,,,,0.03,13754.0,1247.0,,,0.3,1247.0,,,,5.87,,,,0.91,0.91,27428528.0,640160257.27,,635.35,0.92,19.51,0.5036,67.93,0.0205
2017-08-31,596764.0,14102842.98,0.47,2.4,0.39,14.03,0.0,8352704.66,262791.0,353446.0,6210328.05,,,10646.0,0.49,,,,0.22,18622.0,9574.0,,,0.49,10646.0,,9574.0,,6.17,,,,0.95,0.95,27502804.0,649951616.45,,643.66,0.95,20.81,0.4986,67.2,0.0215
2017-09-01,580752.0,13842683.88,0.46,2.22,0.38,13.89,0.0,8043006.64,262791.0,337434.0,6263831.62,,,,,,,,,,,,,,,,,16012.0,6.28,0.26,,,0.95,0.95,27512228.0,655775744.06,,650.98,0.96,19.44,0.5054,68.09,0.0209
2017-09-04,572620.0,13338908.55,0.45,2.14,0.37,13.71,0.0,7670932.32,262791.0,329302.0,6121590.44,,,,0.18,,,,,6994.0,,,,0.18,,,,15126.0,6.28,0.35,,,0.94,0.94,27619224.0,643376590.43,,656.07,0.95,22.1,0.4795,65.33,0.0205
2017-09-05,580903.0,13650127.4,0.46,2.17,0.38,13.63,0.0,7932612.26,262791.0,337585.0,6175094.0,,,,0.15,,,,,8283.0,,,,0.15,,,,,6.16,,,,0.94,0.94,27766488.0,652460219.24,,648.58,0.94,23.86,0.466,63.65,0.0207
2017-09-06,550328.0,13019122.46,0.43,2.05,0.36,13.04,0.0,7262942.8,254640.0,307010.0,6024024.48,,,,,,,,0.19,,8151.0,,,,,,,30575.0,6.03,0.65,,,0.91,0.91,27768632.0,656923181.45,,653.55,0.91,19.52,0.4894,66.83,0.0196
2017-09-07,550328.0,13079244.35,0.43,2.04,0.36,13.03,0.0,7296482.84,254640.0,307010.0,6051843.23,,,,,,,,,,,,,,,,,,6.02,,,,0.91,0.91,27746616.0,659433593.52,,655.57,0.91,19.66,0.4871,66.61,0.0197
2017-09-08,536155.0,12494798.71,0.42,1.94,0.35,12.8,0.0,6824405.95,254640.0,292837.0,5934245.78,,,,,,,,,,,,,,,,,14173.0,6.07,0.33,,,0.91,0.91,27698126.0,645489660.88,,656.45,0.92,15.87,0.5207,70.04,0.0192
2017-09-11,555045.0,12954313.48,0.44,2.23,0.36,13.11,0.0,7126161.91,261037.0,305330.0,6092398.14,,,6397.0,0.22,,,,,12493.0,,,,0.22,6397.0,,,,6.16,,,,0.93,0.93,27687852.0,646212675.34,,647.38,0.94,17.03,0.5144,69.33,0.0199
2017-09-12,536968.0,12585739.93,0.42,2.18,0.35,12.63,0.0,6870465.63,253841.0,293127.0,5949659.59,,,,,,,,0.2,,7196.0,,,,,,,12203.0,5.96,0.31,,,0.91,0.91,27685116.0,648898388.7,,647.71,0.91,16.15,0.5154,69.58,0.0192
2017-09-13,570765.0,13298531.51,0.45,2.37,0.37,13.55,0.0,7057833.91,277847.0,302918.0,6473692.48,,,24006.0,0.63,,,,,24006.0,,,,0.63,24006.0,,,14215.0,6.59,0.33,,,0.99,0.99,27722668.0,645923933.8,,651.03,1.0,11.09,0.5831,75.24,0.0204
2017-09-14,548278.0,12796377.03,0.43,2.34,0.36,12.85,0.0,6819998.11,267141.0,292212.0,6234860.7,,,,0.02,,,,0.36,1075.0,11781.0,,,0.02,,,1075.0,11781.0,6.25,0.37,,,0.95,0.95,27706744.0,646653599.75,,646.9,0.96,11.92,0.5634,73.75,0.0196
2017-09-15,589064.0,13426521.67,0.44,2.57,0.38,13.81,0.0,7509784.18,300407.0,329478.0,6847169.57,,,6646.0,0.79,,4500.0,,0.03,32766.0,980.0,,,0.79,6646.0,0.11,27600.0,,7.03,,,,1.08,1.08,27593668.0,628941815.24,,643.15,1.08,11.3,0.5679,74.22,0.0211
2017-09-18,596111.0,13764753.5,0.44,2.34,0.39,13.69,0.0,7544289.62,310211.0,326721.0,7163058.47,,,14304.0,,,,,0.23,,4500.0,,,,14304.0,,,2757.0,7.11,0.2,,,1.11,1.11,27570288.0,636623411.08,,632.35,1.11,11.36,0.5612,73.74,0.0214
2017-09-19,1101785.0,25233326.3,0.82,4.35,0.72,25.46,0.0,7949384.67,836505.0,347101.0,19157824.45,,,,,,41000.0,,0.89,,40956.0,,,,,0.95,567250.0,20620.0,19.39,0.47,,,2.95,2.95,27507700.0,629987492.82,,637.71,2.95,28.0,0.4384,59.73,0.0389
2017-09-20,3197324.0,73178197.07,2.37,12.37,2.08,74.11,1.0,7878504.27,2934915.0,344230.0,67172356.71,,,,,,,,0.53,,23340.0,,,,,,2121750.0,2871.0,68.04,0.07,,,10.36,10.36,25394816.0,581219435.3,,585.94,10.4,8.28,0.7857,88.24,0.1129
2017-09-21,3201742.0,73581397.66,2.37,12.29,2.08,74.02,1.0,7688106.08,2947956.0,334532.0,67748970.01,,,,,,,,0.94,,38959.0,,,,,,52000.0,9698.0,68.13,0.22,,,10.41,10.41,25364308.0,582914311.46,,584.88,10.43,8.22,0.7928,88.64,0.1131
