,ALMLB FP Equity_DX_SI_QTY,ALMLB FP Equity_DX_SHORT_INTEREST_VALUE,ALMLB FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMLB FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMLB FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMLB FP Equity_DX_SI_MV,ALMLB FP Equity_DX_DSS,ALMLB FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMLB FP Equity_DX_SUPPLY_SI_QTY,ALMLB FP Equity_DX_BROKER_SI_QTY,ALMLB FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMLB FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMLB FP Equity_DX_BROKER_SI_MV_INC_x,ALMLB FP Equity_DX_BROKER_SI_QTY_ADD,ALMLB FP Equity_DX_SUPPLY_SI_MV_DEC,ALMLB FP Equity_DX_BROKER_SI_QTY_INC,ALMLB FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMLB FP Equity_DX_BROKER_SI_MV_INC_y,ALMLB FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMLB FP Equity_DX_BROKER_SI_MV_ADD,ALMLB FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMLB FP Equity_DX_BROKER_SI_QTY_DEC,ALMLB FP Equity_DX_SUPPLY_SI_MV,ALMLB FP Equity_DX_BROKER_SI_MV_DEC,ALMLB FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMLB FP Equity_DX_UTILIZATION_QUANTITY,ALMLB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMLB FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMLB FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMLB FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMLB FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMLB FP Equity_DX_BROKER_SI_CON_RATIO,ALMLB FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMLB FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-07-20,2995.0,17550.7,0.1,0.19,0.06,0.02,0.0,17550.7,2995.0,2995.0,17550.7,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-07-21,2995.0,18149.7,0.1,0.19,0.06,0.02,0.0,18149.7,2995.0,2995.0,18149.7,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-07-22,3395.0,20370.0,0.12,0.21,0.07,0.02,0.0,19170.0,3195.0,3195.0,19170.0,,,200.0,,,,,,0.0,200.0,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.87,0.7908,88.13,1.0
2021-07-23,3395.0,20370.0,0.12,0.21,0.07,0.02,0.0,19170.0,3195.0,3195.0,19170.0,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.78,0.7921,88.22,1.0
2021-07-26,3395.0,20777.4,0.12,0.21,0.07,0.02,0.0,19553.4,3195.0,3195.0,19553.4,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.57,0.7953,88.43,1.0
2021-07-27,3395.0,20641.6,0.12,0.2,0.07,0.02,0.0,19425.6,3195.0,3195.0,19425.6,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.84,0.7912,88.16,1.0
2021-07-28,3395.0,21049.0,0.12,0.21,0.07,0.02,0.0,19809.0,3195.0,3195.0,19809.0,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.62,0.7947,88.38,1.0
2021-07-29,3395.0,22203.3,0.12,0.21,0.07,0.02,0.0,20895.3,3195.0,3195.0,20895.3,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.24,0.8004,88.76,1.0
2021-07-30,3595.0,23583.2,0.12,0.22,0.07,0.02,0.0,21615.2,3295.0,3295.0,21615.2,100.0,0.0,,,100.0,,0.0,100.0,,,,0.02,,100.0,91.66,0.0,0.0,0.0,100.0,16.66,0.7223,83.34,1.0
2021-08-02,3595.0,23655.1,0.12,0.22,0.07,0.02,0.0,1974.0,3295.0,300.0,21681.1,,,,,,,,,,,2995.0,0.02,0.02,100.0,91.66,0.0,0.0,0.0,100.0,16.67,0.7222,83.33,1.0
2021-08-03,600.0,4116.0,0.02,0.04,0.01,0.0,0.0,2058.0,300.0,300.0,2058.0,,,,0.02,,2995.0,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-04,600.0,4068.0,0.02,0.04,0.01,0.0,0.0,2034.0,300.0,300.0,2034.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-05,600.0,4128.0,0.02,0.04,0.01,0.0,0.0,2064.0,300.0,300.0,2064.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-06,600.0,4080.0,0.02,0.04,0.01,0.0,0.0,2040.0,300.0,300.0,2040.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-09,600.0,3900.0,0.02,0.04,0.01,0.0,0.0,1950.0,300.0,300.0,1950.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-10,600.0,3720.0,0.02,0.04,0.01,0.0,0.0,1860.0,300.0,300.0,1860.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-11,600.0,3648.0,0.02,0.04,0.01,0.0,0.0,1824.0,300.0,300.0,1824.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-12,300.0,1836.0,0.01,0.02,0.01,0.0,0.0,0.0,300.0,0.0,1836.0,,,,,,,,,,,300.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.5
2021-08-13,2998.0,18707.52,0.1,0.19,0.06,0.02,0.0,18707.52,2998.0,2998.0,18707.52,,,2998.0,0.0,,300.0,,,0.02,2998.0,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-16,2998.0,18467.68,0.1,0.2,0.06,0.02,0.0,18467.68,2998.0,2998.0,18467.68,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-17,2998.0,18527.64,0.09,0.2,0.06,0.02,0.0,18527.64,2998.0,2998.0,18527.64,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-18,2998.0,19786.8,0.09,0.2,0.06,0.02,0.0,19786.8,2998.0,2998.0,19786.8,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-19,2998.0,18767.48,0.09,0.2,0.06,0.02,0.0,18767.48,2998.0,2998.0,18767.48,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-20,2998.0,18467.68,0.09,0.26,0.06,0.02,0.0,18467.68,2998.0,2998.0,18467.68,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-23,5996.0,35976.0,0.19,0.52,0.11,0.04,0.0,17988.0,2998.0,2998.0,17988.0,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2021-08-25,2998.0,18887.4,0.09,0.36,0.06,0.02,0.0,18887.4,2998.0,2998.0,18887.4,,,2998.0,,,,,,0.02,2998.0,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-26,2998.0,18947.36,0.09,0.39,0.06,0.02,0.0,18947.36,2998.0,2998.0,18947.36,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-27,2998.0,18647.56,0.09,0.44,0.06,0.02,0.0,18647.56,2998.0,2998.0,18647.56,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-30,2998.0,18167.88,0.09,0.45,0.06,0.02,0.0,18167.88,2998.0,2998.0,18167.88,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-08-31,2998.0,18347.76,0.09,0.47,0.06,0.02,0.0,18347.76,2998.0,2998.0,18347.76,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-01,4398.0,27003.72,0.14,0.73,0.08,0.03,0.0,22705.72,3698.0,3698.0,22705.72,,,700.0,,,,,,0.0,700.0,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.76,0.5665,68.24,1.0
2021-09-02,4398.0,26827.8,0.14,0.76,0.08,0.03,0.0,22557.8,3698.0,3698.0,22557.8,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.97,0.565,68.03,1.0
2021-09-03,4398.0,26651.88,0.14,0.77,0.08,0.03,0.0,22409.88,3698.0,3698.0,22409.88,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.98,0.565,68.02,1.0
2021-09-06,4398.0,26651.88,0.14,0.77,0.08,0.03,0.0,22409.88,3698.0,3698.0,22409.88,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.83,0.566,68.17,1.0
2021-09-07,4398.0,26827.8,0.14,0.84,0.08,0.03,0.0,22557.8,3698.0,3698.0,22557.8,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.69,0.5671,68.31,1.0
2021-09-08,4398.0,27795.36,0.14,0.86,0.08,0.03,0.0,23371.36,3698.0,3698.0,23371.36,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.07,0.5717,68.93,1.0
2021-09-09,4398.0,27179.64,0.14,0.88,0.08,0.03,0.0,22853.64,3698.0,3698.0,22853.64,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,32.32,0.5625,67.68,1.0
2021-09-10,4398.0,26388.0,0.14,0.93,0.08,0.03,0.0,22188.0,3698.0,3698.0,22188.0,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,32.48,0.5614,67.52,1.0
2021-09-13,4398.0,24189.0,0.14,0.8,0.08,0.02,0.0,20339.0,3698.0,3698.0,20339.0,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,33.75,0.5528,66.25,1.0
2021-09-14,4398.0,24628.8,0.14,0.68,0.08,0.02,0.0,20708.8,3698.0,3698.0,20708.8,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,31.44,0.5689,68.56,1.0
2021-09-15,4398.0,26388.0,0.14,0.68,0.08,0.03,0.0,22188.0,3698.0,3698.0,22188.0,,,,,,,,,,,,0.02,,100.0,84.08,0.0,0.0,0.0,100.0,30.35,0.5772,69.65,1.0
2021-09-16,2998.0,18227.84,0.09,0.46,0.06,0.02,0.0,18227.84,2998.0,2998.0,18227.84,,,,0.0,,700.0,,,,,700.0,0.02,0.0,100.0,90.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.909
2021-09-17,2998.0,18167.88,0.09,0.46,0.06,0.02,0.0,18167.88,2998.0,2998.0,18167.88,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-20,2998.0,17868.08,0.09,0.47,0.06,0.02,0.0,17868.08,2998.0,2998.0,17868.08,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-21,2998.0,18107.92,0.09,0.48,0.06,0.02,0.0,18107.92,2998.0,2998.0,18107.92,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-22,2998.0,18947.36,0.09,0.52,0.06,0.02,0.0,18947.36,2998.0,2998.0,18947.36,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-23,2998.0,18767.48,0.09,0.45,0.06,0.02,0.0,18767.48,2998.0,2998.0,18767.48,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-24,2998.0,18887.4,0.09,0.45,0.06,0.02,0.0,18887.4,2998.0,2998.0,18887.4,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-27,2998.0,18587.6,0.09,0.46,0.06,0.02,0.0,18587.6,2998.0,2998.0,18587.6,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-09-28,3998.0,24867.56,0.12,0.6,0.08,0.02,0.0,21757.56,3498.0,3498.0,21757.56,,,500.0,,,,,,0.0,500.0,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.95,0.6255,75.05,1.0
2021-09-29,3998.0,24467.76,0.12,0.6,0.08,0.02,0.0,21407.76,3498.0,3498.0,21407.76,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.32,0.6218,74.68,1.0
2021-09-30,3998.0,24627.68,0.12,0.63,0.08,0.02,0.0,21547.68,3498.0,3498.0,21547.68,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.89,0.6261,75.11,1.0
2021-10-01,3998.0,24467.76,0.12,0.66,0.08,0.02,0.0,21407.76,3498.0,3498.0,21407.76,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.13,0.6237,74.87,1.0
2021-10-04,3998.0,24227.88,0.12,0.65,0.08,0.02,0.0,21197.88,3498.0,3498.0,21197.88,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.2,0.623,74.8,1.0
2021-10-05,3998.0,25187.4,0.12,0.64,0.08,0.02,0.0,22037.4,3498.0,3498.0,22037.4,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.29,0.6322,75.71,1.0
2021-10-06,3998.0,24867.56,0.12,0.6,0.08,0.02,0.0,21757.56,3498.0,3498.0,21757.56,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.25,0.6225,74.75,1.0
2021-10-07,3998.0,24147.92,0.12,0.59,0.08,0.02,0.0,21127.92,3498.0,3498.0,21127.92,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.57,0.6194,74.43,1.0
2021-10-08,3998.0,24787.6,0.12,0.58,0.08,0.02,0.0,21687.6,3498.0,3498.0,21687.6,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.53,0.6298,75.47,1.0
2021-10-11,3998.0,24307.84,0.12,0.57,0.08,0.02,0.0,21267.84,3498.0,3498.0,21267.84,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.38,0.6212,74.62,1.0
2021-10-12,3998.0,24467.76,0.12,0.58,0.08,0.02,0.0,21407.76,3498.0,3498.0,21407.76,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.89,0.6261,75.11,1.0
2021-10-13,3998.0,24147.92,0.12,0.58,0.08,0.02,0.0,21127.92,3498.0,3498.0,21127.92,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.26,0.6224,74.74,1.0
2021-10-14,3998.0,23988.0,0.12,0.59,0.08,0.02,0.0,20988.0,3498.0,3498.0,20988.0,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.14,0.6236,74.86,1.0
2021-10-15,3998.0,23988.0,0.12,0.58,0.08,0.02,0.0,20988.0,3498.0,3498.0,20988.0,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.01,0.6249,74.99,1.0
2021-10-18,3998.0,23588.2,0.12,0.58,0.08,0.02,0.0,20638.2,3498.0,3498.0,20638.2,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.33,0.6217,74.67,1.0
2021-10-19,3998.0,23748.12,0.12,0.58,0.08,0.02,0.0,20778.12,3498.0,3498.0,20778.12,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.89,0.6261,75.11,1.0
2021-10-20,3998.0,22788.6,0.12,0.59,0.07,0.02,0.0,19938.6,3498.0,3498.0,19938.6,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.79,0.6172,74.21,1.0
2021-10-21,3998.0,22948.52,0.12,0.58,0.07,0.02,0.0,20078.52,3498.0,3498.0,20078.52,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.88,0.6262,75.12,1.0
2021-10-22,3998.0,21349.32,0.12,0.57,0.07,0.02,0.0,18679.32,3498.0,3498.0,18679.32,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,26.39,0.6115,73.61,1.0
2021-10-25,3998.0,21509.24,0.12,0.58,0.07,0.02,0.0,18819.24,3498.0,3498.0,18819.24,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.87,0.6263,75.13,1.0
2021-10-26,2998.0,15889.4,0.09,0.51,0.06,0.02,0.0,15889.4,2998.0,2998.0,15889.4,,,,0.0,,500.0,,,,,500.0,0.02,0.0,100.0,96.77,0.0,0.0,0.0,100.0,,1.0,100.0,0.9677
2021-10-27,2998.0,16249.16,0.09,0.53,0.06,0.02,0.0,16249.16,2998.0,2998.0,16249.16,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-10-28,2998.0,16369.08,0.09,0.5,0.06,0.02,0.0,16369.08,2998.0,2998.0,16369.08,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-10-29,2998.0,16009.32,0.09,0.5,0.06,0.02,0.0,16009.32,2998.0,2998.0,16009.32,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-11-01,3998.0,21189.4,0.12,0.66,0.07,0.02,0.0,18539.4,3498.0,3498.0,18539.4,,,500.0,,,,,,0.0,500.0,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.15,0.6235,74.85,1.0
2021-11-02,3998.0,21189.4,0.12,0.67,0.07,0.02,0.0,18539.4,3498.0,3498.0,18539.4,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.01,0.6249,74.99,1.0
2021-11-03,3998.0,21109.44,0.12,0.66,0.07,0.02,0.0,18469.44,3498.0,3498.0,18469.44,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.08,0.6242,74.92,1.0
2021-11-04,3998.0,21269.36,0.12,0.76,0.07,0.02,0.0,18609.36,3498.0,3498.0,18609.36,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,24.87,0.6263,75.13,1.0
2021-11-05,3998.0,21109.44,0.12,0.77,0.07,0.02,0.0,18469.44,3498.0,3498.0,18469.44,,,,,,,,,,,,0.02,,100.0,87.49,0.0,0.0,0.0,100.0,25.08,0.6242,74.92,1.0
2021-11-08,2998.0,15589.6,0.09,0.57,0.06,0.02,0.0,15589.6,2998.0,2998.0,15589.6,,,,0.0,,500.0,,,,,500.0,0.02,0.0,100.0,96.77,0.0,0.0,0.0,100.0,,1.0,100.0,0.9677
2021-11-09,2998.0,15589.6,0.09,0.56,0.06,0.02,0.0,15589.6,2998.0,2998.0,15589.6,,,,,,,,,,,,0.02,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-11-10,3198.0,16309.8,0.09,0.59,0.06,0.02,0.0,15799.8,3098.0,3098.0,15799.8,,,100.0,,,,,,0.0,100.0,,0.02,,100.0,96.87,0.0,0.0,0.0,100.0,6.37,0.8807,93.63,1.0
2021-11-11,3198.0,16501.68,0.09,0.59,0.06,0.02,0.0,15985.68,3098.0,3098.0,15985.68,,,,,,,,,,,,0.02,,100.0,96.87,0.0,0.0,0.0,100.0,6.19,0.8839,93.81,1.0
2021-11-12,3198.0,17205.24,0.09,0.57,0.06,0.02,0.0,16667.24,3098.0,3098.0,16667.24,,,,,,,,,,,,0.02,,100.0,96.87,0.0,0.0,0.0,100.0,6.01,0.887,93.99,1.0
2021-11-15,3198.0,18228.6,0.09,0.57,0.06,0.02,0.0,17658.6,3098.0,3098.0,17658.6,,,,,,,,,,,,0.02,,100.0,96.87,0.0,0.0,0.0,100.0,5.92,0.8885,94.08,1.0
2021-11-16,3198.0,17780.88,0.09,0.56,0.06,0.02,0.0,17224.88,3098.0,3098.0,17224.88,,,,,,,,,,,,0.02,,100.0,96.87,0.0,0.0,0.0,100.0,6.4,0.8802,93.6,1.0
2021-11-17,3198.0,17461.08,0.09,0.63,0.06,0.02,0.0,16915.08,3098.0,3098.0,16915.08,,,,,,,,,,,,0.02,,100.0,96.87,0.0,0.0,0.0,100.0,6.36,0.8809,93.64,1.0
2021-11-18,3398.0,19436.56,0.1,0.66,0.06,0.02,0.0,18292.56,3198.0,3198.0,18292.56,100.0,0.0,,,100.0,,0.0,100.0,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.3,0.7996,88.7,1.0
2021-11-19,3398.0,19368.6,0.1,0.67,0.06,0.02,0.0,18228.6,3198.0,3198.0,18228.6,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.81,0.7917,88.19,1.0
2021-11-22,3398.0,19028.8,0.1,0.67,0.06,0.02,0.0,17908.8,3198.0,3198.0,17908.8,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.96,0.7895,88.04,1.0
2021-11-23,3398.0,19028.8,0.1,0.68,0.06,0.02,0.0,17908.8,3198.0,3198.0,17908.8,,,,,,,,,,,,0.02,,100.0,94.11,0.0,0.0,0.0,100.0,11.77,0.7923,88.23,1.0
2021-11-24,987.0,5527.2,0.03,0.2,0.02,0.01,0.0,4407.2,787.0,787.0,4407.2,,,,0.01,,2411.0,,,,,2411.0,0.0,0.01,100.0,79.74,0.0,0.0,0.0,100.0,40.53,0.5179,59.47,1.0
2021-11-25,987.0,5704.86,0.03,0.2,0.02,0.01,0.0,4548.86,787.0,787.0,4548.86,,,,,,,,,,,,0.0,,100.0,79.74,0.0,0.0,0.0,100.0,39.77,0.5209,60.23,1.0
2021-11-26,987.0,5389.02,0.03,0.2,0.02,0.01,0.0,4297.02,787.0,787.0,4297.02,,,,,,,,,,,,0.0,,100.0,79.74,0.0,0.0,0.0,100.0,41.43,0.5147,58.57,1.0
2021-11-29,400.0,2104.0,0.01,0.08,0.01,0.0,0.0,1052.0,200.0,200.0,1052.0,,,,0.0,,587.0,,,,,587.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-11-30,400.0,2040.0,0.01,0.07,0.01,0.0,0.0,1020.0,200.0,200.0,1020.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-01,400.0,2080.0,0.01,0.07,0.01,0.0,0.0,1040.0,200.0,200.0,1040.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-02,400.0,2096.0,0.01,0.08,0.01,0.0,0.0,1048.0,200.0,200.0,1048.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-03,400.0,2024.0,0.01,0.08,0.01,0.0,0.0,1012.0,200.0,200.0,1012.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-06,400.0,2072.0,0.01,0.09,0.01,0.0,0.0,1036.0,200.0,200.0,1036.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-07,400.0,2040.0,0.01,0.1,0.01,0.0,0.0,1020.0,200.0,200.0,1020.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-08,400.0,2080.0,0.01,0.09,0.01,0.0,0.0,1040.0,200.0,200.0,1040.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-09,400.0,2080.0,0.01,0.11,0.01,0.0,0.0,1040.0,200.0,200.0,1040.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-10,400.0,2120.0,0.01,0.1,0.01,0.0,0.0,1060.0,200.0,200.0,1060.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-13,400.0,2144.0,0.01,0.1,0.01,0.0,0.0,1072.0,200.0,200.0,1072.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-14,400.0,2144.0,0.01,0.1,0.01,0.0,0.0,1072.0,200.0,200.0,1072.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-15,400.0,2144.0,0.01,0.1,0.01,0.0,0.0,1072.0,200.0,200.0,1072.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,200.0,,,,,200.0,0.0,0.0,0.0,0.0,100.0,536.0,0.0,0.0,,0.0,,0.0
2021-12-20,400.0,2072.0,0.01,0.1,0.01,0.0,0.0,1036.0,200.0,200.0,1036.0,,,200.0,,,,,,0.0,200.0,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-21,400.0,2072.0,0.01,0.1,0.01,0.0,0.0,1036.0,200.0,200.0,1036.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-22,400.0,2032.0,0.01,0.1,0.01,0.0,0.0,1016.0,200.0,200.0,1016.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-23,400.0,2008.0,0.01,0.1,0.01,0.0,0.0,1004.0,200.0,200.0,1004.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-24,400.0,2056.0,0.01,0.11,0.01,0.0,0.0,1028.0,200.0,200.0,1028.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2021-12-27,400.0,2104.0,0.01,0.1,0.01,0.0,0.0,1052.0,200.0,200.0,1052.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-01-11,400.0,2056.0,0.01,0.1,0.01,0.0,0.0,1028.0,200.0,200.0,1028.0,,,200.0,,,,,,0.0,200.0,,0.0,,50.0,50.0,200.0,1028.0,0.0,47.62,,1.0,100.0,1.0
