,ALAGO FP Equity_DX_SI_QTY,ALAGO FP Equity_DX_SHORT_INTEREST_VALUE,ALAGO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALAGO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALAGO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALAGO FP Equity_DX_SI_MV,ALAGO FP Equity_DX_DSS,ALAGO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALAGO FP Equity_DX_SUPPLY_SI_QTY,ALAGO FP Equity_DX_BROKER_SI_QTY,ALAGO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALAGO FP Equity_DX_BROKER_SI_MV_NEW_x,ALAGO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALAGO FP Equity_DX_BROKER_SI_MV_INC_x,ALAGO FP Equity_DX_BROKER_SI_QTY_ADD,ALAGO FP Equity_DX_BROKER_SI_QTY_NEW,ALAGO FP Equity_DX_SUPPLY_SI_MV_DEC,ALAGO FP Equity_DX_BROKER_SI_QTY_INC,ALAGO FP Equity_DX_SUPPLY_SI_QTY_DEC,ALAGO FP Equity_DX_BROKER_SI_MV_NEW_y,ALAGO FP Equity_DX_BROKER_SI_MV_INC_y,ALAGO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALAGO FP Equity_DX_BROKER_SI_MV_ADD,ALAGO FP Equity_DX_SUPPLY_SI_QTY_ADD,ALAGO FP Equity_DX_BROKER_SI_QTY_DEC,ALAGO FP Equity_DX_SUPPLY_SI_MV,ALAGO FP Equity_DX_BROKER_SI_MV_DEC,ALAGO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALAGO FP Equity_DX_UTILIZATION_QUANTITY,ALAGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALAGO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALAGO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALAGO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALAGO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALAGO FP Equity_DX_BROKER_SI_CON_RATIO,ALAGO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALAGO FP Equity_DX_DEMAND_SUPPLY_RATIO,ALAGO FP Equity_PX_LAST
2022-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,108.5,0.0,0.0,,0.0,,0.0,0.434
2022-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,108.0,0.0,0.0,,0.0,,0.0,0.432
2022-10-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,108.0,0.0,0.0,,0.0,,0.0,0.432
2022-10-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,107.5,0.0,0.0,,0.0,,0.0,0.43
2022-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,107.5,0.0,0.0,,0.0,,0.0,0.43
2022-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,107.5,0.0,0.0,,0.0,,0.0,0.43
2022-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,100.0,0.0,0.0,,0.0,,0.0,0.4
2022-10-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,100.25,0.0,0.0,,0.0,,0.0,0.401
2022-10-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,120.0,0.0,0.0,,0.0,,0.0,0.48
2022-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,125.5,0.0,0.0,,0.0,,0.0,0.502
2022-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,124.0,0.0,0.0,,0.0,,0.0,0.496
2022-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,100.75,0.0,0.0,,0.0,,0.0,0.403
2022-10-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,107.5,0.0,0.0,,0.0,,0.0,0.43
2022-10-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,111.75,0.0,0.0,,0.0,,0.0,0.447
2022-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,113.5,0.0,0.0,,0.0,,0.0,0.454
2022-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,125.0,0.0,0.0,,0.0,,0.0,0.5
2022-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,286.25,0.0,0.0,,0.0,,0.0,1.145
2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,532.5,0.0,0.0,,0.0,,0.0,2.13
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,440.0,0.0,0.0,,0.0,,0.0,1.76
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,250.0,375.0,0.0,0.0,,0.0,,0.0,1.5
2022-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,21124.0,28094.92,0.03,0.0,,0.0,,0.0,1.33
2022-11-07,203872.0,309885.44,3.96,2.22,3.96,0.29,1.0,154942.72,101936.0,101936.0,154942.72,,,,101936.0,,,,,,,,0.15,101936.0,,0.14,,81.23,81.23,23550.0,35796.0,0.04,78.24,,1.0,100.0,1.6247,1.52
2022-11-08,203872.0,266052.96,3.96,2.07,3.96,0.29,1.0,133026.48,101936.0,101936.0,133026.48,,,,,,,,,,,,,,,0.15,,81.23,81.23,23550.0,30732.75,0.04,78.16,,1.0,100.0,1.6247,1.305
2022-11-09,203872.0,240568.96,3.96,2.01,3.96,0.25,1.0,120284.48,101936.0,101936.0,120284.48,,,,,,,,,,,,,,,0.13,,81.23,81.23,23550.0,27789.0,0.04,77.98,,1.0,100.0,1.6247,1.18
2022-11-10,203872.0,246685.12,3.96,1.97,3.96,0.24,1.0,123342.56,101936.0,101936.0,123342.56,,,,,,,,,,,,,,,0.12,,81.23,81.23,23550.0,28495.5,0.05,72.04,,1.0,100.0,1.6247,1.21
2022-11-11,203872.0,223239.84,3.96,1.87,3.96,0.24,1.0,111619.92,101936.0,101936.0,111619.92,,,,,,,,,,,,,,,0.12,,79.34,79.34,26550.0,29072.25,0.05,72.01,,1.0,100.0,1.5867,1.095
2022-11-14,203872.0,207949.44,3.96,1.84,3.96,0.22,1.0,103974.72,101936.0,101936.0,103974.72,,,,,,,,,,,,,,,0.11,,78.72,78.72,27550.0,28101.0,0.06,65.72,,1.0,100.0,1.5745,1.02
2022-11-15,203872.0,307846.72,3.96,1.81,3.96,0.26,1.0,153923.36,101936.0,101936.0,153923.36,,,,,,,,,,,,,,,0.1,,80.59,80.59,24550.0,37070.5,0.03,77.49,,1.0,100.0,1.6118,1.51
2022-11-16,203872.0,269111.04,3.96,1.6,3.96,0.29,1.0,134555.52,101936.0,101936.0,134555.52,,,,,,,,,,,,,,,0.15,,80.59,80.59,24550.0,32406.0,0.04,77.5,,1.0,100.0,1.6118,1.32
2022-11-17,203872.0,245665.76,3.96,1.53,3.96,0.28,1.0,122832.88,101936.0,101936.0,122832.88,,,,,,,,,,,,,,,0.15,,80.59,80.59,24550.0,29582.75,0.04,79.26,,1.0,100.0,1.6118,1.205
2022-11-18,203872.0,285420.8,3.96,1.51,3.96,0.3,1.0,142710.4,101936.0,101936.0,142710.4,,,,,,,,,,,,,,,0.15,,80.59,80.59,24550.0,34370.0,0.04,80.55,,1.0,100.0,1.6118,1.4
2022-11-21,203872.0,303769.28,3.96,1.43,3.96,0.29,1.0,151884.64,101936.0,101936.0,151884.64,,,,,,,,,,,,,,,0.14,,80.59,80.59,24550.0,36579.5,0.04,77.31,,1.0,100.0,1.6118,1.49
2022-11-22,203872.0,326195.2,3.96,1.41,3.96,0.32,1.0,163097.6,101936.0,101936.0,163097.6,,,,,,,,,,,,,,,0.15,,80.59,80.59,24550.0,39280.0,0.04,77.56,,1.0,100.0,1.6118,1.6
2022-11-23,101936.0,176349.28,1.98,0.68,1.98,0.16,1.0,0.0,101936.0,0.0,176349.28,,,,,,,,,,,,,,101936.0,0.16,0.16,80.59,80.59,24550.0,42471.5,0.05,77.62,,1.0,100.0,0.8059,1.73
2022-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.16,,101936.0,,,,,,,0.0,,0.0,0.0,24550.0,38052.5,0.04,0.0,,0.0,,0.0,1.55
2022-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24550.0,41980.5,0.04,0.0,,0.0,,0.0,1.71
2022-11-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24550.0,41612.25,0.04,0.0,,0.0,,0.0,1.695
2022-11-29,168334.0,268492.73,3.27,1.05,3.27,0.28,1.0,134246.37,84167.0,84167.0,134246.37,,,,84167.0,,,,,,,,0.13,84167.0,,0.14,,77.42,77.42,24550.0,39157.25,0.05,74.43,,1.0,100.0,1.5484,1.595
2022-11-30,168334.0,257551.02,3.27,1.04,3.27,0.26,1.0,128775.51,84167.0,84167.0,128775.51,,,,,,,,,,,,,,,0.13,,77.42,77.42,24550.0,37561.5,0.05,74.61,,1.0,100.0,1.5484,1.53
2022-12-01,168334.0,237350.94,3.27,1.07,3.27,0.25,1.0,118675.47,84167.0,84167.0,118675.47,,,,,,,,,,,,,,,0.13,,77.42,77.42,24550.0,34615.5,0.04,74.88,,1.0,100.0,1.5484,1.41
2022-12-02,168334.0,235667.6,3.27,1.1,3.27,0.24,1.0,117833.8,84167.0,84167.0,117833.8,,,,,,,,,,,,,,,0.12,,77.42,77.42,24550.0,34370.0,0.05,69.95,,1.0,100.0,1.5484,1.4
2022-12-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.12,,84167.0,,,,,,84167.0,0.0,0.12,0.0,0.0,24550.0,33879.0,0.03,0.0,,0.0,,0.0,1.38
2022-12-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24550.0,31301.25,0.03,0.0,,0.0,,0.0,1.275
2022-12-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,32422.5,0.03,0.0,,0.0,,0.0,1.31
2022-12-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,33907.5,0.03,0.0,,0.0,,0.0,1.37
2022-12-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,32670.0,0.03,0.0,,0.0,,0.0,1.32
2022-12-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,32175.0,0.03,0.0,,0.0,,0.0,1.3
2022-12-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,32546.25,0.03,0.0,,0.0,,0.0,1.315
2022-12-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,31308.75,0.03,0.0,,0.0,,0.0,1.265
2022-12-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,29081.25,0.03,0.0,,0.0,,0.0,1.175
2022-12-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,28710.0,0.03,0.0,,0.0,,0.0,1.16
2022-12-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,27720.0,0.03,0.0,,0.0,,0.0,1.12
2022-12-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,29700.0,0.03,0.0,,0.0,,0.0,1.2
2022-12-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,32422.5,0.03,0.0,,0.0,,0.0,1.31
2022-12-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,38238.75,0.03,0.0,,0.0,,0.0,1.545
2022-12-23,215800.0,301041.0,4.19,3.12,4.19,0.32,1.0,150520.5,107900.0,107900.0,150520.5,,,,107900.0,,,,,,,,0.15,107900.0,,0.17,,81.34,81.34,24750.0,34526.25,0.04,81.39,,1.0,100.0,1.6268,1.395
2022-12-26,215800.0,301041.0,4.19,3.21,4.19,0.32,1.0,150520.5,107900.0,107900.0,150520.5,,,,,,,,,,,,,,,0.17,,81.34,81.34,24750.0,34526.25,0.03,82.87,,1.0,100.0,1.6268,
2022-12-27,215800.0,304278.0,4.19,3.21,4.19,0.3,1.0,152139.0,107900.0,107900.0,152139.0,,,,,,,,,,,,,,,0.15,,81.34,81.34,24750.0,34897.5,0.04,78.2,,1.0,100.0,1.6268,1.41
2022-12-28,107900.0,144586.0,2.1,1.64,2.1,0.15,1.0,0.0,107900.0,0.0,144586.0,,,,,,,,,,,,,,107900.0,0.15,0.15,81.34,81.34,24750.0,33165.0,0.04,78.11,,1.0,100.0,0.8134,1.34
2022-12-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.15,,107900.0,,,,,,,0.0,,0.0,0.0,24750.0,36753.75,0.03,0.0,,0.0,,0.0,1.485
2022-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,45787.5,0.04,0.0,,0.0,,0.0,1.85
2023-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,49500.0,0.05,0.0,,0.0,,0.0,2.0
2023-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,55935.0,0.05,0.0,,0.0,,0.0,2.26
2023-01-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,49995.0,0.06,0.0,,0.0,,0.0,2.02
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,39600.0,0.05,0.0,,0.0,,0.0,1.6
2023-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,39847.5,0.04,0.0,,0.0,,0.0,1.61
2023-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,24750.0,41827.5,0.04,0.0,,0.0,,0.0,1.69
2023-01-10,262.0,544.96,0.01,0.01,0.01,0.0,0.0,272.48,131.0,131.0,272.48,,,,131.0,,,,,,,,0.0,131.0,,0.0,,0.53,0.53,24750.0,51480.0,0.04,0.53,,1.0,100.0,0.0105,2.08
2023-01-11,262.0,537.1,0.01,0.01,0.01,0.0,0.0,268.55,131.0,131.0,268.55,,,,,,,,,,,,,,,0.0,,0.53,0.53,24750.0,50737.5,0.05,0.53,,1.0,100.0,0.0105,2.05
2023-01-12,83960.0,161203.2,1.63,1.61,1.63,0.17,1.0,80601.6,41980.0,41980.0,80601.6,,41849.0,0.08,316.0,,,41533.0,,,0.08,41849.0,0.0,,,0.09,,62.91,62.91,24750.0,47520.0,0.05,61.17,0.78,0.9846,99.22,1.2582,1.92
2023-01-13,83960.0,152807.2,1.63,1.62,1.63,0.16,1.0,76403.6,41980.0,41980.0,76403.6,,,,,,,,,,,,,,,0.08,,62.66,62.66,25016.0,45529.12,0.06,58.3,0.77,0.9847,99.23,1.2532,1.82
2023-01-16,83829.0,167658.0,1.63,1.63,1.63,0.16,1.0,83698.0,41980.0,41849.0,83960.0,,,,,,,,,,,,,,131.0,0.08,0.0,62.66,62.66,25016.0,50032.0,0.05,60.74,0.72,0.9857,99.28,1.2513,2.0
2023-01-17,83698.0,175765.8,1.63,1.64,1.63,0.17,1.0,87882.9,41849.0,41849.0,87882.9,,,,,,0.0,,131.0,,,,,,,0.08,,62.59,62.59,25016.0,52533.6,0.05,60.63,0.74,0.9854,99.26,1.2517,2.1
2023-01-18,83698.0,174091.84,1.63,1.6,1.63,0.17,1.0,87045.92,41849.0,41849.0,87045.92,,,,,,,,,,,,,,,0.09,,62.59,62.59,25016.0,52033.28,0.06,60.68,0.76,0.9849,99.24,1.2517,2.08
2023-01-19,83698.0,179113.72,1.63,1.65,1.63,0.18,1.0,89556.86,41849.0,41849.0,89556.86,,,,,,,,,,,,,,,0.09,,62.59,62.59,25016.0,53534.24,0.06,60.69,0.74,0.9852,99.26,1.2517,2.14
2023-01-20,83066.0,172777.28,1.61,1.65,1.61,0.18,1.0,86388.64,41533.0,41533.0,86388.64,,,,,,0.0,,316.0,,,,,,316.0,0.09,0.0,61.2,61.2,26332.0,54770.56,0.06,60.57,,1.0,100.0,1.224,2.08
2023-01-23,83066.0,165301.34,1.61,1.64,1.61,0.17,1.0,82650.67,41533.0,41533.0,82650.67,,,,,,,,,,,,,,,0.09,,61.2,61.2,26332.0,52400.68,0.06,59.45,,1.0,100.0,1.224,1.99
2023-01-24,83066.0,216802.26,1.61,1.62,1.61,0.19,1.0,108401.13,41533.0,41533.0,108401.13,,,,,,,,,,,,,,,0.08,,61.2,61.2,26332.0,68726.52,0.06,57.77,,1.0,100.0,1.224,2.61
2023-01-25,83066.0,248367.34,1.61,1.44,1.61,0.23,1.0,124183.67,41533.0,41533.0,124183.67,,,,,,,,,,,,,,,0.11,,61.49,61.49,26016.0,77787.84,0.07,59.73,,1.0,100.0,1.2297,2.99
2023-01-26,41579.0,111015.93,0.81,0.62,0.81,0.12,0.0,122.82,41533.0,46.0,110893.11,,,,,,,,,,,,,,41487.0,0.12,0.12,61.49,61.49,26016.0,69462.72,0.08,61.46,,1.0,100.0,0.6155,2.67
2023-01-27,92.0,257.6,0.0,0.0,0.0,0.0,0.0,128.8,46.0,46.0,128.8,,,,,,0.12,,41487.0,,,,,,,0.0,,0.07,0.07,67503.0,189008.4,0.18,0.07,,1.0,100.0,0.0014,2.8
2023-01-30,92.0,268.64,0.0,0.0,0.0,0.0,0.0,134.32,46.0,46.0,134.32,,,,,,,,,,,,,,,0.0,,0.18,0.18,26016.0,75966.72,0.07,0.18,,1.0,100.0,0.0035,2.92
2023-01-31,46.0,122.82,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,122.82,,,,,,,,,,,,,,46.0,0.0,0.0,0.18,0.18,26016.0,69462.72,0.08,0.18,,1.0,100.0,0.0018,2.67
2023-02-01,49310.0,123768.1,0.96,0.61,0.96,0.13,0.0,61884.05,24655.0,24655.0,61884.05,,24609.0,,24655.0,,,,,,,24609.0,0.06,,,0.07,,48.66,48.66,26016.0,65300.16,0.07,47.79,,1.0,100.0,0.9731,2.51
2023-02-02,49310.0,120316.4,0.96,0.6,0.96,0.12,0.0,60158.2,24655.0,24655.0,60158.2,,,,,,,,,,,,,,,0.06,,48.66,48.66,26016.0,63479.04,0.07,47.48,,1.0,100.0,0.9731,2.44
2023-02-03,49310.0,120809.5,0.96,0.59,0.96,0.12,0.0,60404.75,24655.0,24655.0,60404.75,,,,,,,,,,,,,,,0.06,,48.66,48.66,26016.0,63739.2,0.07,46.52,,1.0,100.0,0.9731,2.45
2023-02-06,54792.0,117802.8,1.06,0.66,1.06,0.13,1.0,58901.4,27396.0,27396.0,58901.4,,2741.0,,2741.0,,,,,,,2741.0,0.01,,,0.07,,51.29,51.29,26016.0,55934.4,0.07,49.71,10.59,0.8107,89.41,1.0258,2.15
2023-02-07,54792.0,109036.08,1.06,0.65,1.06,0.11,1.0,54518.04,27396.0,27396.0,54518.04,,,,,,,,,,,,,,,0.06,,51.29,51.29,26016.0,51771.84,0.07,46.58,10.35,0.8144,89.65,1.0258,1.99
2023-02-08,54792.0,111227.76,1.06,0.62,1.06,0.11,1.0,55613.88,27396.0,27396.0,55613.88,,,,,,,,,,,,,,,0.05,,51.29,51.29,26016.0,52812.48,0.05,50.07,9.92,0.8214,90.08,1.0258,2.03
2023-02-09,54792.0,110131.92,1.06,0.61,1.06,0.11,1.0,55065.96,27396.0,27396.0,55065.96,,,,,,,,,,,,,,,0.06,,51.29,51.29,26016.0,52292.16,0.06,49.99,10.05,0.8192,89.95,1.0258,2.01
2023-02-10,54792.0,110131.92,1.06,0.6,1.06,0.11,1.0,55065.96,27396.0,27396.0,55065.96,,,,,,,,,,,,,,,0.06,,50.28,50.28,27086.0,54442.86,0.06,48.62,10.01,0.8199,89.99,1.0057,2.01
2023-02-13,5482.0,13814.64,0.11,0.07,0.11,0.01,0.0,6907.32,2741.0,2741.0,6907.32,,,,,,0.05,,24655.0,,,,,,24655.0,0.01,0.05,9.19,9.19,27086.0,68256.72,0.05,9.22,,1.0,100.0,0.1838,2.52
2023-02-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.01,,2741.0,,,,,,2741.0,0.0,0.01,0.0,0.0,27086.0,76111.66,0.07,0.0,,0.0,,0.0,2.81
2023-02-15,2840.0,7526.0,0.06,0.03,0.06,0.01,0.0,7526.0,2840.0,2840.0,7526.0,,,,2840.0,,,,,,,,0.01,2840.0,,0.01,,100.0,9.49,0.0,0.0,0.0,100.0,,1.0,100.0,0.0949,2.65
2023-02-16,23084.0,49630.6,0.45,0.25,0.45,0.05,0.0,49630.6,23084.0,23084.0,49630.6,,20244.0,,20244.0,,,,,,,20244.0,0.04,,,0.06,,100.0,48.77,0.0,0.0,0.0,100.0,14.79,0.748,85.21,0.4877,2.15
2023-02-17,43328.0,88389.12,0.84,0.43,0.84,0.09,0.0,47091.36,23084.0,23084.0,47091.36,,,,,,,,,,,,,,,0.05,,100.0,88.73,0.0,0.0,0.0,100.0,6.75,0.8741,93.25,1.6654,2.04
2023-02-20,2840.0,5126.2,0.06,0.03,0.06,0.01,0.0,5126.2,2840.0,2840.0,5126.2,,,,,,0.04,,20244.0,,,,,,20244.0,0.01,0.04,100.0,10.92,0.0,0.0,0.0,100.0,,1.0,100.0,0.1092,1.805
2023-02-21,2840.0,5339.2,0.06,0.03,0.06,0.01,0.0,5339.2,2840.0,2840.0,5339.2,,,,,,,,,,,,,,,0.01,,100.0,10.45,0.0,0.0,0.0,100.0,,1.0,100.0,0.1045,1.88
2023-02-22,2840.0,5254.0,0.06,0.03,0.06,0.01,0.0,5254.0,2840.0,2840.0,5254.0,,,,,,,,,,,,,,,0.01,,100.0,10.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1062,1.85
2023-02-23,2840.0,4813.8,0.06,0.03,0.06,0.01,0.0,4813.8,2840.0,2840.0,4813.8,,,,,,,,,,,,,,,0.01,,100.0,10.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1062,1.695
2023-02-24,2840.0,4728.6,0.06,0.03,0.06,0.0,0.0,4728.6,2840.0,2840.0,4728.6,,,,,,,,,,,,,,,0.0,,100.0,10.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.102,1.665
2023-02-27,2840.0,5069.4,0.06,0.03,0.06,0.0,0.0,5069.4,2840.0,2840.0,5069.4,,,,,,,,,,,,,,,0.0,,100.0,10.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.102,1.785
2023-02-28,2840.0,5381.8,0.06,0.03,0.06,0.01,0.0,5381.8,2840.0,2840.0,5381.8,,,,,,,,,,,,,,,0.01,,100.0,10.2,0.0,0.0,0.0,100.0,,1.0,100.0,0.102,1.895
2023-03-01,88248.0,157963.92,1.71,0.86,1.71,0.16,1.0,81523.76,45544.0,45544.0,81523.76,,,,42704.0,,,,,,,,0.08,42704.0,,0.09,,100.0,64.56,0.0,0.0,0.0,100.0,3.32,0.9359,96.68,1.251,1.79
2023-03-02,88248.0,146050.44,1.71,0.86,1.71,0.15,1.0,75375.32,45544.0,45544.0,75375.32,,,,,,,,,,,,,,,0.08,,100.0,56.71,0.0,0.0,0.0,100.0,3.34,0.9354,96.66,1.0989,1.655
2023-03-03,88248.0,140755.56,1.71,0.86,1.71,0.14,1.0,72642.68,45544.0,45544.0,72642.68,,,,,,,,,,,,,,,0.08,,100.0,56.71,0.0,0.0,0.0,100.0,3.29,0.9365,96.71,1.0989,1.595
2023-03-06,88248.0,153551.52,1.71,0.86,1.71,0.15,1.0,79246.56,45544.0,45544.0,79246.56,,,,,,,,,,,,,,,0.07,,100.0,56.71,0.0,0.0,0.0,100.0,3.09,0.9401,96.91,1.0989,1.74
2023-03-07,88248.0,155316.48,1.71,0.85,1.71,0.15,1.0,80157.44,45544.0,45544.0,80157.44,,,,,,,,,,,,,,,0.08,,100.0,56.71,0.0,0.0,0.0,100.0,3.2,0.938,96.8,1.0989,1.76
2023-03-08,88248.0,147374.16,1.71,0.9,1.71,0.15,1.0,76058.48,45544.0,45544.0,76058.48,,,,,,,,,,,,,,,0.08,,100.0,56.71,0.0,0.0,0.0,100.0,3.3,0.9362,96.7,1.0989,1.67
2023-03-09,88248.0,160611.36,1.71,0.99,1.71,0.15,1.0,82890.08,45544.0,45544.0,82890.08,,,,,,,,,,,,,,,0.08,,100.0,56.71,0.0,0.0,0.0,100.0,3.08,0.9402,96.92,1.0989,1.82
