,ALTOO FP Equity_DX_SI_QTY,ALTOO FP Equity_DX_SHORT_INTEREST_VALUE,ALTOO FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTOO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTOO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTOO FP Equity_DX_SI_MV,ALTOO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTOO FP Equity_DX_SUPPLY_SI_QTY,ALTOO FP Equity_DX_BROKER_SI_QTY,ALTOO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTOO FP Equity_DX_SUPPLY_SI_MV,ALTOO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTOO FP Equity_DX_UTILIZATION_QUANTITY,ALTOO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTOO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTOO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTOO FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTOO FP Equity_DX_BROKER_SI_CON_RATIO,ALTOO FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,69.76,0.0,0.0,0.0,0.0
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,69.76,0.0,0.0,0.0,0.0
2024-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,65.62,0.0,0.0,0.0,0.0
2024-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,65.4,0.0,0.0,0.0,0.0
2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,66.49,0.0,0.0,0.0,0.0
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,62.83,0.0,0.0,0.0,0.0
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,63.86,0.0,0.0,0.0,0.0
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,64.48,0.0,0.0,0.0,0.0
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,66.0,0.0,0.0,0.0,0.0
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,66.44,0.0,0.0,0.0,0.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,66.22,0.0,0.0,0.0,0.0
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,67.1,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,70.18,0.0,0.0,0.0,0.0
2024-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,27.52,0.0,0.0,0.0,0.0
2024-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,28.81,0.0,0.0,0.0,0.0
2024-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,39.77,0.0,0.0,0.0,0.0
