,ALWEC FP Equity_DX_SI_QTY,ALWEC FP Equity_DX_SHORT_INTEREST_VALUE,ALWEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALWEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALWEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALWEC FP Equity_DX_SI_MV,ALWEC FP Equity_DX_DSS,ALWEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALWEC FP Equity_DX_SUPPLY_SI_QTY,ALWEC FP Equity_DX_BROKER_SI_QTY,ALWEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALWEC FP Equity_DX_BROKER_SI_QTY_ADD,ALWEC FP Equity_DX_SUPPLY_SI_MV_DEC,ALWEC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALWEC FP Equity_DX_BROKER_SI_MV_ADD,ALWEC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALWEC FP Equity_DX_BROKER_SI_QTY_DEC,ALWEC FP Equity_DX_SUPPLY_SI_MV,ALWEC FP Equity_DX_BROKER_SI_MV_DEC,ALWEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALWEC FP Equity_DX_UTILIZATION_QUANTITY,ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALWEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALWEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALWEC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALWEC FP Equity_DX_BROKER_SI_CON_RATIO,ALWEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALWEC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALWEC FP Equity_PX_LAST
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2011-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38
2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
2011-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
2011-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2011-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2011-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48
2011-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
2011-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44
2011-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
2011-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4
2011-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2011-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2011-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2011-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2011-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2011-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2011-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2011-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2011-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2011-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2011-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2011-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2011-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2011-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2011-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2011-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2011-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2011-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2011-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2011-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2011-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2011-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2011-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2011-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2011-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2012-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2012-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2012-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2012-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2012-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2012-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2012-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2012-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2012-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2012-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2012-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2012-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2012-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2012-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2012-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2012-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2012-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2012-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2012-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2012-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2012-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2012-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2012-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2012-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2012-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16
2012-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2012-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2012-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2012-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2012-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15
2012-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
2012-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13
2012-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12
2012-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
2012-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14
2012-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18
2012-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2012-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2013-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2013-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24
2013-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21
2013-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2
2013-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19
2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
2013-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2013-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25
2013-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2013-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2013-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2013-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2013-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2013-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34
2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2013-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28
2014-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3
2014-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
2014-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29
2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32
2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2014-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2014-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33
2014-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
