,ALERS FP Equity_DX_SI_QTY,ALERS FP Equity_DX_SHORT_INTEREST_VALUE,ALERS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALERS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALERS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALERS FP Equity_DX_SI_MV,ALERS FP Equity_DX_DSS,ALERS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALERS FP Equity_DX_SUPPLY_SI_QTY,ALERS FP Equity_DX_BROKER_SI_QTY,ALERS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALERS FP Equity_DX_BROKER_SI_MV_NEW_x,ALERS FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALERS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALERS FP Equity_DX_BROKER_SI_MV_INC_x,ALERS FP Equity_DX_SUPPLY_SI_MV_NEW,ALERS FP Equity_DX_BROKER_SI_QTY_ADD,ALERS FP Equity_DX_BROKER_SI_QTY_NEW,ALERS FP Equity_DX_SUPPLY_SI_MV_DEC,ALERS FP Equity_DX_BROKER_SI_QTY_INC,ALERS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALERS FP Equity_DX_BROKER_SI_MV_NEW_y,ALERS FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALERS FP Equity_DX_BROKER_SI_MV_INC_y,ALERS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALERS FP Equity_DX_BROKER_SI_MV_ADD,ALERS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALERS FP Equity_DX_BROKER_SI_QTY_DEC,ALERS FP Equity_DX_SUPPLY_SI_MV,ALERS FP Equity_DX_BROKER_SI_MV_DEC,ALERS FP Equity_DX_SUPPLY_SI_MV_RMV,ALERS FP Equity_DX_BROKER_SI_MV_RMV,ALERS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALERS FP Equity_DX_UTILIZATION_QUANTITY,ALERS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALERS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALERS FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALERS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALERS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALERS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALERS FP Equity_DX_BROKER_SI_CON_RATIO,ALERS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALERS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALERS FP Equity_PX_LAST
2009-11-02,31471.0,159872.68,0.13,0.11,0.11,0.17,0.0,104140.0,10971.0,20500.0,55732.68,,,1000.0,,,,,0.0,,500.0,,,,1000.0,,,,0.06,,,,100.0,68.02,0.0,0.0,,0.0,100.0,16.11,0.5288,69.42,1.9513,5.08
2009-11-03,32971.0,159909.35,0.14,0.12,0.12,0.17,0.0,99425.0,12471.0,20500.0,60484.35,,,1500.0,,,,,,,,,,,1500.0,,,,0.06,,,,100.0,77.33,0.0,0.0,,0.0,100.0,15.59,0.5383,70.29,2.0443,4.85
2009-11-04,32471.0,158783.19,0.13,0.11,0.12,0.16,0.0,97800.0,12471.0,20000.0,60983.19,,,,,,,,,,,,,,,,,500.0,0.06,0.0,,,100.0,77.33,0.0,0.0,,0.0,100.0,15.62,0.5589,72.06,2.0133,4.89
2009-11-05,25371.0,122541.93,0.11,0.09,0.09,0.12,0.0,96600.0,5371.0,20000.0,25941.93,,,,,,,,0.03,,7100.0,,,,,,,,0.03,,,,100.0,33.3,0.0,0.0,,0.0,100.0,21.14,0.4574,61.99,1.5731,4.83
2009-11-06,25371.0,123049.35,0.11,0.09,0.09,0.12,0.0,97000.0,5371.0,20000.0,26049.35,,,,,,,,,,,,,,,,,,0.03,,,,100.0,18.11,0.0,0.0,,0.0,100.0,20.95,0.4595,62.24,0.8554,4.85
2009-11-09,21371.0,106427.58,0.09,0.08,0.08,0.1,0.0,79680.0,5371.0,16000.0,26747.58,,,,,,,,,,,,,,,,,4000.0,0.03,0.02,,,100.0,34.37,0.0,0.0,,0.0,100.0,25.32,0.6218,74.68,1.3675,4.98
2009-11-10,21371.0,104290.48,0.09,0.07,0.08,0.1,0.0,78080.0,5371.0,16000.0,26210.48,,,,,,,,,,,,,,,,,,0.03,,,,100.0,34.37,0.0,0.0,,0.0,100.0,25.62,0.6189,74.38,1.3675,4.88
2009-11-11,21371.0,99802.57,0.09,0.08,0.08,0.11,0.0,74720.0,5371.0,16000.0,25082.57,,,,,,,,,,,,,,,,,,0.03,,,,100.0,30.6,0.0,0.0,,0.0,100.0,24.87,0.6263,75.13,1.2174,4.67
2009-11-12,21371.0,97665.47,0.09,0.08,0.08,0.1,0.0,73120.0,5371.0,16000.0,24545.47,,,,,,,,,,,,,,,,,,0.03,,,,100.0,34.37,0.0,0.0,,0.0,100.0,24.41,0.6309,75.59,1.3675,4.57
2009-11-13,21371.0,100229.99,0.09,0.08,0.08,0.1,0.0,75040.0,5371.0,16000.0,25189.99,,,,,,,,,,,,,,,,,,0.02,,,,100.0,34.37,0.0,0.0,,0.0,100.0,24.1,0.6342,75.9,1.3675,4.69
2009-11-16,44371.0,212537.09,0.18,0.16,0.16,0.2,0.0,186810.0,5371.0,39000.0,25727.09,,,,0.1,,,,,23000.0,,,,0.1,,,,,0.03,,,,100.0,18.53,0.0,0.0,,0.0,100.0,11.97,0.7893,88.03,1.5307,4.79
2009-11-17,43371.0,200807.73,0.18,0.15,0.15,0.2,0.0,180570.0,4371.0,39000.0,20237.73,,,,,,,,0.0,,1000.0,,,,,,,,0.02,,,,100.0,15.08,0.0,0.0,,0.0,100.0,11.79,0.792,88.21,1.4962,4.63
2009-11-18,43371.0,197338.05,0.18,0.15,0.15,0.21,0.0,177450.0,4371.0,39000.0,19888.05,,,,,,,,,,,,,,,,,,0.02,,,,100.0,15.31,0.0,0.0,,0.0,100.0,11.28,0.7999,88.72,1.5189,4.55
2009-11-19,43371.0,196470.63,0.18,0.15,0.15,0.2,0.0,176670.0,4371.0,39000.0,19800.63,,,,,,,,,,,,,,,,,,0.02,,,,100.0,25.04,0.0,0.0,,0.0,100.0,11.54,0.7958,88.46,2.4849,4.53
2009-11-20,43371.0,190832.4,0.18,0.16,0.15,0.2,0.0,171600.0,4371.0,39000.0,19232.4,,,,,,,,,,,,,,,,,,0.02,,,,100.0,25.04,0.0,0.0,,0.0,100.0,11.58,0.7953,88.42,2.4849,4.4
2009-11-23,43371.0,193868.37,0.18,0.16,0.15,0.19,0.0,174330.0,4371.0,39000.0,19538.37,,,,,,,,,,,,,,,,,,0.02,,,,100.0,25.04,0.0,0.0,,0.0,100.0,11.42,0.7976,88.58,2.4849,4.47
2009-11-24,43371.0,194302.08,0.18,0.16,0.15,0.19,0.0,174720.0,4371.0,39000.0,19582.08,,,,,,,,,,,,,,,,,,0.02,,,,100.0,25.71,0.0,0.0,,0.0,100.0,11.83,0.7914,88.17,2.5514,4.48
2009-11-25,51371.0,228087.24,0.21,0.18,0.18,0.23,0.0,190920.0,8371.0,43000.0,37167.24,,,4000.0,,,4000.0,,,,,,,,4000.0,0.02,,,0.04,,,,100.0,56.08,0.0,0.0,,0.0,100.0,9.92,0.6923,82.24,3.4413,4.44
2009-11-26,55371.0,233111.91,0.23,0.2,0.2,0.25,0.0,189450.0,10371.0,45000.0,43661.91,,,2000.0,0.01,,,,,2000.0,,,,0.01,2000.0,,,,0.05,,,,100.0,69.47,0.0,0.0,,0.0,100.0,10.92,0.6602,80.0,3.7092,4.21
2009-11-27,55876.0,252000.76,0.23,0.2,0.2,0.25,0.0,202950.0,10876.0,45000.0,49050.76,,,505.0,,,,,,,,,,,505.0,,,,0.05,,,,100.0,72.86,0.0,0.0,,0.0,100.0,10.38,0.6741,80.99,3.743,4.51
2009-11-30,55876.0,256470.84,0.23,0.19,0.2,0.24,0.0,206550.0,10876.0,45000.0,49920.84,,,,,,,,,,,,,,,,,,0.05,,,,100.0,72.86,0.0,0.0,,0.0,100.0,11.32,0.6494,79.22,3.743,4.59
2009-12-01,50876.0,227924.48,0.21,0.17,0.18,0.22,0.0,179200.0,10876.0,40000.0,48724.48,,,,,,,,,,,,,,,,,5000.0,0.05,0.02,,,100.0,72.86,0.0,0.0,,0.0,100.0,12.59,0.7799,87.41,3.4081,4.48
2009-12-02,55876.0,246971.92,0.23,0.21,0.2,0.24,0.0,198900.0,10876.0,45000.0,48071.92,,,,,,5000.0,,,,,,,,,0.02,,,0.05,,,,100.0,72.86,0.0,0.0,,0.0,100.0,11.28,0.6513,79.36,3.743,4.42
2009-12-03,55876.0,278262.48,0.23,0.22,0.2,0.24,0.0,224100.0,10876.0,45000.0,54162.48,,,,,,,,,,,,,,,,,,0.05,,,,100.0,21.86,0.0,0.0,,0.0,100.0,11.2,0.6529,79.48,1.123,4.98
2009-12-04,60876.0,289161.0,0.25,0.21,0.22,0.28,0.0,237500.0,10876.0,50000.0,51661.0,,,,0.03,,,,,5000.0,,,,0.03,,,,,0.05,,,,100.0,17.11,0.0,0.0,,0.0,100.0,10.98,0.6606,80.03,0.9577,4.75
2009-12-07,60876.0,249591.6,0.25,0.2,0.22,0.3,0.0,205000.0,10876.0,50000.0,44591.6,,,,,,,,,,,,,,,,,,0.05,,,,100.0,17.11,0.0,0.0,,0.0,100.0,9.64,0.6941,82.37,0.9577,4.1
2009-12-08,60876.0,239851.44,0.25,0.18,0.22,0.28,0.0,197000.0,10876.0,50000.0,42851.44,,,,,,,,,,,,,,,,,,0.04,,,,100.0,17.11,0.0,0.0,,0.0,100.0,8.99,0.7122,83.58,0.9577,3.94
2009-12-09,60376.0,240296.48,0.25,0.18,0.22,0.25,0.0,199000.0,10376.0,50000.0,41296.48,,,,,,,,0.0,,500.0,,,,,,,,0.04,,,,100.0,15.49,0.0,0.0,,0.0,100.0,9.81,0.6891,82.03,0.9013,3.98
2009-12-10,60176.0,237093.44,0.25,0.18,0.22,0.24,0.0,197000.0,10176.0,50000.0,40093.44,,,,,,,,0.0,,200.0,,,,,,,,0.04,,,,100.0,15.19,0.0,0.0,,0.0,100.0,10.23,0.6778,81.24,0.8983,3.94
2009-12-11,60176.0,234084.64,0.25,0.18,0.22,0.24,0.0,194500.0,10176.0,50000.0,39584.64,,,,,,,,,,,,,,,,,,0.04,,,,100.0,15.19,0.0,0.0,,0.0,100.0,10.1,0.682,81.53,0.8983,3.89
2009-12-14,58447.0,229112.24,0.24,0.18,0.21,0.23,0.0,196000.0,8447.0,50000.0,33112.24,,,,,,,,0.01,,1729.0,,,,,,,,0.03,,,,100.0,12.61,0.0,0.0,,0.0,100.0,10.12,0.6804,81.43,0.8725,3.92
2009-12-15,61100.0,233402.0,0.25,0.19,0.22,0.24,0.0,191000.0,11100.0,50000.0,42402.0,,,,,,,,0.0,,347.0,,,,,,3000.0,,0.04,,,,100.0,13.61,0.0,0.0,,0.0,100.0,9.95,0.6106,76.91,0.7494,3.82
2009-12-16,59600.0,229460.0,0.25,0.19,0.21,0.23,0.0,192500.0,9600.0,50000.0,36960.0,,,,,,,,0.01,,1500.0,,,,,,,,0.04,,,,100.0,14.33,0.0,0.0,,0.0,100.0,9.95,0.6095,76.83,0.8897,3.85
2009-12-17,63400.0,237750.0,0.26,0.2,0.23,0.25,0.0,194625.0,11500.0,51900.0,43125.0,,,1900.0,0.01,,,,,1900.0,,,,0.01,1900.0,,,,0.04,,,,100.0,17.17,0.0,0.0,,0.0,100.0,12.72,0.582,74.65,0.9465,3.75
2009-12-18,63400.0,228874.0,0.26,0.2,0.23,0.24,0.0,187359.0,11500.0,51900.0,41515.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,16.79,0.0,0.0,,0.0,100.0,12.33,0.5877,75.11,0.9254,3.61
2009-12-21,63400.0,219364.0,0.22,0.2,0.19,0.24,0.0,179574.0,11500.0,51900.0,39790.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,12.62,0.0,0.0,,0.0,100.0,11.99,0.5978,75.87,0.696,3.46
2009-12-22,63400.0,235848.0,0.22,0.2,0.19,0.23,0.0,193068.0,11500.0,51900.0,42780.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,12.62,0.0,0.0,,0.0,100.0,12.23,0.5925,75.46,0.696,3.72
2009-12-23,63400.0,235848.0,0.22,0.19,0.19,0.23,0.0,193068.0,11500.0,51900.0,42780.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,11.32,0.0,0.0,,0.0,100.0,13.08,0.5683,73.61,0.624,3.72
2009-12-24,63400.0,229508.0,0.22,0.19,0.19,0.23,0.0,187878.0,11500.0,51900.0,41630.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,11.32,0.0,0.0,,0.0,100.0,12.64,0.5804,74.55,0.624,3.62
2009-12-25,78400.0,283808.0,0.27,0.24,0.24,0.29,0.0,187878.0,26500.0,51900.0,95930.0,,,,,,,,,,,,,,,,15000.0,,0.1,,,,100.0,25.43,0.0,0.0,,0.0,100.0,10.25,0.6474,79.45,0.7525,
2009-12-28,88400.0,308516.0,0.31,0.27,0.27,0.32,0.0,268381.0,26500.0,76900.0,92485.0,,,,0.09,,,,,25000.0,,,,0.09,,,,,0.1,,,,100.0,23.6,0.0,0.0,,0.0,100.0,9.11,0.6836,81.92,0.7874,3.49
2009-12-29,88400.0,315588.0,0.31,0.27,0.27,0.32,0.0,274533.0,23682.0,76900.0,84544.74,,,,,,,,0.01,,2818.0,,,,,,,,0.08,,,,100.0,21.08,0.0,0.0,,0.0,100.0,8.69,0.6929,82.54,0.7868,3.57
2009-12-30,70582.0,253389.38,0.24,0.22,0.22,0.25,0.0,212104.38,23682.0,59082.0,85018.38,,,,,,,,,,,,,,,,,17818.0,0.08,0.07,,,100.0,25.94,0.0,0.0,,0.0,100.0,11.29,0.6178,77.34,0.7732,3.59
2009-12-31,70582.0,259035.94,0.24,0.22,0.22,0.26,0.0,216830.94,23682.0,59082.0,86912.94,,,,,,,,,,,,,,,,,,0.09,,,,100.0,20.47,0.0,0.0,,0.0,100.0,11.14,0.621,77.58,0.6102,3.67
2010-01-01,70582.0,259035.94,0.24,0.22,0.22,0.26,0.0,216830.94,23682.0,59082.0,86912.94,,,,,,,,,,,,,,,,,,0.09,,,,100.0,25.94,0.0,0.0,,0.0,100.0,11.34,0.6187,77.4,0.7732,
2010-01-04,70582.0,256918.48,0.24,0.22,0.22,0.26,0.0,215058.48,23682.0,59082.0,86202.48,,,,,,,,,,,,,,,,,,0.09,,,,100.0,18.2,0.0,0.0,,0.0,100.0,11.37,0.6141,77.08,0.5424,3.64
2010-01-05,70582.0,254095.2,0.24,0.22,0.22,0.26,0.0,212695.2,23682.0,59082.0,85255.2,,,,,,,,,,,,,,,,,,0.09,,,,100.0,20.49,0.0,0.0,,0.0,100.0,11.15,0.6217,77.62,0.6107,3.6
2010-01-06,70582.0,272446.52,0.24,0.22,0.22,0.26,0.0,228056.52,23682.0,59082.0,91412.52,,,,,,,,,,,,,,,,,,0.09,,,,100.0,20.49,0.0,0.0,,0.0,100.0,11.08,0.6228,77.71,0.6107,3.86
2010-01-07,90582.0,344211.6,0.31,0.28,0.28,0.34,0.0,224511.6,43682.0,59082.0,165991.6,,,20000.0,,,,,,,,,,,20000.0,,,,0.17,,,,100.0,33.57,0.0,0.0,,0.0,100.0,22.78,0.4133,59.06,0.6961,3.8
2010-01-08,71916.0,274719.12,0.25,0.23,0.22,0.28,0.0,227603.24,24516.0,59582.0,93651.12,,,,,,500.0,,0.07,,19166.0,,,,,0.0,,,0.09,,,,100.0,21.21,0.0,0.0,,0.0,100.0,10.79,0.6017,76.38,0.6223,3.82
2010-01-11,71916.0,274719.12,0.25,0.23,0.22,0.27,0.0,227603.24,26030.0,59582.0,99434.6,,1514.0,,,0.01,,,,,,,1514.0,,,,,,0.1,,,,100.0,22.52,0.0,0.0,,0.0,100.0,10.97,0.5952,75.91,0.6223,3.82
2010-01-12,65530.0,243116.3,0.23,0.21,0.2,0.25,0.0,226666.16,18130.0,61096.0,67262.3,,,,0.01,,,,0.03,1514.0,7900.0,,,0.01,,,,,0.07,,,,100.0,15.69,0.0,0.0,,0.0,100.0,12.17,0.5635,73.52,0.567,3.71
2010-01-13,57630.0,211502.1,0.2,0.19,0.18,0.22,0.0,195229.32,18130.0,53196.0,66537.1,,,,,,,,,,,,,,,,,7900.0,0.07,0.03,,,100.0,15.69,0.0,0.0,,0.0,100.0,8.42,0.7201,84.27,0.4987,3.67
2010-01-14,54630.0,197760.6,0.19,0.18,0.17,0.21,0.0,192569.52,15130.0,53196.0,54770.6,,,,,,,,0.01,,3000.0,,,,,,,,0.06,,,,100.0,13.42,0.0,0.0,,0.0,100.0,9.02,0.793,88.58,0.4846,3.62
2010-01-15,54630.0,198853.2,0.19,0.18,0.17,0.2,0.0,193633.44,15130.0,53196.0,55073.2,,,,,,,,,,,,,,,,,,0.05,,,,100.0,14.35,0.0,0.0,,0.0,100.0,8.94,0.7947,88.68,0.518,3.64
2010-01-18,54630.0,198853.2,0.19,0.18,0.17,0.2,0.0,193633.44,15130.0,53196.0,55073.2,,,,,,,,,,,,,,,,,,0.06,,,,100.0,15.0,0.0,0.0,,0.0,100.0,9.09,0.7916,88.49,0.5417,3.64
2010-01-19,53796.0,196893.36,0.19,0.22,0.16,0.2,0.0,194697.36,14296.0,53196.0,52323.36,,,,,,,,0.0,,834.0,,,,,,,,0.05,,,,100.0,14.32,0.0,0.0,,0.0,100.0,9.14,0.8174,89.94,0.5389,3.66
2010-01-20,53796.0,197431.32,0.19,0.22,0.16,0.2,0.0,195229.32,14296.0,53196.0,52466.32,,,,,,,,,,,,,,,,,,0.05,,,,100.0,14.32,0.0,0.0,,0.0,100.0,9.15,0.8172,89.93,0.5389,3.67
2010-01-21,55752.0,201264.72,0.19,0.27,0.17,0.21,0.0,192037.56,23156.0,53196.0,83593.16,,,8860.0,,,,,,,,,,,8860.0,,,,0.09,,,,100.0,21.64,0.0,0.0,,0.0,100.0,8.89,0.7615,86.74,0.521,3.61
2010-01-22,62656.0,224308.48,0.22,0.33,0.19,0.23,0.0,215158.0,23156.0,60100.0,82898.48,,,,0.03,,,,,6904.0,,,,0.03,,,,,0.08,,,,100.0,21.64,0.0,0.0,,0.0,100.0,7.8,0.7876,88.35,0.5856,3.58
2010-01-25,62656.0,223055.36,0.22,0.34,0.19,0.23,0.0,213956.0,23156.0,60100.0,82435.36,,,,,,,,,,,,,,,,,,0.08,,,,100.0,21.64,0.0,0.0,,0.0,100.0,7.69,0.7906,88.53,0.5856,3.56
2010-01-26,62656.0,228694.4,0.22,0.35,0.19,0.23,0.0,219365.0,23156.0,60100.0,84519.4,,,,,,,,,,,,,,,,,,0.08,,,,100.0,21.64,0.0,0.0,,0.0,100.0,7.66,0.7914,88.58,0.5856,3.65
2010-01-27,62437.0,223524.46,0.22,0.35,0.19,0.23,0.0,215158.0,22937.0,60100.0,82114.46,,,,,,,,0.0,,219.0,,,,,,,,0.08,,,,100.0,21.44,0.0,0.0,,0.0,100.0,8.04,0.7882,88.37,0.5835,3.58
2010-01-28,62437.0,219153.87,0.22,0.36,0.19,0.23,0.0,210951.0,22937.0,60100.0,80508.87,,,,,,,,,,,,,,,,,,0.08,,,,100.0,21.44,0.0,0.0,,0.0,100.0,7.89,0.7917,88.58,0.5835,3.51
2010-01-29,55700.0,196621.0,0.19,0.33,0.17,0.21,0.0,194503.0,19686.0,55100.0,69491.58,,,,,,,,0.01,,3251.0,,,,,,,5000.0,0.07,0.02,,,100.0,18.65,0.0,0.0,,0.0,100.0,0.86,0.983,99.14,0.5277,3.53
2010-02-01,55800.0,194184.0,0.19,0.33,0.17,0.2,0.0,192096.0,17687.0,55200.0,61550.76,,,,,,100.0,,0.01,,2099.0,,,,,0.0,100.0,,0.06,,,,100.0,17.96,0.0,0.0,,0.0,100.0,0.87,0.9792,98.95,0.5667,3.48
2010-02-02,52187.0,181610.76,0.18,0.32,0.16,0.19,0.0,179522.76,17687.0,51587.0,61550.76,,,,,,,,,,,,,,,,,3613.0,0.06,0.02,,,100.0,17.96,0.0,0.0,,0.0,100.0,0.94,0.9776,98.87,0.53,3.48
2010-02-03,52187.0,186307.59,0.18,0.34,0.16,0.18,0.0,184165.59,17687.0,51587.0,63142.59,,,,,,,,,,,,,,,,,,0.06,,,,100.0,17.96,0.0,0.0,,0.0,100.0,0.95,0.9772,98.85,0.53,3.57
2010-02-04,52187.0,179001.41,0.18,0.35,0.16,0.19,0.0,176943.41,20954.0,51587.0,71872.22,,,,,,,,,,,,,,,,3267.0,,0.07,,,,100.0,18.54,0.0,0.0,,0.0,100.0,0.96,0.9769,98.84,0.4618,3.43
2010-02-05,55454.0,181889.12,0.19,0.41,0.17,0.21,0.0,179921.12,20954.0,54854.0,68729.12,,,,0.02,,,,,3267.0,,,,0.02,,,,,0.07,,,,100.0,21.28,0.0,0.0,,0.0,100.0,0.84,0.9796,98.97,0.5632,3.28
2010-02-08,55454.0,175789.18,0.19,0.42,0.17,0.2,0.0,173887.18,17415.0,54854.0,55205.55,,,,,,,,0.01,,3539.0,,,,,,,,0.06,,,,100.0,17.69,0.0,0.0,,0.0,100.0,0.85,0.9797,98.98,0.5632,3.17
2010-02-09,51915.0,164570.55,0.18,0.38,0.16,0.17,0.0,162668.55,17415.0,51315.0,55205.55,,,,,,,,,,,,,,,,,3539.0,0.06,0.02,,,100.0,17.69,0.0,0.0,,0.0,100.0,0.93,0.9778,98.88,0.5273,3.17
2010-02-10,61915.0,198747.15,0.21,0.48,0.19,0.2,0.0,164721.15,27415.0,51315.0,88002.15,,,10000.0,,,,,,,,,,,10000.0,,,,0.09,,,,100.0,27.84,0.0,0.0,,0.0,100.0,16.06,0.7142,82.97,0.6288,3.21
2010-02-11,61915.0,199366.3,0.21,0.49,0.19,0.2,0.0,165234.3,27415.0,51315.0,88276.3,,,,,,,,,,,,,,,,,,0.09,,,,100.0,27.84,0.0,0.0,,0.0,100.0,16.09,0.7138,82.94,0.6288,3.22
2010-02-12,76915.0,243051.4,0.27,0.59,0.23,0.25,0.0,162155.4,42415.0,51315.0,134031.4,,,,,,,,,,,,,,,,15000.0,,0.14,,,,100.0,43.08,0.0,0.0,,0.0,100.0,32.28,0.5524,66.94,0.7812,3.16
2010-02-15,81915.0,252298.2,0.28,0.63,0.25,0.27,0.0,157742.2,47415.0,51215.0,146038.2,,,5000.0,,,,,,,,,,,5000.0,,,100.0,0.15,0.0,,,100.0,47.0,0.0,0.0,,0.0,100.0,35.77,0.5314,63.51,0.812,3.08
2010-02-16,91815.0,291053.55,0.32,0.7,0.28,0.29,0.0,162351.55,57315.0,51215.0,181688.55,,,10000.0,,,,,0.0,,100.0,,,,10000.0,,,,0.18,,,,100.0,58.21,0.0,0.0,,0.0,100.0,31.99,0.5576,67.47,0.9325,3.17
2010-02-17,93810.0,295501.5,0.32,0.72,0.29,0.3,0.0,167611.5,69315.0,53210.0,218342.25,,,10708.0,,,2495.0,,,,,,,,10708.0,0.01,1292.0,500.0,0.22,0.0,,,100.0,69.22,0.0,0.0,,0.0,100.0,32.3,0.5257,64.85,0.9368,3.15
2010-02-18,107160.0,338625.6,0.37,0.89,0.33,0.34,0.0,207643.6,70165.0,65710.0,221721.4,,,850.0,0.04,,500.0,,,12000.0,,,,0.04,850.0,0.0,,,0.22,,,,100.0,70.06,0.0,0.0,,0.0,100.0,27.79,0.5581,69.3,1.0701,3.16
2010-02-19,107160.0,342912.0,0.37,0.91,0.33,0.34,0.0,210272.0,70165.0,65710.0,224528.0,,,,,,,,,,,,,,,,,,0.22,,,,100.0,70.06,0.0,0.0,,0.0,100.0,27.87,0.5574,69.22,1.0701,3.2
2010-02-22,107160.0,340768.8,0.37,0.93,0.33,0.35,0.0,208957.8,70165.0,65710.0,223124.7,,,,,,,,,,,,,,,,,,0.22,,,,100.0,70.06,0.0,0.0,,0.0,100.0,28.04,0.5561,69.05,1.0701,3.18
2010-02-23,107160.0,357914.4,0.37,0.97,0.33,0.35,0.0,219471.4,70165.0,65710.0,234351.1,,,,,,,,,,,,,,,,,,0.22,,,,100.0,68.48,0.0,0.0,,0.0,100.0,28.09,0.5556,69.0,1.0459,3.34
2010-02-24,107160.0,352556.4,0.37,0.86,0.33,0.35,0.0,216185.9,70165.0,65710.0,230842.85,,,,,,,,,,,,,,,,,,0.23,,,,100.0,68.48,0.0,0.0,,0.0,100.0,28.65,0.5498,68.34,1.0459,3.29
2010-02-25,107160.0,340768.8,0.37,0.85,0.33,0.35,0.0,208957.8,70165.0,65710.0,223124.7,,,1291.0,,,,,0.0,,1291.0,,,,1291.0,,,,0.23,,,,100.0,68.48,0.0,0.0,,0.0,100.0,28.47,0.5512,68.52,1.0459,3.18
2010-02-26,108160.0,345030.4,0.37,0.86,0.33,0.35,0.0,209614.9,71165.0,65710.0,227016.35,,,1000.0,,,,,,,,,,,1000.0,,,,0.23,,,,100.0,69.46,0.0,0.0,,0.0,100.0,27.84,0.5578,69.26,1.0556,3.19
2010-03-01,108160.0,348275.2,0.37,0.86,0.33,0.35,0.0,211586.2,71165.0,65710.0,229151.3,,,,,,,,,,,,,,,,,,0.23,,,,100.0,71.06,0.0,0.0,,0.0,100.0,27.75,0.5584,69.34,1.08,3.22
2010-03-02,98160.0,314112.0,0.34,0.77,0.3,0.32,0.0,210272.0,61165.0,65710.0,195728.0,,,,,,,,0.03,,10000.0,,,,,,,,0.2,,,,100.0,61.08,0.0,0.0,,0.0,100.0,30.61,0.5326,66.19,0.9802,3.2
2010-03-03,108160.0,378560.0,0.37,0.86,0.33,0.35,0.0,229985.0,57899.0,65710.0,202646.5,,,10000.0,,,,,0.04,,13266.0,,,,10000.0,,,,0.19,,,,100.0,60.32,0.0,0.0,,0.0,100.0,28.08,0.5561,69.04,1.1267,3.5
2010-03-04,68894.0,241129.0,0.24,0.44,0.21,0.24,0.0,92554.0,55039.0,26444.0,192636.5,,,,,,,,0.01,,2860.0,,,,,,,39266.0,0.19,0.13,,,100.0,57.34,0.0,0.0,,0.0,100.0,45.27,0.4566,50.0,0.7177,3.5
2010-03-05,77034.0,268848.66,0.27,0.48,0.24,0.27,0.0,120698.16,66039.0,34584.0,230476.11,,,11000.0,0.04,,,,,11000.0,,,,0.04,11000.0,,,2860.0,0.23,0.01,,,100.0,68.8,0.0,0.0,,0.0,100.0,39.36,0.3606,41.35,0.8025,3.49
2010-03-08,77034.0,255752.88,0.27,0.47,0.24,0.27,0.0,114818.88,62772.0,34584.0,208403.04,,,,,,,,0.01,,3267.0,,,,,,,,0.22,,,,100.0,65.39,0.0,0.0,,0.0,100.0,39.13,0.3607,41.56,0.8025,3.32
2010-03-09,75654.0,254197.44,0.26,0.45,0.23,0.26,0.0,105225.12,64659.0,31317.0,217254.24,,,1887.0,,,,,,,,,,,1887.0,,,3267.0,0.21,0.01,,,100.0,61.16,0.0,0.0,,0.0,100.0,38.91,0.3605,41.72,0.7156,3.36
2010-03-10,69775.0,225373.25,0.24,0.42,0.21,0.24,0.0,101153.91,58780.0,31317.0,189859.4,,,,,,,,0.02,,5879.0,,,,,,,,0.2,,,,100.0,55.6,0.0,0.0,,0.0,100.0,33.09,0.3607,45.76,0.66,3.23
2010-03-11,69775.0,226071.0,0.24,0.41,0.21,0.23,0.0,101467.08,49458.0,31317.0,160243.92,,,,,,,,0.03,,9322.0,,,,,,,,0.16,,,,100.0,45.91,0.0,0.0,,0.0,100.0,33.65,0.3604,45.4,0.6477,3.24
