,ALHGR FP Equity_DX_SI_QTY,ALHGR FP Equity_DX_SHORT_INTEREST_VALUE,ALHGR FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHGR FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHGR FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHGR FP Equity_DX_SI_MV,ALHGR FP Equity_DX_DSS,ALHGR FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHGR FP Equity_DX_SUPPLY_SI_QTY,ALHGR FP Equity_DX_BROKER_SI_QTY,ALHGR FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHGR FP Equity_DX_BROKER_SI_MV_NEW_x,ALHGR FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHGR FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHGR FP Equity_DX_BROKER_SI_MV_INC_x,ALHGR FP Equity_DX_SUPPLY_SI_MV_NEW,ALHGR FP Equity_DX_BROKER_SI_QTY_ADD,ALHGR FP Equity_DX_BROKER_SI_QTY_NEW,ALHGR FP Equity_DX_SUPPLY_SI_MV_DEC,ALHGR FP Equity_DX_BROKER_SI_QTY_INC,ALHGR FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHGR FP Equity_DX_BROKER_SI_MV_NEW_y,ALHGR FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHGR FP Equity_DX_BROKER_SI_MV_INC_y,ALHGR FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHGR FP Equity_DX_BROKER_SI_MV_ADD,ALHGR FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHGR FP Equity_DX_BROKER_SI_QTY_DEC,ALHGR FP Equity_DX_SUPPLY_SI_MV,ALHGR FP Equity_DX_BROKER_SI_MV_DEC,ALHGR FP Equity_DX_SUPPLY_SI_MV_RMV,ALHGR FP Equity_DX_BROKER_SI_MV_RMV,ALHGR FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHGR FP Equity_DX_UTILIZATION_QUANTITY,ALHGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHGR FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHGR FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHGR FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHGR FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHGR FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHGR FP Equity_DX_BROKER_SI_CON_RATIO,ALHGR FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHGR FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHGR FP Equity_PX_LAST
2021-05-31,3259.0,93207.4,0.1,0.63,0.02,0.1,0.0,29543.8,2313.0,1033.0,66151.8,,,87.0,,,,,,,,,,,87.0,,,,0.07,,,,4.13,4.13,53686.0,1535419.6,,1.56,4.15,19.46,0.5237,69.24,0.0582,28.6
2021-06-01,3172.0,91670.8,0.1,0.75,0.02,0.09,0.0,27339.4,2226.0,946.0,64331.4,,,,,,,,0.0,,87.0,,,,,,,87.0,0.06,0.0,,,100.0,3.99,0.0,0.0,,0.0,100.0,20.74,0.5726,72.53,0.0568,28.9
2021-06-02,3025.0,87422.5,0.1,0.59,0.02,0.09,0.0,25547.6,2141.0,884.0,61874.9,,,,,,,,0.0,,85.0,,,,,,,62.0,0.06,0.0,,,100.0,3.84,0.0,0.0,,0.0,100.0,22.52,0.5468,70.13,0.0542,28.9
2021-06-03,5976.0,172706.4,0.19,1.24,0.04,0.17,0.0,112623.3,2079.0,3897.0,60083.1,,,,0.09,,,,0.0,3098.0,62.0,,,0.09,,,,85.0,0.06,0.0,,,3.74,3.74,53452.0,1544762.8,,1.55,3.74,21.8,0.5151,67.87,0.1076,28.9
2021-06-04,3142.0,88604.4,0.1,0.54,0.02,0.09,0.0,29976.6,2079.0,1063.0,58627.8,,,,,,,,,,,,,,,,,2834.0,0.06,0.08,,,3.74,3.74,53452.0,1507346.4,,1.54,3.77,20.81,0.3999,57.23,0.0566,28.2
2021-06-07,39142.0,1068576.6,1.23,7.01,0.29,1.1,0.0,1011819.9,38079.0,37063.0,1039556.7,,,,,,36000.0,,,,,,,,,1.02,36000.0,,1.07,,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.65,0.9105,95.37,0.7049,27.3
2021-06-08,42199.0,1130933.2,1.33,7.44,0.31,1.15,0.0,1075216.0,38079.0,40120.0,1020517.2,,,,0.08,,,,,3057.0,,,,0.08,,,,,1.04,,,,100.0,68.57,0.0,0.0,,0.0,100.0,8.18,0.7857,88.22,0.7599,26.8
2021-06-09,39245.0,1016445.5,1.24,6.7,0.29,1.05,0.0,962599.4,38079.0,37166.0,986246.1,,,,,,,,,,,,,,,,,2954.0,1.02,0.08,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.64,0.9056,95.12,0.7067,25.9
2021-06-10,42351.0,1139241.9,1.34,6.77,0.31,1.1,0.0,1083316.8,38079.0,40272.0,1024325.1,,,,0.08,,,,,3106.0,,,,0.08,,,,,0.99,,,,100.0,68.57,0.0,0.0,,0.0,100.0,8.52,0.7803,87.89,0.7627,26.9
2021-06-11,42351.0,1122301.5,1.34,6.61,0.31,1.14,0.0,1067208.0,38079.0,40272.0,1009093.5,,,,,,,,,,,,,,,,,,1.02,,,,100.0,68.57,0.0,0.0,,0.0,100.0,8.52,0.7805,87.89,0.7627,26.5
2021-06-14,38863.0,1014324.3,1.23,6.07,0.29,1.03,0.0,960062.4,38079.0,36784.0,993861.9,,,,,,,,,,,,,,,,,3488.0,1.01,0.09,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.67,0.9239,96.08,0.6998,26.1
2021-06-15,38863.0,1049301.0,1.23,5.88,0.29,1.01,0.0,993168.0,38079.0,36784.0,1028133.0,,,,,,,,,,,,,,,,,,0.99,,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.67,0.9234,96.05,0.6998,27.0
2021-06-16,38863.0,1025983.2,1.23,5.6,0.29,1.05,0.0,971097.6,38079.0,36784.0,1005285.6,,,,,,,,,,,,,,,,,,1.03,,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.67,0.9239,96.08,0.6998,26.4
2021-06-17,38863.0,1064846.2,1.23,5.55,0.29,1.03,0.0,1007881.6,38079.0,36784.0,1043364.6,,,,,,,,,,,,,,,,,,1.01,,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.67,0.9233,96.05,0.6998,27.4
2021-06-18,38863.0,1068732.5,1.23,5.42,0.29,1.06,0.0,1011560.0,38079.0,36784.0,1047172.5,,,,,,,,,,,,,,,,,,1.04,,,,100.0,68.57,0.0,0.0,,0.0,100.0,2.62,0.9247,96.12,0.6998,27.5
2021-06-21,50438.0,1417307.8,1.59,6.93,0.37,1.39,0.0,1240811.7,42281.0,44157.0,1188096.1,,,4202.0,0.13,,3371.0,,,4502.0,,,,0.13,4202.0,0.09,,500.0,1.18,0.01,,,100.0,70.78,0.0,0.0,,0.0,100.0,18.68,0.5769,73.29,0.8444,28.1
2021-06-22,47130.0,1296075.0,1.49,6.51,0.35,1.32,0.0,1128847.5,42081.0,41049.0,1157227.5,,,,,,,,0.0,,200.0,,,,,,,3108.0,1.18,0.09,,,100.0,70.92,0.0,0.0,,0.0,100.0,20.32,0.6636,78.88,0.7943,27.5
2021-06-23,38796.0,1055251.2,1.22,5.51,0.29,1.07,0.0,1003190.4,37914.0,36882.0,1031260.8,,,,,,,,0.12,,4167.0,,,,,,,4167.0,1.04,0.11,,,100.0,68.73,0.0,0.0,,0.0,100.0,2.77,0.927,96.24,0.7033,27.2
2021-06-24,39640.0,1082172.0,1.25,5.56,0.29,1.08,0.0,1018999.8,38596.0,37326.0,1053670.8,,,682.0,0.0,,400.0,,,44.0,,,,0.0,682.0,0.01,,,1.05,,,,100.0,68.28,0.0,0.0,,0.0,100.0,2.72,0.8868,94.11,0.7012,27.3
2021-06-25,42993.0,1216701.9,1.36,6.03,0.32,1.17,0.0,1151215.7,38596.0,40679.0,1092266.8,,,,0.09,,,,,3353.0,,,,0.09,,,,,1.05,,,,100.0,68.28,0.0,0.0,,0.0,100.0,8.79,0.7569,86.49,0.7605,28.3
2021-06-28,42711.0,1153197.0,1.35,5.83,0.31,1.21,0.0,1090719.0,38314.0,40397.0,1034478.0,,,,,,,,0.01,,282.0,,,,,,,282.0,1.08,0.0,,,100.0,68.46,0.0,0.0,,0.0,100.0,8.18,0.7677,87.18,0.7632,27.0
2021-06-29,42249.0,1144947.9,1.33,5.71,0.31,1.14,0.0,1082238.5,38314.0,39935.0,1038309.4,,,,,,,,,,,,,,,,,462.0,1.03,0.02,,,100.0,68.46,0.0,0.0,,0.0,100.0,7.14,0.7823,88.1,0.7549,27.1
2021-06-30,48215.0,1268054.5,1.52,6.4,0.35,1.3,0.0,1090398.0,6755.0,41460.0,177656.5,,,4441.0,0.12,,,,0.97,4441.0,36000.0,,,0.12,4441.0,,,2916.0,0.18,0.08,,,100.0,11.18,0.0,0.0,,0.0,100.0,20.94,0.6389,77.12,0.7982,26.3
2021-07-01,12215.0,321254.5,0.39,1.61,0.09,0.32,0.0,143598.0,6755.0,5460.0,177656.5,,,,,,,,,,,,,,,,,36000.0,0.18,0.98,,,100.0,11.18,0.0,0.0,,0.0,100.0,7.39,0.8453,91.64,0.2022,26.3
2021-07-02,12215.0,316368.5,0.39,1.55,0.09,0.32,0.0,141414.0,6755.0,5460.0,174954.5,,,,,,,,,,,,,,,,,,0.18,,,,100.0,11.18,0.0,0.0,,0.0,100.0,7.44,0.8444,91.58,0.2022,25.9
2021-07-05,11815.0,307190.0,0.37,1.5,0.09,0.31,0.0,131560.0,6755.0,5060.0,175630.0,,,,,,,,,,,,,,,,,400.0,0.18,0.01,,,100.0,11.18,0.0,0.0,,0.0,100.0,3.83,0.9069,95.15,0.1956,26.0
2021-07-06,2691.0,69966.0,0.08,0.34,0.02,0.07,0.0,18148.0,1993.0,698.0,51818.0,,,,,,,,0.12,,4762.0,,,,,,,4362.0,0.05,0.11,,,100.0,3.61,0.0,0.0,,0.0,100.0,8.1,0.8512,91.9,0.0487,26.0
2021-07-07,2691.0,71311.5,0.08,0.34,0.02,0.07,0.0,18497.0,1993.0,698.0,52814.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.61,0.0,0.0,,0.0,100.0,8.02,0.8525,91.98,0.0487,26.5
2021-07-08,2691.0,72118.8,0.07,0.33,0.02,0.07,0.0,18706.4,1993.0,698.0,53412.4,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.61,0.0,0.0,,0.0,100.0,8.0,0.8529,92.0,0.0487,26.8
2021-07-09,2691.0,72657.0,0.07,0.32,0.02,0.07,0.0,18846.0,1993.0,698.0,53811.0,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.02,0.8525,91.98,0.048,27.0
2021-07-12,2691.0,71311.5,0.07,0.32,0.02,0.07,0.0,18497.0,1993.0,698.0,52814.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.15,0.8503,91.85,0.048,26.5
2021-07-13,16509.0,424281.3,0.44,1.94,0.12,0.44,0.0,373061.2,1993.0,14516.0,51220.1,,,,,,13818.0,,,,,,,,,0.37,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,7.8,0.8434,91.5,0.2946,25.7
2021-07-14,23511.0,601881.6,0.62,3.18,0.17,0.6,0.0,550860.8,1993.0,21518.0,51020.8,,,,0.17,,,,,7002.0,,,,0.17,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,5.4,0.889,94.13,0.4196,25.6
2021-07-15,2691.0,68351.4,0.07,0.36,0.02,0.07,0.0,17729.2,1993.0,698.0,50622.2,,,,,,,,,,,,,,,,,20820.0,0.05,0.54,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.11,0.8509,91.89,0.048,25.4
2021-07-16,2691.0,70773.3,0.07,0.42,0.02,0.07,0.0,18357.4,1993.0,698.0,52415.9,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,7.94,0.8538,92.06,0.048,26.3
2021-07-19,2691.0,67275.0,0.07,0.44,0.02,0.07,0.0,17450.0,1993.0,698.0,49825.0,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.26,0.8484,91.74,0.048,25.0
2021-07-20,2691.0,65660.4,0.07,0.44,0.02,0.07,0.0,17031.2,1993.0,698.0,48629.2,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.17,0.8499,91.83,0.048,24.4
2021-07-21,2691.0,65929.5,0.07,0.45,0.02,0.07,0.0,17101.0,1993.0,698.0,48828.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.05,0.852,91.95,0.048,24.5
2021-07-22,2691.0,66198.6,0.07,0.5,0.02,0.07,0.0,17170.8,1993.0,698.0,49027.8,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.07,0.8516,91.93,0.048,24.6
2021-07-23,2691.0,67005.9,0.07,0.52,0.02,0.07,0.0,17380.2,1993.0,698.0,49625.7,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.03,0.8523,91.97,0.048,24.9
2021-07-26,2691.0,68082.3,0.07,0.52,0.02,0.07,0.0,17659.4,1993.0,698.0,50422.9,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,7.99,0.8529,92.01,0.048,25.3
2021-07-27,6376.0,158124.8,0.17,1.29,0.05,0.16,0.0,108698.4,1993.0,4383.0,49426.4,,,,,,3685.0,,,,,,,,,0.09,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,23.81,0.606,74.08,0.1138,24.8
2021-07-28,6376.0,158124.8,0.17,1.4,0.05,0.16,0.0,108698.4,1993.0,4383.0,49426.4,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,23.99,0.6043,73.91,0.1138,24.8
2021-07-29,2691.0,68889.6,0.07,0.6,0.02,0.07,0.0,17868.8,1993.0,698.0,51020.8,,,,,,,,,,,,,,,,,3685.0,0.05,0.09,,,100.0,3.56,0.0,0.0,,0.0,100.0,7.93,0.854,92.07,0.048,25.6
2021-07-30,2691.0,69966.0,0.07,0.61,0.02,0.07,0.0,18148.0,1993.0,698.0,51818.0,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.56,0.0,0.0,,0.0,100.0,8.03,0.8523,91.97,0.048,26.0
2021-08-02,6007.0,160386.9,0.16,1.38,0.04,0.16,0.0,107173.8,1993.0,4014.0,53213.1,,,,,,3614.0,,,,,,,,,0.09,,298.0,0.05,0.01,,,100.0,3.56,0.0,0.0,,0.0,100.0,19.83,0.6463,77.87,0.1072,26.7
2021-08-03,2657.0,69082.0,0.07,0.62,0.02,0.07,0.0,25012.0,1695.0,962.0,44070.0,,,,,,,,0.01,,298.0,,,,,,,3052.0,0.04,0.08,,,100.0,3.04,0.0,0.0,,0.0,100.0,44.63,0.4273,47.03,0.0477,26.0
2021-08-04,5662.0,148344.4,0.15,1.31,0.04,0.15,0.0,103935.4,1695.0,3967.0,44409.0,,,,0.08,,,,,3005.0,,,,0.08,,,,,0.04,,,,100.0,3.04,0.0,0.0,,0.0,100.0,14.09,0.7168,83.45,0.1016,26.2
2021-08-05,2165.0,56723.0,0.06,0.51,0.02,0.06,0.0,12314.0,1695.0,470.0,44409.0,,,,,,,,,,,,,,,,,3497.0,0.04,0.09,,,100.0,3.04,0.0,0.0,,0.0,100.0,13.55,0.6259,77.42,0.0388,26.2
2021-08-06,2165.0,56290.0,0.06,0.52,0.02,0.06,0.0,12220.0,1695.0,470.0,44070.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,3.04,0.0,0.0,,0.0,100.0,13.65,0.6243,77.3,0.0388,26.0
2021-08-09,2165.0,55207.5,0.06,0.54,0.02,0.06,0.0,11985.0,1695.0,470.0,43222.5,,,,,,,,,,,,,,,,,,0.04,,,,100.0,3.04,0.0,0.0,,0.0,100.0,13.68,0.6234,77.23,0.0388,25.5
2021-08-10,2885.0,73856.0,0.08,0.75,0.02,0.07,0.0,21248.0,2055.0,830.0,52608.0,,,360.0,,,360.0,,,,,,,,360.0,0.01,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,40.18,0.4001,48.12,0.0511,25.6
2021-08-11,2815.0,71782.5,0.07,0.76,0.02,0.07,0.0,19380.0,2055.0,760.0,52402.5,,,,,,,,,,,,,,,,,70.0,0.05,0.0,,,100.0,3.64,0.0,0.0,,0.0,100.0,42.07,0.4382,50.58,0.0499,25.5
2021-08-12,2815.0,70656.5,0.07,0.76,0.02,0.07,0.0,19076.0,2055.0,760.0,51580.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,41.92,0.4382,50.7,0.0499,25.1
2021-08-13,2815.0,70656.5,0.07,0.83,0.02,0.07,0.0,19076.0,2055.0,760.0,51580.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,42.12,0.4383,50.54,0.0499,25.1
2021-08-16,2815.0,70093.5,0.07,0.89,0.02,0.07,0.0,18924.0,2055.0,760.0,51169.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,42.01,0.438,50.61,0.0499,24.9
2021-08-17,2815.0,70093.5,0.07,0.89,0.02,0.07,0.0,18924.0,2055.0,760.0,51169.5,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,42.09,0.4377,50.51,0.0499,24.9
2021-08-18,2815.0,70375.0,0.07,0.94,0.02,0.07,0.0,19000.0,2055.0,760.0,51375.0,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,42.15,0.438,50.48,0.0499,25.0
2021-08-19,2815.0,72627.0,0.07,0.99,0.02,0.07,0.0,19608.0,2055.0,760.0,53019.0,,,,,,,,,,,,,,,,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,42.48,0.4376,50.18,0.0499,25.8
2021-08-20,6572.0,164957.2,0.17,2.54,0.05,0.17,0.0,113376.7,2055.0,4517.0,51580.5,,,,,,3757.0,,,,,,,,,0.09,,,0.05,,,,100.0,3.64,0.0,0.0,,0.0,100.0,14.24,0.5526,71.99,0.1164,25.1
2021-08-23,5852.0,143374.0,0.16,2.34,0.04,0.15,0.0,101846.5,1695.0,4157.0,41527.5,,,,,,,,0.01,,360.0,,,,,,,360.0,0.04,0.01,,,100.0,3.05,0.0,0.0,,0.0,100.0,13.31,0.7296,84.34,0.1054,24.5
2021-08-24,2095.0,50699.0,0.06,0.84,0.02,0.05,0.0,9680.0,1695.0,400.0,41019.0,,,,,,,,,,,,,,,,,3757.0,0.04,0.09,,,100.0,3.04,0.0,0.0,,0.0,100.0,14.96,0.7455,85.04,0.0376,24.2
2021-08-25,2313.0,55512.0,0.06,0.9,0.02,0.06,0.0,12216.0,1804.0,509.0,43296.0,,,109.0,,,109.0,,,,,,,,109.0,0.0,,,0.04,,,,100.0,3.22,0.0,0.0,,0.0,100.0,23.69,0.4905,64.92,0.0413,24.0
2021-08-26,6207.0,148968.0,0.16,2.17,0.05,0.15,0.0,105672.0,1804.0,4403.0,43296.0,,,,,,3894.0,,,,,,,,,0.09,,,0.04,,,,100.0,3.22,0.0,0.0,,0.0,100.0,12.46,0.6715,80.84,0.1109,24.0
2021-08-27,6207.0,155175.0,0.16,2.18,0.05,0.15,0.0,110075.0,1804.0,4403.0,45100.0,,,,,,,,,,,,,,,,,,0.04,,,,100.0,3.22,0.0,0.0,,0.0,100.0,12.68,0.6688,80.64,0.1109,25.0
2021-08-30,8229.0,213954.0,0.22,2.85,0.06,0.21,0.0,167050.0,1804.0,6425.0,46904.0,,,,0.05,,,,,2022.0,,,,0.05,,,,,0.05,,,,100.0,3.22,0.0,0.0,,0.0,100.0,8.94,0.7558,86.41,0.1471,26.0
2021-08-31,6044.0,159561.6,0.16,2.11,0.04,0.16,0.0,111936.0,1804.0,4240.0,47625.6,,,,,,,,,,,,,,,,,2185.0,0.05,0.05,,,100.0,3.22,0.0,0.0,,0.0,100.0,12.98,0.661,80.09,0.108,26.4
2021-09-01,5181.0,145586.1,0.14,1.98,0.04,0.14,0.0,86463.7,2104.0,3077.0,59122.4,,,300.0,0.01,,,,,300.0,,,,0.01,300.0,,,1463.0,0.06,0.04,,,100.0,3.72,0.0,0.0,,0.0,100.0,21.47,0.4276,59.53,0.0916,28.1
2021-09-02,4850.0,137255.0,0.13,1.61,0.04,0.14,0.0,80796.5,1995.0,2855.0,56458.5,,,,,,,,0.0,,109.0,,,,,,,222.0,0.06,0.0,,,100.0,3.54,0.0,0.0,,0.0,100.0,17.42,0.4502,62.36,0.0861,28.3
2021-09-03,4505.0,129293.5,0.12,1.45,0.03,0.13,0.0,72037.0,1995.0,2510.0,57256.5,,,,,,,,,,,,,,,,,345.0,0.06,0.01,,,100.0,3.54,0.0,0.0,,0.0,100.0,19.37,0.4124,58.03,0.08,28.7
2021-09-06,5969.0,173697.9,0.16,1.87,0.04,0.17,0.0,115643.4,1995.0,3974.0,58054.5,,,,0.04,,,,,1464.0,,,,0.04,,,,,0.06,,,,100.0,3.54,0.0,0.0,,0.0,100.0,13.19,0.5457,71.46,0.106,29.1
2021-09-07,4901.0,144089.4,0.13,1.38,0.04,0.14,0.0,85436.4,1995.0,2906.0,58653.0,,,,,,,,,,,,,,,,,1068.0,0.06,0.03,,,100.0,3.56,0.0,0.0,,0.0,100.0,17.16,0.4535,62.77,0.0874,29.4
2021-09-08,5875.0,172725.0,0.16,1.62,0.04,0.17,0.0,114072.0,1995.0,3880.0,58653.0,,,,0.03,,,,,974.0,,,,0.03,,,,,0.06,,,,100.0,3.56,0.0,0.0,,0.0,100.0,13.38,0.539,70.9,0.1048,29.4
2021-09-09,57346.0,1577015.0,1.52,15.11,0.42,1.69,0.0,804402.5,28095.0,29251.0,772612.5,,,100.0,0.0,,26000.0,,,100.0,,,,0.0,100.0,0.76,26000.0,729.0,0.83,0.02,,,100.0,34.16,0.0,0.0,,0.0,100.0,46.48,0.4343,46.48,0.6972,27.5
2021-09-10,57746.0,1616888.0,1.53,14.74,0.42,1.59,0.0,824628.0,28295.0,29451.0,792260.0,,,200.0,0.0,,,,,200.0,,,,0.0,200.0,,,,0.78,,,,100.0,34.23,0.0,0.0,,0.0,100.0,46.13,0.4281,46.13,0.6987,28.0
2021-09-13,57314.0,1564672.2,1.52,14.48,0.42,1.6,0.0,792218.7,28295.0,29019.0,772453.5,,,,,,,,,,,,,,,,,432.0,0.79,0.01,,,100.0,34.23,0.0,0.0,,0.0,100.0,46.5,0.4343,46.5,0.6934,27.3
2021-09-14,58621.0,1559318.6,1.56,14.83,0.43,1.6,0.0,806671.6,28295.0,30326.0,752647.0,,,,0.03,,,,,1307.0,,,,0.03,,,,,0.77,,,,100.0,34.23,0.0,0.0,,0.0,100.0,45.44,0.4168,45.44,0.7093,26.6
2021-09-15,57332.0,1473432.4,1.52,14.26,0.42,1.52,0.0,746250.9,28295.0,29037.0,727181.5,,,,,,,,,,,,,,,,,1289.0,0.75,0.04,,,100.0,34.23,0.0,0.0,,0.0,100.0,46.49,0.4341,46.49,0.6937,25.7
2021-09-16,64798.0,1710667.2,1.72,15.51,0.48,1.67,0.0,805279.2,34295.0,30503.0,905388.0,,,6000.0,0.04,,,,,1466.0,,,,0.04,6000.0,,,,0.88,,,,100.0,38.68,0.0,0.0,,0.0,100.0,40.99,0.3486,40.99,0.7309,26.4
2021-09-17,63472.0,1732785.6,1.69,14.81,0.47,1.68,0.0,796532.1,34295.0,29177.0,936253.5,,,,,,,,,,,,,,,,,1326.0,0.91,0.03,,,100.0,38.68,0.0,0.0,,0.0,100.0,41.87,0.3617,41.87,0.716,27.3
2021-09-20,67017.0,1876476.0,1.78,15.43,0.49,1.83,0.0,916216.0,37840.0,32722.0,1059520.0,,,,0.1,,,,,3545.0,,,,0.1,,,3545.0,,1.04,,,,100.0,41.04,0.0,0.0,,0.0,100.0,39.69,0.3311,39.69,0.7269,28.0
2021-09-21,64840.0,1757164.0,1.72,14.41,0.48,1.82,0.0,827769.5,37840.0,30545.0,1025464.0,,,,,,,,,,,,,,,,,2177.0,1.06,0.05,,,100.0,41.04,0.0,0.0,,0.0,100.0,40.99,0.3485,40.99,0.7033,27.1
2021-09-22,64840.0,1731228.0,1.72,14.24,0.48,1.76,0.0,815551.5,36750.0,30545.0,981225.0,,,,,,,,0.03,,1090.0,,,,,,,,1.0,,,,100.0,40.34,0.0,0.0,,0.0,100.0,40.98,0.3484,40.98,0.7117,26.7
2021-09-23,63750.0,1702125.0,1.69,13.89,0.47,1.7,0.0,786448.5,36750.0,29455.0,981225.0,,,,,,,,,,,,,,,,,1090.0,0.99,0.03,,,100.0,40.34,0.0,0.0,,0.0,100.0,41.69,0.3589,41.69,0.6997,26.7
2021-09-24,64950.0,1714680.0,1.73,12.8,0.48,1.73,0.0,793452.0,37350.0,30055.0,986040.0,,,,,,600.0,,,,,,,,,0.02,600.0,,1.0,,,,100.0,41.0,0.0,0.0,,0.0,100.0,41.3,0.3523,41.3,0.7129,26.4
2021-09-27,68495.0,1842515.5,1.82,13.15,0.5,1.82,0.0,808479.5,40895.0,30055.0,1100075.5,,,3545.0,,,,,,,,,,,3545.0,,,,1.09,,,,100.0,43.21,0.0,0.0,,0.0,100.0,38.93,0.3183,38.93,0.7237,26.9
2021-09-28,69750.0,1946025.0,1.85,12.92,0.51,1.89,0.0,821794.5,40295.0,29455.0,1124230.5,,,,,,,,0.02,,600.0,,,,,,,600.0,1.09,0.02,,,100.0,43.16,0.0,0.0,,0.0,100.0,38.17,0.3078,38.17,0.7472,27.9
2021-09-29,65881.0,1930313.3,1.75,11.33,0.48,1.84,0.0,893532.8,35385.0,30496.0,1036780.5,,,,0.03,,,,0.1,1041.0,4910.0,,,0.03,,,,,0.99,,,,100.0,40.05,0.0,0.0,,0.0,100.0,40.67,0.3402,40.67,0.7457,29.3
2021-09-30,64961.0,1903357.3,1.73,10.54,0.48,1.9,0.0,866576.8,35385.0,29576.0,1036780.5,,,,,,,,,,,,,,,,,920.0,1.04,0.02,,,100.0,39.96,0.0,0.0,,0.0,100.0,41.31,0.3494,41.31,0.7337,29.3
2021-10-01,65622.0,1817729.4,1.74,10.53,0.48,1.92,0.0,837564.9,35385.0,30237.0,980164.5,,,,0.02,,,,,661.0,,,,0.02,,,,,1.04,,,,100.0,39.96,0.0,0.0,,0.0,100.0,40.88,0.3431,40.88,0.7411,27.7
2021-10-04,65457.0,1878615.9,1.74,10.3,0.48,1.82,0.0,863066.4,35385.0,30072.0,1015549.5,,,,,,,,,,,,,,,,,165.0,0.99,0.01,,,100.0,36.51,0.0,0.0,,0.0,100.0,40.85,0.3427,40.85,0.6754,28.7
2021-10-05,65418.0,1864413.0,1.74,10.16,0.48,1.88,0.0,855940.5,35385.0,30033.0,1008472.5,,,,,,,,,,,,,,,,,39.0,1.02,0.0,,,100.0,36.51,0.0,0.0,,0.0,100.0,40.96,0.3444,40.96,0.675,28.5
