,ERO FP Equity_DX_SI_QTY,ERO FP Equity_DX_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ERO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ERO FP Equity_DX_SI_MV,ERO FP Equity_DX_DSS,ERO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY,ERO FP Equity_DX_BROKER_SI_QTY,ERO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ERO FP Equity_DX_BROKER_SI_MV_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_x,ERO FP Equity_DX_BROKER_SI_MV_INC_x,ERO FP Equity_DX_SUPPLY_SI_MV_NEW,ERO FP Equity_DX_BROKER_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_NEW,ERO FP Equity_DX_SUPPLY_SI_MV_DEC,ERO FP Equity_DX_BROKER_SI_QTY_INC,ERO FP Equity_DX_SUPPLY_SI_QTY_DEC,ERO FP Equity_DX_BROKER_SI_MV_NEW_y,ERO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ERO FP Equity_DX_BROKER_SI_MV_INC_y,ERO FP Equity_DX_SUPPLY_SI_QTY_INC_y,ERO FP Equity_DX_BROKER_SI_MV_ADD,ERO FP Equity_DX_SUPPLY_SI_QTY_ADD,ERO FP Equity_DX_BROKER_SI_QTY_DEC,ERO FP Equity_DX_SUPPLY_SI_MV,ERO FP Equity_DX_BROKER_SI_MV_DEC,ERO FP Equity_DX_SUPPLY_SI_MV_RMV,ERO FP Equity_DX_BROKER_SI_MV_RMV,ERO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ERO FP Equity_DX_UTILIZATION_QUANTITY,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ERO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ERO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ERO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ERO FP Equity_DX_ACTIVE_UTILIZATION_MV,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ERO FP Equity_DX_BROKER_SI_CON_RATIO,ERO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ERO FP Equity_DX_DEMAND_SUPPLY_RATIO
2008-04-10,8749.0,1071140.07,0.16,,1.03,0.0,1071140.07,0.0,8749.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,179731.0,22004466.33,,22.03,0.0,23.71,0.4079,55.56,0.0487
2008-04-11,8749.0,1054954.42,0.16,,1.03,0.0,1054954.42,0.0,8749.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,178701.0,21547766.58,,21.78,0.0,23.68,0.4081,55.6,0.049
2008-04-14,3749.0,450067.45,0.07,,0.45,0.0,450067.45,1749.0,3749.0,209967.45,,1749.0,,,0.21,,,,,,,1749.0,,,,,5000.0,0.21,0.57,,,0.62,0.62,281367.0,33778108.35,,33.9,0.62,46.54,0.5024,53.46,0.0132
2008-04-15,3749.0,451642.03,0.07,,0.45,0.0,451642.03,1749.0,3749.0,210702.03,,,,,,,,,,,,,,,,,,0.21,,,,0.62,0.62,281367.0,33896282.49,,33.78,0.62,46.54,0.5024,53.46,0.0132
2008-04-16,3749.0,459102.54,0.06,,0.45,0.0,459102.54,1749.0,3749.0,214182.54,,,,,,,,,,,,,,,,,,0.21,,,,0.6,0.6,288477.0,35326893.42,,34.77,0.6,46.34,0.5027,53.66,0.0129
2008-04-17,3749.0,456628.2,0.06,,0.46,0.0,456628.2,1749.0,3749.0,213028.2,,,,,,,,,,,,,,,,,,0.21,,,,0.6,0.6,288477.0,35136498.6,,35.33,0.6,46.63,0.5023,53.37,0.0129
2008-04-18,3749.0,466675.52,0.06,,0.46,0.0,466675.52,1749.0,3749.0,217715.52,,,,,,,,,,,,,,,,,,0.21,,,,0.61,0.61,286457.0,35658167.36,,35.21,0.6,47.19,0.5016,52.81,0.013
2008-04-21,3749.0,461239.47,0.06,,0.45,0.0,461239.47,1749.0,3749.0,215179.47,,,,,,,,,,,,,,,,,,0.22,,,,0.64,0.64,269842.0,33198661.26,,33.44,0.65,47.19,0.5016,52.81,0.0138
2008-04-22,3749.0,460489.67,0.06,,0.46,0.0,245660.0,1749.0,2000.0,214829.67,,,,,,,,,,,,,,,,,,0.22,,,0.21,0.82,0.82,211847.0,26021167.01,,26.07,0.82,46.65,0.5022,53.35,0.0176
2008-04-23,3749.0,463151.46,0.06,,0.46,0.0,463151.46,1749.0,3749.0,216071.46,0.21,,,,,,1749.0,,,,0.21,,,,,,,0.21,,,,0.73,0.73,236502.0,29217457.08,,29.1,0.73,46.64,0.5023,53.36,0.0157
2008-04-24,3749.0,462964.01,0.06,,0.46,0.0,462964.01,1749.0,3749.0,215984.01,,,,,,,,,,,,,,,,,,0.22,,,,0.73,0.73,237722.0,29356289.78,,29.39,0.73,46.76,0.5021,53.24,0.0157
2008-04-25,3749.0,468550.02,0.06,,0.47,0.0,468550.02,1749.0,3749.0,218590.02,,,,,,,,,,,,,,,,,,0.22,,,,0.73,0.73,239222.0,29897965.56,,29.65,0.72,47.0,0.5018,53.0,0.0156
2008-04-28,3749.0,473123.8,0.07,,0.47,0.0,473123.8,1749.0,3749.0,220723.8,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,240622.0,30366496.4,,30.09,0.72,46.89,0.5019,53.11,0.0155
2008-04-29,3749.0,469299.82,0.07,,0.47,0.0,469299.82,1749.0,3749.0,218939.82,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,241592.0,30242486.56,,30.44,0.72,46.52,0.5024,53.48,0.0154
2008-04-30,3749.0,471624.2,0.07,,0.47,0.0,471624.2,1749.0,3749.0,220024.2,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,242142.0,30461463.6,,30.44,0.71,46.78,0.5021,53.22,0.0154
2008-05-01,3749.0,471624.2,0.07,,0.47,0.0,471624.2,1749.0,3749.0,220024.2,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,241142.0,30335663.6,,30.32,0.72,46.73,0.5021,53.27,0.0154
2008-05-02,3749.0,481783.99,0.07,,0.47,0.0,481783.99,1749.0,3749.0,224763.99,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,242742.0,31194774.42,,30.74,0.71,46.77,0.5021,53.23,0.0153
2008-05-05,3749.0,479609.57,0.07,,0.48,0.0,479609.57,1749.0,3749.0,223749.57,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,242742.0,31053984.06,,31.17,0.72,46.14,0.503,53.86,0.0153
2008-05-06,3749.0,478634.83,0.08,,0.48,0.0,478634.83,1749.0,3749.0,223294.83,,,,,,,,,,,,,,,,,,0.22,,,,0.72,0.72,242452.0,30953846.84,,31.02,0.72,46.6,0.5023,53.4,0.0154
2008-05-07,3749.0,481559.05,0.08,,0.48,0.0,481559.05,1749.0,3749.0,224659.05,,,,,,,,,,,,,,,,,,0.22,,,,0.66,0.66,263255.0,33815104.75,,33.67,0.66,46.63,0.5023,53.37,0.0141
2008-05-08,3749.0,480621.8,0.08,,0.48,0.0,480621.8,1749.0,3749.0,224221.8,,,,,,,,,,,,,,,,,,0.22,,,,100.0,0.66,0.0,0.0,,0.0,100.0,46.6,0.5023,53.4,0.0141
2008-05-09,3749.0,476947.78,0.09,,0.48,0.0,476947.78,1749.0,3749.0,222507.78,,,,,,,,,,,,,,,,,,0.22,,,,100.0,0.66,0.0,0.0,,0.0,100.0,46.55,0.5024,53.45,0.0141
2008-05-12,3749.0,478184.95,0.1,,0.48,0.0,478184.95,1749.0,3749.0,223084.95,,,,,,,,,,,,,,,,,,0.22,,,,100.0,0.66,0.0,0.0,,0.0,100.0,46.6,0.5023,53.4,0.0141
2008-05-13,3749.0,477697.58,0.1,,0.48,0.0,477697.58,1749.0,3749.0,222857.58,,,,,,,,,,,,,,,,,,0.22,,,,100.0,0.66,0.0,0.0,,0.0,100.0,46.5,0.5024,53.5,0.0141
2008-05-14,3749.0,480921.72,0.11,,0.48,0.0,480921.72,1749.0,3749.0,224361.72,,,,,,,,,,,,,,,,,,0.22,,,,100.0,0.66,0.0,0.0,,0.0,100.0,46.82,0.502,53.18,0.0141
2008-05-15,13749.0,1767021.48,0.4,,1.76,0.0,1767021.48,11749.0,13749.0,1509981.48,,,,,,10000.0,,,,,,,,,1.28,10000.0,,1.51,,,,21.14,4.42,43837.0,5633931.24,,5.63,21.16,14.54,0.566,72.7,0.0517
2008-05-16,13749.0,1779808.05,0.43,,1.77,0.0,1779808.05,11749.0,13749.0,1520908.05,,,,,,,,,,,,,,,,,,1.52,,,,21.06,4.42,44037.0,5700589.65,,5.7,21.01,14.53,0.5655,72.67,0.0517
2008-05-19,13749.0,1795206.93,0.45,,1.78,0.0,1795206.93,11749.0,13749.0,1534066.93,,,,,,,,,,,,,,,,,,1.53,,,,21.06,4.42,44037.0,5749911.09,,5.75,21.04,14.46,0.5672,72.81,0.0517
2008-05-20,13749.0,1767846.42,0.46,,1.79,0.0,1767846.42,11749.0,13749.0,1510686.42,,,,,,,,,,,,,,,,,,1.52,,,,21.06,4.25,44037.0,5662277.46,,5.66,21.13,14.56,0.5672,72.8,0.0498
2008-05-21,13749.0,1746535.47,0.46,,1.77,0.0,1746535.47,11749.0,13749.0,1492475.47,,,,,,,,,,,,,,,,,,1.5,,,,21.06,4.24,44037.0,5594020.11,,5.59,21.14,14.57,0.5677,72.84,0.0496
2008-05-22,16148.0,2060323.32,0.56,,2.05,0.0,1754234.91,14148.0,13749.0,1805143.32,,,2399.0,,,,,,,,,,,2399.0,,,,1.8,,,,7.7,5.01,169579.0,21636584.61,,21.57,7.72,14.84,0.432,61.87,0.0572
2008-05-23,16148.0,2037877.6,0.6,,2.06,0.0,1735123.8,14148.0,13749.0,1785477.6,,,,,,,,,,,,,,,,,,1.8,,,,7.69,5.01,169884.0,21439360.8,,21.68,7.66,14.9,0.4324,61.9,0.0572
2008-05-26,16148.0,2027542.88,0.57,,2.05,0.0,1726324.44,14148.0,13749.0,1776422.88,,,,,,,,,,,,,,,,,,1.78,,,,7.69,4.6,169884.0,21330635.04,,21.41,7.67,14.75,0.4334,62.01,0.0525
2008-05-27,16148.0,2015754.84,0.64,,2.03,0.0,1716287.67,14148.0,13749.0,1766094.84,,,,,,,,,,,,,,,,,,1.77,,,,7.85,4.54,166139.0,20739131.37,,20.83,7.82,14.87,0.433,61.97,0.0518
2008-05-28,16148.0,2034002.08,0.64,,2.02,0.0,1731824.04,14148.0,13749.0,1782082.08,,,,,,,,,,,,,,,,,,1.78,,,,7.84,4.34,166239.0,20939464.44,,20.8,7.87,14.85,0.4323,61.9,0.0495
2008-05-29,16148.0,2049181.2,0.66,,2.04,0.0,1744748.1,14148.0,13749.0,1795381.2,,,,,,,,,,,,,,,,,,1.79,,,,7.88,4.35,165439.0,20994209.1,,20.88,7.9,14.84,0.4321,61.88,0.0497
2008-05-30,16148.0,2050796.0,0.67,,2.05,0.0,1746123.0,14148.0,13749.0,1796796.0,,,,,,,,,,,,,,,,,,1.8,,,,7.87,4.35,165714.0,21045678.0,,21.03,7.88,14.86,0.4326,61.92,0.0496
2008-06-02,16148.0,2024151.8,0.81,,2.05,0.0,1723437.15,14148.0,13749.0,1773451.8,,,,,,,,,,,,,,,,,,1.78,,,,7.87,4.35,165714.0,20772249.9,,20.85,7.86,14.78,0.4342,62.08,0.0496
2008-06-03,16148.0,2039169.44,0.91,,2.03,0.0,1736223.72,14148.0,13749.0,1786609.44,,,,,,,,,,,,,,,,,,1.79,,,,7.91,4.36,164714.0,20800083.92,,20.68,7.95,14.84,0.4321,61.88,0.0498
2008-06-04,16148.0,2018500.0,0.93,,2.04,0.0,1718625.0,14148.0,13749.0,1768500.0,,,,,,,,,,,,,,,,,,1.77,,,,7.91,4.31,164714.0,20589250.0,,20.74,7.88,14.88,0.4337,62.04,0.0491
2008-06-05,16148.0,2008972.68,0.95,,2.02,0.0,1710513.09,14148.0,13749.0,1760152.68,,,,,,,,,,,,,,,,,,1.76,,,,7.91,5.08,164714.0,20492068.74,,20.56,7.89,14.86,0.433,61.96,0.058
2008-06-06,16148.0,1974577.44,0.98,,2.01,0.0,1681227.72,14148.0,13749.0,1730017.44,,,,,,,,,,,,,,,,,,1.74,,,,7.91,4.28,164714.0,20141227.92,,20.39,7.87,14.87,0.433,61.97,0.0489
2008-06-09,16148.0,1971993.76,0.91,,1.97,0.0,1679027.88,14148.0,13749.0,1727753.76,,,,,,,,,,,,,,,,,,1.73,,,,7.91,4.27,164714.0,20114873.68,,20.13,7.92,14.86,0.4327,61.94,0.0487
2008-06-10,16148.0,1959236.84,0.9,,1.97,0.0,1668166.17,14148.0,13749.0,1716576.84,,,,,,,,,,,,,,,,,,1.72,,,,7.96,4.27,163654.0,19856139.82,,19.95,7.93,14.87,0.4331,61.97,0.0487
2008-06-11,16148.0,1924518.64,0.87,,1.96,0.0,1638605.82,14148.0,13749.0,1686158.64,,,,,,,,,,,,,,,,,,1.7,,,,7.96,4.27,163654.0,19504283.72,,19.76,7.91,14.86,0.4327,61.93,0.0487
2008-06-12,16148.0,1941635.52,0.8,,1.93,0.0,1653179.76,14148.0,13749.0,1701155.52,,,,,,,,,,,,,,,,,,1.7,,,,7.97,4.27,163274.0,19632065.76,,19.5,8.01,14.81,0.4308,61.74,0.0488
2008-06-13,16148.0,1946641.4,0.78,,1.95,0.0,1657441.95,14148.0,13749.0,1705541.4,,,,,,,,,,,,,,,,,,1.71,,,,8.0,4.28,162774.0,19622405.7,,19.58,8.01,14.83,0.4316,61.82,0.0488
2008-06-16,16148.0,1943896.24,0.76,1614800.0,1.94,0.0,1655104.62,14148.0,13749.0,1703136.24,,,,,,,,,,,,,,,,,,1.7,,,,10.62,4.27,119117.0,14339304.46,,14.36,10.6,14.88,0.4319,61.85,0.0487
2008-06-17,7148.0,863478.4,0.32,0.17,0.86,0.0,573679.2,5148.0,4749.0,621878.4,,,,,,,,1.08,,9000.0,,,,,,,9000.0,0.62,1.08,,,4.14,1.59,119117.0,14389333.6,,14.34,4.15,27.96,0.2703,33.53,0.022
2008-06-18,7148.0,853328.24,0.32,0.17,0.86,0.0,566935.62,5148.0,4749.0,614568.24,,,,,,,,,,,,,,,,,,0.62,,,,4.14,1.58,119117.0,14220187.46,,14.39,4.14,28.06,0.2705,33.66,0.022
2008-06-19,7148.0,846609.12,0.32,0.17,0.85,0.0,562471.56,5148.0,4749.0,609729.12,,,,,,,,,,,,,,,,,,0.61,,,,4.14,1.59,119117.0,14108217.48,,14.22,4.14,27.95,0.2697,33.53,0.0221
2008-06-20,7148.0,832098.68,0.32,0.17,0.84,0.0,552831.09,5148.0,4749.0,599278.68,,,,,,,,,,,,,,,,,,0.61,,,,4.15,1.21,118967.0,13848948.47,,14.09,4.14,28.1,0.2706,33.7,0.0168
2008-06-23,7148.0,834457.52,0.3,0.17,0.83,0.0,554398.26,5148.0,4749.0,600977.52,,,,,,,,,,,,,,,,,,0.6,,,,100.0,1.59,0.0,0.0,,0.0,100.0,27.98,0.2704,33.56,0.022
2008-06-24,7148.0,829096.52,0.29,0.17,0.83,0.0,550836.51,5148.0,4749.0,597116.52,,,,,,,,,,,,,,,,,,0.6,,,,100.0,1.59,0.0,0.0,,0.0,100.0,28.02,0.2705,33.61,0.022
2008-06-25,7148.0,833742.72,0.3,0.17,0.83,0.0,553923.36,5148.0,4749.0,600462.72,,,,,,,,,,,,,,,,,,0.6,,,,100.0,1.57,0.0,0.0,,0.0,100.0,28.01,0.2704,33.6,0.0217
2008-06-26,7148.0,820018.56,0.29,0.17,0.83,0.0,544805.28,5148.0,4749.0,590578.56,,,,,,,,,,,,,,,,,,0.6,,,,100.0,1.57,0.0,0.0,,0.0,100.0,28.09,0.2706,33.7,0.0217
2008-06-27,7148.0,807866.96,0.29,0.17,0.82,0.0,536731.98,5148.0,4749.0,581826.96,,,,,,,,,,,,,,,,,,0.59,,,,100.0,1.57,0.0,0.0,,0.0,100.0,27.98,0.2704,33.56,0.0217
2008-06-30,7148.0,814657.56,0.26,0.17,0.81,0.0,541243.53,5148.0,4749.0,586717.56,,,,,,,,,,,,,,,,,,0.59,,,,100.0,1.54,0.0,0.0,,0.0,100.0,27.92,0.2703,33.49,0.0214
2008-07-01,7148.0,799217.88,0.25,0.17,0.81,0.0,530985.69,5148.0,4749.0,575597.88,,,,,,,,,,,,,,,,,,0.59,,,,100.0,1.63,0.0,0.0,,0.0,100.0,27.99,0.2704,33.57,0.0226
2008-07-02,7148.0,792427.28,0.25,0.17,0.8,0.0,526474.14,5148.0,4749.0,570707.28,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.63,0.0,0.0,,0.0,100.0,28.04,0.2705,33.63,0.0226
2008-07-03,7148.0,799003.44,0.25,0.17,0.79,0.0,530843.22,5148.0,4749.0,575443.44,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.63,0.0,0.0,,0.0,100.0,27.92,0.2703,33.49,0.0226
2008-07-04,7148.0,787209.24,0.25,0.17,0.79,0.0,523007.37,5148.0,4749.0,566949.24,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.64,0.0,0.0,,0.0,100.0,27.94,0.2708,33.81,0.0227
2008-07-07,7148.0,798431.6,0.25,0.17,0.79,0.0,530463.3,5148.0,4749.0,575031.6,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.64,0.0,0.0,,0.0,100.0,28.01,0.2704,33.6,0.0227
2008-07-08,7148.0,785851.12,0.24,0.17,0.8,0.0,522105.06,5148.0,4749.0,565971.12,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.71,0.0,0.0,,0.0,100.0,28.09,0.2706,33.69,0.0238
2008-07-09,7148.0,798789.0,0.22,0.17,0.79,0.0,530700.75,5148.0,4749.0,575289.0,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.62,0.0,0.0,,0.0,100.0,27.87,0.2702,33.43,0.0225
2008-07-10,7148.0,785207.8,0.22,0.17,0.8,0.0,521677.65,5148.0,4749.0,565507.8,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.58,0.0,0.0,,0.0,100.0,28.02,0.2704,33.6,0.0219
2008-07-11,7148.0,769553.68,0.21,0.17,0.79,0.0,511277.34,5148.0,4749.0,554233.68,,,,,,,,,,,,,,,,,,0.56,,,,100.0,1.58,0.0,0.0,,0.0,100.0,27.92,0.2703,33.49,0.0219
2008-07-14,7148.0,767409.28,0.21,0.17,0.78,0.0,509852.64,5148.0,4749.0,552689.28,,,,,,,,,,,,,,,,,,0.55,,,,100.0,1.58,0.0,0.0,,0.0,100.0,27.76,0.27,33.29,0.0219
2008-07-15,7148.0,754399.92,0.21,0.19,0.78,0.0,501209.46,5148.0,4749.0,543319.92,,,,,,,,,,,,,,,,,,0.55,,,,100.0,1.58,0.0,0.0,,0.0,100.0,27.7,0.2699,33.23,0.0219
2008-07-16,7148.0,758760.2,0.21,0.19,0.77,0.0,504106.35,5148.0,4749.0,546460.2,,,,,,,,,,,,,,,,,,0.54,,,,100.0,1.6,0.0,0.0,,0.0,100.0,27.56,0.2698,33.06,0.0223
2008-07-17,7148.0,776344.28,0.21,0.19,0.77,0.0,515788.89,5148.0,4749.0,559124.28,,,,,,,,,,,,,,,,,,0.55,,,,100.0,1.61,0.0,0.0,,0.0,100.0,27.61,0.2698,33.12,0.0223
2008-07-18,7148.0,789711.04,0.21,0.19,0.78,0.0,524669.52,5148.0,4749.0,568751.04,,,,,,,,,,,,,,,,,,0.56,,,,100.0,1.6,0.0,0.0,,0.0,100.0,27.78,0.27,33.32,0.0222
2008-07-21,7148.0,796644.6,0.22,0.19,0.79,0.0,529276.05,5148.0,4749.0,573744.6,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.6,0.0,0.0,,0.0,100.0,27.92,0.2703,33.49,0.0223
2008-07-22,7148.0,791426.56,0.21,0.19,0.8,0.0,525809.28,5148.0,4749.0,569986.56,,,,,,,,,,,,,,,,,,0.57,,,,100.0,1.6,0.0,0.0,,0.0,100.0,28.0,0.2707,33.58,0.0223
2008-07-23,6148.0,695338.8,0.18,0.16,0.68,0.0,424011.9,4148.0,3749.0,469138.8,,,,,,,,0.11,,1000.0,,,,,,,1000.0,0.46,0.11,,,100.0,1.31,0.0,0.0,,0.0,100.0,32.33,0.3384,38.78,0.0194
2008-07-24,6148.0,689436.72,0.19,0.16,0.69,0.0,420412.86,4148.0,3749.0,465156.72,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.27,0.0,0.0,,0.0,100.0,32.61,0.3393,39.12,0.0188
2008-07-25,6148.0,686055.32,0.19,0.16,0.69,0.0,418350.91,4148.0,3749.0,462875.32,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.27,0.0,0.0,,0.0,100.0,32.58,0.3392,39.08,0.0188
2008-07-28,6148.0,683350.2,0.2,0.16,0.69,0.0,416701.35,4148.0,3749.0,461050.2,,,,,,,,,,,,,,,,,,0.46,,,,100.0,1.25,0.0,0.0,,0.0,100.0,32.57,0.3391,39.06,0.0186
2008-07-29,6148.0,681136.92,0.2,0.16,0.68,0.0,415351.71,4148.0,3749.0,459556.92,,,,,,,,,,,,,,,,,,0.46,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.56,0.3391,39.06,0.017
2008-07-30,6148.0,689559.68,0.2,0.16,0.68,0.0,420487.84,4148.0,3749.0,465239.68,,,,,,,,,,,,,,,,,,0.46,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.42,0.3386,38.88,0.0171
2008-07-31,6148.0,690543.36,0.2,0.16,0.69,0.0,421087.68,4148.0,3749.0,465903.36,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.52,0.339,39.0,0.0171
2008-08-01,6148.0,677878.48,0.2,0.16,0.69,0.0,413364.74,4148.0,3749.0,457358.48,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.53,0.339,39.02,0.0171
2008-08-04,6148.0,677509.6,0.21,0.16,0.68,0.0,413139.8,4148.0,3749.0,457109.6,,,,,,,,,,,,,,,,,,0.46,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.54,0.339,39.03,0.0171
2008-08-05,6148.0,690113.0,0.21,0.16,0.68,0.0,420825.25,4148.0,3749.0,465613.0,,,,,,,,,,,,,,,,,,0.46,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.46,0.3384,38.76,0.0171
2008-08-06,6148.0,698843.16,0.2,0.16,0.69,0.0,426148.83,4148.0,3749.0,471503.16,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.15,0.0,0.0,,0.0,100.0,32.41,0.3386,38.88,0.0171
2008-08-07,6148.0,697920.96,0.2,0.16,0.7,0.0,425586.48,4148.0,3749.0,470880.96,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.16,0.0,0.0,,0.0,100.0,32.5,0.3389,38.98,0.0172
2008-08-08,6148.0,700687.56,0.2,0.16,0.7,0.0,427273.53,4148.0,3749.0,472747.56,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.18,0.0,0.0,,0.0,100.0,32.4,0.3386,38.87,0.0175
2008-08-11,6148.0,710401.4,0.22,0.16,0.7,0.0,433196.95,4148.0,3749.0,479301.4,,,,,,,,,,,,,,,,,,0.47,,,,100.0,1.17,0.0,0.0,,0.0,100.0,32.4,0.3386,38.87,0.0174
2008-08-12,26148.0,3015387.36,0.97,0.68,3.02,0.0,432334.68,24148.0,3749.0,2784747.36,,,,,,,,,,,,,,,,20000.0,,2.79,,,,41.46,6.83,34102.0,3932642.64,,3.93,41.47,7.66,0.744,85.65,0.0739
2008-08-13,26148.0,2950017.36,0.97,0.68,2.96,0.0,422962.18,24148.0,3749.0,2724377.36,,,,,,,,,,,,,,,,,,2.73,,,,41.46,6.83,34102.0,3847387.64,,3.85,41.52,7.79,0.7422,85.54,0.0739
2008-08-14,26148.0,2947402.56,1.05,0.68,2.95,0.0,422587.28,24148.0,3749.0,2721962.56,,,,,,,,,,,,,,,,,,2.72,,,,42.63,6.86,32502.0,3663625.44,,3.66,42.64,7.65,0.7441,85.66,0.0743
2008-08-15,26148.0,2962829.88,1.06,0.68,2.96,0.0,424799.19,24148.0,3749.0,2736209.88,,,,,,,,,,,,,,,,,,2.73,,,,42.63,6.86,32502.0,3682801.62,,3.68,42.62,7.62,0.7451,85.72,0.0743
2008-08-18,41148.0,4686345.72,1.83,1.07,4.79,0.0,426973.61,39148.0,3749.0,4458565.72,,,,,,,,,,,,,,,,15000.0,,4.56,,,,41.58,11.28,54996.0,6263494.44,,6.17,42.53,37.7,0.4314,53.41,0.1185
2008-08-19,41148.0,4559198.4,1.85,1.07,4.04,0.0,2077389.2,39148.0,18749.0,4337598.4,,,,,,15000.0,,,,,,,,,1.13,,,4.39,,,,41.58,11.34,54996.0,6093556.8,,6.17,41.61,28.06,0.4626,61.51,0.1192
2008-08-20,41148.0,4586356.08,2.17,1.07,4.61,0.0,2089763.54,39148.0,18749.0,4363436.08,,,,,,,,,,,,,,,,,,4.35,,,,41.58,11.31,54996.0,6129854.16,,6.12,41.52,36.98,0.4323,53.99,0.1189
2008-08-21,41148.0,4536978.48,2.16,1.07,4.55,0.0,2067264.74,39148.0,18749.0,4316458.48,,,,,,,,,,,,,,,,,,4.34,,,,42.06,10.87,53921.0,5945329.46,,5.97,42.06,36.55,0.4327,54.31,0.1142
2008-08-22,41148.0,4605284.16,2.03,1.07,4.59,0.0,2098388.08,39148.0,18749.0,4381444.16,,,,,,,,,,,,,,,,,,4.35,,,,42.06,11.42,53921.0,6034838.32,,6.0,42.03,36.39,0.434,54.53,0.12
2008-08-25,41148.0,4615159.68,2.08,1.07,4.59,0.0,2102887.84,39148.0,18749.0,4390839.68,,,,,,,,,,,,,,,,,,4.39,,,,42.06,11.53,53921.0,6047779.36,,6.04,42.08,36.09,0.4343,54.77,0.1212
2008-08-26,41148.0,4613925.24,2.12,1.07,4.62,0.0,2102325.37,24148.0,18749.0,2707715.24,,,,,,,,1.68,,15000.0,,,,,,,,2.71,,,,43.45,7.66,31427.0,3523909.51,,3.52,43.51,36.51,0.4333,54.39,0.1305
2008-08-27,41148.0,4620097.44,2.16,1.07,4.63,0.0,2105137.72,39148.0,18749.0,4395537.44,,,,,,,,,,,,,,,,15000.0,,4.39,,,,55.47,12.65,31427.0,3528623.56,,3.53,55.48,36.5,0.4334,54.41,0.133
2008-08-28,41148.0,4670298.0,2.17,1.07,4.64,0.0,2128011.5,39148.0,18749.0,4443298.0,,,,,,,,,,,,,,,,,,4.42,,,,55.47,12.67,31427.0,3566964.5,,3.57,55.3,36.24,0.4341,54.65,0.1332
2008-08-29,53148.0,6024325.8,2.83,1.42,6.02,1.0,2125199.15,51148.0,18749.0,5797625.8,,,12000.0,,,,,,,,,,,12000.0,,,,5.8,,,,72.28,18.95,19617.0,2223586.95,,2.22,72.32,28.06,0.502,64.87,0.1969
2008-09-01,50749.0,5772698.75,2.51,1.35,5.77,0.0,2132698.75,48749.0,18749.0,5545198.75,,,,,,,,0.27,,2399.0,,,,,,,,5.54,,,,71.31,21.09,19617.0,2231433.75,,2.23,71.3,29.58,0.488,63.07,0.2196
2008-09-02,50749.0,5813805.44,2.58,1.35,5.81,0.0,2147885.44,48749.0,18749.0,5584685.44,,,,,,,,,,,,,,,,,,5.57,,,,71.31,21.12,19617.0,2247323.52,,2.24,71.3,29.5,0.489,63.19,0.2199
