,DEC FP Equity_DX_SI_QTY,DEC FP Equity_DX_SHORT_INTEREST_VALUE,DEC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,DEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DEC FP Equity_DX_SI_MV,DEC FP Equity_DX_DSS,DEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DEC FP Equity_DX_SUPPLY_SI_QTY,DEC FP Equity_DX_BROKER_SI_QTY,DEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DEC FP Equity_DX_BROKER_SI_MV_NEW_x,DEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,DEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,DEC FP Equity_DX_BROKER_SI_MV_INC_x,DEC FP Equity_DX_SUPPLY_SI_MV_NEW,DEC FP Equity_DX_BROKER_SI_QTY_ADD,DEC FP Equity_DX_BROKER_SI_QTY_NEW,DEC FP Equity_DX_SUPPLY_SI_MV_DEC,DEC FP Equity_DX_BROKER_SI_QTY_INC,DEC FP Equity_DX_SUPPLY_SI_QTY_DEC,DEC FP Equity_DX_BROKER_SI_MV_NEW_y,DEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,DEC FP Equity_DX_BROKER_SI_MV_INC_y,DEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,DEC FP Equity_DX_BROKER_SI_MV_ADD,DEC FP Equity_DX_SUPPLY_SI_QTY_ADD,DEC FP Equity_DX_BROKER_SI_QTY_DEC,DEC FP Equity_DX_SUPPLY_SI_MV,DEC FP Equity_DX_BROKER_SI_MV_DEC,DEC FP Equity_DX_SUPPLY_SI_MV_RMV,DEC FP Equity_DX_BROKER_SI_MV_RMV,DEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DEC FP Equity_DX_UTILIZATION_QUANTITY,DEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,DEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DEC FP Equity_DX_ACTIVE_UTILIZATION_MV,DEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DEC FP Equity_DX_BROKER_SI_CON_RATIO,DEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2010-12-17,1238657.0,24655554.45,2.0,7.38,0.56,26.83,0.0,12708312.4,878187.0,638446.0,17480373.82,,,22929.0,0.45,,50000.0,,0.04,25699.0,2142.0,,,0.45,22929.0,1.12,,,19.02,,,,7.06,7.06,11557816.0,230059138.01,,253.07,6.99,26.33,0.2146,33.89,0.0996
2010-12-20,1242764.0,24842900.8,2.01,7.58,0.56,27.52,0.0,12924839.56,944587.0,646564.0,18882330.94,,,1539.0,0.35,,,,0.1,8118.0,5139.0,,,0.35,1539.0,,70000.0,,21.05,,,,7.55,7.55,11558688.0,231058623.61,,257.82,7.55,25.84,0.2128,33.85,0.0994
2010-12-21,1226261.0,25445267.12,1.98,7.48,0.55,27.46,0.0,13301410.93,932031.0,641023.0,19339910.32,,,3753.0,0.09,,13000.0,,0.36,3478.0,16309.0,,,0.09,3753.0,0.3,,22019.0,20.84,0.31,,,7.44,7.44,11587860.0,240451415.4,,263.1,7.34,25.96,0.2141,33.84,0.0979
2010-12-22,1373176.0,28493795.47,2.22,8.41,0.62,31.56,0.0,14181057.08,1038946.0,683415.0,21558427.2,,,70041.0,1.13,,,,0.0,42392.0,3121.0,,,1.13,70041.0,,39995.0,,24.02,,,,8.31,8.31,11460059.0,237799508.03,,265.75,8.29,23.24,0.2179,36.11,0.1099
2010-12-23,1383405.0,28767916.64,2.24,8.46,0.62,32.04,0.0,14662850.56,1073348.0,705114.0,22320279.16,,,36089.0,0.77,,,,0.31,32699.0,13360.0,,,0.77,36089.0,,11673.0,11000.0,24.89,0.26,,,8.55,8.55,11477826.0,238681471.86,,266.35,8.55,23.68,0.2201,35.47,0.1102
2010-12-24,1445416.0,29863516.88,2.34,8.82,0.65,33.5,0.0,14513231.69,1136019.0,702451.0,23471113.22,,,61001.0,0.09,,,,0.06,3600.0,2743.0,,,0.09,61001.0,,4413.0,6263.0,26.39,0.16,,,9.11,9.11,11335865.0,234208557.08,,262.63,9.13,23.72,0.2208,35.58,0.1159
2010-12-27,1536730.0,31818864.59,2.48,9.68,0.69,35.47,0.0,15795675.91,1184894.0,762871.0,24533901.03,,,48875.0,1.38,,,,,60517.0,,,,1.38,48875.0,,,97.0,27.33,0.01,,,9.49,9.49,11304003.0,234055781.27,,260.98,9.48,25.35,0.2184,33.83,0.123
2010-12-28,1622310.0,34127720.08,2.62,10.28,0.73,37.58,0.0,15801123.25,1216736.0,751129.0,25595863.69,,,32717.0,0.12,,,,0.01,5912.0,875.0,,,0.12,32717.0,,,17654.0,28.19,0.35,,,9.76,9.76,11245135.0,236558253.08,,262.25,9.71,23.96,0.2006,32.23,0.1302
2010-12-29,1368245.0,28691299.58,2.21,9.01,0.62,31.95,0.0,16320979.33,943077.0,778323.0,19775774.61,,,3889.0,0.83,,,,7.0,35881.0,302548.0,,,0.83,3889.0,,25000.0,8687.0,22.12,0.2,,,7.59,7.59,11484646.0,240826327.88,,269.16,7.59,20.25,0.1928,30.17,0.1101
2010-12-30,1521521.0,31333845.89,2.46,10.18,0.69,35.46,0.0,15955040.01,1105338.0,774751.0,22763071.0,,,423.0,0.1,,,,,1158.0,,,,0.1,423.0,,161838.0,4730.0,25.82,0.11,,,8.87,8.87,11352677.0,233794362.07,,263.34,8.93,25.61,0.1862,26.9,0.1221
2010-12-31,1527426.0,31455452.07,2.47,10.58,0.69,35.23,0.0,16062127.59,1106243.0,779951.0,22781708.36,,,905.0,0.0,,4300.0,,,900.0,,,,0.0,905.0,0.1,,,25.43,,,,8.86,8.86,11384231.0,234444177.73,,261.88,8.85,25.32,0.185,27.03,0.1223
2011-01-03,1725394.0,36388838.84,2.79,12.23,0.78,39.85,0.0,22518282.24,1072283.0,1067715.0,22614622.1,6.32,,1422.0,0.34,,,273390.0,1.01,14374.0,42800.0,6.32,,0.34,1422.0,,7418.0,,24.72,,,,8.51,8.51,11534841.0,243271664.46,,268.52,8.43,22.06,0.1721,23.09,0.1369
2011-01-04,1723565.0,35602602.57,2.79,12.32,0.78,40.54,0.0,22002879.98,1074804.0,1065186.0,22201552.98,,,2874.0,0.26,,,,0.0,3700.0,353.0,,,0.26,2874.0,,,6229.0,25.39,0.0,,,8.53,8.53,11519493.0,237950951.16,,269.76,8.6,22.24,0.172,22.87,0.1369
2011-01-05,1759816.0,35902828.17,2.84,12.19,0.79,41.03,0.0,22413806.58,1092906.0,1098637.0,22296885.77,,,20683.0,0.75,,,,0.06,38682.0,2581.0,,,0.75,20683.0,,,5231.0,25.36,0.02,,,8.69,8.69,11477091.0,234149494.09,,264.67,8.74,21.54,0.1721,23.22,0.14
2011-01-06,1624980.0,34314693.22,2.63,11.79,0.73,37.6,0.0,20473242.62,1087192.0,969515.0,22958227.15,,,2000.0,0.05,,,,0.18,8565.0,7714.0,,,0.05,2000.0,,,137687.0,24.9,3.28,,,8.67,8.67,11453134.0,241855764.15,,265.86,8.56,23.48,0.1812,25.34,0.1296
2011-01-07,1573170.0,32770363.43,2.54,11.02,0.71,37.01,0.0,19748894.95,975490.0,948063.0,20320220.84,,,,0.0,,,,2.44,201.0,111702.0,,,0.0,,,,21653.0,22.9,0.07,,,7.86,7.86,11437748.0,238257250.51,,269.24,7.84,23.69,0.181,25.05,0.1267
2011-01-10,1544478.0,31461268.24,2.5,10.6,0.7,36.04,0.0,18778886.38,954195.0,921882.0,19437107.45,,,,0.16,,,,0.52,14522.0,21295.0,,,0.16,,,,40703.0,22.23,0.77,,,7.61,7.61,11584768.0,235983609.67,,268.06,7.66,23.46,0.179,24.58,0.1232
2011-01-11,1586189.0,32346395.63,2.55,10.67,0.72,36.29,0.0,19719059.91,1057614.0,966975.0,21567417.8,,,14053.0,0.69,,,,0.23,45093.0,9050.0,,,0.69,14053.0,,98416.0,,24.06,,,,8.44,8.44,11468903.0,233879867.98,,261.05,8.44,23.71,0.1778,23.9,0.1266
2011-01-12,1742803.0,35602501.37,2.81,11.68,0.79,39.62,0.0,22427045.0,1162567.0,1097842.0,23749266.67,,,132279.0,3.0,,,,1.21,130867.0,52819.0,,,3.0,132279.0,,25493.0,,26.34,,,,9.28,9.28,11370036.0,232270498.87,,258.35,9.25,21.31,0.1683,21.64,0.1391
2011-01-13,1712406.0,34744145.72,2.76,11.46,0.77,38.85,0.0,21721548.26,1130146.0,1070572.0,22930284.82,,,,0.1,,,,0.84,4583.0,37843.0,,,0.1,,,5422.0,31853.0,25.57,0.82,,,9.02,9.02,11400120.0,231304626.66,,257.45,9.04,19.91,0.1658,22.09,0.1367
2011-01-14,1550934.0,31315344.17,2.5,10.6,0.7,35.18,0.0,19583180.17,1029045.0,969883.0,20777736.73,,,,,,,,2.35,,101101.0,,,,,,,100689.0,23.32,2.28,,,8.22,8.22,11490161.0,232001069.22,,259.92,8.23,19.61,0.166,23.75,0.1239
2011-01-17,1393651.0,28152063.86,2.25,9.51,0.63,31.63,0.0,16870359.37,974605.0,835157.0,19687240.35,,,2100.0,,,,,1.28,,56540.0,,,,2100.0,,,134726.0,22.07,3.03,,,7.79,7.79,11530971.0,232928209.43,,260.84,7.8,19.51,0.1741,26.3,0.1114
2011-01-18,1394188.0,28667935.92,2.25,9.58,0.63,31.54,0.0,17227106.18,962792.0,837794.0,19797372.63,,,,0.13,,,,0.27,6000.0,11813.0,,,0.13,,,,3363.0,21.67,0.12,,,7.68,7.68,11573224.0,237973963.34,,262.72,7.62,19.14,0.1743,26.22,0.1112
2011-01-19,1285354.0,26062158.81,2.07,9.27,0.58,29.37,0.0,15229856.21,922702.0,751118.0,18708936.26,,,2100.0,,,5000.0,,0.91,,42190.0,,,,2100.0,0.11,,91676.0,21.15,2.0,,,7.25,7.25,11811108.0,239484976.49,,269.48,7.28,19.89,0.1828,28.39,0.1009
2011-01-20,1191627.0,23511587.65,1.92,8.54,0.54,27.06,0.0,13397887.9,887336.0,679039.0,17507725.27,,,,,,,,0.87,,35366.0,,,,,,,72079.0,20.12,1.65,,,6.96,6.96,11857613.0,233958535.16,,265.89,7.04,19.86,0.1852,30.19,0.0935
2011-01-21,1183318.0,23908581.78,1.91,8.31,0.53,26.22,0.0,13509466.63,856849.0,668630.0,17312374.51,,,2100.0,0.0,,,,1.11,101.0,41815.0,,,0.0,2100.0,,9228.0,10510.0,18.78,0.29,,,6.72,6.72,11898488.0,240405346.11,,263.98,6.64,20.23,0.1857,30.08,0.0928
2011-01-24,1175636.0,23674506.84,1.9,8.2,0.53,26.52,0.0,13408591.63,853405.0,665848.0,17185542.56,,,7501.0,0.2,,,,0.54,2667.0,30945.0,,,0.2,7501.0,,20000.0,5449.0,19.25,0.13,,,6.69,6.69,11903826.0,239714682.19,,268.27,6.69,19.45,0.187,30.66,0.0922
2011-01-25,1172739.0,23458831.94,1.89,8.36,0.53,26.41,0.0,13313019.5,858735.0,665536.0,17177667.02,,,,,,,,0.16,,7034.0,,,,,,12364.0,312.0,19.31,0.0,,,6.81,6.81,11742393.0,234888431.23,,263.39,6.83,19.97,0.1885,30.74,0.0931
2011-01-26,1057879.0,21322085.07,1.71,7.5,0.48,23.76,0.0,11748563.02,830790.0,582896.0,16744991.68,,,500.0,0.15,,20000.0,,1.03,7628.0,45468.0,,,0.15,500.0,0.45,17023.0,110268.0,18.57,2.46,,,6.59,6.59,11769007.0,237210274.97,,263.93,6.57,19.95,0.1845,32.76,0.084
2011-01-27,1145018.0,23441976.16,1.85,8.09,0.52,25.82,0.0,13636054.83,876985.0,666050.0,17954531.25,,,,1.83,,,,0.16,83154.0,7778.0,,,1.83,,,53973.0,,19.77,,,,6.96,6.96,11714466.0,239830494.15,,265.35,6.93,19.79,0.1819,30.28,0.0909
2011-01-28,1088123.0,22817304.63,1.76,7.61,0.49,24.96,0.0,13297734.65,850321.0,634149.0,17830735.4,,,,0.46,,,,0.58,17493.0,26664.0,,,0.46,,,,49394.0,19.53,1.07,,,6.75,6.75,11743706.0,246258664.98,,271.75,6.71,21.99,0.1952,31.24,0.0864
2011-01-31,1122515.0,23463185.76,1.81,7.66,0.51,26.15,0.0,14276588.16,835848.0,683014.0,17471175.79,,,,1.49,,,,0.32,63338.0,14473.0,,,1.49,,,,14473.0,19.55,0.29,,,6.64,6.64,11754197.0,245690175.75,,275.37,6.63,25.24,0.1987,29.98,0.0892
2011-02-01,1186917.0,24788106.22,1.91,8.1,0.54,27.69,0.0,15605736.6,841971.0,747242.0,17584099.46,,,12031.0,0.75,,35000.0,,0.14,33210.0,5908.0,,,0.75,12031.0,0.82,,3982.0,19.6,0.0,,,6.77,6.77,11587075.0,241989663.88,,269.96,6.77,23.82,0.1847,28.05,0.0955
2011-02-02,1509119.0,31881554.85,2.43,10.23,0.68,35.36,0.0,17061730.27,1189985.0,807620.0,25139549.66,,,104350.0,1.51,,11000.0,,0.13,61526.0,6336.0,,,1.51,104350.0,0.26,250000.0,12148.0,27.8,0.28,,,9.59,9.59,11212937.0,236883815.0,,263.01,9.56,18.55,0.2209,38.89,0.1217
2011-02-03,1509338.0,31771434.38,2.44,10.32,0.68,35.94,0.0,17087540.95,1173482.0,811763.0,24701694.62,,,34156.0,1.22,,,,1.13,49156.0,50659.0,,,1.22,34156.0,,,45013.0,27.9,0.99,,,9.45,9.45,11250422.0,236820410.2,,266.38,9.48,18.47,0.2206,39.04,0.1215
2011-02-04,1517369.0,32144058.48,2.45,10.25,0.68,36.01,0.0,17307219.69,1147683.0,816992.0,24312602.59,,,3300.0,0.36,,,,0.74,16523.0,30249.0,,,0.36,3300.0,,1150.0,11294.0,27.06,0.2,,,9.24,9.24,11277993.0,238913847.97,,266.36,9.22,17.89,0.2176,38.62,0.1221
2011-02-07,1488485.0,31492238.24,2.4,9.75,0.67,35.35,0.0,16670320.37,1113798.0,787925.0,23564894.48,,,4522.0,0.54,,,,1.24,20921.0,52611.0,,,0.54,4522.0,,14204.0,49988.0,26.35,1.23,,,8.96,8.96,11311274.0,239315368.04,,267.54,8.97,14.63,0.2191,39.46,0.1198
2011-02-08,1357135.0,29253390.39,2.19,8.65,0.61,32.38,0.0,16082828.08,1002286.0,746121.0,21604529.87,,,,0.08,,,,2.65,3584.0,111512.0,,,0.08,,,,45388.0,23.63,0.91,,,8.05,8.05,11444536.0,246689886.73,,272.2,7.99,15.56,0.2049,37.13,0.109
2011-02-09,1341675.0,29286148.0,2.16,8.46,0.61,32.28,0.0,15948904.31,983312.0,730661.0,21463782.78,,,,0.02,,,,0.4,1520.0,18974.0,,,0.02,,,,16980.0,23.63,0.53,,,7.87,7.87,11509833.0,251237201.8,,278.24,7.83,15.63,0.2097,38.03,0.1074
2011-02-10,1319347.0,28798771.32,2.13,8.05,0.6,32.33,0.0,15461527.62,989207.0,708333.0,21592459.13,,,30416.0,0.27,,,,0.56,6680.0,24521.0,,,0.27,30416.0,,,29008.0,24.26,0.57,,,7.87,7.87,11576380.0,252689792.99,,283.19,7.89,15.84,0.2155,38.85,0.105
2011-02-11,1259574.0,27387018.78,2.03,7.59,0.57,31.0,0.0,17363154.3,839059.0,798560.0,18243727.32,,,,,,91122.0,,3.7,,150148.0,,,,,2.34,,895.0,20.51,0.0,,,6.91,6.91,11304084.0,245785607.52,,275.74,6.92,16.79,0.1572,28.31,0.1037
2011-02-14,1285193.0,27748641.79,2.07,7.66,0.58,31.56,0.0,17794874.26,872025.0,824179.0,18827918.73,,,,0.7,,,,,28014.0,,,,0.7,,,32966.0,2395.0,21.24,0.06,,,7.18,7.18,11270855.0,243349378.68,,273.53,7.21,17.76,0.1581,27.7,0.1058
2011-02-15,1314966.0,28356188.03,2.12,7.91,0.59,32.08,0.0,17846703.31,903417.0,827608.0,19481463.65,,,3969.0,0.44,,6000.0,,0.49,17429.0,20000.0,,,0.44,3969.0,0.15,47423.0,20000.0,21.8,0.47,,,7.43,7.43,11249591.0,242588414.97,,271.67,7.43,17.38,0.1447,25.47,0.1082
2011-02-16,1314981.0,28121285.35,2.12,8.22,0.59,31.92,0.0,17633220.25,904263.0,824548.0,19337950.78,,,3075.0,,,,,0.06,,2229.0,,,,3075.0,,,3060.0,21.75,0.09,,,7.46,7.46,11221861.0,239983053.27,,269.24,7.47,17.35,0.1454,25.76,0.1084
2011-02-17,1219107.0,26163671.8,1.97,7.6,0.55,29.32,0.0,15630981.86,889511.0,728332.0,19090099.44,,,342.0,0.25,,,,0.38,10000.0,15094.0,,,0.25,342.0,,,106216.0,21.22,2.7,,,7.34,7.34,11232529.0,241065142.11,,268.43,7.32,18.78,0.1617,27.84,0.1006
2011-02-18,1221123.0,26190555.11,1.97,7.88,0.55,29.35,0.0,15621210.46,891527.0,728332.0,19121404.66,,,891.0,,,,,,,,,,,891.0,,1125.0,,21.31,,,,7.33,7.33,11266154.0,241635631.5,,269.49,7.33,18.82,0.162,27.96,0.1004
2011-02-21,1212020.0,25399091.83,1.95,8.05,0.55,29.37,0.0,14780791.12,905891.0,705325.0,18983852.33,,,15489.0,,,,,0.03,,1125.0,,,,15489.0,,,23007.0,21.67,0.3,,,7.6,7.6,11015861.0,230848389.6,,261.39,7.65,19.1,0.1675,28.78,0.1017
2011-02-22,1204957.0,24933150.94,1.94,8.22,0.54,28.52,0.0,14448542.02,898202.0,698262.0,18585730.48,,,,0.04,,,,0.46,1134.0,18030.0,,,0.04,,,10341.0,8197.0,21.05,0.25,,,7.41,7.41,11223031.0,232228640.49,,261.75,7.44,18.37,0.1681,29.1,0.0994
2011-02-23,1160014.0,23562234.74,1.87,8.02,0.52,27.06,0.0,13330010.92,884259.0,656262.0,17961091.96,,,,,,,,0.34,,13943.0,,,,,,,42000.0,20.4,1.0,,,7.29,7.29,11241854.0,228344832.75,,257.89,7.33,19.11,0.1749,29.93,0.0957
2011-02-24,1168100.0,23219769.65,1.88,7.98,0.53,26.78,0.0,13206067.57,880937.0,664348.0,17511475.23,,,,0.17,,,,0.08,10341.0,3322.0,,,0.17,,,,2255.0,19.97,0.16,,,7.27,7.27,11230839.0,223249289.02,,252.94,7.32,19.29,0.1751,29.71,0.0964
2011-02-25,1212657.0,25206364.67,1.96,8.25,0.55,27.41,0.0,15149215.22,884315.0,728816.0,18381427.21,,,9389.0,0.66,,34400.0,,0.13,30068.0,6011.0,,,0.66,9389.0,0.78,,,19.72,,,,7.32,7.32,11202309.0,232851899.47,,253.75,7.21,19.68,0.1716,29.36,0.1003
2011-02-28,1277655.0,26734542.82,2.06,8.82,0.58,29.63,0.0,15264921.65,949112.0,729517.0,19859880.33,,,64797.0,0.07,,,,,2173.0,,,,0.07,64797.0,,,1472.0,22.04,0.0,,,7.85,7.85,11144903.0,233203710.31,,259.43,7.83,17.77,0.1853,33.27,0.1056
2011-03-01,1296184.0,27081680.37,2.09,8.98,0.58,30.47,0.0,15441115.08,924356.0,739043.0,19312932.22,,,1000.0,0.49,,,,0.62,20874.0,26724.0,,,0.49,1000.0,,968.0,11348.0,21.65,0.23,,,7.57,7.57,11291373.0,235915081.92,,264.24,7.57,18.04,0.1817,32.69,0.1061
2011-03-02,1202251.0,25135230.94,1.94,8.28,0.54,28.22,0.0,14792152.12,852163.0,707528.0,17816008.31,,,5817.0,,,,,1.86,,78680.0,,,,5817.0,,670.0,31515.0,19.88,0.71,,,6.97,6.97,11367941.0,237667360.97,,265.41,6.97,17.45,0.1679,30.06,0.0984
2011-03-03,1206307.0,25311738.15,1.95,8.31,0.54,28.25,0.0,14499641.09,861020.0,691024.0,18066638.75,,,18098.0,0.0,,,,0.58,500.0,24786.0,,,0.0,18098.0,,15545.0,17004.0,20.07,0.42,,,7.03,7.03,11391998.0,239036389.93,,266.14,7.01,18.66,0.1688,29.9,0.0985
2011-03-04,1205709.0,25234486.61,1.94,8.5,0.54,28.39,0.0,14591292.92,862354.0,697175.0,18048352.02,,,5451.0,0.19,,1000.0,,0.21,5368.0,9647.0,,,0.19,5451.0,0.02,5530.0,217.0,20.2,0.0,,,7.02,7.02,11419683.0,239004467.69,,267.39,7.02,18.66,0.1686,29.86,0.0982
2011-03-07,1249217.0,26390881.24,2.01,8.97,0.56,29.47,0.0,15829116.28,853763.0,749274.0,18036544.44,,,3130.0,1.41,,,,0.27,58099.0,11721.0,,,1.41,3130.0,,,6000.0,20.01,0.14,,,6.95,6.95,11437249.0,241622616.47,,268.73,6.93,19.23,0.1624,27.97,0.1016
2011-03-08,1241067.0,26390758.16,2.0,8.85,0.56,29.55,0.0,15716836.3,847661.0,739109.0,18025148.08,,,4015.0,0.25,,,,0.21,9000.0,10117.0,,,0.25,4015.0,,,19165.0,20.09,0.38,,,6.89,6.89,11454185.0,243568337.74,,271.79,6.88,19.21,0.1609,28.32,0.1009
2011-03-09,1238099.0,25984361.21,2.0,8.85,0.56,29.55,0.0,15364994.8,866693.0,732109.0,18189550.25,,,17931.0,,,,,,,,,,,17931.0,,1101.0,7000.0,20.59,0.19,,,7.04,7.04,11445645.0,240213241.4,,270.71,7.07,19.4,0.1608,28.3,0.1006
2011-03-10,1242152.0,25719460.34,2.0,8.52,0.56,29.44,0.0,15413782.45,858946.0,744427.0,17784963.18,,,,0.29,,518.0,,0.21,12000.0,7747.0,,,0.29,,0.01,,200.0,20.2,0.0,,,6.98,6.98,11440375.0,236879440.73,,267.71,7.02,19.55,0.1596,27.97,0.101
2011-03-11,1305190.0,26493542.85,2.11,8.9,0.59,30.39,0.0,16339447.35,868187.0,804954.0,17622989.36,,,,1.29,,,,0.03,60527.0,1286.0,,,1.29,,,10527.0,,19.98,,,,7.07,7.07,11412595.0,231659815.51,,261.4,7.1,18.64,0.153,26.42,0.1063
2011-03-14,1418427.0,28532022.53,2.29,10.0,0.64,32.5,0.0,17013584.29,984024.0,845805.0,19793894.89,,,28163.0,1.14,,,,,52851.0,,,,1.14,28163.0,,87674.0,12000.0,22.23,0.28,,,8.05,8.05,11244683.0,226189679.66,,253.48,8.06,17.05,0.161,28.91,0.116
2011-03-15,1544153.0,30322142.5,2.49,10.81,0.7,34.98,0.0,17844442.61,1064850.0,908727.0,20910190.53,,,81506.0,1.21,,4400.0,,0.14,58522.0,6180.0,,,1.21,81506.0,0.1,5500.0,,23.84,,,,8.71,8.71,11159372.0,219133769.75,,248.42,8.76,15.58,0.1668,30.75,0.1263
2011-03-16,1538141.0,29818882.81,2.48,10.89,0.69,34.36,0.0,18739430.47,1036493.0,966632.0,20093777.68,,,9625.0,0.82,,26956.0,,1.64,41821.0,73012.0,,,0.82,9625.0,0.64,49758.0,10872.0,22.76,0.36,0.33,,8.54,8.54,11102979.0,215245825.73,14728.0,242.88,8.57,15.7,0.1498,26.54,0.1267
2011-03-17,1619918.0,32193870.97,2.61,11.22,0.73,35.79,0.0,20640257.22,1098218.0,1038568.0,21825727.35,,,19226.0,2.04,,,,0.34,95106.0,17753.0,,,2.04,19226.0,,60252.0,23170.0,23.84,0.79,,,9.15,9.15,10902573.0,216675182.6,,238.22,9.1,15.72,0.1452,25.78,0.135
2011-03-18,1700825.0,33429095.65,2.74,11.8,0.77,37.85,0.0,21532793.31,1158263.0,1095558.0,22765237.24,,,29254.0,1.66,,,,0.09,77500.0,8609.0,,,1.66,29254.0,,39400.0,20510.0,25.6,0.37,,,9.62,9.62,10887999.0,213999653.14,,240.0,9.64,16.89,0.143,24.84,0.1412
2011-03-21,1720571.0,34748226.97,2.78,11.71,0.78,38.49,0.0,22532724.78,1169710.0,1115716.0,23623174.27,,,26998.0,0.59,,,,0.35,26998.0,15551.0,,,0.59,26998.0,,,6840.0,25.75,0.15,,,9.76,9.76,10815742.0,218432054.18,,239.9,9.69,17.05,0.1428,24.48,0.1436
2011-03-22,1757008.0,35311236.43,2.83,12.15,0.79,40.01,0.0,23140591.9,1182335.0,1151424.0,23761821.64,,,30040.0,1.38,,,,0.31,47708.0,17415.0,,,1.38,30040.0,,,12000.0,26.7,0.29,,,9.87,9.87,10799670.0,217044942.72,,243.38,9.89,16.23,0.1442,24.49,0.1466
2011-03-23,1680013.0,33778865.76,2.71,11.53,0.76,38.27,0.0,21368144.07,1127346.0,1062758.0,22666770.56,,,7116.0,,,,,1.43,,62775.0,,,,7116.0,,670.0,88666.0,25.4,2.17,,,9.33,9.33,10962088.0,220407162.94,,247.06,9.32,17.01,0.1473,25.09,0.139
2011-03-24,1623801.0,33244109.99,2.62,11.68,0.73,36.98,0.0,21201040.36,1081167.0,1035560.0,22134753.38,,,,0.16,,4500.0,,1.05,7400.0,46179.0,,,0.16,,0.1,,39098.0,24.32,0.96,,,8.94,8.94,11006721.0,225340816.76,,248.99,8.9,17.93,0.1468,25.51,0.1343
2011-03-25,1657378.0,34161300.49,2.67,11.71,0.75,38.29,0.0,22179478.56,1069214.0,1076065.0,22038268.12,,,10722.0,0.34,,28215.0,,0.45,15000.0,22675.0,,,0.34,10722.0,0.65,,2710.0,24.57,0.0,,,8.86,8.86,10998179.0,226690650.95,,253.13,8.85,17.36,0.1421,25.05,0.1373
2011-03-28,1655080.0,34165746.05,2.67,11.51,0.75,38.42,0.0,22192521.08,1082898.0,1075065.0,22354217.36,,27211.0,17419.0,,0.63,,,0.06,,3735.0,,27211.0,,17419.0,,,1000.0,24.98,0.02,0.62,,9.0,9.0,10955118.0,226146034.98,27211.0,252.92,8.99,17.29,0.1418,24.97,0.1375
2011-03-29,1708027.0,35594817.13,2.75,11.92,0.77,39.76,0.0,23523634.25,1054895.0,1128788.0,21983724.27,,,,1.3,,,,0.89,54031.0,38913.0,,,1.3,,,10910.0,308.0,24.37,0.01,,,8.75,8.75,10998335.0,229202303.6,,254.71,8.73,16.85,0.1384,24.1,0.1417
2011-03-30,1767539.0,37451583.01,2.85,12.35,0.8,41.62,0.0,25042468.13,1143777.0,1181887.0,24234972.61,,,89750.0,1.52,,,,0.08,56730.0,3631.0,,,1.52,89750.0,,2763.0,3631.0,26.69,0.08,,,9.47,9.47,10935083.0,231698519.04,,256.03,9.44,16.36,0.1358,23.35,0.1463
2011-03-31,1741213.0,36878199.76,2.81,12.26,0.79,41.44,0.0,24577446.49,1167174.0,1160430.0,24720281.74,,,31125.0,0.73,,,,0.16,25002.0,7728.0,,,0.73,31125.0,,,46459.0,27.62,1.03,,,9.7,9.7,10867840.0,230176534.65,,257.05,9.7,14.73,0.1352,23.75,0.1447
2011-04-01,1752352.0,37654844.49,2.83,12.21,0.79,41.84,0.0,25091096.0,1177130.0,1167670.0,25294374.13,,4455.0,14440.0,0.56,0.11,,,0.32,19115.0,13231.0,,4455.0,0.56,14440.0,,4292.0,11875.0,27.9,0.29,,,9.77,9.77,10868694.0,233548386.58,,258.58,9.74,15.63,0.1359,23.59,0.1455
2011-04-04,1789029.0,38786992.78,2.89,12.07,0.81,43.27,0.0,26110811.17,1192708.0,1204347.0,25858472.16,,,15578.0,1.09,,,,,36677.0,,,,1.09,15578.0,,,,28.68,,,,9.9,9.9,10850461.0,235243113.73,,261.25,9.89,15.97,0.1363,23.11,0.1486
2011-04-05,1817725.0,38701917.2,2.93,12.18,0.82,44.13,0.0,25885109.49,1197670.0,1215754.0,25500075.74,,,10695.0,0.8,,,,0.13,31544.0,5733.0,,,0.8,10695.0,,,20137.0,28.98,0.44,,,9.94,9.94,10847312.0,230954501.32,,261.11,9.99,16.02,0.1385,23.24,0.1509
