,SRIUC FP Equity_DX_SI_QTY,SRIUC FP Equity_DX_SHORT_INTEREST_VALUE,SRIUC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIUC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIUC FP Equity_DX_SI_MV,SRIUC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIUC FP Equity_DX_SUPPLY_SI_QTY,SRIUC FP Equity_DX_BROKER_SI_QTY,SRIUC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIUC FP Equity_DX_BROKER_SI_QTY_ADD,SRIUC FP Equity_DX_BROKER_SI_MV_ADD,SRIUC FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIUC FP Equity_DX_SUPPLY_SI_MV,SRIUC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIUC FP Equity_DX_UTILIZATION_QUANTITY,SRIUC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIUC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIUC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIUC FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIUC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIUC FP Equity_DX_BROKER_SI_CON_RATIO,SRIUC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIUC FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIUC FP Equity_PX_LAST
2025-02-13,,,,,,,,,,,,,,,,,,,,,,,,10.61
2025-02-14,,,,,,,,,,,,,,,,,,,,,,,,10.62
2025-02-17,,,,,,,,,,,,,,,,,,,,,,,,10.612
2025-02-18,,,,,,,,,,,,,,,,,,,,,,,,10.616
2025-02-19,,,,,,,,,,,,,,,,,,,,,,,,10.616
2025-02-20,,,,,,,,,,,,,,,,,,,,,,,,10.618
2025-02-21,,,,,,,,,,,,,,,,,,,,,,,,10.624
2025-02-24,,,,,,,,,,,,,,,,,,,,,,,,10.624
2025-02-25,,,,,,,,,,,,,,,,,,,,,,,,10.626
2025-02-26,,,,,,,,,,,,,,,,,,,,,,,,10.624
2025-02-27,,,,,,,,,,,,,,,,,,,,,,,,10.626
2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,10.628
2025-03-03,,,,,,,,,,,,,,,,,,,,,,,,10.634
2025-03-04,,,,,,,,,,,,,,,,,,,,,,,,10.636
2025-03-05,,,,,,,,,,,,,,,,,,,,,,,,10.636
2025-03-06,,,,,,,,,,,,,,,,,,,,,,,,10.632
2025-03-07,,,,,,,,,,,,,,,,,,,,,,,,10.628
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,300.0,3188.4,0.0,0.0,,0.0,,0.0,10.628
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,300.0,3190.2,0.0,0.0,,0.0,,0.0,10.634
2025-03-12,,,,,,,,,,,,,,,,,,,,,,,,10.632
2025-03-13,,,,,,,,,,,,,,,,,,,,,,,,10.632
2025-03-14,,,,,,,,,,,,,,,,,,,,,,,,10.634
2025-03-17,,,,,,,,,,,,,,,,,,,,,,,,10.634
2025-03-18,,,,,,,,,,,,,,,,,,,,,,,,10.636
2025-03-19,,,,,,,,,,,,,,,,,,,,,,,,10.64
2025-03-20,,,,,,,,,,,,,,,,,,,,,,,,10.64
2025-03-21,,,,,,,,,,,,,,,,,,,,,,,,10.644
2025-03-24,,,,,,,,,,,,,,,,,,,,,,,,10.646
2025-03-25,,,,,,,,,,,,,,,,,,,,,,,,10.646
2025-03-26,,,,,,,,,,,,,,,,,,,,,,,,10.646
2025-03-27,,,,,,,,,,,,,,,,,,,,,,,,10.648
2025-03-28,,,,,,,,,,,,,,,,,,,,,,,,10.65
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,10.65
2025-04-01,,,,,,,,,,,,,,,,,,,,,,,,10.652
2025-04-02,,,,,,,,,,,,,,,,,,,,,,,,10.654
2025-04-03,,,,,,,,,,,,,,,,,,,,,,,,10.658
2025-04-04,,,,,,,,,,,,,,,,,,,,,,,,10.666
2025-04-07,,,,,,,,,,,,,,,,,,,,,,,,10.656
2025-04-08,,,,,,,,,,,,,,,,,,,,,,,,10.654
2025-04-09,,,,,,,,,,,,,,,,,,,,,,,,10.638
2025-04-10,,,,,,,,,,,,,,,,,,,,,,,,10.648
2025-04-11,,,,,,,,,,,,,,,,,,,,,,,,10.656
2025-04-14,,,,,,,,,,,,,,,,,,,,,,,,10.654
2025-04-15,,,,,,,,,,,,,,,,,,,,,,,,10.66
2025-04-16,,,,,,,,,,,,,,,,,,,,,,,,10.67
2025-04-17,,,,,,,,,,,,,,,,,,,,,,,,10.67
2025-04-22,,,,,,,,,,,,,,,,,,,,,,,,10.676
2025-04-23,,,,,,,,,,,,,,,,,,,,,,,,10.68
2025-04-24,,,,,,,,,,,,,,,,,,,,,,,,10.68
2025-04-25,,,,,,,,,,,,,,,,,,,,,,,,10.684
2025-04-28,,,,,,,,,,,,,,,,,,,,,,,,10.684
2025-04-29,,,,,,,,,,,,,,,,,,,,,,,,10.688
2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,10.688
2025-05-02,,,,,,,,,,,,,,,,,,,,,,,,10.682
2025-05-05,,,,,,,,,,,,,,,,,,,,,,,,10.684
2025-05-06,,,,,,,,,,,,,,,,,,,,,,,,10.688
2025-05-07,,,,,,,,,,,,,,,,,,,,,,,,10.688
2025-05-08,,,,,,,,,,,,,,,,,,,,,,,,10.686
2025-05-09,,,,,,,,,,,,,,,,,,,,,,,,10.686
2025-05-12,,,,,,,,,,,,,,,,,,,,,,,,10.686
2025-05-13,,,,,,,,,,,,,,,,,,,,,,,,10.686
2025-05-14,,,,,,,,,,,,,,,,,,,,,,,,10.686
2025-05-15,,,,,,,,,,,,,,,,,,,,,,,,10.686
2025-05-16,,,,,,,,,,,,,,,,,,,,,,,,10.698
2025-05-19,,,,,,,,,,,,,,,,,,,,,,,,10.698
2025-05-20,,,,,,,,,,,,,,,,,,,,,,,,10.702
2025-05-21,,,,,,,,,,,,,,,,,,,,,,,,10.696
2025-05-22,,,,,,,,,,,,,,,,,,,,,,,,10.7
2025-05-23,,,,,,,,,,,,,,,,,,,,,,,,10.696
2025-05-26,,,,,,,,,,,,,,,,,,,,,,,,10.708
2025-05-27,,,,,,,,,,,,,,,,,,,,,,,,10.706
2025-05-28,,,,,,,,,,,,,,,,,,,,,,,,10.71
2025-05-29,,,,,,,,,,,,,,,,,,,,,,,,10.712
2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,10.712
2025-06-02,,,,,,,,,,,,,,,,,,,,,,,,10.714
2025-06-03,,,,,,,,,,,,,,,,,,,,,,,,10.712
2025-06-04,,,,,,,,,,,,,,,,,,,,,,,,10.714
2025-06-05,,,,,,,,,,,,,,,,,,,,,,,,10.716
2025-06-06,,,,,,,,,,,,,,,,,,,,,,,,10.71
2025-06-09,,,,,,,,,,,,,,,,,,,,,,,,10.716
2025-06-10,,,,,,,,,,,,,,,,,,,,,,,,10.718
2025-06-11,,,,,,,,,,,,,,,,,,,,,,,,10.72
2025-06-12,,,,,,,,,,,,,,,,,,,,,,,,10.724
2025-06-13,,,,,,,,,,,,,,,,,,,,,,,,10.722
2025-06-16,,,,,,,,,,,,,,,,,,,,,,,,10.724
2025-06-17,,,,,,,,,,,,,,,,,,,,,,,,10.726
2025-06-18,,,,,,,,,,,,,,,,,,,,,,,,10.724
2025-06-19,,,,,,,,,,,,,,,,,,,,,,,,10.724
2025-06-20,,,,,,,,,,,,,,,,,,,,,,,,10.726
2025-06-23,,,,,,,,,,,,,,,,,,,,,,,,10.728
2025-06-24,,,,,,,,,,,,,,,,,,,,,,,,10.732
2025-06-25,,,,,,,,,,,,,,,,,,,,,,,,10.736
2025-06-26,,,,,,,,,,,,,,,,,,,,,,,,10.736
2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,10.74
2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,10.736
2025-07-01,,,,,,,,,,,,,,,,,,,,,,,,10.74
2025-07-02,,,,,,,,,,,,,,,,,,,,,,,,10.742
2025-07-03,,,,,,,,,,,,,,,,,,,,,,,,10.748
2025-07-04,,,,,,,,,,,,,,,,,,,,,,,,10.746
2025-07-07,,,,,,,,,,,,,,,,,,,,,,,,10.748
2025-07-08,,,,,,,,,,,,,,,,,,,,,,,,10.748
2025-07-09,,,,,,,,,,,,,,,,,,,,,,,,10.744
2025-07-10,,,,,,,,,,,,,,,,,,,,,,,,10.748
2025-07-11,,,,,,,,,,,,,,,,,,,,,,,,10.748
2025-07-14,,,,,,,,,,,,,,,,,,,,,,,,10.75
2025-07-15,,,,,,,,,,,,,,,,,,,,,,,,10.74
2025-07-16,,,,,,,,,,,,,,,,,,,,,,,,10.856
2025-07-17,,,,,,,,,,,,,,,,,,,,,,,,10.75
2025-07-18,,,,,,,,,,,,,,,,,,,,,,,,10.752
2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,10.754
2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,10.748
2025-07-23,,,,,,,,,,,,,,,,,,,,,,,,10.758
2025-07-24,,,,,,,,,,,,,,,,,,,,,,,,10.76
2025-07-25,,,,,,,,,,,,,,,,,,,,,,,,10.76
2025-07-28,,,,,,,,,,,,,,,,,,,,,,,,10.762
2025-07-29,,,,,,,,,,,,,,,,,,,,,,,,10.762
2025-07-30,,,,,,,,,,,,,,,,,,,,,,,,10.76
2025-07-31,,,,,,,,,,,,,,,,,,,,,,,,10.764
2025-08-01,,,,,,,,,,,,,,,,,,,,,,,,10.766
2025-08-04,,,,,,,,,,,,,,,,,,,,,,,,10.762
2025-08-05,,,,,,,,,,,,,,,,,,,,,,,,10.766
2025-08-06,,,,,,,,,,,,,,,,,,,,,,,,10.77
2025-08-07,,,,,,,,,,,,,,,,,,,,,,,,10.768
2025-08-08,,,,,,,,,,,,,,,,,,,,,,,,10.766
2025-08-11,,,,,,,,,,,,,,,,,,,,,,,,10.768
2025-08-12,,,,,,,,,,,,,,,,,,,,,,,,10.73
2025-08-13,,,,,,,,,,,,,,,,,,,,,,,,10.772
2025-08-14,,,,,,,,,,,,,,,,,,,,,,,,10.776
2025-08-15,,,,,,,,,,,,,,,,,,,,,,,,10.776
2025-08-18,,,,,,,,,,,,,,,,,,,,,,,,10.774
2025-08-19,,,,,,,,,,,,,,,,,,,,,,,,10.774
2025-08-20,,,,,,,,,,,,,,,,,,,,,,,,10.774
2025-08-21,,,,,,,,,,,,,,,,,,,,,,,,10.778
2025-08-22,8600.0,92639.2,46.71,0.05,0.09,46319.6,4300.0,4300.0,46319.6,4300.0,0.05,4300.0,0.05,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0,10.772
2025-08-25,8600.0,92690.8,46.71,0.05,0.09,46345.4,4300.0,4300.0,46345.4,,,,0.05,100.0,100.0,0.0,0.0,0.0,100.0,49.98,0.5,50.02,2.0,10.778
2025-08-26,8600.0,92708.0,46.71,0.05,0.09,46354.0,4300.0,4300.0,46354.0,,,,0.05,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0,10.78
2025-08-27,8600.0,92690.8,46.71,0.05,0.09,46345.4,4300.0,4300.0,46345.4,,,,0.05,100.0,100.0,0.0,0.0,0.0,100.0,49.99,0.5,50.01,2.0,10.778
2025-08-28,,,,,,,,,,,,,,,,,,,,,,,,10.778
2025-08-29,,,,,,,,,,,,,,,,,,,,,,,,10.778
