DATE,AC FP Equity_DX_SI_QTY,AC FP Equity_DX_SHORT_INTEREST_VALUE,AC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,AC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AC FP Equity_DX_SI_MV,AC FP Equity_DX_DSS,AC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AC FP Equity_DX_SUPPLY_SI_QTY,AC FP Equity_DX_BROKER_SI_QTY,AC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AC FP Equity_DX_BROKER_SI_MV_NEW_x,AC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AC FP Equity_DX_SUPPLY_SI_QTY_INC_x,AC FP Equity_DX_BROKER_SI_MV_INC_x,AC FP Equity_DX_SUPPLY_SI_MV_NEW,AC FP Equity_DX_BROKER_SI_QTY_ADD,AC FP Equity_DX_BROKER_SI_QTY_NEW,AC FP Equity_DX_SUPPLY_SI_MV_DEC,AC FP Equity_DX_BROKER_SI_QTY_INC,AC FP Equity_DX_SUPPLY_SI_QTY_DEC,AC FP Equity_DX_BROKER_SI_MV_NEW_y,AC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AC FP Equity_DX_BROKER_SI_MV_INC_y,AC FP Equity_DX_SUPPLY_SI_QTY_INC_y,AC FP Equity_DX_BROKER_SI_MV_ADD,AC FP Equity_DX_SUPPLY_SI_QTY_ADD,AC FP Equity_DX_BROKER_SI_QTY_DEC,AC FP Equity_DX_SUPPLY_SI_MV,AC FP Equity_DX_BROKER_SI_MV_DEC,AC FP Equity_DX_SUPPLY_SI_MV_RMV,AC FP Equity_DX_BROKER_SI_MV_RMV,AC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AC FP Equity_DX_UTILIZATION_QUANTITY,AC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AC FP Equity_DX_ACTIVE_UTILIZATION_MV,AC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AC FP Equity_DX_BROKER_SI_CON_RATIO,AC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AC FP Equity_DX_DEMAND_SUPPLY_RATIO,AC FP Equity_PX_LAST
2023-12-19,3765220.0,131029656.0,1.7,4.82,1.42,130.52,1.0,83125124.4,3037014.0,2388653.0,105688087.2,0.0,0.0,215761.0,35.26,0.0,0.0,0.0,7.3,1019231.0,208379.0,0.0,0.0,35.26,215761.0,0.0,441970.0,65538.0,105.05,2.27,0.0,0.0,5.38,5.38,53375400.0,1857463920.0,0.0,1839.98,5.4,16.01,0.1062,17.91,0.0667,34.8
2023-12-20,3475892.0,120543934.56,1.57,4.37,1.31,121.17,1.0,81024930.12,2799912.0,2336359.0,97100948.16,0.0,0.0,135294.0,5.31,0.0,0.0,0.0,13.22,149028.0,388980.0,0.0,0.0,5.31,135294.0,0.0,16584.0,201322.0,97.79,6.89,0.0,0.0,4.99,4.99,53343848.0,1849964648.64,0.0,1853.84,5.01,16.81,0.1089,17.03,0.0619,34.68
2023-12-21,3662642.0,127020424.56,1.65,4.67,1.38,127.14,1.0,99549911.04,2378946.0,2870528.0,82501847.28,0.0,0.0,119910.0,1.36,0.0,700679.0,0.0,20.08,39543.0,574257.0,0.0,0.0,1.36,119910.0,24.3,33381.0,206053.0,82.51,7.28,0.0,0.0,4.25,4.25,53639544.0,1860219385.92,0.0,1852.85,4.26,16.41,0.1162,19.69,0.0654,34.68
2023-12-22,3662606.0,127238932.44,1.65,4.67,1.38,127.45,1.0,102109197.6,2248094.0,2939240.0,78098785.56,0.0,0.0,6000.0,2.67,0.0,91705.0,0.0,7.91,77028.0,228741.0,0.0,0.0,2.67,6000.0,3.33,91889.0,100021.0,78.24,3.44,0.0,0.0,4.01,4.01,53744896.0,1867097687.04,0.0,1859.04,4.04,16.37,0.1137,19.64,0.0654,34.74
2023-12-25,3662606.0,127238932.44,1.65,4.68,1.38,127.42,1.0,102109197.6,2248094.0,2939240.0,78098785.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.36,0.0,0.0,0.0,4.02,4.02,53730496.0,1866597431.04,0.0,1860.13,4.04,16.41,0.114,19.68,0.0654,0.0
2023-12-26,3662606.0,127238932.44,1.65,4.68,1.38,127.43,1.0,102109197.6,2248094.0,2939240.0,78098785.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.27,0.0,0.0,0.0,4.02,4.02,53735904.0,1866785304.96,0.0,1859.7,4.04,16.4,0.1141,19.68,0.0654,0.0
2023-12-27,3376749.0,117139422.81,1.52,4.31,1.27,117.57,1.0,96828289.05,2025468.0,2791245.0,70263484.92,0.0,0.0,4826.0,0.0,0.0,0.0,0.0,7.83,0.0,227452.0,0.0,0.0,0.0,4826.0,0.0,0.0,147995.0,70.51,5.07,0.0,0.0,3.62,3.62,53951200.0,1871567128.0,0.0,1864.12,3.64,17.82,0.1242,21.38,0.0603,34.69
2023-12-28,3403102.0,117611205.12,1.54,4.37,1.28,118.36,1.0,99592485.12,2180654.0,2881727.0,75363402.24,0.0,0.0,93090.0,10.48,0.0,0.0,0.0,5.54,301707.0,159192.0,0.0,0.0,10.48,93090.0,0.0,221288.0,211225.0,76.09,7.42,0.0,0.0,3.9,3.9,53743664.0,1857381027.84,0.0,1862.31,3.93,12.82,0.1144,21.21,0.0609,34.56
2023-12-29,3449455.0,119351143.0,1.56,4.47,1.3,113.55,1.0,101682687.6,2101173.0,2938806.0,72700585.8,0.0,0.0,18903.0,5.62,0.0,0.0,0.0,10.43,161483.0,298873.0,0.0,0.0,5.62,18903.0,0.0,200489.0,104404.0,73.13,3.63,0.0,0.0,3.76,3.76,53828692.0,1862472743.2,0.0,1861.02,3.78,13.17,0.1156,21.67,0.0617,34.6
2024-01-01,3269455.0,113123143.0,1.48,4.31,1.23,113.52,1.0,95454687.6,2101173.0,2758806.0,72700585.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,73.04,0.0,0.0,0.0,3.76,3.76,53828964.0,1862482154.4,0.0,1860.09,3.78,13.16,0.1156,21.7,0.0585,0.0
2024-01-02,3722741.0,128955748.24,1.68,4.91,1.41,129.46,1.0,94530308.4,2082060.0,2728935.0,72122558.4,0.0,0.0,68037.0,1.95,0.0,0.0,0.0,2.96,55423.0,87150.0,0.0,0.0,1.95,68037.0,0.0,0.0,85294.0,72.75,2.89,0.0,0.0,3.74,3.74,53598408.0,1856648853.12,0.0,1858.3,3.77,18.99,0.1393,25.98,0.0669,34.64
2024-01-03,3747401.0,128798172.37,1.79,5.04,1.49,130.44,1.0,94228620.15,2083814.0,2741595.0,71620687.18,0.0,0.0,44000.0,1.44,0.0,0.0,0.0,2.23,40346.0,61968.0,0.0,0.0,1.44,44000.0,0.0,19722.0,27686.0,72.74,1.02,0.0,0.0,3.77,3.77,53192160.0,1828214539.2,0.0,1836.11,3.81,18.87,0.1388,25.9,0.0678,34.37
2024-01-04,3573759.0,123366160.68,1.71,4.82,1.42,123.41,1.0,86561178.32,2004555.0,2507566.0,69197238.6,0.0,0.0,29643.0,2.15,0.0,0.0,0.0,9.1,64607.0,257672.0,0.0,0.0,2.15,29643.0,0.0,148770.0,298636.0,69.21,10.65,0.0,0.0,3.63,3.63,53219980.0,1837153709.6,0.0,1824.41,3.66,19.8,0.1233,21.49,0.0647,34.52
2024-01-05,3173688.0,108762287.76,1.52,4.3,1.26,109.97,1.0,83336415.2,1965258.0,2431760.0,67349391.66,0.0,0.0,105211.0,4.15,0.0,0.0,0.0,7.49,115082.0,218816.0,0.0,0.0,4.15,105211.0,0.0,74308.0,190888.0,68.3,6.61,0.0,0.0,3.56,3.56,53184712.0,1822640080.24,0.0,1829.08,3.6,13.98,0.1187,22.36,0.0575,34.27
2024-01-08,3187586.0,110354227.32,1.53,4.3,1.26,109.85,1.0,85274876.16,1996972.0,2463168.0,69135170.64,0.0,0.0,223257.0,8.08,0.0,0.0,0.0,6.86,238216.0,197619.0,0.0,0.0,8.08,223257.0,0.0,6076.0,206808.0,68.96,7.26,0.0,0.0,3.62,3.62,53126184.0,1839228490.08,0.0,1823.48,3.64,21.35,0.1368,22.05,0.0578,34.62
2024-01-09,3568335.0,123607124.4,1.71,4.81,1.41,123.89,1.0,101550520.08,2060083.0,2931597.0,71361275.12,0.0,0.0,63162.0,16.83,0.0,0.0,0.0,3.32,472429.0,98738.0,0.0,0.0,16.83,63162.0,0.0,98687.0,4000.0,71.72,0.0,0.0,0.0,3.74,3.74,52958612.0,1834486319.68,0.0,1832.21,3.77,19.75,0.1246,20.46,0.0649,34.64
2024-01-10,3591080.0,125220959.6,1.72,4.85,1.42,124.82,1.0,102275941.68,2065528.0,2933064.0,72024961.36,0.0,0.0,29531.0,0.5,0.0,4300.0,0.0,2.53,15631.0,72393.0,0.0,0.0,0.5,29531.0,0.15,48307.0,18464.0,71.87,0.58,0.0,0.0,3.75,3.75,53008764.0,1848415600.68,0.0,1830.96,3.78,19.62,0.1255,20.35,0.0652,34.87
2024-01-11,3450512.0,120422868.8,1.65,4.62,1.37,120.74,1.0,99633218.0,2003204.0,2854820.0,69911819.6,0.0,0.0,7103.0,0.41,0.0,0.0,0.0,2.4,9000.0,69427.0,0.0,0.0,0.41,7103.0,0.0,0.0,87244.0,70.24,2.88,0.0,0.0,3.64,3.64,53013940.0,1850186506.0,0.0,1843.22,3.67,18.63,0.1252,20.41,0.0627,34.9
