DATE,KOF FP Equity_DX_SI_QTY,KOF FP Equity_DX_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,KOF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,KOF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,KOF FP Equity_DX_SI_MV,KOF FP Equity_DX_DSS,KOF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY,KOF FP Equity_DX_BROKER_SI_QTY,KOF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,KOF FP Equity_DX_BROKER_SI_MV_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_x,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_x,KOF FP Equity_DX_BROKER_SI_MV_INC_x,KOF FP Equity_DX_SUPPLY_SI_MV_NEW,KOF FP Equity_DX_BROKER_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_NEW,KOF FP Equity_DX_SUPPLY_SI_MV_DEC,KOF FP Equity_DX_BROKER_SI_QTY_INC,KOF FP Equity_DX_SUPPLY_SI_QTY_DEC,KOF FP Equity_DX_BROKER_SI_MV_NEW_y,KOF FP Equity_DX_SUPPLY_SI_QTY_NEW_y,KOF FP Equity_DX_BROKER_SI_MV_INC_y,KOF FP Equity_DX_SUPPLY_SI_QTY_INC_y,KOF FP Equity_DX_BROKER_SI_MV_ADD,KOF FP Equity_DX_SUPPLY_SI_QTY_ADD,KOF FP Equity_DX_BROKER_SI_QTY_DEC,KOF FP Equity_DX_SUPPLY_SI_MV,KOF FP Equity_DX_BROKER_SI_MV_DEC,KOF FP Equity_DX_SUPPLY_SI_MV_RMV,KOF FP Equity_DX_BROKER_SI_MV_RMV,KOF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,KOF FP Equity_DX_UTILIZATION_QUANTITY,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,KOF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,KOF FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,KOF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,KOF FP Equity_DX_ACTIVE_UTILIZATION_MV,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,KOF FP Equity_DX_BROKER_SI_CON_RATIO,KOF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,KOF FP Equity_DX_DEMAND_SUPPLY_RATIO,KOF FP Equity_PX_LAST
2023-05-23,358802.0,9723534.2,2.28,24.09,1.7,9.92,1.0,8714763.8,315932.0,321578.0,8561757.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.12,1613.0,4425.0,0.0,0.0,0.05,0.0,0.0,7019.0,6691.0,8.69,0.19,0.0,0.0,18.92,18.92,1353658.0,36684131.8,0.0,37.08,18.98,20.21,0.187,32.8,0.2149,27.1
2023-05-24,360146.0,9741949.3,2.29,24.07,1.71,9.89,1.0,8617886.55,319545.0,318591.0,8643692.25,0.0,0.0,6133.0,0.0,0.0,4420.0,0.0,0.1,0.0,2520.0,0.0,0.0,0.0,6133.0,0.12,0.0,7407.0,8.67,0.22,0.0,0.0,19.13,19.13,1350553.0,36532458.65,0.0,36.62,19.15,20.02,0.1847,32.78,0.2156,27.05
2023-05-25,363523.0,9687887.95,2.31,24.1,1.72,9.89,1.0,8580447.2,317410.0,321968.0,8458976.5,0.0,0.0,52.0,0.12,0.0,189.0,0.0,0.07,5512.0,2376.0,0.0,0.0,0.12,52.0,0.01,189.0,2324.0,8.6,0.07,0.0,0.0,19.0,19.0,1352776.0,36051480.4,0.0,36.51,19.07,19.98,0.183,32.35,0.2177,26.65
2023-05-26,357996.0,9594292.8,2.28,23.2,1.7,9.68,1.0,8620622.0,312687.0,321665.0,8380011.6,0.0,0.0,12177.0,0.01,0.0,0.0,0.0,0.8,916.0,28655.0,0.0,0.0,0.01,12177.0,0.0,11755.0,1219.0,8.34,0.07,0.0,0.0,18.91,18.91,1341244.0,35945339.2,0.0,35.8,18.89,19.93,0.1882,33.08,0.2165,26.8
2023-05-29,361662.0,9692541.6,2.3,23.42,1.71,9.81,1.0,8724418.4,316560.0,325538.0,8483808.0,0.0,0.0,4014.0,0.11,0.0,0.0,0.0,0.0,3873.0,207.0,0.0,0.0,0.11,4014.0,0.0,66.0,0.0,8.48,0.0,0.0,0.0,19.11,19.11,1339527.0,35899323.6,0.0,35.87,19.12,19.77,0.1859,32.69,0.2184,26.8
2023-05-30,355345.0,9238970.0,2.26,24.71,1.68,9.52,1.0,8195746.0,314777.0,315221.0,8184202.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.16,0.0,5783.0,0.0,0.0,0.0,4000.0,0.0,0.0,10317.0,8.41,0.28,0.0,0.0,19.05,19.05,1337306.0,34769956.0,0.0,35.58,19.12,19.0,0.185,32.87,0.2151,26.0
2023-05-31,359703.0,9280337.4,2.29,25.29,1.7,9.46,1.0,8124368.4,322108.0,314898.0,8310386.4,0.0,4436.0,4919.0,0.14,0.12,0.0,0.0,0.69,5719.0,23468.0,0.0,4436.0,0.14,4919.0,0.0,25880.0,6042.0,8.39,0.19,0.12,0.0,19.49,19.49,1330533.0,34327751.4,4436.0,34.57,19.54,18.55,0.1759,31.66,0.2177,25.8
2023-06-01,390878.0,10182371.9,2.49,27.13,1.85,10.23,1.0,8972088.9,330100.0,344418.0,8599105.0,0.0,0.0,9123.0,0.69,0.0,7732.0,0.0,0.36,26959.0,12840.0,0.0,0.0,0.69,9123.0,0.2,11709.0,5171.0,8.48,0.16,0.0,0.0,19.91,19.91,1327539.0,34582390.95,0.0,34.22,19.85,18.16,0.1578,29.4,0.2358,26.05
2023-06-02,421289.0,11143094.05,2.68,29.65,2.0,11.18,1.0,10018202.0,352503.0,378760.0,9323704.35,0.0,0.0,23100.0,1.02,0.0,0.0,0.0,0.11,35108.0,4697.0,0.0,0.0,1.02,23100.0,0.0,4000.0,766.0,9.22,0.0,0.0,0.0,21.05,21.05,1322462.0,34979119.9,0.0,34.59,21.04,18.17,0.1717,32.11,0.2515,26.45
2023-06-05,397200.0,10446360.0,2.53,28.37,1.88,10.63,1.0,9327847.3,331823.0,354671.0,8726944.9,0.0,0.0,7233.0,0.02,0.0,0.0,0.0,0.84,77.0,32823.0,0.0,0.0,0.02,7233.0,0.0,4910.0,24166.0,8.79,0.61,0.0,0.0,19.85,19.85,1340005.0,35242131.5,0.0,35.4,19.89,18.44,0.1652,30.5,0.2376,26.3
