DATE,NRG FP Equity_DX_SI_QTY,NRG FP Equity_DX_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NRG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NRG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NRG FP Equity_DX_SI_MV,NRG FP Equity_DX_DSS,NRG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY,NRG FP Equity_DX_BROKER_SI_QTY,NRG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NRG FP Equity_DX_BROKER_SI_MV_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_x,NRG FP Equity_DX_BROKER_SI_MV_INC_x,NRG FP Equity_DX_SUPPLY_SI_MV_NEW,NRG FP Equity_DX_BROKER_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_NEW,NRG FP Equity_DX_SUPPLY_SI_MV_DEC,NRG FP Equity_DX_BROKER_SI_QTY_INC,NRG FP Equity_DX_SUPPLY_SI_QTY_DEC,NRG FP Equity_DX_BROKER_SI_MV_NEW_y,NRG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NRG FP Equity_DX_BROKER_SI_MV_INC_y,NRG FP Equity_DX_SUPPLY_SI_QTY_INC_y,NRG FP Equity_DX_BROKER_SI_MV_ADD,NRG FP Equity_DX_SUPPLY_SI_QTY_ADD,NRG FP Equity_DX_BROKER_SI_QTY_DEC,NRG FP Equity_DX_SUPPLY_SI_MV,NRG FP Equity_DX_BROKER_SI_MV_DEC,NRG FP Equity_DX_SUPPLY_SI_MV_RMV,NRG FP Equity_DX_BROKER_SI_MV_RMV,NRG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NRG FP Equity_DX_UTILIZATION_QUANTITY,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NRG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NRG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NRG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NRG FP Equity_DX_ACTIVE_UTILIZATION_MV,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NRG FP Equity_DX_BROKER_SI_CON_RATIO,NRG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NRG FP Equity_DX_DEMAND_SUPPLY_RATIO,NRG FP Equity_PX_LAST
2018-03-29,19025.0,163995.5,0.11,1.26,0.02,0.17,0.0,78062.72,15025.0,9056.0,129515.5,0.0,0.0,0.0,0.0,0.0,5056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5056.0,0.0,0.13,0.0,0.0,0.0,100.0,1.95,0.0,0.0,0.0,0.0,100.0,27.74,0.252,35.96,0.0247,8.62
2018-03-30,19025.0,163995.5,0.11,1.38,0.02,0.17,0.0,78062.72,15025.0,9056.0,129515.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.0,1.95,0.0,0.0,0.0,0.0,100.0,27.71,0.2518,35.92,0.0247,0.0
2018-04-02,19025.0,163995.5,0.11,1.38,0.02,0.17,0.0,78062.72,15025.0,9056.0,129515.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,100.0,1.95,0.0,0.0,0.0,0.0,100.0,27.68,0.2518,35.96,0.0247,0.0
2018-04-03,19025.0,162854.0,0.11,1.38,0.02,0.17,0.0,77519.36,9969.0,9056.0,85334.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,5056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,100.0,1.29,0.0,0.0,0.0,0.0,100.0,27.73,0.2523,36.02,0.0247,8.56
2018-04-04,17803.0,152037.62,0.1,1.25,0.02,0.16,0.0,77338.24,8747.0,9056.0,74699.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,1222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,100.0,1.14,0.0,0.0,0.0,0.0,100.0,29.66,0.2703,38.53,0.0231,8.54
2018-04-05,12747.0,108349.5,0.07,0.87,0.02,0.11,0.0,34000.0,8747.0,4000.0,74349.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5056.0,0.08,0.05,0.0,0.0,100.0,1.14,0.0,0.0,0.0,0.0,100.0,15.62,0.3688,54.83,0.0166,8.5
2018-04-06,12747.0,108349.5,0.07,0.88,0.02,0.11,0.0,34000.0,8747.0,4000.0,74349.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,100.0,1.14,0.0,0.0,0.0,0.0,100.0,15.55,0.3699,54.97,0.0166,8.5
2018-04-09,12747.0,110643.96,0.07,0.88,0.02,0.11,0.0,34720.0,8747.0,4000.0,75923.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,100.0,1.14,0.0,0.0,0.0,0.0,100.0,15.97,0.3653,54.38,0.0166,8.68
2018-04-10,12747.0,110389.02,0.07,0.87,0.02,0.11,0.0,34640.0,8747.0,4000.0,75749.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,100.0,1.14,0.0,0.0,0.0,0.0,100.0,15.87,0.3628,54.07,0.0166,8.66
2018-04-11,92747.0,805043.96,0.53,6.31,0.12,0.8,0.0,381920.0,48747.0,44000.0,423123.96,0.0,0.0,40000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.35,0.0,0.0,0.42,0.0,0.0,0.0,26.54,6.35,134947.0,1171339.96,0.0,1.15,26.78,43.18,0.4435,50.57,0.1209,8.68
