DATE,ALMOU FP Equity_DX_SI_QTY,ALMOU FP Equity_DX_SHORT_INTEREST_VALUE,ALMOU FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALMOU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALMOU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALMOU FP Equity_DX_SI_MV,ALMOU FP Equity_DX_DSS,ALMOU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALMOU FP Equity_DX_SUPPLY_SI_QTY,ALMOU FP Equity_DX_BROKER_SI_QTY,ALMOU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALMOU FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALMOU FP Equity_DX_BROKER_SI_MV_INC_x,ALMOU FP Equity_DX_BROKER_SI_QTY_ADD,ALMOU FP Equity_DX_SUPPLY_SI_MV_DEC,ALMOU FP Equity_DX_BROKER_SI_QTY_INC,ALMOU FP Equity_DX_SUPPLY_SI_QTY_DEC,ALMOU FP Equity_DX_BROKER_SI_MV_INC_y,ALMOU FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALMOU FP Equity_DX_BROKER_SI_MV_ADD,ALMOU FP Equity_DX_SUPPLY_SI_QTY_ADD,ALMOU FP Equity_DX_BROKER_SI_QTY_DEC,ALMOU FP Equity_DX_SUPPLY_SI_MV,ALMOU FP Equity_DX_BROKER_SI_MV_DEC,ALMOU FP Equity_DX_SUPPLY_SI_MV_RMV,ALMOU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALMOU FP Equity_DX_UTILIZATION_QUANTITY,ALMOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALMOU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALMOU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALMOU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALMOU FP Equity_DX_ACTIVE_UTILIZATION_MV,ALMOU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALMOU FP Equity_DX_BROKER_SI_CON_RATIO,ALMOU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALMOU FP Equity_DX_DEMAND_SUPPLY_RATIO,ALMOU FP Equity_PX_LAST
2023-03-17,2861.0,85257.8,0.25,1.0,0.09,0.09,0.0,82814.2,562.0,2779.0,16747.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.02,0.0,0.0,100.0,35.39,0.0,0.0,0.0,0.0,100.0,32.94,0.2965,38.24,1.8016,29.8
2023-03-20,2861.0,84399.5,0.25,1.01,0.09,0.09,0.0,81980.5,562.0,2779.0,16579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.0,35.39,0.0,0.0,0.0,0.0,100.0,32.86,0.2965,38.31,1.8016,29.5
2023-03-21,2861.0,85830.0,0.25,1.03,0.09,0.09,0.0,83370.0,562.0,2779.0,16860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,100.0,37.37,0.0,0.0,0.0,0.0,100.0,32.71,0.2957,38.27,1.9023,30.0
2023-03-22,2701.0,80759.9,0.24,0.98,0.09,0.08,0.0,78308.1,562.0,2619.0,16803.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.02,0.0,0.0,100.0,49.96,0.0,0.0,0.0,0.0,100.0,34.62,0.2879,34.79,2.4009,29.9
2023-03-23,2509.0,75270.0,0.22,0.96,0.08,0.08,0.0,72810.0,462.0,2427.0,13860.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,192.0,0.01,0.01,0.0,100.0,45.34,0.0,0.0,0.0,0.0,100.0,31.24,0.2865,37.36,2.4622,30.0
2023-03-24,2370.0,70863.0,0.21,0.94,0.08,0.07,0.0,68411.2,462.0,2288.0,13813.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.01,0.0,0.0,100.0,45.65,0.0,0.0,0.0,0.0,100.0,29.76,0.2937,39.85,2.3419,29.9
2023-03-27,2089.0,62565.55,0.18,0.88,0.07,0.06,0.0,60109.65,402.0,2007.0,12039.9,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,281.0,0.01,0.01,0.0,100.0,45.07,0.0,0.0,0.0,0.0,100.0,26.12,0.3114,44.8,2.3419,29.95
2023-03-28,2064.0,61404.0,0.18,0.89,0.07,0.06,0.0,58964.5,277.0,1982.0,8240.75,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,25.0,0.01,0.0,0.0,100.0,32.1,0.0,0.0,0.0,0.0,100.0,26.46,0.3159,45.36,2.3917,29.75
2023-03-29,1979.0,60260.55,0.17,0.87,0.06,0.06,0.0,57763.65,327.0,1897.0,9957.15,50.0,0.0,0.0,0.0,15.0,0.0,0.0,50.0,0.0,0.0,100.0,0.01,0.0,0.0,100.0,42.8,0.0,0.0,0.0,0.0,100.0,27.44,0.3339,47.09,2.5903,30.45
2023-03-30,1979.0,59963.7,0.17,0.87,0.06,0.06,0.0,57479.1,327.0,1897.0,9908.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,100.0,48.52,0.0,0.0,0.0,0.0,100.0,27.54,0.3349,47.24,2.9362,30.3
2023-03-31,4698.0,140940.0,0.41,2.15,0.15,0.14,0.0,99480.0,2327.0,3316.0,69810.0,0.0,0.05,0.0,0.0,1546.0,0.0,0.05,0.0,0.0,2000.0,127.0,0.07,0.0,0.0,100.0,89.88,0.0,0.0,0.0,0.0,100.0,17.58,0.4453,62.01,1.8146,30.0
2023-04-03,4663.0,136625.9,0.41,2.46,0.15,0.14,0.0,96133.3,2327.0,3281.0,68181.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.07,0.0,0.0,100.0,89.88,0.0,0.0,0.0,0.0,100.0,17.66,0.4421,61.66,1.8011,29.3
2023-04-04,4663.0,134527.55,0.41,2.55,0.15,0.14,0.0,94656.85,2327.0,3281.0,67133.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,90.3,0.0,0.0,0.0,0.0,100.0,17.57,0.4434,61.8,1.8095,28.85
2023-04-05,4590.0,128979.0,0.4,2.56,0.15,0.13,0.0,90144.8,2268.0,3208.0,63730.8,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,73.0,0.07,0.0,0.0,100.0,89.54,0.0,0.0,0.0,0.0,100.0,18.03,0.4473,62.24,1.8121,28.1
2023-04-06,4590.0,128520.0,0.4,2.45,0.15,0.13,0.0,89824.0,2254.0,3208.0,63112.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,89.09,0.0,0.0,0.0,0.0,100.0,18.23,0.4479,62.28,1.8142,28.0
2023-04-07,4590.0,128520.0,0.4,2.5,0.15,0.13,0.0,89824.0,2254.0,3208.0,63112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,88.36,0.0,0.0,0.0,0.0,100.0,18.22,0.4484,62.34,1.7993,0.0
2023-04-10,4590.0,128520.0,0.4,2.5,0.15,0.13,0.0,89824.0,2254.0,3208.0,63112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,100.0,88.36,0.0,0.0,0.0,0.0,100.0,17.9,0.4505,62.58,1.7993,0.0
2023-04-11,4890.0,140343.0,0.43,2.66,0.16,0.14,0.0,100679.6,2554.0,3508.0,73299.8,300.0,0.01,0.0,0.0,300.0,0.0,0.01,300.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,89.58,0.0,0.0,0.0,0.0,100.0,16.62,0.4081,59.12,1.7152,28.7
2023-04-12,5042.0,145461.7,0.44,2.77,0.16,0.15,0.0,105591.0,2554.0,3660.0,73682.9,0.0,0.01,0.0,0.0,152.0,0.0,0.01,0.0,0.0,0.0,0.0,0.07,0.0,0.0,100.0,89.58,0.0,0.0,0.0,0.0,100.0,17.63,0.3918,57.13,1.7685,28.85
